,TRACT FP Equity_DX_SI_QTY,TRACT FP Equity_DX_SHORT_INTEREST_VALUE,TRACT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TRACT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TRACT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TRACT FP Equity_DX_SI_MV,TRACT FP Equity_DX_DSS,TRACT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TRACT FP Equity_DX_SUPPLY_SI_QTY,TRACT FP Equity_DX_BROKER_SI_QTY,TRACT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TRACT FP Equity_DX_SUPPLY_SI_QTY_INC_x,TRACT FP Equity_DX_BROKER_SI_MV_INC_x,TRACT FP Equity_DX_BROKER_SI_QTY_ADD,TRACT FP Equity_DX_SUPPLY_SI_MV_DEC,TRACT FP Equity_DX_BROKER_SI_QTY_INC,TRACT FP Equity_DX_SUPPLY_SI_QTY_DEC,TRACT FP Equity_DX_BROKER_SI_MV_INC_y,TRACT FP Equity_DX_SUPPLY_SI_QTY_INC_y,TRACT FP Equity_DX_BROKER_SI_MV_ADD,TRACT FP Equity_DX_SUPPLY_SI_QTY_ADD,TRACT FP Equity_DX_BROKER_SI_QTY_DEC,TRACT FP Equity_DX_SUPPLY_SI_MV,TRACT FP Equity_DX_BROKER_SI_MV_DEC,TRACT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TRACT FP Equity_DX_UTILIZATION_QUANTITY,TRACT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TRACT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TRACT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TRACT FP Equity_DX_ACTIVE_UTILIZATION_MV,TRACT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TRACT FP Equity_DX_BROKER_SI_CON_RATIO,TRACT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TRACT FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-05-23,17004.0,13569.19,0.2,1.9,0.02,0.01,0.0,6784.6,8502.0,8502.0,6784.6,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.44,0.3995,50.38,0.0708
2024-05-24,17004.0,12957.05,0.2,1.91,0.02,0.01,0.0,6478.52,8502.0,8502.0,6478.52,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.69,0.3981,50.03,0.0708
2024-05-27,17004.0,12548.95,0.2,1.87,0.02,0.01,0.0,6274.48,8502.0,8502.0,6274.48,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.28,0.4005,50.61,0.0708
2024-05-28,17004.0,12514.94,0.2,1.85,0.02,0.01,0.0,6257.47,8502.0,8502.0,6257.47,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.31,0.4003,50.57,0.0708
2024-05-29,17004.0,12378.91,0.2,1.88,0.02,0.01,0.0,6189.46,8502.0,8502.0,6189.46,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.38,0.3999,50.46,0.0708
2024-05-30,17004.0,12378.91,0.2,1.82,0.02,0.01,0.0,6189.46,8502.0,8502.0,6189.46,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.29,0.4005,50.6,0.0708
2024-05-31,17004.0,12378.91,0.2,1.84,0.02,0.01,0.0,6189.46,8502.0,8502.0,6189.46,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.27,0.4005,50.61,0.0708
2024-06-03,17004.0,12548.95,0.2,1.87,0.02,0.01,0.0,6274.48,8502.0,8502.0,6274.48,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.16,0.4012,50.77,0.0708
2024-06-04,17004.0,13399.15,0.2,1.88,0.02,0.01,0.0,6699.58,8502.0,8502.0,6699.58,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,34.69,0.4041,51.43,0.0708
2024-06-05,17004.0,13399.15,0.2,1.9,0.02,0.01,0.0,6699.58,8502.0,8502.0,6699.58,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.29,0.4005,50.6,0.0708
2024-06-06,17004.0,13365.14,0.2,1.93,0.02,0.01,0.0,6682.57,8502.0,8502.0,6682.57,,,,,,,,,,,,0.01,,100.0,3.54,0.0,0.0,0.0,100.0,35.3,0.4004,50.58,0.0708
2024-06-07,11004.0,9155.33,0.13,1.25,0.01,0.01,0.0,4577.66,5502.0,5502.0,4577.66,,,,0.0,,3000.0,,,,,3000.0,0.0,0.0,100.0,2.29,0.0,0.0,0.0,100.0,21.32,0.6645,78.68,0.0458
2024-06-10,11004.0,9155.33,0.13,1.21,0.01,0.01,0.0,4577.66,5502.0,5502.0,4577.66,,,,,,,,,,,,0.0,,100.0,2.21,0.0,0.0,0.0,100.0,21.81,0.6589,78.19,0.0442
2024-06-11,11004.0,9023.28,0.13,1.22,0.01,0.01,0.0,4511.64,5502.0,5502.0,4511.64,,,,,,,,,,,,0.0,,100.0,2.32,0.0,0.0,0.0,100.0,21.93,0.6575,78.07,0.0464
2024-06-12,11004.0,8957.26,0.13,1.22,0.01,0.01,0.0,4478.63,5502.0,5502.0,4478.63,,,,,,,,,,,,0.0,,100.0,2.32,0.0,0.0,0.0,100.0,21.87,0.6582,78.13,0.0464
2024-06-13,11004.0,8957.26,0.13,1.24,0.01,0.01,0.0,4478.63,5502.0,5502.0,4478.63,,,,,,,,,,,,0.0,,100.0,1.85,0.0,0.0,0.0,100.0,21.81,0.6589,78.19,0.037
2024-06-14,11004.0,8098.94,0.13,1.26,0.01,0.01,0.0,4049.47,5502.0,5502.0,4049.47,,,,,,,,,,,,0.0,,100.0,1.85,0.0,0.0,0.0,100.0,22.66,0.6495,77.34,0.037
2024-06-17,11004.0,7856.86,0.13,1.31,0.01,0.01,0.0,3928.43,5502.0,5502.0,3928.43,,,,,,,,,,,,0.0,,100.0,1.85,0.0,0.0,0.0,100.0,22.06,0.6562,77.94,0.037
2024-06-18,12004.0,8474.82,0.14,1.58,0.02,0.01,0.0,4237.41,6002.0,6002.0,4237.41,500.0,,500.0,,,,,500.0,0.0,,,0.0,,100.0,1.97,0.0,0.0,0.0,100.0,20.07,0.5594,71.56,0.0394
2024-06-19,12004.0,8162.72,0.14,1.58,0.02,0.01,0.0,4081.36,6002.0,6002.0,4081.36,,,,,,,,,,,,0.0,,100.0,2.0,0.0,0.0,0.0,100.0,20.26,0.5565,71.3,0.04
2024-06-20,12004.0,7778.59,0.14,1.62,0.02,0.01,0.0,3889.3,6002.0,6002.0,3889.3,,,,,,,,,,,,0.0,,100.0,1.98,0.0,0.0,0.0,100.0,20.34,0.5553,71.19,0.0396
2024-06-21,12004.0,7754.58,0.14,1.66,0.02,0.01,0.0,3877.29,6002.0,6002.0,3877.29,,,,,,,,,,,,0.0,,100.0,1.98,0.0,0.0,0.0,100.0,20.02,0.5603,71.64,0.0396
2024-06-24,12004.0,8090.7,0.14,2.13,0.02,0.01,0.0,4045.35,6002.0,6002.0,4045.35,,,,,,,,,,,,0.0,,100.0,1.96,0.0,0.0,0.0,100.0,19.69,0.5655,72.11,0.0392
2024-06-25,13064.0,8935.78,0.16,2.28,0.02,0.01,0.0,4467.89,6532.0,6532.0,4467.89,530.0,0.0,,,530.0,,0.0,530.0,,,,0.0,,100.0,2.15,0.0,0.0,0.0,100.0,18.28,0.494,66.03,0.043
2024-06-26,32034.0,21462.78,0.38,5.62,0.04,0.02,0.0,11076.44,16532.0,16532.0,11076.44,,0.01,,,10000.0,,0.01,,,10000.0,,0.01,,100.0,5.42,0.0,0.0,0.0,100.0,39.06,0.414,49.93,0.1051
2024-06-27,61534.0,41104.71,0.73,10.95,0.08,0.04,0.0,20729.38,31032.0,31032.0,20729.38,15000.0,0.01,,0.0,14500.0,500.0,0.01,15000.0,,,,0.02,,100.0,10.03,0.0,0.0,0.0,100.0,23.47,0.5491,69.98,0.1989
2024-06-28,61534.0,41104.71,0.73,12.57,0.08,0.04,0.0,20729.38,31032.0,31032.0,20729.38,,,,,,,,,,,,0.02,,100.0,10.03,0.0,0.0,0.0,100.0,23.55,0.5481,69.88,0.1989
2024-07-01,61534.0,41350.85,0.73,12.9,0.08,0.04,0.0,20853.5,31032.0,31032.0,20853.5,,,,,,,,,,,,0.02,,100.0,10.03,0.0,0.0,0.0,100.0,23.6,0.5477,69.83,0.1989
2024-07-02,61534.0,41350.85,0.73,12.84,0.08,0.04,0.0,20853.5,31032.0,31032.0,20853.5,,,,,,,,,,,,0.02,,100.0,10.04,0.0,0.0,0.0,100.0,23.55,0.5481,69.88,0.1991
2024-07-03,61004.0,40994.69,0.73,12.75,0.08,0.04,0.0,20497.34,30502.0,30502.0,20497.34,,,,0.0,,530.0,,,,,530.0,0.02,0.0,100.0,9.95,0.0,0.0,0.0,100.0,23.9,0.5437,69.44,0.199
2024-07-04,61004.0,41238.7,0.73,12.78,0.08,0.04,0.0,20619.35,30502.0,30502.0,20619.35,,,,,,,,,,,,0.02,,100.0,9.95,0.0,0.0,0.0,100.0,23.95,0.5433,69.39,0.199
2024-07-05,41004.0,27882.72,0.49,8.73,0.06,0.03,0.0,13941.36,20502.0,20502.0,13941.36,,,,0.01,,10000.0,,,,,10000.0,0.01,0.01,100.0,6.69,0.0,0.0,0.0,100.0,33.15,0.4505,57.63,0.1337
2024-07-08,41004.0,28538.78,0.49,9.14,0.06,0.03,0.0,14269.39,20502.0,20502.0,14269.39,,,,,,,,,,,,0.01,,100.0,6.69,0.0,0.0,0.0,100.0,33.35,0.4498,57.46,0.1337
2024-07-09,41004.0,28538.78,0.49,9.66,0.06,0.03,0.0,14269.39,20502.0,20502.0,14269.39,,,,,,,,,,,,0.01,,100.0,6.69,0.0,0.0,0.0,100.0,33.09,0.4507,57.68,0.1337
2024-07-10,41004.0,28784.81,0.49,9.73,0.06,0.03,0.0,14392.4,20502.0,20502.0,14392.4,,,,,,,,,,,,0.01,,100.0,6.69,0.0,0.0,0.0,100.0,33.18,0.4504,57.6,0.1338
2024-07-11,41004.0,28538.78,0.49,10.46,0.06,0.03,0.0,14269.39,20502.0,20502.0,14269.39,,,,,,,,,,,,0.01,,100.0,6.69,0.0,0.0,0.0,100.0,32.99,0.4511,57.77,0.1338
2024-07-12,41004.0,28292.76,0.49,11.16,0.06,0.03,0.0,14146.38,20502.0,20502.0,14146.38,,,,,,,,,,,,0.01,,100.0,6.69,0.0,0.0,0.0,100.0,32.99,0.4511,57.77,0.1337
2024-07-15,41004.0,26242.56,0.49,10.77,0.06,0.03,0.0,13121.28,20502.0,20502.0,13121.28,,,,,,,,,,,,0.01,,100.0,6.69,0.0,0.0,0.0,100.0,32.28,0.4538,58.38,0.1337
2024-07-16,41004.0,25996.54,0.49,10.2,0.06,0.03,0.0,12998.27,20502.0,20502.0,12998.27,,,,,,,,,,,,0.01,,100.0,6.68,0.0,0.0,0.0,100.0,32.98,0.4511,57.77,0.1337
2024-07-17,41404.0,26498.56,0.49,10.77,0.06,0.03,0.0,13249.28,20702.0,20702.0,13249.28,200.0,0.0,,,200.0,,0.0,200.0,,,,0.01,,100.0,6.75,0.0,0.0,0.0,100.0,32.69,0.4398,56.72,0.135
2024-07-18,42004.0,26714.54,0.5,10.63,0.06,0.03,0.0,13357.27,21002.0,21002.0,13357.27,300.0,0.0,,,300.0,,0.0,300.0,,,,0.01,,100.0,6.85,0.0,0.0,0.0,100.0,31.85,0.426,55.56,0.137
2024-07-19,42004.0,26714.54,0.5,10.54,0.06,0.03,0.0,13357.27,21002.0,21002.0,13357.27,,,,,,,,,,,,0.01,,100.0,6.85,0.0,0.0,0.0,100.0,31.86,0.4259,55.55,0.137
2024-07-22,42004.0,26966.57,0.5,11.49,0.06,0.03,0.0,13483.28,21002.0,21002.0,13483.28,,,,,,,,,,,,0.01,,100.0,6.9,0.0,0.0,0.0,100.0,31.96,0.4256,55.46,0.1381
2024-07-23,42004.0,31923.04,0.5,11.46,0.06,0.03,0.0,15961.52,21002.0,21002.0,15961.52,,,,,,,,,,,,0.01,,100.0,6.91,0.0,0.0,0.0,100.0,33.8,0.4205,53.97,0.1383
2024-07-24,42004.0,32343.08,0.5,7.28,0.06,0.03,0.0,16171.54,21002.0,21002.0,16171.54,,,,,,,,,,,,0.02,,100.0,6.91,0.0,0.0,0.0,100.0,31.87,0.4259,55.54,0.1382
2024-07-25,42004.0,25958.47,0.5,6.26,0.06,0.03,0.0,12979.24,21002.0,21002.0,12979.24,,,,,,,,,,,,0.02,,100.0,8.77,0.0,0.0,0.0,100.0,29.65,0.4337,57.35,0.1753
2024-07-26,44004.0,29482.68,0.52,5.48,0.06,0.03,0.0,15411.34,22002.0,23002.0,14741.34,1000.0,0.0,1000.0,,1000.0,,0.0,1000.0,0.0,,,0.01,,100.0,9.14,0.0,0.0,0.0,100.0,30.21,0.3707,50.55,0.1829
2024-07-29,44004.0,30362.76,0.52,5.65,0.06,0.03,0.0,15871.38,22002.0,23002.0,15181.38,,,,,,,,,,,,0.01,,100.0,9.14,0.0,0.0,0.0,100.0,29.92,0.3778,51.4,0.1829
2024-07-30,44004.0,35203.2,0.52,5.71,0.06,0.03,0.0,18401.6,22002.0,23002.0,17601.6,,,,,,,,,,,,0.02,,100.0,9.14,0.0,0.0,0.0,100.0,31.24,0.3751,50.44,0.1829
2024-07-31,44004.0,34411.13,0.52,4.97,0.06,0.04,0.0,17987.56,22002.0,23002.0,17205.56,,,,,,,,,,,,0.02,,100.0,9.14,0.0,0.0,0.0,100.0,29.38,0.379,51.8,0.1829
2024-08-01,46004.0,33306.9,0.55,5.28,0.06,0.04,0.0,18101.45,23002.0,25002.0,16653.45,1000.0,0.0,,,2000.0,,0.0,1000.0,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,26.89,0.3448,48.69,0.1904
2024-08-02,46004.0,33214.89,0.55,5.22,0.06,0.03,0.0,18051.44,23002.0,25002.0,16607.44,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.63,0.3438,48.24,0.1904
2024-08-05,46004.0,30362.64,0.55,5.4,0.06,0.03,0.0,16501.32,23002.0,25002.0,15181.32,,,,,,,,,,,,0.02,,100.0,7.53,0.0,0.0,0.0,100.0,26.79,0.3455,48.8,0.1505
2024-08-06,46004.0,33306.9,0.55,5.39,0.06,0.03,0.0,18101.45,23002.0,25002.0,16653.45,,,,,,,,,,,,0.02,,100.0,7.65,0.0,0.0,0.0,100.0,28.62,0.3421,47.59,0.153
2024-08-07,46004.0,34595.01,0.55,5.08,0.06,0.03,0.0,18801.5,23002.0,25002.0,17297.5,,,,,,,,,,,,0.02,,100.0,7.65,0.0,0.0,0.0,100.0,28.05,0.3431,47.97,0.153
2024-08-08,46004.0,39931.47,0.55,5.05,0.06,0.04,0.0,21701.74,23002.0,25002.0,19965.74,,,,,,,,,,,,0.02,,100.0,7.65,0.0,0.0,0.0,100.0,29.17,0.3413,47.22,0.153
2024-08-09,46004.0,40023.48,0.55,2.75,0.06,0.04,0.0,21751.74,23002.0,25002.0,20011.74,,,,,,,,,,,,0.02,,100.0,7.65,0.0,0.0,0.0,100.0,27.69,0.3437,48.21,0.153
2024-08-12,46004.0,37723.28,0.55,2.4,0.06,0.04,0.0,20501.64,23002.0,25002.0,18861.64,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,27.08,0.3449,48.61,0.19
2024-08-13,46004.0,39103.4,0.55,2.39,0.06,0.04,0.0,21251.7,23002.0,25002.0,19551.7,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,28.03,0.3431,47.98,0.19
2024-08-14,46004.0,35699.1,0.55,2.36,0.06,0.04,0.0,19401.55,23002.0,25002.0,17849.55,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,26.78,0.3455,48.81,0.19
2024-08-15,46004.0,37723.28,0.55,2.3,0.06,0.04,0.0,20501.64,23002.0,25002.0,18861.64,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,28.22,0.3428,47.85,0.19
2024-08-16,46004.0,35423.08,0.55,2.29,0.06,0.04,0.0,19251.54,23002.0,25002.0,17711.54,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,27.05,0.345,48.64,0.19
2024-08-19,46004.0,38275.33,0.55,2.24,0.06,0.04,0.0,20801.66,23002.0,25002.0,19137.66,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,28.46,0.3424,47.69,0.19
2024-08-20,46004.0,37723.28,0.55,1.92,0.06,0.04,0.0,20501.64,23002.0,25002.0,18861.64,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,27.52,0.3441,48.32,0.19
2024-08-21,46004.0,37539.26,0.55,1.88,0.06,0.04,0.0,20401.63,23002.0,25002.0,18769.63,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,27.61,0.3439,48.26,0.19
2024-08-22,46004.0,37539.26,0.55,1.88,0.06,0.04,0.0,20401.63,23002.0,25002.0,18769.63,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,27.66,0.3438,48.23,0.19
2024-08-23,46004.0,37631.27,0.55,1.85,0.06,0.04,0.0,20451.64,23002.0,25002.0,18815.64,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,27.66,0.3438,48.23,0.19
2024-08-26,46004.0,37539.26,0.55,1.86,0.06,0.04,0.0,20401.63,23002.0,25002.0,18769.63,,,,,,,,,,,,0.02,,100.0,9.5,0.0,0.0,0.0,100.0,27.64,0.3438,48.24,0.19
2024-08-27,46004.0,37263.24,0.55,1.87,0.06,0.04,0.0,20251.62,23002.0,25002.0,18631.62,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.59,0.3439,48.27,0.1904
2024-08-28,46004.0,37447.26,0.55,1.87,0.06,0.04,0.0,20351.63,23002.0,25002.0,18723.63,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.71,0.3437,48.19,0.1904
2024-08-29,46004.0,37263.24,0.55,1.88,0.06,0.04,0.0,20251.62,23002.0,25002.0,18631.62,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.61,0.3439,48.26,0.1904
2024-08-30,46004.0,37355.25,0.55,1.88,0.06,0.04,0.0,20301.62,23002.0,25002.0,18677.62,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.69,0.3437,48.21,0.1904
2024-09-02,46004.0,37171.23,0.55,1.87,0.06,0.04,0.0,20201.62,23002.0,25002.0,18585.62,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.61,0.3439,48.26,0.1904
2024-09-03,46004.0,36803.2,0.55,1.87,0.06,0.04,0.0,20001.6,23002.0,25002.0,18401.6,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.56,0.344,48.29,0.1904
2024-09-04,46004.0,36987.22,0.55,2.05,0.06,0.04,0.0,20101.61,23002.0,25002.0,18493.61,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.71,0.3437,48.19,0.1904
2024-09-05,46004.0,34042.96,0.55,2.14,0.06,0.04,0.0,18501.48,23002.0,25002.0,17021.48,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,26.86,0.3454,48.76,0.1904
2024-09-06,46004.0,33766.94,0.55,2.25,0.06,0.03,0.0,18351.47,23002.0,25002.0,16883.47,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.58,0.3439,48.28,0.1904
2024-09-09,46004.0,33582.92,0.55,2.24,0.06,0.03,0.0,18251.46,23002.0,25002.0,16791.46,,,,,,,,,,,,0.02,,100.0,9.52,0.0,0.0,0.0,100.0,27.61,0.3439,48.26,0.1904
