,ALAGP FP Equity_DX_SI_QTY,ALAGP FP Equity_DX_SHORT_INTEREST_VALUE,ALAGP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAGP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAGP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAGP FP Equity_DX_SI_MV,ALAGP FP Equity_DX_DSS,ALAGP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAGP FP Equity_DX_SUPPLY_SI_QTY,ALAGP FP Equity_DX_BROKER_SI_QTY,ALAGP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAGP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALAGP FP Equity_DX_BROKER_SI_MV_INC_x,ALAGP FP Equity_DX_BROKER_SI_QTY_ADD,ALAGP FP Equity_DX_SUPPLY_SI_MV_DEC,ALAGP FP Equity_DX_BROKER_SI_QTY_INC,ALAGP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAGP FP Equity_DX_BROKER_SI_MV_INC_y,ALAGP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALAGP FP Equity_DX_BROKER_SI_MV_ADD,ALAGP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAGP FP Equity_DX_BROKER_SI_QTY_DEC,ALAGP FP Equity_DX_SUPPLY_SI_MV,ALAGP FP Equity_DX_BROKER_SI_MV_DEC,ALAGP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAGP FP Equity_DX_UTILIZATION_QUANTITY,ALAGP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAGP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAGP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAGP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAGP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALAGP FP Equity_DX_BROKER_SI_CON_RATIO,ALAGP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAGP FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-07-13,2300.0,20125.0,0.09,1.18,0.07,0.02,0.0,20125.0,2300.0,2300.0,20125.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-14,2300.0,19780.0,0.09,1.2,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-15,2300.0,19826.0,0.09,1.2,0.07,0.02,0.0,19826.0,2300.0,2300.0,19826.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-18,2300.0,20355.0,0.09,1.23,0.07,0.02,0.0,20355.0,2300.0,2300.0,20355.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-19,2300.0,20240.0,0.09,1.22,0.07,0.02,0.0,20240.0,2300.0,2300.0,20240.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-20,2300.0,20493.0,0.09,1.2,0.07,0.02,0.0,20493.0,2300.0,2300.0,20493.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-21,2300.0,20240.0,0.09,1.19,0.07,0.02,0.0,20240.0,2300.0,2300.0,20240.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-22,2300.0,20125.0,0.09,1.22,0.07,0.02,0.0,20125.0,2300.0,2300.0,20125.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-25,2300.0,19780.0,0.09,1.21,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-26,2300.0,20010.0,0.09,1.2,0.07,0.02,0.0,20010.0,2300.0,2300.0,20010.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-27,2300.0,19688.0,0.09,1.23,0.07,0.02,0.0,19688.0,2300.0,2300.0,19688.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-28,2300.0,19780.0,0.09,1.29,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-07-29,2300.0,20171.0,0.09,1.3,0.07,0.02,0.0,20171.0,2300.0,2300.0,20171.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-01,2300.0,19941.0,0.09,1.22,0.07,0.02,0.0,19941.0,2300.0,2300.0,19941.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-02,2300.0,19573.0,0.09,1.21,0.07,0.02,0.0,19573.0,2300.0,2300.0,19573.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-03,2300.0,19665.0,0.09,1.23,0.07,0.02,0.0,19665.0,2300.0,2300.0,19665.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-04,2300.0,19665.0,0.09,1.21,0.07,0.02,0.0,19665.0,2300.0,2300.0,19665.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-05,2300.0,19780.0,0.09,1.23,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-08,2300.0,19780.0,0.09,1.24,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-09,2300.0,19987.0,0.09,1.2,0.07,0.02,0.0,19987.0,2300.0,2300.0,19987.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-10,2300.0,20125.0,0.09,1.39,0.07,0.02,0.0,20125.0,2300.0,2300.0,20125.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-11,2300.0,19918.0,0.09,1.4,0.07,0.02,0.0,19918.0,2300.0,2300.0,19918.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-12,2300.0,19872.0,0.09,1.42,0.07,0.02,0.0,19872.0,2300.0,2300.0,19872.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-15,2300.0,19481.0,0.09,1.45,0.07,0.02,0.0,19481.0,2300.0,2300.0,19481.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-16,2300.0,19780.0,0.09,1.56,0.07,0.02,0.0,19780.0,2300.0,2300.0,19780.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-17,2300.0,19734.0,0.09,1.6,0.07,0.02,0.0,19734.0,2300.0,2300.0,19734.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-18,2300.0,19297.0,0.09,1.6,0.07,0.02,0.0,19297.0,2300.0,2300.0,19297.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-19,2300.0,18860.0,0.09,1.57,0.07,0.02,0.0,18860.0,2300.0,2300.0,18860.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-22,2300.0,18515.0,0.09,1.57,0.07,0.02,0.0,18515.0,2300.0,2300.0,18515.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-23,2300.0,18308.0,0.09,1.58,0.07,0.02,0.0,18308.0,2300.0,2300.0,18308.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-24,2300.0,18400.0,0.09,1.55,0.07,0.02,0.0,18400.0,2300.0,2300.0,18400.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-25,2300.0,19251.0,0.09,1.58,0.07,0.02,0.0,19251.0,2300.0,2300.0,19251.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-26,2300.0,18814.0,0.09,1.57,0.07,0.02,0.0,18814.0,2300.0,2300.0,18814.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-29,2300.0,18492.0,0.09,1.57,0.07,0.02,0.0,18492.0,2300.0,2300.0,18492.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-30,2300.0,18745.0,0.09,1.49,0.07,0.02,0.0,18745.0,2300.0,2300.0,18745.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-08-31,2300.0,19987.0,0.09,1.54,0.07,0.02,0.0,19987.0,2300.0,2300.0,19987.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-09-01,2300.0,20010.0,0.09,1.51,0.07,0.02,0.0,20010.0,2300.0,2300.0,20010.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-09-02,2300.0,20286.0,0.09,1.38,0.07,0.02,0.0,20286.0,2300.0,2300.0,20286.0,,,,,,,,,,,,0.02,,100.0,4.4,0.0,0.0,0.0,100.0,,1.0,100.0,0.044
2022-09-05,2300.0,20332.0,0.09,1.43,0.07,0.02,0.0,20332.0,2300.0,2300.0,20332.0,,,,,,,,,,,,0.02,,100.0,2.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0276
2022-09-06,2300.0,20470.0,0.09,1.51,0.07,0.02,0.0,20470.0,2300.0,2300.0,20470.0,,,,,,,,,,,,0.02,,100.0,2.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.0225
2022-09-07,2300.0,20240.0,0.09,1.47,0.07,0.02,0.0,20240.0,2300.0,2300.0,20240.0,,,,,,,,,,,,0.02,,100.0,2.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.0225
2022-09-08,2300.0,20171.0,0.09,1.43,0.07,0.02,0.0,20171.0,2300.0,2300.0,20171.0,,,,,,,,,,,,0.02,,100.0,2.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.0225
2022-09-09,2300.0,20378.0,0.09,1.39,0.07,0.02,0.0,20378.0,2300.0,2300.0,20378.0,,,,,,,,,,,,0.02,,100.0,2.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.0225
2022-09-12,2300.0,20700.0,0.09,1.51,0.07,0.02,0.0,20700.0,2300.0,2300.0,20700.0,,,,,,,,,,,,0.02,,100.0,2.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.0225
2022-09-13,2300.0,20263.0,0.09,1.49,0.07,0.02,0.0,20263.0,2300.0,2300.0,20263.0,,,,,,,,,,,,0.02,,100.0,2.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.0225
2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.02,,2300.0,,,,,2300.0,0.0,0.02,0.0,0.0,100000.0,901000.0,0.88,0.0,,0.0,,0.0
2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100000.0,880000.0,0.9,0.0,,0.0,,0.0
2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100000.0,880000.0,0.88,0.0,,0.0,,0.0
2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100000.0,869000.0,0.88,0.0,,0.0,,0.0
2022-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100000.0,845000.0,0.87,0.0,,0.0,,0.0
2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,832773.76,0.85,0.0,,0.0,,0.0
2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,832773.76,0.83,0.0,,0.0,,0.0
2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,833774.69,0.83,0.0,,0.0,,0.0
2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,826768.18,0.83,0.0,,0.0,,0.0
2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,826768.18,0.83,0.0,,0.0,,0.0
2022-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,808751.44,0.83,0.0,,0.0,,0.0
2022-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,795739.35,0.84,0.0,,0.0,,0.0
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,800744.0,0.8,0.0,,0.0,,0.0
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,870809.1,0.8,0.0,,0.0,,0.0
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,890827.7,0.87,0.0,,0.0,,0.0
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,874812.82,0.89,0.0,,0.0,,0.0
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,860799.8,0.87,0.0,,0.0,,0.0
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,861800.73,0.86,0.0,,0.0,,0.0
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,886823.98,0.86,0.0,,0.0,,0.0
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,875813.75,0.89,0.0,,0.0,,0.0
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,875813.75,0.88,0.0,,0.0,,0.0
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,816758.88,0.88,0.0,,0.0,,0.0
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,874812.82,0.82,0.0,,0.0,,0.0
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,848788.64,0.87,0.0,,0.0,,0.0
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,849789.57,0.85,0.0,,0.0,,0.0
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,840781.2,0.85,0.0,,0.0,,0.0
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,855795.15,0.84,0.0,,0.0,,0.0
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,845785.85,0.86,0.0,,0.0,,0.0
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,880818.4,0.85,0.0,,0.0,,0.0
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,879817.47,0.88,0.0,,0.0,,0.0
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,899836.07,0.88,0.0,,0.0,,0.0
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,915850.95,0.9,0.0,,0.0,,0.0
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,912848.16,0.92,0.0,,0.0,,0.0
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,929863.97,0.91,0.0,,0.0,,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,929863.97,0.91,0.0,,0.0,,0.0
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,891828.63,0.91,0.0,,0.0,,0.0
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,879817.47,0.89,0.0,,0.0,,0.0
2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100093.0,882820.26,0.88,0.0,,0.0,,0.0
