,S500 FP Equity_PX_LAST
2017-06-09,55.7
2017-06-12,55.231
2017-06-13,55.405
2017-06-14,55.106
2017-06-15,55.55
2017-06-16,55.302
2017-06-19,55.928
2017-06-20,56.049
2017-06-21,55.759
2017-06-22,55.792
2017-06-23,55.538
2017-06-26,55.541
2017-06-27,55.039
2017-06-28,54.744
2017-06-29,54.097
2017-06-30,54.171
2017-07-03,54.732
2017-07-04,54.614
2017-07-05,54.655
2017-07-06,54.153
2017-07-07,54.258
2017-07-10,54.37
2017-07-11,53.993
2017-07-12,54.578
2017-07-13,54.81
2017-07-14,54.578
2017-07-17,54.763
2017-07-18,54.168
2017-07-19,54.656
2017-07-20,54.153
2017-07-21,54.045
2017-07-24,54.075
2017-07-25,54.289
2017-07-26,54.343
2017-07-27,54.284
2017-07-28,53.556
2017-07-31,53.505
2017-08-01,53.471
2017-08-02,53.135
2017-08-03,53.081
2017-08-04,53.779
2017-08-07,53.615
2017-08-08,54.065
2017-08-09,53.631
2017-08-10,53.306
2017-08-11,52.856
2017-08-14,53.445
2017-08-15,53.681
2017-08-16,53.922
2017-08-17,53.361
2017-08-18,52.923
2017-08-21,52.438
2017-08-22,53.06
2017-08-23,52.923
2017-08-24,52.707
2017-08-25,52.518
2017-08-28,52.142
2017-08-29,51.77
2017-08-30,52.55
2017-08-31,52.996
2017-09-01,53.251
2017-09-04,52.894
2017-09-05,52.792
2017-09-06,52.64
2017-09-07,52.324
2017-09-08,52.345
2017-09-11,52.984
2017-09-12,53.24
2017-09-13,53.618
2017-09-14,53.717
2017-09-15,53.389
2017-09-18,53.619
2017-09-19,53.541
2017-09-20,53.469
2017-09-21,53.669
2017-09-22,53.396
2017-09-25,53.804
2017-09-26,54.275
2017-09-27,54.404
2017-09-28,54.4
2017-09-29,54.437
2017-10-02,55.012
2017-10-03,55.029
2017-10-04,55.177
2017-10-05,55.608
2017-10-06,55.539
2017-10-09,55.531
2017-10-10,55.216
2017-10-11,55.104
2017-10-12,55.182
2017-10-13,55.214
2017-10-16,55.367
2017-10-17,55.628
2017-10-18,55.682
2017-10-19,55.243
2017-10-20,55.834
2017-10-23,56.103
2017-10-24,55.901
2017-10-25,55.357
2017-10-26,56.119
2017-10-27,57.001
2017-10-30,56.591
2017-10-31,56.622
2017-11-01,56.857
2017-11-02,56.604
2017-11-03,57.026
2017-11-06,57.222
2017-11-07,57.35
2017-11-08,57.182
2017-11-09,56.821
2017-11-10,56.634
2017-11-13,56.742
2017-11-14,56.072
2017-11-15,55.831
2017-11-16,56.232
2017-11-17,56.093
2017-11-20,56.343
2017-11-21,56.721
2017-11-22,56.433
2017-11-23,56.192
2017-11-24,55.874
2017-11-27,55.901
2017-11-28,56.319
2017-11-29,56.768
2017-11-30,56.894
2017-12-01,56.306
2017-12-04,57.442
2017-12-05,57.426
2017-12-06,57.247
2017-12-07,57.37
2017-12-08,57.705
2017-12-11,57.714
2017-12-12,58.415
2017-12-13,58.235
2017-12-14,58.045
2017-12-15,58.325
2017-12-18,58.524
2017-12-19,58.372
2017-12-20,57.932
2017-12-21,58.123
2017-12-22,58.089
2017-12-27,57.928
2017-12-28,57.638
2017-12-29,57.359
2018-01-02,57.3
2018-01-03,57.795
2018-01-04,57.942
2018-01-05,58.331
2018-01-08,58.805
2018-01-09,59.367
2018-01-10,58.916
2018-01-11,58.768
2018-01-12,58.898
2018-01-15,58.5
2018-01-16,58.737
2018-01-17,58.627
2018-01-18,58.726
2018-01-19,58.863
2018-01-22,59.041
2018-01-23,59.415
2018-01-24,58.814
2018-01-25,58.423
2018-01-26,59.021
2018-01-29,59.501
2018-01-30,58.606
2018-01-31,58.381
2018-02-01,58.193
2018-02-02,57.63
2018-02-05,56.913
2018-02-06,54.45
2018-02-07,56.738
2018-02-08,55.514
2018-02-09,54.321
2018-02-12,55.261
2018-02-13,54.957
2018-02-14,55.361
2018-02-15,55.621
2018-02-16,56.604
2018-02-19,56.517
2018-02-20,56.868
2018-02-21,57.091
2018-02-22,56.824
2018-02-23,56.926
2018-02-26,57.644
2018-02-27,58.189
2018-02-28,57.679
2018-03-01,57.092
2018-03-02,55.571
2018-03-05,56.378
2018-03-06,56.228
2018-03-07,56.353
2018-03-08,56.91
2018-03-09,57.786
2018-03-12,58.191
2018-03-13,57.648
2018-03-14,57.232
2018-03-15,57.506
2018-03-16,57.691
2018-03-19,56.546
2018-03-20,57.034
2018-03-21,57.228
2018-03-22,56.01
2018-03-23,54.857
2018-03-26,53.975
2018-03-27,55.231
2018-03-28,54.212
2018-03-29,55.023
2018-04-03,54.389
2018-04-04,54.524
2018-04-05,56.226
2018-04-06,55.226
2018-04-09,55.166
2018-04-10,55.466
2018-04-11,55.046
2018-04-12,55.714
2018-04-13,55.561
2018-04-16,55.585
2018-04-17,56.386
2018-04-18,56.436
2018-04-19,56.111
2018-04-20,56.019
2018-04-23,56.453
2018-04-24,56.207
2018-04-25,55.531
2018-04-26,56.425
2018-04-27,56.75
2018-04-30,57.024
2018-05-02,56.949
2018-05-03,55.997
2018-05-04,57.283
2018-05-07,57.806
2018-05-08,57.935
2018-05-09,58.153
2018-05-10,58.775
2018-05-11,58.827
2018-05-14,58.881
2018-05-15,58.834
2018-05-16,59.363
2018-05-17,59.588
2018-05-18,59.467
2018-05-21,59.759
2018-05-22,59.867
2018-05-23,59.796
2018-05-24,59.734
2018-05-25,60.206
2018-05-28,60.346
2018-05-29,60.252
2018-05-30,60.106
2018-05-31,59.975
2018-06-01,60.313
2018-06-04,60.516
2018-06-05,60.591
2018-06-06,60.48
2018-06-07,60.456
2018-06-08,60.679
2018-06-11,60.818
2018-06-12,60.932
2018-06-13,61.114
2018-06-14,61.652
2018-06-15,61.415
2018-06-18,61.554
2018-06-19,61.367
2018-06-20,61.611
2018-06-21,61.275
2018-06-22,61.202
2018-06-25,59.784
2018-06-26,60.148
2018-06-27,60.791
2018-06-28,60.37
2018-06-29,60.553
2018-07-02,60.216
2018-07-03,60.454
2018-07-04,60.259
2018-07-05,60.141
2018-07-06,60.558
2018-07-09,61.033
2018-07-10,61.399
2018-07-11,61.149
2018-07-12,61.631
2018-07-13,62.013
2018-07-16,61.684
2018-07-17,61.9
2018-07-18,62.401
2018-07-19,62.476
2018-07-20,61.925
2018-07-23,61.813
2018-07-24,62.298
2018-07-25,62.466
2018-07-26,62.898
2018-07-27,62.781
2018-07-30,61.918
2018-07-31,62.13
2018-08-01,62.317
2018-08-02,62.557
2018-08-03,63.071
2018-08-06,63.549
2018-08-07,63.704
2018-08-08,63.672
2018-08-09,63.87
2018-08-10,64.341
2018-08-13,64.156
2018-08-14,64.568
2018-08-15,64.255
2018-08-16,64.56
2018-08-17,64.386
2018-08-20,64.521
2018-08-21,64.313
2018-08-22,63.916
2018-08-23,63.813
2018-08-24,63.934
2018-08-27,64.133
2018-08-28,63.964
2018-08-29,64.419
2018-08-30,64.506
2018-08-31,64.57
2018-09-03,64.756
2018-09-04,64.791
2018-09-05,64.153
2018-09-06,64.022
2018-09-07,64.407
2018-09-10,64.274
2018-09-11,64.395
2018-09-12,64.332
2018-09-13,64.241
2018-09-14,64.526
2018-09-17,64.164
2018-09-18,64.372
2018-09-19,64.468
2018-09-20,64.473
2018-09-21,64.71
2018-09-24,64.151
2018-09-25,64.273
2018-09-26,64.383
2018-09-27,64.796
2018-09-28,65.011
2018-10-01,65.595
2018-10-02,65.521
2018-10-03,65.897
2018-10-04,65.276
2018-10-05,64.942
2018-10-08,64.85
2018-10-09,65.131
2018-10-10,63.727
2018-10-11,61.801
2018-10-12,61.848
2018-10-15,61.854
2018-10-16,62.367
2018-10-17,62.698
2018-10-18,62.521
2018-10-19,62.674
2018-10-22,62.325
2018-10-23,61.076
2018-10-24,61.482
2018-10-25,61.486
2018-10-26,60.588
2018-10-29,60.784
2018-10-30,60.553
2018-10-31,62.182
2018-11-01,62.109
2018-11-02,61.73
2018-11-05,61.959
2018-11-06,62.27
2018-11-07,63.047
2018-11-08,63.804
2018-11-09,63.609
2018-11-12,63.053
2018-11-13,63.111
2018-11-14,62.178
2018-11-15,61.963
2018-11-16,61.969
2018-11-19,61.268
2018-11-20,60.299
2018-11-21,60.692
2018-11-22,59.831
2018-11-23,60.494
2018-11-26,60.86
2018-11-27,61.38
2018-11-28,61.916
2018-11-29,62.312
2018-11-30,62.761
2018-12-03,63.632
2018-12-04,63.29
2018-12-05,61.985
2018-12-06,60.113
2018-12-07,60.546
2018-12-10,59.162
2018-12-11,60.714
2018-12-12,61.068
2018-12-13,60.707
2018-12-14,60.267
2018-12-17,59.367
2018-12-18,58.448
2018-12-19,58.246
2018-12-20,56.447
2018-12-21,56.375
2018-12-27,55.49
2018-12-28,56.514
2018-12-31,56.934
2019-01-02,57.301
2019-01-03,56.149
2019-01-04,57.33
2019-01-07,57.785
2019-01-08,57.938
2019-01-09,58.3
2019-01-10,58.396
2019-01-11,58.646
2019-01-14,58.516
2019-01-15,59.288
2019-01-16,59.737
2019-01-17,59.856
2019-01-18,61.068
2019-01-21,60.898
2019-01-22,60.569
2019-01-23,60.061
2019-01-24,60.452
2019-01-25,60.773
2019-01-28,59.86
2019-01-29,59.968
2019-01-30,60.529
2019-01-31,61.293
2019-02-01,61.41
2019-02-04,61.737
2019-02-05,62.291
2019-02-06,62.461
2019-02-07,61.645
2019-02-08,61.664
2019-02-11,62.47
2019-02-12,63.034
2019-02-13,63.403
2019-02-14,63.203
2019-02-15,63.941
2019-02-18,63.913
2019-02-19,63.792
2019-02-20,63.793
2019-02-21,63.755
2019-02-22,64.123
2019-02-25,64.477
2019-02-26,64.161
2019-02-27,63.823
2019-02-28,63.859
2019-03-01,63.907
2019-03-04,64.245
2019-03-05,64.391
2019-03-06,63.991
2019-03-07,63.969
2019-03-08,63.345
2019-03-11,64.376
2019-03-12,64.489
2019-03-13,64.873
2019-03-14,64.863
2019-03-15,65.118
2019-03-18,64.976
2019-03-19,65.441
2019-03-20,64.651
2019-03-21,65.357
2019-03-22,64.938
2019-03-25,64.486
2019-03-26,65.027
2019-03-27,64.872
2019-03-28,65.178
2019-03-29,65.715
2019-04-01,66.463
2019-04-02,66.777
2019-04-03,66.975
2019-04-04,66.823
2019-04-05,67.224
2019-04-08,66.964
2019-04-09,66.69
2019-04-10,66.827
2019-04-11,66.955
2019-04-12,66.929
2019-04-15,66.993
2019-04-16,67.262
2019-04-17,66.991
2019-04-18,67.307
2019-04-23,68.222
2019-04-24,68.426
2019-04-25,68.645
2019-04-26,68.549
2019-04-29,68.813
2019-04-30,68.299
2019-05-02,67.991
2019-05-03,68.52
2019-05-06,68.04
2019-05-07,67.489
2019-05-08,67.222
2019-05-09,66.047
2019-05-10,65.698
2019-05-13,65.42
2019-05-14,66.268
2019-05-15,66.453
2019-05-16,67.5
2019-05-17,67.365
2019-05-20,66.584
2019-05-21,66.995
2019-05-22,66.934
2019-05-23,65.966
2019-05-24,65.87
2019-05-27,66.022
2019-05-28,66.021
2019-05-29,65.177
2019-05-30,65.319
2019-05-31,64.838
2019-06-03,64.255
2019-06-04,64.8
2019-06-05,65.361
2019-06-06,65.601
2019-06-07,66.282
2019-06-10,67.0
2019-06-11,66.761
2019-06-12,66.548
2019-06-13,66.928
2019-06-14,67.272
2019-06-17,67.347
2019-06-18,68.261
2019-06-19,68.013
2019-06-20,68.203
2019-06-21,68.353
2019-06-24,67.757
2019-06-25,67.399
2019-06-26,67.112
2019-06-27,67.135
2019-06-28,67.411
2019-07-01,68.532
2019-07-02,68.546
2019-07-03,69.318
2019-07-04,69.534
2019-07-05,69.466
2019-07-08,69.383
2019-07-09,69.381
2019-07-10,69.497
2019-07-11,69.693
2019-07-12,69.877
2019-07-15,69.959
2019-07-16,70.237
2019-07-17,69.774
2019-07-18,69.361
2019-07-19,69.894
2019-07-22,69.495
2019-07-23,70.151
2019-07-24,70.564
2019-07-25,70.517
2019-07-26,71.061
2019-07-29,70.924
2019-07-30,70.714
2019-07-31,70.835
2019-08-01,71.213
2019-08-02,68.776
2019-08-05,67.076
2019-08-06,66.549
2019-08-07,66.584
2019-08-08,68.159
2019-08-09,67.781
2019-08-12,67.367
2019-08-13,68.223
2019-08-14,67.314
2019-08-15,67.052
2019-08-16,68.068
2019-08-19,69.021
2019-08-20,68.864
2019-08-21,69.002
2019-08-22,68.831
2019-08-23,67.586
2019-08-26,67.566
2019-08-27,67.93
2019-08-28,68.096
2019-08-29,69.184
2019-08-30,69.58
2019-09-02,69.588
2019-09-03,69.339
2019-09-04,69.583
2019-09-05,70.623
2019-09-06,70.681
2019-09-09,70.679
2019-09-10,70.196
2019-09-11,71.26
2019-09-12,71.436
2019-09-13,71.296
2019-09-16,71.388
2019-09-17,71.092
2019-09-18,70.963
2019-09-19,71.643
2019-09-20,71.721
2019-09-23,71.332
2019-09-24,71.282
2019-09-25,71.156
2019-09-26,71.141
2019-09-27,71.448
2019-09-30,71.639
2019-10-01,71.017
2019-10-02,69.024
2019-10-03,68.931
2019-10-04,70.143
2019-10-07,70.477
2019-10-08,69.362
2019-10-09,69.572
2019-10-10,70.157
2019-10-11,71.05
2019-10-14,70.667
2019-10-15,71.198
2019-10-16,70.902
2019-10-17,70.686
2019-10-18,70.404
2019-10-21,70.714
2019-10-22,70.892
2019-10-23,70.822
2019-10-24,71.238
2019-10-25,71.591
2019-10-28,71.857
2019-10-29,71.938
2019-10-30,71.667
2019-10-31,71.264
2019-11-01,71.931
2019-11-04,72.591
2019-11-05,73.023
2019-11-06,72.951
2019-11-07,73.589
2019-11-08,73.488
2019-11-11,73.326
2019-11-12,73.922
2019-11-13,73.796
2019-11-14,73.737
2019-11-15,74.076
2019-11-18,73.977
2019-11-19,73.98
2019-11-20,73.963
2019-11-21,73.564
2019-11-22,73.917
2019-11-25,74.695
2019-11-26,74.849
2019-11-27,75.178
2019-11-28,75.208
2019-11-29,75.083
2019-12-02,73.787
2019-12-03,72.908
2019-12-04,73.875
2019-12-05,73.627
2019-12-06,74.947
2019-12-09,74.777
2019-12-10,74.413
2019-12-11,74.35
2019-12-12,74.703
2019-12-13,74.703
2019-12-16,75.45
2019-12-17,75.325
2019-12-18,75.621
2019-12-19,75.797
2019-12-20,76.639
2019-12-23,76.564
2019-12-24,76.632
2019-12-27,76.445
2019-12-30,75.636
2019-12-31,75.47
2020-01-02,76.17
2020-01-03,76.267
2020-01-06,76.052
2020-01-07,76.564
2020-01-08,76.976
2020-01-09,77.567
2020-01-10,77.559
2020-01-13,77.456
2020-01-14,77.723
2020-01-15,77.757
2020-01-16,78.105
2020-01-17,78.817
2020-01-20,78.923
2020-01-21,78.877
2020-01-22,79.058
2020-01-23,78.826
2020-01-24,79.115
2020-01-27,77.487
2020-01-28,78.337
2020-01-29,78.556
2020-01-30,77.635
2020-01-31,76.934
2020-02-03,77.382
2020-02-04,78.768
2020-02-05,79.503
2020-02-06,80.206
2020-02-07,80.3
2020-02-10,80.557
2020-02-11,81.143
2020-02-12,81.626
2020-02-13,82.053
2020-02-14,82.109
2020-02-17,82.414
2020-02-18,81.85
2020-02-19,82.762
2020-02-20,81.743
2020-02-21,81.238
2020-02-24,78.681
2020-02-25,77.326
2020-02-26,76.787
2020-02-27,73.25
2020-02-28,69.945
2020-03-02,71.166
2020-03-03,71.996
2020-03-04,72.537
2020-03-05,72.351
2020-03-06,68.841
2020-03-09,64.595
2020-03-10,64.195
2020-03-11,64.89
2020-03-12,59.701
2020-03-13,60.614
2020-03-16,59.405
2020-03-17,60.205
2020-03-18,57.893
2020-03-19,58.979
2020-03-20,58.732
2020-03-23,54.825
2020-03-24,59.403
2020-03-25,61.18
2020-03-26,62.117
2020-03-27,60.691
2020-03-30,62.229
2020-03-31,63.286
2020-04-01,60.372
2020-04-02,60.826
2020-04-03,60.949
2020-04-06,63.593
2020-04-07,65.92
2020-04-08,65.889
2020-04-09,67.359
2020-04-14,67.86
2020-04-15,67.072
2020-04-16,67.928
2020-04-17,68.836
2020-04-20,69.38
2020-04-21,66.462
2020-04-22,67.993
2020-04-23,69.001
2020-04-24,68.278
2020-04-27,69.996
2020-04-28,70.194
2020-04-29,71.342
2020-04-30,70.289
2020-05-04,68.161
2020-05-05,70.399
2020-05-06,70.103
2020-05-07,70.796
2020-05-08,71.037
2020-05-11,71.418
2020-05-12,71.164
2020-05-13,69.207
2020-05-14,68.668
2020-05-15,69.182
2020-05-18,71.781
2020-05-19,71.563
2020-05-20,71.636
2020-05-21,71.149
2020-05-22,71.329
2020-05-25,72.664
2020-05-26,72.378
2020-05-27,72.083
2020-05-28,72.964
2020-05-29,71.632
2020-06-01,72.505
2020-06-02,72.443
2020-06-03,73.44
2020-06-04,72.822
2020-06-05,75.081
2020-06-08,75.196
2020-06-09,74.779
2020-06-10,74.449
2020-06-11,71.633
2020-06-12,71.324
2020-06-15,70.766
2020-06-16,73.45
2020-06-17,73.72
2020-06-18,73.438
2020-06-19,74.08
2020-06-22,72.957
2020-06-23,73.635
2020-06-24,71.739
2020-06-25,71.765
2020-06-26,71.508
2020-06-29,71.601
2020-06-30,72.435
2020-07-01,73.04
2020-07-02,74.059
2020-07-03,73.591
2020-07-06,74.479
2020-07-07,74.529
2020-07-08,73.597
2020-07-09,73.364
2020-07-10,74.037
2020-07-13,75.35
2020-07-14,73.705
2020-07-15,74.831
2020-07-16,74.374
2020-07-17,74.63
2020-07-20,74.992
2020-07-21,75.546
2020-07-22,74.695
2020-07-23,74.883
2020-07-24,73.387
2020-07-27,72.662
2020-07-28,73.234
2020-07-29,73.074
2020-07-30,72.757
2020-07-31,72.717
2020-08-03,74.405
2020-08-04,74.358
2020-08-05,74.157
2020-08-06,74.397
2020-08-07,75.287
2020-08-10,75.533
2020-08-11,76.05
2020-08-12,75.97
2020-08-13,75.825
2020-08-14,75.728
2020-08-17,75.628
2020-08-18,75.345
2020-08-19,75.769
2020-08-20,75.58
2020-08-21,76.259
2020-08-24,76.908
2020-08-25,77.087
2020-08-26,77.627
2020-08-27,78.572
2020-08-28,77.886
2020-08-31,77.701
2020-09-01,77.97
2020-09-02,79.499
2020-09-03,78.034
2020-09-04,76.069
2020-09-07,77.164
2020-09-08,75.623
2020-09-09,76.36
2020-09-10,76.05
2020-09-11,75.183
2020-09-14,75.966
2020-09-15,76.547
2020-09-16,76.721
2020-09-17,75.559
2020-09-18,74.623
2020-09-21,73.158
2020-09-22,74.355
2020-09-23,74.957
2020-09-24,73.98
2020-09-25,74.715
2020-09-28,76.349
2020-09-29,75.607
2020-09-30,76.412
2020-10-01,76.548
2020-10-02,76.056
2020-10-05,76.54
2020-10-06,76.797
2020-10-07,76.953
2020-10-08,77.604
2020-10-09,78.059
2020-10-12,79.629
2020-10-13,80.313
2020-10-14,79.621
2020-10-15,78.896
2020-10-16,79.655
2020-10-19,79.224
2020-10-20,77.482
2020-10-21,77.418
2020-10-22,77.328
2020-10-23,77.656
2020-10-26,76.374
2020-10-27,76.622
2020-10-28,74.901
2020-10-29,75.618
2020-10-30,74.718
2020-11-02,75.75
2020-11-03,76.913
2020-11-04,79.169
2020-11-05,79.691
2020-11-06,78.975
2020-11-09,81.498
2020-11-10,79.592
2020-11-11,80.796
2020-11-12,80.184
2020-11-13,80.105
2020-11-16,81.361
2020-11-17,80.883
2020-11-18,80.898
2020-11-19,79.873
2020-11-20,80.128
2020-11-23,79.704
2020-11-24,80.974
2020-11-25,80.851
2020-11-26,80.928
2020-11-27,80.866
2020-11-30,79.99
2020-12-01,80.951
2020-12-02,80.487
2020-12-03,80.359
2020-12-04,80.747
2020-12-07,80.8
2020-12-08,81.019
2020-12-09,81.156
2020-12-10,80.439
2020-12-11,79.595
2020-12-14,80.121
2020-12-15,79.961
2020-12-16,80.617
2020-12-17,80.283
2020-12-18,80.018
2020-12-21,79.38
2020-12-22,80.303
2020-12-23,80.462
2020-12-24,80.428
2020-12-28,81.083
2020-12-29,81.062
2020-12-30,80.702
2020-12-31,80.551
2021-01-04,79.852
2021-01-05,79.994
2021-01-06,81.206
2021-01-07,81.898
2021-01-08,82.045
2021-01-11,82.777
2021-01-12,82.555
2021-01-13,82.859
2021-01-14,82.986
2021-01-15,82.485
2021-01-18,82.519
2021-01-19,82.464
2021-01-20,83.963
2021-01-21,84.086
2021-01-22,83.698
2021-01-25,83.606
2021-01-26,84.053
2021-01-27,83.051
2021-01-28,83.417
2021-01-29,81.482
2021-02-01,82.692
2021-02-02,84.527
2021-02-03,84.68
2021-02-04,85.418
2021-02-05,85.567
2021-02-08,85.703
2021-02-09,85.577
2021-02-10,85.183
2021-02-11,85.469
2021-02-12,85.668
2021-02-15,86.258
2021-02-16,86.003
2021-02-17,86.033
2021-02-18,85.497
2021-02-19,85.674
2021-02-22,84.509
2021-02-23,83.954
2021-02-24,84.885
2021-02-25,83.985
2021-02-26,83.852
2021-03-01,85.412
2021-03-02,84.846
2021-03-03,84.606
2021-03-04,84.157
2021-03-05,83.474
2021-03-08,86.511
2021-03-09,86.699
2021-03-10,86.805
2021-03-11,87.44
2021-03-12,86.909
2021-03-15,87.267
2021-03-16,88.347
2021-03-17,87.805
2021-03-18,87.969
2021-03-19,87.271
2021-03-22,87.57
2021-03-23,88.106
2021-03-24,88.19
2021-03-25,87.636
2021-03-26,88.62
2021-03-29,89.237
2021-03-30,89.675
2021-03-31,90.003
2021-04-01,90.313
2021-04-06,91.515
2021-04-07,91.15
2021-04-08,91.477
2021-04-09,91.948
2021-04-12,92.111
2021-04-13,92.279
2021-04-14,92.042
2021-04-15,92.632
2021-04-16,92.852
2021-04-19,92.272
2021-04-20,91.282
2021-04-21,92.021
2021-04-22,92.549
2021-04-23,92.139
2021-04-26,92.335
2021-04-27,92.288
2021-04-28,92.346
2021-04-29,92.379
2021-04-30,92.771
2021-05-03,92.837
2021-05-04,91.804
2021-05-05,92.95
2021-05-06,92.416
2021-05-07,93.035
2021-05-10,92.777
2021-05-11,90.882
2021-05-12,90.458
2021-05-13,90.818
2021-05-14,91.489
2021-05-17,91.127
2021-05-18,90.856
2021-05-19,89.085
2021-05-20,90.754
2021-05-21,91.223
2021-05-24,91.717
2021-05-25,91.134
2021-05-26,91.625
2021-05-27,91.852
2021-05-28,91.961
2021-05-31,91.373
2021-06-01,91.487
2021-06-02,91.882
2021-06-03,92.151
2021-06-04,92.428
2021-06-07,92.163
2021-06-08,92.333
2021-06-09,92.6
2021-06-10,92.973
2021-06-11,93.553
2021-06-14,93.322
2021-06-15,93.396
2021-06-16,93.594
2021-06-17,94.759
2021-06-18,94.204
2021-06-21,94.595
2021-06-22,95.234
2021-06-23,95.038
2021-06-24,95.578
2021-06-25,95.693
2021-06-28,95.867
2021-06-29,96.456
2021-06-30,96.941
2021-07-01,97.242
2021-07-02,98.047
2021-07-05,98.335
2021-07-06,98.071
2021-07-07,98.873
2021-07-08,97.747
2021-07-09,98.662
2021-07-12,98.976
2021-07-13,99.808
2021-07-14,99.308
2021-07-15,99.27
2021-07-16,98.851
2021-07-19,96.992
2021-07-20,98.382
2021-07-21,98.916
2021-07-22,99.354
2021-07-23,100.429
2021-07-26,100.382
2021-07-27,99.19
2021-07-28,99.94
2021-07-29,99.845
2021-07-30,99.292
2021-08-02,99.618
2021-08-03,99.403
2021-08-04,99.866
2021-08-05,100.096
2021-08-06,100.963
2021-08-09,100.981
2021-08-10,101.39
2021-08-11,101.374
2021-08-12,101.609
2021-08-13,101.456
2021-08-16,101.257
2021-08-17,101.94
2021-08-18,101.728
2021-08-19,100.973
2021-08-20,101.895
2021-08-23,102.609
2021-08-24,102.454
2021-08-25,102.642
2021-08-26,102.25
2021-08-27,102.398
2021-08-30,103.23
2021-08-31,103.005
2021-09-01,102.72
2021-09-02,102.805
2021-09-03,102.535
2021-09-06,102.926
2021-09-07,102.488
2021-09-08,102.28
2021-09-09,102.495
2021-09-10,101.677
2021-09-13,101.48
2021-09-14,101.366
2021-09-15,101.262
2021-09-16,101.876
2021-09-17,101.692
2021-09-20,99.781
2021-09-21,100.299
2021-09-22,100.756
2021-09-23,101.831
2021-09-24,101.867
2021-09-27,102.084
2021-09-28,100.331
2021-09-29,101.119
2021-09-30,100.837
2021-10-01,100.182
2021-10-04,99.145
2021-10-05,101.025
2021-10-06,100.479
2021-10-07,102.947
2021-10-08,102.442
2021-10-11,102.764
2021-10-12,101.859
2021-10-13,101.101
2021-10-14,103.013
2021-10-15,103.944
2021-10-18,104.231
2021-10-19,104.684
2021-10-20,105.149
2021-10-21,105.122
2021-10-22,105.322
2021-10-25,106.216
2021-10-26,107.268
2021-10-27,107.238
2021-10-28,106.852
2021-10-29,108.152
2021-11-01,108.121
2021-11-02,108.761
2021-11-03,108.746
2021-11-04,110.373
