,YIEL FP Equity_DX_DSS,YIEL FP Equity_PX_LAST
2012-06-29,,108.04
2012-07-02,,108.37
2012-07-03,,108.91
2012-07-04,,108.98
2012-07-05,,109.03
2012-07-06,,109.11
2012-07-09,,109.01
2012-07-10,,109.27
2012-07-11,,109.4
2012-07-12,,109.4
2012-07-13,,109.37
2012-07-16,,108.71
2012-07-17,,108.92
2012-07-18,,109.27
2012-07-19,,109.59
2012-07-20,,109.62
2012-07-23,,109.09
2012-07-24,,108.78
2012-07-25,,108.28
2012-07-26,,108.61
2012-07-27,,108.66
2012-07-30,,109.64
2012-07-31,,109.74
2012-08-01,,109.99
2012-08-02,,110.04
2012-08-03,,110.38
2012-08-06,,110.91
2012-08-07,,111.45
2012-08-08,,111.62
2012-08-09,,112.1
2012-08-10,,112.06
2012-08-13,,112.06
2012-08-14,,111.8
2012-08-15,,112.11
2012-08-16,,112.17
2012-08-17,,112.16
2012-08-20,,112.25
2012-08-21,,112.3
2012-08-22,,112.62
2012-08-23,,112.41
2012-08-24,,111.97
2012-08-27,,112.11
2012-08-28,,112.14
2012-08-29,,112.23
2012-08-30,,112.33
2012-08-31,,112.14
2012-09-03,,112.23
2012-09-04,,112.44
2012-09-05,,112.35
2012-09-06,,112.52
2012-09-07,,113.4
2012-09-10,,113.41
2012-09-11,,113.32
2012-09-12,,113.57
2012-09-13,,113.68
2012-09-14,,114.19
2012-09-17,,114.27
2012-09-18,,114.13
2012-09-19,,114.25
2012-09-20,,113.93
2012-09-21,,114.0
2012-09-24,,113.66
2012-09-25,,113.64
2012-09-26,,113.08
2012-09-27,,112.96
2012-09-28,,113.15
2012-10-01,,112.94
2012-10-02,,113.2
2012-10-03,,113.35
2012-10-04,,113.6
2012-10-05,,113.81
2012-10-08,,113.94
2012-10-09,,113.97
2012-10-10,,113.91
2012-10-11,,114.0
2012-10-12,,114.28
2012-10-15,,114.57
2012-10-16,,114.84
2012-10-17,,115.38
2012-10-18,,115.45
2012-10-19,,115.54
2012-10-22,,115.51
2012-10-23,,115.39
2012-10-24,,115.26
2012-10-25,,115.34
2012-10-26,,115.28
2012-10-29,,115.14
2012-10-30,,115.2
2012-10-31,,115.4
2012-11-01,,115.38
2012-11-02,,115.4
2012-11-05,,115.37
2012-11-06,,115.6
2012-11-07,,115.56
2012-11-08,,115.72
2012-11-09,,115.68
2012-11-12,,115.7
2012-11-13,,115.61
2012-11-14,,115.71
2012-11-15,,115.39
2012-11-16,,115.22
2012-11-19,,115.4
2012-11-20,,115.48
2012-11-21,,115.57
2012-11-22,,115.82
2012-11-23,,115.84
2012-11-26,,115.91
2012-11-27,,116.05
2012-11-28,,116.25
2012-11-29,,116.41
2012-11-30,,116.49
2012-12-03,,116.8
2012-12-04,,117.02
2012-12-05,,117.26
2012-12-06,,117.31
2012-12-07,,117.37
2012-12-10,,117.21
2012-12-11,,117.29
2012-12-12,,117.57
2012-12-13,,117.93
2012-12-14,,117.95
2012-12-17,,117.97
2012-12-18,,118.15
2012-12-19,,118.47
2012-12-20,,118.69
2012-12-21,,118.9
2012-12-27,,118.97
2012-12-28,,119.01
2013-01-02,,119.48
2013-01-03,,119.88
2013-01-04,,120.16
2013-01-07,,120.55
2013-01-08,,120.74
2013-01-09,,120.99
2013-01-10,,121.07
2013-01-11,,121.22
2013-01-14,,121.06
2013-01-15,,120.79
2013-01-16,,120.79
2013-01-17,,120.93
2013-01-18,,121.05
2013-01-21,,120.98
2013-01-22,,120.92
2013-01-23,,120.92
2013-01-24,,120.45
2013-01-25,,120.24
2013-01-28,,120.08
2013-01-29,,119.36
2013-01-30,,118.69
2013-01-31,,118.4
2013-02-01,,118.35
2013-02-04,,118.08
2013-02-05,,118.0
2013-02-06,,118.14
2013-02-07,,118.02
2013-02-08,,118.04
2013-02-11,,118.27
2013-02-12,,118.25
2013-02-13,,118.7
2013-02-14,,118.85
2013-02-15,,118.99
2013-02-18,,118.89
2013-02-19,,118.91
2013-02-20,,119.09
2013-02-21,,119.05
2013-02-22,,119.16
2013-02-25,,119.39
2013-02-26,,118.76
2013-02-27,,119.05
2013-02-28,,118.83
2013-03-01,,118.86
2013-03-04,,119.28
2013-03-05,,119.4
2013-03-06,,119.7
2013-03-07,,119.83
2013-03-08,,119.9
2013-03-11,,120.08
2013-03-12,,120.14
2013-03-13,,120.06
2013-03-14,,120.2
2013-03-15,,120.24
2013-03-18,,120.03
2013-03-19,,120.17
2013-03-20,,120.26
2013-03-21,,120.13
2013-03-22,,120.05
2013-03-25,,120.18
2013-03-26,,120.45
2013-03-27,,120.35
2013-03-28,,120.38
2013-04-02,,120.22
2013-04-03,,120.38
2013-04-04,,120.46
2013-04-05,,120.45
2013-04-08,,120.55
2013-04-09,,120.68
2013-04-10,,120.92
2013-04-11,,121.13
2013-04-12,,121.0
2013-04-15,,121.1
2013-04-16,,121.0
2013-04-17,,121.17
2013-04-18,,121.11
2013-04-19,,121.14
2013-04-22,,121.29
2013-04-23,,121.35
2013-04-24,,121.61
2013-04-25,,121.72
2013-04-26,,121.78
2013-04-29,,122.44
2013-04-30,,122.69
2013-05-02,,122.74
2013-05-03,,122.85
2013-05-06,,122.98
2013-05-07,,123.27
2013-05-08,,123.29
2013-05-09,,123.35
2013-05-10,,123.38
2013-05-13,,123.38
2013-05-14,,123.29
2013-05-15,,123.27
2013-05-16,,123.29
2013-05-17,,123.32
2013-05-20,,123.47
2013-05-21,,123.52
2013-05-22,,123.57
2013-05-23,,123.23
2013-05-24,,123.33
2013-05-27,,123.32
2013-05-28,,123.38
2013-05-29,,123.21
2013-05-30,,122.97
2013-05-31,,122.93
2013-06-03,,122.48
2013-06-04,,122.49
2013-06-05,,121.89
2013-06-06,,121.17
2013-06-07,,121.32
2013-06-10,,121.24
2013-06-11,,120.45
2013-06-12,,120.59
2013-06-13,,119.91
2013-06-14,,120.65
2013-06-17,,120.91
2013-06-18,,121.0
2013-06-19,,121.05
2013-06-20,,119.63
2013-06-21,,119.39
2013-06-24,,117.72
2013-06-25,,118.1
2013-06-26,,119.04
2013-06-27,,120.07
2013-06-28,,120.09
2013-07-01,,120.49
2013-07-02,,120.14
2013-07-03,,119.84
2013-07-04,,120.21
2013-07-05,,120.39
2013-07-08,,120.71
2013-07-09,,121.15
2013-07-10,,113.07
2013-07-11,,113.37
2013-07-12,,113.35
2013-07-15,,113.32
2013-07-16,,113.68
2013-07-17,,113.67
2013-07-18,,114.01
2013-07-19,,114.17
2013-07-22,,114.19
2013-07-23,,114.43
2013-07-24,,114.61
2013-07-25,,114.33
2013-07-26,,114.26
2013-07-29,,114.24
2013-07-30,,114.43
2013-07-31,,114.44
2013-08-01,,114.73
2013-08-02,,114.62
2013-08-05,,114.59
2013-08-06,,114.78
2013-08-07,,114.71
2013-08-08,,114.82
2013-08-09,,114.87
2013-08-12,,115.07
2013-08-13,,115.03
2013-08-14,,115.24
2013-08-15,,114.97
2013-08-16,,115.1
2013-08-19,,114.81
2013-08-20,,114.58
2013-08-21,,114.65
2013-08-22,,114.38
2013-08-23,,114.43
2013-08-26,,114.24
2013-08-27,,114.12
2013-08-28,,114.01
2013-08-29,,114.18
2013-08-30,,114.39
2013-09-02,,114.29
2013-09-03,,114.21
2013-09-04,,114.35
2013-09-05,,114.49
2013-09-06,,114.35
2013-09-09,,114.65
2013-09-10,,114.84
2013-09-11,,114.91
2013-09-12,,115.02
2013-09-13,,114.99
2013-09-16,,115.13
2013-09-17,,115.02
2013-09-18,,115.25
2013-09-19,,115.56
2013-09-20,,115.36
2013-09-23,,115.32
2013-09-24,,115.38
2013-09-25,,115.39
2013-09-26,,115.53
2013-09-27,,115.41
2013-09-30,,115.28
2013-10-01,,115.51
2013-10-02,,115.59
2013-10-03,,115.77
2013-10-04,,116.02
2013-10-07,,116.09
2013-10-08,,116.18
2013-10-09,,116.2
2013-10-10,,116.24
2013-10-11,,116.45
2013-10-14,,116.57
2013-10-15,,116.65
2013-10-16,,116.81
2013-10-17,,116.84
2013-10-18,,117.0
2013-10-21,,116.98
2013-10-22,,117.18
2013-10-23,,117.18
2013-10-24,,117.18
2013-10-25,,117.31
2013-10-28,,117.29
2013-10-29,,117.49
2013-10-30,,117.67
2013-10-31,,117.69
2013-11-01,,117.7
2013-11-04,,117.77
2013-11-05,,117.82
2013-11-06,,117.88
2013-11-07,,118.07
2013-11-08,,118.11
2013-11-11,,118.11
2013-11-12,,118.08
2013-11-13,,118.06
2013-11-14,,118.18
2013-11-15,,118.32
2013-11-18,,118.17
2013-11-19,,118.1
2013-11-20,,118.1
2013-11-21,,118.17
2013-11-22,,118.19
2013-11-25,,118.45
2013-11-26,,118.29
2013-11-27,,118.44
2013-11-28,,118.57
2013-11-29,,118.82
2013-12-02,,118.5
2013-12-03,,118.4
2013-12-04,,118.59
2013-12-05,,118.45
2013-12-06,,118.54
2013-12-09,,118.57
2013-12-10,,118.48
2013-12-11,,118.69
2013-12-12,,118.74
2013-12-13,,118.79
2013-12-16,,118.96
2013-12-17,,118.89
2013-12-18,,119.01
2013-12-19,,119.19
2013-12-20,,119.36
2013-12-23,,119.34
2013-12-27,,119.52
2013-12-30,,119.55
2014-01-02,,119.84
2014-01-03,,119.8
2014-01-06,,119.99
2014-01-07,,120.1
2014-01-08,,120.07
2014-01-09,,120.11
2014-01-10,,120.17
2014-01-13,,120.25
2014-01-14,,120.12
2014-01-15,,120.24
2014-01-16,,120.18
2014-01-17,,120.23
2014-01-20,,120.24
2014-01-21,,120.44
2014-01-22,,120.38
2014-01-23,,120.21
2014-01-24,,119.92
2014-01-27,,119.39
2014-01-28,,119.67
2014-01-29,,119.85
2014-01-30,,119.64
2014-01-31,,119.58
2014-02-03,,119.56
2014-02-04,,119.61
2014-02-05,,119.8
2014-02-06,,119.9
2014-02-07,,120.33
2014-02-10,,120.46
2014-02-11,,120.51
2014-02-12,,120.78
2014-02-13,,120.76
2014-02-14,,120.86
2014-02-17,,120.89
2014-02-18,,121.01
2014-02-19,,121.18
2014-02-20,,121.02
2014-02-21,,121.17
2014-02-24,,121.25
2014-02-25,,121.3
2014-02-26,,121.62
2014-02-27,,121.44
2014-02-28,,121.44
2014-03-03,,121.14
2014-03-04,,121.35
2014-03-05,,121.47
2014-03-06,,121.47
2014-03-07,,121.51
2014-03-10,,121.7
2014-03-11,,121.7
2014-03-12,,121.69
2014-03-13,,121.62
2014-03-14,,121.36
2014-03-17,,121.49
2014-03-18,,121.52
2014-03-19,,121.72
2014-03-20,,121.59
2014-03-21,,121.56
2014-03-24,,121.64
2014-03-25,,121.61
2014-03-26,,121.63
2014-03-27,,121.75
2014-03-28,,121.79
2014-03-31,,122.04
2014-04-01,,121.92
2014-04-02,,122.03
2014-04-03,,122.09
2014-04-04,,122.26
2014-04-07,,122.31
2014-04-08,,122.36
2014-04-09,,122.43
2014-04-10,,122.59
2014-04-11,,122.58
2014-04-14,,122.45
2014-04-15,,122.48
2014-04-16,,122.52
2014-04-17,,122.67
2014-04-22,,122.66
2014-04-23,,122.87
2014-04-24,,122.55
2014-04-25,,122.66
2014-04-28,,122.7
2014-04-29,,122.86
2014-04-30,,123.0
2014-05-02,,122.91
2014-05-05,,122.91
2014-05-06,,122.98
2014-05-07,,123.11
2014-05-08,,123.08
2014-05-09,,123.15
2014-05-12,,123.23
2014-05-13,,123.39
2014-05-14,,123.63
2014-05-15,,123.33
2014-05-16,,123.12
2014-05-19,,122.97
2014-05-20,,123.04
2014-05-21,,122.92
2014-05-22,,122.92
2014-05-23,,122.91
2014-05-26,,123.01
2014-05-27,,123.15
2014-05-28,,123.42
2014-05-29,,123.32
2014-05-30,,123.2
2014-06-02,,123.62
2014-06-03,,123.45
2014-06-04,,124.2
2014-06-05,,124.21
2014-06-06,,124.61
2014-06-09,,124.74
2014-06-10,,124.78
2014-06-11,,124.72
2014-06-12,,124.72
2014-06-13,,124.86
2014-06-16,,124.77
2014-06-17,,124.59
2014-06-18,,124.84
2014-06-19,,125.19
2014-06-20,,125.1
2014-06-23,,125.07
2014-06-24,,125.3
2014-06-25,,125.1
2014-06-26,,124.98
2014-06-27,,124.75
2014-06-30,,124.47
2014-07-01,,124.6
2014-07-02,,124.61
2014-07-03,,124.69
2014-07-04,,124.86
2014-07-07,,124.85
2014-07-08,,124.66
2014-07-09,,120.93
2014-07-10,,120.63
2014-07-11,,120.56
2014-07-14,,120.57
2014-07-15,,120.48
2014-07-16,,120.77
2014-07-17,,120.8
2014-07-18,,120.76
2014-07-21,,120.71
2014-07-22,,121.05
2014-07-23,,120.97
2014-07-24,,121.02
2014-07-25,,121.1
2014-07-28,,121.1
2014-07-29,,121.04
2014-07-30,,121.27
2014-07-31,,120.92
2014-08-01,,120.25
2014-08-04,,120.07
2014-08-05,,119.99
2014-08-06,,119.73
2014-08-07,,119.63
2014-08-08,,119.32
2014-08-11,,119.6
2014-08-12,,119.77
2014-08-13,,119.96
2014-08-14,,120.14
2014-08-15,,120.27
2014-08-18,,120.42
2014-08-19,,120.68
2014-08-20,,120.78
2014-08-21,,120.75
2014-08-22,,120.8
2014-08-25,,120.94
2014-08-26,,121.18
2014-08-27,,121.33
2014-08-28,,121.22
2014-08-29,,121.09
2014-09-01,,120.95
2014-09-02,,121.03
2014-09-03,,121.14
2014-09-04,,120.8
2014-09-05,,120.86
2014-09-08,,120.88
2014-09-09,,120.79
2014-09-10,,120.94
2014-09-11,,121.07
2014-09-12,,120.93
2014-09-15,,120.82
2014-09-16,,120.74
2014-09-17,,120.89
2014-09-18,,120.95
2014-09-19,,121.31
2014-09-22,,121.15
2014-09-23,,120.95
2014-09-24,,120.9
2014-09-25,,120.68
2014-09-26,,120.33
2014-09-29,,120.26
2014-09-30,,120.09
2014-10-01,,120.36
2014-10-02,,120.3
2014-10-03,,120.29
2014-10-06,,120.52
2014-10-07,,120.41
2014-10-08,,120.06
2014-10-09,,120.05
2014-10-10,,119.57
2014-10-13,,119.14
2014-10-14,,119.1
2014-10-15,,118.57
2014-10-16,,117.69
2014-10-17,,119.0
2014-10-20,,118.92
2014-10-21,,119.77
2014-10-22,,120.05
2014-10-23,,120.15
2014-10-24,,120.53
2014-10-27,,120.27
2014-10-28,,120.26
2014-10-29,,120.31
2014-10-30,,120.07
2014-10-31,,120.03
2014-11-03,,120.26
2014-11-04,,120.34
2014-11-05,,120.46
2014-11-06,,120.84
2014-11-07,,120.97
2014-11-10,,121.15
2014-11-11,,121.48
2014-11-12,,121.45
2014-11-13,,121.4
2014-11-14,,120.36
2014-11-17,,120.39
2014-11-18,,120.58
2014-11-19,,120.33
2014-11-20,,120.18
2014-11-21,,120.67
2014-11-24,,120.86
2014-11-25,,121.14
2014-11-26,,121.13
2014-11-27,,121.28
2014-11-28,,121.26
2014-12-01,,120.97
2014-12-02,,120.8
2014-12-03,,121.2
2014-12-04,,121.39
2014-12-05,,121.54
2014-12-08,,121.52
2014-12-09,,121.32
2014-12-10,,121.08
2014-12-11,,120.95
2014-12-12,,120.56
2014-12-15,,120.4
2014-12-16,,119.85
2014-12-17,,120.02
2014-12-18,,120.8
2014-12-19,,120.9
2014-12-22,,120.83
2014-12-23,,121.09
2014-12-29,,121.41
2014-12-30,,121.2
2015-01-02,,121.2
2015-01-05,,121.17
2015-01-06,,121.25
2015-01-07,,121.01
2015-01-08,,121.35
2015-01-09,,121.39
2015-01-12,,121.35
2015-01-13,,121.3
2015-01-14,,121.29
2015-01-15,,121.38
2015-01-16,,121.28
2015-01-19,,121.44
2015-01-20,,121.62
2015-01-21,,121.72
2015-01-22,,122.08
2015-01-23,,122.61
2015-01-26,,122.7
2015-01-27,,122.73
2015-01-28,,122.6
2015-01-29,,122.77
2015-01-30,,123.08
2015-02-02,,122.9
2015-02-03,,123.19
2015-02-04,,123.23
2015-02-05,,123.08
2015-02-06,,123.29
2015-02-09,,123.19
2015-02-10,,123.25
2015-02-11,,123.47
2015-02-12,,123.38
2015-02-13,,123.66
2015-02-16,,123.8
2015-02-17,,123.85
2015-02-18,,124.0
2015-02-19,,124.39
2015-02-20,,124.17
2015-02-23,,124.51
2015-02-24,,124.61
2015-02-25,,124.75
2015-02-26,,125.24
2015-02-27,,125.16
2015-03-02,,125.24
2015-03-03,,125.37
2015-03-04,,125.35
2015-03-05,,125.45
2015-03-06,,125.58
2015-03-09,,125.49
2015-03-10,,124.8
2015-03-11,,124.7
2015-03-12,,125.07
2015-03-13,,124.59
2015-03-16,,124.47
2015-03-17,,123.86
2015-03-18,,123.92
2015-03-19,,123.82
2015-03-20,,123.94
2015-03-23,,123.94
2015-03-24,,123.8
2015-03-25,,123.97
2015-03-26,,123.79
2015-03-27,,124.13
2015-03-30,,124.24
2015-03-31,,124.19
2015-04-01,,124.49
2015-04-02,,124.5
2015-04-07,,124.69
2015-04-08,,124.9
2015-04-09,,125.35
2015-04-10,,125.24
2015-04-13,,125.31
2015-04-14,,125.34
2015-04-15,,125.12
2015-04-16,,124.85
2015-04-17,,124.37
2015-04-20,,124.72
2015-04-21,,124.63
2015-04-22,,124.56
2015-04-23,,124.75
2015-04-24,,124.88
2015-04-27,,125.04
2015-04-28,,125.05
2015-04-29,,125.01
2015-04-30,,124.81
2015-05-04,,124.83
2015-05-05,,124.65
2015-05-06,,124.27
2015-05-07,,123.72
2015-05-08,,124.26
2015-05-11,,124.3
2015-05-12,,124.08
2015-05-13,,124.21
2015-05-14,,124.21
2015-05-15,,124.41
2015-05-18,,124.46
2015-05-19,,124.52
2015-05-20,,124.48
2015-05-21,,124.47
2015-05-22,,124.56
2015-05-26,,124.55
2015-05-27,,124.67
2015-05-28,,124.58
2015-05-29,,124.36
2015-06-01,,124.43
2015-06-02,,124.13
2015-06-03,,123.73
2015-06-04,,123.43
2015-06-05,,123.32
2015-06-08,,123.24
2015-06-09,,122.97
2015-06-10,,122.79
2015-06-11,,122.85
2015-06-12,,122.68
2015-06-15,,122.01
2015-06-16,,121.72
2015-06-17,,121.56
2015-06-18,,121.28
2015-06-19,,121.63
2015-06-22,,122.33
2015-06-23,,123.25
2015-06-24,,123.24
2015-06-25,,123.34
2015-06-26,,123.56
2015-06-29,,122.08
2015-06-30,,121.95
2015-07-01,,122.46
2015-07-02,,122.76
2015-07-03,,122.74
2015-07-06,,122.31
2015-07-07,,121.91
2015-07-08,,116.78
2015-07-09,,116.83
2015-07-10,,117.59
2015-07-13,,118.16
2015-07-14,,118.27
2015-07-15,,118.39
2015-07-16,,118.86
2015-07-17,,119.28
2015-07-20,,119.62
2015-07-21,,119.26
2015-07-22,,119.06
2015-07-23,,119.09
2015-07-24,,118.63
2015-07-27,,118.32
2015-07-28,,118.22
2015-07-29,,118.26
2015-07-30,,118.58
2015-07-31,,118.42
2015-08-03,,118.21
2015-08-04,,118.2
2015-08-05,,118.01
2015-08-06,,117.55
2015-08-07,,117.46
2015-08-10,,117.01
2015-08-11,,117.13
2015-08-12,,116.78
2015-08-13,,117.05
