,CBOT FP Equity_DX_SI_QTY,CBOT FP Equity_DX_SHORT_INTEREST_VALUE,CBOT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CBOT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CBOT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CBOT FP Equity_DX_SI_MV,CBOT FP Equity_DX_DSS,CBOT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CBOT FP Equity_DX_SUPPLY_SI_QTY,CBOT FP Equity_DX_BROKER_SI_QTY,CBOT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CBOT FP Equity_DX_BROKER_SI_MV_NEW_x,CBOT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CBOT FP Equity_DX_SUPPLY_SI_QTY_INC_x,CBOT FP Equity_DX_BROKER_SI_MV_INC_x,CBOT FP Equity_DX_SUPPLY_SI_MV_NEW,CBOT FP Equity_DX_BROKER_SI_QTY_ADD,CBOT FP Equity_DX_BROKER_SI_QTY_NEW,CBOT FP Equity_DX_SUPPLY_SI_MV_DEC,CBOT FP Equity_DX_BROKER_SI_QTY_INC,CBOT FP Equity_DX_SUPPLY_SI_QTY_DEC,CBOT FP Equity_DX_BROKER_SI_MV_NEW_y,CBOT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CBOT FP Equity_DX_BROKER_SI_MV_INC_y,CBOT FP Equity_DX_SUPPLY_SI_QTY_INC_y,CBOT FP Equity_DX_BROKER_SI_MV_ADD,CBOT FP Equity_DX_SUPPLY_SI_QTY_ADD,CBOT FP Equity_DX_BROKER_SI_QTY_DEC,CBOT FP Equity_DX_SUPPLY_SI_MV,CBOT FP Equity_DX_BROKER_SI_MV_DEC,CBOT FP Equity_DX_SUPPLY_SI_MV_RMV,CBOT FP Equity_DX_BROKER_SI_MV_RMV,CBOT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CBOT FP Equity_DX_UTILIZATION_QUANTITY,CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CBOT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CBOT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CBOT FP Equity_DX_ACTIVE_UTILIZATION_MV,CBOT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CBOT FP Equity_DX_BROKER_SI_CON_RATIO,CBOT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CBOT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-04-05,100.0,265.16,0.0,0.0,0.0,0.0,0.0,265.16,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,40929.0,108525.62,,0.0,0.0,,1.0,100.0,0.0023
2006-04-12,100.0,268.76,0.0,0.0,0.0,0.0,0.0,268.76,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40702.0,109390.07,,0.0,0.0,,1.0,100.0,0.0023
2006-04-19,100.0,275.24,0.0,0.0,0.0,0.0,0.0,275.24,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40864.0,112475.4,,0.0,0.0,,1.0,100.0,0.0023
2006-04-26,100.0,264.44,0.0,0.0,0.0,0.0,0.0,264.44,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40928.0,108228.07,,0.0,0.0,,1.0,100.0,0.0023
2006-05-03,100.0,254.35,0.0,0.0,0.0,0.0,0.0,254.35,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,41000.0,104282.61,,0.0,0.0,,1.0,100.0,0.0008
2006-05-10,100.0,251.47,0.0,0.0,0.0,0.0,0.0,251.47,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40810.0,102623.15,,0.0,0.0,,1.0,100.0,0.0008
2006-05-17,100.0,241.38,0.0,0.0,0.0,0.0,0.0,241.38,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40468.0,97680.95,,0.0,0.0,,1.0,100.0,0.0008
2006-05-24,100.0,232.73,0.0,0.0,0.0,0.0,0.0,232.73,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40629.0,94556.63,,0.0,0.0,,1.0,100.0,0.0008
2006-05-31,100.0,239.94,0.0,0.0,0.0,0.0,0.0,239.94,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39339.0,94388.89,,0.0,0.0,,1.0,100.0,0.0008
2006-06-07,100.0,226.97,0.0,0.01,0.0,0.0,0.0,226.97,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39710.0,90128.83,,0.0,0.0,,1.0,100.0,0.0008
2006-06-14,100.0,204.63,0.0,0.01,0.0,0.0,0.0,204.63,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40085.0,82026.38,,0.0,0.0,,1.0,100.0,0.0008
2006-06-21,100.0,218.32,0.0,0.01,0.0,0.0,0.0,218.32,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39849.0,86998.82,,0.0,0.0,,1.0,100.0,0.0008
2006-06-28,100.0,236.33,0.0,0.01,0.0,0.0,0.0,236.33,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39056.0,92302.81,,0.0,0.0,,1.0,100.0,0.0008
2006-07-03,100.0,235.61,0.0,0.01,0.0,0.0,0.0,235.61,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38738.0,91272.15,,0.0,0.0,,1.0,100.0,0.0008
2006-07-04,100.0,237.06,0.0,0.01,0.0,0.0,0.0,237.06,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38779.0,91927.58,,0.0,0.0,,1.0,100.0,0.0008
2006-07-05,100.0,237.06,0.0,0.01,0.0,0.0,0.0,237.06,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39360.0,93304.87,,0.0,0.0,,1.0,100.0,0.0008
2006-07-06,100.0,235.61,0.0,0.01,0.0,0.0,0.0,235.61,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39614.0,93336.12,,0.0,0.0,,1.0,100.0,0.0008
2006-07-07,100.0,232.73,0.0,0.01,0.0,0.0,0.0,232.73,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39952.0,92981.03,,0.0,0.0,,1.0,100.0,0.0008
2006-07-10,100.0,221.92,0.0,0.01,0.0,0.0,0.0,221.92,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40066.0,88916.02,,0.0,0.0,,1.0,100.0,0.0008
2006-07-11,100.0,226.25,0.0,0.01,0.0,0.0,0.0,226.25,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42142.0,95345.04,,0.0,0.0,,1.0,100.0,0.0008
2006-07-12,100.0,226.25,0.0,0.01,0.0,0.0,0.0,226.25,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39337.0,88998.81,,0.0,0.0,,1.0,100.0,0.0008
2006-07-13,100.0,226.97,0.0,0.01,0.0,0.0,0.0,226.97,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39725.0,90162.88,,0.0,0.0,,1.0,100.0,0.0008
2006-07-14,100.0,225.53,0.0,0.01,0.0,0.0,0.0,225.53,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39539.0,89170.94,,0.0,0.0,,1.0,100.0,0.0008
2006-07-17,100.0,223.36,0.0,0.01,0.0,0.0,0.0,223.36,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39449.0,88115.23,,0.0,0.0,,1.0,100.0,0.0008
2006-07-18,100.0,223.36,0.0,0.01,0.0,0.0,0.0,223.36,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39984.0,89310.24,,0.0,0.0,,1.0,100.0,0.0008
2006-07-19,15100.0,33510.51,0.06,1.26,0.06,0.05,0.0,33510.51,0.0,15100.0,0.0,,,,0.05,,,,,15000.0,,,,0.05,,,,,0.0,,,,0.0,0.0,39819.0,88367.87,,0.0,0.0,,1.0,100.0,0.1189
2006-07-20,15100.0,32531.3,0.06,1.25,0.06,0.05,0.0,32531.3,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39913.0,85988.2,,0.0,0.0,,1.0,100.0,0.1188
2006-07-21,15100.0,32313.7,0.06,1.25,0.06,0.04,0.0,32313.7,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,41070.0,87888.99,,0.0,0.0,,1.0,100.0,0.1178
2006-07-24,15100.0,32204.9,0.06,1.29,0.06,0.05,0.0,32204.9,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40935.0,87305.14,,0.0,0.0,,1.0,100.0,0.1179
2006-07-25,15100.0,31660.9,0.06,1.29,0.06,0.04,0.0,31660.9,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,41005.0,85977.16,,0.0,0.0,,1.0,100.0,0.1178
2006-07-26,15100.0,32096.1,0.06,1.54,0.06,0.04,0.0,32096.1,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40020.0,85065.29,,0.0,0.0,,1.0,100.0,0.1187
2006-07-27,15100.0,31116.9,0.06,1.52,0.06,0.04,0.0,31116.9,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39126.0,80627.8,,0.0,0.0,,1.0,100.0,0.1196
2006-07-28,15100.0,31878.5,0.06,1.58,0.06,0.04,0.0,31878.5,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40404.0,85299.27,,0.0,0.0,,1.0,100.0,0.1184
2006-07-31,15100.0,31987.3,0.06,1.62,0.06,0.04,0.0,31987.3,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39439.0,83546.17,,0.0,0.0,,1.0,100.0,0.1193
2006-08-01,15100.0,31552.1,0.06,1.6,0.06,0.04,0.0,31552.1,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39491.0,82518.14,,0.0,0.0,,1.0,100.0,0.1192
2006-08-02,15100.0,31116.9,0.06,1.6,0.06,0.04,0.0,31116.9,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39833.0,82084.73,,0.0,0.0,,1.0,100.0,0.1189
2006-08-03,15100.0,30464.1,0.06,1.56,0.06,0.04,0.0,30464.1,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40593.0,81895.96,,0.0,0.0,,1.0,100.0,0.1182
2006-08-04,15100.0,30028.89,0.06,1.5,0.06,0.04,0.0,30028.89,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,41761.0,83048.78,,0.0,0.0,,1.0,100.0,0.1171
2006-08-07,15100.0,29484.89,0.06,1.45,0.06,0.04,0.0,29484.89,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42027.0,82063.68,,0.0,0.0,,1.0,100.0,0.1169
2006-08-08,15100.0,30246.49,0.06,1.45,0.06,0.04,0.0,30246.49,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,42800.0,85731.79,,0.0,0.0,,1.0,100.0,0.1162
2006-08-09,15100.0,29702.49,0.06,1.46,0.06,0.04,0.0,29702.49,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,41677.0,81980.85,,0.0,0.0,,1.0,100.0,0.1172
2006-08-10,15100.0,29376.09,0.06,1.45,0.06,0.04,0.0,29376.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4600.0,8949.01,,0.0,0.0,,1.0,100.0,0.1646
2006-08-11,15100.0,28832.09,0.06,1.46,0.06,0.04,0.0,28832.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4599.0,8781.38,,0.0,0.0,,1.0,100.0,0.1646
2006-08-14,15100.0,29049.69,0.06,1.53,0.06,0.04,0.0,29049.69,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4623.0,8893.82,,0.0,0.0,,1.0,100.0,0.1645
2006-08-15,15100.0,29484.89,0.06,1.54,0.06,0.04,0.0,29484.89,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4684.0,9146.17,,0.0,0.0,,1.0,100.0,0.1644
2006-08-16,15100.0,29920.09,0.06,1.57,0.06,0.04,0.0,29920.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4644.0,9201.91,,0.0,0.0,,1.0,100.0,0.1645
2006-08-17,15100.0,29920.09,0.06,1.61,0.06,0.04,0.0,29920.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4619.0,9152.38,,0.0,0.0,,1.0,100.0,0.1645
2006-08-18,15100.0,30028.89,0.06,1.61,0.06,0.04,0.0,30028.89,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4624.0,9195.6,,0.0,0.0,,1.0,100.0,0.1645
2006-08-21,15100.0,30028.89,0.06,1.66,0.06,0.04,0.0,30028.89,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4648.0,9243.33,,0.0,0.0,,1.0,100.0,0.1645
2006-08-22,15100.0,29920.09,0.06,1.66,0.06,0.04,0.0,29920.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4602.0,9118.69,,0.0,0.0,,1.0,100.0,0.1646
2006-08-23,15100.0,29920.09,0.06,1.65,0.06,0.04,0.0,29920.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39493.0,78253.92,,0.0,0.0,,1.0,100.0,0.1192
2006-08-24,15100.0,29702.49,0.06,1.62,0.06,0.04,0.0,29702.49,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39447.0,77594.32,,0.0,0.0,,1.0,100.0,0.1193
2006-08-25,15100.0,29593.69,0.06,1.52,0.06,0.04,0.0,29593.69,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39784.0,77970.56,,0.0,0.0,,1.0,100.0,0.119
2006-08-28,15100.0,29158.49,0.06,1.5,0.06,0.04,0.0,29158.49,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40013.0,77266.14,,0.0,0.0,,1.0,100.0,0.1187
2006-08-29,15100.0,29811.29,0.06,1.52,0.06,0.04,0.0,29811.29,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40587.0,80129.2,,0.0,0.0,,1.0,100.0,0.1182
2006-08-30,15100.0,30028.89,0.06,1.51,0.06,0.04,0.0,30028.89,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39551.0,78653.83,,0.0,0.0,,1.0,100.0,0.1192
2006-08-31,15100.0,30681.7,0.06,1.36,0.06,0.04,0.0,30681.7,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39295.0,79843.53,,0.0,0.0,,1.0,100.0,0.1194
2006-09-01,15100.0,31987.3,0.06,1.31,0.06,0.04,0.0,31987.3,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38668.0,81912.91,,0.0,0.0,,1.0,100.0,0.12
2006-09-04,15100.0,32422.5,0.06,1.28,0.06,0.04,0.0,32422.5,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,37236.0,79952.6,,0.0,0.0,,1.0,100.0,0.1214
2006-09-05,15100.0,32313.7,0.06,1.26,0.06,0.05,0.0,32313.7,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,36492.0,78092.16,,0.0,0.0,,1.0,100.0,0.1221
2006-09-06,15100.0,31334.5,0.06,1.15,0.06,0.04,0.0,31334.5,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39515.0,81998.85,,0.0,0.0,,1.0,100.0,0.1192
2006-09-07,15100.0,31552.1,0.06,1.18,0.06,0.04,0.0,31552.1,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40436.0,84492.76,,0.0,0.0,,1.0,100.0,0.1184
2006-09-08,15100.0,31769.7,0.06,1.17,0.06,0.04,0.0,31769.7,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40208.0,84595.77,,0.0,0.0,,1.0,100.0,0.1186
2006-09-11,15100.0,31116.9,0.06,1.18,0.06,0.04,0.0,31116.9,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40185.0,82810.1,,0.0,0.0,,1.0,100.0,0.1186
2006-09-12,15100.0,31443.3,0.06,1.2,0.06,0.04,0.0,31443.3,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,41001.0,85377.93,,0.0,0.0,,1.0,100.0,0.1178
2006-09-13,15100.0,30790.5,0.06,1.18,0.06,0.04,0.0,30790.5,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39561.0,80669.06,,0.0,0.0,,1.0,100.0,0.1192
2006-09-14,15100.0,30681.7,0.06,1.19,0.06,0.04,0.0,30681.7,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40482.0,82255.39,,0.0,0.0,,1.0,100.0,0.1183
2006-09-15,15100.0,30464.1,0.06,1.19,0.06,0.04,0.0,30464.1,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40413.0,81532.81,,0.0,0.0,,1.0,100.0,0.1184
2006-09-18,15100.0,30355.3,0.06,1.23,0.06,0.04,0.0,30355.3,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40871.0,82162.34,,0.0,0.0,,1.0,100.0,0.1179
2006-09-19,15100.0,29376.09,0.06,1.23,0.06,0.04,0.0,29376.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40885.0,79539.17,,0.0,0.0,,1.0,100.0,0.1179
2006-09-20,15100.0,29702.49,0.06,1.15,0.06,0.04,0.0,29702.49,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39595.0,77885.44,,0.0,0.0,,1.0,100.0,0.1191
2006-09-21,15100.0,28832.09,0.06,1.12,0.06,0.04,0.0,28832.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39370.0,75173.47,,0.0,0.0,,1.0,100.0,0.1193
2006-09-22,15100.0,29376.09,0.06,1.08,0.06,0.04,0.0,29376.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40169.0,78146.24,,0.0,0.0,,1.0,100.0,0.1186
2006-09-25,15100.0,29049.69,0.06,1.03,0.06,0.04,0.0,29049.69,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39501.0,75992.84,,0.0,0.0,,1.0,100.0,0.1192
2006-09-26,15100.0,29158.49,0.06,0.95,0.06,0.04,0.0,29158.49,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,126602.0,244471.74,,0.34,0.0,,1.0,100.0,0.1193
2006-09-27,15100.0,29376.09,0.06,0.91,0.06,0.04,0.0,29376.09,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,126338.0,245782.57,,0.34,0.0,,1.0,100.0,0.1195
2006-09-28,15100.0,29702.49,0.06,0.68,0.06,0.04,0.0,29702.49,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,125794.0,247443.41,,0.34,0.0,,1.0,100.0,0.12
2006-09-29,15100.0,30137.69,0.06,0.64,0.06,0.04,0.0,30137.69,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,125327.0,250136.88,,0.34,0.0,,1.0,100.0,0.1205
2006-10-02,15100.0,30137.69,0.06,0.62,0.06,0.04,0.0,30137.69,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,125179.0,249841.49,,0.35,0.0,,1.0,100.0,0.1206
2006-10-03,15100.0,29593.69,0.06,0.61,0.06,0.04,0.0,29593.69,0.0,15100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,125176.0,245325.83,,0.34,0.0,,1.0,100.0,0.1206
