,FMI FP Equity_DX_SI_QTY,FMI FP Equity_DX_SHORT_INTEREST_VALUE,FMI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FMI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FMI FP Equity_DX_SI_MV,FMI FP Equity_DX_DSS,FMI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FMI FP Equity_DX_SUPPLY_SI_QTY,FMI FP Equity_DX_BROKER_SI_QTY,FMI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FMI FP Equity_DX_BROKER_SI_MV_NEW_x,FMI FP Equity_DX_SUPPLY_SI_QTY_INC_x,FMI FP Equity_DX_BROKER_SI_MV_INC_x,FMI FP Equity_DX_BROKER_SI_QTY_ADD,FMI FP Equity_DX_BROKER_SI_QTY_NEW,FMI FP Equity_DX_SUPPLY_SI_MV_DEC,FMI FP Equity_DX_BROKER_SI_QTY_INC,FMI FP Equity_DX_SUPPLY_SI_QTY_DEC,FMI FP Equity_DX_BROKER_SI_MV_NEW_y,FMI FP Equity_DX_BROKER_SI_MV_INC_y,FMI FP Equity_DX_SUPPLY_SI_QTY_INC_y,FMI FP Equity_DX_BROKER_SI_MV_ADD,FMI FP Equity_DX_SUPPLY_SI_QTY_ADD,FMI FP Equity_DX_BROKER_SI_QTY_DEC,FMI FP Equity_DX_SUPPLY_SI_MV,FMI FP Equity_DX_BROKER_SI_MV_DEC,FMI FP Equity_DX_SUPPLY_SI_MV_RMV,FMI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FMI FP Equity_DX_UTILIZATION_QUANTITY,FMI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FMI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FMI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FMI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FMI FP Equity_DX_ACTIVE_UTILIZATION_MV,FMI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FMI FP Equity_DX_BROKER_SI_CON_RATIO,FMI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FMI FP Equity_DX_DEMAND_SUPPLY_RATIO,FMI FP Equity_PX_LAST
2010-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.61
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.14
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07
2010-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9
2010-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04
2010-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.85
2010-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.75
2010-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.13
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.54
2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.53
2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.54
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.38
2010-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.19
2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.145
2010-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.02
2010-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.855
2010-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.51
2010-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.925
2010-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.78
2010-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.71
2010-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.595
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.49
2010-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.875
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.655
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.995
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7
2010-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.885
2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.435
2010-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.045
2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.46
2010-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.655
2010-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.435
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.47
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.42
2010-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.54
2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.835
2010-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.935
2010-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.49
2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.69
2010-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.15
2010-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.095
2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.385
2010-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37
2010-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.175
2010-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.86
2010-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.65
2010-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.19
2010-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.105
2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.555
2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.425
2010-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.935
2010-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91
2010-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89
2010-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.555
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.62
2010-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.75
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.905
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.095
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.275
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.165
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.675
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.67
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.895
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.925
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.47
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.35
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.175
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.03
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.85
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.22
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.205
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.79
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.14
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.83
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.21
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.82
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.35
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.58
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.285
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.225
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.485
2010-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.895
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.98
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.31
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.23
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.68
2010-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.015
2010-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.005
2010-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.025
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.86
2010-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.105
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.74
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2010-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.66
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3
2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.065
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.32
2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.75
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.95
2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.075
2010-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.22
2010-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.775
2010-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.73
2010-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3
2010-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.68
2010-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.245
2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.215
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.33
2010-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.855
2010-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.785
2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.865
2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.38
2011-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.965
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.995
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.09
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.92
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.645
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.83
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.125
2011-01-14,7400.0,239094.0,5.37,2.18,0.24,,239094.0,0.0,7400.0,0.0,,,,7400.0,,,,,,,,0.24,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,0.0,32.31
2011-01-17,7400.0,237984.0,5.37,2.18,0.24,,237984.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,32.16
2011-01-18,7400.0,240537.0,5.28,2.18,0.24,,240537.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,32.505
2011-01-19,7400.0,242128.0,5.28,2.18,0.24,,242128.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,32.72
2011-01-20,7400.0,243016.0,4.24,2.18,0.24,,243016.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,32.84
2011-01-21,7400.0,246272.0,4.23,2.18,0.24,,246272.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.28
2011-01-24,7400.0,247012.0,4.2,2.18,0.25,,247012.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.38
2011-01-25,7400.0,245051.0,4.01,2.18,0.25,,245051.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.115
2011-01-26,7400.0,245051.0,3.74,2.18,0.25,,245051.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.115
2011-01-27,7400.0,248640.0,3.67,2.18,0.25,,248640.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.6
2011-01-28,7400.0,245791.0,3.67,2.18,0.25,,245791.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.215
2011-01-31,7400.0,245495.0,3.65,1.77,0.25,,245495.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.175
2011-02-01,7400.0,250971.0,3.6,1.77,0.25,,250971.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.915
2011-02-02,7400.0,252451.0,3.51,1.77,0.25,,252451.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.115
2011-02-03,7400.0,250527.0,3.01,1.77,0.25,,250527.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.855
2011-02-04,7400.0,252155.0,2.87,1.77,0.25,,252155.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.075
2011-02-07,7400.0,254079.0,2.76,1.37,0.25,,254079.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.335
2011-02-08,7400.0,253191.0,2.75,1.37,0.25,,253191.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.215
2011-02-09,7400.0,252673.0,2.74,1.37,0.25,,252673.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.145
2011-02-10,7400.0,252451.0,2.69,1.37,0.25,,252451.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.115
2011-02-11,7400.0,252784.0,1.9,1.37,0.25,,252784.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.16
2011-02-14,7400.0,252562.0,1.68,1.37,0.25,,252562.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.13
2011-02-15,7400.0,254449.0,1.66,1.37,0.25,,254449.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.385
2011-02-16,7400.0,257779.0,1.75,1.37,0.25,,257779.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.835
2011-02-17,7400.0,258593.0,1.95,1.37,0.26,,258593.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.945
2011-02-18,7400.0,257187.0,1.92,1.37,0.26,,257187.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,34.755
2011-02-21,7400.0,248048.0,2.07,1.37,0.26,,248048.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.52
2011-02-22,7400.0,245236.0,2.06,1.37,0.25,,245236.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.14
2011-02-23,7400.0,244274.0,1.05,1.37,0.25,,244274.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.01
2011-02-24,7400.0,244459.0,1.05,1.37,0.24,,244459.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.035
2011-02-25,7400.0,248899.0,0.93,1.37,0.24,,248899.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.635
2011-02-28,7400.0,250268.0,0.93,1.37,0.25,,250268.0,0.0,7400.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.82
2011-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.49
2011-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.495
2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.41
2011-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36
2011-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.395
2011-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.68
2011-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.81
2011-03-10,26000.0,866580.0,3.01,7.67,0.88,,866580.0,0.0,26000.0,0.0,,,,26000.0,,,,,,,,0.88,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,33.33
2011-03-11,26000.0,857220.0,3.01,7.67,0.87,,857220.0,0.0,26000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,32.97
2011-03-14,26000.0,854100.0,3.01,7.67,0.86,,854100.0,0.0,26000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,32.85
2011-03-15,26000.0,836030.0,3.02,7.67,0.86,,836030.0,0.0,26000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,32.155
