,PROAC FP Equity_DX_SI_QTY,PROAC FP Equity_DX_SHORT_INTEREST_VALUE,PROAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PROAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PROAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PROAC FP Equity_DX_SI_MV,PROAC FP Equity_DX_DSS,PROAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PROAC FP Equity_DX_SUPPLY_SI_QTY,PROAC FP Equity_DX_BROKER_SI_QTY,PROAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PROAC FP Equity_DX_BROKER_SI_MV_NEW_x,PROAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PROAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,PROAC FP Equity_DX_BROKER_SI_MV_INC_x,PROAC FP Equity_DX_SUPPLY_SI_MV_NEW,PROAC FP Equity_DX_BROKER_SI_QTY_ADD,PROAC FP Equity_DX_BROKER_SI_QTY_NEW,PROAC FP Equity_DX_SUPPLY_SI_MV_DEC,PROAC FP Equity_DX_BROKER_SI_QTY_INC,PROAC FP Equity_DX_SUPPLY_SI_QTY_DEC,PROAC FP Equity_DX_BROKER_SI_MV_NEW_y,PROAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PROAC FP Equity_DX_BROKER_SI_MV_INC_y,PROAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,PROAC FP Equity_DX_BROKER_SI_MV_ADD,PROAC FP Equity_DX_SUPPLY_SI_QTY_ADD,PROAC FP Equity_DX_BROKER_SI_QTY_DEC,PROAC FP Equity_DX_SUPPLY_SI_MV,PROAC FP Equity_DX_BROKER_SI_MV_DEC,PROAC FP Equity_DX_SUPPLY_SI_MV_RMV,PROAC FP Equity_DX_BROKER_SI_MV_RMV,PROAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PROAC FP Equity_DX_UTILIZATION_QUANTITY,PROAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PROAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PROAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PROAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PROAC FP Equity_DX_ACTIVE_UTILIZATION_MV,PROAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PROAC FP Equity_DX_BROKER_SI_CON_RATIO,PROAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PROAC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,84590.0,252078.2,0.64,0.62,0.2,0.25,0.0,250945.8,380.0,84210.0,1132.4,,,,0.02,,,,,8020.0,,,,0.02,,,380.0,,0.0,,,,0.18,0.18,213619.0,636584.62,,0.64,0.18,14.84,0.7472,85.16,0.3953
2006-03-22,78232.0,222178.88,0.59,0.53,0.19,0.23,0.0,221068.44,391.0,77841.0,1110.44,,,11.0,,,,,,,,,,,11.0,,,6369.0,0.0,0.02,,,0.18,0.18,213046.0,605050.64,,0.61,0.19,16.06,0.7304,83.94,0.3665
2006-03-29,77575.0,217210.0,0.58,0.5,0.19,0.22,0.0,216078.8,404.0,77171.0,1131.2,,,13.0,0.0,,,,,4330.0,,,,0.0,13.0,,,5000.0,0.0,0.02,,,0.19,0.19,213258.0,597122.4,,0.6,0.19,9.72,0.8245,90.28,0.3631
2006-04-05,76078.0,208453.72,0.57,0.48,0.18,0.22,0.0,207401.56,384.0,75694.0,1052.16,,,,,,,,0.0,,20.0,,,,,,,1477.0,0.0,0.0,,,0.18,0.18,213091.0,583869.34,,0.58,0.19,9.91,0.8215,90.09,0.3564
2006-04-12,65344.0,174468.48,0.49,0.41,0.16,0.19,0.0,173453.88,380.0,64964.0,1014.6,,,,,,,,0.0,,4.0,,,,,,,10730.0,0.0,0.03,,,0.2,0.2,189439.0,505802.13,,0.51,0.21,11.54,0.7958,88.46,0.3442
2006-04-19,47496.0,142013.04,0.36,0.25,0.11,0.13,0.0,140760.23,419.0,47077.0,1252.81,,,38.0,,,,,,,,,,,38.0,,,17887.0,0.0,0.05,,,0.23,0.23,180738.0,540406.62,,0.54,0.22,15.93,0.7321,84.07,0.2622
2006-04-26,30342.0,81013.14,0.23,0.17,0.07,0.09,0.0,80003.88,377.0,29964.0,1006.59,,,,,,,,0.0,,41.0,,,,,,,17113.0,0.0,0.05,,,0.49,0.49,76870.0,205242.9,,0.21,0.52,25.03,0.6247,74.97,0.3928
2006-05-03,27127.0,69173.85,0.2,0.22,0.07,0.08,0.0,68263.5,357.0,26770.0,910.35,,,,,,,,0.0,,21.0,,,,,,,3194.0,0.0,0.01,,,0.52,0.52,67682.0,172589.1,,0.17,0.58,28.02,0.5967,71.98,0.3987
2006-05-10,22363.0,58367.43,0.11,0.2,0.05,0.06,0.0,57404.34,369.0,21994.0,963.09,,,12.0,,,,,,,,,,,12.0,,,4776.0,0.0,0.01,,,0.5,0.5,72919.0,190318.59,,0.19,0.55,34.1,0.5506,65.9,0.3051
2006-05-17,21958.0,51820.88,0.11,0.19,0.05,0.06,0.0,39671.6,5148.0,16810.0,12149.28,,,,,,,,0.0,,36.0,,,,,,4815.0,5184.0,0.01,0.01,,,13.22,13.22,33787.0,79737.32,,0.08,15.4,34.68,0.3552,43.05,0.564
2006-05-24,16331.0,36418.13,0.08,0.14,0.04,0.04,0.0,35601.95,5703.0,15965.0,12717.69,,,555.0,0.0,,5646.0,,,1009.0,,,,0.0,555.0,0.01,,7500.0,0.01,0.02,,,80.76,14.4,1359.0,3030.57,,0.0,0.0,35.36,0.5428,64.64,0.4123
2006-05-31,16863.0,37604.49,0.08,0.19,0.04,0.04,0.0,36732.56,5872.0,16472.0,13094.56,,,169.0,0.0,,,,,506.0,,,,0.0,169.0,,,,0.01,,,,70.48,4.7,2459.0,5483.57,,0.0,0.0,34.28,0.5494,65.72,0.135
2006-06-07,16415.0,34307.35,0.08,0.31,0.04,0.04,0.0,33485.98,5733.0,16022.0,11981.97,,,3.0,,,,,0.0,,141.0,,,,3.0,,,450.0,0.01,0.0,,,70.17,4.6,2437.0,5093.33,,0.0,0.0,35.24,0.5436,64.76,0.1316
2006-06-14,14395.0,26774.7,0.07,0.3,0.03,0.03,0.0,26160.9,4626.0,14065.0,8604.36,,,,,,,,0.0,,1107.0,,,,,,,1957.0,0.01,0.0,,,67.96,5.69,2182.0,4058.52,,0.0,0.0,40.14,0.5194,59.86,0.1769
2006-06-21,16553.0,33768.12,0.08,0.36,0.04,0.03,0.0,32990.88,5743.0,16172.0,11715.72,,,1116.0,0.0,,,,,2108.0,,,,0.0,1116.0,,,,0.01,,,,69.41,14.07,2531.0,5163.24,,0.0,0.0,34.91,0.5455,65.09,0.4055
2006-06-28,16472.0,30143.76,0.08,0.42,0.04,0.03,0.0,29400.78,5760.0,16066.0,10540.8,,,26.0,,,,,0.0,,9.0,,,,26.0,,,107.0,0.01,0.0,,,68.04,14.04,2705.0,4950.15,,0.0,0.0,35.14,0.5441,64.86,0.4016
2006-07-03,17489.0,33753.77,0.08,0.53,0.04,0.03,0.0,32966.33,6260.0,17081.0,12081.8,,,500.0,0.0,,,,,1015.0,,,,0.0,500.0,,,,0.01,,,,70.7,15.12,2594.0,5006.42,,0.0,0.0,33.06,0.5574,66.94,0.4224
2006-07-04,17469.0,34064.55,0.08,0.55,0.04,0.03,0.0,33255.3,6261.0,17054.0,12208.95,,,6.0,,,,,0.0,,5.0,,,,6.0,,,26.0,0.01,0.0,,,70.27,15.1,2649.0,5165.55,,0.0,0.0,33.11,0.5571,66.89,0.4214
2006-07-05,16232.0,31003.12,0.08,0.53,0.04,0.03,0.0,30284.96,5697.0,15856.0,10881.27,,,,,,,,0.0,,564.0,,,,,,,1198.0,0.01,0.0,,,70.88,14.04,2340.0,4469.4,,0.0,0.0,35.61,0.5414,64.39,0.4
2006-07-06,16359.0,30754.92,0.08,0.53,0.04,0.03,0.0,30066.84,5541.0,15993.0,10417.08,,,,0.0,,,,0.0,137.0,156.0,,,0.0,,,,,0.01,,,,70.64,13.72,2303.0,4329.64,,0.0,0.0,35.3,0.5432,64.7,0.405
2006-07-07,16088.0,29280.16,0.08,0.53,0.04,0.03,0.0,28626.78,5433.0,15729.0,9888.06,,,,,,,,0.0,,108.0,,,,,,,264.0,0.01,0.0,,,70.68,13.5,2254.0,4102.28,,0.0,0.0,35.9,0.5398,64.1,0.3999
2006-07-10,15913.0,29439.05,0.08,0.53,0.04,0.03,0.0,28789.7,5305.0,15562.0,9814.25,,,,,,,,0.0,,128.0,,,,,,,167.0,0.01,0.0,,,70.47,13.24,2223.0,4112.55,,0.0,0.0,36.28,0.5376,63.72,0.3971
2006-07-11,15341.0,26386.52,0.07,0.51,0.04,0.03,0.0,25779.36,5341.0,14988.0,9186.52,,,36.0,,,,,,,,,,,36.0,,,575.0,0.01,0.0,,,70.66,13.32,2218.0,3814.96,,0.0,0.0,37.67,0.5304,62.33,0.3825
2006-07-12,16438.0,27780.22,0.08,0.52,0.04,0.03,0.0,27146.47,5651.0,16063.0,9550.19,,,310.0,0.0,,,,,1076.0,,,,0.0,310.0,,,,0.01,,,,70.86,14.62,2324.0,3927.56,,0.0,0.0,35.15,0.5441,64.85,0.4253
2006-07-13,15107.0,24775.48,0.07,0.44,0.04,0.03,0.0,24176.88,5495.0,14742.0,9011.8,,,,,,,,0.0,,156.0,,,,,,,1321.0,0.01,0.0,,,70.76,14.29,2270.0,3722.8,,0.0,0.0,38.3,0.5274,61.7,0.393
2006-07-14,14738.0,24759.84,0.07,0.42,0.04,0.03,0.0,24166.8,5346.0,14385.0,8981.28,,,,,,,,0.0,,149.0,,,,,,,358.0,0.01,0.0,,,69.86,13.95,2306.0,3874.08,,0.0,0.0,39.25,0.5231,60.75,0.3845
2006-07-17,13522.0,21905.64,0.07,0.38,0.03,0.03,0.0,21312.72,5518.0,13156.0,8939.16,,,173.0,,,,,,,,,,,173.0,,,1228.0,0.01,0.0,,,71.0,14.35,2254.0,3651.48,,0.0,0.0,42.92,0.51,57.08,0.3517
2006-07-18,13197.0,21247.17,0.06,0.36,0.03,0.02,0.0,20686.89,5245.0,12849.0,8444.45,,,,,,,,0.0,,274.0,,,,,,,307.0,0.01,0.0,,,70.78,13.77,2165.0,3485.65,,0.0,0.0,43.94,0.5073,56.06,0.3465
2006-07-19,13671.0,22147.02,0.07,0.37,0.03,0.02,0.0,21541.14,5662.0,13297.0,9172.44,,,418.0,0.0,,,,,447.0,,,,0.0,418.0,,,,0.01,,,,70.01,17.55,2426.0,3930.12,,0.0,0.0,42.46,0.5114,57.54,0.4237
2006-07-20,13529.0,22187.56,0.07,0.37,0.03,0.02,0.0,21567.64,5719.0,13151.0,9379.16,,,57.0,,,,,,,,,,,57.0,,,146.0,0.01,0.0,,,70.03,17.68,2448.0,4014.72,,0.0,0.0,42.93,0.51,57.07,0.4183
2006-07-21,13337.0,20672.35,0.06,0.38,0.03,0.02,0.0,20081.8,5776.0,12956.0,8952.8,,,57.0,,,,,,,,,,,57.0,,,195.0,0.01,0.0,,,70.62,17.85,2403.0,3724.65,,0.0,0.0,43.58,0.5082,56.42,0.4122
2006-07-24,11555.0,18603.55,0.06,0.32,0.03,0.02,0.0,18015.9,5504.0,11190.0,8861.44,,,,,,,,0.0,,272.0,,,,,,,1766.0,0.01,0.0,,,69.29,17.13,2440.0,3928.4,,0.0,0.0,49.54,0.5,50.46,0.3597
2006-07-25,9907.0,14761.43,0.05,0.28,0.02,0.02,0.0,14198.21,5725.0,9529.0,8530.25,,,221.0,,,,,,,,,,,221.0,,,1661.0,0.01,0.0,,,70.83,17.75,2358.0,3513.42,,0.0,0.0,40.75,0.5171,59.25,0.3071
2006-07-26,8973.0,12203.28,0.04,0.25,0.02,0.01,0.0,11694.64,5667.0,8599.0,7707.12,,,,,,,,0.0,,58.0,,,,,,,930.0,0.01,0.0,,,70.41,32.66,2381.0,3238.16,,0.0,0.0,34.34,0.549,65.66,0.5172
2006-07-27,7645.0,11161.7,0.04,0.19,0.02,0.01,0.0,10656.54,5214.0,7299.0,7612.44,,,,,,,,0.0,,453.0,,,,,,,1300.0,0.01,0.0,,,67.47,30.62,2513.0,3668.98,,0.0,0.0,22.65,0.6496,77.35,0.449
2006-07-28,7050.0,10293.0,0.03,0.17,0.02,0.01,0.0,9755.72,5576.0,6682.0,8140.96,,,362.0,,,,,,,,,,,362.0,,,618.0,0.01,0.0,,,70.38,32.37,2347.0,3426.62,,0.0,0.0,15.5,0.7381,84.5,0.4093
2006-07-31,7049.0,9798.11,0.03,0.17,0.02,0.01,0.0,9285.2,5588.0,6680.0,7767.32,,,12.0,,,,,,,,,,,12.0,,,2.0,0.01,0.0,,,70.7,32.48,2315.0,3217.85,,0.0,0.0,15.48,0.7384,84.52,0.4097
2006-08-01,6980.0,9074.0,0.03,0.17,0.02,0.01,0.0,8619.0,5304.0,6630.0,6895.2,,,,,,,,0.0,,284.0,,,,,,,50.0,0.01,0.0,,,70.59,31.54,2209.0,2871.7,,0.0,0.0,14.84,0.7472,85.16,0.4151
2006-08-02,7089.0,9215.7,0.03,0.16,0.02,0.01,0.0,8719.1,5757.0,6707.0,7484.1,,,453.0,0.0,,,,,77.0,,,,0.0,453.0,,,,0.01,,,,70.8,70.8,2374.0,3086.2,,0.0,0.0,15.82,0.7337,84.18,0.8718
2006-08-03,7080.0,8708.4,0.03,0.16,0.02,0.01,0.0,8243.46,5717.0,6702.0,7031.91,,,,,,,,0.0,,39.0,,,,,,,5.0,0.01,0.0,,,70.73,70.73,2366.0,2910.18,,0.0,0.0,15.76,0.7345,84.24,0.8758
2006-08-04,5999.0,7738.71,0.03,0.13,0.01,0.01,0.0,7283.34,5354.0,5646.0,6906.66,,,,,,,,0.0,,363.0,,,,,,,1056.0,0.01,0.0,,,68.18,68.18,2498.0,3222.42,,0.0,0.0,,1.0,100.0,0.764
2006-08-07,6019.0,7704.32,0.03,0.13,0.01,0.01,0.0,7226.88,5650.0,5646.0,7232.0,,,296.0,,,,,,,,,,,296.0,,,,0.01,,,,70.81,70.81,2329.0,2981.12,,0.0,0.0,,1.0,100.0,0.7544
2006-08-08,6015.0,7819.5,0.03,0.14,0.01,0.01,0.0,7339.8,5587.0,5646.0,7263.1,,,,,,,,0.0,,63.0,,,,,,,,0.01,,,,70.06,70.06,2388.0,3104.4,,0.0,0.0,,1.0,100.0,0.7543
2006-08-09,6017.0,7641.59,0.03,0.13,0.01,0.01,0.0,7170.42,5615.0,5646.0,7131.05,,,28.0,,,,,,,,,,,28.0,,,,0.01,,,,70.73,70.73,2324.0,2951.48,,0.0,0.0,,1.0,100.0,0.7579
2006-08-10,6010.0,7512.5,0.03,0.12,0.01,0.01,0.0,7057.5,5517.0,5646.0,6896.25,,,,,,,,0.0,,98.0,,,,,,,,0.01,,,,70.85,70.85,2270.0,2837.5,,0.0,0.0,,1.0,100.0,0.7718
2006-08-11,6024.0,7530.0,0.03,0.12,0.01,0.01,0.0,7057.5,6024.0,5646.0,7530.0,,,507.0,,,,,,,,,,,507.0,,,,0.01,,,,71.95,71.95,2348.0,2935.0,,0.0,107.09,,1.0,100.0,0.7195
2006-08-14,6023.0,8070.82,0.03,0.12,0.01,0.01,0.0,7565.64,6023.0,5646.0,8070.82,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,71.89,71.89,2355.0,3155.7,,0.0,107.08,,1.0,100.0,0.7189
2006-08-15,6035.0,8147.25,0.03,0.12,0.01,0.01,0.0,7622.1,6035.0,5646.0,8147.25,,,12.0,,,,,,,,,,,12.0,,,,0.01,,,,71.09,71.09,2455.0,3314.25,,0.0,107.07,,1.0,100.0,0.7108
2006-08-16,6033.0,8204.88,0.03,0.1,0.01,0.01,0.0,7678.56,6033.0,5646.0,8204.88,,,,,,,,0.0,,2.0,,,,,,,,0.01,,,,71.33,71.33,2424.0,3296.64,,0.0,107.1,,1.0,100.0,0.7134
2006-08-17,6036.0,8812.56,0.03,0.1,0.01,0.01,0.0,8243.16,6036.0,5646.0,8812.56,,,3.0,,,,,,,,,,,3.0,,,,0.01,,,,71.29,71.29,2431.0,3549.26,,0.0,107.1,,1.0,100.0,0.7129
2006-08-18,6049.0,9133.99,0.03,0.08,0.01,0.01,0.0,8525.46,6049.0,5646.0,9133.99,,,13.0,,,,,,,,,,,13.0,,,,0.01,,,,70.55,70.55,2525.0,3812.75,,0.0,107.07,,1.0,100.0,0.7055
2006-08-21,6056.0,8720.64,0.03,0.06,0.01,0.01,0.0,8130.24,6056.0,5646.0,8720.64,,,7.0,,,,,,,,,,,7.0,,,,0.01,,,,70.15,70.15,2577.0,3710.88,,0.0,107.1,,1.0,100.0,0.7015
2006-08-22,6048.0,8951.04,0.03,0.06,0.01,0.01,0.0,8356.08,6048.0,5646.0,8951.04,,,,,,,,0.0,,8.0,,,,,,,,0.01,,,,70.86,70.86,2488.0,3682.24,,0.0,107.09,,1.0,100.0,0.7085
2006-08-23,6034.0,8749.3,0.03,0.06,0.01,0.01,0.0,8186.7,6034.0,5646.0,8749.3,,,,,,,,0.0,,14.0,,,,,,,,0.01,,,,71.25,71.25,2435.0,3530.75,,0.0,107.07,,1.0,100.0,0.7125
2006-08-24,6031.0,8624.33,0.03,0.06,0.01,0.01,0.0,8073.78,6031.0,5646.0,8624.33,,,,,,,,0.0,,4.0,,,,,,,,0.01,,,,71.49,71.49,2405.0,3439.15,,0.0,107.06,,1.0,100.0,0.715
2006-08-25,6029.0,9043.5,0.03,0.06,0.01,0.01,0.0,8469.0,6029.0,5646.0,9043.5,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,71.64,71.64,2387.0,3580.5,,0.0,107.1,,1.0,100.0,0.7164
2006-08-28,6036.0,9778.32,0.03,0.05,0.01,0.01,0.0,9146.52,6036.0,5646.0,9778.32,,,7.0,,,,,,,,,,,7.0,,,,0.01,,,,71.13,71.13,2450.0,3969.0,,0.0,107.07,,1.0,100.0,0.7112
2006-08-29,6052.0,9441.12,0.03,0.04,0.01,0.01,0.0,8807.76,6052.0,5646.0,9441.12,,,16.0,,,,,,,,,,,16.0,,,,0.01,,,,70.32,70.32,2554.0,3984.24,,0.0,107.08,,1.0,100.0,0.7031
2006-08-30,6031.0,9227.43,0.03,0.04,0.01,0.01,0.0,8638.38,6031.0,5646.0,9227.43,,,,,,,,0.0,,21.0,,,,,,,,0.01,,,,71.44,71.44,2411.0,3688.83,,0.0,107.08,,1.0,100.0,0.7143
2006-08-31,6027.0,9341.85,0.03,0.04,0.01,0.01,0.0,8751.3,6027.0,5646.0,9341.85,,,,,,,,0.0,,4.0,,,,,,,,0.01,,,,71.66,71.66,2383.0,3693.65,,0.0,107.07,,1.0,100.0,0.7166
2006-09-01,6029.0,9103.79,0.03,0.04,0.01,0.01,0.0,8525.46,6029.0,5646.0,9103.79,,,2.0,,,,,,,,,,,2.0,,,,0.01,,,,71.46,71.46,2408.0,3636.08,,0.0,107.06,,1.0,100.0,0.7146
2006-09-04,6025.0,9700.25,0.03,0.04,0.01,0.01,0.0,9090.06,6025.0,5646.0,9700.25,,,,,,,,0.0,,4.0,,,,,,,,0.01,,,,71.72,71.72,2376.0,3825.36,,0.0,107.09,,1.0,100.0,0.7172
2006-09-05,6039.0,9360.45,0.03,0.04,0.01,0.01,0.0,8751.3,6039.0,5646.0,9360.45,,,14.0,,,,,,,,,,,14.0,,,,0.01,,,,71.13,71.13,2451.0,3799.05,,0.0,107.08,,1.0,100.0,0.7113
2006-09-06,6036.0,8872.92,0.03,0.04,0.01,0.01,0.0,8299.62,6036.0,5646.0,8872.92,,,,,,,,0.0,,4.0,,,,,,,,0.01,,,,71.28,71.28,2432.0,3575.04,,0.0,107.1,,1.0,100.0,0.7129
2006-09-07,6024.0,8614.32,0.03,0.04,0.01,0.01,0.0,8073.78,6024.0,5646.0,8614.32,,,,,,,,0.0,,11.0,,,,,,,,0.01,,,,71.89,71.89,2356.0,3369.08,,0.0,107.07,,1.0,100.0,0.7189
2006-09-08,6014.0,8780.44,0.03,0.04,0.01,0.01,0.0,8243.16,6014.0,5646.0,8780.44,,,,,,,,0.0,,10.0,,,,,,,,0.01,,,,46.64,46.64,6880.0,10044.8,,0.0,106.88,,1.0,100.0,0.4664
2006-09-11,6023.0,8673.12,0.03,0.04,0.01,0.01,0.0,8130.24,6023.0,5646.0,8673.12,,,8.0,,,,,,,,,,,8.0,,,,0.01,,,,45.96,45.96,7080.0,10195.2,,0.0,107.08,,1.0,100.0,0.4597
2006-09-12,6020.0,8668.8,0.03,0.04,0.01,0.01,0.0,8130.24,6020.0,5646.0,8668.8,,,,,,,,0.0,,3.0,,,,,,,,0.01,,,,46.24,46.24,6999.0,10078.56,,0.0,107.09,,1.0,100.0,0.4624
2006-09-13,6034.0,8809.64,0.03,0.04,0.01,0.01,0.0,8243.16,6034.0,5646.0,8809.64,,,14.0,,,,,,,,,,,14.0,,,,0.01,,,,45.4,45.4,7255.0,10592.3,,0.0,107.09,,1.0,100.0,0.4541
2006-09-14,6034.0,8025.22,0.03,0.04,0.01,0.01,0.0,7509.18,6034.0,5646.0,8025.22,,,0.0,,,,,,,,,,,0.0,,,,0.01,,,,45.23,45.23,7308.0,9719.64,,0.0,107.07,,1.0,100.0,0.4523
2006-09-15,6017.0,7641.59,0.03,0.03,0.01,0.01,0.0,7170.42,6017.0,5646.0,7641.59,,,,,,,,0.0,,17.0,,,,,,,,0.01,,,,46.49,46.49,6926.0,8796.02,,0.0,107.08,,1.0,100.0,0.4649
2006-09-18,6008.0,7630.16,0.03,0.03,0.01,0.01,0.0,7170.42,6008.0,5646.0,7630.16,,,,,,,,0.0,,9.0,,,,,,,,0.01,,,,46.92,46.92,6795.0,8629.65,,0.0,107.09,,1.0,100.0,0.4693
2006-09-19,6007.0,7568.82,0.03,0.03,0.01,0.01,0.0,7113.96,6007.0,5646.0,7568.82,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,47.03,47.03,6766.0,8525.16,,0.0,107.07,,1.0,100.0,0.4703
2006-09-20,6034.0,7240.8,0.03,0.03,0.01,0.01,0.0,6775.2,6034.0,5646.0,7240.8,,,27.0,,,,,,,,,,,27.0,,,,0.01,,,,45.33,45.33,7277.0,8732.4,,0.0,107.1,,1.0,100.0,0.4533
