,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_y,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity
2006-03-08,1169685.0,73754819.34,2.08,7.73,0.64,96.38,0.0,33521702.06,697060.0,531624.0,43953315.95,,,35811.0,1.46,,15636.0,,0.37,4220.0,7238.0,,,1.46,35811.0,1.29,34238.0,33017.0,57.08,2.53,,,11.72,11.72,5248872.0,330969112.26,,429.85,11.72,11.89,0.3049,52.15,0.1967
2006-03-15,1094526.0,70080046.53,1.95,8.11,0.6,90.78,0.0,34077942.16,621290.0,532237.0,39779806.15,,,71.0,0.27,,,,6.59,612.0,80033.0,,,0.27,71.0,,4192.0,,51.28,,,,10.12,10.12,5517155.0,353251068.59,,455.77,10.11,12.22,0.304,52.01,0.1783
2006-03-22,1362856.0,87737738.65,2.43,9.85,0.75,113.27,0.0,33833392.61,896312.0,525544.0,57702639.17,,270025.0,377.0,0.34,22.44,,,0.45,4049.0,5379.0,,270025.0,0.34,377.0,,10000.0,10742.0,74.3,0.82,,,13.85,13.85,5574961.0,358904001.02,,462.06,13.85,29.92,0.2684,40.81,0.2106
2006-03-29,1102163.0,69840184.81,1.96,8.27,0.61,90.85,0.0,33935345.69,625622.0,535541.0,39643461.18,,,,0.88,,,,0.13,11010.0,666.0,,,0.88,,,,1013.0,51.26,0.34,22.44,,10.2,10.2,5507302.0,348978317.64,270025.0,451.39,10.2,13.42,0.2907,50.39,0.1797
2006-04-05,1453635.0,93581895.46,2.59,11.07,0.8,121.26,0.0,45360632.86,842034.0,704600.0,54208338.25,,,79440.0,9.07,,82688.0,,0.0,104461.0,14.0,,,9.07,79440.0,6.83,136987.0,90.0,69.76,0.0,,1.48,13.72,13.72,5296444.0,340973675.47,,439.57,13.7,10.28,0.264,48.41,0.2368
2006-04-12,1626113.0,101269932.81,2.9,12.73,0.89,131.85,0.0,46891944.77,966159.0,752954.0,60169777.26,1.51,,98008.0,2.62,,,18000.0,0.41,34000.0,1684.0,1.51,,2.62,98008.0,,27801.0,3646.0,77.43,1.38,,,19.81,19.81,3912016.0,243629807.69,,313.97,19.78,10.11,0.2188,42.92,0.3333
2006-04-19,2046714.0,131126125.08,3.65,17.23,1.13,164.3,1.0,56883055.5,1251840.0,887873.0,80201204.67,,279325.0,10142.0,12.4,22.44,,,0.3,157918.0,3786.0,,279325.0,12.4,10142.0,,,22999.0,100.53,3.12,,,24.04,24.04,3956438.0,253475758.74,,320.98,23.85,24.73,0.2009,34.42,0.393
2006-04-26,3793025.0,253334576.33,6.76,29.28,2.09,319.63,1.0,196355644.27,989097.0,2939914.0,66061380.94,,,18258.0,107.52,,796430.0,,1.56,1255611.0,20025.0,,,107.52,18258.0,67.15,18350.0,,84.47,,22.44,,20.22,20.22,3903370.0,260704473.39,279325.0,333.42,20.21,21.12,0.2227,36.88,0.7753
2006-05-03,3878659.0,252566369.29,6.91,31.85,2.13,324.61,1.0,196961915.19,1106164.0,3024742.0,72030004.53,,,562.0,8.45,,,,0.24,107209.0,1976.0,,,8.45,562.0,,118480.0,22382.0,92.91,2.16,,,26.05,26.05,3140306.0,204487088.16,,264.8,25.97,23.25,0.2232,36.2,0.9134
2006-05-10,1897459.0,125549556.3,3.38,15.12,1.04,164.85,1.0,70181303.36,1242485.0,1060666.0,82211758.18,,,136636.0,9.95,,,,8.02,85331.0,103002.0,,,9.95,136636.0,,102687.0,2049407.0,106.14,169.66,,,38.01,38.01,2026634.0,134096704.85,,173.41,37.97,12.0,0.1204,25.48,0.5804
2006-05-17,3434746.0,201614765.18,6.12,14.74,1.89,274.79,1.0,129062831.88,1737715.0,2198738.0,102001429.41,,32856.0,55142.0,76.45,2.63,206571.0,,6.47,1022257.0,52364.0,,32856.0,76.45,55142.0,16.81,459598.0,90756.0,138.62,9.56,,,67.11,41.02,851793.0,49999052.53,,0.0,130.3,20.73,0.1385,22.88,0.8107
2006-05-24,3522484.0,209646988.85,6.28,14.11,1.94,280.7,1.0,139360143.35,1961190.0,2341526.0,116723760.29,,281425.0,30034.0,14.22,22.44,,,7.13,180341.0,87985.0,,281425.0,14.22,30034.0,,,37552.0,155.96,3.31,,,71.08,44.13,797941.0,47490897.88,,0.0,151.76,20.94,0.1479,22.22,0.7926
2006-05-31,3632042.0,221168101.6,6.47,14.65,2.0,282.22,1.0,141362232.22,2046230.0,2321463.0,124602304.86,,279088.0,16574.0,16.41,21.67,,,9.93,229453.0,110182.0,,279088.0,16.41,16574.0,,180986.0,249515.0,158.23,22.66,22.44,,35.92,35.92,3650724.0,222305715.78,281425.0,282.24,35.92,22.04,0.1433,22.43,0.6375
2006-06-07,3126668.0,184613362.71,5.57,12.6,1.72,237.22,1.0,101066089.64,1702698.0,1711686.0,100535395.33,,7915.0,11952.0,0.57,0.6,,,29.97,7946.0,363400.0,,7915.0,0.57,11952.0,,,617723.0,128.67,51.06,,,29.28,29.28,4111895.0,242785854.8,,308.42,29.44,23.93,0.1893,32.85,0.5377
2006-06-14,4478253.0,249443706.3,7.98,17.11,2.46,322.73,1.0,172732124.28,2031641.0,3101053.0,113164678.48,,,142646.0,113.7,,,,7.04,1574308.0,55139.0,,,113.7,142646.0,,241437.0,184942.0,145.02,16.56,,,30.92,30.92,4537962.0,252769564.45,,322.12,31.04,21.62,0.1826,25.61,0.6816
2006-06-21,3773820.0,221042890.68,6.72,13.92,2.08,280.52,1.0,156187546.96,1786451.0,2666558.0,104637288.77,,301964.0,11362.0,13.49,22.44,,,45.24,162161.0,631769.0,,301964.0,13.49,11362.0,,73253.0,596655.0,132.67,40.5,,,25.75,25.74,5152508.0,301796392.66,,382.76,25.74,26.69,0.2031,28.25,0.5439
2006-06-28,1558529.0,90367661.34,2.78,9.07,0.86,116.79,0.0,47518937.45,1054785.0,819537.0,61159242.89,,,2328.0,11.12,,,,33.71,148580.0,455609.0,,,11.12,2328.0,,23579.0,1995601.0,78.4,147.5,22.44,,15.78,15.78,5631152.0,326509187.11,301964.0,417.84,15.8,12.68,0.1427,27.91,0.2331
2006-07-03,1642178.0,99675133.87,2.93,10.14,0.9,126.75,0.0,43256018.65,1253900.0,712656.0,76107858.2,,287206.0,1684.0,6.14,22.16,,,3.78,75000.0,65126.0,,287206.0,6.14,1684.0,,,181881.0,96.31,12.68,1.81,,18.03,18.03,5700218.0,345985631.41,24649.0,436.06,18.09,12.99,0.1833,35.84,0.2361
2006-07-04,1636408.0,99131798.79,2.92,10.7,0.9,126.98,0.0,42064171.73,1239983.0,694370.0,75116807.83,,,249.0,0.18,,,,0.85,269.0,14166.0,,,0.18,249.0,,,18555.0,95.9,1.42,,,17.86,17.86,5703882.0,345534904.96,,438.37,17.95,12.99,0.1847,36.03,0.2357
2006-07-05,1634468.0,97535491.08,2.91,11.29,0.9,126.89,0.0,41430987.64,1237833.0,694287.0,73866634.0,,,542.0,0.01,,,,0.19,105.0,2691.0,,,0.01,542.0,,,188.0,95.84,0.0,,,17.68,17.68,5763705.0,343944205.48,,443.46,17.77,12.97,0.1853,36.1,0.2334
2006-07-06,1483404.0,89104400.93,2.64,10.54,0.82,112.93,0.0,41221636.63,808874.0,686255.0,48587055.99,,,1668.0,0.0,,,,12.14,6757.0,144714.0,,,0.0,1668.0,,,14790.0,61.36,1.61,22.2,,12.07,12.07,5892810.0,353966488.47,285912.0,448.65,12.03,13.07,0.2119,40.44,0.2213
2006-07-07,1345725.0,80410870.98,2.4,9.4,0.74,103.13,0.0,36025456.47,754547.0,602908.0,45086315.16,,,118.0,,,,,3.95,,54445.0,,,,118.0,,,83347.0,57.6,6.04,,,11.27,11.27,5938919.0,354867190.17,,452.24,11.3,14.46,0.2386,44.25,0.201
2006-07-10,1302432.0,78848665.93,2.32,9.26,0.72,99.95,0.0,35247224.1,731952.0,582218.0,44312055.24,,,274.0,0.2,,,,1.79,2090.0,22870.0,,,0.2,274.0,,,22780.0,55.99,1.73,,,10.92,10.92,5970869.0,361473808.32,,455.76,10.94,14.99,0.2566,46.07,0.1943
2006-07-11,1299295.0,76716561.88,2.32,9.21,0.71,100.21,0.0,34231613.12,731272.0,579757.0,43177779.98,,,226.0,0.05,,700.0,,0.0,700.0,906.0,,,0.05,226.0,0.05,,3861.0,56.23,0.15,,,10.97,10.97,5935685.0,350471098.26,,453.34,11.03,15.03,0.2548,45.83,0.1949
2006-07-12,1331335.0,78870209.29,2.37,9.43,0.73,100.93,0.0,35025971.23,751828.0,591241.0,44539377.17,,,10438.0,0.38,,,,,11484.0,,,,0.38,10438.0,,10118.0,,56.75,,,,11.23,11.23,5944757.0,352175995.33,,449.71,11.21,14.78,0.2507,45.56,0.1988
2006-07-13,1322494.0,77149929.46,2.36,9.48,0.73,100.34,0.0,33989875.49,751574.0,582650.0,43844343.4,,,15.0,,,,,0.01,,270.0,,,,15.0,,,8591.0,56.73,0.63,,,11.27,11.27,5914824.0,345051285.18,,445.4,11.3,14.86,0.248,45.2,0.1984
2006-07-14,1316646.0,74374513.15,2.35,9.34,0.72,98.35,0.0,32937223.06,745298.0,583085.0,42100288.08,,,1724.0,0.0,,,,0.67,435.0,8000.0,,,0.0,1724.0,,,,55.3,,,,11.17,11.17,5924077.0,334638424.24,,437.22,11.23,15.09,0.2518,45.54,0.1974
2006-07-17,1282659.0,71950101.38,2.29,9.15,0.71,93.58,0.0,31697761.75,729315.0,565078.0,40910552.37,,,5224.0,0.0,,,,1.71,313.0,21207.0,,,0.0,5224.0,,,18321.0,52.75,2.18,,,10.89,10.89,5968628.0,334807138.69,,431.3,10.9,15.65,0.2627,46.62,0.1915
2006-07-18,1282007.0,72216109.24,2.28,9.06,0.71,92.85,0.0,31806403.32,729075.0,564639.0,41069167.21,,,603.0,0.0,,,,0.11,99.0,843.0,,,0.0,603.0,,,537.0,52.24,0.05,,,10.8,10.8,6020603.0,339143642.68,,433.84,10.75,15.65,0.2622,46.54,0.1899
2006-07-19,1277316.0,73911445.67,2.28,9.33,0.7,92.48,0.0,32601349.92,725606.0,563407.0,41986938.58,,,,0.11,,,,0.26,1610.0,3469.0,,,0.11,,,,2842.0,52.01,0.2,,,10.68,10.68,6070121.0,351245438.46,,438.2,10.61,15.69,0.2648,46.8,0.188
2006-07-20,1276946.0,74392347.34,2.28,9.42,0.7,94.67,0.0,32863233.33,724566.0,564098.0,42211781.5,,,709.0,0.7,,,,0.0,1129.0,1749.0,,,0.7,709.0,,,438.0,53.32,0.0,,,10.76,10.76,6010755.0,350174693.17,,444.51,10.71,15.55,0.2656,46.94,0.1896
2006-07-21,1278319.0,73768343.23,2.28,9.94,0.7,95.26,0.0,32610859.19,724925.0,565108.0,41833467.4,,,,0.22,,,,0.0,1010.0,531.0,,,0.22,,,890.0,,53.65,,,,10.76,10.76,6011894.0,346930195.11,,443.81,10.78,15.48,0.2656,46.96,0.1898
2006-07-24,1276873.0,75342431.98,2.28,10.25,0.7,94.86,0.0,33228609.15,725454.0,563145.0,42805720.42,,,530.0,0.02,,,,,339.0,,,,0.02,530.0,,,2301.0,53.54,0.25,,,10.72,10.72,6039377.0,356355996.88,,448.26,10.67,15.55,0.2649,46.86,0.1888
2006-07-25,1232105.0,73961025.72,2.2,10.07,0.68,93.34,0.0,33835246.11,680181.0,563656.0,40830030.26,,,238.0,0.59,,,,3.2,963.0,45512.0,,,0.59,238.0,,,453.0,51.3,0.01,,,10.18,10.18,6000147.0,360177928.5,,454.44,10.14,16.01,0.2819,48.76,0.1844
2006-07-26,1209017.0,73098244.45,2.15,10.05,0.67,92.46,0.0,34247345.89,654289.0,566438.0,39558895.58,,,,0.48,,,,1.83,2782.0,25891.0,,,0.48,,,,,49.82,,,,9.67,9.67,6112761.0,369582973.46,,468.09,9.62,14.51,0.2893,49.92,0.1787
2006-07-27,1175991.0,72211700.63,2.1,10.1,0.65,90.63,0.0,34784814.33,621255.0,566482.0,38148149.15,,,792.0,0.03,,,,2.49,205.0,33826.0,,,0.03,792.0,,,161.0,47.67,0.0,,,9.22,9.22,6119999.0,375798399.5,,472.41,9.17,14.96,0.3054,51.39,0.1744
2006-07-28,1145450.0,70741857.79,2.04,10.15,0.63,89.53,0.0,35002906.96,590416.0,566766.0,36463507.54,,,,0.43,,,,2.17,495.0,30839.0,,,0.43,,,,212.0,46.05,0.0,,,8.78,8.78,6137491.0,379045366.89,,477.99,8.79,15.1,0.3219,52.98,0.1703
2006-07-31,1119991.0,68773021.9,2.0,10.39,0.62,88.09,0.0,34408954.47,571373.0,560361.0,35085146.08,,,163.0,0.03,,,,1.42,297.0,19207.0,,,0.03,163.0,,,6702.0,44.86,0.35,,,8.52,8.52,6136669.0,376822020.47,,480.68,8.54,14.4,0.3337,54.27,0.167
2006-08-01,1088658.0,66206652.48,1.94,10.4,0.6,84.9,0.0,32082304.5,572856.0,527540.0,34838193.55,,,691.0,0.0,,,,0.05,969.0,11.0,,,0.0,691.0,,803.0,33791.0,44.59,2.69,,,8.53,8.53,6145080.0,373712567.26,,479.12,8.51,12.81,0.3499,56.07,0.1621
2006-08-02,688727.0,42724744.48,1.23,6.66,0.38,53.48,0.0,20275126.88,573641.0,326837.0,35585457.15,,,785.0,0.0,,,,,3.0,,,,0.0,785.0,,,200706.0,44.35,15.73,,,8.43,8.43,6227316.0,386307615.23,,484.48,8.39,21.45,0.1705,26.64,0.1013
2006-08-03,689403.0,42441251.59,1.23,6.74,0.38,54.37,0.0,20320861.63,571063.0,330086.0,35155966.04,,,36.0,0.5,,,,0.07,3409.0,2615.0,,,0.5,36.0,,,161.0,44.98,0.0,,,8.47,8.47,6167290.0,379672711.76,,484.91,8.49,21.27,0.17,26.67,0.1023
2006-08-04,847107.0,52816328.6,1.51,8.48,0.47,66.4,0.0,33281868.04,537484.0,533799.0,33511624.34,,,1963.0,15.84,,,,2.79,203714.0,35541.0,,,15.84,1963.0,,,,41.95,,,,7.93,7.93,6236653.0,388849477.33,,489.37,7.9,16.83,0.2847,47.49,0.1251
2006-08-07,858626.0,52251049.84,1.53,8.55,0.47,68.18,0.0,33228920.98,552280.0,546041.0,33608590.71,,,1784.0,1.11,,,,,13000.0,,,,1.11,1784.0,,13012.0,758.0,43.8,0.0,,,8.21,8.21,6177028.0,375898467.86,,485.96,8.27,16.53,0.2764,46.7,0.1276
2006-08-08,862647.0,52767216.02,1.54,8.65,0.47,67.25,0.0,33580166.22,553280.0,548974.0,33843559.74,,,1731.0,0.29,,,,0.2,4526.0,732.0,,,0.29,1731.0,,,1594.0,42.95,0.68,,,8.13,8.13,6249527.0,382277039.45,,486.35,8.11,16.79,0.2732,46.28,0.1268
2006-08-09,874292.0,53513920.49,1.56,8.85,0.48,68.21,0.0,34300453.84,563387.0,560389.0,34483956.3,,,10134.0,0.91,,,,0.0,11415.0,28.0,,,0.91,10134.0,,,,43.77,,,,8.14,8.14,6353614.0,388893864.32,,494.14,8.14,16.57,0.2685,45.79,0.1264
2006-08-10,872941.0,52366724.19,1.56,9.04,0.48,68.3,0.0,33664061.31,561282.0,561172.0,33670660.08,,,969.0,0.16,,,,0.21,2000.0,3074.0,,,0.16,969.0,,,1216.0,43.82,0.0,,,8.27,8.27,6225572.0,373464886.88,,481.8,8.34,16.6,0.2682,45.75,0.1286
2006-08-11,874113.0,52299491.36,1.56,9.07,0.48,67.39,0.0,33484040.44,563970.0,559639.0,33743170.67,,,2688.0,,,,,,,,,,,2688.0,,,1533.0,43.27,0.56,,,8.23,8.23,6287021.0,376161892.65,,482.67,8.23,16.68,0.2666,45.55,0.1276
2006-08-14,875449.0,52069488.81,1.56,9.4,0.48,67.16,0.0,33340391.39,564388.0,560555.0,33568368.52,,,418.0,0.0,,,,,916.0,,,,0.0,418.0,,,,43.06,,,,8.15,8.15,6360213.0,378289357.38,,485.24,8.15,16.67,0.2671,45.61,0.1264
2006-08-15,791277.0,47623427.09,1.41,8.2,0.44,60.29,0.0,32991662.25,477086.0,548166.0,28713674.65,,,,0.0,,,,6.7,612.0,87302.0,,,0.0,,,,13000.0,36.06,1.06,,,6.89,6.89,6450649.0,388235740.87,,490.76,6.85,14.11,0.3065,51.19,0.1142
2006-08-16,798343.0,48613976.86,1.42,8.01,0.44,61.26,0.0,33091590.06,476455.0,543433.0,29013058.73,,,,0.32,,,,0.0,1393.0,631.0,,,0.32,,,,6126.0,36.4,0.48,,,6.86,6.86,6469394.0,393944670.65,,497.44,6.82,14.01,0.3032,50.88,0.1149
2006-08-17,827236.0,51121817.18,1.47,8.13,0.46,64.28,0.0,35452228.38,465303.0,573676.0,28754956.14,,,,3.48,,,,0.75,40055.0,11152.0,,,3.48,,,,9812.0,36.12,0.72,,,6.73,6.73,6445399.0,398315002.41,,502.52,6.71,13.5,0.2907,49.0,0.1197
2006-08-18,827026.0,51434166.32,1.47,8.27,0.46,65.02,0.0,35729203.18,464272.0,574501.0,28873872.49,,,,0.42,,,,0.0,824.0,1031.0,,,0.42,,,,,36.55,,,,6.71,6.71,6454716.0,401429865.95,,507.58,6.72,13.51,0.2914,49.1,0.1195
2006-08-21,833380.0,51403158.34,1.49,8.23,0.46,65.6,0.0,35564079.84,468541.0,576587.0,28899766.27,,,4269.0,0.18,,,,,2086.0,,,,0.18,4269.0,,,,36.84,,,,6.76,6.76,6465063.0,398767257.55,,506.87,6.78,13.41,0.2922,49.21,0.1202
2006-08-22,828436.0,51293739.63,1.48,8.25,0.46,65.33,0.0,35456649.85,467532.0,572654.0,28947878.5,,,,,,,,0.06,,1008.0,,,,,,,3933.0,36.94,0.24,,,6.74,6.74,6471694.0,400703720.03,,509.4,6.76,13.54,0.2904,48.98,0.1194
2006-08-23,830256.0,51014510.55,1.48,8.33,0.46,65.43,0.0,35293368.31,467609.0,574396.0,28731914.33,,,77.0,0.11,,,,,1742.0,,,,0.11,77.0,,,,36.85,,,,6.61,6.61,6602635.0,405694379.62,,492.47,6.96,13.45,0.2911,49.08,0.1174
2006-08-24,828197.0,50985732.93,1.48,8.36,0.46,65.08,0.0,35237166.75,467548.0,572382.0,28783341.96,,,502.0,,,,,0.04,,564.0,,,,502.0,,,2014.0,36.84,0.22,,,6.64,6.64,6573881.0,404703399.08,,488.19,7.02,13.57,0.291,49.03,0.1176
2006-08-25,900027.0,55655584.96,1.6,9.35,0.5,70.59,0.0,39925500.49,468983.0,645650.0,29000822.42,,,3152.0,5.65,,,,0.17,73269.0,1716.0,,,5.65,3152.0,,,,36.81,,,,6.63,6.63,6604589.0,408412485.61,,492.3,6.96,19.33,0.2674,44.83,0.1272
2006-08-28,864961.0,53759384.15,1.54,9.19,0.48,67.97,0.0,37955836.52,468886.0,610690.0,29142380.52,,,1438.0,0.35,,,,0.11,4040.0,1536.0,,,0.35,1438.0,,,39000.0,36.8,3.02,,,6.61,6.61,6625034.0,411761626.05,,495.37,6.91,15.18,0.276,46.99,0.1219
2006-08-29,804481.0,50696616.47,1.43,8.91,0.44,63.55,0.0,34701125.37,468435.0,550656.0,29519739.48,,,,,,,,0.0,,450.0,,,,,,,60034.0,36.97,4.54,,,6.67,6.67,6559110.0,413340630.85,,494.57,6.95,13.99,0.3039,50.95,0.1145
2006-08-30,796865.0,51188406.34,1.42,8.7,0.44,63.63,0.0,34883389.5,468464.0,543040.0,30092833.27,,,29.0,,,,,,,,,,,29.0,,,7617.0,37.38,0.3,,,6.65,6.65,6577321.0,422508931.81,,533.13,6.55,14.17,0.2994,50.41,0.1131
2006-08-31,774015.0,49416111.57,1.38,8.31,0.43,62.13,0.0,34015566.02,452579.0,532793.0,28894393.98,,,5310.0,0.55,,,,1.65,5198.0,21195.0,,,0.55,5310.0,,,15445.0,36.23,1.27,,,6.45,6.45,6562338.0,418965041.73,,534.92,6.34,14.56,0.324,52.82,0.1103
2006-09-01,754077.0,48232181.79,1.34,7.88,0.41,60.78,0.0,34129546.91,431687.0,533592.0,27611511.64,,,,0.43,,,,1.67,5276.0,21250.0,,,0.43,,,358.0,4476.0,34.92,0.18,,,6.16,6.16,6573722.0,420467610.83,,534.65,6.13,15.1,0.3366,53.81,0.1076
2006-09-04,754093.0,49063789.28,1.34,7.85,0.41,60.84,0.0,34748103.6,458899.0,534066.0,29857489.51,,,4913.0,0.05,,,,,474.0,,,,0.05,4913.0,,22299.0,,37.14,,,,6.52,6.52,6581361.0,428205154.14,,538.41,6.45,15.12,0.3368,53.82,0.1071
2006-09-05,782698.0,50586246.9,1.39,8.13,0.43,64.23,0.0,36459935.11,470100.0,564128.0,30382848.39,,,11242.0,3.05,,,,0.0,36724.0,41.0,,,3.05,11242.0,,,6663.0,38.89,0.0,,,6.69,6.69,6552864.0,423515578.45,,537.49,6.75,14.49,0.305,50.62,0.1114
2006-09-06,786053.0,50122822.2,1.4,8.15,0.43,64.05,0.0,36343482.56,468443.0,569958.0,29870358.87,,,1500.0,0.23,,,,0.32,5830.0,3157.0,,,0.23,1500.0,,,,38.38,,,,6.62,6.62,6609844.0,421477986.34,,538.97,6.65,14.37,0.3063,50.73,0.1111
2006-09-07,953669.0,58710080.98,1.7,9.87,0.52,77.26,0.0,45238889.89,470770.0,734847.0,28981695.77,,,2530.0,13.21,,,,0.03,164889.0,203.0,,,13.21,2530.0,,,,38.24,,,,6.68,6.68,6571969.0,404585691.91,,524.28,6.8,11.55,0.3715,57.97,0.1354
2006-09-08,803585.0,49660224.48,1.43,8.21,0.44,63.33,0.0,36696414.49,472576.0,593809.0,29204415.52,,,3498.0,0.62,,,,1.16,9768.0,11460.0,,,0.62,3498.0,,9768.0,150807.0,37.17,13.03,,,6.7,6.7,6578226.0,406523491.42,,520.85,6.66,14.0,0.2959,49.03,0.114
