,GLO FP Equity_DX_SI_QTY,GLO FP Equity_DX_SHORT_INTEREST_VALUE,GLO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GLO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GLO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GLO FP Equity_DX_SI_MV,GLO FP Equity_DX_DSS,GLO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GLO FP Equity_DX_SUPPLY_SI_QTY,GLO FP Equity_DX_BROKER_SI_QTY,GLO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GLO FP Equity_DX_BROKER_SI_MV_NEW_x,GLO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GLO FP Equity_DX_SUPPLY_SI_QTY_INC_x,GLO FP Equity_DX_BROKER_SI_MV_INC_x,GLO FP Equity_DX_SUPPLY_SI_MV_NEW,GLO FP Equity_DX_BROKER_SI_QTY_ADD,GLO FP Equity_DX_BROKER_SI_QTY_NEW,GLO FP Equity_DX_SUPPLY_SI_MV_DEC,GLO FP Equity_DX_BROKER_SI_QTY_INC,GLO FP Equity_DX_SUPPLY_SI_QTY_DEC,GLO FP Equity_DX_BROKER_SI_MV_NEW_y,GLO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GLO FP Equity_DX_BROKER_SI_MV_INC_y,GLO FP Equity_DX_SUPPLY_SI_QTY_INC_y,GLO FP Equity_DX_BROKER_SI_MV_ADD,GLO FP Equity_DX_SUPPLY_SI_QTY_ADD,GLO FP Equity_DX_BROKER_SI_QTY_DEC,GLO FP Equity_DX_SUPPLY_SI_MV,GLO FP Equity_DX_BROKER_SI_MV_DEC,GLO FP Equity_DX_SUPPLY_SI_MV_RMV,GLO FP Equity_DX_BROKER_SI_MV_RMV,GLO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GLO FP Equity_DX_UTILIZATION_QUANTITY,GLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GLO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GLO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GLO FP Equity_DX_ACTIVE_UTILIZATION_MV,GLO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GLO FP Equity_DX_BROKER_SI_CON_RATIO,GLO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GLO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-04-05,108935.0,2487849.28,1.68,7.13,0.71,4.42,0.0,1820959.05,89525.0,79734.0,2044565.17,,,26973.0,0.29,,,,,8114.0,,,,0.29,26973.0,,,,3.63,,,0.12,14.57,14.57,524876.0,11987078.33,,21.31,14.57,23.73,0.493,65.56,0.1773
2006-04-12,109196.0,2495967.87,1.69,7.28,0.71,4.4,0.0,1911336.84,88570.0,83619.0,2024505.24,0.13,,,,,,3885.0,0.06,,955.0,0.13,,,,,,,3.57,,,,47.45,47.45,98108.0,2242521.85,,3.96,47.45,23.42,0.4956,65.88,0.5849
2006-04-19,105287.0,2398988.13,1.63,7.42,0.69,4.3,0.0,1816757.24,85177.0,79734.0,1940777.23,,,,,,,,0.09,,3393.0,,,,,,,3885.0,3.48,0.13,,,46.4,46.4,98396.0,2241975.14,,4.02,46.4,24.27,0.5259,67.88,0.5735
2006-04-26,103654.0,2632165.76,1.6,7.45,0.67,4.57,0.0,2024746.8,79732.0,79734.0,2024696.01,,,,,,,,0.0,,5445.0,,,,,,,,3.52,,,,46.76,46.76,90795.0,2305627.28,,4.0,46.76,23.08,0.5423,69.54,0.6078
2006-05-03,105377.0,2568327.14,1.63,6.83,0.69,4.59,0.0,1943336.74,85478.0,79734.0,2083333.81,,,5746.0,,,,,,,,,,,5746.0,,,,3.72,,,,46.77,46.77,97288.0,2371175.98,,4.23,46.77,24.33,0.5312,68.31,0.5766
2006-05-10,104984.0,2555290.88,1.62,8.55,0.68,4.59,0.0,1940710.61,84166.0,79734.0,2048584.66,,,,,,,,0.04,,1312.0,,,,,,,,3.68,,,,46.77,46.77,95804.0,2331851.4,,4.19,46.77,24.05,0.5338,68.6,0.5833
2006-05-17,116670.0,2666806.22,1.8,14.36,0.76,4.91,0.0,2096826.96,83119.0,91734.0,1899908.0,,,,0.43,,,,0.18,12000.0,1047.0,,,0.43,,,,,3.5,,,,46.99,46.99,93775.0,2143479.5,,3.95,46.99,21.37,0.4673,63.03,0.6595
2006-05-24,196326.0,4308291.2,3.03,18.36,1.28,7.68,1.0,2520400.6,142649.0,114853.0,3130372.09,,,4275.0,,,35119.0,,,,,,,,4275.0,1.15,55254.0,12000.0,5.58,0.43,,,76.31,76.31,44292.0,971969.24,,0.0,0.0,20.89,0.3776,54.37,1.0502
2006-05-31,196286.0,4396659.03,3.03,17.83,1.28,7.7,1.0,2625953.58,138411.0,117234.0,3100302.48,,,,0.1,,,,0.15,2381.0,4238.0,,,0.1,,,,,5.43,,,,22.66,22.66,472486.0,10583331.66,,0.0,0.0,22.48,0.3735,53.62,0.3213
2006-06-07,201513.0,4648478.41,3.11,14.42,1.31,8.08,1.0,2773543.91,139293.0,120234.0,3213194.7,,,2804.0,0.14,,,,0.0,3000.0,1922.0,,,0.14,2804.0,,,,5.59,,,,23.1,23.1,463685.0,10696231.57,,0.0,0.0,23.95,0.3719,53.08,0.3342
2006-06-14,175797.0,3520439.95,2.7,12.49,1.14,6.71,1.0,2541809.03,106841.0,126928.0,2139554.85,,,,0.06,,5000.0,,1.51,1694.0,32452.0,,,0.06,,0.15,,,4.08,,,,13.63,13.63,676842.0,13554165.41,,0.0,0.0,25.01,0.477,63.78,0.2243
2006-06-21,180629.0,3864791.87,2.78,11.81,1.17,6.78,1.0,2679543.95,121108.0,125234.0,2591262.83,,,14267.0,,,,,,,,,,,14267.0,,,1694.0,4.55,0.06,,,14.98,14.98,687290.0,14705461.48,,25.81,14.98,27.54,0.4635,61.74,0.2234
2006-06-28,185112.0,4202067.32,2.85,12.22,1.2,7.3,1.0,2979029.47,117790.0,131234.0,2673848.86,,,,0.16,,1000.0,,0.0,5000.0,3318.0,,,0.16,,0.03,,,4.64,,,,15.18,15.18,658167.0,14940479.52,,25.95,15.18,26.57,0.4387,59.79,0.2386
2006-07-03,184474.0,4304763.0,2.84,14.44,1.2,7.31,1.0,3062389.65,120964.0,131234.0,2822735.73,,,3811.0,,,,,0.01,,637.0,,,,3811.0,,,,4.8,,,,15.61,15.61,654083.0,15263247.38,,25.93,15.61,27.11,0.4332,59.08,0.238
2006-07-04,184665.0,4259830.71,2.84,14.87,1.2,7.31,1.0,3027290.62,119538.0,131234.0,2757488.66,,,191.0,,,,,0.07,,1617.0,,,,191.0,,,,4.73,,,,15.43,15.43,654930.0,15107848.95,,25.93,15.43,26.88,0.4345,59.29,0.2384
2006-07-05,181991.0,4240737.09,2.8,14.99,1.18,7.44,1.0,2997557.13,116638.0,128640.0,2717887.66,,,,,,,,0.0,,2900.0,,,,,,,2594.0,4.77,0.09,,,15.47,15.47,637138.0,14846529.48,,26.05,15.47,26.84,0.4554,61.31,0.2414
2006-07-06,187190.0,4374399.86,2.73,16.13,1.19,7.6,1.0,3123002.28,122203.0,133640.0,2855733.67,,,5565.0,0.18,,,,,5000.0,,,,0.18,5565.0,,,,4.96,,,,16.03,16.03,640201.0,14960709.25,,26.0,16.03,26.03,0.4287,59.24,0.2455
2006-07-07,187222.0,4375147.66,2.73,16.22,1.19,7.64,1.0,3123002.28,122275.0,133640.0,2857416.22,,,72.0,,,,,,,,,,,72.0,,,,4.99,,,,16.03,16.03,640574.0,14969425.8,,26.13,16.03,26.04,0.4291,59.28,0.2454
2006-07-10,187691.0,4255591.11,2.74,16.36,1.19,7.6,1.0,3030071.74,123344.0,133640.0,2796626.53,,,1070.0,,,,,,,,,,,1070.0,,,,4.99,,,,16.03,16.03,646154.0,14650501.17,,26.15,16.03,25.4,0.4322,59.8,0.2439
2006-07-11,182695.0,4117883.62,2.66,16.02,1.16,7.41,1.0,2902499.95,120809.0,128773.0,2722994.08,,,,,,,,0.09,,2536.0,,,,,,,4867.0,4.9,0.17,,,15.91,15.91,638739.0,14396961.43,,25.91,15.91,26.15,0.4582,61.91,0.2405
2006-07-12,177017.0,3988719.82,2.58,15.57,1.12,7.09,1.0,2788974.05,116406.0,123773.0,2622973.61,,,,,,,,0.24,,4403.0,,,,,,,5000.0,4.66,0.18,,,15.42,15.42,638259.0,14381874.77,,25.55,15.42,27.52,0.4819,63.45,0.2346
2006-07-13,138850.0,3049789.83,2.02,12.58,0.88,5.93,0.0,1947252.92,109369.0,88654.0,2402250.37,,,,,,,,0.0,,7037.0,,,,,,,35119.0,4.67,1.19,,,15.3,15.3,605361.0,13296534.56,,25.86,15.3,6.48,0.7059,83.51,0.1943
2006-07-14,138926.0,3040312.26,2.03,16.48,0.88,5.93,0.0,1940139.67,109536.0,88654.0,2397129.73,,,167.0,,,,,,,,,,,167.0,,,,4.67,,,,15.3,15.3,606285.0,13268183.93,,25.86,15.3,6.49,0.7079,83.64,0.1941
2006-07-17,138960.0,2995528.76,2.03,16.72,0.88,5.92,0.0,1911093.89,107920.0,88654.0,2326406.62,,,34.0,,,,,0.07,,1650.0,,,,34.0,,,,4.6,,,,15.13,15.13,605321.0,13048765.56,,25.79,15.13,6.5,0.7088,83.7,0.1948
2006-07-18,137132.0,2925864.9,2.0,16.31,0.87,5.95,0.0,1784851.84,106586.0,83654.0,2274131.76,,,,,,,,0.0,,1334.0,,,,,,,5000.0,4.62,0.16,,,15.13,15.13,597827.0,12755309.01,,25.93,15.13,6.47,0.7105,83.8,0.1947
2006-07-19,105724.0,2297447.53,1.54,12.89,0.67,4.3,0.0,1817852.86,77039.0,83654.0,1674104.84,,,,,,,,1.49,,29546.0,,,,,,,,3.13,,,,10.82,10.82,634895.0,13796658.75,,25.8,10.82,7.22,0.7596,86.7,0.1485
2006-07-20,105704.0,2332351.58,1.54,12.97,0.67,4.3,0.0,1845819.83,77957.0,83654.0,1720115.91,,,938.0,,,,,0.0,,20.0,,,,938.0,,,,3.17,,,,10.93,10.93,635259.0,14016946.67,,25.85,10.93,7.21,0.7583,86.62,0.1482
2006-07-21,105701.0,2332285.38,1.54,13.97,0.67,4.3,0.0,1845819.83,78806.0,83654.0,1738849.04,,,852.0,,,,,0.0,,3.0,,,,852.0,,,,3.21,,,,11.03,11.03,635968.0,14032590.71,,25.88,11.03,7.21,0.7581,86.61,0.1479
2006-07-24,105668.0,2402210.49,1.54,14.35,0.67,4.31,0.0,1901753.76,78648.0,83654.0,1787949.53,,,,,,,,0.0,,158.0,,,,,,,,3.21,,,,11.02,11.02,635011.0,14436064.71,,25.9,11.02,7.19,0.756,86.48,0.1481
2006-07-25,105648.0,2419415.79,1.54,14.78,0.67,4.31,0.0,1915737.24,80401.0,83654.0,1841241.19,,,1773.0,,,,,0.0,,21.0,,,,1773.0,,,,3.28,,,,11.22,11.22,636121.0,14567632.05,,25.92,11.22,7.2,0.7546,86.4,0.1474
2006-07-26,90815.0,2094909.84,1.32,16.33,0.58,3.95,0.0,1929720.73,58480.0,83654.0,1349009.83,,,,,,,,1.04,,29081.0,,,,,,7161.0,,2.55,,,,8.71,8.71,612907.0,14138467.28,,0.0,0.0,6.74,0.768,87.22,0.1353
2006-07-27,89687.0,2053897.32,1.31,13.81,0.57,3.92,0.0,1890248.74,62357.0,82541.0,1428020.5,,,3892.0,,,,,0.0,,15.0,,,,3892.0,,,1113.0,2.73,0.04,,,9.2,9.2,615332.0,14091548.88,,0.0,0.0,6.69,0.7852,88.21,0.1323
2006-07-28,89588.0,2036654.74,1.31,13.53,0.57,3.91,0.0,1874223.41,62034.0,82443.0,1410254.06,,,,,,,,0.02,,323.0,,,,,,,98.0,2.71,0.0,,,9.16,9.16,615016.0,13981507.05,,0.0,0.0,6.61,0.7869,88.31,0.1323
2006-07-31,89591.0,2030732.58,1.31,13.82,0.57,3.92,0.0,1868710.99,61563.0,82443.0,1395430.23,,,2.0,,,,,0.02,,473.0,,,,2.0,,,,2.69,,,,9.1,9.1,614766.0,13934718.29,,0.0,0.0,6.6,0.7874,88.34,0.1325
2006-08-01,84626.0,1890466.32,1.23,13.5,0.54,3.75,0.0,1733042.88,60534.0,77579.0,1352273.39,,,,,,,,0.01,,1029.0,,,,,,,4864.0,2.69,0.16,,,9.08,9.08,605901.0,13535266.14,,0.0,0.0,4.52,0.8595,92.55,0.127
2006-08-02,37141.0,840373.99,0.54,6.13,0.24,1.59,0.0,840373.99,52335.0,37141.0,1184162.32,,,,,,,,0.45,,8199.0,,,,,,,40438.0,2.23,1.86,,,7.69,7.69,627792.0,14204788.97,,26.79,7.69,8.96,0.7278,84.6,0.0546
2006-08-03,37141.0,865456.07,0.54,6.44,0.24,1.59,0.0,865456.07,23652.0,37141.0,551136.67,,,,,,,,1.22,,28684.0,,,,,,,,1.02,,,,3.45,3.45,661295.0,15409433.61,,28.38,3.45,8.91,0.7262,84.49,0.0542
2006-08-04,37141.0,865456.07,0.54,6.48,0.24,1.6,0.0,865456.07,24251.0,37141.0,565094.51,,,600.0,,,,,,,,,,,600.0,,,,1.05,,,,3.52,3.52,663859.0,15469179.7,,28.62,3.52,8.87,0.7272,84.56,0.054
2006-08-07,37141.0,861731.01,0.54,6.5,0.24,1.6,0.0,861731.01,24216.0,37141.0,561850.2,,,,,,,,0.0,,36.0,,,,,,,,1.05,,,,3.52,3.52,664077.0,15407655.81,,28.67,3.52,8.86,0.728,84.61,0.054
2006-08-08,37141.0,846830.76,0.54,6.73,0.24,1.6,0.0,846830.76,24120.0,37141.0,549946.37,,,,,,,,0.0,,96.0,,,,,,,,1.04,,,,3.5,3.5,664463.0,15150041.98,,28.68,3.5,8.86,0.7297,84.72,0.0539
2006-08-09,37141.0,851797.51,0.54,7.29,0.24,1.63,0.0,851797.51,23317.0,37141.0,534755.73,,,,,,,,0.02,,804.0,,,,,,,,1.02,,,,3.5,3.5,642739.0,14740676.91,,28.2,3.5,8.72,0.733,84.93,0.0558
2006-08-10,37141.0,846830.76,0.54,7.46,0.24,1.63,0.0,846830.76,23466.0,37141.0,535034.89,,,150.0,,,,,,,,,,,150.0,,,,1.03,,,,3.67,3.67,615609.0,14036149.78,,26.99,3.67,8.72,0.7329,84.93,0.0581
2006-08-11,37141.0,849314.14,0.54,7.62,0.24,1.63,0.0,849314.14,23256.0,37141.0,531801.77,,,,,,,,0.01,,210.0,,,,,,,,1.02,,,,3.64,3.64,615475.0,14074247.3,,27.06,3.64,8.7,0.7339,84.99,0.0581
2006-08-14,37141.0,848072.45,0.54,7.88,0.24,1.63,0.0,848072.45,23341.0,37141.0,532965.16,,,85.0,,,,,,,,,,,85.0,,,,1.03,,,,3.65,3.65,615763.0,14060247.06,,27.06,3.65,8.7,0.7338,84.99,0.0581
2006-08-15,37141.0,850555.82,0.56,8.69,0.24,1.63,0.0,850555.82,23347.0,37141.0,534663.23,,,5.0,,,,,,,,,,,5.0,,,,1.02,,,,3.65,3.65,615507.0,14095556.5,,27.0,3.66,8.72,0.7331,84.94,0.0581
2006-08-16,37141.0,849314.14,0.56,8.78,0.24,1.62,0.0,849314.14,23488.0,37141.0,537106.98,,,141.0,,,,,,,,,,,141.0,,,,1.03,,,,3.67,3.67,616972.0,14108479.63,,26.98,3.67,8.74,0.7326,84.91,0.058
2006-08-17,37141.0,844347.39,0.56,8.89,0.24,1.62,0.0,844347.39,23551.0,37141.0,535398.22,,,63.0,,,,,,,,,,,63.0,,,,1.03,,,,3.68,3.68,617034.0,14027383.39,,26.87,3.68,8.78,0.7322,84.88,0.058
2006-08-18,37141.0,846830.76,0.56,8.51,0.24,1.62,0.0,846830.76,23447.0,37141.0,534601.68,,,,,,,,0.01,,105.0,,,,,,,,1.02,,,,3.66,3.66,616415.0,14054526.93,,26.81,3.67,8.79,0.7316,84.84,0.058
2006-08-21,37141.0,849314.14,0.56,8.6,0.24,1.62,0.0,849314.14,23478.0,37141.0,536878.31,,,32.0,,,,,,,,,,,32.0,,,,1.02,,,,3.67,3.67,616560.0,14099058.31,,26.86,3.67,8.78,0.7316,84.85,0.058
2006-08-22,37141.0,853039.2,0.56,8.1,0.24,1.62,0.0,853039.2,23469.0,37141.0,539026.33,,,,,,,,0.0,,9.0,,,,,,,,1.03,,,,3.67,3.67,616668.0,14163376.78,,26.95,3.67,8.75,0.732,84.87,0.058
2006-08-23,37141.0,853039.2,0.56,8.14,0.24,1.63,0.0,853039.2,23450.0,37141.0,538589.95,,,,,,,,0.0,,20.0,,,,,,,,1.03,,,,7.4,7.4,293312.0,6736669.28,,20.77,4.73,8.7,0.7332,84.95,0.1173
2006-08-24,37141.0,864214.39,0.56,8.12,0.24,1.63,0.0,864214.39,23465.0,37141.0,545994.74,,,15.0,,,,,,,,,,,15.0,,,,1.03,,,,7.41,7.41,293335.0,6825457.76,,20.74,4.73,8.71,0.7317,84.85,0.1172
2006-08-25,37141.0,866697.76,0.56,8.22,0.24,1.63,0.0,866697.76,23746.0,37141.0,554120.92,,,281.0,,,,,,,,,,,281.0,,,,1.04,,,,7.47,7.47,294322.0,6868103.13,,20.81,4.78,8.7,0.7317,84.85,0.1168
2006-08-28,37141.0,881598.01,0.56,7.99,0.24,1.64,0.0,881598.01,23769.0,37141.0,564193.29,,,23.0,,,,,,,,,,,23.0,,,,1.05,,,,7.47,7.47,294376.0,6987461.17,,20.84,4.78,8.68,0.7304,84.77,0.1167
2006-08-29,37141.0,886564.76,0.56,7.86,0.24,1.64,0.0,886564.76,24183.0,37141.0,577254.13,,,413.0,,,,,,,,,,,413.0,,,,1.07,,,,7.56,7.56,295814.0,7061152.56,,20.89,4.85,8.69,0.7298,84.73,0.1161
2006-08-30,37141.0,886316.42,0.56,8.19,0.24,1.68,0.0,886316.42,23619.0,37141.0,563633.38,,,,,,,,0.0,,564.0,,,,,,,,1.07,,,,7.42,7.42,294659.0,7031612.24,,28.5,3.62,8.44,0.7366,85.17,0.1167
2006-08-31,37591.0,879712.13,0.57,8.14,0.24,1.7,0.0,879712.13,23668.0,37591.0,553883.29,,,49.0,0.01,,150.0,,,300.0,,,,0.01,49.0,0.01,,,1.07,,,,7.43,7.43,294948.0,6902432.28,,28.54,3.62,8.98,0.7258,84.49,0.118
2006-09-01,37591.0,897055.02,0.57,7.04,0.24,1.7,0.0,897055.02,23211.0,37591.0,553897.05,,,,,,,,0.02,,458.0,,,,,,,,1.05,,,,7.33,7.33,293302.0,6999229.39,,28.44,3.56,8.98,0.724,84.37,0.1188
2006-09-04,38591.0,929691.69,0.58,6.99,0.24,1.73,0.0,929691.69,23834.0,38591.0,574182.37,,,623.0,0.04,,,,,1000.0,,,,0.04,623.0,,,,1.07,,,,7.46,7.46,295631.0,7122015.08,,28.46,3.63,10.83,0.6979,82.6,0.1208
2006-09-05,39091.0,935725.49,0.59,6.96,0.25,1.75,0.0,935725.49,24172.0,39091.0,578607.78,,,338.0,0.02,,,,,500.0,,,,0.02,338.0,,,,1.08,,,,7.53,7.53,296889.0,7106664.09,,28.44,3.66,10.74,0.6837,81.74,0.1218
2006-09-06,39091.0,940953.01,0.59,6.8,0.25,1.76,0.0,940953.01,23874.0,39091.0,574667.11,,,,,,,,0.0,,298.0,,,,,,,,1.08,,,,7.47,7.47,295810.0,7120393.69,,28.56,3.63,10.66,0.6854,81.86,0.1223
2006-09-07,39091.0,922656.7,0.59,8.59,0.25,1.76,0.0,922656.7,23961.0,39091.0,565546.47,,,87.0,,,,,,,,,,,87.0,,,,1.08,,,,7.49,7.49,296155.0,6990084.56,,28.61,3.64,10.66,0.6871,81.97,0.1221
2006-09-08,39091.0,934157.24,0.59,10.31,0.25,1.76,0.0,934157.24,23507.0,39091.0,561746.55,,,,,,,,0.02,,454.0,,,,,,,,1.06,,,,7.39,7.39,294540.0,7038619.45,,28.51,3.58,10.66,0.6862,81.91,0.1229
2006-09-11,39091.0,922395.33,0.59,10.45,0.25,1.76,0.0,922395.33,23855.0,39091.0,562885.08,,,348.0,,,,,,,,,,,348.0,,,,1.07,,,,7.46,7.46,295770.0,6979019.86,,28.5,3.63,10.69,0.6865,81.93,0.1223
2006-09-12,39091.0,914815.43,0.59,10.39,0.25,1.76,0.0,914815.43,23456.0,39091.0,548922.02,,,,,,,,0.01,,400.0,,,,,,,,1.06,,,,7.38,7.38,294416.0,6889982.31,,28.6,3.57,10.64,0.6887,82.07,0.123
2006-09-13,39631.0,914468.28,0.6,10.87,0.25,1.73,0.0,914468.28,24037.0,39631.0,554643.44,,,581.0,0.02,,,,,540.0,,,,0.02,581.0,,,,1.05,,,,7.5,7.5,296629.0,6844586.58,,28.43,3.56,11.57,0.6691,80.73,0.1236
2006-09-14,39631.0,924802.75,0.6,10.38,0.25,1.74,0.0,924802.75,23633.0,39631.0,551484.02,,,,,,,,0.01,,404.0,,,,,,,,1.04,,,,7.41,7.41,295216.0,6888964.92,,28.45,3.51,11.54,0.6692,80.74,0.1243
2006-09-15,39631.0,954746.22,0.59,9.27,0.25,1.74,0.0,954746.22,23816.0,39631.0,573748.73,,23816.0,,,1.05,,,1.04,,23633.0,,23816.0,,,,,,1.05,,,,7.45,7.45,295806.0,7126230.99,,28.54,3.54,11.5,0.667,80.6,0.124
2006-09-18,36614.0,881329.55,0.54,8.42,0.23,1.63,0.0,881329.55,24288.0,36614.0,584632.44,,,472.0,,,,,,,,,,,472.0,,,3017.0,1.08,0.11,,,7.56,7.56,297006.0,7149182.41,,28.57,3.65,12.3,0.7528,85.87,0.114
