,ALAQU FP Equity_DX_SI_QTY,ALAQU FP Equity_DX_SHORT_INTEREST_VALUE,ALAQU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAQU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAQU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAQU FP Equity_DX_SI_MV,ALAQU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAQU FP Equity_DX_SUPPLY_SI_QTY,ALAQU FP Equity_DX_BROKER_SI_QTY,ALAQU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAQU FP Equity_DX_SUPPLY_SI_MV,ALAQU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAQU FP Equity_DX_UTILIZATION_QUANTITY,ALAQU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAQU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAQU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAQU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAQU FP Equity_DX_BROKER_SI_CON_RATIO,ALAQU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAQU FP Equity_PX_LAST
2006-12-06,,,,,,,,,,,,,,,,,,,,4.1
2006-12-08,,,,,,,,,,,,,,,,,,,,4.1
2006-12-12,,,,,,,,,,,,,,,,,,,,4.1
2006-12-13,,,,,,,,,,,,,,,,,,,,4.1
2006-12-14,,,,,,,,,,,,,,,,,,,,4.5
2006-12-15,,,,,,,,,,,,,,,,,,,,4.6
2006-12-18,,,,,,,,,,,,,,,,,,,,4.6
2006-12-19,,,,,,,,,,,,,,,,,,,,4.5
2006-12-20,,,,,,,,,,,,,,,,,,,,4.5
2006-12-21,,,,,,,,,,,,,,,,,,,,4.49
2006-12-22,,,,,,,,,,,,,,,,,,,,4.49
2006-12-27,,,,,,,,,,,,,,,,,,,,4.95
2006-12-28,,,,,,,,,,,,,,,,,,,,4.95
2006-12-29,,,,,,,,,,,,,,,,,,,,4.95
2007-01-02,,,,,,,,,,,,,,,,,,,,5.0
2007-01-03,,,,,,,,,,,,,,,,,,,,5.0
2007-01-04,,,,,,,,,,,,,,,,,,,,5.0
2007-01-05,,,,,,,,,,,,,,,,,,,,4.9
2007-01-08,,,,,,,,,,,,,,,,,,,,4.7
2007-01-11,,,,,,,,,,,,,,,,,,,,4.7
2007-01-16,,,,,,,,,,,,,,,,,,,,4.65
2007-01-17,,,,,,,,,,,,,,,,,,,,4.66
2007-01-18,,,,,,,,,,,,,,,,,,,,4.67
2007-01-22,,,,,,,,,,,,,,,,,,,,4.66
2007-01-23,,,,,,,,,,,,,,,,,,,,4.7
2007-01-24,,,,,,,,,,,,,,,,,,,,4.7
2007-01-25,,,,,,,,,,,,,,,,,,,,4.7
2007-01-26,,,,,,,,,,,,,,,,,,,,4.7
2007-01-29,,,,,,,,,,,,,,,,,,,,4.7
2007-01-31,,,,,,,,,,,,,,,,,,,,4.75
2007-02-02,,,,,,,,,,,,,,,,,,,,4.55
2007-02-05,,,,,,,,,,,,,,,,,,,,4.5
2007-02-06,,,,,,,,,,,,,,,,,,,,4.9
2007-02-07,,,,,,,,,,,,,,,,,,,,4.88
2007-02-08,,,,,,,,,,,,,,,,,,,,4.6
2007-02-09,,,,,,,,,,,,,,,,,,,,4.6
2007-02-12,,,,,,,,,,,,,,,,,,,,4.55
2007-02-13,,,,,,,,,,,,,,,,,,,,4.55
2007-02-14,,,,,,,,,,,,,,,,,,,,4.55
2007-02-16,,,,,,,,,,,,,,,,,,,,4.5
2007-02-19,,,,,,,,,,,,,,,,,,,,4.6
2007-02-22,,,,,,,,,,,,,,,,,,,,4.85
2007-02-23,,,,,,,,,,,,,,,,,,,,4.8
2007-02-26,,,,,,,,,,,,,,,,,,,,4.6
2007-03-01,,,,,,,,,,,,,,,,,,,,4.6
2007-03-06,,,,,,,,,,,,,,,,,,,,4.4
2007-03-08,,,,,,,,,,,,,,,,,,,,4.6
2007-03-12,,,,,,,,,,,,,,,,,,,,4.7
2007-03-14,,,,,,,,,,,,,,,,,,,,4.7
2007-03-15,,,,,,,,,,,,,,,,,,,,4.8
2007-03-19,,,,,,,,,,,,,,,,,,,,5.02
2007-03-20,,,,,,,,,,,,,,,,,,,,5.01
2007-03-22,,,,,,,,,,,,,,,,,,,,4.9
2007-03-26,,,,,,,,,,,,,,,,,,,,4.8
2007-03-27,,,,,,,,,,,,,,,,,,,,4.8
2007-03-28,,,,,,,,,,,,,,,,,,,,4.7
2007-03-29,,,,,,,,,,,,,,,,,,,,4.6
2007-03-30,,,,,,,,,,,,,,,,,,,,4.6
2007-04-03,,,,,,,,,,,,,,,,,,,,4.5
2007-04-13,,,,,,,,,,,,,,,,,,,,4.5
2007-04-16,,,,,,,,,,,,,,,,,,,,4.5
2007-04-17,,,,,,,,,,,,,,,,,,,,4.4
2007-04-18,,,,,,,,,,,,,,,,,,,,4.4
2007-04-20,,,,,,,,,,,,,,,,,,,,4.4
2007-04-24,,,,,,,,,,,,,,,,,,,,4.5
2007-04-25,,,,,,,,,,,,,,,,,,,,4.6
2007-04-26,,,,,,,,,,,,,,,,,,,,4.62
2007-04-27,,,,,,,,,,,,,,,,,,,,4.7
2007-04-30,,,,,,,,,,,,,,,,,,,,4.75
2007-05-02,,,,,,,,,,,,,,,,,,,,4.75
2007-05-03,,,,,,,,,,,,,,,,,,,,4.85
2007-05-04,,,,,,,,,,,,,,,,,,,,4.9
2007-05-07,,,,,,,,,,,,,,,,,,,,5.0
2007-05-08,,,,,,,,,,,,,,,,,,,,5.1
2007-05-09,,,,,,,,,,,,,,,,,,,,5.3
2007-05-14,,,,,,,,,,,,,,,,,,,,5.0
2007-05-15,,,,,,,,,,,,,,,,,,,,4.8
2007-05-21,,,,,,,,,,,,,,,,,,,,4.82
2007-05-23,,,,,,,,,,,,,,,,,,,,4.8
2007-05-29,,,,,,,,,,,,,,,,,,,,4.99
2007-05-30,,,,,,,,,,,,,,,,,,,,4.8
2007-05-31,,,,,,,,,,,,,,,,,,,,5.0
2007-06-01,,,,,,,,,,,,,,,,,,,,4.77
2007-06-04,,,,,,,,,,,,,,,,,,,,4.85
2007-06-05,,,,,,,,,,,,,,,,,,,,4.9
2007-06-06,,,,,,,,,,,,,,,,,,,,5.1
2007-06-07,,,,,,,,,,,,,,,,,,,,5.1
2007-06-08,,,,,,,,,,,,,,,,,,,,5.1
2007-06-11,,,,,,,,,,,,,,,,,,,,5.1
2007-06-13,,,,,,,,,,,,,,,,,,,,4.91
2007-06-14,,,,,,,,,,,,,,,,,,,,4.99
2007-06-20,,,,,,,,,,,,,,,,,,,,5.0
2007-06-21,,,,,,,,,,,,,,,,,,,,4.99
2007-06-25,,,,,,,,,,,,,,,,,,,,4.99
2007-06-26,,,,,,,,,,,,,,,,,,,,5.0
2007-06-27,,,,,,,,,,,,,,,,,,,,4.75
2007-07-02,,,,,,,,,,,,,,,,,,,,4.75
2007-07-04,,,,,,,,,,,,,,,,,,,,4.75
2007-07-05,,,,,,,,,,,,,,,,,,,,4.61
2007-07-11,,,,,,,,,,,,,,,,,,,,5.0
2007-07-12,,,,,,,,,,,,,,,,,,,,5.05
2007-07-16,,,,,,,,,,,,,,,,,,,,5.3
2007-07-17,,,,,,,,,,,,,,,,,,,,5.5
2007-07-18,,,,,,,,,,,,,,,,,,,,5.58
2007-07-19,,,,,,,,,,,,,,,,,,,,5.55
2007-07-20,,,,,,,,,,,,,,,,,,,,5.55
2007-07-23,,,,,,,,,,,,,,,,,,,,5.42
2007-07-25,,,,,,,,,,,,,,,,,,,,5.25
2007-07-26,,,,,,,,,,,,,,,,,,,,5.01
2007-07-27,,,,,,,,,,,,,,,,,,,,5.25
2007-07-31,,,,,,,,,,,,,,,,,,,,5.05
2007-08-01,,,,,,,,,,,,,,,,,,,,5.05
2007-08-03,,,,,,,,,,,,,,,,,,,,5.1
2007-08-06,,,,,,,,,,,,,,,,,,,,4.95
2007-08-07,,,,,,,,,,,,,,,,,,,,4.95
2007-08-08,,,,,,,,,,,,,,,,,,,,4.95
2007-08-09,,,,,,,,,,,,,,,,,,,,4.95
2007-08-10,,,,,,,,,,,,,,,,,,,,4.95
2007-08-13,,,,,,,,,,,,,,,,,,,,4.95
2007-08-15,,,,,,,,,,,,,,,,,,,,4.7
2007-08-16,,,,,,,,,,,,,,,,,,,,4.7
2007-08-17,,,,,,,,,,,,,,,,,,,,4.61
2007-08-22,,,,,,,,,,,,,,,,,,,,4.61
2007-08-23,,,,,,,,,,,,,,,,,,,,4.51
2007-08-27,,,,,,,,,,,,,,,,,,,,4.41
2007-08-28,,,,,,,,,,,,,,,,,,,,4.5
2007-08-29,,,,,,,,,,,,,,,,,,,,4.55
2007-09-05,,,,,,,,,,,,,,,,,,,,4.55
2007-09-06,,,,,,,,,,,,,,,,,,,,4.55
2007-09-11,,,,,,,,,,,,,,,,,,,,4.54
2007-09-12,,,,,,,,,,,,,,,,,,,,4.54
2007-09-14,,,,,,,,,,,,,,,,,,,,4.85
2007-09-17,,,,,,,,,,,,,,,,,,,,4.7
2007-09-18,,,,,,,,,,,,,,,,,,,,4.98
2007-09-19,,,,,,,,,,,,,,,,,,,,5.0
2007-09-20,,,,,,,,,,,,,,,,,,,,5.0
2007-09-21,,,,,,,,,,,,,,,,,,,,5.0
2007-09-25,,,,,,,,,,,,,,,,,,,,5.0
2007-09-26,,,,,,,,,,,,,,,,,,,,5.0
2007-09-27,,,,,,,,,,,,,,,,,,,,5.0
2007-09-28,,,,,,,,,,,,,,,,,,,,5.0
2007-10-01,,,,,,,,,,,,,,,,,,,,5.0
2007-10-04,,,,,,,,,,,,,,,,,,,,4.95
2007-10-09,,,,,,,,,,,,,,,,,,,,4.8
2007-10-12,,,,,,,,,,,,,,,,,,,,4.8
2007-10-15,,,,,,,,,,,,,,,,,,,,4.95
2007-10-18,,,,,,,,,,,,,,,,,,,,4.95
2007-10-24,,,,,,,,,,,,,,,,,,,,4.94
2007-11-07,,,,,,,,,,,,,,,,,,,,4.88
2007-11-21,,,,,,,,,,,,,,,,,,,,4.52
2007-11-23,,,,,,,,,,,,,,,,,,,,4.53
2007-11-26,,,,,,,,,,,,,,,,,,,,4.53
2007-11-28,,,,,,,,,,,,,,,,,,,,4.5
2007-11-29,,,,,,,,,,,,,,,,,,,,4.5
2007-12-05,,,,,,,,,,,,,,,,,,,,4.5
2007-12-06,,,,,,,,,,,,,,,,,,,,4.94
2007-12-11,,,,,,,,,,,,,,,,,,,,4.9
2007-12-19,,,,,,,,,,,,,,,,,,,,4.9
2007-12-27,,,,,,,,,,,,,,,,,,,,4.9
2008-01-10,,,,,,,,,,,,,,,,,,,,4.87
2008-01-14,,,,,,,,,,,,,,,,,,,,4.79
2008-01-15,,,,,,,,,,,,,,,,,,,,4.7
2008-01-16,,,,,,,,,,,,,,,,,,,,4.9
2008-01-17,,,,,,,,,,,,,,,,,,,,4.89
2008-01-21,,,,,,,,,,,,,,,,,,,,4.7
2008-01-23,,,,,,,,,,,,,,,,,,,,4.1
2008-01-24,,,,,,,,,,,,,,,,,,,,4.6
2008-01-25,,,,,,,,,,,,,,,,,,,,4.6
2008-01-30,,,,,,,,,,,,,,,,,,,,3.68
2008-01-31,,,,,,,,,,,,,,,,,,,,3.9
2008-02-01,,,,,,,,,,,,,,,,,,,,4.6
2008-02-04,,,,,,,,,,,,,,,,,,,,4.6
2008-02-08,,,,,,,,,,,,,,,,,,,,4.6
2008-02-18,,,,,,,,,,,,,,,,,,,,4.6
2008-02-20,,,,,,,,,,,,,,,,,,,,4.6
2008-02-29,,,,,,,,,,,,,,,,,,,,4.6
2008-03-03,,,,,,,,,,,,,,,,,,,,4.49
2008-03-25,,,,,,,,,,,,,,,,,,,,4.6
2008-03-28,,,,,,,,,,,,,,,,,,,,3.68
2008-04-01,,,,,,,,,,,,,,,,,,,,3.67
2008-04-03,,,,,,,,,,,,,,,,,,,,4.34
2008-04-07,,,,,,,,,,,,,,,,,,,,4.6
2008-04-10,,,,,,,,,,,,,,,,,,,,4.6
2008-04-18,,,,,,,,,,,,,,,,,,,,4.5
2008-04-24,,,,,,,,,,,,,,,,,,,,4.5
2008-04-25,,,,,,,,,,,,,,,,,,,,4.6
2008-04-28,,,,,,,,,,,,,,,,,,,,4.6
2008-04-29,,,,,,,,,,,,,,,,,,,,4.6
2008-05-02,,,,,,,,,,,,,,,,,,,,4.6
2008-05-09,,,,,,,,,,,,,,,,,,,,4.6
2008-05-12,,,,,,,,,,,,,,,,,,,,4.6
2008-05-14,,,,,,,,,,,,,,,,,,,,4.73
2008-05-15,,,,,,,,,,,,,,,,,,,,4.6
2008-05-22,,,,,,,,,,,,,,,,,,,,4.5
2008-05-30,,,,,,,,,,,,,,,,,,,,4.6
2008-06-02,,,,,,,,,,,,,,,,,,,,4.6
2008-06-06,,,,,,,,,,,,,,,,,,,,4.6
2008-06-11,,,,,,,,,,,,,,,,,,,,4.6
2008-06-24,,,,,,,,,,,,,,,,,,,,4.55
2008-07-01,,,,,,,,,,,,,,,,,,,,4.55
2008-07-21,,,,,,,,,,,,,,,,,,,,4.2
2008-07-22,,,,,,,,,,,,,,,,,,,,4.55
2008-07-24,,,,,,,,,,,,,,,,,,,,4.2
2008-07-29,,,,,,,,,,,,,,,,,,,,4.5
2008-07-30,,,,,,,,,,,,,,,,,,,,4.5
2008-08-07,,,,,,,,,,,,,,,,,,,,4.55
2008-08-12,,,,,,,,,,,,,,,,,,,,4.5
2008-09-08,,,,,,,,,,,,,,,,,,,,4.4
2008-09-12,,,,,,,,,,,,,,,,,,,,2.82
2008-09-16,,,,,,,,,,,,,,,,,,,,4.04
2008-09-17,,,,,,,,,,,,,,,,,,,,4.04
2008-09-18,,,,,,,,,,,,,,,,,,,,4.4
2008-09-19,,,,,,,,,,,,,,,,,,,,4.4
2008-09-23,,,,,,,,,,,,,,,,,,,,4.4
2008-09-24,,,,,,,,,,,,,,,,,,,,4.4
2008-09-25,,,,,,,,,,,,,,,,,,,,4.4
2008-09-30,,,,,,,,,,,,,,,,,,,,4.39
2008-10-10,,,,,,,,,,,,,,,,,,,,4.34
2008-10-14,,,,,,,,,,,,,,,,,,,,4.35
2008-10-30,,,,,,,,,,,,,,,,,,,,4.0
2008-11-20,,,,,,,,,,,,,,,,,,,,4.5
2008-11-21,,,,,,,,,,,,,,,,,,,,4.49
2008-11-28,,,,,,,,,,,,,,,,,,,,4.5
2008-12-02,,,,,,,,,,,,,,,,,,,,4.5
2008-12-05,,,,,,,,,,,,,,,,,,,,4.5
2008-12-09,,,,,,,,,,,,,,,,,,,,4.5
2008-12-10,,,,,,,,,,,,,,,,,,,,4.5
2008-12-16,,,,,,,,,,,,,,,,,,,,4.5
2008-12-19,,,,,,,,,,,,,,,,,,,,4.49
2008-12-23,,,,,,,,,,,,,,,,,,,,4.18
2008-12-29,,,,,,,,,,,,,,,,,,,,3.35
2009-01-05,,,,,,,,,,,,,,,,,,,,3.38
2009-01-06,,,,,,,,,,,,,,,,,,,,3.95
2009-01-08,,,,,,,,,,,,,,,,,,,,3.94
2009-01-09,,,,,,,,,,,,,,,,,,,,3.99
2009-01-12,,,,,,,,,,,,,,,,,,,,3.7
2009-01-13,,,,,,,,,,,,,,,,,,,,3.75
2009-01-14,,,,,,,,,,,,,,,,,,,,3.0
2009-01-15,,,,,,,,,,,,,,,,,,,,3.6
2009-01-16,,,,,,,,,,,,,,,,,,,,3.8
2009-01-19,,,,,,,,,,,,,,,,,,,,3.8
2009-01-21,,,,,,,,,,,,,,,,,,,,3.8
2009-01-23,,,,,,,,,,,,,,,,,,,,3.79
2009-01-26,,,,,,,,,,,,,,,,,,,,3.79
2009-01-27,,,,,,,,,,,,,,,,,,,,3.8
2009-02-05,,,,,,,,,,,,,,,,,,,,4.2
2009-02-09,,,,,,,,,,,,,,,,,,,,4.39
2009-02-10,,,,,,,,,,,,,,,,,,,,4.2
2009-02-18,,,,,,,,,,,,,,,,,,,,3.99
2009-03-10,,,,,,,,,,,,,,,,,,,,3.5
2009-03-18,,,,,,,,,,,,,,,,,,,,3.5
2009-03-24,,,,,,,,,,,,,,,,,,,,2.24
2009-03-25,,,,,,,,,,,,,,,,,,,,2.68
2009-03-26,,,,,,,,,,,,,,,,,,,,2.75
2009-03-31,,,,,,,,,,,,,,,,,,,,3.0
2009-04-08,,,,,,,,,,,,,,,,,,,,2.9
2009-04-09,,,,,,,,,,,,,,,,,,,,3.0
2009-04-16,,,,,,,,,,,,,,,,,,,,3.0
2009-04-23,,,,,,,,,,,,,,,,,,,,2.6
2009-04-24,,,,,,,,,,,,,,,,,,,,2.6
2009-04-27,,,,,,,,,,,,,,,,,,,,2.08
2009-05-04,,,,,,,,,,,,,,,,,,,,2.61
2009-05-07,,,,,,,,,,,,,,,,,,,,2.16
2009-05-11,,,,,,,,,,,,,,,,,,,,2.51
2009-05-12,,,,,,,,,,,,,,,,,,,,2.5
2009-05-19,,,,,,,,,,,,,,,,,,,,2.7
2009-05-25,,,,,,,,,,,,,,,,,,,,2.9
2009-05-26,,,,,,,,,,,,,,,,,,,,2.9
2009-06-12,,,,,,,,,,,,,,,,,,,,2.55
2009-06-15,,,,,,,,,,,,,,,,,,,,2.55
2009-06-16,,,,,,,,,,,,,,,,,,,,2.56
2009-06-18,,,,,,,,,,,,,,,,,,,,2.55
2009-06-24,,,,,,,,,,,,,,,,,,,,2.9
2009-07-06,,,,,,,,,,,,,,,,,,,,2.9
2009-07-13,,,,,,,,,,,,,,,,,,,,2.9
2009-07-15,,,,,,,,,,,,,,,,,,,,2.32
2009-08-10,,,,,,,,,,,,,,,,,,,,2.9
2009-08-11,,,,,,,,,,,,,,,,,,,,2.9
2009-08-24,,,,,,,,,,,,,,,,,,,,2.9
2009-08-25,,,,,,,,,,,,,,,,,,,,2.9
2009-08-26,,,,,,,,,,,,,,,,,,,,2.9
2009-08-27,,,,,,,,,,,,,,,,,,,,2.9
2009-08-28,,,,,,,,,,,,,,,,,,,,2.9
2009-08-31,,,,,,,,,,,,,,,,,,,,2.91
2009-09-03,,,,,,,,,,,,,,,,,,,,2.75
2009-09-08,,,,,,,,,,,,,,,,,,,,3.25
2009-09-09,,,,,,,,,,,,,,,,,,,,3.24
2009-09-10,,,,,,,,,,,,,,,,,,,,3.0
2009-09-15,,,,,,,,,,,,,,,,,,,,3.25
2009-09-16,,,,,,,,,,,,,,,,,,,,3.8
2009-09-17,,,,,,,,,,,,,,,,,,,,3.8
2009-09-18,,,,,,,,,,,,,,,,,,,,3.25
2009-09-22,,,,,,,,,,,,,,,,,,,,3.5
2009-09-23,,,,,,,,,,,,,,,,,,,,3.15
2009-09-24,,,,,,,,,,,,,,,,,,,,3.21
2009-09-28,,,,,,,,,,,,,,,,,,,,3.15
2009-09-29,,,,,,,,,,,,,,,,,,,,3.14
2009-09-30,,,,,,,,,,,,,,,,,,,,3.15
2009-10-02,,,,,,,,,,,,,,,,,,,,3.15
2009-10-05,,,,,,,,,,,,,,,,,,,,3.14
2009-10-07,,,,,,,,,,,,,,,,,,,,3.14
2009-10-08,,,,,,,,,,,,,,,,,,,,3.14
2009-10-13,,,,,,,,,,,,,,,,,,,,3.05
2009-10-15,,,,,,,,,,,,,,,,,,,,3.05
2009-10-16,,,,,,,,,,,,,,,,,,,,2.78
2009-10-20,,,,,,,,,,,,,,,,,,,,2.77
2009-10-21,,,,,,,,,,,,,,,,,,,,2.75
2009-10-22,,,,,,,,,,,,,,,,,,,,2.75
2009-10-23,,,,,,,,,,,,,,,,,,,,2.75
2009-10-26,,,,,,,,,,,,,,,,,,,,2.75
2009-10-29,,,,,,,,,,,,,,,,,,,,2.77
2009-11-16,,,,,,,,,,,,,,,,,,,,2.77
2009-11-23,,,,,,,,,,,,,,,,,,,,2.99
2009-11-24,,,,,,,,,,,,,,,,,,,,3.0
2009-11-26,,,,,,,,,,,,,,,,,,,,2.7
2009-11-27,,,,,,,,,,,,,,,,,,,,2.5
2009-11-30,,,,,,,,,,,,,,,,,,,,2.32
2009-12-02,,,,,,,,,,,,,,,,,,,,2.5
2009-12-03,,,,,,,,,,,,,,,,,,,,2.99
2009-12-04,,,,,,,,,,,,,,,,,,,,2.98
2009-12-08,,,,,,,,,,,,,,,,,,,,2.96
2009-12-10,,,,,,,,,,,,,,,,,,,,2.55
2009-12-14,,,,,,,,,,,,,,,,,,,,3.06
2009-12-15,,,,,,,,,,,,,,,,,,,,2.57
2009-12-21,,,,,,,,,,,,,,,,,,,,2.89
2009-12-22,,,,,,,,,,,,,,,,,,,,2.8
2009-12-23,,,,,,,,,,,,,,,,,,,,2.6
2009-12-24,,,,,,,,,,,,,,,,,,,,2.85
2009-12-28,,,,,,,,,,,,,,,,,,,,2.97
2009-12-29,,,,,,,,,,,,,,,,,,,,2.96
2009-12-30,,,,,,,,,,,,,,,,,,,,3.24
2009-12-31,,,,,,,,,,,,,,,,,,,,3.25
2010-01-07,,,,,,,,,,,,,,,,,,,,3.25
2010-01-11,,,,,,,,,,,,,,,,,,,,3.5
2010-01-13,,,,,,,,,,,,,,,,,,,,3.35
2010-01-14,,,,,,,,,,,,,,,,,,,,3.79
2010-01-18,,,,,,,,,,,,,,,,,,,,3.79
2010-01-20,,,,,,,,,,,,,,,,,,,,3.8
