,ALNRG FP Equity_DX_SI_QTY,ALNRG FP Equity_DX_SHORT_INTEREST_VALUE,ALNRG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNRG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNRG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNRG FP Equity_DX_SI_MV,ALNRG FP Equity_DX_DSS,ALNRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNRG FP Equity_DX_SUPPLY_SI_QTY,ALNRG FP Equity_DX_BROKER_SI_QTY,ALNRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNRG FP Equity_DX_BROKER_SI_MV_NEW_x,ALNRG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALNRG FP Equity_DX_BROKER_SI_MV_INC_x,ALNRG FP Equity_DX_BROKER_SI_QTY_ADD,ALNRG FP Equity_DX_BROKER_SI_QTY_NEW,ALNRG FP Equity_DX_SUPPLY_SI_MV_DEC,ALNRG FP Equity_DX_BROKER_SI_QTY_INC,ALNRG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNRG FP Equity_DX_BROKER_SI_MV_NEW_y,ALNRG FP Equity_DX_BROKER_SI_MV_INC_y,ALNRG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALNRG FP Equity_DX_BROKER_SI_MV_ADD,ALNRG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNRG FP Equity_DX_BROKER_SI_QTY_DEC,ALNRG FP Equity_DX_SUPPLY_SI_MV,ALNRG FP Equity_DX_BROKER_SI_MV_DEC,ALNRG FP Equity_DX_BROKER_SI_MV_RMV,ALNRG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNRG FP Equity_DX_UTILIZATION_QUANTITY,ALNRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNRG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNRG FP Equity_DX_BROKER_SI_CON_RATIO,ALNRG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNRG FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNRG FP Equity_PX_LAST
2020-08-17,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3053519.1,0.44,0.0,,0.0,,0.0,6.9
2020-08-18,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3230534.7,0.44,0.0,,0.0,,0.0,7.3
2020-08-19,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3203982.36,0.45,0.0,,0.0,,0.0,7.24
2020-08-20,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3115474.56,0.44,0.0,,0.0,,0.0,7.04
2020-08-21,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3053519.1,0.44,0.0,,0.0,,0.0,6.9
2020-08-24,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3009265.2,0.44,0.0,,0.0,,0.0,6.8
2020-08-25,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2947309.74,0.44,0.0,,0.0,,0.0,6.66
2020-08-26,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3053519.1,0.44,0.0,,0.0,,0.0,6.9
2020-08-27,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2991563.64,0.44,0.0,,0.0,,0.0,6.76
2020-08-28,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3009265.2,0.44,0.0,,0.0,,0.0,6.8
2020-08-31,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,3000414.42,0.44,0.0,,0.0,,0.0,6.78
2020-09-01,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2894205.06,0.44,0.0,,0.0,,0.0,6.54
2020-09-02,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2885354.28,0.45,0.0,,0.0,,0.0,6.52
2020-09-03,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2805697.26,0.44,0.0,,0.0,,0.0,6.34
2020-09-04,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2770294.14,0.44,0.0,,0.0,,0.0,6.26
2020-09-07,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2770294.14,0.44,0.0,,0.0,,0.0,6.26
2020-09-08,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2487069.18,0.44,0.0,,0.0,,0.0,5.62
2020-09-09,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2646383.22,0.44,0.0,,0.0,,0.0,5.98
2020-09-10,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2655234.0,0.44,0.0,,0.0,,0.0,6.0
2020-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2717189.46,0.44,0.0,,0.0,,0.0,6.14
2020-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2717189.46,0.44,0.0,,0.0,,0.0,6.14
2020-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2637532.44,0.44,0.0,,0.0,,0.0,5.96
2020-09-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2619830.88,0.44,0.0,,0.0,,0.0,5.92
2020-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2699487.9,0.44,0.0,,0.0,,0.0,6.1
2020-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2681786.34,0.45,0.0,,0.0,,0.0,6.06
2020-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2681786.34,0.44,0.0,,0.0,,0.0,6.06
2020-09-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2664084.78,0.44,0.0,,0.0,,0.0,6.02
2020-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2575576.98,0.44,0.0,,0.0,,0.0,5.82
2020-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2593278.54,0.44,0.0,,0.0,,0.0,5.86
2020-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2664084.78,0.44,0.0,,0.0,,0.0,6.02
2020-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2646383.22,0.44,0.0,,0.0,,0.0,5.98
2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2699487.9,0.44,0.0,,0.0,,0.0,6.1
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2699487.9,0.44,0.0,,0.0,,0.0,6.1
2020-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2690637.12,0.44,0.0,,0.0,,0.0,6.08
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2593278.54,0.44,0.0,,0.0,,0.0,5.86
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2549024.64,0.44,0.0,,0.0,,0.0,5.76
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2593278.54,0.44,0.0,,0.0,,0.0,5.86
2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2646383.22,0.45,0.0,,0.0,,0.0,5.98
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2593278.54,0.44,0.0,,0.0,,0.0,5.86
2020-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2602129.32,0.44,0.0,,0.0,,0.0,5.88
2020-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2664084.78,0.44,0.0,,0.0,,0.0,6.02
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2522472.3,0.44,0.0,,0.0,,0.0,5.7
2020-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2619830.88,0.44,0.0,,0.0,,0.0,5.92
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2602129.32,0.44,0.0,,0.0,,0.0,5.88
2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2637532.44,0.44,0.0,,0.0,,0.0,5.96
2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2504770.74,0.44,0.0,,0.0,,0.0,5.66
2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2584427.76,0.45,0.0,,0.0,,0.0,5.84
2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2699487.9,0.45,0.0,,0.0,,0.0,6.1
2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2584427.76,0.44,0.0,,0.0,,0.0,5.84
2020-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2602129.32,0.44,0.0,,0.0,,0.0,5.88
2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2531323.08,0.44,0.0,,0.0,,0.0,5.72
2020-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2584427.76,0.44,0.0,,0.0,,0.0,5.84
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2540173.86,0.44,0.0,,0.0,,0.0,5.74
2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2522472.3,0.44,0.0,,0.0,,0.0,5.7
2020-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2602129.32,0.44,0.0,,0.0,,0.0,5.88
2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2593278.54,0.44,0.0,,0.0,,0.0,5.86
2020-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2540173.86,0.44,0.0,,0.0,,0.0,5.74
2020-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2610980.1,0.44,0.0,,0.0,,0.0,5.9
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2566726.2,0.44,0.0,,0.0,,0.0,5.8
2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2602129.32,0.44,0.0,,0.0,,0.0,5.88
2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2566726.2,0.44,0.0,,0.0,,0.0,5.8
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2557875.42,0.44,0.0,,0.0,,0.0,5.78
2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2522472.3,0.44,0.0,,0.0,,0.0,5.7
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2566726.2,0.44,0.0,,0.0,,0.0,5.8
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2566726.2,0.44,0.0,,0.0,,0.0,5.8
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2566726.2,0.44,0.0,,0.0,,0.0,5.8
2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2549024.64,0.44,0.0,,0.0,,0.0,5.76
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2522472.3,0.44,0.0,,0.0,,0.0,5.7
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2495919.96,0.44,0.0,,0.0,,0.0,5.64
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2540173.86,0.44,0.0,,0.0,,0.0,5.74
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2531323.08,0.44,0.0,,0.0,,0.0,5.72
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2522472.3,0.44,0.0,,0.0,,0.0,5.7
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2557875.42,0.44,0.0,,0.0,,0.0,5.78
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2566726.2,0.44,0.0,,0.0,,0.0,5.8
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2584427.76,0.44,0.0,,0.0,,0.0,5.84
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2557875.42,0.44,0.0,,0.0,,0.0,5.78
2020-12-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2602129.32,0.44,0.0,,0.0,,0.0,5.88
2020-12-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2619830.88,0.44,0.0,,0.0,,0.0,5.92
2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2655234.0,0.44,0.0,,0.0,,0.0,6.0
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2584427.76,0.44,0.0,,0.0,,0.0,5.84
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2699487.9,0.44,0.0,,0.0,,0.0,6.1
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2787995.7,0.44,0.0,,0.0,,0.0,6.3
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2619830.88,0.44,0.0,,0.0,,0.0,5.92
2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2655234.0,0.44,0.0,,0.0,,0.0,6.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2637532.44,0.44,0.0,,0.0,,0.0,5.96
2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2557875.42,0.44,0.0,,0.0,,0.0,5.78
2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2575576.98,0.44,0.0,,0.0,,0.0,5.82
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2575576.98,0.44,0.0,,0.0,,0.0,
2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,442539.0,2637532.44,0.44,0.0,,0.0,,0.0,5.96
