,ENX FP Equity_DX_SI_QTY,ENX FP Equity_DX_SHORT_INTEREST_VALUE,ENX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ENX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ENX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ENX FP Equity_DX_SI_MV,ENX FP Equity_DX_DSS,ENX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ENX FP Equity_DX_SUPPLY_SI_QTY,ENX FP Equity_DX_BROKER_SI_QTY,ENX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ENX FP Equity_DX_BROKER_SI_MV_NEW_x,ENX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ENX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ENX FP Equity_DX_BROKER_SI_MV_INC_x,ENX FP Equity_DX_SUPPLY_SI_MV_NEW,ENX FP Equity_DX_BROKER_SI_QTY_ADD,ENX FP Equity_DX_BROKER_SI_QTY_NEW,ENX FP Equity_DX_SUPPLY_SI_MV_DEC,ENX FP Equity_DX_BROKER_SI_QTY_INC,ENX FP Equity_DX_SUPPLY_SI_QTY_DEC,ENX FP Equity_DX_BROKER_SI_MV_NEW_y,ENX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ENX FP Equity_DX_BROKER_SI_MV_INC_y,ENX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ENX FP Equity_DX_BROKER_SI_MV_ADD,ENX FP Equity_DX_SUPPLY_SI_QTY_ADD,ENX FP Equity_DX_BROKER_SI_QTY_DEC,ENX FP Equity_DX_SUPPLY_SI_MV,ENX FP Equity_DX_BROKER_SI_MV_DEC,ENX FP Equity_DX_SUPPLY_SI_MV_RMV,ENX FP Equity_DX_BROKER_SI_MV_RMV,ENX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ENX FP Equity_DX_UTILIZATION_QUANTITY,ENX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ENX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ENX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ENX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ENX FP Equity_DX_ACTIVE_UTILIZATION_MV,ENX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ENX FP Equity_DX_BROKER_SI_CON_RATIO,ENX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ENX FP Equity_DX_DEMAND_SUPPLY_RATIO,ENX FP Equity_PX_LAST
2014-07-04,15000.0,263554.49,0.03,0.03,0.02,0.3,0.0,263554.49,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0016,19.1
2014-07-07,15000.0,263278.52,0.03,0.03,0.02,0.3,0.0,263278.52,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0018,19.08
2014-07-08,15000.0,256655.16,0.03,0.03,0.02,0.3,0.0,256655.16,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0018,18.6
2014-07-09,15000.0,252515.56,0.03,0.03,0.02,0.29,0.0,252515.56,0.0,15000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0015,18.3
2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,15000.0,0.0,0.29,,,0.0,0.0,9775448.0,163214631.94,,176.37,0.0,,0.0,,0.0,18.15
2014-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9770961.0,164487977.38,,175.14,0.0,,0.0,,0.0,18.3
2014-07-14,21999.0,372363.03,0.04,0.04,0.03,0.41,0.0,372363.03,21999.0,21999.0,372363.03,,,,,,21999.0,,,,,,,,,0.41,21999.0,,0.41,,,,0.23,0.23,9747794.0,164994685.76,,175.97,0.23,,1.0,100.0,0.0023,18.4
2014-07-15,21999.0,374386.74,0.04,0.04,0.03,0.41,0.0,374386.74,21999.0,21999.0,374386.74,,,1500.0,,,,,0.03,,1500.0,,,,1500.0,,,,0.41,,,,0.23,0.23,9752085.0,165964421.76,,177.14,0.23,,1.0,100.0,0.0023,18.5
2014-07-16,23899.0,416614.84,0.05,0.04,0.03,0.45,0.0,383493.44,21999.0,21999.0,383493.44,,,400.0,,,,,0.0,,400.0,,,,400.0,,,,0.42,,,,0.23,0.23,9745223.0,169881773.66,,177.91,0.23,,1.0,100.0,0.0024,18.95
2014-07-17,21999.0,383493.44,0.04,0.04,0.03,0.42,0.0,383493.44,21999.0,21999.0,383493.44,,,,,,,,,,,,,,,,,,0.42,,,,0.2,0.2,10768441.0,187718829.69,,200.79,0.21,,1.0,100.0,0.002,18.95
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.42,,21999.0,,,,,,,21999.0,0.0,0.42,,,0.0,0.0,10784940.0,189097775.7,,201.33,0.0,,0.0,100.0,0.0,19.06
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10781350.0,185067677.64,,202.17,0.0,,0.0,,0.0,18.66
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10644104.0,180165952.9,,196.24,0.0,,0.0,,0.0,18.4
2014-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10640930.0,178252374.1,,193.87,0.0,,0.0,,0.0,18.21
2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10639713.0,178819242.74,,192.29,0.0,,0.0,,0.0,18.27
2014-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10639713.0,178231987.43,,192.52,0.0,,0.0,,0.0,18.21
2014-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10866665.0,181134118.89,,195.98,0.0,,0.0,,0.0,18.12
2014-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10865890.0,182720504.78,,195.4,0.0,,0.0,,0.0,18.28
2014-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10865869.0,182420282.69,,196.6,0.0,,0.0,,0.0,18.25
2014-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10908411.0,184338665.75,,197.16,0.0,,0.0,,0.0,18.37
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10851330.0,181876728.78,,196.71,0.0,,0.0,,0.0,18.22
2014-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8334196.0,139074268.17,,149.89,0.0,,0.0,,0.0,18.14
2014-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8948441.0,148171840.3,,160.67,0.0,,0.0,,0.0,18.0
2014-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8627171.0,137455488.24,,151.83,0.0,,0.0,,0.0,17.32
2014-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8792170.0,144694561.53,,151.12,0.0,,0.0,,0.0,17.89
2014-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8779422.0,146584599.54,,154.95,0.0,,0.0,,0.0,18.15
2014-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8667559.0,149899590.56,,155.78,0.0,,0.0,,0.0,18.8
2014-08-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8747380.0,154498765.23,,158.71,0.0,,0.0,,0.0,19.2
2014-08-13,25000.0,446156.81,0.05,0.12,0.04,0.48,0.0,446156.81,25000.0,25000.0,446156.81,,,,,,25000.0,,,,,,,,,0.48,25000.0,,0.48,,,,7.25,0.28,320000.0,5710807.21,,6.14,7.25,,1.0,100.0,0.0028,19.4
2014-08-14,25000.0,442247.19,0.05,0.12,0.04,0.49,0.0,442247.19,25000.0,25000.0,442247.19,,,,,,,,,,,,,,,,,,0.49,,,,7.25,0.29,320000.0,5660764.05,,6.21,7.25,,1.0,100.0,0.0029,19.23
2014-08-15,25000.0,438567.55,0.05,0.12,0.04,0.48,0.0,438567.55,25000.0,25000.0,438567.55,,,,,,,,,,,,,,,,,,0.48,,,,7.25,0.29,320000.0,5613664.61,,6.15,7.25,,1.0,100.0,0.0029,19.07
2014-08-18,25000.0,442707.15,0.05,0.12,0.04,0.48,0.0,442707.15,25000.0,25000.0,442707.15,,,,,,,,,,,,,,,,,,0.48,,,,7.25,0.29,320000.0,5666651.48,,6.1,7.25,,1.0,100.0,0.0029,19.25
2014-08-19,25000.0,443167.1,0.05,0.12,0.04,0.48,0.0,443167.1,25000.0,25000.0,443167.1,,,,,,,,,,,,,,,,,,0.48,,,,7.45,0.29,310465.0,5503514.98,,5.98,7.45,,1.0,100.0,0.0029,19.27
2014-08-20,25000.0,442707.15,0.05,0.13,0.04,0.48,0.0,442707.15,25000.0,25000.0,442707.15,,,,,,,,,,,,,,,,,,0.48,,,,7.45,0.29,310465.0,5497802.98,,5.98,7.45,,1.0,100.0,0.0029,19.25
2014-08-21,25000.0,445006.92,0.05,0.13,0.04,0.48,0.0,445006.92,25000.0,25000.0,445006.92,,,,,,,,,,,,,,,,,,0.48,,,,7.45,0.29,310465.0,5526362.99,,5.98,7.45,,1.0,100.0,0.0029,19.35
2014-08-22,25000.0,450756.37,0.05,0.14,0.04,0.48,0.0,450756.37,25000.0,25000.0,450756.37,,,,,,,,,,,,,,,,,,0.48,,,,7.45,0.29,310465.0,5597763.03,,6.01,7.45,,1.0,100.0,0.0029,19.6
2014-08-25,25000.0,447306.7,0.05,0.14,0.04,0.49,0.0,447306.7,25000.0,25000.0,447306.7,,,,,,,,,,,,,,,,,,0.49,,,,7.45,0.29,310465.0,5554923.01,,6.03,7.45,,1.0,100.0,0.0029,19.45
2014-08-26,25000.0,452366.21,0.05,0.14,0.04,0.49,0.0,452366.21,20000.0,25000.0,361892.97,,,,,,,,0.1,,5000.0,,,,,,,,0.39,,,,19.78,0.24,81128.0,1467982.64,,1.58,19.78,,1.0,100.0,0.003,19.67
2014-08-27,20000.0,360605.09,0.04,0.11,0.03,0.39,0.0,360605.09,20000.0,20000.0,360605.09,,,,,,,,,,,,,,,,,5000.0,0.39,0.1,,,19.78,0.24,81128.0,1462758.5,,1.58,19.78,,1.0,100.0,0.0024,19.6
2014-08-28,20000.0,357845.36,0.04,0.12,0.03,0.39,0.0,357845.36,20000.0,20000.0,357845.36,,,,,,,,,,,,,,,,,,0.39,,,,34.27,0.24,38358.0,686311.62,,0.75,34.27,,1.0,100.0,0.0024,19.45
2014-08-29,20000.0,357293.41,0.04,0.12,0.03,0.39,0.0,357293.41,20000.0,20000.0,357293.41,,,,,,,,,,,,,,,,,,0.39,,,,34.27,0.25,38358.0,685253.04,,0.76,34.27,,1.0,100.0,0.0025,19.42
2014-09-01,20000.0,360605.09,0.04,0.12,0.03,0.39,0.0,360605.09,20000.0,20000.0,360605.09,,,,,,,,,,,,,,,,,,0.39,,,,34.27,0.25,38358.0,691604.51,,0.74,34.27,,1.0,100.0,0.0025,19.6
2014-09-02,40000.0,717530.54,0.08,0.23,0.06,0.8,0.0,358765.27,40000.0,20000.0,717530.54,,,20000.0,,,,,,,,,,,20000.0,,,,0.8,,,,100.0,0.51,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0051,19.5
2014-09-03,20000.0,365940.58,0.04,0.14,0.03,0.39,0.0,365940.58,20000.0,20000.0,365940.58,,,,,,,,0.41,,20000.0,,,,,,,,0.39,,,,100.0,0.26,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0026,19.89
2014-09-04,40000.0,731513.19,0.08,0.28,0.06,0.81,0.0,365756.6,40000.0,20000.0,731513.19,,,20000.0,,,,,,,,,,,20000.0,,,,0.82,,,,100.0,0.52,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0052,19.88
2014-09-05,20000.0,364100.76,0.04,0.14,0.03,0.4,0.0,364100.76,20000.0,20000.0,364100.76,,,,,,,,0.82,,40000.0,,,,,,20000.0,,0.4,,,,0.26,0.26,7605775.0,138463421.36,,141.72,0.28,,1.0,100.0,0.0026,19.79
2014-09-08,20000.0,369436.24,0.04,0.14,0.03,0.4,0.0,369436.24,20000.0,20000.0,369436.24,,,,,,,,,,,,,,,,,,0.4,,,,0.27,0.27,7502410.0,138583106.88,,139.8,0.28,,1.0,100.0,0.0027,20.08
2014-09-09,20000.0,359501.2,0.04,0.14,0.03,0.4,0.0,359501.2,20000.0,20000.0,359501.2,,,,,,,,,,,,,,,,,,0.4,,,,0.27,0.27,7453070.0,133969380.88,,139.79,0.29,,1.0,100.0,0.0027,19.54
2014-09-10,29000.0,527412.55,0.06,0.2,0.04,0.57,0.0,527412.55,20000.0,29000.0,363732.79,,,,,,9000.0,,,,,,,,,0.18,,,0.39,,,,1.17,0.27,1696663.0,30856598.47,,33.15,1.17,17.41,0.5229,68.82,0.0039,19.77
2014-09-11,29000.0,521543.52,0.06,0.19,0.04,0.57,0.0,521543.52,20000.0,29000.0,359685.18,,,,,,,,,,,,,,,,,,0.4,,,,1.17,0.27,1696663.0,30513227.11,,33.54,1.17,17.28,0.5254,69.06,0.0039,19.55
2014-09-12,24000.0,432726.11,0.05,0.16,0.03,0.47,0.0,432726.11,20000.0,24000.0,360605.09,,,,,,,,,,,,,,,,,5000.0,0.39,0.1,,,1.17,0.27,1696663.0,30591266.06,,33.17,1.17,8.43,0.7068,83.23,0.0032,19.6
2014-09-15,4000.0,73077.73,0.01,0.03,0.01,0.08,0.0,73077.73,0.0,4000.0,0.0,,,,,,,,0.39,,20000.0,,,,,,,20000.0,0.0,0.39,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.71,0.5,50.29,0.0005,19.86
2014-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4000.0,0.0,0.08,,,0.0,0.0,7396562.0,134042314.73,,137.38,0.0,,0.0,100.0,0.0,19.7
2014-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7395562.0,133071736.29,,136.76,0.0,,0.0,,0.0,19.56
2014-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7395562.0,134296322.83,,135.88,0.0,,0.0,,0.0,19.74
2014-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7395591.0,134568980.84,,137.23,0.0,,0.0,,0.0,19.78
2014-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7409710.0,135643840.7,,137.43,0.0,,0.0,,0.0,19.9
2014-09-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7402695.0,136741190.15,,137.94,0.0,,0.0,,0.0,20.08
2014-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7441058.0,137107568.73,,140.22,0.0,,0.0,,0.0,20.03
2014-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7431620.0,135429651.58,,139.36,0.0,,0.0,,0.0,19.81
2014-09-26,21371.0,386307.54,0.04,0.23,0.03,0.42,0.0,386307.54,11371.0,21371.0,205545.04,,,,,,21371.0,,,,,,,,,0.42,11371.0,,0.23,,,,0.16,0.16,7261861.0,131267216.82,,134.64,0.17,46.53,0.5024,53.47,0.0029,19.65
2014-09-29,21371.0,376084.65,0.04,0.23,0.03,0.42,0.0,376084.65,11371.0,21371.0,200105.68,,,,,,,,,,,,,,,,,,0.22,,,,0.16,0.16,7259086.0,127744644.61,,133.21,0.17,46.85,0.502,53.15,0.0029,19.13
2014-09-30,21371.0,380409.72,0.04,0.23,0.03,0.42,0.0,380409.72,11371.0,21371.0,202406.95,,,,,,,,,,,,,,,,,,0.22,,,,0.16,0.16,7242849.0,128924718.31,,129.79,0.17,46.79,0.5021,53.21,0.0029,19.35
2014-10-01,21371.0,379033.56,0.04,0.22,0.03,0.42,0.0,379033.56,11371.0,21371.0,201674.73,,,,,,,,,,,,,,,,,,0.22,,,,0.16,0.16,7267843.0,128901614.65,,130.82,0.17,47.24,0.5015,52.76,0.0029,19.28
2014-10-02,21371.0,377854.0,0.04,0.21,0.03,0.42,0.0,377854.0,11371.0,21371.0,201047.11,,,,,,,,,,,,,,,,,,0.22,,,,0.15,0.15,7397098.0,130785785.94,,132.54,0.17,47.48,0.5013,52.52,0.0029,19.22
2014-10-03,11371.0,205858.85,0.02,0.11,0.02,0.22,0.0,205858.85,11371.0,11371.0,205858.85,,,,,,,,,,,,,,,,,10000.0,0.22,0.2,,,0.15,0.15,7406088.0,134078688.41,,133.62,0.16,,1.0,100.0,0.0015,19.68
2014-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.22,,11371.0,,,,,,,11371.0,0.0,0.22,,,0.0,0.0,7413586.0,130395321.24,,135.26,0.0,,0.0,,0.0,19.12
2014-10-07,10300.0,180026.57,0.02,0.1,0.01,0.2,0.0,0.0,10300.0,0.0,180026.57,,,,,,,,,,,,,,,,10300.0,,0.2,,,,0.14,0.14,7374902.0,128900809.69,,131.33,0.15,,1.0,100.0,0.0014,19.0
2014-10-08,20300.0,354809.66,0.04,0.2,0.03,0.38,0.0,174783.08,10300.0,10000.0,180026.57,,,,,,10000.0,,,,,,,,,0.19,,,0.19,,,,5.36,0.14,181741.0,3176525.2,,3.45,5.33,49.4,0.5001,50.6,0.0028,19.0
2014-10-09,30300.0,528199.07,0.06,0.29,0.04,0.59,0.0,528199.07,10300.0,30300.0,179552.82,,,,0.19,,10300.0,,,10000.0,,,,0.19,,0.21,,,0.2,,,,0.14,0.14,7333760.0,127844396.83,,130.26,0.15,35.85,0.54,64.15,0.0041,18.95
2014-10-10,30300.0,532937.53,0.06,0.29,0.04,0.59,0.0,532937.53,10300.0,30300.0,181163.58,,,,,,,,,,,,,,,,,,0.2,,,,0.14,0.14,7324105.0,128821467.0,,130.58,0.15,36.0,0.5392,64.0,0.0041,19.12
2014-10-13,30300.0,535167.4,0.06,0.29,0.04,0.58,0.0,353245.81,10300.0,20000.0,181921.59,,,,,,,,,,,,,,,,,10300.0,0.19,0.21,,,0.14,0.14,7340440.0,129648982.47,,131.04,0.15,33.85,0.5522,66.15,0.0041,19.2
2014-10-14,20000.0,359133.24,0.04,0.19,0.03,0.38,0.0,359133.24,0.0,20000.0,0.0,,,,,,,,0.19,,10300.0,,,,,,,,0.0,,,,0.0,0.0,7358470.0,132133557.45,,133.02,0.0,33.71,1.0,100.0,0.0027,19.52
2014-10-15,30000.0,522693.4,0.06,0.27,0.04,0.57,0.0,522693.4,0.0,30000.0,0.0,,,,0.19,,,,,10000.0,,,,0.19,,,,,0.0,,,,0.0,0.0,7362960.0,128285687.68,,133.62,0.0,,1.0,100.0,0.0041,18.94
2014-10-16,30000.0,506686.95,0.06,0.25,0.04,0.57,0.0,506686.95,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7343711.0,124032085.25,,130.33,0.0,,1.0,100.0,0.0041,18.36
2014-10-17,30000.0,524349.24,0.06,0.23,0.04,0.56,0.0,524349.24,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7423162.0,129744312.84,,128.61,0.0,,1.0,100.0,0.004,19.0
2014-10-20,20000.0,356189.52,0.04,0.15,0.03,0.38,0.0,356189.52,0.0,20000.0,0.0,,,,,,,,,,,,,,,,,10000.0,0.0,0.18,,,0.0,0.0,7759344.0,138189851.42,,139.18,0.0,,1.0,100.0,0.0026,19.36
2014-10-21,20000.0,351222.0,0.04,0.15,0.03,0.38,0.0,351222.0,0.0,20000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7774864.0,136535165.2,,141.59,0.0,,1.0,100.0,0.0026,19.09
2014-10-22,38105.0,683187.0,0.07,0.29,0.05,0.73,0.0,683187.0,15105.0,38105.0,270818.52,,,,0.06,,15105.0,,,3000.0,,,,0.06,,0.29,15105.0,,0.29,,,,100.0,0.19,0.0,0.0,,0.0,100.0,40.15,0.5194,59.85,0.0049,19.49
2014-10-23,38105.0,683537.54,0.07,0.31,0.05,0.73,0.0,683537.54,15105.0,38105.0,270957.47,,,,,,,,,,,,,,,,,,0.29,,,,100.0,0.2,0.0,0.0,,0.0,100.0,40.24,0.519,59.76,0.0049,19.5
2014-10-24,38105.0,685290.2,0.07,0.32,0.05,0.73,0.0,685290.2,15105.0,38105.0,271652.23,,,,,,,,,,,,,,,,,,0.29,,,,100.0,0.2,0.0,0.0,,0.0,100.0,40.25,0.519,59.75,0.0049,19.55
