,ALRIB FP Equity_DX_SI_QTY,ALRIB FP Equity_DX_SHORT_INTEREST_VALUE,ALRIB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALRIB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALRIB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALRIB FP Equity_DX_SI_MV,ALRIB FP Equity_DX_DSS,ALRIB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALRIB FP Equity_DX_SUPPLY_SI_QTY,ALRIB FP Equity_DX_BROKER_SI_QTY,ALRIB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALRIB FP Equity_DX_BROKER_SI_MV_NEW_x,ALRIB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALRIB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALRIB FP Equity_DX_BROKER_SI_MV_INC_x,ALRIB FP Equity_DX_SUPPLY_SI_MV_NEW,ALRIB FP Equity_DX_BROKER_SI_QTY_ADD,ALRIB FP Equity_DX_BROKER_SI_QTY_NEW,ALRIB FP Equity_DX_SUPPLY_SI_MV_DEC,ALRIB FP Equity_DX_BROKER_SI_QTY_INC,ALRIB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALRIB FP Equity_DX_BROKER_SI_MV_NEW_y,ALRIB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALRIB FP Equity_DX_BROKER_SI_MV_INC_y,ALRIB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALRIB FP Equity_DX_BROKER_SI_MV_ADD,ALRIB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALRIB FP Equity_DX_BROKER_SI_QTY_DEC,ALRIB FP Equity_DX_SUPPLY_SI_MV,ALRIB FP Equity_DX_BROKER_SI_MV_DEC,ALRIB FP Equity_DX_SUPPLY_SI_MV_RMV,ALRIB FP Equity_DX_BROKER_SI_MV_RMV,ALRIB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALRIB FP Equity_DX_UTILIZATION_QUANTITY,ALRIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALRIB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALRIB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALRIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALRIB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALRIB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALRIB FP Equity_DX_BROKER_SI_CON_RATIO,ALRIB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALRIB FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-22,550.0,1388.09,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,1388.09,,,,,,,,0.0,,2.0,,,,,,,,0.0,,,,0.78,0.78,69610.0,175681.78,,0.2,0.78,,0.0,,0.0078
2006-03-29,817.0,1990.84,0.01,0.0,0.0,0.0,0.0,0.0,817.0,0.0,1990.84,,,267.0,,,,,,,,,,,267.0,,,,0.0,,,,1.16,1.16,69697.0,169835.78,,0.2,1.16,,0.0,,0.0116
2006-04-05,29773.0,79805.05,0.22,0.12,0.16,0.09,0.0,77733.07,29773.0,29000.0,79805.05,,,,,,29000.0,,0.0,,44.0,,,,,0.09,29000.0,,0.09,,,,90.7,42.34,3052.0,8180.74,,0.0,102.67,,1.0,100.0,0.4234
2006-04-12,30120.0,73395.61,0.22,0.11,0.16,0.09,0.0,70666.42,30120.0,29000.0,73395.61,,,346.0,,,,,,,,,,,346.0,,,,0.09,,,,90.73,42.6,3076.0,7495.51,,0.0,103.86,,1.0,100.0,0.4261
2006-04-19,30023.0,71068.98,0.22,0.1,0.16,0.08,0.0,68647.38,30023.0,29000.0,71068.98,,,,,,,,0.0,,96.0,,,,,,,,0.09,,,,91.35,37.36,2844.0,6732.18,,0.0,103.4,,1.0,100.0,0.3736
2006-04-26,30050.0,77147.81,0.22,0.1,0.16,0.09,0.0,74452.12,30050.0,29000.0,77147.81,,,26.0,,,,,,,,,,,26.0,,,,0.09,,,,91.17,37.35,2909.0,7468.32,,0.0,103.62,,1.0,100.0,0.3735
2006-05-03,29996.0,69699.83,0.22,0.1,0.16,0.08,0.0,67385.48,29996.0,29000.0,69699.83,,,,,,,,0.0,,54.0,,,,,,,,0.08,,,,91.58,37.38,2757.0,6406.27,,0.0,103.43,,1.0,100.0,0.3738
2006-05-10,29000.0,65114.06,0.21,0.12,0.15,0.08,0.0,65114.06,29000.0,29000.0,65114.06,,,,,,,,0.0,,996.0,,,,,,,,0.08,,,,87.96,36.04,3969.0,8911.65,,0.0,100.0,,1.0,100.0,0.3604
2006-05-17,29000.0,63852.16,0.21,0.13,0.15,0.08,0.0,63852.16,29000.0,29000.0,63852.16,,,,,,,,,,,,,,,,,,0.08,,,,87.56,35.97,4120.0,9071.41,,0.0,100.0,,1.0,100.0,0.3597
2006-05-24,29000.0,52999.82,0.21,0.16,0.15,0.06,0.0,52999.82,29000.0,29000.0,52999.82,,,,,,,,,,,,,,,,,,0.07,,,,88.52,36.13,3762.0,6875.36,,0.0,100.0,,1.0,100.0,0.3613
2006-05-31,29000.0,56785.52,0.21,0.17,0.15,0.07,0.0,56785.52,29000.0,29000.0,56785.52,,,,,,,,,,,,,,,,,,0.07,,,,87.37,35.94,4193.0,8210.4,,0.0,100.0,,1.0,100.0,0.3594
2006-06-07,29000.0,55271.24,0.21,0.18,0.15,0.06,0.0,55271.24,29000.0,29000.0,55271.24,,,,,,,,,,,,,,,,,,0.06,,,,87.64,35.98,4091.0,7797.06,,0.0,100.0,,1.0,100.0,0.3598
2006-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.06,,29000.0,,,,,,,29000.0,0.0,0.06,,,0.0,0.0,80357.0,145460.18,,0.18,0.0,,0.0,,0.0
2006-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-06-28,398.0,758.55,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,758.55,,,,,,,,,,,,,,,,398.0,,0.0,,,,0.49,0.49,80066.0,152598.17,,0.18,0.49,,0.0,,0.0049
2006-07-03,394.0,771.5,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,771.5,,,,,,,,0.0,,4.0,,,,,,,,0.0,,,,0.47,0.47,82577.0,161695.79,,0.18,0.47,,0.0,,0.0047
2006-07-04,393.0,783.22,0.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,783.22,,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,0.47,0.47,82493.0,164402.97,,0.19,0.47,,0.0,,0.0047
2006-07-05,409.0,800.87,0.0,0.01,0.0,0.0,0.0,0.0,409.0,0.0,800.87,,,16.0,,,,,,,,,,,16.0,,,,0.0,,,,0.49,0.49,82706.0,161948.38,,0.19,0.49,,0.0,,0.0049
2006-07-06,398.0,762.01,0.0,0.01,0.0,0.0,0.0,0.0,398.0,0.0,762.01,,,,,,,,0.0,,12.0,,,,,,,,0.0,,,,0.48,0.48,82602.0,158150.41,,0.19,0.48,,0.0,,0.0048
2006-07-07,388.0,736.11,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,736.11,,,,,,,,0.0,,10.0,,,,,,,,0.0,,,,0.47,0.47,82435.0,156395.85,,0.19,0.47,,0.0,,0.0047
2006-07-10,398.0,762.01,0.0,0.01,0.0,0.0,0.0,0.0,398.0,0.0,762.01,,,11.0,,,,,,,,,,,11.0,,,,0.0,,,,0.48,0.48,82542.0,158035.53,,0.18,0.48,,0.0,,0.0048
2006-07-11,399.0,739.62,0.0,0.01,0.0,0.0,0.0,0.0,399.0,0.0,739.62,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.48,0.48,82601.0,153116.5,,0.18,0.48,,0.0,,0.0048
2006-07-12,402.0,745.18,0.0,0.01,0.0,0.0,0.0,0.0,402.0,0.0,745.18,,,4.0,,,,,,,,,,,4.0,,,,0.0,,,,0.48,0.48,82598.0,153110.94,,0.18,0.48,,0.0,,0.0048
2006-07-13,405.0,743.69,0.0,0.01,0.0,0.0,0.0,0.0,405.0,0.0,743.69,,,3.0,,,,,,,,,,,3.0,,,,0.0,,,,0.49,0.49,82657.0,151781.62,,0.17,0.49,,0.0,,0.0049
2006-07-14,424.0,737.99,0.0,0.01,0.0,0.0,0.0,0.0,424.0,0.0,737.99,,,19.0,,,,,,,,,,,19.0,,,,0.0,,,,0.51,0.51,82934.0,144350.96,,0.17,0.51,,0.0,,0.0051
2006-07-17,444.0,703.25,0.0,0.01,0.0,0.0,0.0,0.0,444.0,0.0,703.25,,,21.0,,,,,,,,,,,21.0,,,,0.0,,,,0.53,0.53,83199.0,131779.11,,0.15,0.53,,0.0,,0.0053
2006-07-18,405.0,634.43,0.0,0.01,0.0,0.0,0.0,0.0,405.0,0.0,634.43,,,,,,,,0.0,,39.0,,,,,,,,0.0,,,,0.49,0.49,82414.0,129101.29,,0.15,0.49,,0.0,,0.0049
2006-07-19,380.0,621.73,0.0,0.01,0.0,0.0,0.0,0.0,380.0,0.0,621.73,,,,,,,,0.0,,25.0,,,,,,,,0.0,,,,0.46,0.46,82343.0,134722.96,,0.15,0.46,,0.0,,0.0046
2006-07-20,395.0,653.14,0.0,0.01,0.0,0.0,0.0,0.0,395.0,0.0,653.14,,,15.0,,,,,,,,,,,15.0,,,,0.0,,,,0.48,0.48,82536.0,136475.31,,0.16,0.48,,0.0,,0.0048
2006-07-21,413.0,657.75,0.0,0.01,0.0,0.0,0.0,0.0,413.0,0.0,657.75,,,18.0,,,,,,,,,,,18.0,,,,0.0,,,,0.5,0.5,82835.0,131923.46,,0.15,0.5,,0.0,,0.005
2006-07-24,397.0,639.17,0.0,0.01,0.0,0.0,0.0,0.0,397.0,0.0,639.17,,,,,,,,0.0,,16.0,,,,,,,,0.0,,,,0.48,0.48,82533.0,132879.03,,0.15,0.48,,0.0,,0.0048
2006-07-25,402.0,762.68,0.0,0.01,0.0,0.0,0.0,0.0,402.0,0.0,762.68,,,5.0,,,,,,,,,,,5.0,,,,0.0,,,,0.48,0.48,82598.0,156705.09,,0.15,0.48,,0.0,,0.0048
2006-07-26,407.0,750.91,0.0,0.01,0.0,0.0,0.0,0.0,407.0,0.0,750.91,,,4.0,,,,,,,,,,,4.0,,,,0.0,,,,0.49,0.49,82777.0,152722.36,,0.18,0.49,,0.0,,0.0049
2006-07-27,403.0,740.02,0.0,0.01,0.0,0.0,0.0,0.0,403.0,0.0,740.02,,,,,,,,0.0,,3.0,,,,,,,,0.0,,,,0.49,0.49,82628.0,151728.37,,0.17,0.49,,0.0,,0.0049
2006-07-28,402.0,731.19,0.0,0.01,0.0,0.0,0.0,0.0,402.0,0.0,731.19,,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,0.48,0.48,82660.0,150348.39,,0.17,0.48,,0.0,,0.0048
2006-07-31,398.0,727.38,0.0,0.01,0.0,0.0,0.0,0.0,398.0,0.0,727.38,,,,,,,,0.0,,4.0,,,,,,,,0.0,,,,0.48,0.48,82571.0,150905.1,,0.17,0.48,,0.0,,0.0048
2006-08-01,398.0,727.38,0.0,0.01,0.0,0.0,0.0,0.0,398.0,0.0,727.38,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.48,0.48,82602.0,150961.76,,0.17,0.48,,0.0,,0.0048
2006-08-02,401.0,732.86,0.0,0.01,0.0,0.0,0.0,0.0,401.0,0.0,732.86,,,3.0,,,,,,,,,,,3.0,,,,0.0,,,,0.48,0.48,82599.0,150956.27,,0.17,0.48,,0.0,,0.0048
2006-08-03,403.0,729.5,0.0,0.01,0.0,0.0,0.0,0.0,403.0,0.0,729.5,,,2.0,,,,,,,,,,,2.0,,,,0.0,,,,0.48,0.48,82660.0,149629.02,,0.17,0.48,,0.0,,0.0049
2006-08-04,397.0,718.64,0.0,0.01,0.0,0.0,0.0,0.0,397.0,0.0,718.64,,,,,,,,0.0,,5.0,,,,,,,,0.0,,,,0.48,0.48,82353.0,149073.29,,0.17,0.48,,0.0,,0.0048
2006-08-07,403.0,725.99,0.0,0.01,0.0,0.0,0.0,0.0,403.0,0.0,725.99,,,6.0,,,,,,,,,,,6.0,,,,0.0,,,,0.49,0.49,82628.0,148852.0,,0.17,0.49,,0.0,,0.0049
2006-08-08,401.0,722.39,0.0,0.01,0.0,0.0,0.0,0.0,401.0,0.0,722.39,,,,,,,,0.0,,3.0,,,,,,,,0.0,,,,0.48,0.48,82599.0,148799.76,,0.17,0.48,,0.0,,0.0048
2006-08-09,396.0,716.83,0.0,0.01,0.0,0.0,0.0,0.0,396.0,0.0,716.83,,,,,,,,0.0,,4.0,,,,,,,,0.0,,,,0.48,0.48,82573.0,149471.53,,0.17,0.48,,0.0,,0.0048
2006-08-10,413.0,729.63,0.0,0.01,0.0,0.0,0.0,0.0,413.0,0.0,729.63,,,17.0,,,,,,,,,,,17.0,,,,0.0,,,,0.5,0.5,82747.0,146185.86,,0.17,0.5,,0.0,,0.005
2006-08-11,397.0,711.73,0.0,0.01,0.0,0.0,0.0,0.0,397.0,0.0,711.73,,,,,,,,0.0,,16.0,,,,,,,,0.0,,,,0.48,0.48,82508.0,147917.77,,0.17,0.48,,0.0,,0.0048
2006-08-14,394.0,716.64,0.0,0.01,0.0,0.0,0.0,0.0,394.0,0.0,716.64,,,,,,,,0.0,,3.0,,,,,,,,0.0,,,,0.48,0.48,82512.0,150079.19,,0.17,0.48,,0.0,,0.0048
2006-08-15,394.0,723.5,0.0,0.01,0.0,0.0,0.0,0.0,394.0,0.0,723.5,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.48,0.48,82236.0,151008.54,,0.17,0.48,,0.0,,0.0048
2006-08-16,369.0,732.18,0.0,0.01,0.0,0.0,0.0,0.0,369.0,0.0,732.18,,,,,,,,0.0,,25.0,,,,,,,,0.0,,,,0.45,0.45,81918.0,162544.12,,0.19,0.45,,0.0,,0.0045
2006-08-17,399.0,795.18,0.0,0.01,0.0,0.0,0.0,0.0,399.0,0.0,795.18,,,30.0,,,,,,,,,,,30.0,,,,0.0,,,,0.48,0.48,82573.0,164562.41,,0.19,0.48,,0.0,,0.0048
2006-08-18,408.0,798.91,0.0,0.01,0.0,0.0,0.0,0.0,408.0,0.0,798.91,,,9.0,,,,,,,,,,,9.0,,,,0.0,,,,0.49,0.49,82708.0,161952.3,,0.19,0.49,,0.0,,0.0049
2006-08-21,2659.0,5044.66,0.02,0.04,0.01,0.01,0.0,0.0,2659.0,0.0,5044.66,,,2252.0,,,,,,,,,,,2252.0,,,,0.01,,,,3.2,3.2,80549.0,152817.72,,0.18,3.2,,1.0,100.0,0.032
2006-08-22,2543.0,4890.98,0.02,0.04,0.01,0.01,0.0,4115.88,2543.0,2140.0,4890.98,,,,,,2140.0,,0.0,,117.0,,,,,0.0,,,0.01,,,,3.06,3.06,80457.0,154743.78,,0.18,3.03,,1.0,100.0,0.0306
2006-08-23,2541.0,4909.25,0.02,0.04,0.01,0.01,0.0,4134.51,2541.0,2140.0,4909.25,,,,,,,,0.0,,2.0,,,,,,,,0.01,,,,3.06,3.06,80459.0,155447.84,,0.18,3.05,,1.0,100.0,0.0306
2006-08-24,2541.0,5373.63,0.02,0.04,0.01,0.01,0.0,4525.61,2541.0,2140.0,5373.63,,,0.0,,,,,,,,,,,0.0,,,,0.01,,,,3.06,3.06,80459.0,170152.36,,0.19,2.82,,1.0,100.0,0.0306
2006-08-25,2540.0,5128.36,0.02,0.04,0.01,0.01,0.0,4320.75,2540.0,2140.0,5128.36,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,3.06,3.06,80460.0,162452.01,,0.19,3.19,,1.0,100.0,0.0306
2006-08-28,2539.0,5082.15,0.02,0.04,0.01,0.01,0.0,4283.5,2539.0,2140.0,5082.15,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,3.06,3.06,80461.0,161053.57,,0.19,3.08,,1.0,100.0,0.0306
2006-08-29,2539.0,5148.44,0.02,0.04,0.01,0.01,0.0,4339.37,5020.0,2140.0,10179.27,,,2481.0,,,,,,,,,,,2481.0,,,,0.01,,,,6.05,6.05,77980.0,158123.43,,0.18,5.98,,1.0,100.0,0.0306
2006-08-30,5000.0,9964.66,0.04,0.08,0.03,0.01,0.0,9167.49,5000.0,4600.0,9964.66,,,,0.01,,,,0.0,2460.0,20.0,,,0.01,,,,,0.01,,,,6.02,6.02,78000.0,155448.73,,0.18,6.12,,1.0,100.0,0.0602
2006-08-31,5001.0,9923.13,0.04,0.08,0.03,0.01,0.0,9127.46,5001.0,4600.0,9923.13,,,1.0,,,,,,,,,,,1.0,,,,0.01,,,,6.03,6.03,77999.0,154767.93,,0.18,6.05,,1.0,100.0,0.0603
2006-09-01,4999.0,9919.16,0.04,0.08,0.03,0.01,0.0,9127.46,4999.0,4600.0,9919.16,,,,,,,,0.0,,2.0,,,,,,,,0.01,,,,6.02,6.02,78001.0,154771.89,,0.18,6.02,,1.0,100.0,0.0602
2006-09-04,4998.0,9960.68,0.04,0.08,0.03,0.01,0.0,9167.49,5198.0,4600.0,10359.26,,,199.0,,,,,,,,,,,199.0,,,,0.01,,,,6.26,6.26,77802.0,155054.13,,0.18,6.24,,1.0,100.0,0.0602
2006-09-05,5502.0,11348.17,0.04,0.08,0.03,0.01,0.0,10519.03,5502.0,5100.0,11348.17,,,304.0,0.0,,,,,500.0,,,,0.0,304.0,,,,0.01,,,,6.63,6.63,77498.0,159843.85,,0.18,6.42,,1.0,100.0,0.0663
2006-09-06,5501.0,11202.49,0.04,0.1,0.03,0.01,0.0,10385.88,5501.0,5100.0,11202.49,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,6.63,6.63,77499.0,157822.54,,0.18,6.71,,1.0,100.0,0.0663
2006-09-07,5503.0,10823.43,0.04,0.11,0.03,0.01,0.0,10030.8,5503.0,5100.0,10823.43,,,2.0,,,,,,,,,,,2.0,,,,0.01,,,,6.63,6.63,77497.0,152422.97,,0.18,6.62,,1.0,100.0,0.0663
2006-09-08,5502.0,10677.82,0.04,0.1,0.03,0.01,0.0,9897.65,5502.0,5100.0,10677.82,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,6.63,6.63,77498.0,150401.59,,0.17,6.71,,1.0,100.0,0.0663
2006-09-11,5500.0,10626.07,0.04,0.1,0.03,0.01,0.0,9853.27,5500.0,5100.0,10626.07,,,,,,,,0.0,,3.0,,,,,,,,0.01,,,,6.63,6.63,77500.0,149731.01,,0.17,6.65,,1.0,100.0,0.0663
2006-09-12,5499.0,10576.28,0.04,0.1,0.03,0.01,0.0,9808.88,749.0,5100.0,1440.56,,,,,,,,0.01,,4751.0,,,,,,,,0.0,,,,0.9,0.9,82222.0,158138.42,,0.18,0.91,,1.0,100.0,0.0663
2006-09-13,75840.0,150483.97,0.56,1.42,0.4,0.17,0.0,149710.13,70732.0,75450.0,140348.53,,,,0.16,,,,0.0,70350.0,17.0,,,0.16,,,70000.0,,0.16,,,,85.38,85.38,12114.0,24036.96,,0.03,85.42,,1.0,100.0,0.9154
2006-09-14,70732.0,139117.4,0.52,1.3,0.37,0.18,0.0,138366.08,70717.0,70350.0,139087.9,,,,,,,,0.0,,15.0,,,,,,,5100.0,0.16,0.0,,,85.48,85.48,12010.0,23621.56,,0.03,85.19,,1.0,100.0,0.855
2006-09-15,70752.0,139156.74,0.52,1.27,0.37,0.16,0.0,138366.08,70753.0,70350.0,139158.71,,,36.0,,,,,,,,,,,36.0,,,,0.16,,,,85.23,85.23,12262.0,24117.2,,0.03,85.24,,1.0,100.0,0.8523
2006-09-18,70752.0,137309.53,0.52,1.24,0.37,0.16,0.0,136529.36,70755.0,70350.0,137315.35,,,2.0,,,,,,,,,,,2.0,,,,0.16,,,,85.19,85.19,12303.0,23876.63,,0.03,85.16,,1.0,100.0,0.8518
2006-09-19,70750.0,136074.2,0.52,1.21,0.37,0.16,0.0,135304.88,70750.0,70350.0,136074.2,,,,,,,,0.0,,5.0,,,,,,,,0.16,,,,85.24,85.24,12250.0,23560.55,,0.03,85.19,,1.0,100.0,0.8524
2006-09-20,70747.0,135452.74,0.52,1.17,0.37,0.16,0.0,134692.64,70744.0,70350.0,135447.0,,,,,,,,0.0,,6.0,,,,,,,,0.16,,,,85.28,85.28,12212.0,23381.19,,0.03,85.21,,1.0,100.0,0.8528
2006-09-21,70739.0,136053.05,0.52,1.15,0.37,0.16,0.0,135304.88,10732.0,70350.0,20640.97,,,,,,,,0.13,,60012.0,,,,,,,,0.02,,,,12.95,12.95,72138.0,138743.76,,0.16,12.95,,1.0,100.0,0.8536
2006-09-22,10744.0,20851.05,0.08,0.18,0.06,0.02,0.0,20086.41,10739.0,10350.0,20841.35,,,7.0,,,,,,,,,,,7.0,,,60000.0,0.02,0.14,,,12.95,12.95,72175.0,140071.16,,0.16,12.95,,1.0,100.0,0.1296
2006-09-25,10750.0,20769.14,0.08,0.17,0.06,0.02,0.0,19996.34,10749.0,10350.0,20767.21,,,10.0,,,,,,,,,,,10.0,,,,0.02,,,,12.95,12.95,72236.0,139560.9,,0.16,12.95,,1.0,100.0,0.1295
2006-09-26,10750.0,20675.59,0.08,0.17,0.06,0.02,0.0,19906.26,10748.0,10350.0,20671.74,,,,,,,,0.0,,1.0,,,,,,,,0.02,,,,12.95,12.95,72223.0,138907.24,,0.16,12.95,,1.0,100.0,0.1296
2006-09-27,10746.0,20574.37,0.08,0.17,0.06,0.02,0.0,19816.19,10744.0,10350.0,20570.54,,,,,,,,0.0,,4.0,,,,,,,,0.02,,,,12.95,12.95,72213.0,138259.55,,0.16,12.95,,1.0,100.0,0.1295
2006-09-28,10750.0,20020.7,0.08,0.19,0.06,0.02,0.0,19275.75,10751.0,10350.0,20022.57,,,7.0,,,,,,,,,,,7.0,,,,0.02,,,,12.95,12.95,72264.0,134583.82,,0.16,12.95,,1.0,100.0,0.1295
2006-09-29,10753.0,18809.74,0.08,0.19,0.06,0.02,0.0,18104.79,10754.0,10350.0,18811.49,,,3.0,,,,,,,,,,,3.0,,,,0.02,,,,12.95,12.95,72273.0,126423.91,,0.15,12.95,,1.0,100.0,0.1295
