,FORSE FP Equity_DX_SI_QTY,FORSE FP Equity_DX_SHORT_INTEREST_VALUE,FORSE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FORSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FORSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FORSE FP Equity_DX_SI_MV,FORSE FP Equity_DX_DSS,FORSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FORSE FP Equity_DX_SUPPLY_SI_QTY,FORSE FP Equity_DX_BROKER_SI_QTY,FORSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FORSE FP Equity_DX_BROKER_SI_MV_NEW_x,FORSE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,FORSE FP Equity_DX_SUPPLY_SI_QTY_INC_x,FORSE FP Equity_DX_BROKER_SI_MV_INC_x,FORSE FP Equity_DX_SUPPLY_SI_MV_NEW,FORSE FP Equity_DX_BROKER_SI_QTY_ADD,FORSE FP Equity_DX_BROKER_SI_QTY_NEW,FORSE FP Equity_DX_SUPPLY_SI_MV_DEC,FORSE FP Equity_DX_BROKER_SI_QTY_INC,FORSE FP Equity_DX_SUPPLY_SI_QTY_DEC,FORSE FP Equity_DX_BROKER_SI_MV_NEW_y,FORSE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,FORSE FP Equity_DX_BROKER_SI_MV_INC_y,FORSE FP Equity_DX_SUPPLY_SI_QTY_INC_y,FORSE FP Equity_DX_BROKER_SI_MV_ADD,FORSE FP Equity_DX_SUPPLY_SI_QTY_ADD,FORSE FP Equity_DX_BROKER_SI_QTY_DEC,FORSE FP Equity_DX_SUPPLY_SI_MV,FORSE FP Equity_DX_BROKER_SI_MV_DEC,FORSE FP Equity_DX_SUPPLY_SI_MV_RMV,FORSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FORSE FP Equity_DX_UTILIZATION_QUANTITY,FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FORSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FORSE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FORSE FP Equity_DX_ACTIVE_UTILIZATION_MV,FORSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FORSE FP Equity_DX_BROKER_SI_CON_RATIO,FORSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FORSE FP Equity_DX_DEMAND_SUPPLY_RATIO,FORSE FP Equity_PX_LAST
2021-12-01,35724.0,240422.52,0.08,0.53,0.07,0.25,0.0,240422.52,2862.0,35724.0,19261.26,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.24,0.7176,83.95,0.0861,6.73
2021-12-02,35724.0,237921.84,0.08,0.52,0.07,0.24,0.0,237921.84,2862.0,35724.0,19060.92,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.39,0.7126,83.62,0.0861,6.66
2021-12-03,35724.0,226847.4,0.08,0.52,0.07,0.24,0.0,226847.4,2862.0,35724.0,18173.7,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.34,0.7132,83.66,0.0861,6.35
2021-12-06,35724.0,219702.6,0.08,0.5,0.07,0.23,0.0,219702.6,2862.0,35724.0,17601.3,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.4,0.7131,83.65,0.0861,6.15
2021-12-07,35724.0,218988.12,0.08,0.5,0.07,0.22,0.0,218988.12,2862.0,35724.0,17544.06,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.37,0.7132,83.66,0.0861,6.13
2021-12-08,35724.0,219702.6,0.08,0.49,0.07,0.22,0.0,219702.6,2862.0,35724.0,17601.3,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.33,0.7144,83.74,0.0861,6.15
2021-12-09,35724.0,221488.8,0.08,0.49,0.07,0.22,0.0,221488.8,2862.0,35724.0,17744.4,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.41,0.712,83.58,0.0861,6.2
2021-12-10,35724.0,221488.8,0.08,0.49,0.07,0.22,0.0,221488.8,2862.0,35724.0,17744.4,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.47,0.7107,83.49,0.0861,6.2
2021-12-13,34230.0,239267.7,0.08,0.47,0.06,0.21,0.0,239267.7,2862.0,34230.0,20005.38,,,,,,,,,,,,,,,,,1494.0,0.02,0.01,,100.0,0.69,0.0,0.0,,0.0,100.0,8.8,0.7694,87.18,0.0825,6.99
2021-12-14,34230.0,221810.4,0.08,0.46,0.06,0.24,0.0,221810.4,2862.0,34230.0,18545.76,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.76,0.7708,87.27,0.0825,6.48
2021-12-15,34230.0,228314.1,0.08,0.46,0.06,0.22,0.0,228314.1,2862.0,34230.0,19089.54,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.77,0.7704,87.24,0.0825,6.67
2021-12-16,34230.0,214964.4,0.08,0.67,0.06,0.23,0.0,214964.4,2862.0,34230.0,17973.36,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.79,0.7704,87.24,0.0825,6.28
2021-12-17,34230.0,212226.0,0.08,0.77,0.06,0.22,0.0,212226.0,2862.0,34230.0,17744.4,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.7,0.7717,87.32,0.0825,6.2
2021-12-20,34230.0,203668.5,0.08,0.91,0.06,0.21,0.0,203668.5,2862.0,34230.0,17028.9,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.72,0.7712,87.3,0.0825,5.95
2021-12-21,34230.0,201614.7,0.08,1.09,0.06,0.2,0.0,201614.7,2862.0,34230.0,16857.18,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.78,0.7703,87.24,0.0825,5.89
2021-12-22,34230.0,203326.2,0.08,1.2,0.06,0.2,0.0,203326.2,2862.0,34230.0,17000.28,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.79,0.7703,87.23,0.0825,5.94
2021-12-23,34230.0,192030.3,0.08,1.26,0.06,0.2,0.0,192030.3,2862.0,34230.0,16055.82,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.77,0.7706,87.25,0.0825,5.61
2021-12-24,34230.0,199218.6,0.08,1.25,0.06,0.19,0.0,199218.6,2862.0,34230.0,16656.84,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.72,0.7714,87.31,0.0825,5.82
2021-12-27,34230.0,193399.5,0.08,1.29,0.06,0.2,0.0,193399.5,2862.0,34230.0,16170.3,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.69,0.0,0.0,,0.0,100.0,8.76,0.7709,87.27,0.0825,5.65
2021-12-28,32736.0,189868.8,0.08,1.25,0.06,0.19,0.0,189868.8,2862.0,32736.0,16599.6,,,,,,,,,,,,,,,,,1494.0,0.02,0.01,,100.0,0.69,0.0,0.0,,0.0,100.0,4.38,0.84,91.45,0.0789,5.8
2021-12-29,32736.0,180375.36,0.08,1.29,0.06,0.19,0.0,180375.36,1368.0,32736.0,7537.68,,,,,,,,0.01,,1494.0,,,,,,,,0.01,,,100.0,0.33,0.0,0.0,,0.0,100.0,4.4,0.8397,91.44,0.0789,5.51
2021-12-30,32736.0,185940.48,0.08,1.26,0.06,0.18,0.0,185940.48,1368.0,32736.0,7770.24,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.33,0.0,0.0,,0.0,100.0,4.38,0.84,91.45,0.0789,5.68
2021-12-31,32736.0,185285.76,0.08,1.34,0.06,0.19,0.0,185285.76,1368.0,32736.0,7742.88,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.33,0.0,0.0,,0.0,100.0,4.38,0.8399,91.44,0.0789,5.66
2022-01-03,32736.0,195433.92,0.08,1.35,0.06,0.19,0.0,195433.92,1368.0,32736.0,8166.96,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.33,0.0,0.0,,0.0,100.0,4.36,0.8404,91.48,0.0789,5.97
2022-01-04,2736.0,16005.6,0.01,0.11,0.01,0.02,0.0,16005.6,1368.0,2736.0,8002.8,,,,,,,,,,,,,,,,,30000.0,0.01,0.17,,100.0,0.33,0.0,0.0,,0.0,100.0,48.67,0.5004,51.33,0.0066,5.85
2022-01-05,2736.0,16169.76,0.01,0.11,0.01,0.02,0.0,16169.76,1368.0,2736.0,8084.88,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.33,0.0,0.0,,0.0,100.0,48.8,0.5003,51.2,0.0066,5.91
2022-01-06,5336.0,31482.4,0.01,0.21,0.01,0.03,0.0,31482.4,3968.0,5336.0,23411.2,,,,,,2600.0,,,,,,,,,0.02,2600.0,,0.02,,,100.0,0.94,0.0,0.0,,0.0,100.0,26.54,0.366,48.07,0.0127,5.9
2022-01-07,5336.0,30842.08,0.01,0.21,0.01,0.03,0.0,30842.08,3968.0,5336.0,22935.04,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.94,0.0,0.0,,0.0,100.0,26.59,0.3666,48.2,0.0127,5.78
2022-01-10,5336.0,30468.56,0.01,0.22,0.01,0.03,0.0,30468.56,3968.0,5336.0,22657.28,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.94,0.0,0.0,,0.0,100.0,26.6,0.366,48.07,0.0127,5.71
2022-01-11,5336.0,30682.0,0.01,0.22,0.01,0.03,0.0,30682.0,3968.0,5336.0,22816.0,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.94,0.0,0.0,,0.0,100.0,26.63,0.3664,48.16,0.0127,5.75
2022-01-12,5336.0,31215.6,0.01,0.23,0.01,0.03,0.0,31215.6,3968.0,5336.0,23212.8,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.94,0.0,0.0,,0.0,100.0,26.62,0.3667,48.23,0.0127,5.85
2022-01-13,5336.0,30948.8,0.01,0.23,0.01,0.03,0.0,30948.8,3968.0,5336.0,23014.4,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.94,0.0,0.0,,0.0,100.0,26.58,0.3664,48.15,0.0127,5.8
2022-01-14,18967.0,109629.26,0.04,0.83,0.04,0.11,0.0,109629.26,17599.0,18967.0,101722.22,,,13631.0,0.08,,,,,13631.0,,,,0.08,13631.0,,,,0.1,,,100.0,4.19,0.0,0.0,,0.0,100.0,7.51,0.7387,85.32,0.0451,5.78
2022-01-17,18967.0,110198.27,0.04,0.89,0.04,0.11,0.0,110198.27,17599.0,18967.0,102250.19,,,,,,,,,,,,,,,,,,0.1,,,100.0,4.19,0.0,0.0,,0.0,100.0,7.5,0.7388,85.32,0.0451,5.81
2022-01-18,17967.0,105106.95,0.04,0.86,0.03,0.11,0.0,105106.95,16599.0,17967.0,97104.15,,,,,,,,0.01,,1000.0,,,,,,,1000.0,0.1,0.0,,100.0,3.97,0.0,0.0,,0.0,100.0,7.87,0.7275,84.6,0.043,5.85
2022-01-19,14999.0,86244.25,0.04,0.73,0.03,0.09,0.0,78378.25,14999.0,13631.0,86244.25,,,,,,,,0.01,,1600.0,,,,,,,4336.0,0.09,0.03,,100.0,3.61,0.0,0.0,,0.0,100.0,9.11,0.8343,90.89,0.0361,5.75
2022-01-20,15231.0,87578.25,0.04,0.73,0.03,0.09,0.0,87578.25,15231.0,15231.0,87578.25,,,,0.01,,,,0.01,1600.0,1368.0,,,0.01,,,1600.0,,0.09,,,100.0,3.64,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0364,5.75
2022-01-21,15231.0,87578.25,0.04,0.73,0.03,0.09,0.0,87578.25,15231.0,15231.0,87578.25,,,,,,,,,,,,,,,,,,0.09,,,100.0,3.64,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0364,5.75
2022-01-24,15231.0,84684.36,0.04,0.72,0.03,0.09,0.0,84684.36,15231.0,15231.0,84684.36,,,,,,,,,,,,,,,,,,0.09,,,100.0,3.64,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0364,5.56
2022-01-25,15231.0,83465.88,0.04,0.72,0.03,0.08,0.0,83465.88,15231.0,15231.0,83465.88,,,,,,,,,,,,,,,,,,0.08,,,100.0,3.64,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0364,5.48
2022-01-26,15231.0,78896.58,0.04,0.72,0.03,0.08,0.0,78896.58,15231.0,15231.0,78896.58,,,,,,,,,,,,,,,,,,0.08,,,100.0,3.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0366,5.18
2022-01-27,15231.0,73108.8,0.04,0.72,0.03,0.08,0.0,73108.8,15231.0,15231.0,73108.8,,,,,,,,,,,,,,,,,,0.08,,,100.0,3.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0366,4.8
2022-01-28,85231.0,398028.77,0.2,3.95,0.16,0.41,0.0,398028.77,15231.0,85231.0,71128.77,,,,0.33,,,,,70000.0,,,,0.33,,,,,0.07,,,100.0,3.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2046,4.67
2022-01-31,45931.0,216335.01,0.11,2.0,0.09,0.22,0.0,216335.01,15231.0,45931.0,71738.01,,,,,,,,,,,,,,,,,39300.0,0.07,0.19,,100.0,3.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1103,4.71
2022-02-01,50931.0,244468.8,0.12,2.22,0.1,0.24,0.0,244468.8,15231.0,50931.0,73108.8,,,,0.02,,,,,5000.0,,,,0.02,,,,,0.07,,,100.0,3.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1223,4.8
2022-02-02,52299.0,257834.07,1.97,2.28,0.1,0.25,0.0,257834.07,16599.0,52299.0,81833.07,,,1368.0,,,1368.0,,,,,,,,1368.0,0.01,,,0.08,,,100.0,3.98,0.0,0.0,,0.0,100.0,2.7,0.9475,97.3,0.1255,4.93
2022-02-03,52299.0,262017.99,4.45,2.24,0.1,0.26,0.0,262017.99,16599.0,52299.0,83160.99,,,,,,,,,,,,,,,,,,0.08,,,100.0,3.98,0.0,0.0,,0.0,100.0,2.72,0.9472,97.28,0.1255,5.01
2022-02-04,53667.0,268335.0,4.56,2.31,0.1,0.27,0.0,268335.0,16599.0,53667.0,82995.0,,,,0.01,,,,,1368.0,,,,0.01,,,,,0.08,,,100.0,3.98,0.0,0.0,,0.0,100.0,2.66,0.9483,97.34,0.1288,5.0
2022-02-07,63667.0,322155.02,5.41,2.62,0.12,0.32,0.0,322155.02,16599.0,63667.0,83990.94,,,,0.05,,,,,10000.0,,,,0.05,,,,,0.08,,,100.0,3.98,0.0,0.0,,0.0,100.0,2.25,0.9559,97.75,0.1528,5.06
2022-02-08,64667.0,323981.67,5.5,2.77,0.12,0.33,0.0,323981.67,16599.0,64667.0,83160.99,,,,0.01,,,,,1000.0,,,,0.01,,,,,0.09,,,100.0,3.98,0.0,0.0,,0.0,100.0,2.23,0.9565,97.77,0.1552,5.01
2022-02-09,64667.0,318161.64,5.5,2.87,0.12,0.32,0.0,318161.64,16599.0,64667.0,81667.08,,,,,,,,,,,,,,,,,,0.08,,,100.0,3.98,0.0,0.0,,0.0,100.0,2.21,0.9567,97.79,0.1552,4.92
2022-02-10,77667.0,388335.0,6.6,3.59,0.15,0.38,0.0,388335.0,16599.0,77667.0,82995.0,,,,0.06,,,,,13000.0,,,,0.06,,,,,0.08,,,100.0,3.98,0.0,0.0,,0.0,100.0,1.85,0.9637,98.15,0.1864,5.0
2022-02-11,77667.0,385228.32,6.6,3.58,0.15,0.39,0.0,385228.32,16599.0,77667.0,82331.04,,,,,,,,,,,,,,,,,,0.08,,,100.0,3.98,0.0,0.0,,0.0,100.0,1.86,0.9635,98.14,0.1864,4.96
2022-02-14,77767.0,384946.65,6.61,3.51,0.15,0.39,0.0,384451.65,16699.0,77667.0,82660.05,,,100.0,,,,,,,,,,,100.0,,,,0.08,,,100.0,4.01,0.0,0.0,,0.0,100.0,1.85,0.9612,98.03,0.1866,4.95
2022-02-15,77767.0,382613.64,6.61,3.56,0.15,0.39,0.0,382121.64,16699.0,77667.0,82159.08,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.01,0.0,0.0,,0.0,100.0,1.84,0.9614,98.04,0.1866,4.92
2022-02-16,77767.0,381835.97,6.61,3.75,0.15,0.39,0.0,381344.97,16699.0,77667.0,81992.09,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.12,0.0,0.0,,0.0,100.0,1.83,0.9615,98.04,0.1917,4.91
2022-02-17,77767.0,381058.3,6.61,3.73,0.15,0.38,0.0,380568.3,16699.0,77667.0,81825.1,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.14,0.0,0.0,,0.0,100.0,1.85,0.9611,98.02,0.1929,4.9
2022-02-18,77767.0,367060.24,6.61,3.63,0.15,0.38,0.0,366588.24,16699.0,77667.0,78819.28,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.19,0.0,0.0,,0.0,100.0,1.85,0.9612,98.03,0.1952,4.72
2022-02-21,77767.0,353062.18,6.61,3.55,0.15,0.37,0.0,352608.18,16699.0,77667.0,75813.46,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.19,0.0,0.0,,0.0,100.0,1.85,0.9612,98.02,0.1952,4.54
2022-02-22,77767.0,357728.2,6.61,3.55,0.15,0.35,0.0,357268.2,16699.0,77667.0,76815.4,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.19,0.0,0.0,,0.0,100.0,1.84,0.9613,98.03,0.1952,4.6
2022-02-23,77767.0,358117.04,6.61,3.48,0.15,0.36,0.0,357656.54,16699.0,77667.0,76898.9,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.19,0.0,0.0,,0.0,100.0,1.84,0.9614,98.03,0.1952,4.605
2022-02-24,77767.0,334398.1,6.61,3.47,0.15,0.36,0.0,333968.1,16699.0,77667.0,71805.7,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.19,0.0,0.0,,0.0,100.0,1.84,0.9614,98.03,0.1952,4.3
2022-02-25,77867.0,338721.45,6.62,3.32,0.15,0.34,0.0,338286.45,16699.0,77767.0,72640.65,,,,,,100.0,,,,,,,,,0.0,,,0.07,,,100.0,4.19,0.0,0.0,,0.0,100.0,1.83,0.9588,97.9,0.1955,4.35
2022-02-28,78767.0,349725.48,6.7,3.33,0.15,0.34,0.0,347061.48,17199.0,78167.0,76363.56,,,500.0,0.0,,,,,400.0,,,,0.0,500.0,,,,0.08,,,100.0,4.31,0.0,0.0,,0.0,100.0,1.83,0.9368,96.76,0.1975,4.44
2022-03-01,78767.0,350513.15,6.7,3.34,0.15,0.35,0.0,347843.15,17199.0,78167.0,76535.55,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.31,0.0,0.0,,0.0,100.0,1.83,0.9371,96.78,0.1975,4.45
2022-03-02,78767.0,358389.85,6.7,3.35,0.15,0.35,0.0,355659.85,17199.0,78167.0,78255.45,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.31,0.0,0.0,,0.0,100.0,1.83,0.9367,96.76,0.1975,4.55
2022-03-03,78767.0,347362.47,6.7,3.39,0.15,0.36,0.0,344716.47,17199.0,78167.0,75847.59,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.31,0.0,0.0,,0.0,100.0,1.83,0.9374,96.8,0.1975,4.41
2022-03-04,78767.0,332396.74,6.7,3.21,0.15,0.35,0.0,329864.74,17199.0,78167.0,72579.78,,,,,,,,,,,,,,,,,,0.08,,,100.0,4.7,0.0,0.0,,0.0,100.0,1.83,0.9371,96.78,0.2151,4.22
2022-03-07,33844.0,135376.0,2.88,1.34,0.06,0.14,0.0,132976.0,3568.0,33244.0,14272.0,,,,0.0,,,,0.06,408.0,13631.0,,,0.0,,,,45331.0,0.02,0.21,,100.0,0.97,0.0,0.0,,0.0,100.0,4.23,0.8399,91.46,0.0924,4.0
