,ALSRS FP Equity_DX_SI_QTY,ALSRS FP Equity_DX_SHORT_INTEREST_VALUE,ALSRS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSRS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSRS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSRS FP Equity_DX_SI_MV,ALSRS FP Equity_DX_DSS,ALSRS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSRS FP Equity_DX_SUPPLY_SI_QTY,ALSRS FP Equity_DX_BROKER_SI_QTY,ALSRS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSRS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSRS FP Equity_DX_BROKER_SI_MV_INC_x,ALSRS FP Equity_DX_BROKER_SI_QTY_ADD,ALSRS FP Equity_DX_SUPPLY_SI_MV_DEC,ALSRS FP Equity_DX_BROKER_SI_QTY_INC,ALSRS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSRS FP Equity_DX_BROKER_SI_MV_INC_y,ALSRS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSRS FP Equity_DX_BROKER_SI_MV_ADD,ALSRS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSRS FP Equity_DX_BROKER_SI_QTY_DEC,ALSRS FP Equity_DX_SUPPLY_SI_MV,ALSRS FP Equity_DX_BROKER_SI_MV_DEC,ALSRS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSRS FP Equity_DX_UTILIZATION_QUANTITY,ALSRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSRS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSRS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSRS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSRS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSRS FP Equity_DX_BROKER_SI_CON_RATIO,ALSRS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSRS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALSRS FP Equity_PX_LAST
2011-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
2011-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
2011-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
2011-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.06
2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2011-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2011-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2011-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2011-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2011-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
2011-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2012-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57
2012-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83
2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2012-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2012-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2012-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2012-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2012-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2012-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2012-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2012-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2012-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2012-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2012-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49
2012-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2012-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2012-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2012-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2012-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36
2012-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2012-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2012-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2012-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2012-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2012-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21
2012-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2012-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2012-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
2012-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2012-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2012-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2012-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2012-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2012-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2012-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2012-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2012-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2012-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2012-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2012-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2012-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2012-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2012-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2012-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2012-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2012-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2012-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
2012-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
2012-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2012-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
2012-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
2012-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
2012-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42
2012-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46
2012-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46
2012-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39
2012-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
2012-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
2012-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
2012-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47
2012-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
2012-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2012-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
2012-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
2012-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
2012-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
2012-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2012-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2012-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2012-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2012-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2012-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2012-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2012-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2012-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2012-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2012-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
2012-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2012-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2012-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2012-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88
2012-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87
2012-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86
2012-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2012-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
2012-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32
2012-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2012-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2012-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27
2012-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2012-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
2012-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05
2012-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2012-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2012-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
2012-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
2012-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
2012-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
2012-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
2012-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2012-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
2012-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47
2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
2012-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
2012-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
2012-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
2012-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2012-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2012-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2012-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2012-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45
2012-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44
2012-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44
2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2012-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2012-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2012-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2012-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2012-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2012-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2012-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2012-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2012-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2012-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2012-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2012-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2012-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2012-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
