,MLUMG FP Equity_DX_SI_QTY,MLUMG FP Equity_DX_SHORT_INTEREST_VALUE,MLUMG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLUMG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLUMG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLUMG FP Equity_DX_SI_MV,MLUMG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLUMG FP Equity_DX_SUPPLY_SI_QTY,MLUMG FP Equity_DX_BROKER_SI_QTY,MLUMG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLUMG FP Equity_DX_SUPPLY_SI_MV,MLUMG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLUMG FP Equity_DX_UTILIZATION_QUANTITY,MLUMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLUMG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLUMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLUMG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLUMG FP Equity_DX_BROKER_SI_CON_RATIO,MLUMG FP Equity_DX_DEMAND_SUPPLY_RATIO,MLUMG FP Equity_PX_LAST
2016-10-12,,,,,,,,,,,,,,,,,,,,7.49
2016-10-13,,,,,,,,,,,,,,,,,,,,7.49
2016-10-14,,,,,,,,,,,,,,,,,,,,7.49
2016-10-17,,,,,,,,,,,,,,,,,,,,7.49
2016-10-18,,,,,,,,,,,,,,,,,,,,7.49
2016-10-19,,,,,,,,,,,,,,,,,,,,7.49
2016-10-20,,,,,,,,,,,,,,,,,,,,7.49
2016-10-21,,,,,,,,,,,,,,,,,,,,7.49
2016-10-24,,,,,,,,,,,,,,,,,,,,7.49
2016-10-25,,,,,,,,,,,,,,,,,,,,7.49
2016-10-26,,,,,,,,,,,,,,,,,,,,7.5
2016-10-27,,,,,,,,,,,,,,,,,,,,7.49
2016-10-28,,,,,,,,,,,,,,,,,,,,7.49
2016-10-31,,,,,,,,,,,,,,,,,,,,7.49
2016-11-01,,,,,,,,,,,,,,,,,,,,7.49
2016-11-02,,,,,,,,,,,,,,,,,,,,7.49
2016-11-03,,,,,,,,,,,,,,,,,,,,7.49
2016-11-04,,,,,,,,,,,,,,,,,,,,7.49
2016-11-07,,,,,,,,,,,,,,,,,,,,7.49
2016-11-08,,,,,,,,,,,,,,,,,,,,7.49
2016-11-09,,,,,,,,,,,,,,,,,,,,7.49
2016-11-10,,,,,,,,,,,,,,,,,,,,7.49
2016-11-11,,,,,,,,,,,,,,,,,,,,7.45
2016-11-14,,,,,,,,,,,,,,,,,,,,7.45
2016-11-15,,,,,,,,,,,,,,,,,,,,7.45
2016-11-16,,,,,,,,,,,,,,,,,,,,7.45
2016-11-17,,,,,,,,,,,,,,,,,,,,7.45
2016-11-18,,,,,,,,,,,,,,,,,,,,7.45
2016-11-21,,,,,,,,,,,,,,,,,,,,7.45
2016-11-22,,,,,,,,,,,,,,,,,,,,7.45
2016-11-23,,,,,,,,,,,,,,,,,,,,7.45
2016-11-24,,,,,,,,,,,,,,,,,,,,7.45
2016-11-25,,,,,,,,,,,,,,,,,,,,7.45
2016-11-28,,,,,,,,,,,,,,,,,,,,7.45
2016-11-29,,,,,,,,,,,,,,,,,,,,7.45
2016-11-30,,,,,,,,,,,,,,,,,,,,7.45
2016-12-01,,,,,,,,,,,,,,,,,,,,7.45
2016-12-02,,,,,,,,,,,,,,,,,,,,7.45
2016-12-05,,,,,,,,,,,,,,,,,,,,7.45
2016-12-06,,,,,,,,,,,,,,,,,,,,7.44
2016-12-07,,,,,,,,,,,,,,,,,,,,7.43
2016-12-08,,,,,,,,,,,,,,,,,,,,7.43
2016-12-09,,,,,,,,,,,,,,,,,,,,7.15
2016-12-12,,,,,,,,,,,,,,,,,,,,7.16
2016-12-13,,,,,,,,,,,,,,,,,,,,7.14
2016-12-14,,,,,,,,,,,,,,,,,,,,7.14
2016-12-15,,,,,,,,,,,,,,,,,,,,7.13
2016-12-16,,,,,,,,,,,,,,,,,,,,7.13
2016-12-19,,,,,,,,,,,,,,,,,,,,6.98
2016-12-20,,,,,,,,,,,,,,,,,,,,6.98
2016-12-21,,,,,,,,,,,,,,,,,,,,6.98
2016-12-22,,,,,,,,,,,,,,,,,,,,6.98
2016-12-23,,,,,,,,,,,,,,,,,,,,6.98
2016-12-27,,,,,,,,,,,,,,,,,,,,6.98
2016-12-28,,,,,,,,,,,,,,,,,,,,6.98
2016-12-29,,,,,,,,,,,,,,,,,,,,6.98
2016-12-30,,,,,,,,,,,,,,,,,,,,6.85
2017-01-02,,,,,,,,,,,,,,,,,,,,6.85
2017-01-03,,,,,,,,,,,,,,,,,,,,6.84
2017-01-04,,,,,,,,,,,,,,,,,,,,6.84
2017-01-05,,,,,,,,,,,,,,,,,,,,6.84
2017-01-06,,,,,,,,,,,,,,,,,,,,6.84
2017-01-09,,,,,,,,,,,,,,,,,,,,6.84
2017-01-10,,,,,,,,,,,,,,,,,,,,6.84
2017-01-11,,,,,,,,,,,,,,,,,,,,6.84
2017-01-12,,,,,,,,,,,,,,,,,,,,6.84
2017-01-13,,,,,,,,,,,,,,,,,,,,6.84
2017-01-16,,,,,,,,,,,,,,,,,,,,6.57
2017-01-17,,,,,,,,,,,,,,,,,,,,6.57
2017-01-18,,,,,,,,,,,,,,,,,,,,6.57
2017-01-19,,,,,,,,,,,,,,,,,,,,6.65
2017-01-20,,,,,,,,,,,,,,,,,,,,6.65
2017-01-23,,,,,,,,,,,,,,,,,,,,6.65
2017-01-24,,,,,,,,,,,,,,,,,,,,6.65
2017-01-25,,,,,,,,,,,,,,,,,,,,6.65
2017-01-26,,,,,,,,,,,,,,,,,,,,6.65
2017-01-27,,,,,,,,,,,,,,,,,,,,6.65
2017-01-30,,,,,,,,,,,,,,,,,,,,6.65
2017-01-31,,,,,,,,,,,,,,,,,,,,6.65
2017-02-01,,,,,,,,,,,,,,,,,,,,6.65
2017-02-02,,,,,,,,,,,,,,,,,,,,6.65
2017-02-03,,,,,,,,,,,,,,,,,,,,6.65
2017-02-06,,,,,,,,,,,,,,,,,,,,6.59
2017-02-07,,,,,,,,,,,,,,,,,,,,6.59
2017-02-08,,,,,,,,,,,,,,,,,,,,6.59
2017-02-09,,,,,,,,,,,,,,,,,,,,6.59
2017-02-10,,,,,,,,,,,,,,,,,,,,6.59
2017-02-13,,,,,,,,,,,,,,,,,,,,6.59
2017-02-14,,,,,,,,,,,,,,,,,,,,6.49
2017-02-15,,,,,,,,,,,,,,,,,,,,6.49
2017-02-16,,,,,,,,,,,,,,,,,,,,6.5
2017-02-17,,,,,,,,,,,,,,,,,,,,6.43
2017-02-20,,,,,,,,,,,,,,,,,,,,6.7
2017-02-21,,,,,,,,,,,,,,,,,,,,6.75
2017-02-22,,,,,,,,,,,,,,,,,,,,6.75
2017-02-23,,,,,,,,,,,,,,,,,,,,6.75
2017-02-24,,,,,,,,,,,,,,,,,,,,6.8
2017-02-27,,,,,,,,,,,,,,,,,,,,6.8
2017-02-28,,,,,,,,,,,,,,,,,,,,6.8
2017-03-01,,,,,,,,,,,,,,,,,,,,7.48
2017-03-02,,,,,,,,,,,,,,,,,,,,7.48
2017-03-03,,,,,,,,,,,,,,,,,,,,7.5
2017-03-06,,,,,,,,,,,,,,,,,,,,7.5
2017-03-07,,,,,,,,,,,,,,,,,,,,7.5
2017-03-08,,,,,,,,,,,,,,,,,,,,7.5
2017-03-09,,,,,,,,,,,,,,,,,,,,7.5
2017-03-10,,,,,,,,,,,,,,,,,,,,7.5
2017-03-13,,,,,,,,,,,,,,,,,,,,7.5
2017-03-14,,,,,,,,,,,,,,,,,,,,7.5
2017-03-15,,,,,,,,,,,,,,,,,,,,7.5
2017-03-16,,,,,,,,,,,,,,,,,,,,7.5
2017-03-17,,,,,,,,,,,,,,,,,,,,7.5
2017-03-20,,,,,,,,,,,,,,,,,,,,7.5
2017-03-22,,,,,,,,,,,,,,,,,,,,6.5
2017-03-23,,,,,,,,,,,,,,,,,,,,6.5
2017-03-24,,,,,,,,,,,,,,,,,,,,6.6
2017-03-27,,,,,,,,,,,,,,,,,,,,6.7
2017-03-28,,,,,,,,,,,,,,,,,,,,6.7
2017-03-29,,,,,,,,,,,,,,,,,,,,6.8
2017-03-30,,,,,,,,,,,,,,,,,,,,6.8
2017-03-31,,,,,,,,,,,,,,,,,,,,6.85
2017-04-03,,,,,,,,,,,,,,,,,,,,6.85
2017-04-04,,,,,,,,,,,,,,,,,,,,6.85
2017-04-05,,,,,,,,,,,,,,,,,,,,6.85
2017-04-06,,,,,,,,,,,,,,,,,,,,6.86
2017-04-07,,,,,,,,,,,,,,,,,,,,7.0
2017-04-10,,,,,,,,,,,,,,,,,,,,7.0
2017-04-11,,,,,,,,,,,,,,,,,,,,7.1
2017-04-12,,,,,,,,,,,,,,,,,,,,7.1
2017-04-13,,,,,,,,,,,,,,,,,,,,7.1
2017-04-18,,,,,,,,,,,,,,,,,,,,7.1
2017-04-19,,,,,,,,,,,,,,,,,,,,7.1
2017-04-20,,,,,,,,,,,,,,,,,,,,7.1
2017-04-21,,,,,,,,,,,,,,,,,,,,7.1
2017-04-24,,,,,,,,,,,,,,,,,,,,7.1
2017-04-25,,,,,,,,,,,,,,,,,,,,7.1
2017-04-26,,,,,,,,,,,,,,,,,,,,7.1
2017-04-27,,,,,,,,,,,,,,,,,,,,7.1
2017-04-28,,,,,,,,,,,,,,,,,,,,7.15
2017-05-02,,,,,,,,,,,,,,,,,,,,7.15
2017-05-03,,,,,,,,,,,,,,,,,,,,7.15
2017-05-04,,,,,,,,,,,,,,,,,,,,7.15
2017-05-05,,,,,,,,,,,,,,,,,,,,7.15
2017-05-08,,,,,,,,,,,,,,,,,,,,7.15
2017-05-09,,,,,,,,,,,,,,,,,,,,7.15
2017-05-10,,,,,,,,,,,,,,,,,,,,7.15
2017-05-11,,,,,,,,,,,,,,,,,,,,7.15
2017-05-12,,,,,,,,,,,,,,,,,,,,7.2
2017-05-15,,,,,,,,,,,,,,,,,,,,7.2
2017-05-16,,,,,,,,,,,,,,,,,,,,7.2
2017-05-17,,,,,,,,,,,,,,,,,,,,7.2
2017-05-18,,,,,,,,,,,,,,,,,,,,7.2
2017-05-19,,,,,,,,,,,,,,,,,,,,7.2
2017-05-22,,,,,,,,,,,,,,,,,,,,7.2
2017-05-23,,,,,,,,,,,,,,,,,,,,7.2
2017-05-24,,,,,,,,,,,,,,,,,,,,7.2
2017-05-25,,,,,,,,,,,,,,,,,,,,7.2
2017-05-26,,,,,,,,,,,,,,,,,,,,7.2
2017-05-29,,,,,,,,,,,,,,,,,,,,7.2
2017-05-30,,,,,,,,,,,,,,,,,,,,7.25
2017-05-31,,,,,,,,,,,,,,,,,,,,7.25
2017-06-01,,,,,,,,,,,,,,,,,,,,7.25
2017-06-02,,,,,,,,,,,,,,,,,,,,7.25
2017-06-05,,,,,,,,,,,,,,,,,,,,6.95
2017-06-06,,,,,,,,,,,,,,,,,,,,7.05
2017-06-07,,,,,,,,,,,,,,,,,,,,7.09
2017-06-08,,,,,,,,,,,,,,,,,,,,7.09
2017-06-09,,,,,,,,,,,,,,,,,,,,7.09
2017-06-12,,,,,,,,,,,,,,,,,,,,7.09
2017-06-13,,,,,,,,,,,,,,,,,,,,7.09
2017-06-14,,,,,,,,,,,,,,,,,,,,7.09
2017-06-15,,,,,,,,,,,,,,,,,,,,7.09
2017-06-16,,,,,,,,,,,,,,,,,,,,7.09
2017-06-19,,,,,,,,,,,,,,,,,,,,7.09
2017-06-20,,,,,,,,,,,,,,,,,,,,7.09
2017-06-21,,,,,,,,,,,,,,,,,,,,7.1
2017-06-22,,,,,,,,,,,,,,,,,,,,7.1
2017-06-23,,,,,,,,,,,,,,,,,,,,7.1
2017-06-26,,,,,,,,,,,,,,,,,,,,7.1
2017-06-27,,,,,,,,,,,,,,,,,,,,7.1
2017-06-28,,,,,,,,,,,,,,,,,,,,7.1
2017-06-29,,,,,,,,,,,,,,,,,,,,7.1
2017-06-30,,,,,,,,,,,,,,,,,,,,7.1
2017-07-03,,,,,,,,,,,,,,,,,,,,7.1
2017-07-04,,,,,,,,,,,,,,,,,,,,7.1
2017-07-05,,,,,,,,,,,,,,,,,,,,7.1
2017-07-06,,,,,,,,,,,,,,,,,,,,7.1
2017-07-07,,,,,,,,,,,,,,,,,,,,7.1
2017-07-10,,,,,,,,,,,,,,,,,,,,7.08
2017-07-11,,,,,,,,,,,,,,,,,,,,7.18
2017-07-12,,,,,,,,,,,,,,,,,,,,7.18
2017-07-13,,,,,,,,,,,,,,,,,,,,7.18
2017-07-14,,,,,,,,,,,,,,,,,,,,7.18
2017-07-17,,,,,,,,,,,,,,,,,,,,7.18
2017-07-18,,,,,,,,,,,,,,,,,,,,7.18
2017-07-19,,,,,,,,,,,,,,,,,,,,7.18
2017-07-20,,,,,,,,,,,,,,,,,,,,7.18
2017-07-21,,,,,,,,,,,,,,,,,,,,7.18
2017-07-24,,,,,,,,,,,,,,,,,,,,7.18
2017-07-25,,,,,,,,,,,,,,,,,,,,7.18
2017-07-26,,,,,,,,,,,,,,,,,,,,7.18
2017-07-27,,,,,,,,,,,,,,,,,,,,7.18
2017-07-28,,,,,,,,,,,,,,,,,,,,7.18
2017-07-31,,,,,,,,,,,,,,,,,,,,7.18
2017-08-01,,,,,,,,,,,,,,,,,,,,7.18
2017-08-02,,,,,,,,,,,,,,,,,,,,7.18
2017-08-03,,,,,,,,,,,,,,,,,,,,7.18
