,ALORD FP Equity_DX_SI_QTY,ALORD FP Equity_DX_SHORT_INTEREST_VALUE,ALORD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALORD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALORD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALORD FP Equity_DX_SI_MV,ALORD FP Equity_DX_DSS,ALORD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALORD FP Equity_DX_SUPPLY_SI_QTY,ALORD FP Equity_DX_BROKER_SI_QTY,ALORD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALORD FP Equity_DX_BROKER_SI_QTY_ADD,ALORD FP Equity_DX_SUPPLY_SI_MV_DEC,ALORD FP Equity_DX_SUPPLY_SI_QTY_DEC,ALORD FP Equity_DX_BROKER_SI_MV_ADD,ALORD FP Equity_DX_SUPPLY_SI_QTY_ADD,ALORD FP Equity_DX_BROKER_SI_QTY_DEC,ALORD FP Equity_DX_SUPPLY_SI_MV,ALORD FP Equity_DX_BROKER_SI_MV_DEC,ALORD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALORD FP Equity_DX_UTILIZATION_QUANTITY,ALORD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALORD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALORD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALORD FP Equity_DX_ACTIVE_UTILIZATION_MV,ALORD FP Equity_DX_BROKER_SI_CON_RATIO,ALORD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALORD FP Equity_DX_DEMAND_SUPPLY_RATIO,ALORD FP Equity_PX_LAST
2018-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2018-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2018-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21
2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2018-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2018-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37
2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2018-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31
2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2018-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2018-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21
2018-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2018-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2018-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18
2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23
2018-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19
2018-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18
2018-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2018-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2018-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2018-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.975
2018-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88
2018-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.885
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03
2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2018-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15
2018-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2018-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15
2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2018-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2018-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2018-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2018-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2018-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
2018-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
2018-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04
2018-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03
2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.985
2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.875
2018-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92
2018-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04
2018-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.995
2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.935
2018-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.935
2018-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.935
2018-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.975
2018-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.855
2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84
2018-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.925
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.695
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.595
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.595
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.595
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.545
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01
2019-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01
2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88
2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88
2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.805
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.805
2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.805
2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.805
2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2019-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.445
2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44
2019-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.645
2019-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.635
2019-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39
2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.255
2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.255
2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.255
2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.255
2019-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.255
2019-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.255
2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53
2019-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57
2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.575
2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.575
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58
2019-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35
2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.295
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.595
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2019-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34
2019-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.355
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.355
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.355
2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36
2019-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2019-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2019-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2019-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2019-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12
2019-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21
2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2019-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44
2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56
2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2019-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2019-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2019-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67
2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2019-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2019-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69
2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2019-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48
2019-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2019-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2019-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41
2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37
2019-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2019-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
2019-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04
2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2019-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2019-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2019-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18
2019-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2019-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06
2019-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2019-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2019-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2019-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2019-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2019-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88
2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2019-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06
2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2019-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22
2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2019-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2019-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2019-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08
2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18
2019-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04
2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2019-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2019-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18
2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2019-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2019-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93
2019-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2019-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2019-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86
2019-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
2019-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78
