,MLBBO FP Equity_PX_LAST
2024-05-27,3.98
2024-05-28,3.98
2024-05-29,3.98
2024-05-30,3.98
2024-05-31,3.98
2024-06-03,3.98
2024-06-04,3.98
2024-06-05,3.98
2024-06-06,3.98
2024-06-07,3.98
2024-06-10,3.98
2024-06-11,3.98
2024-06-12,3.98
2024-06-13,3.98
2024-06-14,3.98
2024-06-17,3.98
2024-06-18,3.98
2024-06-19,3.98
2024-06-20,3.98
2024-06-21,3.98
2024-06-24,3.98
2024-06-25,3.98
2024-06-26,3.98
2024-06-27,3.98
2024-06-28,3.98
2024-07-01,2.98
2024-07-02,2.98
2024-07-03,2.98
2024-07-04,2.98
2024-07-05,2.98
2024-07-08,2.98
2024-07-09,2.98
2024-07-10,2.98
2024-07-11,2.98
2024-07-12,2.98
2024-07-15,2.98
2024-07-16,2.98
2024-07-17,2.98
2024-07-18,2.98
2024-07-19,2.98
2024-07-22,2.98
2024-07-23,2.98
2024-07-24,2.98
2024-07-25,2.98
2024-07-26,2.98
2024-07-29,2.98
2024-07-30,2.98
2024-07-31,2.98
2024-08-01,2.98
2024-08-02,2.98
2024-08-05,2.98
2024-08-06,2.98
2024-08-07,2.98
2024-08-08,2.98
2024-08-09,2.98
2024-08-12,2.98
2024-08-13,2.98
2024-08-14,2.98
2024-08-15,2.98
2024-08-16,2.98
2024-08-19,2.98
2024-08-20,2.98
2024-08-21,2.98
2024-08-22,2.98
2024-08-23,2.98
2024-08-26,2.98
2024-08-27,2.98
2024-08-28,2.98
2024-08-29,2.98
2024-08-30,2.98
2024-09-02,2.98
2024-09-03,2.98
2024-09-04,2.98
2024-09-05,2.98
2024-09-06,2.98
2024-09-09,2.98
2024-09-10,2.98
2024-09-11,2.98
2024-09-12,2.98
2024-09-13,2.98
2024-09-16,2.98
2024-09-17,2.98
2024-09-18,2.98
2024-09-19,2.98
2024-09-20,2.98
2024-09-23,2.44
2024-09-24,2.44
2024-09-25,2.44
2024-09-26,2.44
2024-09-27,2.44
2024-09-30,2.44
2024-10-01,2.44
2024-10-02,2.44
2024-10-03,2.44
2024-10-04,2.44
2024-10-07,2.44
2024-10-08,2.44
2024-10-09,2.44
2024-10-10,2.44
2024-10-11,2.44
2024-10-14,2.44
2024-10-15,2.44
2024-10-16,2.44
2024-10-17,2.44
2024-10-18,2.44
2024-10-21,2.44
2024-10-22,2.44
2024-10-23,2.44
2024-10-24,2.44
2024-10-25,2.44
2024-10-28,2.44
2024-10-29,2.44
2024-10-30,2.44
2024-10-31,2.44
2024-11-01,2.44
2024-11-04,2.44
2024-11-05,2.44
2024-11-06,2.44
2024-11-07,2.44
2024-11-08,2.44
2024-11-11,2.44
2024-11-12,2.44
2024-11-13,2.44
2024-11-14,2.44
2024-11-15,2.44
2024-11-18,2.44
2024-11-19,2.44
2024-11-20,2.44
2024-11-21,2.44
2024-11-22,2.44
2024-11-25,2.44
2024-11-26,2.44
2024-11-27,2.44
2024-11-28,2.44
2024-11-29,2.44
2024-12-02,2.44
2024-12-03,2.44
2024-12-04,2.44
2024-12-05,2.44
2024-12-06,2.44
2024-12-09,2.44
2024-12-10,2.44
2024-12-11,2.44
2024-12-12,2.44
2024-12-13,2.44
2024-12-16,2.44
2024-12-17,2.44
2024-12-18,2.44
2024-12-19,2.44
2024-12-20,2.44
2024-12-23,2.44
2024-12-24,2.44
2024-12-27,2.44
2024-12-30,2.44
2024-12-31,2.44
2025-01-02,2.44
2025-01-03,2.44
2025-01-06,2.44
2025-01-07,2.44
2025-01-08,2.44
2025-01-09,2.44
2025-01-10,2.44
2025-01-13,2.44
2025-01-14,2.44
2025-01-15,2.44
2025-01-16,2.44
2025-01-17,2.44
2025-01-20,2.44
2025-01-21,2.44
2025-01-22,2.44
2025-01-23,2.44
2025-01-24,2.44
2025-01-27,2.44
2025-01-28,2.44
2025-01-29,2.44
2025-01-30,2.44
2025-01-31,2.44
2025-02-03,2.44
2025-02-04,2.44
2025-02-05,2.44
2025-02-06,2.44
2025-02-07,2.44
2025-02-10,2.44
2025-02-11,2.44
2025-02-12,2.44
2025-02-13,2.44
2025-02-14,2.44
2025-02-17,2.44
2025-02-18,2.44
2025-02-19,2.44
2025-02-20,2.44
2025-02-21,2.44
2025-02-24,2.44
2025-02-25,2.44
2025-02-26,2.44
2025-02-27,2.44
2025-02-28,2.44
2025-03-03,2.44
2025-03-04,2.44
2025-03-05,2.44
2025-03-06,2.44
2025-03-07,2.44
2025-03-10,2.44
2025-03-11,2.44
2025-03-12,2.44
2025-03-13,2.44
2025-03-14,2.44
2025-03-17,2.44
2025-03-18,2.44
2025-03-19,2.44
2025-03-20,2.44
2025-03-21,2.44
2025-03-24,2.44
2025-03-25,2.44
2025-03-26,2.44
2025-03-27,2.44
2025-03-28,2.44
2025-03-31,2.44
2025-04-01,2.44
2025-04-02,2.44
2025-04-03,2.44
2025-04-04,2.44
2025-04-07,2.44
2025-04-08,2.44
2025-04-09,2.44
2025-04-10,2.44
2025-04-11,2.44
2025-04-14,1.8
2025-04-15,1.79
2025-04-16,1.79
2025-04-17,1.79
2025-04-22,1.79
2025-04-23,1.79
2025-04-24,1.79
2025-04-25,1.79
2025-04-28,1.79
2025-04-29,1.79
2025-04-30,1.79
2025-05-02,1.79
2025-05-05,1.79
2025-05-06,1.79
2025-05-07,1.79
2025-05-08,1.79
2025-05-09,1.79
2025-05-12,1.79
2025-05-13,1.79
2025-05-14,1.79
2025-05-15,1.79
2025-05-16,1.79
2025-05-19,1.79
2025-05-20,1.79
2025-05-21,1.79
2025-05-22,1.79
2025-05-23,1.79
2025-05-26,1.79
2025-05-27,1.79
2025-05-28,1.79
2025-05-29,1.79
2025-05-30,1.79
2025-06-02,1.79
2025-06-03,1.79
2025-06-04,1.79
2025-06-05,1.79
2025-06-06,1.79
2025-06-09,1.79
2025-06-10,1.79
2025-06-11,1.79
2025-06-12,1.79
2025-06-13,1.79
2025-06-16,1.79
2025-06-17,1.79
2025-06-18,1.79
2025-06-19,1.79
2025-06-20,1.79
2025-06-23,1.79
2025-06-24,1.79
2025-06-25,1.79
2025-06-26,1.79
2025-06-27,1.79
2025-06-30,1.79
2025-07-01,1.79
2025-07-02,1.79
2025-07-03,1.79
2025-07-04,1.79
2025-07-07,1.79
2025-07-08,1.79
2025-07-09,1.79
2025-07-10,1.79
2025-07-11,1.79
2025-07-14,1.79
2025-07-15,1.79
2025-07-16,1.79
2025-07-17,1.79
2025-07-18,1.79
2025-07-21,1.79
2025-07-22,1.79
2025-07-23,1.79
2025-07-24,1.79
2025-07-25,1.79
2025-07-28,1.79
2025-07-29,1.79
2025-07-30,1.79
2025-07-31,1.79
2025-08-01,1.79
2025-08-04,1.79
2025-08-05,1.79
2025-08-06,1.79
2025-08-07,1.79
2025-08-08,1.79
2025-08-11,1.79
2025-08-12,1.79
2025-08-13,1.79
2025-08-14,1.79
2025-08-15,1.79
2025-08-18,1.79
2025-08-19,1.79
2025-08-20,1.79
2025-08-21,1.79
2025-08-22,1.79
2025-08-25,1.79
2025-08-26,1.79
2025-08-27,1.79
2025-08-28,1.79
2025-08-29,1.79
