,ASUI FP Equity_DX_SI_QTY,ASUI FP Equity_DX_SHORT_INTEREST_VALUE,ASUI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ASUI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ASUI FP Equity_DX_SI_MV,ASUI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ASUI FP Equity_DX_SUPPLY_SI_QTY,ASUI FP Equity_DX_BROKER_SI_QTY,ASUI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ASUI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ASUI FP Equity_DX_BROKER_SI_MV_INC_x,ASUI FP Equity_DX_BROKER_SI_QTY_ADD,ASUI FP Equity_DX_SUPPLY_SI_MV_DEC,ASUI FP Equity_DX_BROKER_SI_QTY_INC,ASUI FP Equity_DX_SUPPLY_SI_QTY_DEC,ASUI FP Equity_DX_BROKER_SI_MV_INC_y,ASUI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ASUI FP Equity_DX_BROKER_SI_MV_ADD,ASUI FP Equity_DX_SUPPLY_SI_QTY_ADD,ASUI FP Equity_DX_BROKER_SI_QTY_DEC,ASUI FP Equity_DX_SUPPLY_SI_MV,ASUI FP Equity_DX_BROKER_SI_MV_DEC,ASUI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ASUI FP Equity_DX_UTILIZATION_QUANTITY,ASUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ASUI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ASUI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ASUI FP Equity_DX_ACTIVE_UTILIZATION_MV,ASUI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ASUI FP Equity_DX_BROKER_SI_CON_RATIO,ASUI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ASUI FP Equity_DX_DEMAND_SUPPLY_RATIO,ASUI FP Equity_PX_LAST
2024-11-04,800.0,40208.0,0.18,0.1,0.04,20104.0,400.0,400.0,20104.0,,,,,,,,,,400.0,,0.02,,100.0,16.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333,50.26
2024-11-05,800.0,42456.0,0.17,0.09,0.04,21228.0,400.0,400.0,21228.0,,,,,,,,,,,,0.02,,100.0,16.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333,53.07
2024-11-06,800.0,49008.0,0.18,0.09,0.05,24504.0,400.0,400.0,24504.0,,,,,,,,,,,,0.02,,100.0,16.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333,61.26
2024-11-07,4600.0,285338.0,1.05,0.53,0.29,142669.0,2300.0,2300.0,142669.0,1900.0,0.12,,,1900.0,,0.12,1900.0,,,,0.14,,100.0,95.83,0.0,0.0,0.0,100.0,,1.0,100.0,1.9167,62.03
2024-11-08,4600.0,282256.0,1.05,0.53,0.29,141128.0,2300.0,2300.0,141128.0,,,,,,,,,,,,0.14,,100.0,95.83,0.0,0.0,0.0,100.0,,1.0,100.0,1.9167,61.36
2024-11-11,23400.0,2047968.0,5.54,2.67,1.73,1023984.0,11700.0,11700.0,1023984.0,9400.0,0.86,,,9400.0,,0.86,9400.0,,,,0.72,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,87.52
2024-11-12,23400.0,1941498.0,5.36,2.6,2.01,970749.0,11700.0,11700.0,970749.0,,,,,,,,,,,,1.03,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,82.97
2024-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.03,,11700.0,,,,,11700.0,0.0,0.98,0.0,0.0,11700.0,1064700.0,1.08,0.0,,0.0,,0.0,91.0
2024-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2500.0,229325.0,0.23,0.0,,0.0,,0.0,91.73
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2500.0,232950.0,0.23,0.0,,0.0,,0.0,93.18
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4100.0,421029.0,0.38,0.0,,0.0,,0.0,102.69
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,800.0,80760.0,0.08,0.0,,0.0,,0.0,100.95
2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,40012.0,0.04,0.0,,0.0,,0.0,100.03
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,500.0,48860.0,0.05,0.0,,0.0,,0.0,97.72
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,500.0,48465.0,0.05,0.0,,0.0,,0.0,96.93
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3300.0,297957.0,0.32,0.0,,0.0,,0.0,90.29
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,700.0,66493.0,0.06,0.0,,0.0,,0.0,94.99
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,188780.0,0.19,0.0,,0.0,,0.0,94.39
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4900.0,461482.0,0.46,0.0,,0.0,,0.0,94.18
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4900.0,471233.0,0.47,0.0,,0.0,,0.0,96.17
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5100.0,457929.0,0.49,0.0,,0.0,,0.0,89.79
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5600.0,581840.0,0.5,0.0,,0.0,,0.0,103.9
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3000.0,298140.0,0.31,0.0,,0.0,,0.0,99.38
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2500.0,295500.0,0.25,0.0,,0.0,,0.0,118.2
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2500.0,285825.0,0.25,0.0,,0.0,,0.0,114.33
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3000.0,337380.0,0.34,0.0,,0.0,,0.0,112.46
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2700.0,268947.0,0.3,0.0,,0.0,,0.0,99.61
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3900.0,454740.0,0.39,0.0,,0.0,,0.0,116.6
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4100.0,523078.0,0.48,0.0,,0.0,,0.0,127.58
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4100.0,541569.0,0.48,0.0,,0.0,,0.0,132.09
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4700.0,608697.0,0.62,0.0,,0.0,,0.0,129.51
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4100.0,531237.0,0.54,0.0,,0.0,,0.0,129.57
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4100.0,518240.0,0.53,0.0,,0.0,,0.0,126.4
2024-12-19,3400.0,413508.0,0.54,0.36,0.42,206754.0,1700.0,1700.0,206754.0,,,1700.0,,,,,,0.21,1700.0,,0.22,,100.0,27.3,0.0,0.0,0.0,100.0,,1.0,100.0,0.546,121.62
2024-12-20,1700.0,204663.0,0.26,0.18,0.21,204663.0,0.0,1700.0,0.0,,,,0.22,,1700.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.3261,120.39
2024-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1700.0,0.0,0.21,0.0,0.0,5511.0,639386.22,0.67,0.0,,0.0,,0.0,116.02
2024-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5511.0,690142.53,0.67,0.0,,0.0,,0.0,125.23
2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5511.0,690142.53,0.67,0.0,,0.0,,0.0,
2024-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5511.0,690142.53,0.65,0.0,,0.0,,0.0,
2024-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5079.0,574180.95,0.6,0.0,,0.0,,0.0,113.05
2024-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1624.0,183089.76,0.19,0.0,,0.0,,0.0,112.74
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1624.0,189634.48,0.19,0.0,,0.0,,0.0,116.77
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1624.0,189634.48,0.19,0.0,,0.0,,0.0,
2025-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,224.0,27840.96,0.03,0.0,,0.0,,0.0,124.29
2025-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,224.0,29603.84,0.03,0.0,,0.0,,0.0,132.16
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,224.0,33248.32,0.03,0.0,,0.0,,0.0,148.43
2025-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,224.0,30634.24,0.03,0.0,,0.0,,0.0,136.76
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1.0,128.56,0.0,0.0,,0.0,,0.0,128.56
2025-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1.0,135.26,0.0,0.0,,0.0,,0.0,135.26
2025-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.36
2025-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.06
2025-01-14,700.0,90153.0,0.12,0.07,0.09,0.0,700.0,0.0,90153.0,,,,,,,,,,700.0,,0.09,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,128.79
2025-01-15,700.0,94570.0,0.11,0.07,0.09,0.0,700.0,0.0,94570.0,,,,,,,,,,,,0.09,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,135.1
2025-01-16,700.0,93856.0,0.11,0.07,0.09,0.0,700.0,0.0,93856.0,,,,,,,,,,,,0.09,,100.0,90.79,0.0,0.0,0.0,100.0,,1.0,100.0,0.9079,134.08
2025-01-17,500.0,69335.0,0.08,0.05,0.07,0.0,500.0,0.0,69335.0,,,,0.03,,200.0,,,,,,0.07,,100.0,71.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.7133,138.67
2025-01-20,1700.0,218535.0,0.27,0.17,0.23,77130.0,1100.0,600.0,141405.0,600.0,,600.0,,,,,600.0,0.08,,,0.15,,100.0,68.71,0.0,0.0,0.0,100.0,30.19,0.5785,69.81,1.0618,128.55
2025-01-21,1700.0,212619.0,0.27,0.17,0.22,75042.0,1100.0,600.0,137577.0,,,,,,,,,,,,0.14,,100.0,42.29,0.0,0.0,0.0,100.0,29.7,0.5825,70.3,0.6536,125.07
2025-01-22,1700.0,217821.0,0.28,0.17,0.21,76878.0,1100.0,600.0,140943.0,,,,,,,,,,,,0.14,,100.0,36.67,0.0,0.0,0.0,100.0,29.16,0.5869,70.84,0.5667,128.13
2025-01-23,1700.0,209100.0,0.28,0.17,0.21,73800.0,1100.0,600.0,135300.0,,,,,,,,,,,,0.14,,100.0,44.0,0.0,0.0,0.0,100.0,29.83,0.5813,70.17,0.68,123.0
2025-01-24,1700.0,207264.0,0.3,0.17,0.21,73152.0,1100.0,600.0,134112.0,,,,,,,,,,,,0.14,,100.0,44.0,0.0,0.0,0.0,100.0,29.5,0.584,70.5,0.68,121.92
2025-01-27,5800.0,611668.0,0.99,0.56,0.66,305834.0,2900.0,2900.0,305834.0,1800.0,0.23,,,2300.0,,0.23,1800.0,,,,0.36,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,105.46
2025-01-28,5800.0,607898.0,0.96,0.56,0.61,303949.0,2900.0,2900.0,303949.0,,,,,,,,,,,,0.31,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,104.81
2025-01-29,5800.0,593746.0,1.02,0.56,0.6,296873.0,2900.0,2900.0,296873.0,,,,,,,,,,,,0.31,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,102.37
2025-01-30,5800.0,668740.0,1.03,0.56,0.64,334370.0,2900.0,2900.0,334370.0,,,,,,,,,,,,0.3,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,115.3
2025-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3,,2900.0,,,,,2900.0,0.0,0.34,0.0,0.0,1800.0,209178.0,0.19,0.0,,0.0,,0.0,116.21
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,40904.0,0.04,0.0,,0.0,,0.0,102.26
2025-02-04,2800.0,290136.0,0.34,0.27,0.29,145068.0,1400.0,1400.0,145068.0,,,1400.0,,,,,,0.15,1400.0,,0.14,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,103.62
2025-02-05,3200.0,307136.0,0.39,0.29,0.32,153568.0,1600.0,1600.0,153568.0,200.0,0.01,,,200.0,,0.01,200.0,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,95.98
2025-02-06,3200.0,282432.0,0.41,0.29,0.3,141216.0,1600.0,1600.0,141216.0,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,88.26
2025-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.16,,1600.0,,,,,1600.0,0.0,0.14,0.0,0.0,200.0,18014.0,0.02,0.0,,0.0,,0.0,90.07
2025-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.87
2025-02-11,6200.0,593836.0,0.8,0.55,0.58,296918.0,3100.0,3100.0,296918.0,,,3100.0,,,,,,0.3,3100.0,,0.28,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,95.78
2025-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.28,,3100.0,,,,,3100.0,0.0,0.29,0.0,0.0,1300.0,115583.0,0.12,0.0,,0.0,,0.0,88.91
2025-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1200.0,116496.0,0.12,0.0,,0.0,,0.0,97.08
2025-02-14,600.0,59502.0,0.08,0.05,0.06,29751.0,300.0,300.0,29751.0,,,300.0,,,,,,0.03,300.0,,0.03,,100.0,25.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.5,99.17
2025-02-17,3200.0,281120.0,0.41,0.28,0.3,140560.0,1600.0,1600.0,140560.0,1300.0,0.11,,,1300.0,,0.11,1300.0,,,,0.16,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,87.85
2025-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.08
