,ALALO FP Equity_DX_SI_QTY,ALALO FP Equity_DX_SHORT_INTEREST_VALUE,ALALO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALALO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALALO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALALO FP Equity_DX_SI_MV,ALALO FP Equity_DX_DSS,ALALO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALALO FP Equity_DX_SUPPLY_SI_QTY,ALALO FP Equity_DX_BROKER_SI_QTY,ALALO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALALO FP Equity_DX_BROKER_SI_MV_NEW_x,ALALO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALALO FP Equity_DX_BROKER_SI_MV_INC_x,ALALO FP Equity_DX_BROKER_SI_QTY_ADD,ALALO FP Equity_DX_BROKER_SI_QTY_NEW,ALALO FP Equity_DX_SUPPLY_SI_MV_DEC,ALALO FP Equity_DX_BROKER_SI_QTY_INC,ALALO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALALO FP Equity_DX_BROKER_SI_MV_NEW_y,ALALO FP Equity_DX_BROKER_SI_MV_INC_y,ALALO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALALO FP Equity_DX_BROKER_SI_MV_ADD,ALALO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALALO FP Equity_DX_BROKER_SI_QTY_DEC,ALALO FP Equity_DX_SUPPLY_SI_MV,ALALO FP Equity_DX_BROKER_SI_MV_DEC,ALALO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALALO FP Equity_DX_UTILIZATION_QUANTITY,ALALO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALALO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALALO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALALO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALALO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALALO FP Equity_DX_BROKER_SI_CON_RATIO,ALALO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALALO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALALO FP Equity_PX_LAST
2011-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9153.6,0.01,0.0,,0.0,,0.0,0.48
2011-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8772.2,0.01,0.0,,0.0,,0.0,0.46
2011-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2011-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8200.1,0.01,0.0,,0.0,,0.0,0.43
2011-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7818.7,0.01,0.0,,0.0,,0.0,0.41
2011-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7628.0,0.01,0.0,,0.0,,0.0,0.4
2011-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7628.0,0.01,0.0,,0.0,,0.0,0.4
2011-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7437.3,0.01,0.0,,0.0,,0.0,0.39
2011-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7628.0,0.01,0.0,,0.0,,0.0,0.4
2011-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7055.9,0.01,0.0,,0.0,,0.0,0.37
2011-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7437.3,0.01,0.0,,0.0,,0.0,0.39
2011-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7628.0,0.01,0.0,,0.0,,0.0,0.4
2011-11-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7437.3,0.01,0.0,,0.0,,0.0,0.39
2011-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,6674.5,0.01,0.0,,0.0,,0.0,0.35
2011-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,5911.7,0.01,0.0,,0.0,,0.0,0.31
2011-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,5530.3,0.01,0.0,,0.0,,0.0,0.29
2011-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,5530.3,0.01,0.0,,0.0,,0.0,0.29
2011-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,5721.0,0.01,0.0,,0.0,,0.0,0.3
2011-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,6102.4,0.01,0.0,,0.0,,0.0,0.32
2011-11-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,6293.1,0.01,0.0,,0.0,,0.0,0.33
2011-11-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8009.4,0.01,0.0,,0.0,,0.0,0.42
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2011-12-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8009.4,0.01,0.0,,0.0,,0.0,0.42
2011-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2011-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8009.4,0.01,0.0,,0.0,,0.0,0.42
2011-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8772.2,0.01,0.0,,0.0,,0.0,0.46
2011-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9344.3,0.01,0.0,,0.0,,0.0,0.49
2011-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9344.3,0.01,0.0,,0.0,,0.0,0.49
2011-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2011-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2011-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7628.0,0.01,0.0,,0.0,,0.0,0.4
2011-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7246.6,0.01,0.0,,0.0,,0.0,0.38
2011-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7628.0,0.01,0.0,,0.0,,0.0,0.4
2011-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2011-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2011-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8009.4,0.01,0.0,,0.0,,0.0,0.42
2011-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2011-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8200.1,0.01,0.0,,0.0,,0.0,0.43
2011-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8200.1,0.01,0.0,,0.0,,0.0,
2011-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8200.1,0.01,0.0,,0.0,,0.0,0.43
2011-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8009.4,0.01,0.0,,0.0,,0.0,0.42
2011-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7818.7,0.01,0.0,,0.0,,0.0,0.41
2011-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,7628.0,0.01,0.0,,0.0,,0.0,0.4
2012-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2012-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2012-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2012-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8200.1,0.01,0.0,,0.0,,0.0,0.43
2012-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2012-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8200.1,0.01,0.0,,0.0,,0.0,0.43
2012-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2012-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2012-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8009.4,0.01,0.0,,0.0,,0.0,0.42
2012-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2012-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8390.8,0.01,0.0,,0.0,,0.0,0.44
2012-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8581.5,0.01,0.0,,0.0,,0.0,0.45
2012-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8962.9,0.01,0.0,,0.0,,0.0,0.47
2012-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8772.2,0.01,0.0,,0.0,,0.0,0.46
2012-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8962.9,0.01,0.0,,0.0,,0.0,0.47
2012-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8772.2,0.01,0.0,,0.0,,0.0,0.46
2012-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9153.6,0.01,0.0,,0.0,,0.0,0.48
2012-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10297.8,0.01,0.0,,0.0,,0.0,0.54
2012-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9916.4,0.01,0.0,,0.0,,0.0,0.52
2012-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10488.5,0.01,0.0,,0.0,,0.0,0.55
2012-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,12586.2,0.01,0.0,,0.0,,0.0,0.66
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,12014.1,0.01,0.0,,0.0,,0.0,0.63
2012-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11632.7,0.01,0.0,,0.0,,0.0,0.61
2012-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11442.0,0.01,0.0,,0.0,,0.0,0.6
2012-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11442.0,0.01,0.0,,0.0,,0.0,0.6
2012-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11251.3,0.01,0.0,,0.0,,0.0,0.59
2012-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,12395.5,0.01,0.0,,0.0,,0.0,0.65
2012-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,12014.1,0.01,0.0,,0.0,,0.0,0.63
2012-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,12204.8,0.01,0.0,,0.0,,0.0,0.64
2012-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11823.4,0.01,0.0,,0.0,,0.0,0.62
2012-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11442.0,0.01,0.0,,0.0,,0.0,0.6
2012-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11632.7,0.01,0.0,,0.0,,0.0,0.61
2012-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11632.7,0.01,0.0,,0.0,,0.0,0.61
2012-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11632.7,0.01,0.0,,0.0,,0.0,0.61
2012-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11442.0,0.01,0.0,,0.0,,0.0,0.6
2012-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11632.7,0.01,0.0,,0.0,,0.0,0.61
2012-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11442.0,0.01,0.0,,0.0,,0.0,0.6
2012-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10869.9,0.01,0.0,,0.0,,0.0,0.57
2012-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10869.9,0.01,0.0,,0.0,,0.0,0.57
2012-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11060.6,0.01,0.0,,0.0,,0.0,0.58
2012-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11632.7,0.01,0.0,,0.0,,0.0,0.61
2012-02-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11823.4,0.01,0.0,,0.0,,0.0,0.62
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11442.0,0.01,0.0,,0.0,,0.0,0.6
2012-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11442.0,0.01,0.0,,0.0,,0.0,0.6
2012-03-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11251.3,0.01,0.0,,0.0,,0.0,0.59
2012-03-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11060.6,0.01,0.0,,0.0,,0.0,0.58
2012-03-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11060.6,0.01,0.0,,0.0,,0.0,0.58
2012-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11060.6,0.01,0.0,,0.0,,0.0,0.58
2012-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,11060.6,0.01,0.0,,0.0,,0.0,0.58
2012-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10679.2,0.01,0.0,,0.0,,0.0,0.56
2012-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10679.2,0.01,0.0,,0.0,,0.0,0.56
2012-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10297.8,0.01,0.0,,0.0,,0.0,0.54
2012-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-03-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-03-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9916.4,0.01,0.0,,0.0,,0.0,0.52
2012-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9535.0,0.01,0.0,,0.0,,0.0,0.5
2012-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-03-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9725.7,0.01,0.0,,0.0,,0.0,0.51
2012-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10679.2,0.01,0.0,,0.0,,0.0,0.56
2012-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10297.8,0.01,0.0,,0.0,,0.0,0.54
2012-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10488.5,0.01,0.0,,0.0,,0.0,0.55
2012-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10488.5,0.01,0.0,,0.0,,0.0,0.55
2012-04-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,10107.1,0.01,0.0,,0.0,,0.0,0.53
2012-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9725.7,0.01,0.0,,0.0,,0.0,0.51
2012-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9535.0,0.01,0.0,,0.0,,0.0,0.5
2012-04-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9535.0,0.01,0.0,,0.0,,0.0,
2012-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9535.0,0.01,0.0,,0.0,,0.0,
2012-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8962.9,0.01,0.0,,0.0,,0.0,0.47
2012-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9153.6,0.01,0.0,,0.0,,0.0,0.48
2012-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8962.9,0.01,0.0,,0.0,,0.0,0.47
2012-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,9153.6,0.01,0.0,,0.0,,0.0,0.48
2012-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8772.2,0.01,0.0,,0.0,,0.0,0.46
2012-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,19070.0,8962.9,0.01,0.0,,0.0,,0.0,0.47
