,SP5 FP Equity_PX_LAST
2011-08-23,8.026
2011-08-24,8.209
2011-08-25,8.247
2011-08-26,8.225
2011-08-29,8.37
2011-08-30,8.506
2011-08-31,8.599
2011-09-01,8.691
2011-09-02,8.456
2011-09-05,8.251
2011-09-06,8.349
2011-09-07,8.591
2011-09-08,8.721
2011-09-09,8.648
2011-09-12,8.557
2011-09-13,8.655
2011-09-14,8.725
2011-09-15,8.79
2011-09-16,8.908
2011-09-19,8.895
2011-09-20,9.042
2011-09-21,8.872
2011-09-22,8.553
2011-09-23,8.543
2011-09-26,8.61
2011-09-27,8.888
2011-09-28,8.751
2011-09-29,8.669
2011-09-30,8.709
2011-10-03,8.671
2011-10-04,8.359
2011-10-05,8.644
2011-10-06,8.754
2011-10-07,8.761
2011-10-10,8.838
2011-10-11,8.929
2011-10-12,8.949
2011-10-13,8.85
2011-10-14,8.916
2011-10-17,8.962
2011-10-18,8.956
2011-10-19,9.056
2011-10-20,8.957
2011-10-21,9.059
2011-10-24,9.154
2011-10-25,9.07
2011-10-26,9.038
2011-10-27,9.129
2011-10-28,9.233
2011-10-31,9.239
2011-11-01,9.078
2011-11-02,9.143
2011-11-03,9.25
2011-11-04,9.222
2011-11-07,9.235
2011-11-08,9.287
2011-11-09,9.337
2011-11-10,9.266
2011-11-11,9.356
2011-11-14,9.402
2011-11-15,9.395
2011-11-16,9.462
2011-11-17,9.3
2011-11-18,9.186
2011-11-21,8.96
2011-11-22,8.936
2011-11-23,8.916
2011-11-24,8.911
2011-11-25,8.998
2011-11-28,9.145
2011-11-29,9.177
2011-11-30,9.379
2011-12-01,9.405
2011-12-02,9.55
2011-12-05,9.574
2011-12-06,9.581
2011-12-07,9.431
2011-12-08,9.411
2011-12-09,9.434
2011-12-12,9.398
2011-12-13,9.562
2011-12-14,9.406
2011-12-15,9.433
2011-12-16,9.462
2011-12-19,9.385
2011-12-20,9.527
2011-12-21,9.532
2011-12-22,9.653
2011-12-23,9.758
2011-12-27,9.769
2011-12-28,9.762
2011-12-29,9.828
2011-12-30,9.805
2012-01-02,9.95
2012-01-03,9.91
2012-01-04,9.923
2012-01-05,10.034
2012-01-06,10.151
2012-01-09,10.109
2012-01-10,10.224
2012-01-11,10.256
2012-01-12,10.148
2012-01-13,10.233
2012-01-16,10.29
2012-01-17,10.293
2012-01-18,10.228
2012-01-19,10.278
2012-01-20,10.218
2012-01-23,10.174
2012-01-24,10.194
2012-01-25,10.213
2012-01-26,10.16
2012-01-27,10.079
2012-01-30,10.068
2012-01-31,10.099
2012-02-01,10.147
2012-02-02,10.174
2012-02-03,10.334
2012-02-06,10.33
2012-02-07,10.262
2012-02-08,10.245
2012-02-09,10.246
2012-02-10,10.266
2012-02-13,10.308
2012-02-14,10.357
2012-02-15,10.458
2012-02-16,10.442
2012-02-17,10.439
2012-02-20,10.43
2012-02-21,10.409
2012-02-22,10.367
2012-02-23,10.337
2012-02-24,10.269
2012-02-27,10.316
2012-02-28,10.305
2012-02-29,10.343
2012-03-01,10.409
2012-03-02,10.511
2012-03-05,10.405
2012-03-06,10.363
2012-03-07,10.4
2012-03-08,10.396
2012-03-09,10.601
2012-03-12,10.533
2012-03-13,10.678
2012-03-14,10.833
2012-03-15,10.846
2012-03-16,10.792
2012-03-19,10.776
2012-03-20,10.731
2012-03-21,10.773
2012-03-22,10.685
2012-03-23,10.641
2012-03-26,10.718
2012-03-27,10.759
2012-03-28,10.704
2012-03-29,10.637
2012-03-30,10.692
2012-04-02,10.775
2012-04-03,10.738
2012-04-04,10.769
2012-04-05,10.85
2012-04-10,10.626
2012-04-11,10.6
2012-04-12,10.633
2012-04-13,10.657
2012-04-16,10.606
2012-04-17,10.698
2012-04-18,10.698
2012-04-19,10.678
2012-04-20,10.625
2012-04-23,10.51
2012-04-24,10.549
2012-04-25,10.643
2012-04-26,10.667
2012-04-27,10.726
2012-04-30,10.691
2012-05-02,10.783
2012-05-03,10.787
2012-05-04,10.623
2012-05-07,10.629
2012-05-08,10.538
2012-05-09,10.625
2012-05-10,10.651
2012-05-11,10.702
2012-05-14,10.616
2012-05-15,10.637
2012-05-16,10.634
2012-05-17,10.522
2012-05-18,10.403
2012-05-21,10.387
2012-05-22,10.566
2012-05-23,10.497
2012-05-24,10.639
2012-05-25,10.714
2012-05-28,10.71
2012-05-29,10.797
2012-05-30,10.772
2012-05-31,10.728
2012-06-01,10.534
2012-06-04,10.346
2012-06-05,10.452
2012-06-06,10.613
2012-06-07,10.677
2012-06-08,10.71
2012-06-11,10.752
2012-06-12,10.742
2012-06-13,10.69
2012-06-14,10.69
2012-06-15,10.754
2012-06-18,10.852
2012-06-19,10.874
2012-06-20,10.847
2012-06-21,10.854
2012-06-22,10.781
2012-06-25,10.678
2012-06-26,10.712
2012-06-27,10.859
2012-06-28,10.784
2012-06-29,10.874
2012-07-02,10.981
2012-07-03,11.071
2012-07-04,11.152
2012-07-05,11.261
2012-07-06,11.161
2012-07-09,11.149
2012-07-10,11.216
2012-07-11,11.049
2012-07-12,10.998
2012-07-13,11.147
2012-07-16,11.134
2012-07-17,11.15
2012-07-18,11.279
2012-07-19,11.324
2012-07-20,11.318
2012-07-23,11.191
2012-07-24,11.203
2012-07-25,11.105
2012-07-26,11.119
2012-07-27,11.225
2012-07-30,11.391
2012-07-31,11.35
2012-08-01,11.337
2012-08-02,11.307
2012-08-03,11.363
2012-08-06,11.354
2012-08-07,11.409
2012-08-08,11.452
2012-08-09,11.531
2012-08-10,11.492
2012-08-13,11.446
2012-08-14,11.542
2012-08-15,11.545
2012-08-16,11.532
2012-08-17,11.619
2012-08-20,11.571
2012-08-21,11.512
2012-08-22,11.416
2012-08-23,11.305
2012-08-24,11.35
2012-08-27,11.426
2012-08-28,11.337
2012-08-29,11.352
2012-08-30,11.321
2012-08-31,11.328
2012-09-03,11.31
2012-09-04,11.259
2012-09-05,11.28
2012-09-06,11.442
2012-09-07,11.356
2012-09-10,11.358
2012-09-11,11.302
2012-09-12,11.272
2012-09-13,11.286
2012-09-14,11.307
2012-09-17,11.29
2012-09-18,11.311
2012-09-19,11.331
2012-09-20,11.385
2012-09-21,11.402
2012-09-24,11.408
2012-09-25,11.414
2012-09-26,11.286
2012-09-27,11.33
2012-09-28,11.309
2012-10-01,11.404
2012-10-02,11.289
2012-10-03,11.388
2012-10-04,11.354
2012-10-05,11.389
2012-10-08,11.35
2012-10-09,11.351
2012-10-10,11.292
2012-10-11,11.276
2012-10-12,11.171
2012-10-15,11.21
2012-10-16,11.289
2012-10-17,11.266
2012-10-18,11.295
2012-10-19,11.222
2012-10-22,11.077
2012-10-23,11.032
2012-10-24,11.057
2012-10-25,11.03
2012-10-26,11.04
2012-10-29,11.131
2012-10-30,11.06
2012-10-31,10.995
2012-11-01,11.172
2012-11-02,11.252
2012-11-05,11.195
2012-11-06,11.269
2012-11-07,11.047
2012-11-08,11.059
2012-11-09,11.05
2012-11-12,11.001
2012-11-13,11.058
2012-11-14,10.897
2012-11-15,10.733
2012-11-16,10.745
2012-11-19,10.936
2012-11-20,10.988
2012-11-21,10.99
2012-11-22,10.993
2012-11-23,10.995
2012-11-26,10.958
2012-11-27,11.017
2012-11-28,10.987
2012-11-29,11.086
2012-11-30,11.024
2012-12-03,11.002
2012-12-04,10.919
2012-12-05,10.933
2012-12-06,11.066
2012-12-07,11.105
2012-12-10,11.165
2012-12-11,11.206
2012-12-12,11.089
2012-12-13,11.005
2012-12-14,10.886
2012-12-17,10.932
2012-12-18,11.01
2012-12-19,11.019
2012-12-20,10.971
2012-12-21,10.921
2012-12-24,10.904
2012-12-27,10.769
2012-12-28,10.783
2012-12-31,10.681
2013-01-02,11.121
2013-01-03,11.289
2013-01-04,11.336
2013-01-07,11.272
2013-01-08,11.236
2013-01-09,11.337
2013-01-10,11.198
2013-01-11,11.125
2013-01-14,11.117
2013-01-15,11.131
2013-01-16,11.188
2013-01-17,11.206
2013-01-18,11.244
2013-01-21,11.304
2013-01-22,11.289
2013-01-23,11.344
2013-01-24,11.353
2013-01-25,11.262
2013-01-28,11.283
2013-01-29,11.305
2013-01-30,11.228
2013-01-31,11.152
2013-02-01,11.162
2013-02-04,11.206
2013-02-05,11.246
2013-02-06,11.298
2013-02-07,11.338
2013-02-08,11.475
2013-02-11,11.447
2013-02-12,11.427
2013-02-13,11.447
2013-02-14,11.547
2013-02-15,11.537
2013-02-18,11.528
2013-02-19,11.566
2013-02-20,11.567
2013-02-21,11.517
2013-02-22,11.611
2013-02-25,11.641
2013-02-26,11.541
2013-02-27,11.665
2013-02-28,11.77
2013-03-01,11.823
2013-03-04,11.834
2013-03-05,12.004
2013-03-06,12.019
2013-03-07,11.965
2013-03-08,12.088
2013-03-11,12.104
2013-03-12,12.079
2013-03-13,12.173
2013-03-14,12.198
2013-03-15,12.133
2013-03-18,12.17
2013-03-19,12.158
2013-03-20,12.196
2013-03-21,12.196
2013-03-22,12.148
2013-03-25,12.242
2013-03-26,12.309
2013-03-27,12.392
2013-03-28,12.394
2013-04-02,12.442
2013-04-03,12.329
2013-04-04,12.302
2013-04-05,12.051
2013-04-08,12.126
2013-04-09,12.124
2013-04-10,12.305
2013-04-11,12.351
2013-04-12,12.285
2013-04-15,12.248
2013-04-16,12.11
2013-04-17,12.059
2013-04-18,12.017
2013-04-19,12.063
2013-04-22,12.099
2013-04-23,12.323
2013-04-24,12.352
2013-04-25,12.412
2013-04-26,12.334
2013-04-29,12.334
2013-04-30,12.288
2013-05-02,12.428
2013-05-03,12.521
2013-05-06,12.554
2013-05-07,12.597
2013-05-08,12.577
2013-05-09,12.646
2013-05-10,12.796
2013-05-13,12.788
2013-05-14,12.908
2013-05-15,13.091
2013-05-16,13.091
2013-05-17,13.163
2013-05-20,13.206
2013-05-21,13.163
2013-05-22,13.27
2013-05-23,12.997
2013-05-24,12.93
2013-05-27,13.027
2013-05-28,13.188
2013-05-29,12.923
2013-05-30,12.933
2013-05-31,12.999
2013-06-03,12.622
2013-06-04,12.773
2013-06-05,12.573
2013-06-06,12.43
2013-06-07,12.656
2013-06-10,12.661
2013-06-11,12.583
2013-06-12,12.423
2013-06-13,12.367
2013-06-14,12.46
2013-06-17,12.566
2013-06-18,12.545
2013-06-19,12.55
2013-06-20,12.369
2013-06-21,12.252
2013-06-24,12.165
2013-06-25,12.358
2013-06-26,12.536
2013-06-27,12.651
2013-06-28,12.64
2013-07-01,12.689
2013-07-02,12.691
2013-07-03,12.636
2013-07-04,12.856
2013-07-05,12.847
2013-07-08,12.993
2013-07-09,13.187
2013-07-10,13.01
2013-07-11,12.956
2013-07-12,12.986
2013-07-15,13.057
2013-07-16,12.904
2013-07-17,12.991
2013-07-18,13.095
2013-07-19,13.024
2013-07-22,13.021
2013-07-23,12.969
2013-07-24,12.946
2013-07-25,12.864
2013-07-26,12.816
2013-07-29,12.863
2013-07-30,12.909
2013-07-31,12.931
2013-08-01,13.048
2013-08-02,12.992
2013-08-05,13.048
2013-08-06,12.918
2013-08-07,12.828
2013-08-08,12.809
2013-08-09,12.828
2013-08-12,12.882
2013-08-13,12.932
2013-08-14,12.923
2013-08-15,12.744
2013-08-16,12.642
2013-08-19,12.574
2013-08-20,12.502
2013-08-21,12.499
2013-08-22,12.548
2013-08-23,12.568
2013-08-26,12.659
2013-08-27,12.439
2013-08-28,12.446
2013-08-29,12.622
2013-08-30,12.543
2013-09-02,12.701
2013-09-03,12.659
2013-09-04,12.68
2013-09-05,12.822
2013-09-06,12.806
2013-09-09,12.737
2013-09-10,12.872
2013-09-11,12.852
2013-09-12,12.86
2013-09-13,12.907
2013-09-16,12.962
2013-09-17,12.948
2013-09-18,12.954
2013-09-19,12.934
2013-09-20,12.914
2013-09-23,12.798
2013-09-24,12.832
2013-09-25,12.769
2013-09-26,12.777
2013-09-27,12.684
2013-09-30,12.63
2013-10-01,12.722
2013-10-02,12.614
2013-10-03,12.511
2013-10-04,12.584
2013-10-07,12.597
2013-10-08,12.46
2013-10-09,12.412
2013-10-10,12.639
2013-10-11,12.714
2013-10-14,12.707
2013-10-15,12.887
2013-10-16,12.953
2013-10-17,12.844
2013-10-18,12.927
2013-10-21,12.964
2013-10-22,12.927
2013-10-23,12.884
2013-10-24,12.906
2013-10-25,12.939
2013-10-28,12.994
2013-10-29,13.098
2013-10-30,13.067
2013-10-31,13.208
2013-11-01,13.248
2013-11-04,13.26
2013-11-05,13.32
2013-11-06,13.303
2013-11-07,13.39
2013-11-08,13.421
2013-11-11,13.442
2013-11-12,13.415
2013-11-13,13.392
2013-11-14,13.513
2013-11-15,13.548
2013-11-18,13.554
2013-11-19,13.482
2013-11-20,13.567
2013-11-21,13.552
2013-11-22,13.546
2013-11-25,13.647
2013-11-26,13.56
2013-11-27,13.575
2013-11-28,13.557
2013-11-29,13.569
2013-12-02,13.58
2013-12-03,13.439
2013-12-04,13.493
2013-12-05,13.328
2013-12-06,13.417
2013-12-09,13.457
2013-12-10,13.361
2013-12-11,13.156
2013-12-12,13.098
2013-12-13,13.108
2013-12-16,13.183
2013-12-17,13.103
2013-12-18,13.123
2013-12-19,13.419
2013-12-20,13.499
2013-12-23,13.539
2013-12-24,13.557
2013-12-27,13.565
2013-12-30,13.521
2013-12-31,13.577
2014-01-02,13.638
2014-01-03,13.665
2014-01-06,13.582
2014-01-07,13.71
2014-01-08,13.733
2014-01-09,13.691
2014-01-10,13.623
2014-01-13,13.69
2014-01-14,13.611
2014-01-15,13.804
2014-01-16,13.756
2014-01-17,13.813
2014-01-20,13.775
2014-01-21,13.752
2014-01-22,13.799
2014-01-23,13.571
2014-01-24,13.377
2014-01-27,13.249
2014-01-28,13.292
2014-01-29,13.277
2014-01-30,13.434
2014-01-31,13.441
2014-02-03,13.221
2014-02-04,13.187
2014-02-05,13.117
2014-02-06,13.208
2014-02-07,13.325
2014-02-10,13.372
2014-02-11,13.479
2014-02-12,13.602
2014-02-13,13.568
2014-02-14,13.628
2014-02-17,13.602
2014-02-18,13.622
2014-02-19,13.631
2014-02-20,13.617
2014-02-21,13.674
2014-02-24,13.735
2014-02-25,13.704
2014-02-26,13.774
2014-02-27,13.719
2014-02-28,13.751
2014-03-03,13.612
2014-03-04,13.856
2014-03-05,13.884
2014-03-06,13.82
2014-03-07,13.754
2014-03-10,13.746
2014-03-11,13.741
2014-03-12,13.643
2014-03-13,13.583
2014-03-14,13.508
2014-03-17,13.611
2014-03-18,13.686
2014-03-19,13.7
2014-03-20,13.82
2014-03-21,13.882
2014-03-24,13.674
2014-03-25,13.753
2014-03-26,13.811
2014-03-27,13.708
2014-03-28,13.814
2014-03-31,13.816
2014-04-01,13.879
2014-04-02,13.977
2014-04-03,14.029
2014-04-04,14.04
2014-04-07,13.76
2014-04-08,13.681
2014-04-09,13.694
2014-04-10,13.637
2014-04-11,13.432
2014-04-14,13.527
2014-04-15,13.523
2014-04-16,13.691
2014-04-17,13.74
2014-04-22,13.911
2014-04-23,13.86
2014-04-24,13.885
2014-04-25,13.751
2014-04-28,13.754
2014-04-29,13.87
2014-04-30,13.818
2014-05-02,13.864
2014-05-05,13.835
2014-05-06,13.743
2014-05-07,13.716
2014-05-08,13.894
2014-05-09,13.872
2014-05-12,14.049
2014-05-13,14.143
2014-05-14,14.099
2014-05-15,13.9
2014-05-16,13.957
2014-05-19,14.02
2014-05-20,14.025
2014-05-21,14.082
2014-05-22,14.185
2014-05-23,14.236
2014-05-26,14.275
2014-05-27,14.328
2014-05-28,14.374
2014-05-29,14.371
2014-05-30,14.394
2014-06-02,14.456
2014-06-03,14.415
2014-06-04,14.47
2014-06-05,14.531
2014-06-06,14.604
2014-06-09,14.697
2014-06-10,14.719
2014-06-11,14.694
2014-06-12,14.632
2014-06-13,14.622
2014-06-16,14.557
2014-06-17,14.638
2014-06-18,14.629
2014-06-19,14.687
2014-06-20,14.779
2014-06-23,14.745
2014-06-24,14.81
2014-06-25,14.67
2014-06-26,14.682
2014-06-27,14.685
2014-06-30,14.666
2014-07-01,14.767
2014-07-02,14.803
2014-07-03,14.912
2014-07-04,14.925
2014-07-07,14.875
2014-07-08,14.75
2014-07-09,14.668
2014-07-10,14.668
2014-07-11,14.683
2014-07-14,14.762
2014-07-15,14.769
2014-07-16,14.859
2014-07-17,14.826
2014-07-18,14.829
2014-07-21,14.806
2014-07-22,14.983
2014-07-23,15.012
2014-07-24,15.035
2014-07-25,14.968
2014-07-28,14.953
2014-07-29,14.965
2014-07-30,14.961
2014-07-31,14.772
2014-08-01,14.581
2014-08-04,14.614
2014-08-05,14.703
2014-08-06,14.661
2014-08-07,14.619
2014-08-08,14.563
2014-08-11,14.787
2014-08-12,14.721
2014-08-13,14.834
2014-08-14,14.852
2014-08-15,14.8
2014-08-18,15.025
2014-08-19,15.133
2014-08-20,15.201
2014-08-21,15.268
2014-08-22,15.313
2014-08-25,15.444
2014-08-26,15.467
2014-08-27,15.439
2014-08-28,15.424
2014-08-29,15.509
2014-09-01,15.532
2014-09-02,15.541
2014-09-03,15.532
2014-09-04,15.774
2014-09-05,15.674
2014-09-08,15.786
2014-09-09,15.755
2014-09-10,15.709
2014-09-11,15.716
2014-09-12,15.671
2014-09-15,15.608
2014-09-16,15.69
2014-09-17,15.737
2014-09-18,15.883
2014-09-19,15.985
2014-09-22,15.872
2014-09-23,15.776
2014-09-24,15.886
2014-09-25,15.811
2014-09-26,15.817
2014-09-29,15.878
2014-09-30,16.033
2014-10-01,15.853
2014-10-02,15.594
2014-10-03,16.007
2014-10-06,15.981
2014-10-07,15.748
2014-10-08,15.58
2014-10-09,15.722
2014-10-10,15.504
2014-10-13,15.31
2014-10-14,15.227
2014-10-15,14.752
2014-10-16,14.863
2014-10-17,15.17
2014-10-20,15.118
2014-10-21,15.502
2014-10-22,15.722
2014-10-23,15.783
2014-10-24,15.769
2014-10-27,15.726
2014-10-28,15.805
2014-10-29,15.863
2014-10-30,16.08
2014-10-31,16.402
2014-11-03,16.499
2014-11-04,16.303
2014-11-05,16.51
2014-11-06,16.675
2014-11-07,16.737
2014-11-10,16.751
2014-11-11,16.742
2014-11-12,16.697
2014-11-13,16.7
2014-11-14,16.698
2014-11-17,16.698
2014-11-18,16.71
2014-11-19,16.665
2014-11-20,16.761
2014-11-21,17.039
2014-11-24,16.991
2014-11-25,16.937
2014-11-26,16.916
2014-11-27,16.988
2014-11-28,17.062
2014-12-01,16.845
2014-12-02,17.031
2014-12-03,17.193
2014-12-04,16.972
2014-12-05,17.258
2014-12-08,17.256
2014-12-09,16.86
2014-12-10,16.751
2014-12-11,16.873
2014-12-12,16.456
2014-12-15,16.289
2014-12-16,16.421
2014-12-17,16.316
2014-12-18,16.906
2014-12-19,17.218
2014-12-22,17.227
2014-12-23,17.44
2014-12-24,17.415
2014-12-29,17.509
2014-12-30,17.45
2014-12-31,17.515
2015-01-02,17.42
2015-01-05,17.321
2015-01-06,17.156
2015-01-07,17.413
2015-01-08,17.777
2015-01-09,17.601
2015-01-12,17.526
2015-01-13,17.732
2015-01-14,17.25
2015-01-15,17.641
2015-01-16,17.695
2015-01-19,17.709
2015-01-20,17.734
2015-01-21,17.883
2015-01-22,18.249
2015-01-23,18.609
2015-01-26,18.528
2015-01-27,18.216
2015-01-28,18.244
2015-01-29,18.02
2015-01-30,18.107
2015-02-02,18.035
2015-02-03,18.075
2015-02-04,18.327
2015-02-05,18.375
2015-02-06,18.636
2015-02-09,18.509
2015-02-10,18.526
2015-02-11,18.669
2015-02-12,18.623
2015-02-13,18.711
2015-02-16,18.8
2015-02-17,18.79
2015-02-18,18.863
2015-02-19,18.851
2015-02-20,18.85
2015-02-23,18.998
2015-02-24,19.083
2015-02-25,19.03
2015-02-26,19.261
2015-02-27,19.224
2015-03-02,19.318
2015-03-03,19.174
2015-03-04,19.368
2015-03-05,19.488
2015-03-06,19.594
2015-03-09,19.564
2015-03-10,19.531
2015-03-11,19.777
2015-03-12,19.875
2015-03-13,19.912
2015-03-16,20.018
2015-03-17,19.992
2015-03-18,19.875
2015-03-19,20.088
2015-03-20,19.895
2015-03-23,19.752
2015-03-24,19.7
2015-03-25,19.323
2015-03-26,19.299
2015-03-27,19.302
2015-03-30,19.685
2015-03-31,19.799
2015-04-01,19.528
2015-04-02,19.469
2015-04-07,19.674
2015-04-08,19.709
2015-04-09,19.928
2015-04-10,20.29
2015-04-13,20.358
2015-04-14,20.087
2015-04-15,20.287
2015-04-16,20.065
2015-04-17,19.788
2015-04-20,20.006
2015-04-21,19.994
2015-04-22,20.05
2015-04-23,19.985
2015-04-24,19.966
2015-04-27,19.927
2015-04-28,19.704
2015-04-29,19.337
2015-04-30,19.219
2015-05-04,19.43
2015-05-05,19.176
2015-05-06,18.853
2015-05-07,18.964
2015-05-08,19.303
2015-05-11,19.423
2015-05-12,19.133
2015-05-13,18.965
2015-05-14,19.075
2015-05-15,18.999
2015-05-18,19.193
2015-05-19,19.611
2015-05-20,19.677
2015-05-21,19.661
2015-05-22,19.768
2015-05-26,19.859
