,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_x,KER FP Equity_y,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity,KER FP Equity
2006-03-08,6037721.0,403144634.09,8.79,13.91,5.02,579.6,2.0,223970146.28,4311209.0,3354303.0,287863711.29,,,6731.0,3.02,,,,8.37,32800.0,85511.0,,,3.02,6731.0,,,241711.0,414.01,22.0,,,45.67,45.67,5128898.0,342461618.79,,492.27,45.68,14.65,0.1217,19.16,0.6396
2006-03-15,5646062.0,390400880.26,8.22,12.96,4.69,546.41,1.0,222105652.31,3965224.0,3212140.0,274178168.79,,,15617.0,,,47251.0,,32.52,,361603.0,,,,15617.0,4.65,,189414.0,385.33,16.48,,,43.5,43.5,5149668.0,356077372.2,,501.36,43.46,14.48,0.1221,19.92,0.6194
2006-03-22,6385788.0,444448812.54,9.29,13.56,5.31,634.1,2.0,256788930.62,4245034.0,3689513.0,295453015.43,,39311.0,259642.0,57.88,3.9,,,4.68,503974.0,59980.0,,39311.0,57.88,259642.0,,40837.0,26601.0,421.97,2.08,,,45.66,45.66,5051503.0,351583001.17,,502.42,45.65,13.45,0.118,19.25,0.6869
2006-03-29,6313302.0,438301442.2,9.19,13.02,5.25,624.63,2.0,257684065.61,4178544.0,3711686.0,290095715.6,,,41534.0,0.93,,10900.0,,7.69,11803.0,70148.0,,,0.93,41534.0,1.13,5345.0,529.0,413.84,0.33,4.29,,45.58,45.58,4989880.0,346422775.34,43221.0,494.49,45.56,13.47,0.1187,19.36,0.6886
2006-04-05,6425298.0,445179233.72,9.35,13.23,5.34,638.24,2.0,258102463.56,4301547.0,3725208.0,298034331.99,,,259387.0,12.23,,,,16.26,119664.0,167141.0,,,12.23,259387.0,,30757.0,106143.0,427.14,9.81,,,46.1,46.1,5028678.0,348413881.92,,499.34,46.1,13.46,0.1171,19.81,0.6887
2006-04-12,6552768.0,437763670.57,9.54,14.28,5.45,638.35,2.0,254406816.56,4268629.0,3808148.0,285169671.71,,,72236.0,6.3,,20000.0,,26.09,116079.0,209920.0,,,6.3,72236.0,1.91,123789.0,53138.0,413.49,5.52,1.89,,49.59,49.59,4338431.0,289832858.28,19023.0,419.33,49.65,14.28,0.1143,19.62,0.7613
2006-04-19,6403790.0,436532768.8,9.32,13.71,5.32,621.68,2.0,257528559.32,4155634.0,3777858.0,283280747.2,,18864.0,229062.0,1.17,1.83,,,35.92,14816.0,366917.0,,18864.0,1.17,229062.0,,5997.0,45106.0,402.82,4.69,,,49.31,49.31,4272733.0,291263137.43,,413.76,49.33,14.27,0.1151,20.05,0.7598
2006-04-26,6256467.0,453582679.74,9.11,12.35,5.2,644.96,2.0,273556276.18,4013721.0,3773283.0,290987601.61,,,90614.0,33.13,,71546.0,,24.11,155680.0,273066.0,,,33.13,90614.0,7.42,59403.0,231801.0,414.34,21.4,1.83,,68.56,48.26,1840255.0,133415199.71,18864.0,0.0,163.4,14.6,0.118,22.08,0.7522
2006-05-03,6913073.0,494908552.69,5.75,14.75,5.75,713.33,2.0,318081018.74,4137523.0,4443078.0,296206263.07,,10950.0,69089.0,72.39,1.12,,,17.59,689483.0,165401.0,,10950.0,72.39,69089.0,,209995.0,19688.0,425.7,2.04,0.09,,68.46,46.33,1906555.0,136490729.33,830.0,0.0,156.76,13.19,0.1087,19.64,0.7741
2006-05-10,7372949.0,535555544.55,6.13,15.83,6.13,769.68,2.0,327241664.6,4519800.0,4505109.0,328308788.01,,,258967.0,34.22,,137790.0,,9.47,311541.0,113836.0,,,34.22,258967.0,16.38,237146.0,387300.0,469.76,38.37,,,72.07,50.65,1752024.0,127263347.05,,0.0,155.0,12.27,0.1053,21.9,0.8262
2006-05-17,7956877.0,547960824.34,11.58,16.11,6.61,816.25,2.0,333067747.72,5070289.0,4836439.0,349172136.26,,233952.0,375885.0,42.61,23.31,8000.0,,17.72,462467.0,152639.0,,233952.0,42.61,375885.0,0.8,93290.0,139137.0,515.42,14.4,,,78.26,54.26,1408492.0,96997658.43,,0.0,161.6,11.45,0.1069,22.71,0.8516
2006-05-24,9165845.0,612012583.66,13.34,16.12,7.62,894.45,2.0,371375195.34,5578816.0,5561924.0,372503090.98,,43793.0,268471.0,88.62,4.26,,,44.68,1036990.0,351486.0,,43793.0,88.62,268471.0,,547750.0,311505.0,538.42,40.17,,,79.7,56.42,1420712.0,94862352.76,,0.0,125.54,10.82,0.1008,21.37,0.9269
2006-05-31,10259984.0,693668529.17,14.93,18.45,8.53,1013.18,2.0,393884332.8,6395468.0,5825905.0,432391988.22,,132306.0,366986.0,55.17,13.05,20728.0,,44.91,538448.0,487700.0,,132306.0,55.17,366986.0,2.04,823852.0,295195.0,625.66,25.39,1.83,,77.22,56.4,1887058.0,127582338.07,18793.0,0.0,153.33,14.88,0.1054,21.57,0.9048
2006-06-07,10482377.0,675017151.14,15.26,18.83,8.71,974.59,2.0,376714798.05,6300909.0,5850024.0,405749730.5,,38898.0,101444.0,13.03,3.72,,,40.51,305709.0,270137.0,,38898.0,13.03,101444.0,,70430.0,281590.0,582.0,38.79,3.41,,76.54,55.72,1931245.0,124363347.94,35194.0,0.0,153.09,14.29,0.1093,22.82,0.9269
2006-06-14,9713888.0,640190831.99,14.14,17.52,8.07,894.56,2.0,353481680.32,6020205.0,5363528.0,396759778.13,,292.0,123219.0,20.47,0.03,,,62.21,242870.0,606069.0,,292.0,20.47,123219.0,,201854.0,729365.0,550.42,70.61,,,73.37,54.04,2184600.0,143975398.06,,0.0,147.33,14.56,0.0971,18.54,0.872
2006-06-21,9010454.0,632686052.42,13.11,13.55,7.49,879.54,2.0,324880908.45,6062115.0,4626820.0,425662858.8,,18764.0,402038.0,31.28,1.83,,,29.01,252513.0,432627.0,,18764.0,31.28,402038.0,,53734.0,989222.0,591.43,82.66,,,72.91,53.47,2252841.0,158187487.45,,0.0,144.51,12.48,0.0938,16.25,0.7947
2006-06-28,8153002.0,574529284.08,11.87,12.65,6.78,790.96,2.0,289462834.37,5580229.0,4107695.0,393229999.5,,,156215.0,6.1,,,,62.02,68774.0,629641.0,,,6.1,156215.0,,10304.0,587899.0,542.37,60.48,1.83,,48.11,48.11,6017753.0,424061630.66,18764.0,586.38,48.05,14.01,0.1064,17.73,0.703
2006-07-03,7985631.0,571917735.45,11.62,12.81,6.64,787.92,2.0,290210598.64,5432130.0,4052182.0,389040200.86,,18328.0,31658.0,18.27,1.81,,,15.04,185361.0,176627.0,,18328.0,18.27,31658.0,,3752.0,240873.0,536.57,20.07,2.47,,47.19,47.19,6079833.0,435427622.6,25210.0,601.09,47.16,14.13,0.1048,16.22,0.6937
2006-07-04,7982279.0,571677670.73,11.62,13.28,6.63,788.54,2.0,290906872.27,5424309.0,4061904.0,388480073.73,,,34707.0,1.18,,,,3.96,11854.0,41528.0,,,1.18,34707.0,,,2131.0,536.74,0.06,0.1,,46.8,46.8,6165580.0,441568681.46,1000.0,610.36,46.79,14.18,0.1051,16.26,0.6887
2006-07-05,7972920.0,560120148.71,11.6,13.68,6.63,786.46,2.0,285765235.97,5435712.0,4067669.0,381874120.62,,23329.0,26993.0,0.4,2.28,,,4.78,5764.0,48034.0,,23329.0,0.4,26993.0,,9115.0,,537.12,,,,46.6,46.6,6229892.0,437667508.7,,615.58,46.6,14.09,0.1054,16.31,0.6835
2006-07-06,8103605.0,574251583.76,11.79,13.09,6.73,792.27,2.0,299685004.14,5220740.0,4229033.0,369961049.85,,,121871.0,12.82,,25000.0,,30.09,140365.0,296154.0,,,12.82,121871.0,2.62,,4000.0,511.72,0.4,3.99,,44.97,44.97,6389741.0,452800807.67,40690.0,627.22,44.93,14.06,0.1023,16.27,0.698
2006-07-07,8034986.0,564480460.51,11.69,12.73,6.68,787.78,2.0,300992324.9,5303927.0,4284416.0,372615852.16,,9775.0,58216.0,25.58,0.96,,,1.31,259670.0,15029.0,,9775.0,25.58,58216.0,,30225.0,204288.0,521.26,19.69,,,45.72,45.72,6297451.0,442413719.27,,618.85,45.72,13.7,0.0935,14.18,0.6926
2006-07-10,8380136.0,598063555.29,12.2,13.27,6.96,823.08,2.0,322648481.68,5330402.0,4520988.0,380413775.05,,,79345.0,27.28,,,,16.2,283726.0,168370.0,,,27.28,79345.0,,115500.0,47154.0,525.3,4.96,,,45.83,45.83,6301147.0,449692746.9,,627.02,45.59,13.09,0.0927,13.63,0.7205
2006-07-11,8254104.0,583730059.32,12.01,12.66,6.86,812.35,2.0,325692163.49,5116524.0,4605377.0,361840468.46,,,38093.0,15.79,,,,37.41,145000.0,387355.0,,,15.79,38093.0,,152824.0,60610.0,505.26,5.94,1.73,,43.96,43.96,6522109.0,461243409.76,17440.0,644.13,43.96,13.27,0.0984,13.73,0.7092
2006-07-12,8131191.0,582050308.9,11.83,12.26,6.76,801.17,2.0,322435984.53,5288484.0,4504402.0,378562469.61,,18080.0,109969.0,45.56,1.8,,,22.23,459844.0,227915.0,,18080.0,45.56,109969.0,,271825.0,560820.0,522.42,55.98,,,45.28,45.28,6391553.0,457522815.29,,633.84,45.18,13.53,0.1016,18.13,0.6962
2006-07-13,7760355.0,550764216.25,11.3,11.44,6.45,766.4,2.0,306676611.01,5007226.0,4321122.0,355370457.08,,,41808.0,36.94,,,,31.06,370359.0,312997.0,,,36.94,41808.0,,8012.0,553639.0,495.95,54.81,1.8,,43.03,43.03,6628046.0,470402521.59,18080.0,658.2,42.97,14.27,0.1163,23.96,0.667
2006-07-14,7662043.0,539932172.15,11.15,11.19,6.37,752.63,2.0,304225055.23,4969530.0,4317182.0,350194997.27,,,30291.0,0.87,,,,7.63,9102.0,67987.0,,,0.87,30291.0,,,13041.0,489.3,2.22,,,42.78,42.78,6646479.0,468366967.35,,657.27,42.67,14.54,0.119,24.31,0.6596
2006-07-17,7463238.0,524045357.59,10.86,10.95,6.2,731.63,2.0,298662624.1,4845342.0,4253430.0,340224843.57,,,12795.0,1.88,,,,13.57,19473.0,136983.0,,,1.88,12795.0,,,83226.0,476.11,8.63,,,41.83,41.83,6738604.0,473163812.12,,664.21,41.75,14.98,0.1232,24.89,0.6443
2006-07-18,6784058.0,479280867.92,9.87,9.84,5.64,663.87,2.0,244238354.18,4821438.0,3457111.0,340625476.56,,,129790.0,6.28,,,,15.29,64495.0,153694.0,,,6.28,129790.0,,,860813.0,473.42,84.81,,,41.56,41.56,6779560.0,478963092.72,,668.71,41.45,16.61,0.1074,17.19,0.5848
2006-07-19,6667428.0,475353865.26,9.7,9.75,5.54,651.75,2.0,245218938.93,4362888.0,3439500.0,311051829.06,,,17123.0,13.2,,42900.0,,46.95,136155.0,475673.0,,,13.2,17123.0,4.22,,196666.0,427.61,19.38,,,37.29,37.29,7335874.0,523010681.33,,721.59,37.21,16.9,0.1161,19.25,0.5699
2006-07-20,6717878.0,481364760.88,9.78,10.13,5.58,661.33,2.0,255079446.48,4294928.0,3559863.0,307750005.24,,,24505.0,15.18,,,,8.73,140363.0,92465.0,,,15.18,24505.0,,,20000.0,424.07,1.93,,,36.96,36.96,7324401.0,524824734.23,,726.21,36.87,16.76,0.117,19.13,0.5782
2006-07-21,6767411.0,487832251.49,9.85,10.23,5.62,668.66,2.0,260430230.54,4303029.0,3612796.0,310186026.13,,,12782.0,8.47,,,,0.0,84035.0,4682.0,,,8.47,12782.0,,,31102.0,426.63,2.67,,,37.0,37.0,7325297.0,528047746.52,,729.46,36.9,16.61,0.1159,18.66,0.582
2006-07-24,6870506.0,498720384.73,10.0,10.38,5.71,682.84,2.0,272140308.52,4274734.0,3749078.0,310296939.57,,,13274.0,14.75,,,,3.88,136282.0,41569.0,,,14.75,13274.0,,,,426.19,,,,36.84,36.84,7328218.0,531945056.2,,735.95,36.67,16.48,0.117,18.38,0.5921
2006-07-25,6832519.0,498418223.92,9.94,10.35,5.68,681.67,2.0,278103683.76,4275716.0,3812358.0,311904697.91,,,8493.0,14.3,,,,10.4,137655.0,108751.0,,,14.3,8493.0,,101240.0,74375.0,428.05,7.01,,,36.54,36.54,7425576.0,541680513.65,,748.7,36.38,17.79,0.1182,18.42,0.5839
2006-07-26,6725710.0,497877368.08,9.79,10.38,5.59,673.58,2.0,283615716.77,4066007.0,3831299.0,300990209.77,,,42320.0,13.32,,,,27.39,134167.0,280130.0,,,13.32,42320.0,,28100.0,115226.0,411.12,11.58,,,34.49,34.49,7722606.0,571673585.39,,788.23,34.28,17.74,0.1259,20.52,0.5705
2006-07-27,6868289.0,517810761.53,10.0,11.24,5.71,695.0,2.0,298271478.65,4194223.0,3956300.0,316208855.75,,,34032.0,15.64,,,,0.3,131861.0,7521.0,,,15.64,34032.0,,101705.0,6860.0,429.2,0.81,,,35.51,35.51,7617912.0,574325980.46,,785.57,35.33,17.73,0.1277,21.0,0.5815
2006-07-28,6831924.0,516542177.85,9.94,11.25,5.68,696.93,2.0,297986683.55,4194143.0,3941251.0,317107122.31,,,19792.0,2.29,,,,1.91,12486.0,25772.0,,,2.29,19792.0,,5900.0,27534.0,432.77,2.51,,,35.54,35.54,7606722.0,575122432.31,,790.81,35.37,17.36,0.1279,21.33,0.5789
2006-07-31,6857505.0,515519194.82,9.98,11.54,5.7,701.58,2.0,295796917.6,4253963.0,3934730.0,319795549.63,,,33394.0,24.48,,,,1.5,229904.0,15416.0,,,24.48,33394.0,,41842.0,236425.0,439.7,23.83,,,36.05,36.05,7545549.0,567243530.26,,784.51,35.92,17.47,0.1234,19.86,0.5812
2006-08-01,6971392.0,514060089.44,10.15,12.05,5.79,709.79,2.0,297945629.16,4280146.0,4040570.0,315611607.49,,,34341.0,12.86,,,,3.43,123000.0,26314.0,,,12.86,34341.0,,18156.0,17160.0,439.23,2.34,,,36.35,36.35,7493414.0,552553216.21,,772.49,36.25,17.18,0.1226,20.42,0.5921
2006-08-02,7198501.0,533393547.34,10.48,12.51,5.98,729.17,2.0,314877612.95,4191253.0,4249483.0,310562894.34,,,149098.0,25.38,,,,26.09,248000.0,242991.0,,,25.38,149098.0,,5000.0,39087.0,427.74,4.61,,,35.3,35.3,7680633.0,569118498.65,,787.17,35.21,16.6,0.1326,23.76,0.6063
2006-08-03,7435756.0,547767193.92,10.82,12.96,6.18,754.9,2.0,333478512.71,4263636.0,4526859.0,314087757.54,,,39008.0,29.22,,,,7.75,277376.0,77393.0,,,29.22,39008.0,,110769.0,,435.95,,,,36.04,36.04,7567939.0,557504672.0,,776.46,35.96,17.18,0.1329,23.45,0.6285
2006-08-04,7397831.0,546036749.14,10.77,12.86,6.15,748.79,2.0,331750293.8,4233326.0,4494629.0,312463418.95,,,3923.0,2.32,,,,8.77,23555.0,79283.0,,,2.32,3923.0,,45050.0,55786.0,431.9,6.42,,,35.62,35.62,7651177.0,564736314.76,,784.11,35.52,17.23,0.1328,23.12,0.6225
2006-08-07,7635178.0,557519288.39,11.11,13.19,6.35,774.89,2.0,339297306.34,4304672.0,4646647.0,314326354.96,,,113071.0,20.23,,,,4.1,191797.0,41725.0,,,20.23,113071.0,,,39779.0,439.64,3.64,,,36.25,36.25,7571867.0,552896330.86,,775.11,36.19,16.92,0.1406,25.52,0.6429
2006-08-08,7701591.0,564582803.6,11.21,13.45,6.4,779.24,2.0,341296186.99,4323410.0,4655692.0,316937492.39,,,43992.0,4.48,,,,12.41,43386.0,115254.0,,,4.48,43992.0,,90000.0,34341.0,440.12,3.96,,,36.25,36.25,7601886.0,557273699.75,,776.37,36.18,16.78,0.138,25.19,0.6458
2006-08-09,7680185.0,561357665.33,11.18,13.51,6.38,774.94,2.0,323599987.95,4515014.0,4427316.0,330009982.57,,,68182.0,0.39,,,,0.98,6928.0,6806.0,,,0.39,68182.0,,130229.0,235304.0,457.19,24.23,,,37.94,37.94,7383918.0,539703010.99,,749.89,37.88,17.12,0.1335,23.77,0.6455
2006-08-10,7323131.0,529470547.33,10.66,13.21,6.09,738.1,2.0,303829029.6,4385185.0,4202273.0,317053771.41,,,6327.0,,,,,13.93,,136157.0,,,,6327.0,,,225042.0,443.19,22.92,,,38.85,38.85,6900987.0,498949064.82,,698.88,38.81,18.12,0.1337,22.67,0.6489
2006-08-11,7074248.0,511984454.04,10.3,12.74,5.88,712.11,2.0,286687058.0,4374908.0,3961244.0,316625157.03,,,9897.0,6.27,,,,1.65,61771.0,20174.0,,,6.27,9897.0,,,302800.0,442.35,30.56,,,38.73,38.73,6921868.0,500956258.37,,700.22,38.72,18.78,0.1248,19.01,0.6262
2006-08-14,7117607.0,521772516.23,10.36,12.99,5.92,716.16,2.0,286783489.57,4467627.0,3912073.0,327509650.55,,,63181.0,0.1,,,,0.31,1697.0,3041.0,,,0.1,63181.0,,32579.0,50868.0,451.44,5.22,,,39.54,39.54,6831048.0,500765651.07,,694.57,39.39,18.75,0.1263,19.01,0.63
2006-08-15,6911953.0,514644759.39,10.06,12.69,5.74,698.29,2.0,278413167.18,4434430.0,3739237.0,330175300.72,,,9897.0,1.26,,,,3.76,8264.0,43095.0,,,1.26,9897.0,,,181100.0,451.09,18.49,,,39.18,39.18,6883616.0,512534865.33,,706.84,38.96,18.95,0.1303,19.27,0.6107
2006-08-16,6920847.0,515306981.84,10.07,12.48,5.75,705.09,2.0,275998966.5,4412689.0,3706813.0,328556526.45,,,14685.0,1.62,,,,6.79,8017.0,68422.0,,,1.62,14685.0,,31995.0,40441.0,454.39,4.05,,,38.56,38.56,7031511.0,523546714.9,,727.1,38.46,18.77,0.1297,19.26,0.6047
2006-08-17,6945749.0,522652208.29,10.11,13.47,5.77,709.64,2.0,279127133.38,4433650.0,3709440.0,333622329.76,,,36375.0,1.04,,,,1.36,10000.0,15414.0,,,1.04,36375.0,,,7373.0,458.21,0.29,,,39.02,39.02,6927835.0,521304219.52,,719.89,38.89,18.93,0.1301,19.29,0.6113
2006-08-18,7993554.0,599199227.16,11.63,15.67,6.64,819.74,2.0,351492457.26,4499082.0,4689048.0,337252548.41,,,71629.0,105.14,,,,0.42,1019159.0,6197.0,,,105.14,71629.0,,,39551.0,467.13,4.01,,,39.73,39.73,6823941.0,511524682.68,,709.53,39.7,16.51,0.1607,29.73,0.706
2006-08-21,7061819.0,528341025.15,10.28,13.94,5.87,722.56,2.0,277700452.03,4545055.0,3711751.0,340045393.13,,,46495.0,2.25,,,,0.4,21461.0,1823.0,,,2.25,46495.0,,1300.0,998758.0,470.16,102.84,,,38.61,38.61,7226649.0,540673039.21,,750.4,38.52,18.9,0.1293,19.04,0.5999
2006-08-22,7047638.0,526773538.46,10.26,14.55,5.86,723.31,2.0,279300288.08,4527314.0,3736724.0,338392694.9,,,26341.0,5.82,,,,6.11,55000.0,64082.0,,,5.82,26341.0,,20000.0,30027.0,470.46,2.28,,,38.49,38.49,7236261.0,540872106.68,,751.7,38.49,18.69,0.129,19.37,0.5991
2006-08-23,7198812.0,537555614.79,10.48,15.68,5.98,732.04,2.0,281113309.73,4634988.0,3764600.0,346107638.86,,,31527.0,1.74,,,,9.81,27876.0,37778.0,,,1.74,31527.0,,113925.0,,473.14,,,,38.56,38.56,7386358.0,551560204.07,,751.67,38.63,18.7,0.1297,19.44,0.5988
2006-08-24,8397585.0,625260778.21,12.22,19.35,6.98,857.13,2.0,369931431.98,4635303.0,4968376.0,345131744.55,,,3289.0,125.61,,,,0.1,1207901.0,2974.0,,,125.61,3289.0,,,4125.0,473.36,0.1,,,38.78,38.78,7317546.0,544844083.93,,743.24,38.91,15.56,0.1718,32.87,0.7026
2006-08-25,9348540.0,696738116.17,13.61,22.58,7.77,953.13,2.0,444534903.11,4635831.0,5964583.0,345504234.65,,,4427.0,101.42,,,,0.51,996207.0,3899.0,,,101.42,4427.0,,,,472.6,,,,38.77,38.77,7321063.0,545632114.0,,744.0,38.85,25.03,0.1803,29.12,0.7819
2006-08-28,9295361.0,696783073.88,13.53,22.97,7.73,947.36,2.0,445419890.34,4630710.0,5942077.0,347119423.12,,,32075.0,0.32,,,,4.73,4019.0,45395.0,,,0.32,32075.0,,8200.0,26525.0,471.93,2.73,,,39.01,39.01,7241186.0,542801494.17,,737.33,39.03,25.29,0.1807,29.0,0.783
2006-08-29,9328135.0,705273531.76,13.58,24.01,7.75,952.76,2.0,449091165.46,4661267.0,5939799.0,352425028.11,,,1131.0,0.75,,,,0.65,2722.0,7443.0,,,0.75,1131.0,,36868.0,5000.0,476.7,0.52,,,39.29,39.29,7203509.0,544636653.9,,736.9,39.28,25.14,0.1793,28.83,0.7862
2006-08-30,9227552.0,716237869.58,13.43,24.15,7.67,954.3,2.0,458306367.65,4534376.0,5904527.0,351955947.38,,,14651.0,1.46,,,,6.86,13757.0,144872.0,,,1.46,14651.0,,3329.0,49028.0,475.68,2.17,,,38.01,38.01,7396119.0,574082976.26,,789.66,37.59,25.33,0.1788,28.47,0.7734
2006-08-31,9296827.0,720278635.67,13.53,23.02,7.73,970.43,2.0,456185887.73,4621493.0,5888112.0,358053631.93,,,117646.0,8.43,,,,3.37,56587.0,37464.0,,,8.43,117646.0,,6935.0,73003.0,491.54,6.39,,,39.03,39.03,7218460.0,559255595.54,,777.16,38.74,25.81,0.1803,28.61,0.7852
2006-09-01,8293213.0,652059407.1,12.07,20.35,6.89,867.3,2.0,387764887.15,4622601.0,4931785.0,363455088.79,,,65435.0,7.84,,,,9.21,69341.0,87562.0,,,7.84,65435.0,,23236.0,1025668.0,493.25,107.2,,,39.02,39.02,7223552.0,567956597.07,,782.06,38.68,15.27,0.1706,32.6,0.7001
