,ANRJ FP Equity_DX_SI_QTY,ANRJ FP Equity_DX_SHORT_INTEREST_VALUE,ANRJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ANRJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ANRJ FP Equity_DX_SI_MV,ANRJ FP Equity_DX_DSS,ANRJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ANRJ FP Equity_DX_SUPPLY_SI_QTY,ANRJ FP Equity_DX_BROKER_SI_QTY,ANRJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ANRJ FP Equity_DX_BROKER_SI_MV_NEW_x,ANRJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,ANRJ FP Equity_DX_BROKER_SI_MV_INC_x,ANRJ FP Equity_DX_BROKER_SI_QTY_ADD,ANRJ FP Equity_DX_BROKER_SI_QTY_NEW,ANRJ FP Equity_DX_SUPPLY_SI_MV_DEC,ANRJ FP Equity_DX_BROKER_SI_QTY_INC,ANRJ FP Equity_DX_SUPPLY_SI_QTY_DEC,ANRJ FP Equity_DX_BROKER_SI_MV_NEW_y,ANRJ FP Equity_DX_BROKER_SI_MV_INC_y,ANRJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,ANRJ FP Equity_DX_BROKER_SI_MV_ADD,ANRJ FP Equity_DX_SUPPLY_SI_QTY_ADD,ANRJ FP Equity_DX_BROKER_SI_QTY_DEC,ANRJ FP Equity_DX_SUPPLY_SI_MV,ANRJ FP Equity_DX_BROKER_SI_MV_DEC,ANRJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ANRJ FP Equity_DX_UTILIZATION_QUANTITY,ANRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ANRJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ANRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ANRJ FP Equity_DX_ACTIVE_UTILIZATION_MV,ANRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ANRJ FP Equity_DX_BROKER_SI_CON_RATIO,ANRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ANRJ FP Equity_DX_DEMAND_SUPPLY_RATIO,ANRJ FP Equity_PX_LAST
2011-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.88
2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.53
2011-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.29
2011-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.87
2011-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.74
2011-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.35
2011-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.93
2011-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.25
2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.92
2011-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.38
2011-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.11
2011-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.44
2011-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.11
2011-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.69
2011-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.56
2011-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.87
2011-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.76
2011-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.73
2011-03-17,2400.0,441048.0,1.6,1.69,0.43,,441048.0,0.0,2400.0,0.0,,,,2400.0,,,,,,,,0.43,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,183.77
2011-03-18,2400.0,441744.0,1.49,1.69,0.44,,441744.0,0.0,2400.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,184.06
2011-03-21,2400.0,446496.0,1.56,1.69,0.44,,446496.0,0.0,2400.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,186.04
2011-03-22,2400.0,449904.0,1.56,1.69,0.45,,449904.0,0.0,2400.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,187.46
2011-03-23,2400.0,451800.0,1.56,1.69,0.45,,451800.0,0.0,2400.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,188.25
2011-03-24,2400.0,455832.0,1.56,1.69,0.45,,455832.0,0.0,2400.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,189.93
2011-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.94
2011-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.89
2011-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.74
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.28
2011-03-31,5000.0,947800.0,3.09,3.52,0.95,,947800.0,0.0,5000.0,0.0,,,,5000.0,,,,,,,,0.95,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,189.56
2011-04-01,5000.0,963550.0,3.36,3.52,0.95,,963550.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,192.71
2011-04-04,5000.0,964450.0,3.64,3.52,0.96,,964450.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,192.89
2011-04-05,5000.0,969650.0,3.64,3.52,0.96,,969650.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,193.93
2011-04-06,5000.0,964950.0,4.02,3.52,0.97,,964950.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,192.99
2011-04-07,5000.0,959650.0,4.08,3.52,0.97,,959650.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,191.93
2011-04-08,5000.0,965150.0,4.51,3.52,0.96,,965150.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,193.03
2011-04-11,5000.0,962500.0,9.7,3.52,0.97,,962500.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,192.5
2011-04-12,5000.0,951500.0,10.05,3.52,0.96,,951500.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,190.3
2011-04-13,5000.0,935150.0,10.04,3.52,0.95,,935150.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,187.03
2011-04-14,5000.0,928900.0,10.04,3.52,0.94,,928900.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,185.78
2011-04-15,5000.0,927350.0,10.04,3.52,0.93,,927350.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,185.47
2011-04-18,5000.0,913450.0,10.04,3.52,0.93,,913450.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,182.69
2011-04-19,5000.0,916150.0,10.04,3.52,0.92,,916150.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,183.23
2011-04-20,5000.0,939350.0,10.35,3.52,0.92,,939350.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,187.87
2011-04-21,5000.0,943150.0,12.42,3.52,0.94,,943150.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,188.63
2011-04-22,5000.0,943150.0,17.85,3.52,0.94,,943150.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2011-04-25,5000.0,943150.0,17.85,3.52,0.94,,943150.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,
2011-04-26,5000.0,942150.0,17.85,3.52,0.94,,942150.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,188.43
2011-04-27,5000.0,948750.0,17.89,3.52,0.95,,948750.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,189.75
2011-04-28,5000.0,949700.0,9.32,3.52,0.95,,949700.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,189.94
2011-04-29,5000.0,952850.0,9.32,3.52,0.95,,952850.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,190.57
2011-05-02,10200.0,1938918.0,19.02,7.17,1.93,,1938918.0,0.0,10200.0,0.0,,,0.99,,,,5200.0,,,0.99,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,190.09
2011-05-03,10200.0,1904748.0,20.14,7.17,1.94,,1904748.0,0.0,10200.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,186.74
2011-05-04,10200.0,1862214.0,14.63,7.17,1.9,,1862214.0,0.0,10200.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,182.57
2011-05-05,14800.0,2675544.0,21.23,10.41,2.73,,2675544.0,0.0,14800.0,0.0,,,0.79,,,,4600.0,,,0.79,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,180.78
2011-05-06,14800.0,2718020.0,21.23,10.41,2.66,,2718020.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,183.65
2011-05-09,14800.0,2718464.0,21.23,10.41,2.73,,2718464.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,183.68
2011-05-10,14800.0,2736372.0,21.23,10.41,2.75,,2736372.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,184.89
2011-05-11,14800.0,2730896.0,21.26,10.41,2.73,,2730896.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,184.52
2011-05-12,14800.0,2686940.0,24.11,10.41,2.69,,2686940.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,181.55
2011-05-13,14800.0,2669772.0,18.78,10.41,2.67,,2669772.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,180.39
2011-05-16,14800.0,2665480.0,18.78,10.41,2.66,,2665480.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,180.1
2011-05-17,14800.0,2637952.0,18.75,10.41,2.65,,2637952.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,178.24
2011-05-18,14800.0,2665480.0,18.79,10.41,2.66,,2665480.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,180.1
2011-05-19,14800.0,2691232.0,18.82,10.41,2.69,,2691232.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,181.84
2011-05-20,14800.0,2707216.0,20.95,10.41,2.7,,2707216.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,182.92
2011-05-23,14800.0,2658524.0,20.98,10.41,2.66,,2658524.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,179.63
2011-05-24,14800.0,2681316.0,21.03,10.41,2.68,,2681316.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,181.17
2011-05-25,14800.0,2693452.0,21.03,10.41,2.69,,2693452.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,181.99
2011-05-26,14800.0,2712988.0,21.03,10.41,2.72,,2712988.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,183.31
2011-05-27,14800.0,2723052.0,21.03,10.41,2.72,,2723052.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,183.99
2011-05-30,14800.0,2717132.0,21.03,10.41,2.72,,2717132.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,183.59
2011-05-31,14800.0,2746436.0,19.9,10.41,2.75,,2746436.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,185.57
2011-06-01,14800.0,2699668.0,15.43,10.41,2.69,,2699668.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,182.41
2011-06-02,14800.0,2644464.0,15.43,10.41,2.68,,2644464.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,178.68
2011-06-03,14800.0,2629072.0,15.43,10.41,2.66,,2629072.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,177.64
2011-06-06,14800.0,2620636.0,15.43,10.41,2.62,,2620636.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,177.07
2011-06-07,14800.0,2613828.0,14.24,10.41,2.62,,2613828.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,176.61
2011-06-08,14800.0,2601692.0,14.24,10.41,2.6,,2601692.0,0.0,14800.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,175.79
