,CRP FP Equity_DX_SI_QTY,CRP FP Equity_DX_SHORT_INTEREST_VALUE,CRP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CRP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CRP FP Equity_DX_SI_MV,CRP FP Equity_DX_DSS,CRP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CRP FP Equity_DX_SUPPLY_SI_QTY,CRP FP Equity_DX_BROKER_SI_QTY,CRP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CRP FP Equity_DX_BROKER_SI_MV_NEW_x,CRP FP Equity_DX_SUPPLY_SI_QTY_INC_x,CRP FP Equity_DX_BROKER_SI_MV_INC_x,CRP FP Equity_DX_BROKER_SI_QTY_ADD,CRP FP Equity_DX_BROKER_SI_QTY_NEW,CRP FP Equity_DX_SUPPLY_SI_MV_DEC,CRP FP Equity_DX_BROKER_SI_QTY_INC,CRP FP Equity_DX_SUPPLY_SI_QTY_DEC,CRP FP Equity_DX_BROKER_SI_MV_NEW_y,CRP FP Equity_DX_BROKER_SI_MV_INC_y,CRP FP Equity_DX_SUPPLY_SI_QTY_INC_y,CRP FP Equity_DX_BROKER_SI_MV_ADD,CRP FP Equity_DX_SUPPLY_SI_QTY_ADD,CRP FP Equity_DX_BROKER_SI_QTY_DEC,CRP FP Equity_DX_SUPPLY_SI_MV,CRP FP Equity_DX_BROKER_SI_MV_DEC,CRP FP Equity_DX_SUPPLY_SI_MV_RMV,CRP FP Equity_DX_BROKER_SI_MV_RMV,CRP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CRP FP Equity_DX_UTILIZATION_QUANTITY,CRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CRP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CRP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CRP FP Equity_DX_ACTIVE_UTILIZATION_MV,CRP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CRP FP Equity_DX_BROKER_SI_CON_RATIO,CRP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CRP FP Equity_DX_DEMAND_SUPPLY_RATIO,CRP FP Equity_PX_LAST
2009-07-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,815.0,87229.45,,0.09,0.0,,0.0,,0.0,107.03
2009-07-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,815.0,87555.45,,0.09,0.0,,0.0,,0.0,107.43
2009-07-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,815.0,87400.6,,0.09,0.0,,0.0,,0.0,107.24
2009-07-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,815.0,87490.25,,0.09,0.0,,0.0,,0.0,107.35
2009-07-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,815.0,87791.8,,0.09,0.0,,0.0,,0.0,107.72
2009-07-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,815.0,87881.45,,0.09,0.0,,0.0,,0.0,107.83
2009-07-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1095.0,118019.1,,0.12,0.0,,0.0,,0.0,107.78
2009-07-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1095.0,118051.95,,0.12,0.0,,0.0,,0.0,107.81
2009-07-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1095.0,118073.85,,0.12,0.0,,0.0,,0.0,107.83
2009-07-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1095.0,118369.5,,0.12,0.0,,0.0,,0.0,108.1
2009-07-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,101167.0,,0.1,0.0,,0.0,,0.0,108.2
2009-07-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,101213.75,,0.1,0.0,,0.0,,0.0,108.25
2009-07-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,101597.1,,0.1,0.0,,0.0,,0.0,108.66
2009-08-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,101456.85,,0.1,0.0,,0.0,,0.0,108.51
2009-08-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,101120.25,,0.1,0.0,,0.0,,0.0,108.15
2009-08-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,101269.85,,0.1,0.0,,0.0,,0.0,108.31
2009-08-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,100942.6,,0.1,0.0,,0.0,,0.0,107.96
2009-08-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,935.0,100858.45,,0.1,0.0,,0.0,,0.0,107.87
2009-08-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,179313.2,,0.18,0.0,,0.0,,0.0,108.02
2009-08-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,179794.6,,0.18,0.0,,0.0,,0.0,108.31
2009-08-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,179761.4,,0.18,0.0,,0.0,,0.0,108.29
2009-08-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,179993.8,,0.18,0.0,,0.0,,0.0,108.43
2009-08-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,180276.0,,0.18,0.0,,0.0,,0.0,108.6
2009-08-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,180707.6,,0.18,0.0,,0.0,,0.0,108.86
2009-08-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,180491.8,,0.18,0.0,,0.0,,0.0,108.73
2009-08-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,180707.6,,0.18,0.0,,0.0,,0.0,108.86
2009-08-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,180259.4,,0.18,0.0,,0.0,,0.0,108.59
2009-08-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,180259.4,,0.18,0.0,,0.0,,0.0,108.59
2009-08-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1660.0,179844.4,,0.18,0.0,,0.0,,0.0,108.34
2009-08-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,234424.8,,0.23,0.0,,0.0,,0.0,108.53
2009-08-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,237600.0,,0.23,0.0,,0.0,,0.0,110.0
2009-08-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235180.8,,0.23,0.0,,0.0,,0.0,108.88
2009-08-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235418.4,,0.24,0.0,,0.0,,0.0,108.99
2009-08-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235008.0,,0.24,0.0,,0.0,,0.0,108.8
2009-09-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235418.4,,0.24,0.0,,0.0,,0.0,108.99
2009-09-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235612.8,,0.24,0.0,,0.0,,0.0,109.08
2009-09-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235137.6,,0.24,0.0,,0.0,,0.0,108.86
2009-09-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235591.2,,0.24,0.0,,0.0,,0.0,109.07
2009-09-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235224.0,,0.23,0.0,,0.0,,0.0,108.9
2009-09-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235116.0,,0.23,0.0,,0.0,,0.0,108.85
2009-09-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235310.4,,0.24,0.0,,0.0,,0.0,108.94
2009-09-10,6057.0,662272.38,1.54,0.2,0.66,1.0,662272.38,0.0,6057.0,0.0,,,,6057.0,,,,,,,,0.66,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.8042,109.34
2009-09-11,6057.0,662030.1,1.3,0.2,0.66,1.0,662030.1,0.0,6057.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,2.8042,109.3
2009-09-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,6057.0,0.0,0.66,,,0.0,0.0,2160.0,236001.6,,0.24,0.0,,0.0,,0.0,109.26
2009-09-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235656.0,,0.24,0.0,,0.0,,0.0,109.1
2009-09-16,1064.0,115933.44,0.18,0.04,0.12,0.0,115933.44,0.0,1064.0,0.0,,,,1064.0,,,,,,,,0.12,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.4926,108.96
2009-09-17,1064.0,116029.2,0.18,0.04,0.12,0.0,116029.2,0.0,1064.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.4926,109.05
2009-09-18,1064.0,115880.24,0.19,0.04,0.12,0.0,115880.24,0.0,1064.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.4926,108.91
2009-09-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1064.0,0.0,0.12,,,0.0,0.0,2160.0,235677.6,,0.24,0.0,,0.0,,0.0,109.11
2009-09-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235288.8,,0.24,0.0,,0.0,,0.0,108.93
2009-09-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,234532.8,,0.24,0.0,,0.0,,0.0,108.58
2009-09-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,236692.8,,0.23,0.0,,0.0,,0.0,109.58
2009-09-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,236692.8,,0.24,0.0,,0.0,,0.0,109.58
2009-09-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,235915.2,,0.24,0.0,,0.0,,0.0,109.22
2009-09-29,2080.0,228155.2,0.21,0.06,0.23,0.0,228155.2,0.0,2080.0,0.0,,,,2080.0,,,,,,,,0.23,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.963,109.69
2009-09-30,2080.0,227656.0,0.19,0.06,0.23,0.0,227656.0,0.0,2080.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.963,109.45
2009-10-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,2080.0,0.0,0.23,,,0.0,0.0,2160.0,236455.2,,0.24,0.0,,0.0,,0.0,109.47
2009-10-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,237362.4,,0.24,0.0,,0.0,,0.0,109.89
2009-10-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,237297.6,,0.24,0.0,,0.0,,0.0,109.86
2009-10-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,237081.6,,0.23,0.0,,0.0,,0.0,109.76
2009-10-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,237319.2,,0.24,0.0,,0.0,,0.0,109.87
2009-10-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2160.0,237319.2,,0.24,0.0,,0.0,,0.0,109.87
2009-10-09,1456.0,159577.6,0.11,0.04,0.16,0.0,159577.6,0.0,1456.0,0.0,,,,1456.0,,,,,,,,0.16,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.6741,109.6
2009-10-12,2776.0,303860.96,0.2,0.08,0.3,0.0,303860.96,0.0,2776.0,0.0,,,0.14,,,,1320.0,,,0.14,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.2852,109.46
2009-10-13,2776.0,303500.08,0.2,0.08,0.3,0.0,303500.08,0.0,2776.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.2852,109.33
2009-10-14,2776.0,304471.68,0.16,0.08,0.3,0.0,304471.68,0.0,2776.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.2852,109.68
2009-10-15,2776.0,303860.96,0.16,0.08,0.3,0.0,303860.96,0.0,2776.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.4727,109.46
2009-10-16,2776.0,303944.24,0.15,0.08,0.3,0.0,303944.24,0.0,2776.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.4727,109.49
2009-10-19,2776.0,303999.76,0.15,0.08,0.3,0.0,303999.76,0.0,2776.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.4727,109.51
