,ALVIA FP Equity_PX_LAST
2008-09-10,10.75
2008-10-01,10.75
2008-10-07,10.8
2009-06-12,10.8
2009-09-09,10.3
2009-12-21,10.3
2010-01-18,11.0
2010-01-20,11.0
2010-01-26,11.0
2010-02-02,12.0
2010-02-25,9.72
2010-02-26,10.14
2010-03-01,10.75
2010-03-11,10.74
2010-04-01,10.74
2010-04-14,11.28
2010-06-15,10.49
2010-06-17,11.15
2010-06-18,11.34
2010-06-30,12.15
2010-11-24,12.01
2010-11-29,9.76
2010-11-30,10.73
2010-12-16,10.73
2011-01-10,10.73
2011-04-26,10.73
2011-06-07,10.0
2011-12-19,9.6
2012-05-08,9.5
2012-06-25,12.6
2013-06-19,11.53
2015-04-08,12.67
2015-04-09,13.92
2015-04-10,15.3
2015-04-13,16.82
2015-04-14,18.49
2015-04-15,20.32
2015-04-21,22.0
2015-04-28,24.0
2015-05-05,24.0
2015-05-07,26.3
2015-05-13,28.9
2015-05-15,28.9
2015-08-20,29.41
2015-09-09,28.0
2015-09-10,28.45
2015-09-11,28.72
2015-09-14,28.72
2015-09-15,28.69
2015-09-16,28.69
2015-09-17,28.88
2015-09-18,28.87
2015-09-21,29.0
2015-09-22,29.12
2015-09-23,29.12
2015-09-24,29.12
2015-09-25,29.12
2015-09-28,29.12
2015-09-29,29.22
2015-09-30,29.26
2015-10-01,29.5
2015-10-02,29.6
2015-10-05,29.6
2015-10-06,29.64
2015-10-07,29.63
2015-10-08,29.63
2015-10-09,29.63
2015-10-12,29.64
2015-10-13,29.64
2015-10-14,29.64
2015-10-15,29.64
2015-10-16,29.64
2015-10-19,29.64
2015-10-20,29.64
2015-10-21,30.0
2015-10-22,30.0
2015-10-23,30.2
2015-10-26,30.2
2015-10-27,30.2
2015-10-28,30.25
2015-10-29,30.4
2015-10-30,29.99
2015-11-02,30.0
2015-11-03,29.99
2015-11-04,28.4
2015-11-05,28.41
2015-11-06,28.4
2015-11-09,28.4
2015-11-10,28.39
2015-11-11,28.39
2015-11-12,28.39
2015-11-13,28.39
2015-11-16,27.6
2015-11-17,28.9
2015-11-18,28.95
2015-11-19,28.9
2015-11-20,28.9
2015-11-23,28.9
2015-11-24,28.9
2015-11-25,28.9
2015-11-26,31.2
2015-11-27,30.49
2015-11-30,30.49
2015-12-01,30.5
2015-12-02,30.49
2015-12-03,30.49
2015-12-04,30.49
2015-12-07,30.49
2015-12-08,30.49
2015-12-09,30.49
2015-12-10,30.48
2015-12-11,30.5
2015-12-14,30.5
2015-12-15,30.49
2015-12-16,30.49
2015-12-17,30.49
2015-12-18,30.49
2015-12-21,30.49
2015-12-22,30.49
2015-12-23,30.49
2015-12-24,30.49
2015-12-28,30.49
2015-12-29,30.49
2015-12-30,30.49
2015-12-31,30.49
2016-01-04,30.49
2016-01-05,29.99
2016-01-06,30.0
2016-01-07,30.0
2016-01-08,30.0
2016-01-11,30.0
2016-01-12,30.0
2016-01-13,30.5
2016-01-14,30.49
2016-01-15,30.49
2016-01-18,30.49
2016-01-19,30.49
2016-01-20,30.49
2016-01-21,28.5
2016-01-22,30.49
2016-01-25,30.49
2016-01-26,29.99
2016-01-27,29.99
2016-01-28,29.99
2016-01-29,29.99
2016-02-01,29.99
2016-02-03,28.99
2016-02-04,28.7
2016-02-05,28.7
2016-02-08,29.0
2016-02-09,28.99
2016-02-10,28.99
2016-02-11,28.99
2016-02-12,28.99
2016-02-15,28.99
2016-02-16,28.99
2016-02-17,28.99
2016-02-18,28.99
2016-02-19,28.99
2016-02-22,28.99
2016-02-23,28.99
2016-02-24,30.0
2016-02-25,29.99
2016-02-26,29.99
2016-02-29,29.99
2016-03-01,31.2
2016-03-02,30.99
2016-03-03,30.99
2016-03-04,30.99
2016-03-07,29.75
2016-03-08,29.75
2016-03-09,31.0
2016-03-10,30.99
2016-03-11,30.99
2016-03-14,30.99
2016-03-15,30.99
2016-03-16,30.99
2016-03-17,30.99
2016-03-18,30.99
2016-03-21,30.99
2016-03-22,30.99
2016-03-23,30.99
2016-03-24,30.99
2016-03-29,30.99
2016-03-30,30.99
2016-03-31,30.99
2016-04-01,30.99
2016-04-04,30.99
2016-04-05,29.0
2016-04-06,27.5
2016-04-07,29.0
2016-04-08,29.0
2016-04-11,29.6
2016-04-12,29.6
2016-04-13,29.6
2016-04-14,29.6
2016-04-15,29.6
2016-04-18,29.6
2016-04-19,29.6
2016-04-20,27.2
2016-04-21,30.0
2016-04-22,29.99
2016-04-26,23.2
2016-04-27,27.7
2016-04-28,29.0
2016-04-29,28.99
2016-05-02,28.99
2016-05-03,28.99
2016-05-04,28.99
2016-05-05,28.99
2016-05-06,28.99
2016-05-09,28.99
2016-05-10,28.99
2016-05-11,28.99
2016-05-12,28.99
2016-05-13,28.99
2016-05-16,28.99
2016-05-17,28.99
2016-05-18,28.99
2016-05-19,28.99
2016-05-20,28.99
2016-05-23,28.99
2016-05-24,28.99
2016-05-25,28.99
2016-05-26,28.99
2016-05-27,28.99
2016-05-30,28.99
2016-05-31,28.99
2016-06-01,28.0
2016-06-02,28.0
2016-06-03,28.0
2016-06-06,28.0
2016-06-07,25.0
2016-06-08,25.01
2016-06-10,27.95
2016-06-13,27.58
2016-06-14,27.58
2016-06-15,27.58
2016-06-16,27.58
2016-06-17,27.58
2016-06-20,27.58
2016-06-21,27.58
2016-06-22,27.58
2016-06-23,27.58
2016-06-24,27.57
2016-06-27,27.57
2016-06-28,27.57
2016-06-29,27.57
2016-06-30,27.57
2016-07-01,27.58
2016-07-04,27.58
2016-07-05,27.58
2016-07-06,27.58
2016-07-07,27.58
2016-07-08,27.58
2016-07-11,27.59
2016-07-12,27.7
2016-07-13,27.78
2016-07-14,27.77
2016-07-15,27.77
2016-07-18,27.77
2016-07-19,27.77
2016-07-20,27.77
2016-07-21,27.78
2016-07-22,27.78
2016-07-25,27.78
2016-07-26,28.0
2016-07-27,28.0
2016-07-28,28.12
2016-07-29,28.6
2016-08-01,28.59
2016-08-02,28.59
2016-08-03,28.59
2016-08-04,28.59
2016-08-05,28.59
2016-08-08,28.59
2016-08-09,28.59
2016-08-10,28.59
2016-08-11,28.59
2016-08-12,28.59
2016-08-15,28.59
2016-08-16,28.59
2016-08-17,28.59
2016-08-18,28.59
2016-08-19,28.59
2016-08-22,28.59
2016-08-23,28.72
2016-08-24,29.0
2016-08-25,28.99
2016-08-26,28.99
2016-08-29,28.99
2016-08-30,28.99
2016-08-31,28.99
2016-09-01,29.0
2016-09-02,29.0
2016-09-05,28.99
2016-09-06,28.99
2016-09-07,28.99
2016-09-08,29.0
2016-09-09,28.99
2016-09-12,29.0
2016-09-13,29.0
2016-09-14,28.99
2016-09-15,28.99
2016-09-16,28.99
2016-09-19,28.99
2016-09-20,28.99
2016-09-21,28.99
2016-09-22,28.99
2016-09-23,28.99
2016-09-26,28.99
2016-09-27,28.99
2016-09-28,28.99
2016-09-29,28.99
2016-09-30,28.99
2016-10-03,28.99
2016-10-04,28.99
2016-10-05,28.99
2016-10-06,28.99
2016-10-07,28.99
2016-10-10,27.0
2016-10-11,26.72
2016-10-12,26.72
2016-10-13,26.72
2016-10-14,24.0
2016-10-17,25.38
2016-10-18,25.38
2016-10-19,25.38
2016-10-20,25.38
2016-10-21,25.38
2016-10-24,25.38
2016-10-25,25.38
2016-10-26,25.38
2016-10-27,25.38
2016-10-28,25.38
2016-10-31,25.38
2016-11-01,24.0
2016-11-02,25.4
2016-11-03,25.4
2016-11-04,25.48
2016-11-07,25.47
2016-11-08,25.47
2016-11-09,26.0
2016-11-10,25.99
2016-11-11,25.99
2016-11-14,25.99
2016-11-15,25.99
2016-11-16,25.99
2016-11-17,25.99
2016-11-18,25.99
2016-11-21,25.5
2016-11-22,26.0
2016-11-23,25.99
2016-11-24,25.99
2016-11-25,25.99
2016-11-28,26.1
2016-11-29,22.5
2016-11-30,23.5
2016-12-01,23.5
2016-12-02,24.0
2016-12-05,24.0
2016-12-06,24.51
2016-12-07,25.01
2016-12-08,25.5
2016-12-09,25.49
2016-12-12,25.51
2016-12-13,25.8
2016-12-14,26.0
2016-12-15,26.0
2016-12-16,25.99
2016-12-19,25.99
2016-12-20,25.99
2016-12-21,25.99
2016-12-22,25.99
2016-12-23,25.99
2016-12-27,25.99
2016-12-28,26.4
2016-12-29,26.39
2016-12-30,26.39
2017-01-02,26.39
2017-01-03,26.39
2017-01-04,26.39
2017-01-05,24.0
2017-01-06,25.0
2017-01-09,25.0
2017-01-10,25.0
2017-01-11,25.0
2017-01-12,25.0
2017-01-13,25.0
2017-01-16,25.0
2017-01-17,25.0
2017-01-18,25.0
2017-01-19,25.6
2017-01-20,25.66
2017-01-23,25.66
2017-01-24,25.66
2017-01-25,25.66
2017-01-26,26.0
2017-01-27,25.49
2017-01-30,24.2
2017-01-31,24.21
2017-02-01,24.21
2017-02-02,24.21
2017-02-03,24.21
2017-02-06,24.21
2017-02-07,24.21
2017-02-08,22.4
2017-02-09,23.01
2017-02-10,25.5
2017-02-13,25.49
2017-02-14,26.0
2017-02-15,25.5
2017-02-16,26.0
2017-02-17,25.99
2017-02-20,26.0
2017-02-22,26.0
2017-02-24,25.99
2017-02-27,24.2
2017-02-28,24.2
2017-03-01,23.4
2017-03-02,23.1
2017-03-03,23.1
2017-03-06,23.4
2017-03-07,23.4
2017-03-08,23.39
2017-03-09,23.39
2017-03-10,23.39
2017-03-13,23.39
2017-03-14,23.39
2017-03-15,23.39
2017-03-16,23.39
2017-03-17,23.39
2017-03-20,23.39
2017-03-21,23.39
2017-03-22,23.39
2017-03-23,23.39
2017-03-24,23.39
2017-03-27,23.39
2017-03-28,23.39
2017-03-29,23.39
2017-03-30,23.39
2017-03-31,23.39
2017-04-03,23.39
2017-04-04,23.39
2017-04-05,23.39
2017-04-06,23.39
2017-04-07,23.39
2017-04-10,23.39
2017-04-11,23.39
2017-04-12,23.39
2017-04-13,23.39
2017-04-18,23.39
2017-04-19,23.39
2017-04-20,23.39
2017-04-21,23.39
2017-04-24,23.39
2017-04-25,23.39
2017-04-26,23.39
2017-04-27,23.39
2017-04-28,23.39
2017-05-02,23.39
2017-05-03,23.39
2017-05-04,23.39
2017-05-05,21.6
2017-05-08,21.71
2017-05-09,21.71
2017-05-11,21.71
2017-05-12,21.71
2017-05-15,21.71
2017-05-16,21.71
2017-05-17,21.71
2017-05-18,21.71
2017-05-19,21.72
2017-05-22,21.72
2017-05-23,21.72
2017-05-24,21.79
2017-05-25,21.79
2017-05-26,21.71
2017-05-29,21.71
2017-05-30,21.7
2017-05-31,21.79
2017-06-01,21.79
2017-06-02,21.79
2017-06-05,21.79
2017-06-06,21.79
2017-06-07,21.79
2017-06-08,21.79
2017-06-09,21.79
2017-06-13,21.79
2017-06-14,21.79
2017-06-15,21.79
2017-06-16,21.79
2017-06-19,21.79
2017-06-20,21.79
2017-06-21,21.79
2017-06-22,21.79
2017-06-23,21.79
2017-06-26,21.79
2017-06-27,21.6
2017-06-28,21.6
2017-06-29,21.6
2017-06-30,21.6
2017-07-03,21.6
2017-07-04,21.6
2017-07-05,21.6
2017-07-06,21.6
2017-07-07,21.6
2017-07-10,21.6
2017-07-11,21.6
2017-07-12,21.6
2017-07-13,21.6
2017-07-14,21.6
2017-07-17,21.6
2017-07-18,21.6
2017-07-19,21.6
2017-07-20,21.6
2017-07-21,21.6
2017-07-24,21.6
2017-07-25,21.6
2017-07-26,21.6
2017-07-27,21.6
2017-07-28,21.6
2018-07-24,7.2
2018-07-25,9.55
2018-07-27,10.0
2018-07-31,10.0
2018-08-06,9.0
2018-08-07,7.0
2018-08-08,10.0
2018-09-11,10.0
2018-09-12,16.0
2018-10-03,16.0
2018-11-02,10.3
2018-11-06,19.0
2018-12-24,20.0
2020-03-23,19.9
2020-03-26,8.3
2020-04-01,8.35
2020-04-03,17.0
2020-04-06,16.9
2020-06-29,2.34
2020-07-08,10.0
2020-07-09,10.0
2020-08-05,7.0
2020-08-06,10.0
2020-08-07,7.0
2020-08-10,7.0
2020-08-13,9.65
2020-08-14,8.45
2020-09-10,9.2
2020-10-12,10.0
2020-10-14,9.95
2020-12-04,7.0
2020-12-07,9.95
2020-12-08,7.0
2020-12-15,9.9
2020-12-21,9.9
2020-12-28,6.0
2020-12-29,8.6
2020-12-30,7.0
2020-12-31,10.0
2021-01-04,7.6
2021-01-05,9.8
2021-01-06,7.7
2021-01-07,10.0
2021-01-08,9.0
2021-01-11,10.0
2021-01-15,8.0
2021-01-18,10.0
2021-01-19,8.05
2021-01-20,10.0
2021-01-21,9.95
2021-01-22,8.1
2021-01-25,8.1
2021-01-26,8.1
2021-01-27,8.2
2021-01-29,10.0
2021-02-04,9.9
2021-02-08,9.9
2021-02-12,9.95
2021-02-15,8.0
2021-02-16,8.1
2021-02-18,9.8
2021-02-23,9.95
2021-02-26,10.0
2021-03-08,10.0
2021-03-11,8.7
2021-03-18,8.7
2021-03-19,8.7
2021-03-31,9.0
2021-04-19,9.0
2021-05-07,9.0
2021-06-03,8.5
2021-06-08,8.5
2021-06-29,8.5
2021-07-01,8.5
2021-07-02,8.5
2021-07-14,9.9
2021-07-16,6.6
2021-07-19,8.45
2021-07-20,8.45
2021-07-21,9.6
2021-07-22,8.5
2021-07-23,8.9
2021-07-29,8.0
2021-08-02,9.0
2021-08-03,9.0
2021-08-10,9.5
2021-08-11,9.5
2021-08-12,10.0
2021-08-13,10.0
2021-08-16,9.5
2021-08-19,10.0
2021-08-24,9.75
2021-08-27,10.0
2021-09-07,10.0
2021-09-08,10.0
2021-09-16,10.0
2021-09-17,8.9
2021-10-04,8.0
2021-11-05,10.0
2021-11-08,10.0
2021-11-09,10.0
2021-11-10,8.5
2021-11-22,10.0
2021-11-23,14.0
2021-11-24,14.9
2021-11-25,15.0
2021-11-26,17.9
2021-11-29,23.0
2021-11-30,21.8
2021-12-01,15.2
2021-12-02,19.8
2021-12-10,15.0
2021-12-13,15.0
2021-12-14,18.0
2021-12-16,19.8
2021-12-17,16.0
2021-12-20,16.3
2021-12-27,15.5
2021-12-28,16.0
2022-01-03,16.2
2022-01-04,16.2
2022-01-05,20.0
2022-01-06,17.0
2022-01-07,18.0
2022-01-17,15.9
2022-01-18,15.9
2022-01-19,18.5
2022-01-21,18.5
2022-01-27,16.0
2022-01-28,18.5
2022-02-08,16.0
2022-02-10,15.5
2022-02-11,13.2
2022-02-14,15.4
2022-02-15,15.5
2022-02-21,12.5
2022-02-22,12.7
2022-02-23,15.4
2022-02-24,12.1
2022-02-25,15.5
2022-03-03,18.5
2022-03-04,16.0
2022-03-07,18.0
2022-03-08,14.5
2022-03-09,14.3
2022-03-10,12.5
2022-03-11,14.3
2022-03-14,14.3
2022-03-16,14.3
2022-03-18,14.3
2022-03-22,14.3
2022-03-29,14.3
2022-03-30,14.5
2022-03-31,14.5
2022-04-25,14.6
2022-05-06,14.6
2022-05-13,14.3
2022-05-16,14.3
2022-05-17,14.3
2022-05-18,14.6
2022-05-27,14.6
2022-06-03,14.6
2022-06-06,14.6
2022-06-10,14.6
2022-06-13,14.1
2022-07-05,15.0
2022-07-08,14.5
2022-07-13,14.8
2022-07-21,14.8
2022-07-25,14.8
2022-07-27,14.8
2022-07-29,14.0
2022-08-04,14.0
2022-08-11,12.3
2022-08-12,14.0
2022-08-16,14.0
2022-08-18,11.6
2022-08-19,11.6
2022-08-22,14.0
2022-08-23,14.0
2022-09-12,14.0
2022-09-16,14.0
2022-09-21,14.6
2022-10-26,14.5
2022-10-31,14.6
2022-11-02,15.4
2022-11-28,15.4
2022-11-29,15.4
2022-11-30,15.4
2022-12-01,15.4
2022-12-02,15.4
2022-12-05,15.5
2022-12-06,15.5
2022-12-07,15.5
2022-12-08,13.8
2022-12-09,13.8
2022-12-12,13.8
2022-12-13,15.9
2022-12-14,16.4
2022-12-15,16.4
2022-12-16,13.2
2022-12-19,13.2
2022-12-20,12.0
2022-12-21,13.1
2022-12-22,13.1
2022-12-23,13.1
2022-12-27,13.1
2022-12-28,13.1
2022-12-29,13.1
2022-12-30,14.0
2023-01-02,15.0
2023-01-03,15.0
2023-01-04,15.0
2023-01-05,15.0
2023-01-06,15.0
2023-01-09,15.0
2023-01-10,15.0
2023-01-11,15.0
2023-01-12,15.0
2023-01-13,14.0
2023-01-16,14.0
2023-01-17,14.0
2023-01-18,14.0
2023-01-19,14.0
2023-01-20,14.0
2023-01-23,14.0
2023-01-24,14.0
2023-01-25,14.0
2023-01-26,14.0
2023-01-27,14.0
2023-01-30,14.0
2023-01-31,14.0
2023-02-01,14.0
2023-02-02,14.0
2023-02-03,14.0
2023-02-06,14.0
2023-02-07,14.0
2023-02-08,14.0
2023-02-09,14.0
2023-02-10,14.0
2023-02-13,14.0
2023-02-14,14.0
2023-02-15,14.0
2023-02-16,14.0
2023-02-17,14.0
2023-02-20,14.0
2023-02-21,14.0
2023-02-22,14.0
2023-02-23,14.0
2023-02-24,14.0
2023-02-27,14.0
2023-02-28,14.0
2023-03-01,14.0
2023-03-02,14.0
2023-03-03,14.0
2023-03-06,14.0
2023-03-07,14.0
2023-03-08,14.0
2023-03-09,14.0
2023-03-10,14.0
2023-03-13,14.0
2023-03-14,14.0
2023-03-15,13.9
2023-03-16,13.9
2023-03-17,13.9
2023-03-20,13.9
2023-03-21,13.9
2023-03-22,13.9
2023-03-23,13.9
2023-03-24,13.9
2023-03-27,13.9
2023-03-28,13.9
2023-03-29,13.3
2023-03-30,13.3
2023-03-31,13.3
2023-04-03,13.3
2023-04-04,13.3
2023-04-05,13.3
2023-04-06,13.3
2023-04-11,13.3
2023-04-12,13.3
2023-04-13,13.3
2023-04-14,13.3
2023-04-17,13.3
2023-04-18,13.3
2023-04-19,13.3
2023-04-20,13.3
2023-04-21,13.3
2023-04-24,13.3
2023-04-25,13.3
2023-04-26,13.3
2023-04-27,13.3
2023-04-28,13.3
2023-05-02,13.3
2023-05-03,13.3
2023-05-04,13.3
2023-05-05,13.3
2023-05-08,13.3
2023-05-09,13.3
2023-05-10,13.3
2023-05-11,13.3
2023-05-12,13.3
2023-05-15,13.3
2023-05-16,13.3
2023-05-17,13.3
2023-05-18,13.3
2023-05-19,13.3
2023-05-22,13.3
2023-05-23,13.3
2023-05-24,13.3
2023-05-25,13.3
2023-05-26,13.3
2023-05-29,13.3
2023-05-30,13.4
2023-05-31,13.4
2023-06-01,13.4
2023-06-02,13.4
2023-06-05,13.4
2023-06-06,13.4
2023-06-07,13.4
2023-06-08,13.4
2023-06-09,13.4
2023-06-12,13.4
2023-06-13,13.4
2023-06-14,13.4
2023-06-15,13.4
2023-06-16,13.4
2023-06-19,13.4
2023-06-20,13.4
2023-06-21,13.4
2023-06-22,13.4
2023-06-23,13.4
2023-06-26,13.4
2023-06-27,13.4
2023-06-28,14.4
2023-06-29,13.0
2023-06-30,13.0
2023-07-03,13.0
2023-07-04,13.0
2023-07-05,13.0
2023-07-06,13.0
2023-07-07,13.0
2023-07-10,13.0
2023-07-11,13.0
2023-07-12,13.0
2023-07-13,13.0
2023-07-14,13.0
2023-07-17,13.0
2023-07-18,13.0
2023-07-19,13.0
2023-07-20,13.0
2023-07-21,13.0
2023-07-24,13.0
2023-07-25,13.0
2023-07-26,13.0
2023-07-27,13.0
2023-07-28,13.0
2023-07-31,13.0
2023-08-01,13.0
2023-08-02,13.0
2023-08-03,13.0
2023-08-04,13.0
2023-08-07,13.0
2023-08-08,13.0
2023-08-09,13.0
2023-08-10,13.0
2023-08-11,13.0
2023-08-14,13.0
2023-08-15,13.0
2023-08-16,13.0
2023-08-17,13.0
2023-08-18,13.0
2023-08-21,13.0
2023-08-22,13.0
2023-08-23,13.0
2023-08-24,13.0
2023-08-25,13.0
2023-08-28,13.0
2023-08-29,13.0
2023-08-30,13.0
2023-08-31,13.0
2023-09-01,13.0
2023-09-04,13.0
2023-09-05,13.0
2023-09-06,12.0
2023-09-07,12.0
2023-09-08,12.0
2023-09-11,12.0
2023-09-12,12.0
2023-09-13,12.0
2023-09-14,12.0
2023-09-15,12.0
2023-09-18,13.2
2023-09-19,13.2
2023-09-20,13.2
2023-09-21,13.2
2023-09-22,13.2
2023-09-25,13.2
2023-09-26,13.2
2023-09-27,13.2
2023-09-28,13.2
2023-09-29,13.2
2023-10-02,13.2
2023-10-03,13.2
2023-10-04,13.2
2023-10-05,13.2
2023-10-06,13.2
2023-10-09,13.2
2023-10-10,13.2
2023-10-11,13.2
2023-10-12,13.2
2023-10-13,13.2
2023-10-16,13.2
2023-10-17,13.2
2023-10-18,13.2
2023-10-19,13.2
2023-10-20,13.2
2023-10-23,13.2
2023-10-24,13.2
2023-10-25,13.2
2023-10-26,13.2
2023-10-27,13.2
2023-10-30,13.2
2023-10-31,13.2
2023-11-01,13.2
2023-11-02,13.2
2023-11-03,13.2
2023-11-06,13.2
2023-11-07,13.2
2023-11-08,13.2
2023-11-09,13.2
2023-11-10,13.2
2023-11-13,13.2
2023-11-14,13.2
2023-11-15,13.2
2023-11-16,13.2
2023-11-17,13.2
2023-11-20,13.2
2023-11-21,13.2
2023-11-22,13.2
2023-11-23,13.2
2023-11-24,13.2
2023-11-27,13.2
2023-11-28,13.2
2023-11-29,13.2
2023-11-30,12.8
2023-12-01,12.8
2023-12-04,12.8
2023-12-05,12.8
2023-12-06,12.8
2023-12-07,12.8
2023-12-08,12.8
2023-12-11,12.8
2023-12-12,12.8
2023-12-13,12.8
2023-12-14,12.8
2023-12-15,12.8
2023-12-18,12.8
2023-12-19,12.8
2023-12-20,12.8
2023-12-21,12.8
2023-12-22,12.8
2023-12-27,12.8
2023-12-28,12.8
2023-12-29,12.8
2024-01-02,12.8
2024-01-03,12.8
2024-01-04,12.8
2024-01-05,12.8
2024-01-08,12.8
2024-01-09,12.8
2024-01-10,13.0
2024-01-11,13.0
2024-01-12,13.0
2024-01-15,13.0
2024-01-16,13.0
2024-01-17,13.0
2024-01-18,13.0
2024-01-19,13.0
2024-01-22,13.0
2024-01-23,13.2
2024-01-24,13.2
2024-01-25,13.2
2024-01-26,13.2
2024-01-29,13.2
2024-01-30,13.2
2024-01-31,14.2
2024-02-01,14.2
2024-02-02,14.2
2024-02-05,14.2
2024-02-06,14.2
2024-02-07,14.2
2024-02-08,14.2
2024-02-09,14.2
2024-02-12,14.2
2024-02-13,14.2
2024-02-14,14.2
2024-02-15,14.2
2024-02-16,14.2
2024-02-19,14.2
2024-02-20,14.2
2024-02-21,14.2
2024-02-22,14.2
2024-02-23,14.2
2024-02-26,14.2
