,ALBKK FP Equity_DX_SI_QTY,ALBKK FP Equity_DX_SHORT_INTEREST_VALUE,ALBKK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBKK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBKK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBKK FP Equity_DX_SI_MV,ALBKK FP Equity_DX_DSS,ALBKK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBKK FP Equity_DX_SUPPLY_SI_QTY,ALBKK FP Equity_DX_BROKER_SI_QTY,ALBKK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBKK FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBKK FP Equity_DX_BROKER_SI_MV_INC_x,ALBKK FP Equity_DX_BROKER_SI_QTY_ADD,ALBKK FP Equity_DX_SUPPLY_SI_MV_DEC,ALBKK FP Equity_DX_BROKER_SI_QTY_INC,ALBKK FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBKK FP Equity_DX_BROKER_SI_MV_INC_y,ALBKK FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBKK FP Equity_DX_BROKER_SI_MV_ADD,ALBKK FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBKK FP Equity_DX_BROKER_SI_QTY_DEC,ALBKK FP Equity_DX_SUPPLY_SI_MV,ALBKK FP Equity_DX_BROKER_SI_MV_DEC,ALBKK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBKK FP Equity_DX_UTILIZATION_QUANTITY,ALBKK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBKK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBKK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBKK FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBKK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBKK FP Equity_DX_BROKER_SI_CON_RATIO,ALBKK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBKK FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-01-14,26.0,377.0,0.0,0.02,0.0,0.0,0.0,377.0,26.0,26.0,377.0,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,696841.0,0.69,0.05,,1.0,100.0,0.0005
2019-01-15,26.0,377.0,0.0,0.02,0.0,0.0,0.0,377.0,26.0,26.0,377.0,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,696841.0,0.7,0.05,,1.0,100.0,0.0005
2019-01-16,26.0,382.2,0.0,0.02,0.0,0.0,0.0,382.2,26.0,26.0,382.2,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,706452.6,0.7,0.05,,1.0,100.0,0.0005
2019-01-17,26.0,377.0,0.0,0.02,0.0,0.0,0.0,377.0,26.0,26.0,377.0,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,696841.0,0.7,0.05,,1.0,100.0,0.0005
2019-01-18,26.0,377.0,0.0,0.02,0.0,0.0,0.0,377.0,26.0,26.0,377.0,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,696841.0,0.7,0.05,,1.0,100.0,0.0005
2019-01-21,26.0,379.55,0.0,0.01,0.0,0.0,0.0,379.55,26.0,26.0,379.55,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,701550.68,0.7,0.05,,1.0,100.0,0.0005
2019-01-22,26.0,379.6,0.0,0.01,0.0,0.0,0.0,379.6,26.0,26.0,379.6,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,701646.8,0.7,0.05,,1.0,100.0,0.0005
2019-01-23,26.0,379.6,0.0,0.01,0.0,0.0,0.0,379.6,26.0,26.0,379.6,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,701646.8,0.7,0.05,,1.0,100.0,0.0005
2019-01-24,26.0,379.6,0.0,0.01,0.0,0.0,0.0,379.6,26.0,26.0,379.6,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,701646.8,0.7,0.05,,1.0,100.0,0.0005
2019-01-25,26.0,377.0,0.0,0.01,0.0,0.0,0.0,377.0,26.0,26.0,377.0,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,696841.0,0.7,0.05,,1.0,100.0,0.0005
2019-01-28,26.0,380.9,0.0,0.01,0.0,0.0,0.0,380.9,26.0,26.0,380.9,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,704049.7,0.7,0.05,,1.0,100.0,0.0005
2019-01-29,26.0,378.3,0.0,0.01,0.0,0.0,0.0,378.3,26.0,26.0,378.3,,,,,,,,,,,,0.0,,0.05,0.05,48058.0,699243.9,0.7,0.05,,1.0,100.0,0.0005
2019-01-30,18.0,261.9,0.0,0.01,0.0,0.0,0.0,261.9,18.0,18.0,261.9,,,,0.0,,8.0,,,,,8.0,0.0,0.0,0.04,0.04,48066.0,699360.3,0.7,0.04,,1.0,100.0,0.0004
2019-01-31,18.0,263.52,0.0,0.01,0.0,0.0,0.0,263.52,18.0,18.0,263.52,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,703686.24,0.7,0.04,,1.0,100.0,0.0004
2019-02-01,18.0,256.5,0.0,0.01,0.0,0.0,0.0,256.5,18.0,18.0,256.5,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,684940.5,0.7,0.04,,1.0,100.0,0.0004
2019-02-04,18.0,258.3,0.0,0.01,0.0,0.0,0.0,258.3,18.0,18.0,258.3,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,689747.1,0.69,0.04,,1.0,100.0,0.0004
2019-02-05,18.0,255.6,0.0,0.01,0.0,0.0,0.0,255.6,18.0,18.0,255.6,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,682537.2,0.69,0.04,,1.0,100.0,0.0004
2019-02-06,18.0,261.0,0.0,0.01,0.0,0.0,0.0,261.0,18.0,18.0,261.0,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,696957.0,0.69,0.04,,1.0,100.0,0.0004
2019-02-07,18.0,261.0,0.0,0.01,0.0,0.0,0.0,261.0,18.0,18.0,261.0,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,696957.0,0.7,0.04,,1.0,100.0,0.0004
2019-02-08,18.0,261.0,0.0,0.0,0.0,0.0,0.0,261.0,18.0,18.0,261.0,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,696957.0,0.7,0.04,,1.0,100.0,0.0004
2019-02-11,18.0,261.04,0.0,0.0,0.0,0.0,0.0,261.04,18.0,18.0,261.04,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,697053.13,0.7,0.04,,1.0,100.0,0.0004
2019-02-12,18.0,261.0,0.0,0.0,0.0,0.0,0.0,261.0,18.0,18.0,261.0,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,696957.0,0.7,0.04,,1.0,100.0,0.0004
2019-02-13,18.0,261.0,0.0,0.0,0.0,0.0,0.0,261.0,18.0,18.0,261.0,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,696957.0,0.7,0.04,,1.0,100.0,0.0004
2019-02-14,18.0,261.0,0.0,0.0,0.0,0.0,0.0,261.0,18.0,18.0,261.0,,,,,,,,,,,,0.0,,0.04,0.04,48066.0,696957.0,0.7,0.04,,1.0,100.0,0.0004
2019-02-15,18.0,262.08,0.0,0.0,0.0,0.0,0.0,262.08,18.0,18.0,262.08,,,,,,,,,,,,0.0,,0.04,0.04,46816.0,681640.96,0.68,0.04,,1.0,100.0,0.0004
2019-02-18,18.0,262.8,0.0,0.0,0.0,0.0,0.0,262.8,18.0,18.0,262.8,,,,,,,,,,,,0.0,,0.04,0.04,46816.0,683513.6,0.68,0.04,,1.0,100.0,0.0004
2019-02-19,18.0,261.0,0.0,0.0,0.0,0.0,0.0,261.0,18.0,18.0,261.0,,,,,,,,,,,,0.0,,0.04,0.04,46816.0,678832.0,0.68,0.04,,1.0,100.0,0.0004
2019-02-20,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,0.0,,1.0,,,,,1.0,0.0,0.0,0.04,0.04,46817.0,674164.8,0.68,0.04,,1.0,100.0,0.0004
2019-02-21,17.0,246.5,0.0,0.0,0.0,0.0,0.0,246.5,17.0,17.0,246.5,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,678846.5,0.67,0.04,,1.0,100.0,0.0004
2019-02-22,17.0,246.5,0.0,0.0,0.0,0.0,0.0,246.5,17.0,17.0,246.5,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,678846.5,0.68,0.04,,1.0,100.0,0.0004
2019-02-25,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,674164.8,0.68,0.04,,1.0,100.0,0.0004
2019-02-26,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,674164.8,0.67,0.04,,1.0,100.0,0.0004
2019-02-27,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,674164.8,0.67,0.04,,1.0,100.0,0.0004
2019-02-28,17.0,246.47,0.0,0.0,0.0,0.0,0.0,246.47,17.0,17.0,246.47,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,678752.87,0.68,0.04,,1.0,100.0,0.0004
2019-03-01,17.0,243.98,0.0,0.0,0.0,0.0,0.0,243.98,17.0,17.0,243.98,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,671917.58,0.68,0.04,,1.0,100.0,0.0004
2019-03-04,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,674164.8,0.67,0.04,,1.0,100.0,0.0004
2019-03-05,17.0,243.71,0.0,0.0,0.0,0.0,0.0,243.71,17.0,17.0,243.71,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,671168.51,0.67,0.04,,1.0,100.0,0.0004
2019-03-06,17.0,246.47,0.0,0.0,0.0,0.0,0.0,246.47,17.0,17.0,246.47,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,678752.87,0.67,0.04,,1.0,100.0,0.0004
2019-03-07,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,674164.8,0.68,0.04,,1.0,100.0,0.0004
2019-03-08,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,674164.8,0.67,0.04,,1.0,100.0,0.0004
2019-03-11,17.0,244.8,0.0,0.0,0.0,0.0,0.0,244.8,17.0,17.0,244.8,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,674164.8,0.67,0.04,,1.0,100.0,0.0004
2019-03-12,17.0,246.5,0.0,0.0,0.0,0.0,0.0,246.5,17.0,17.0,246.5,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,678846.5,0.67,0.04,,1.0,100.0,0.0004
2019-03-13,17.0,246.5,0.0,0.0,0.0,0.0,0.0,246.5,17.0,17.0,246.5,,,,,,,,,,,,0.0,,0.04,0.04,46817.0,678846.5,0.68,0.04,,1.0,100.0,0.0004
2019-03-14,3017.0,44048.2,0.08,0.57,0.08,0.05,0.0,44048.2,25.0,3017.0,365.0,,0.05,,,3000.0,,0.05,,,8.0,,0.0,,100.0,0.05,0.0,0.0,0.0,100.0,,1.0,100.0,0.0644
2019-03-15,25.0,362.5,0.0,0.0,0.0,0.0,0.0,362.5,25.0,25.0,362.5,,,,,,,,,,,2992.0,0.0,0.05,100.0,0.05,0.0,0.0,0.0,100.0,,1.0,100.0,0.0005
2019-03-18,25.0,362.5,0.0,0.0,0.0,0.0,0.0,362.5,25.0,25.0,362.5,,,,,,,,,,,,0.0,,100.0,0.05,0.0,0.0,0.0,100.0,,1.0,100.0,0.0005
2019-03-19,25.0,362.5,0.0,0.0,0.0,0.0,0.0,362.5,25.0,25.0,362.5,,,,,,,,,,,,0.0,,100.0,0.05,0.0,0.0,0.0,100.0,,1.0,100.0,0.0005
2019-03-20,8.0,115.84,0.0,0.0,0.0,0.0,0.0,115.84,8.0,8.0,115.84,,,,0.0,,17.0,,,,,17.0,0.0,0.0,0.02,0.02,46641.0,675361.68,0.68,0.02,,1.0,100.0,0.0002
2019-03-21,8.0,116.0,0.0,0.0,0.0,0.0,0.0,116.0,8.0,8.0,116.0,,,,,,,,,,,,0.0,,0.02,0.02,46641.0,676294.5,0.68,0.02,,1.0,100.0,0.0002
2019-03-22,8.0,116.48,0.0,0.0,0.0,0.0,0.0,116.48,8.0,8.0,116.48,,,,,,,,,,,,0.0,,0.02,0.02,46641.0,679092.96,0.68,0.02,,1.0,100.0,0.0002
2019-03-25,8.0,116.0,0.0,0.0,0.0,0.0,0.0,116.0,8.0,8.0,116.0,,,,,,,,,,,,0.0,,0.02,0.02,46641.0,676294.5,0.68,0.02,,1.0,100.0,0.0002
2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,8.0,,,,,8.0,0.0,0.0,0.0,0.0,46649.0,676410.5,0.68,0.0,,0.0,,0.0
2019-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,676410.5,0.68,0.0,,0.0,,0.0
2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,676410.5,0.68,0.0,,0.0,,0.0
2019-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,676410.5,0.68,0.0,,0.0,,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,678742.95,0.68,0.0,,0.0,,0.0
2019-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,678742.95,0.68,0.0,,0.0,,0.0
2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,678742.95,0.68,0.0,,0.0,,0.0
2019-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,678742.95,0.68,0.0,,0.0,,0.0
2019-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,678742.95,0.68,0.0,,0.0,,0.0
2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,678742.95,0.68,0.0,,0.0,,0.0
2019-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,678742.95,0.68,0.0,,0.0,,0.0
2019-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,676410.5,0.68,0.0,,0.0,,0.0
2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,46649.0,685460.41,0.68,0.0,,0.0,,0.0
2019-04-12,6100.0,89633.4,0.17,2.56,0.17,0.09,0.0,89633.4,6100.0,6100.0,89633.4,,,6100.0,,,,,,0.09,6100.0,,0.09,,100.0,13.08,0.0,0.0,0.0,100.0,,1.0,100.0,0.1308
2019-04-15,4.0,59.99,0.0,0.0,0.0,0.0,0.0,59.99,4.0,4.0,59.99,,,,0.09,,6096.0,,,,,6096.0,0.0,0.09,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2019-04-16,4.0,60.12,0.0,0.0,0.0,0.0,0.0,60.12,4.0,4.0,60.12,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,100.01,,1.0,100.0,0.0001
2019-04-17,4.0,59.61,0.0,0.0,0.0,0.0,0.0,59.61,4.0,4.0,59.61,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2019-04-18,4.0,60.4,0.0,0.0,0.0,0.0,0.0,60.4,4.0,4.0,60.4,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,99.99,,1.0,100.0,0.0001
2019-04-19,4.0,60.4,0.0,0.0,0.0,0.0,0.0,60.4,4.0,4.0,60.4,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,99.99,,1.0,100.0,0.0001
2019-04-22,4.0,60.4,0.0,0.0,0.0,0.0,0.0,60.4,4.0,4.0,60.4,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,99.99,,1.0,100.0,0.0001
2019-04-23,4.0,60.8,0.0,0.0,0.0,0.0,0.0,60.8,4.0,4.0,60.8,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,99.99,,1.0,100.0,0.0001
2019-04-24,4.0,59.62,0.0,0.0,0.0,0.0,0.0,59.62,4.0,4.0,59.62,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,99.99,,1.0,100.0,0.0001
2019-04-25,4.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,4.0,0.0,,,,0.0,,4.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0001
2019-04-26,4.0,59.6,0.0,0.0,0.0,0.0,0.0,59.6,0.0,4.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0001
2019-04-29,4.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,4.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0001
2019-04-30,500.0,7500.0,0.01,0.2,0.01,0.01,0.0,7500.0,0.0,500.0,0.0,,0.01,,,496.0,,0.01,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0186
2019-05-01,500.0,7500.0,0.01,0.15,0.01,0.01,0.0,7500.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0186
2019-05-02,500.0,7450.0,0.01,0.15,0.01,0.01,0.0,7450.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0186
2019-05-03,500.0,7401.0,0.01,0.15,0.01,0.01,0.0,7401.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0186
2019-05-06,500.0,7400.0,0.01,0.14,0.01,0.01,0.0,7400.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0188
2019-05-07,500.0,7400.0,0.01,0.12,0.01,0.01,0.0,7400.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0188
2019-05-08,500.0,7374.0,0.01,0.1,0.01,0.01,0.0,7374.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0188
2019-05-09,500.0,7395.0,0.01,0.11,0.01,0.01,0.0,7395.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0188
2019-05-10,500.0,7411.0,0.01,0.11,0.01,0.01,0.0,7411.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0188
2019-05-13,500.0,7400.0,0.01,0.11,0.01,0.01,0.0,7400.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0188
2019-05-14,500.0,7400.0,0.01,0.11,0.01,0.01,0.0,7400.0,0.0,500.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0188
2019-05-15,3000.0,44496.0,0.08,0.64,0.08,0.05,0.0,44496.0,3000.0,3000.0,44496.0,,0.04,,,2500.0,,0.04,,,3000.0,,0.04,,100.0,11.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1126
2019-05-16,3000.0,44412.0,0.08,0.64,0.08,0.05,0.0,44412.0,3000.0,3000.0,44412.0,,,,,,,,,,,,0.04,,100.0,11.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1126
2019-05-17,3000.0,44418.0,0.08,0.64,0.08,0.05,0.0,44418.0,3000.0,3000.0,44418.0,,,,,,,,,,,,0.04,,100.0,11.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1126
2019-05-20,3000.0,44418.0,0.08,0.63,0.08,0.05,0.0,44418.0,3000.0,3000.0,44418.0,,,,,,,,,,,,0.04,,100.0,11.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1126
2019-05-21,3000.0,44400.0,0.08,0.64,0.08,0.05,0.0,44400.0,3000.0,3000.0,44400.0,,,,,,,,,,,,0.04,,100.0,11.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1126
2019-05-22,3000.0,44952.0,0.08,0.64,0.08,0.05,0.0,44952.0,3000.0,3000.0,44952.0,,,,,,,,,,,,0.04,,100.0,11.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1126
2019-05-23,8.0,119.58,0.0,0.0,0.0,0.0,0.0,119.58,8.0,8.0,119.58,,,,0.04,,2992.0,,,,,2992.0,0.0,0.05,100.0,0.03,0.0,0.0,0.0,100.0,,1.0,100.0,0.0003
2019-05-24,8.0,119.6,0.0,0.0,0.0,0.0,0.0,119.6,8.0,8.0,119.6,,,,,,,,,,,,0.0,,100.0,0.03,0.0,0.0,0.0,100.0,,1.0,100.0,0.0003
2019-05-27,8.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,8.0,8.0,120.0,,,,,,,,,,,,0.0,,100.0,0.03,0.0,0.0,0.0,100.0,,1.0,100.0,0.0003
2019-05-28,8.0,120.02,0.0,0.0,0.0,0.0,0.0,120.02,8.0,8.0,120.02,,,,,,,,,,,,0.0,,100.0,0.03,0.0,0.0,0.0,100.0,,1.0,100.0,0.0003
2019-05-29,8.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,8.0,8.0,120.0,,,,,,,,,,,,0.0,,100.0,0.03,0.0,0.0,0.0,100.0,,1.0,100.0,0.0003
2019-05-30,8.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,8.0,8.0,120.0,,,,,,,,,,,,0.0,,100.0,0.03,0.0,0.0,0.0,100.0,,1.0,100.0,0.0003
2019-05-31,8.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,8.0,8.0,120.0,,,,,,,,,,,,0.0,,100.0,0.03,0.0,0.0,0.0,100.0,,1.0,100.0,0.0003
