,ECRP3 FP Equity_DX_SI_QTY,ECRP3 FP Equity_DX_SHORT_INTEREST_VALUE,ECRP3 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ECRP3 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ECRP3 FP Equity_DX_SI_MV,ECRP3 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ECRP3 FP Equity_DX_SUPPLY_SI_QTY,ECRP3 FP Equity_DX_BROKER_SI_QTY,ECRP3 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_INC_x,ECRP3 FP Equity_DX_BROKER_SI_MV_INC_x,ECRP3 FP Equity_DX_BROKER_SI_QTY_ADD,ECRP3 FP Equity_DX_SUPPLY_SI_MV_DEC,ECRP3 FP Equity_DX_BROKER_SI_QTY_INC,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_DEC,ECRP3 FP Equity_DX_BROKER_SI_MV_INC_y,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_INC_y,ECRP3 FP Equity_DX_BROKER_SI_MV_ADD,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_ADD,ECRP3 FP Equity_DX_BROKER_SI_QTY_DEC,ECRP3 FP Equity_DX_SUPPLY_SI_MV,ECRP3 FP Equity_DX_BROKER_SI_MV_DEC,ECRP3 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ECRP3 FP Equity_DX_UTILIZATION_QUANTITY,ECRP3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ECRP3 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ECRP3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ECRP3 FP Equity_DX_ACTIVE_UTILIZATION_MV,ECRP3 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ECRP3 FP Equity_DX_BROKER_SI_CON_RATIO,ECRP3 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ECRP3 FP Equity_DX_DEMAND_SUPPLY_RATIO,ECRP3 FP Equity_PX_LAST
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.967
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.983
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.981
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.984
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.964
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.976
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.958
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.94
2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.962
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.958
2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.958
2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95
2019-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.937
2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.939
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.929
2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.912
2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.895
2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.899
2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.891
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.897
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.907
2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.881
2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.869
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.905
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.918
2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.944
2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.975
2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.967
2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.983
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.964
2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.956
2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.963
2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.928
2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.952
2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.979
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.978
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.963
2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.98
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.982
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.018
2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.005
2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.037
2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.035
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.013
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.025
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.99
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.984
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.991
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.961
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.965
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.96
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.929
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.968
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.935
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.939
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.937
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.942
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.985
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.963
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.967
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.964
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.955
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.975
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.947
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.97
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.997
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.998
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.004
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.025
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.979
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.016
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.029
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.973
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.028
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.013
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.066
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.016
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.015
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.001
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.997
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.02
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.027
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.988
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.992
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.897
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.909
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.916
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.897
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.939
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.956
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.962
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.835
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.518
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.603
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.554
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.802
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.13
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.834
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.455
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.799
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.383
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.569
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.542
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.98
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.174
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.978
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.154
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.218
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.424
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.538
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.542
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.621
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.656
2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.69
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.671
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.993
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.237
2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.352
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.35
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.45
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.35
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.299
2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2
2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.486
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.532
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.543
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.487
2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.497
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.32
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.408
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.38
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.347
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.36
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.267
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.235
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.326
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.321
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.228
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.284
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.317
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.404
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.372
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.322
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.465
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.482
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.53
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.524
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.514
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.51
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.575
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.718
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.767
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.919
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.821
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.715
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.738
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.639
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.65
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.699
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.772
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.748
2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.728
2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.757
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.676
2020-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7
2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.703
2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.626
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.641
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.63
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.712
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.776
2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.829
2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.804
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.824
2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.815
2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.841
2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.807
2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.821
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.839
2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.804
2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.801
2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.893
2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9
2020-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.902
2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.933
2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.992
2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.975
2020-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.96
2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.97
2020-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.971
2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.999
2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.969
2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.96
2020-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.968
2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.041
2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.01
2020-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.03
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.038
2020-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.042
2020-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.056
2020-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07
2020-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.97
2020-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.01
2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.987
2020-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.996
2020-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.053
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.048
2020-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.073
2020-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.088
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.087
2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.058
2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.048
2020-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.066
2020-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.022
2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.001
2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.054
2020-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.023
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.006
2020-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.01
2020-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.013
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.991
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.051
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.03
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.061
2020-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.044
2020-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.99
2020-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.012
2020-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.026
2020-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.991
2020-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.959
2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.021
2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.019
2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.026
2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07
2020-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.013
2020-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.033
2020-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1
2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.044
2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.111
2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.068
2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1
2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.059
2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.101
