,ALAMA FP Equity_DX_SI_QTY,ALAMA FP Equity_DX_SHORT_INTEREST_VALUE,ALAMA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAMA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAMA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAMA FP Equity_DX_SI_MV,ALAMA FP Equity_DX_DSS,ALAMA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAMA FP Equity_DX_SUPPLY_SI_QTY,ALAMA FP Equity_DX_BROKER_SI_QTY,ALAMA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAMA FP Equity_DX_BROKER_SI_QTY_ADD,ALAMA FP Equity_DX_SUPPLY_SI_MV_DEC,ALAMA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAMA FP Equity_DX_BROKER_SI_MV_ADD,ALAMA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAMA FP Equity_DX_BROKER_SI_QTY_DEC,ALAMA FP Equity_DX_SUPPLY_SI_MV,ALAMA FP Equity_DX_BROKER_SI_MV_DEC,ALAMA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAMA FP Equity_DX_UTILIZATION_QUANTITY,ALAMA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAMA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAMA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAMA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAMA FP Equity_DX_BROKER_SI_CON_RATIO,ALAMA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAMA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAMA FP Equity_PX_LAST
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.645
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.885
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.135
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.135
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.105
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.085
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.635
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.305
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.295
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.055
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.235
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.095
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.055
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.998
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.125
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.075
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.075
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.015
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.922
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.962
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.952
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.996
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.962
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.932
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.962
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.968
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.035
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.015
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.722
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.806
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.762
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.726
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.598
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.542
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.576
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.475
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.405
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.495
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46
2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.345
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51
2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.905
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94
2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86
2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.385
2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46
2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34
2022-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24
2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.225
2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01
2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99
2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96
2022-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94
2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884
2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724
2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604
2022-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
2022-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473
2022-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526
2022-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808
2022-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738
2022-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.045
2022-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922
2022-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734
2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2022-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696
2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69
2022-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698
2022-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698
2022-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66
2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682
2022-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616
2022-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
2022-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59
