,ALVGO FP Equity_DX_SI_QTY,ALVGO FP Equity_DX_SHORT_INTEREST_VALUE,ALVGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVGO FP Equity_DX_SI_MV,ALVGO FP Equity_DX_DSS,ALVGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVGO FP Equity_DX_SUPPLY_SI_QTY,ALVGO FP Equity_DX_BROKER_SI_QTY,ALVGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVGO FP Equity_DX_BROKER_SI_MV_NEW_x,ALVGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALVGO FP Equity_DX_BROKER_SI_MV_INC_x,ALVGO FP Equity_DX_BROKER_SI_QTY_ADD,ALVGO FP Equity_DX_BROKER_SI_QTY_NEW,ALVGO FP Equity_DX_SUPPLY_SI_MV_DEC,ALVGO FP Equity_DX_BROKER_SI_QTY_INC,ALVGO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVGO FP Equity_DX_BROKER_SI_MV_NEW_y,ALVGO FP Equity_DX_BROKER_SI_MV_INC_y,ALVGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALVGO FP Equity_DX_BROKER_SI_MV_ADD,ALVGO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVGO FP Equity_DX_BROKER_SI_QTY_DEC,ALVGO FP Equity_DX_SUPPLY_SI_MV,ALVGO FP Equity_DX_BROKER_SI_MV_DEC,ALVGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVGO FP Equity_DX_UTILIZATION_QUANTITY,ALVGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVGO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALVGO FP Equity_DX_BROKER_SI_CON_RATIO,ALVGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVGO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVGO FP Equity_PX_LAST
2019-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34
2019-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2019-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35
2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2019-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2019-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2019-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36
2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36
2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2019-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02
2019-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16
2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16
2019-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16
2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28
2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.26
2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2019-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98
2019-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96
2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82
2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88
2019-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84
2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86
2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86
2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86
2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2019-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54
2019-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52
2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2019-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58
2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34
2019-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16
2019-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88
2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88
2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2019-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62
2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.36
2019-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2019-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28
2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28
2019-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2019-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2019-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2019-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2019-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2019-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24
2019-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24
2019-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38
2019-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2019-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58
2019-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66
2019-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86
2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2019-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2019-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2019-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2019-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2019-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2019-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92
2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92
2019-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2019-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
