,FPXU FP Equity_DX_SI_QTY,FPXU FP Equity_DX_SHORT_INTEREST_VALUE,FPXU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FPXU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FPXU FP Equity_DX_SI_MV,FPXU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FPXU FP Equity_DX_SUPPLY_SI_QTY,FPXU FP Equity_DX_BROKER_SI_QTY,FPXU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FPXU FP Equity_DX_BROKER_SI_QTY_ADD,FPXU FP Equity_DX_BROKER_SI_MV_ADD,FPXU FP Equity_DX_SUPPLY_SI_MV,FPXU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FPXU FP Equity_DX_UTILIZATION_QUANTITY,FPXU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FPXU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FPXU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FPXU FP Equity_DX_ACTIVE_UTILIZATION_MV,FPXU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FPXU FP Equity_DX_BROKER_SI_CON_RATIO,FPXU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FPXU FP Equity_DX_DEMAND_SUPPLY_RATIO,FPXU FP Equity_PX_LAST
2015-10-26,,,,,,,,,,,,,,,,,,,,,,,18.87
2015-10-27,,,,,,,,,,,,,,,,,,,,,,,18.79
2015-10-29,,,,,,,,,,,,,,,,,,,,,,,18.9
2015-10-30,,,,,,,,,,,,,,,,,,,,,,,19.08
2015-11-03,,,,,,,,,,,,,,,,,,,,,,,19.3
2015-11-04,,,,,,,,,,,,,,,,,,,,,,,19.39
2015-11-05,,,,,,,,,,,,,,,,,,,,,,,19.34
2015-11-06,,,,,,,,,,,,,,,,,,,,,,,19.32
2015-11-09,,,,,,,,,,,,,,,,,,,,,,,19.16
2015-11-10,,,,,,,,,,,,,,,,,,,,,,,19.24
2015-11-11,,,,,,,,,,,,,,,,,,,,,,,19.14
2015-11-12,,,,,,,,,,,,,,,,,,,,,,,18.97
2015-11-13,,,,,,,,,,,,,,,,,,,,,,,18.74
2015-11-16,,,,,,,,,,,,,,,,,,,,,,,18.58
2015-11-17,,,,,,,,,,,,,,,,,,,,,,,18.75
2015-11-18,,,,,,,,,,,,,,,,,,,,,,,18.89
2015-11-19,,,,,,,,,,,,,,,,,,,,,,,19.05
2015-11-20,,,,,,,,,,,,,,,,,,,,,,,19.16
2015-11-23,,,,,,,,,,,,,,,,,,,,,,,19.2
2015-11-24,,,,,,,,,,,,,,,,,,,,,,,19.12
2015-11-25,,,,,,,,,,,,,,,,,,,,,,,19.21
2015-11-26,,,,,,,,,,,,,,,,,,,,,,,19.35
2015-11-27,,,,,,,,,,,,,,,,,,,,,,,19.31
2015-11-30,,,,,,,,,,,,,,,,,,,,,,,19.17
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,19.18
2015-12-02,,,,,,,,,,,,,,,,,,,,,,,19.25
2015-12-03,,,,,,,,,,,,,,,,,,,,,,,19.06
2015-12-04,,,,,,,,,,,,,,,,,,,,,,,18.94
2015-12-07,,,,,,,,,,,,,,,,,,,,,,,18.82
2015-12-08,,,,,,,,,,,,,,,,,,,,,,,18.78
2015-12-09,,,,,,,,,,,,,,,,,,,,,,,18.8
2015-12-10,,,,,,,,,,,,,,,,,,,,,,,18.76
2015-12-11,,,,,,,,,,,,,,,,,,,,,,,18.43
2015-12-14,,,,,,,,,,,,,,,,,,,,,,,18.25
2015-12-15,,,,,,,,,,,,,,,,,,,,,,,18.45
2015-12-16,,,,,,,,,,,,,,,,,,,,,,,18.56
2015-12-17,,,,,,,,,,,,,,,,,,,,,,,18.61
2015-12-18,,,,,,,,,,,,,,,,,,,,,,,18.41
2015-12-21,,,,,,,,,,,,,,,,,,,,,,,18.32
2015-12-23,,,,,,,,,,,,,,,,,,,,,,,18.78
2015-12-24,,,,,,,,,,,,,,,,,,,,,,,18.81
2015-12-28,,,,,,,,,,,,,,,,,,,,,,,18.69
2015-12-29,,,,,,,,,,,,,,,,,,,,,,,18.93
2015-12-30,,,,,,,,,,,,,,,,,,,,,,,18.9
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,18.77
2016-01-05,,,,,,,,,,,,,,,,,,,,,,,18.32
2016-01-06,,,,,,,,,,,,,,,,,,,,,,,18.12
2016-01-07,,,,,,,,,,,,,,,,,,,,,,,17.75
2016-01-08,,,,,,,,,,,,,,,,,,,,,,,17.36
2016-01-11,,,,,,,,,,,,,,,,,,,,,,,17.13
2016-01-12,,,,,,,,,,,,,,,,,,,,,,,17.21
2016-01-13,,,,,,,,,,,,,,,,,,,,,,,17.29
2016-01-14,,,,,,,,,,,,,,,,,,,,,,,16.84
2016-01-15,,,,,,,,,,,,,,,,,,,,,,,16.68
2016-01-19,,,,,,,,,,,,,,,,,,,,,,,16.86
2016-01-20,,,,,,,,,,,,,,,,,,,,,,,16.19
2016-01-25,,,,,,,,,,,,,,,,,,,,,,,16.99
2016-01-26,,,,,,,,,,,,,,,,,,,,,,,16.74
2016-01-27,,,,,,,,,,,,,,,,,,,,,,,17.04
2016-01-28,,,,,,,,,,,,,,,,,,,,,,,16.87
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,17.1
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,17.24
2016-02-02,,,,,,,,,,,,,,,,,,,,,,,17.3
2016-02-04,,,,,,,,,,,,,,,,,,,,,,,16.95
2016-02-05,,,,,,,,,,,,,,,,,,,,,,,16.96
2016-02-09,,,,,,,,,,,,,,,,,,,,,,,15.75
2016-02-10,,,,,,,,,,,,,,,,,,,,,,,15.88
2016-02-11,,,,,,,,,,,,,,,,,,,,,,,15.46
2016-02-12,,,,,,,,,,,,,,,,,,,,,,,15.88
2016-02-15,,,,,,,,,,,,,,,,,,,,,,,16.12
2016-02-16,,,,,,,,,,,,,,,,,,,,,,,16.13
2016-02-17,,,,,,,,,,,,,,,,,,,,,,,16.73
2016-02-18,,,,,,,,,,,,,,,,,,,,,,,16.66
2016-02-19,,,,,,,,,,,,,,,,,,,,,,,16.68
2016-02-22,,,,,,,,,,,,,,,,,,,,,,,16.92
2016-02-24,,,,,,,,,,,,,,,,,,,,,,,16.53
2016-02-25,,,,,,,,,,,,,,,,,,,,,,,16.91
2016-02-26,,,,,,,,,,,,,,,,,,,,,,,17.23
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,17.29
2016-03-01,,,,,,,,,,,,,,,,,,,,,,,17.38
2016-03-02,,,,,,,,,,,,,,,,,,,,,,,17.55
2016-03-03,,,,,,,,,,,,,,,,,,,,,,,17.57
2016-03-04,,,,,,,,,,,,,,,,,,,,,,,17.86
2016-03-07,,,,,,,,,,,,,,,,,,,,,,,17.79
2016-03-08,,,,,,,,,,,,,,,,,,,,,,,17.6
2016-03-09,,,,,,,,,,,,,,,,,,,,,,,17.58
2016-03-10,,,,,,,,,,,,,,,,,,,,,,,17.47
2016-03-11,,,,,,,,,,,,,,,,,,,,,,,17.86
2016-03-14,,,,,,,,,,,,,,,,,,,,,,,17.89
2016-03-15,,,,,,,,,,,,,,,,,,,,,,,17.75
2016-03-16,,,,,,,,,,,,,,,,,,,,,,,17.85
2016-03-17,,,,,,,,,,,,,,,,,,,,,,,17.97
2016-03-18,,,,,,,,,,,,,,,,,,,,,,,18.12
2016-03-21,,,,,,,,,,,,,,,,,,,,,,,18.1
2016-03-23,,,,,,,,,,,,,,,,,,,,,,,18.04
2016-03-24,,,,,,,,,,,,,,,,,,,,,,,17.86
2016-03-29,,,,,,,,,,,,,,,,,,,,,,,18.02
2016-03-30,,,,,,,,,,,,,,,,,,,,,,,18.29
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,18.31
2016-04-01,,,,,,,,,,,,,,,,,,,,,,,18.35
2016-04-06,,,,,,,,,,,,,,,,,,,,,,,18.2
2016-04-07,,,,,,,,,,,,,,,,,,,,,,,18.2
2016-04-08,,,,,,,,,,,,,,,,,,,,,,,18.18
2016-04-11,,,,,,,,,,,,,,,,,,,,,,,18.15
2016-04-12,,,,,,,,,,,,,,,,,,,,,,,18.16
2016-04-13,,,,,,,,,,,,,,,,,,,,,,,18.38
2016-04-14,,,,,,,,,,,,,,,,,,,,,,,18.43
2016-04-15,,,,,,,,,,,,,,,,,,,,,,,18.37
2016-04-18,,,,,,,,,,,,,,,,,,,,,,,18.45
2016-04-19,,,,,,,,,,,,,,,,,,,,,,,18.54
2016-04-20,,,,,,,,,,,,,,,,,,,,,,,18.65
2016-04-21,,,,,,,,,,,,,,,,,,,,,,,18.73
2016-04-22,,,,,,,,,,,,,,,,,,,,,,,18.58
2016-04-25,,,,,,,,,,,,,,,,,,,,,,,18.56
2016-04-26,,,,,,,,,,,,,,,,,,,,,,,18.65
2016-04-27,,,,,,,,,,,,,,,,,,,,,,,18.64
2016-04-28,,,,,,,,,,,,,,,,,,,,,,,18.96
2016-04-29,,,,,,,,,,,,,,,,,,,,,,,18.5
2016-05-02,,,,,,,,,,,,,,,,,,,,,,,18.67
2016-05-03,,,,,,,,,,,,,,,,,,,,,,,18.4
2016-05-04,,,,,,,,,,,,,,,,,,,,,,,18.3
2016-05-05,,,,,,,,,,,,,,,,,,,,,,,18.43
2016-05-06,,,,,,,,,,,,,,,,,,,,,,,18.39
2016-05-09,,,,,,,,,,,,,,,,,,,,,,,18.49
2016-05-10,,,,,,,,,,,,,,,,,,,,,,,18.67
2016-05-11,,,,,,,,,,,,,,,,,,,,,,,18.74
2016-05-12,,,,,,,,,,,,,,,,,,,,,,,18.46
2016-05-13,,,,,,,,,,,,,,,,,,,,,,,18.55
2016-05-16,,,,,,,,,,,,,,,,,,,,,,,18.47
2016-05-17,,,,,,,,,,,,,,,,,,,,,,,18.41
2016-05-18,,,,,,,,,,,,,,,,,,,,,,,18.33
2016-05-19,,,,,,,,,,,,,,,,,,,,,,,18.12
2016-05-20,,,,,,,,,,,,,,,,,,,,,,,18.37
2016-05-23,,,,,,,,,,,,,,,,,,,,,,,18.36
2016-05-24,,,,,,,,,,,,,,,,,,,,,,,18.58
2016-05-25,,,,,,,,,,,,,,,,,,,,,,,18.78
2016-05-26,,,,,,,,,,,,,,,,,,,,,,,18.77
2016-05-27,,,,,,,,,,,,,,,,,,,,,,,18.86
2016-05-30,,,,,,,,,,,,,,,,,,,,,,,18.93
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,18.86
2016-06-01,,,,,,,,,,,,,,,,,,,,,,,18.85
2016-06-02,,,,,,,,,,,,,,,,,,,,,,,19.0
2016-06-03,,,,,,,,,,,,,,,,,,,,,,,18.94
2016-06-06,,,,,,,,,,,,,,,,,,,,,,,18.97
2016-06-07,,,,,,,,,,,,,,,,,,,,,,,19.07
2016-06-08,,,,,,,,,,,,,,,,,,,,,,,19.02
2016-06-09,,,,,,,,,,,,,,,,,,,,,,,18.95
2016-06-10,,,,,,,,,,,,,,,,,,,,,,,18.75
2016-06-13,,,,,,,,,,,,,,,,,,,,,,,18.55
2016-06-14,,,,,,,,,,,,,,,,,,,,,,,18.42
2016-06-15,,,,,,,,,,,,,,,,,,,,,,,18.45
2016-06-16,,,,,,,,,,,,,,,,,,,,,,,18.25
2016-06-17,,,,,,,,,,,,,,,,,,,,,,,18.28
2016-06-20,,,,,,,,,,,,,,,,,,,,,,,18.65
2016-06-21,,,,,,,,,,,,,,,,,,,,,,,18.5
2016-06-22,,,,,,,,,,,,,,,,,,,,,,,18.54
2016-06-23,,,,,,,,,,,,,,,,,,,,,,,18.66
2016-06-24,,,,,,,,,,,,,,,,,,,,,,,18.17
2016-06-27,,,,,,,,,,,,,,,,,,,,,,,17.45
2016-06-28,,,,,,,,,,,,,,,,,,,,,,,17.67
2016-06-29,,,,,,,,,,,,,,,,,,,,,,,18.19
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,18.36
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,18.57
2016-07-04,,,,,,,,,,,,,,,,,,,,,,,18.55
2016-07-05,,,,,,,,,,,,,,,,,,,,,,,18.38
2016-07-06,,,,,,,,,,,,,,,,,,,,,,,18.45
2016-07-07,,,,,,,,,,,,,,,,,,,,,,,18.63
2016-07-08,,,,,,,,,,,,,,,,,,,,,,,18.89
2016-07-11,,,,,,,,,,,,,,,,,,,,,,,19.07
2016-07-12,,,,,,,,,,,,,,,,,,,,,,,19.19
2016-07-13,,,,,,,,,,,,,,,,,,,,,,,19.15
2016-07-14,,,,,,,,,,,,,,,,,,,,,,,19.2
2016-07-15,,,,,,,,,,,,,,,,,,,,,,,19.15
2016-07-18,,,,,,,,,,,,,,,,,,,,,,,19.23
2016-07-19,,,,,,,,,,,,,,,,,,,,,,,19.27
2016-07-20,,,,,,,,,,,,,,,,,,,,,,,19.39
2016-07-21,,,,,,,,,,,,,,,,,,,,,,,19.4
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,19.31
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,19.36
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,19.4
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,19.31
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,19.31
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,19.45
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,19.51
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,19.24
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,19.33
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,19.5
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,19.74
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,19.67
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,19.74
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,19.64
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,19.75
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,19.78
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,19.89
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,19.74
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,19.61
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,19.78
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,19.75
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,19.74
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,19.85
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,19.73
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,19.67
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,19.69
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,19.57
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,19.6
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,19.59
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,19.56
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,19.76
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,19.77
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,19.8
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,19.87
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,19.55
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,19.42
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,19.28
2016-09-14,,,,,,,,,,,,,,,,,,,,,,,19.42
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,19.59
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,19.56
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,19.68
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,19.61
2016-09-21,,,,,,,,,,,,,,,,,,,,,,,19.6
2016-09-22,,,,,,,,,,,,,,,,,,,,,,,19.9
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,19.96
2016-09-26,,,,,,,,,,,,,,,,,,,,,,,19.75
2016-09-27,,,,,,,,,,,,,,,,,,,,,,,19.85
2016-09-28,,,,,,,,,,,,,,,,,,,,,,,19.8
2016-09-29,,,,,,,,,,,,,,,,,,,,,,,19.91
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,19.85
2016-10-03,,,,,,,,,,,,,,,,,,,,,,,19.83
2016-10-04,,,,,,,,,,,,,,,,,,,,,,,19.84
2016-10-05,,,,,,,,,,,,,,,,,,,,,,,19.86
2016-10-06,,,,,,,,,,,,,,,,,,,,,,,19.67
2016-10-07,,,,,,,,,,,,,,,,,,,,,,,19.61
2016-10-10,,,,,,,,,,,,,,,,,,,,,,,19.79
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,19.48
2016-10-12,,,,,,,,,,,,,,,,,,,,,,,19.41
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,19.31
2016-10-14,,,,,,,,,,,,,,,,,,,,,,,19.34
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,19.3
2016-10-18,,,,,,,,,,,,,,,,,,,,,,,19.45
2016-10-19,,,,,,,,,,,,,,,,,,,,,,,19.52
2016-10-20,,,,,,,,,,,,,,,,,,,,,,,19.48
2016-10-21,,,,,,,,,,,,,,,,,,,,,,,19.53
2016-10-24,,,,,,,,,,,,,,,,,,,,,,,19.69
2016-10-25,,,,,,,,,,,,,,,,,,,,,,,19.46
2016-10-26,,,,,,,,,,,,,,,,,,,,,,,19.41
2016-10-27,,,,,,,,,,,,,,,,,,,,,,,19.26
2016-10-28,,,,,,,,,,,,,,,,,,,,,,,19.25
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,19.16
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,19.05
2016-11-02,,,,,,,,,,,,,,,,,,,,,,,18.94
2016-11-03,,,,,,,,,,,,,,,,,,,,,,,18.76
2016-11-04,,,,,,,,,,,,,,,,,,,,,,,18.75
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,19.04
2016-11-08,,,,,,,,,,,,,,,,,,,,,,,19.19
2016-11-09,,,,,,,,,,,,,,,,,,,,,,,19.4
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,19.34
2016-11-11,,,,,,,,,,,,,,,,,,,,,,,19.26
2016-11-14,,,,,,,,,,,,,,,,,,,,,,,19.31
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,19.35
2016-11-16,,,,,,,,,,,,,,,,,,,,,,,19.45
2016-11-17,,,,,,,,,,,,,,,,,,,,,,,19.5
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,19.5
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,19.61
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,19.55
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,19.6
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,19.76
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,19.75
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,19.67
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,19.75
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,19.72
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,19.41
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,19.35
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,19.54
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,19.54
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,19.57
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,19.85
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,19.93
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,19.85
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,19.9
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,19.87
2016-12-15,,,,,,,,,,,,,,,,,,,,,,,19.95
2016-12-16,,,,,,,,,,,,,,,,,,,,,,,19.92
2016-12-19,,,,,,,,,,,,,,,,,,,,,,,19.99
2016-12-20,,,,,,,,,,,,,,,,,,,,,,,19.99
2016-12-21,,,,,,,,,,,,,,,,,,,,,,,20.01
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,19.88
2016-12-23,,,,,,,,,,,,,,,,,,,,,,,19.93
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,20.05
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,19.97
2016-12-29,,,,,,,,,,,,,,,,,,,,,,,19.89
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,19.85
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,19.97
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,19.94
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,20.16
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,20.15
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,20.2
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,20.21
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,20.25
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,20.1
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,19.98
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,20.23
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,20.18
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,20.1
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,20.1
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,20.11
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,20.16
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,20.07
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,20.18
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,20.41
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,20.46
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,20.34
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,20.12
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,20.2
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,20.26
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,20.38
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,20.47
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,20.45
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,20.48
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,20.47
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,20.62
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,20.62
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,20.7
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,20.77
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,20.88
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,20.98
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,20.94
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,21.03
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,21.06
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,21.14
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,21.2
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,20.92
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,20.93
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,20.89
