,ALMKT FP Equity_DX_SI_QTY,ALMKT FP Equity_DX_SHORT_INTEREST_VALUE,ALMKT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMKT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMKT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMKT FP Equity_DX_SI_MV,ALMKT FP Equity_DX_DSS,ALMKT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMKT FP Equity_DX_SUPPLY_SI_QTY,ALMKT FP Equity_DX_BROKER_SI_QTY,ALMKT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMKT FP Equity_DX_BROKER_SI_MV_NEW_x,ALMKT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALMKT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMKT FP Equity_DX_BROKER_SI_MV_INC_x,ALMKT FP Equity_DX_SUPPLY_SI_MV_NEW,ALMKT FP Equity_DX_BROKER_SI_QTY_ADD,ALMKT FP Equity_DX_BROKER_SI_QTY_NEW,ALMKT FP Equity_DX_SUPPLY_SI_MV_DEC,ALMKT FP Equity_DX_BROKER_SI_QTY_INC,ALMKT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMKT FP Equity_DX_BROKER_SI_MV_NEW_y,ALMKT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALMKT FP Equity_DX_BROKER_SI_MV_INC_y,ALMKT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMKT FP Equity_DX_BROKER_SI_MV_ADD,ALMKT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMKT FP Equity_DX_BROKER_SI_QTY_DEC,ALMKT FP Equity_DX_SUPPLY_SI_MV,ALMKT FP Equity_DX_BROKER_SI_MV_DEC,ALMKT FP Equity_DX_SUPPLY_SI_MV_RMV,ALMKT FP Equity_DX_BROKER_SI_MV_RMV,ALMKT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMKT FP Equity_DX_UTILIZATION_QUANTITY,ALMKT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMKT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMKT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALMKT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMKT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMKT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMKT FP Equity_DX_BROKER_SI_CON_RATIO,ALMKT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMKT FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1266707.0,,1.33,0.0,,0.0,,0.0
2011-08-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1310554.55,,1.28,0.0,,0.0,,0.0
2011-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1315426.5,,1.31,0.0,,0.0,,0.0
2011-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1295938.7,,1.31,0.0,,0.0,,0.0
2011-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1298861.87,,1.3,0.0,,0.0,,0.0
2011-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1335888.69,,1.31,0.0,,0.0,,0.0
2011-08-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1323221.62,,1.33,0.0,,0.0,,0.0
2011-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1319324.06,,1.32,0.0,,0.0,,0.0
2011-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1370966.73,,1.34,0.0,,0.0,,0.0
2011-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1383633.8,,1.38,0.0,,0.0,,0.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1330042.35,,1.37,0.0,,0.0,,0.0
2011-09-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1247219.2,,1.3,0.0,,0.0,,0.0
2011-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1140036.3,,1.21,0.0,,0.0,,0.0
2011-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1120548.5,,1.13,0.0,,0.0,,0.0
2011-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1169268.0,,1.14,0.0,,0.0,,0.0
2011-09-08,8433.0,109207.35,0.14,0.25,0.06,0.1,0.0,0.0,8433.0,0.0,109207.35,,,,,,,,,,,,,,,,8433.0,,0.1,,,,8.11,8.11,95506.0,1236802.7,,1.18,7.95,,1.0,100.0,0.0811
2011-09-09,11000.0,134750.0,0.19,0.34,0.08,0.15,0.0,0.0,11000.0,0.0,134750.0,,,2567.0,,,,,,,,,,,2567.0,,,,0.15,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-12,11000.0,125070.0,0.19,0.35,0.08,0.14,0.0,0.0,11000.0,0.0,125070.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-13,11000.0,132000.0,0.19,0.35,0.08,0.12,0.0,0.0,11000.0,0.0,132000.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-14,11000.0,130240.0,0.19,0.36,0.08,0.13,0.0,0.0,11000.0,0.0,130240.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-15,11000.0,132660.0,0.19,0.37,0.08,0.13,0.0,0.0,11000.0,0.0,132660.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-16,11000.0,132990.0,0.19,0.39,0.08,0.13,0.0,0.0,11000.0,0.0,132990.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-19,11000.0,128700.0,0.19,0.46,0.08,0.13,0.0,0.0,11000.0,0.0,128700.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-20,11000.0,128700.0,0.19,0.5,0.08,0.13,0.0,0.0,11000.0,0.0,128700.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-21,11000.0,124410.0,0.19,0.54,0.08,0.13,0.0,0.0,11000.0,0.0,124410.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-22,11000.0,117040.0,0.19,0.58,0.08,0.13,0.0,0.0,11000.0,0.0,117040.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-23,11000.0,115500.0,0.19,0.61,0.08,0.12,0.0,0.0,11000.0,0.0,115500.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-26,11000.0,110220.0,0.19,0.75,0.08,0.12,0.0,0.0,11000.0,0.0,110220.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-27,11000.0,120780.0,0.19,0.74,0.08,0.11,0.0,0.0,11000.0,0.0,120780.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,10.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1058
2011-09-28,11000.0,124190.0,0.19,0.71,0.08,0.12,0.0,0.0,11000.0,0.0,124190.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-09-29,11000.0,126500.0,0.19,0.72,0.08,0.12,0.0,0.0,11000.0,0.0,126500.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-09-30,11000.0,125290.0,0.19,0.76,0.08,0.13,0.0,0.0,11000.0,0.0,125290.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-10-03,16000.0,179200.0,0.27,1.14,0.12,0.18,0.0,56000.0,11000.0,5000.0,123200.0,0.06,,,,,,5000.0,,,,0.06,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,30.86,0.5733,69.14,0.157
2011-10-04,16000.0,174240.0,0.27,1.22,0.12,0.18,0.0,54450.0,11000.0,5000.0,119790.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.36,0.5695,68.64,0.157
2011-10-05,16000.0,182400.0,0.27,1.21,0.12,0.17,0.0,57000.0,11000.0,5000.0,125400.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.37,0.5694,68.63,0.157
2011-10-06,16000.0,192640.0,0.27,1.15,0.12,0.18,0.0,60200.0,11000.0,5000.0,132440.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,10.79,0.0,0.0,,0.0,100.0,32.54,0.5609,67.46,0.157
2011-10-07,16000.0,199200.0,0.27,1.13,0.12,0.19,0.0,62250.0,11000.0,5000.0,136950.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.22,0.5705,68.78,0.157
2011-10-10,16000.0,198400.0,0.27,1.13,0.12,0.2,0.0,62000.0,11000.0,5000.0,136400.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.49,0.5685,68.51,0.157
2011-10-11,16000.0,199040.0,0.27,1.13,0.12,0.2,0.0,62200.0,11000.0,5000.0,136840.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.23,0.5704,68.77,0.157
2011-10-12,16000.0,196800.0,0.27,1.2,0.12,0.2,0.0,61500.0,11000.0,5000.0,135300.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.49,0.5685,68.51,0.157
2011-10-13,16000.0,200000.0,0.27,1.21,0.12,0.2,0.0,62500.0,11000.0,5000.0,137500.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.22,0.5705,68.78,0.157
2011-10-14,16000.0,200000.0,0.27,1.26,0.12,0.2,0.0,62500.0,11000.0,5000.0,137500.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.53,0.5682,68.47,0.157
2011-10-17,16000.0,200000.0,0.27,1.29,0.12,0.2,0.0,62500.0,11000.0,5000.0,137500.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.06,0.5718,68.94,0.157
2011-10-18,16000.0,201920.0,0.27,1.48,0.12,0.2,0.0,63100.0,11000.0,5000.0,138820.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.21,0.5706,68.79,0.157
2011-10-19,16000.0,202240.0,0.27,1.54,0.12,0.2,0.0,63200.0,11000.0,5000.0,139040.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.36,0.5695,68.64,0.157
2011-10-20,16000.0,198400.0,0.27,1.44,0.12,0.2,0.0,62000.0,11000.0,5000.0,136400.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.21,0.5706,68.79,0.157
2011-10-21,16000.0,198560.0,0.27,1.5,0.12,0.2,0.0,62050.0,11000.0,5000.0,136510.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.56,0.568,68.44,0.157
2011-10-24,16000.0,195200.0,0.27,1.21,0.12,0.2,0.0,61000.0,11000.0,5000.0,134200.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.29,0.57,68.71,0.157
2011-10-25,16000.0,195200.0,0.27,1.24,0.12,0.2,0.0,61000.0,11000.0,5000.0,134200.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,31.29,0.57,68.71,0.157
2011-10-26,11000.0,134090.0,0.19,0.87,0.08,0.13,0.0,0.0,11000.0,0.0,134090.0,,,,,,,,,,,,,,,,,5000.0,0.13,0.06,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-10-27,11000.0,136070.0,0.19,0.83,0.08,0.13,0.0,0.0,11000.0,0.0,136070.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-10-28,11000.0,136840.0,0.19,0.84,0.08,0.14,0.0,0.0,11000.0,0.0,136840.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-10-31,11000.0,139150.0,0.19,0.84,0.08,0.14,0.0,0.0,11000.0,0.0,139150.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-11-01,11000.0,129800.0,0.19,0.84,0.08,0.14,0.0,0.0,11000.0,0.0,129800.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-11-02,11000.0,132000.0,0.19,0.82,0.08,0.13,0.0,0.0,11000.0,0.0,132000.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-11-03,11000.0,132770.0,0.19,0.77,0.08,0.13,0.0,0.0,11000.0,0.0,132770.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1079
2011-11-04,11000.0,142780.0,0.19,0.77,0.08,0.13,0.0,0.0,11000.0,0.0,142780.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1029
2011-11-07,11000.0,137610.0,0.19,0.73,0.08,0.14,0.0,0.0,11000.0,0.0,137610.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1029
2011-11-08,11000.0,139480.0,0.19,0.74,0.08,0.14,0.0,0.0,11000.0,0.0,139480.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1029
2011-11-09,11000.0,133320.0,0.19,0.77,0.08,0.14,0.0,0.0,11000.0,0.0,133320.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1029
2011-11-10,11000.0,135740.0,0.19,0.72,0.08,0.13,0.0,0.0,11000.0,0.0,135740.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1029
2011-11-11,11000.0,137060.0,0.19,0.72,0.08,0.13,0.0,0.0,11000.0,0.0,137060.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,10.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1029
2011-11-14,11000.0,136840.0,0.19,0.72,0.08,0.14,0.0,0.0,11000.0,0.0,136840.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1029
2011-11-15,11000.0,136620.0,0.19,0.73,0.08,0.14,0.0,0.0,11000.0,0.0,136620.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.9,0.0,0.0,,0.0,100.0,,1.0,100.0,0.109
2011-11-16,11000.0,137830.0,0.19,0.74,0.08,0.14,0.0,0.0,11000.0,0.0,137830.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.9,0.0,0.0,,0.0,100.0,,1.0,100.0,0.109
2011-11-17,11000.0,139150.0,0.19,0.76,0.08,0.14,0.0,0.0,11000.0,0.0,139150.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,10.9,0.0,0.0,,0.0,100.0,,1.0,100.0,0.109
