,MLFTI FP Equity_DX_SI_QTY,MLFTI FP Equity_DX_SHORT_INTEREST_VALUE,MLFTI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLFTI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLFTI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLFTI FP Equity_DX_SI_MV,MLFTI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLFTI FP Equity_DX_SUPPLY_SI_QTY,MLFTI FP Equity_DX_BROKER_SI_QTY,MLFTI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLFTI FP Equity_DX_SUPPLY_SI_MV,MLFTI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLFTI FP Equity_DX_UTILIZATION_QUANTITY,MLFTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLFTI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLFTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLFTI FP Equity_DX_ACTIVE_UTILIZATION_MV,MLFTI FP Equity_DX_BROKER_SI_CON_RATIO,MLFTI FP Equity_DX_DEMAND_SUPPLY_RATIO,MLFTI FP Equity_PX_LAST
2010-12-27,,,,,,,,,,,,,,,,,,,,1.19
2010-12-28,,,,,,,,,,,,,,,,,,,,1.19
2010-12-29,,,,,,,,,,,,,,,,,,,,1.19
2010-12-30,,,,,,,,,,,,,,,,,,,,1.19
2010-12-31,,,,,,,,,,,,,,,,,,,,1.19
2011-01-05,,,,,,,,,,,,,,,,,,,,1.24
2011-01-06,,,,,,,,,,,,,,,,,,,,1.24
2011-01-07,,,,,,,,,,,,,,,,,,,,1.24
2011-01-11,,,,,,,,,,,,,,,,,,,,1.24
2011-01-12,,,,,,,,,,,,,,,,,,,,1.25
2011-01-13,,,,,,,,,,,,,,,,,,,,1.25
2011-01-14,,,,,,,,,,,,,,,,,,,,1.24
2011-01-17,,,,,,,,,,,,,,,,,,,,1.23
2011-01-18,,,,,,,,,,,,,,,,,,,,1.24
2011-01-19,,,,,,,,,,,,,,,,,,,,1.24
2011-01-20,,,,,,,,,,,,,,,,,,,,1.24
2011-01-21,,,,,,,,,,,,,,,,,,,,1.24
2011-01-24,,,,,,,,,,,,,,,,,,,,1.24
2011-01-25,,,,,,,,,,,,,,,,,,,,1.24
2011-01-26,,,,,,,,,,,,,,,,,,,,1.24
2011-01-27,,,,,,,,,,,,,,,,,,,,1.23
2011-01-28,,,,,,,,,,,,,,,,,,,,1.24
2011-01-31,,,,,,,,,,,,,,,,,,,,1.24
2011-02-01,,,,,,,,,,,,,,,,,,,,1.24
2011-02-02,,,,,,,,,,,,,,,,,,,,1.24
2011-02-03,,,,,,,,,,,,,,,,,,,,1.24
2011-02-04,,,,,,,,,,,,,,,,,,,,1.24
2011-02-07,,,,,,,,,,,,,,,,,,,,1.24
2011-02-08,,,,,,,,,,,,,,,,,,,,1.24
2011-02-09,,,,,,,,,,,,,,,,,,,,1.24
2011-02-10,,,,,,,,,,,,,,,,,,,,1.24
2011-02-11,,,,,,,,,,,,,,,,,,,,1.24
2011-02-14,,,,,,,,,,,,,,,,,,,,1.24
2011-02-15,,,,,,,,,,,,,,,,,,,,1.24
2011-02-16,,,,,,,,,,,,,,,,,,,,1.25
2011-02-17,,,,,,,,,,,,,,,,,,,,1.24
2011-02-18,,,,,,,,,,,,,,,,,,,,1.24
2011-02-21,,,,,,,,,,,,,,,,,,,,1.24
2011-02-22,,,,,,,,,,,,,,,,,,,,1.24
2011-02-23,,,,,,,,,,,,,,,,,,,,1.24
2011-02-24,,,,,,,,,,,,,,,,,,,,1.25
2011-02-25,,,,,,,,,,,,,,,,,,,,1.24
2011-02-28,,,,,,,,,,,,,,,,,,,,1.24
2011-03-01,,,,,,,,,,,,,,,,,,,,1.24
2011-03-02,,,,,,,,,,,,,,,,,,,,1.24
2011-03-03,,,,,,,,,,,,,,,,,,,,1.23
2011-03-04,,,,,,,,,,,,,,,,,,,,1.23
2011-03-07,,,,,,,,,,,,,,,,,,,,1.23
2011-03-08,,,,,,,,,,,,,,,,,,,,1.23
2011-03-09,,,,,,,,,,,,,,,,,,,,1.23
2011-03-10,,,,,,,,,,,,,,,,,,,,1.23
2011-03-11,,,,,,,,,,,,,,,,,,,,1.23
2011-03-14,,,,,,,,,,,,,,,,,,,,1.23
2011-03-15,,,,,,,,,,,,,,,,,,,,1.23
2011-03-16,,,,,,,,,,,,,,,,,,,,1.23
2011-03-17,,,,,,,,,,,,,,,,,,,,1.23
2011-03-18,,,,,,,,,,,,,,,,,,,,1.23
2011-03-21,,,,,,,,,,,,,,,,,,,,1.23
2011-03-22,,,,,,,,,,,,,,,,,,,,1.23
2011-03-23,,,,,,,,,,,,,,,,,,,,1.23
2011-03-24,,,,,,,,,,,,,,,,,,,,1.23
2011-03-25,,,,,,,,,,,,,,,,,,,,1.23
2011-03-28,,,,,,,,,,,,,,,,,,,,1.23
2011-03-29,,,,,,,,,,,,,,,,,,,,1.23
2011-03-30,,,,,,,,,,,,,,,,,,,,1.23
2011-03-31,,,,,,,,,,,,,,,,,,,,1.23
2011-04-01,,,,,,,,,,,,,,,,,,,,1.24
2011-04-06,,,,,,,,,,,,,,,,,,,,1.24
2011-04-12,,,,,,,,,,,,,,,,,,,,1.24
2011-04-13,,,,,,,,,,,,,,,,,,,,1.24
2011-04-14,,,,,,,,,,,,,,,,,,,,1.24
2011-04-15,,,,,,,,,,,,,,,,,,,,1.35
2011-04-18,,,,,,,,,,,,,,,,,,,,1.26
2011-04-19,,,,,,,,,,,,,,,,,,,,1.26
2011-04-20,,,,,,,,,,,,,,,,,,,,1.27
2011-04-21,,,,,,,,,,,,,,,,,,,,1.3
2011-04-26,,,,,,,,,,,,,,,,,,,,1.32
2011-04-29,,,,,,,,,,,,,,,,,,,,1.31
2011-05-03,,,,,,,,,,,,,,,,,,,,1.35
2011-05-04,,,,,,,,,,,,,,,,,,,,1.39
2011-05-06,,,,,,,,,,,,,,,,,,,,1.38
2011-05-13,,,,,,,,,,,,,,,,,,,,1.38
2011-05-17,,,,,,,,,,,,,,,,,,,,1.38
2011-05-20,,,,,,,,,,,,,,,,,,,,1.37
2011-05-24,,,,,,,,,,,,,,,,,,,,1.37
2011-05-27,,,,,,,,,,,,,,,,,,,,1.37
2011-05-31,,,,,,,,,,,,,,,,,,,,1.37
2011-06-06,,,,,,,,,,,,,,,,,,,,1.37
2011-06-09,,,,,,,,,,,,,,,,,,,,1.37
2011-06-10,,,,,,,,,,,,,,,,,,,,1.37
2011-06-14,,,,,,,,,,,,,,,,,,,,1.37
2011-06-17,,,,,,,,,,,,,,,,,,,,1.37
2011-06-21,,,,,,,,,,,,,,,,,,,,1.4
2011-06-22,,,,,,,,,,,,,,,,,,,,1.4
2011-06-24,,,,,,,,,,,,,,,,,,,,1.41
2011-06-28,,,,,,,,,,,,,,,,,,,,1.41
2011-06-29,,,,,,,,,,,,,,,,,,,,1.42
2011-07-01,,,,,,,,,,,,,,,,,,,,1.42
2011-07-05,,,,,,,,,,,,,,,,,,,,1.42
2011-07-12,,,,,,,,,,,,,,,,,,,,1.42
2011-07-14,,,,,,,,,,,,,,,,,,,,1.45
2011-07-15,,,,,,,,,,,,,,,,,,,,1.45
2011-07-19,,,,,,,,,,,,,,,,,,,,1.45
2011-07-21,,,,,,,,,,,,,,,,,,,,1.48
2011-07-22,,,,,,,,,,,,,,,,,,,,1.48
2011-07-26,,,,,,,,,,,,,,,,,,,,1.48
2011-07-29,,,,,,,,,,,,,,,,,,,,1.48
2011-08-02,,,,,,,,,,,,,,,,,,,,1.48
2011-08-05,,,,,,,,,,,,,,,,,,,,1.6
2011-08-16,,,,,,,,,,,,,,,,,,,,1.6
2011-08-19,,,,,,,,,,,,,,,,,,,,1.6
2011-08-23,,,,,,,,,,,,,,,,,,,,1.6
2011-08-26,,,,,,,,,,,,,,,,,,,,1.6
2011-08-31,,,,,,,,,,,,,,,,,,,,1.6
2011-09-01,,,,,,,,,,,,,,,,,,,,1.63
2011-09-02,,,,,,,,,,,,,,,,,,,,1.63
2011-09-06,,,,,,,,,,,,,,,,,,,,1.62
2011-09-09,,,,,,,,,,,,,,,,,,,,1.62
2011-09-13,,,,,,,,,,,,,,,,,,,,1.62
2011-09-16,,,,,,,,,,,,,,,,,,,,1.63
2011-09-20,,,,,,,,,,,,,,,,,,,,1.63
2011-09-23,,,,,,,,,,,,,,,,,,,,1.63
2011-09-27,,,,,,,,,,,,,,,,,,,,1.63
2011-09-30,,,,,,,,,,,,,,,,,,,,1.63
2011-10-04,,,,,,,,,,,,,,,,,,,,1.63
2011-10-07,,,,,,,,,,,,,,,,,,,,1.63
2011-10-11,,,,,,,,,,,,,,,,,,,,1.63
2011-10-18,,,,,,,,,,,,,,,,,,,,1.63
2011-10-21,,,,,,,,,,,,,,,,,,,,1.63
2011-10-25,,,,,,,,,,,,,,,,,,,,1.63
2011-10-28,,,,,,,,,,,,,,,,,,,,1.63
2011-11-01,,,,,,,,,,,,,,,,,,,,1.63
2011-11-04,,,,,,,,,,,,,,,,,,,,1.63
2011-11-08,,,,,,,,,,,,,,,,,,,,1.6
2011-11-09,,,,,,,,,,,,,,,,,,,,1.61
2011-11-11,,,,,,,,,,,,,,,,,,,,1.55
2011-11-15,,,,,,,,,,,,,,,,,,,,1.56
2011-11-22,,,,,,,,,,,,,,,,,,,,1.56
2011-11-29,,,,,,,,,,,,,,,,,,,,1.55
2011-12-02,,,,,,,,,,,,,,,,,,,,1.56
2011-12-06,,,,,,,,,,,,,,,,,,,,1.56
2011-12-09,,,,,,,,,,,,,,,,,,,,1.56
2011-12-13,,,,,,,,,,,,,,,,,,,,1.56
2011-12-16,,,,,,,,,,,,,,,,,,,,1.55
2011-12-20,,,,,,,,,,,,,,,,,,,,1.54
2011-12-23,,,,,,,,,,,,,,,,,,,,1.54
2011-12-27,,,,,,,,,,,,,,,,,,,,1.54
2011-12-29,,,,,,,,,,,,,,,,,,,,1.55
2011-12-30,,,,,,,,,,,,,,,,,,,,1.54
2012-01-04,,,,,,,,,,,,,,,,,,,,1.49
2012-01-09,,,,,,,,,,,,,,,,,,,,1.49
2012-01-13,,,,,,,,,,,,,,,,,,,,1.49
2012-01-20,,,,,,,,,,,,,,,,,,,,1.35
2012-01-24,,,,,,,,,,,,,,,,,,,,1.35
2012-01-30,,,,,,,,,,,,,,,,,,,,1.54
2012-01-31,,,,,,,,,,,,,,,,,,,,1.55
2012-02-01,,,,,,,,,,,,,,,,,,,,1.55
2012-02-03,,,,,,,,,,,,,,,,,,,,1.53
2012-02-07,,,,,,,,,,,,,,,,,,,,1.53
2012-02-09,,,,,,,,,,,,,,,,,,,,1.53
2012-02-10,,,,,,,,,,,,,,,,,,,,1.53
2012-02-14,,,,,,,,,,,,,,,,,,,,1.53
2012-02-17,,,,,,,,,,,,,,,,,,,,1.53
2012-02-21,,,,,,,,,,,,,,,,,,,,1.53
2012-02-24,,,,,,,,,,,,,,,,,,,,1.53
2012-02-29,,,,,,,,,,,,,,,,,,,,1.53
2012-03-02,,,,,,,,,,,,,,,,,,,,1.52
2012-03-06,,,,,,,,,,,,,,,,,,,,1.52
2012-03-09,,,,,,,,,,,,,,,,,,,,1.52
2012-03-13,,,,,,,,,,,,,,,,,,,,1.52
2012-03-16,,,,,,,,,,,,,,,,,,,,1.52
2012-03-27,,,,,,,,,,,,,,,,,,,,1.52
2012-03-30,,,,,,,,,,,,,,,,,,,,1.51
2012-04-03,,,,,,,,,,,,,,,,,,,,1.52
2012-04-10,,,,,,,,,,,,,,,,,,,,1.52
2012-04-13,,,,,,,,,,,,,,,,,,,,1.52
2012-04-18,,,,,,,,,,,,,,,,,,,,1.52
2012-04-19,,,,,,,,,,,,,,,,,,,,1.51
2012-04-20,,,,,,,,,,,,,,,,,,,,1.51
2012-04-24,,,,,,,,,,,,,,,,,,,,1.52
2012-04-25,,,,,,,,,,,,,,,,,,,,1.51
2012-04-27,,,,,,,,,,,,,,,,,,,,1.52
2012-05-04,,,,,,,,,,,,,,,,,,,,1.52
2012-05-11,,,,,,,,,,,,,,,,,,,,1.52
2012-05-15,,,,,,,,,,,,,,,,,,,,1.52
2012-05-18,,,,,,,,,,,,,,,,,,,,1.52
2012-05-22,,,,,,,,,,,,,,,,,,,,1.52
2012-05-23,,,,,,,,,,,,,,,,,,,,1.51
2012-05-25,,,,,,,,,,,,,,,,,,,,1.52
2012-05-29,,,,,,,,,,,,,,,,,,,,1.53
2012-06-01,,,,,,,,,,,,,,,,,,,,1.53
2012-06-05,,,,,,,,,,,,,,,,,,,,1.53
2012-06-08,,,,,,,,,,,,,,,,,,,,1.53
2012-06-12,,,,,,,,,,,,,,,,,,,,1.53
2012-06-19,,,,,,,,,,,,,,,,,,,,1.51
2012-06-22,,,,,,,,,,,,,,,,,,,,1.52
2012-06-26,,,,,,,,,,,,,,,,,,,,1.52
2012-07-03,,,,,,,,,,,,,,,,,,,,1.52
2012-07-06,,,,,,,,,,,,,,,,,,,,1.52
2012-07-10,,,,,,,,,,,,,,,,,,,,1.52
2012-07-17,,,,,,,,,,,,,,,,,,,,1.52
2012-07-24,,,,,,,,,,,,,,,,,,,,1.52
2012-07-27,,,,,,,,,,,,,,,,,,,,1.52
2012-07-30,,,,,,,,,,,,,,,,,,,,1.52
2012-08-14,,,,,,,,,,,,,,,,,,,,1.52
2012-08-17,,,,,,,,,,,,,,,,,,,,1.52
2012-08-21,,,,,,,,,,,,,,,,,,,,1.52
2012-08-24,,,,,,,,,,,,,,,,,,,,1.52
2012-08-30,,,,,,,,,,,,,,,,,,,,1.51
2012-08-31,,,,,,,,,,,,,,,,,,,,1.52
2012-09-04,,,,,,,,,,,,,,,,,,,,1.52
2012-09-07,,,,,,,,,,,,,,,,,,,,1.52
2012-09-12,,,,,,,,,,,,,,,,,,,,1.52
2012-09-14,,,,,,,,,,,,,,,,,,,,1.52
2012-09-18,,,,,,,,,,,,,,,,,,,,1.52
2012-09-21,,,,,,,,,,,,,,,,,,,,1.52
2012-10-05,,,,,,,,,,,,,,,,,,,,1.52
2012-10-09,,,,,,,,,,,,,,,,,,,,1.52
2012-10-12,,,,,,,,,,,,,,,,,,,,1.52
2012-10-16,,,,,,,,,,,,,,,,,,,,1.52
2012-10-19,,,,,,,,,,,,,,,,,,,,1.52
2012-10-23,,,,,,,,,,,,,,,,,,,,1.52
2012-10-26,,,,,,,,,,,,,,,,,,,,1.52
2012-10-31,,,,,,,,,,,,,,,,,,,,1.52
2012-11-02,,,,,,,,,,,,,,,,,,,,1.52
2012-11-06,,,,,,,,,,,,,,,,,,,,1.52
2012-11-09,,,,,,,,,,,,,,,,,,,,1.52
2012-11-13,,,,,,,,,,,,,,,,,,,,1.52
2012-11-19,,,,,,,,,,,,,,,,,,,,1.52
2012-11-23,,,,,,,,,,,,,,,,,,,,1.52
2012-11-27,,,,,,,,,,,,,,,,,,,,1.52
2012-11-29,,,,,,,,,,,,,,,,,,,,1.52
2012-12-04,,,,,,,,,,,,,,,,,,,,1.52
2012-12-07,,,,,,,,,,,,,,,,,,,,1.52
2012-12-12,,,,,,,,,,,,,,,,,,,,1.52
2012-12-14,,,,,,,,,,,,,,,,,,,,1.52
2012-12-18,,,,,,,,,,,,,,,,,,,,1.52
2012-12-20,,,,,,,,,,,,,,,,,,,,1.52
2012-12-31,,,,,,,,,,,,,,,,,,,,1.52
2013-01-04,,,,,,,,,,,,,,,,,,,,1.52
2013-01-08,,,,,,,,,,,,,,,,,,,,1.52
2013-01-10,,,,,,,,,,,,,,,,,,,,1.52
2013-01-15,,,,,,,,,,,,,,,,,,,,1.52
2013-01-18,,,,,,,,,,,,,,,,,,,,1.53
2013-01-22,,,,,,,,,,,,,,,,,,,,1.53
2013-01-23,,,,,,,,,,,,,,,,,,,,1.6
2013-01-25,,,,,,,,,,,,,,,,,,,,1.6
2013-01-29,,,,,,,,,,,,,,,,,,,,1.6
2013-01-31,,,,,,,,,,,,,,,,,,,,1.65
2013-02-01,,,,,,,,,,,,,,,,,,,,1.8
2013-02-04,,,,,,,,,,,,,,,,,,,,1.98
2013-02-05,,,,,,,,,,,,,,,,,,,,1.98
2013-02-08,,,,,,,,,,,,,,,,,,,,1.98
2013-02-12,,,,,,,,,,,,,,,,,,,,1.98
2013-02-15,,,,,,,,,,,,,,,,,,,,1.98
2013-02-19,,,,,,,,,,,,,,,,,,,,1.98
2013-02-22,,,,,,,,,,,,,,,,,,,,1.98
2013-02-26,,,,,,,,,,,,,,,,,,,,1.98
2013-03-01,,,,,,,,,,,,,,,,,,,,1.8
2013-03-06,,,,,,,,,,,,,,,,,,,,1.91
2013-03-11,,,,,,,,,,,,,,,,,,,,1.51
2013-03-13,,,,,,,,,,,,,,,,,,,,1.5
2013-03-14,,,,,,,,,,,,,,,,,,,,1.5
2013-03-15,,,,,,,,,,,,,,,,,,,,1.48
2013-03-20,,,,,,,,,,,,,,,,,,,,1.3
