,INEA FP Equity_DX_SI_QTY,INEA FP Equity_DX_SHORT_INTEREST_VALUE,INEA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,INEA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,INEA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,INEA FP Equity_DX_SI_MV,INEA FP Equity_DX_DSS,INEA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,INEA FP Equity_DX_SUPPLY_SI_QTY,INEA FP Equity_DX_BROKER_SI_QTY,INEA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,INEA FP Equity_DX_SUPPLY_SI_QTY_INC_x,INEA FP Equity_DX_BROKER_SI_MV_INC_x,INEA FP Equity_DX_BROKER_SI_QTY_ADD,INEA FP Equity_DX_SUPPLY_SI_MV_DEC,INEA FP Equity_DX_BROKER_SI_QTY_INC,INEA FP Equity_DX_SUPPLY_SI_QTY_DEC,INEA FP Equity_DX_BROKER_SI_MV_INC_y,INEA FP Equity_DX_SUPPLY_SI_QTY_INC_y,INEA FP Equity_DX_BROKER_SI_MV_ADD,INEA FP Equity_DX_SUPPLY_SI_QTY_ADD,INEA FP Equity_DX_BROKER_SI_QTY_DEC,INEA FP Equity_DX_SUPPLY_SI_MV,INEA FP Equity_DX_BROKER_SI_MV_DEC,INEA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,INEA FP Equity_DX_UTILIZATION_QUANTITY,INEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,INEA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,INEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,INEA FP Equity_DX_ACTIVE_UTILIZATION_MV,INEA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,INEA FP Equity_DX_BROKER_SI_CON_RATIO,INEA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,INEA FP Equity_DX_DEMAND_SUPPLY_RATIO,INEA FP Equity_PX_LAST
2007-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.56
2007-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5
2007-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.69
2007-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.69
2007-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
2007-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9
2007-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
2007-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
2007-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5
2007-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.98
2007-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.98
2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.97
2007-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41
2007-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.95
2007-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2007-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.92
2007-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.99
2007-05-09,1180.0,31359.24,0.04,1.42,0.04,0.05,,31359.24,0.0,1180.0,0.0,,,1180.0,,,,,,0.05,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.0
2007-05-10,1180.0,31294.91,0.04,1.39,0.04,0.05,,31294.91,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.92
2007-05-11,1180.0,31359.24,0.04,1.47,0.04,0.05,,31359.24,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.0
2007-05-14,1180.0,31294.91,0.04,1.39,0.04,0.05,,31294.91,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.92
2007-05-15,1180.0,31351.2,0.04,1.37,0.04,0.05,,31351.2,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.99
2007-05-16,1180.0,31311.0,0.04,1.34,0.04,0.05,,31311.0,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.94
2007-05-17,1180.0,31294.91,0.04,1.34,0.04,0.05,,31294.91,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.92
2007-05-18,1180.0,31311.0,0.04,1.34,0.04,0.05,,31311.0,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,38.94
2007-05-21,1180.0,31801.49,0.04,1.33,0.04,0.05,,31801.49,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.55
2007-05-22,1180.0,31761.28,0.04,1.11,0.04,0.05,,31761.28,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.5
2007-05-23,1180.0,31753.24,0.04,1.09,0.04,0.05,,31753.24,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.49
2007-05-24,1180.0,31560.26,0.04,0.99,0.04,0.05,,31560.26,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.25
2007-05-25,1180.0,31946.22,0.04,0.95,0.04,0.05,,31946.22,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.73
2007-05-28,1180.0,31841.69,0.04,0.95,0.04,0.05,,31841.69,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.6
2007-05-29,1180.0,31825.61,0.04,0.99,0.04,0.05,,31825.61,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.58
2007-05-30,1180.0,31737.16,0.04,0.99,0.04,0.05,,31737.16,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.47
2007-05-31,1180.0,31761.28,0.04,0.99,0.04,0.05,,31761.28,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.5
2007-06-01,1180.0,31962.3,0.04,0.99,0.04,0.05,,31962.3,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.75
2007-06-04,1180.0,31922.1,0.04,0.95,0.04,0.05,,31922.1,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.7
2007-06-05,1180.0,31841.69,0.04,0.89,0.04,0.05,,31841.69,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.6
2007-06-06,1180.0,31761.28,0.04,0.88,0.04,0.05,,31761.28,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.5
2007-06-07,1180.0,31600.47,0.04,0.85,0.04,0.05,,31600.47,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.3
2007-06-08,1180.0,31640.67,0.04,0.8,0.04,0.05,,31640.67,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.35
2007-06-11,1180.0,31841.69,0.04,0.72,0.04,0.05,,31841.69,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.6
2007-06-12,1180.0,31986.43,0.04,0.67,0.04,0.05,,31986.43,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.78
2007-06-13,1180.0,31753.24,0.04,0.63,0.04,0.05,,31753.24,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.49
2007-06-14,1180.0,31753.24,0.04,0.64,0.04,0.05,,31753.24,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.49
2007-06-15,1180.0,31761.28,0.04,0.69,0.04,0.05,,31761.28,0.0,1180.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,39.5
2007-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7
2007-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.75
2007-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5
2007-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5
2007-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.85
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.65
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.18
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.38
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.28
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35
2007-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.07
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.09
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.73
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5
2007-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3
2007-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.27
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.49
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99
2007-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.97
2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.29
2007-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8
2007-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86
2007-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.32
2007-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75
2007-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2
2007-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5
2007-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9
2007-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.79
2007-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8
2007-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.91
2007-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1
2007-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15
2007-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58
2007-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5
2007-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.99
2007-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.99
2007-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3
2007-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.74
2007-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5
2007-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02
2007-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02
2007-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2007-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2
2007-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
2007-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4
2007-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.41
2007-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18
2007-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.79
2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6
2007-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4
2007-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.65
2007-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
2007-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6
2007-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
2007-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6
2007-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92
