,MLMCA FP Equity_DX_SI_QTY,MLMCA FP Equity_DX_SHORT_INTEREST_VALUE,MLMCA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMCA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMCA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMCA FP Equity_DX_SI_MV,MLMCA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMCA FP Equity_DX_SUPPLY_SI_QTY,MLMCA FP Equity_DX_BROKER_SI_QTY,MLMCA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMCA FP Equity_DX_SUPPLY_SI_MV,MLMCA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMCA FP Equity_DX_UTILIZATION_QUANTITY,MLMCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMCA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMCA FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMCA FP Equity_DX_BROKER_SI_CON_RATIO,MLMCA FP Equity_DX_DEMAND_SUPPLY_RATIO,MLMCA FP Equity_PX_LAST
2024-09-02,,,,,,,,,,,,,,,,,,,,6.0
2024-09-03,,,,,,,,,,,,,,,,,,,,6.0
2024-09-04,,,,,,,,,,,,,,,,,,,,6.0
2024-09-05,,,,,,,,,,,,,,,,,,,,6.0
2024-09-06,,,,,,,,,,,,,,,,,,,,6.0
2024-09-09,,,,,,,,,,,,,,,,,,,,6.0
2024-09-10,,,,,,,,,,,,,,,,,,,,5.9
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,5265.0,0.01,0.0,0.0,0.0,5.85
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,5400.0,0.01,0.0,0.0,0.0,6.0
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,5400.0,0.01,0.0,0.0,0.0,6.0
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,5310.0,0.01,0.0,0.0,0.0,5.9
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,5265.0,0.01,0.0,0.0,0.0,5.85
2024-09-18,,,,,,,,,,,,,,,,,,,,5.85
2024-09-19,,,,,,,,,,,,,,,,,,,,5.85
2024-09-20,,,,,,,,,,,,,,,,,,,,5.95
2024-09-23,,,,,,,,,,,,,,,,,,,,5.95
2024-09-24,,,,,,,,,,,,,,,,,,,,5.95
2024-09-25,,,,,,,,,,,,,,,,,,,,5.95
2024-09-26,,,,,,,,,,,,,,,,,,,,6.0
2024-09-27,,,,,,,,,,,,,,,,,,,,6.0
2024-09-30,,,,,,,,,,,,,,,,,,,,6.1
2024-10-01,,,,,,,,,,,,,,,,,,,,6.1
2024-10-02,,,,,,,,,,,,,,,,,,,,6.05
2024-10-03,,,,,,,,,,,,,,,,,,,,6.05
2024-10-04,,,,,,,,,,,,,,,,,,,,6.05
2024-10-07,,,,,,,,,,,,,,,,,,,,6.2
2024-10-08,,,,,,,,,,,,,,,,,,,,6.2
2024-10-09,,,,,,,,,,,,,,,,,,,,6.0
2024-10-10,,,,,,,,,,,,,,,,,,,,6.0
2024-10-11,,,,,,,,,,,,,,,,,,,,6.0
2024-10-14,,,,,,,,,,,,,,,,,,,,6.0
2024-10-15,,,,,,,,,,,,,,,,,,,,5.85
2024-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1180.0,0.0,0.0,0.0,0.0,5.9
2024-10-17,,,,,,,,,,,,,,,,,,,,5.9
2024-10-18,,,,,,,,,,,,,,,,,,,,6.0
2024-10-21,,,,,,,,,,,,,,,,,,,,6.0
2024-10-22,,,,,,,,,,,,,,,,,,,,6.0
2024-10-23,,,,,,,,,,,,,,,,,,,,6.0
2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1200.0,0.0,0.0,0.0,0.0,6.0
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1170.0,0.0,0.0,0.0,0.0,5.85
2024-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1160.0,0.0,0.0,0.0,0.0,5.8
2024-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1160.0,0.0,0.0,0.0,0.0,5.8
2024-10-30,,,,,,,,,,,,,,,,,,,,6.0
2024-10-31,,,,,,,,,,,,,,,,,,,,6.0
2024-11-01,,,,,,,,,,,,,,,,,,,,6.0
2024-11-04,,,,,,,,,,,,,,,,,,,,5.8
2024-11-05,,,,,,,,,,,,,,,,,,,,5.7
2024-11-06,,,,,,,,,,,,,,,,,,,,5.7
2024-11-07,,,,,,,,,,,,,,,,,,,,5.6
2024-11-08,,,,,,,,,,,,,,,,,,,,5.9
2024-11-11,,,,,,,,,,,,,,,,,,,,5.85
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,575.0,0.0,0.0,0.0,0.0,5.75
2024-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,590.0,0.0,0.0,0.0,0.0,5.9
2024-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,590.0,0.0,0.0,0.0,0.0,5.9
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,590.0,0.0,0.0,0.0,0.0,5.9
2024-11-18,,,,,,,,,,,,,,,,,,,,5.85
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,575.0,0.0,0.0,0.0,0.0,5.75
2024-11-20,,,,,,,,,,,,,,,,,,,,5.75
2024-11-21,,,,,,,,,,,,,,,,,,,,5.75
2024-11-22,,,,,,,,,,,,,,,,,,,,5.75
2024-11-25,,,,,,,,,,,,,,,,,,,,6.0
2024-11-26,,,,,,,,,,,,,,,,,,,,5.75
2024-11-27,,,,,,,,,,,,,,,,,,,,6.0
2024-11-28,,,,,,,,,,,,,,,,,,,,6.0
2024-11-29,,,,,,,,,,,,,,,,,,,,6.0
2024-12-02,,,,,,,,,,,,,,,,,,,,5.8
2024-12-03,,,,,,,,,,,,,,,,,,,,5.8
2024-12-04,,,,,,,,,,,,,,,,,,,,5.8
2024-12-05,,,,,,,,,,,,,,,,,,,,5.85
2024-12-06,,,,,,,,,,,,,,,,,,,,5.85
2024-12-09,,,,,,,,,,,,,,,,,,,,5.8
2024-12-10,,,,,,,,,,,,,,,,,,,,5.8
2024-12-11,,,,,,,,,,,,,,,,,,,,5.7
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1170.0,0.0,0.0,0.0,0.0,5.85
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1170.0,0.0,0.0,0.0,0.0,5.85
2024-12-16,,,,,,,,,,,,,,,,,,,,5.85
2024-12-17,,,,,,,,,,,,,,,,,,,,5.85
2024-12-18,,,,,,,,,,,,,,,,,,,,5.85
2024-12-19,,,,,,,,,,,,,,,,,,,,5.85
2024-12-20,,,,,,,,,,,,,,,,,,,,5.7
2024-12-23,,,,,,,,,,,,,,,,,,,,5.7
2024-12-24,,,,,,,,,,,,,,,,,,,,5.7
2024-12-27,,,,,,,,,,,,,,,,,,,,5.7
2024-12-30,,,,,,,,,,,,,,,,,,,,5.7
2024-12-31,,,,,,,,,,,,,,,,,,,,5.7
2025-01-02,,,,,,,,,,,,,,,,,,,,5.7
2025-01-03,,,,,,,,,,,,,,,,,,,,5.7
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2850.0,0.0,0.0,0.0,0.0,5.7
2025-01-07,,,,,,,,,,,,,,,,,,,,5.7
2025-01-08,,,,,,,,,,,,,,,,,,,,5.7
2025-01-09,,,,,,,,,,,,,,,,,,,,5.7
2025-01-10,,,,,,,,,,,,,,,,,,,,5.7
2025-01-13,,,,,,,,,,,,,,,,,,,,5.7
2025-01-14,,,,,,,,,,,,,,,,,,,,5.7
2025-01-15,,,,,,,,,,,,,,,,,,,,5.6
2025-01-16,,,,,,,,,,,,,,,,,,,,5.75
2025-01-17,,,,,,,,,,,,,,,,,,,,5.65
2025-01-20,,,,,,,,,,,,,,,,,,,,5.75
2025-01-21,,,,,,,,,,,,,,,,,,,,5.75
2025-01-22,,,,,,,,,,,,,,,,,,,,5.75
2025-01-23,,,,,,,,,,,,,,,,,,,,5.75
2025-01-24,,,,,,,,,,,,,,,,,,,,5.65
2025-01-27,,,,,,,,,,,,,,,,,,,,5.7
2025-01-28,,,,,,,,,,,,,,,,,,,,5.75
2025-01-29,,,,,,,,,,,,,,,,,,,,5.75
2025-01-30,,,,,,,,,,,,,,,,,,,,5.75
2025-01-31,,,,,,,,,,,,,,,,,,,,5.8
2025-02-03,,,,,,,,,,,,,,,,,,,,5.85
2025-02-04,,,,,,,,,,,,,,,,,,,,5.85
2025-02-05,,,,,,,,,,,,,,,,,,,,5.85
2025-02-06,,,,,,,,,,,,,,,,,,,,5.85
2025-02-07,,,,,,,,,,,,,,,,,,,,5.95
2025-02-10,,,,,,,,,,,,,,,,,,,,5.95
2025-02-11,,,,,,,,,,,,,,,,,,,,5.95
2025-02-12,,,,,,,,,,,,,,,,,,,,6.0
2025-02-13,,,,,,,,,,,,,,,,,,,,5.95
2025-02-14,,,,,,,,,,,,,,,,,,,,6.0
2025-02-17,,,,,,,,,,,,,,,,,,,,6.0
2025-02-18,,,,,,,,,,,,,,,,,,,,6.0
2025-02-19,,,,,,,,,,,,,,,,,,,,6.0
2025-02-20,,,,,,,,,,,,,,,,,,,,6.0
2025-02-21,,,,,,,,,,,,,,,,,,,,6.0
2025-02-24,,,,,,,,,,,,,,,,,,,,6.0
2025-02-25,,,,,,,,,,,,,,,,,,,,5.9
2025-02-26,,,,,,,,,,,,,,,,,,,,6.0
2025-02-27,,,,,,,,,,,,,,,,,,,,6.0
2025-02-28,,,,,,,,,,,,,,,,,,,,6.0
2025-03-03,,,,,,,,,,,,,,,,,,,,6.0
2025-03-04,,,,,,,,,,,,,,,,,,,,6.0
2025-03-05,,,,,,,,,,,,,,,,,,,,5.95
2025-03-06,,,,,,,,,,,,,,,,,,,,5.95
2025-03-07,,,,,,,,,,,,,,,,,,,,5.95
2025-03-10,,,,,,,,,,,,,,,,,,,,5.9
2025-03-11,,,,,,,,,,,,,,,,,,,,5.75
2025-03-12,,,,,,,,,,,,,,,,,,,,5.8
2025-03-13,,,,,,,,,,,,,,,,,,,,5.75
2025-03-14,,,,,,,,,,,,,,,,,,,,5.75
2025-03-17,,,,,,,,,,,,,,,,,,,,5.7
2025-03-18,,,,,,,,,,,,,,,,,,,,5.75
2025-03-19,,,,,,,,,,,,,,,,,,,,5.8
2025-03-20,,,,,,,,,,,,,,,,,,,,5.85
2025-03-21,,,,,,,,,,,,,,,,,,,,5.85
2025-03-24,,,,,,,,,,,,,,,,,,,,5.85
2025-03-25,,,,,,,,,,,,,,,,,,,,5.85
2025-03-26,,,,,,,,,,,,,,,,,,,,5.85
2025-03-27,,,,,,,,,,,,,,,,,,,,5.9
2025-03-28,,,,,,,,,,,,,,,,,,,,5.9
2025-03-31,,,,,,,,,,,,,,,,,,,,5.9
2025-04-01,,,,,,,,,,,,,,,,,,,,5.9
2025-04-02,,,,,,,,,,,,,,,,,,,,5.85
2025-04-03,,,,,,,,,,,,,,,,,,,,5.85
2025-04-04,,,,,,,,,,,,,,,,,,,,5.85
2025-04-07,,,,,,,,,,,,,,,,,,,,5.65
2025-04-08,,,,,,,,,,,,,,,,,,,,5.55
2025-04-09,,,,,,,,,,,,,,,,,,,,5.55
2025-04-10,,,,,,,,,,,,,,,,,,,,5.55
2025-04-11,,,,,,,,,,,,,,,,,,,,5.55
2025-04-14,,,,,,,,,,,,,,,,,,,,5.55
2025-04-15,,,,,,,,,,,,,,,,,,,,5.9
2025-04-16,,,,,,,,,,,,,,,,,,,,5.9
2025-04-17,,,,,,,,,,,,,,,,,,,,5.9
2025-04-22,,,,,,,,,,,,,,,,,,,,6.0
2025-04-23,,,,,,,,,,,,,,,,,,,,6.1
2025-04-24,,,,,,,,,,,,,,,,,,,,6.2
2025-04-25,,,,,,,,,,,,,,,,,,,,6.2
2025-04-28,,,,,,,,,,,,,,,,,,,,6.2
2025-04-29,,,,,,,,,,,,,,,,,,,,6.3
2025-04-30,,,,,,,,,,,,,,,,,,,,6.4
2025-05-02,,,,,,,,,,,,,,,,,,,,6.6
2025-05-05,,,,,,,,,,,,,,,,,,,,6.8
2025-05-06,,,,,,,,,,,,,,,,,,,,6.8
2025-05-07,,,,,,,,,,,,,,,,,,,,7.0
2025-05-08,,,,,,,,,,,,,,,,,,,,7.6
2025-05-09,,,,,,,,,,,,,,,,,,,,8.25
2025-05-12,,,,,,,,,,,,,,,,,,,,8.3
2025-05-13,,,,,,,,,,,,,,,,,,,,8.2
2025-05-14,,,,,,,,,,,,,,,,,,,,7.6
2025-05-15,,,,,,,,,,,,,,,,,,,,7.85
2025-05-16,,,,,,,,,,,,,,,,,,,,7.8
2025-05-19,,,,,,,,,,,,,,,,,,,,7.6
2025-05-20,,,,,,,,,,,,,,,,,,,,7.6
2025-05-21,,,,,,,,,,,,,,,,,,,,7.6
2025-05-22,,,,,,,,,,,,,,,,,,,,7.8
2025-05-23,,,,,,,,,,,,,,,,,,,,7.5
2025-05-26,,,,,,,,,,,,,,,,,,,,7.5
2025-05-27,,,,,,,,,,,,,,,,,,,,7.5
2025-05-28,,,,,,,,,,,,,,,,,,,,7.4
2025-05-29,,,,,,,,,,,,,,,,,,,,7.5
2025-05-30,,,,,,,,,,,,,,,,,,,,7.4
2025-06-02,,,,,,,,,,,,,,,,,,,,7.2
2025-06-03,,,,,,,,,,,,,,,,,,,,7.3
2025-06-04,,,,,,,,,,,,,,,,,,,,7.5
2025-06-05,,,,,,,,,,,,,,,,,,,,7.5
2025-06-06,,,,,,,,,,,,,,,,,,,,7.45
2025-06-09,,,,,,,,,,,,,,,,,,,,7.4
2025-06-10,,,,,,,,,,,,,,,,,,,,7.4
2025-06-11,,,,,,,,,,,,,,,,,,,,7.15
2025-06-12,,,,,,,,,,,,,,,,,,,,7.3
2025-06-13,,,,,,,,,,,,,,,,,,,,7.3
2025-06-16,,,,,,,,,,,,,,,,,,,,7.2
2025-06-17,,,,,,,,,,,,,,,,,,,,7.3
2025-06-18,,,,,,,,,,,,,,,,,,,,7.3
2025-06-19,,,,,,,,,,,,,,,,,,,,7.3
2025-06-20,,,,,,,,,,,,,,,,,,,,7.3
2025-06-23,,,,,,,,,,,,,,,,,,,,7.3
2025-06-24,,,,,,,,,,,,,,,,,,,,7.2
2025-06-25,,,,,,,,,,,,,,,,,,,,7.2
2025-06-26,,,,,,,,,,,,,,,,,,,,7.2
2025-06-27,,,,,,,,,,,,,,,,,,,,7.3
2025-06-30,,,,,,,,,,,,,,,,,,,,7.3
2025-07-01,,,,,,,,,,,,,,,,,,,,7.35
2025-07-02,,,,,,,,,,,,,,,,,,,,8.0
2025-07-03,,,,,,,,,,,,,,,,,,,,8.0
2025-07-04,,,,,,,,,,,,,,,,,,,,8.0
2025-07-07,,,,,,,,,,,,,,,,,,,,8.0
2025-07-08,,,,,,,,,,,,,,,,,,,,8.0
2025-07-09,,,,,,,,,,,,,,,,,,,,8.0
2025-07-10,,,,,,,,,,,,,,,,,,,,8.1
2025-07-11,,,,,,,,,,,,,,,,,,,,8.1
2025-07-14,,,,,,,,,,,,,,,,,,,,8.1
2025-07-15,,,,,,,,,,,,,,,,,,,,8.5
2025-07-16,,,,,,,,,,,,,,,,,,,,8.1
2025-07-17,,,,,,,,,,,,,,,,,,,,8.1
2025-07-18,,,,,,,,,,,,,,,,,,,,8.1
2025-07-21,,,,,,,,,,,,,,,,,,,,8.0
2025-07-22,,,,,,,,,,,,,,,,,,,,7.9
2025-07-23,,,,,,,,,,,,,,,,,,,,7.8
2025-07-24,,,,,,,,,,,,,,,,,,,,7.8
2025-07-25,,,,,,,,,,,,,,,,,,,,7.5
2025-07-28,,,,,,,,,,,,,,,,,,,,7.5
2025-07-29,,,,,,,,,,,,,,,,,,,,7.6
2025-07-30,,,,,,,,,,,,,,,,,,,,7.5
2025-07-31,,,,,,,,,,,,,,,,,,,,7.5
2025-08-01,,,,,,,,,,,,,,,,,,,,7.35
2025-08-04,,,,,,,,,,,,,,,,,,,,7.5
2025-08-05,,,,,,,,,,,,,,,,,,,,7.6
2025-08-06,,,,,,,,,,,,,,,,,,,,7.55
2025-08-07,,,,,,,,,,,,,,,,,,,,7.6
2025-08-08,,,,,,,,,,,,,,,,,,,,7.6
2025-08-11,,,,,,,,,,,,,,,,,,,,7.55
2025-08-12,,,,,,,,,,,,,,,,,,,,7.5
2025-08-13,,,,,,,,,,,,,,,,,,,,7.5
2025-08-14,,,,,,,,,,,,,,,,,,,,7.5
2025-08-15,,,,,,,,,,,,,,,,,,,,7.5
2025-08-18,,,,,,,,,,,,,,,,,,,,7.45
2025-08-19,,,,,,,,,,,,,,,,,,,,7.4
2025-08-20,,,,,,,,,,,,,,,,,,,,7.3
2025-08-21,,,,,,,,,,,,,,,,,,,,7.3
2025-08-22,,,,,,,,,,,,,,,,,,,,7.3
2025-08-25,,,,,,,,,,,,,,,,,,,,7.1
2025-08-26,,,,,,,,,,,,,,,,,,,,7.5
2025-08-27,,,,,,,,,,,,,,,,,,,,7.5
2025-08-28,,,,,,,,,,,,,,,,,,,,7.5
2025-08-29,,,,,,,,,,,,,,,,,,,,7.5
