,MTH FP Equity_PX_LAST
2016-04-18,101.62
2016-04-19,100.76
2016-04-20,101.39
2016-04-21,99.8
2016-04-22,99.29
2016-04-25,98.36
2016-04-26,98.06
2016-04-27,96.96
2016-04-28,98.5
2016-04-29,98.25
2016-05-02,98.77
2016-05-03,100.19
2016-05-04,99.88
2016-05-05,100.43
2016-05-06,100.61
2016-05-09,100.95
2016-05-10,100.82
2016-05-11,100.83
2016-05-12,100.27
2016-05-13,100.96
2016-05-16,100.68
2016-05-17,101.12
2016-05-18,100.27
2016-05-19,100.34
2016-05-20,100.43
2016-05-23,100.19
2016-05-24,100.52
2016-05-25,101.48
2016-05-26,101.64
2016-05-27,101.63
2016-05-30,101.08
2016-05-31,101.56
2016-06-01,101.84
2016-06-02,102.4
2016-06-03,103.64
2016-06-06,103.06
2016-06-07,104.12
2016-06-08,104.72
2016-06-09,105.93
2016-06-10,106.74
2016-06-13,105.57
2016-06-14,106.04
2016-06-15,106.27
2016-06-16,106.57
2016-06-17,105.75
2016-06-20,105.23
2016-06-21,105.47
2016-06-22,105.39
2016-06-23,104.33
2016-06-24,107.12
2016-06-27,110.08
2016-06-28,110.64
2016-06-29,111.39
2016-06-30,111.83
2016-07-01,112.26
2016-07-04,111.9
2016-07-05,112.92
2016-07-06,113.29
2016-07-07,112.74
2016-07-08,113.6
2016-07-11,113.14
2016-07-12,111.19
2016-07-13,112.56
2016-07-14,111.34
2016-07-15,110.19
2016-07-18,110.29
2016-07-19,110.62
2016-07-20,110.29
2016-07-21,110.45
2016-07-22,111.41
2016-07-25,111.96
2016-07-26,111.92
2016-07-27,113.31
2016-07-28,113.81
2016-07-29,114.85
2016-08-01,114.53
2016-08-02,112.77
2016-08-03,112.72
2016-08-04,114.06
2016-08-05,113.38
2016-08-08,113.22
2016-08-09,113.74
2016-08-10,114.5
2016-08-11,114.05
2016-08-12,114.02
2016-08-15,113.38
2016-08-16,112.09
2016-08-17,112.6
2016-08-18,113.81
2016-08-19,112.47
2016-08-22,113.71
2016-08-23,113.54
2016-08-24,113.19
2016-08-25,112.86
2016-08-26,113.04
2016-08-29,112.68
2016-08-30,113.0
2016-08-31,112.06
2016-09-01,111.62
2016-09-02,110.8
2016-09-05,110.95
2016-09-06,112.79
2016-09-07,113.65
2016-09-08,111.45
2016-09-09,108.79
2016-09-12,108.67
2016-09-13,108.22
2016-09-14,108.59
2016-09-15,107.72
2016-09-16,108.07
2016-09-19,107.97
2016-09-20,109.76
2016-09-21,109.35
2016-09-22,112.06
2016-09-23,111.84
2016-09-26,112.42
2016-09-27,112.81
2016-09-28,113.22
2016-09-29,112.41
2016-09-30,112.51
2016-10-03,111.71
2016-10-04,111.4
2016-10-05,108.68
2016-10-06,108.54
2016-10-07,107.96
2016-10-10,107.26
2016-10-11,108.18
2016-10-12,107.25
2016-10-13,108.06
2016-10-14,107.62
2016-10-17,107.31
2016-10-18,107.87
2016-10-19,108.29
2016-10-20,109.13
2016-10-21,108.98
2016-10-24,108.23
2016-10-25,108.15
2016-10-26,106.37
2016-10-27,103.99
2016-10-28,104.47
2016-10-31,104.59
2016-11-01,103.97
2016-11-02,105.38
2016-11-03,104.69
2016-11-04,105.44
2016-11-07,105.3
2016-11-08,104.6
2016-11-09,104.1
2016-11-10,100.76
2016-11-11,99.32
2016-11-14,98.49
2016-11-15,100.3
2016-11-16,100.04
2016-11-17,100.38
2016-11-18,99.89
2016-11-21,99.98
2016-11-22,100.67
2016-11-23,99.47
2016-11-24,99.4
2016-11-25,99.45
2016-11-28,100.35
2016-11-29,100.45
2016-11-30,99.4
2016-12-01,97.84
2016-12-02,99.73
2016-12-05,98.69
2016-12-06,98.59
2016-12-07,99.46
2016-12-08,97.28
2016-12-09,96.32
2016-12-12,95.11
2016-12-13,97.08
2016-12-14,98.35
2016-12-15,97.35
2016-12-16,98.3
2016-12-19,100.13
2016-12-20,99.97
2016-12-21,100.66
2016-12-22,100.15
2016-12-23,101.0
2016-12-27,101.28
2016-12-28,101.08
2016-12-29,101.78
2016-12-30,100.24
2017-01-02,100.52
2017-01-03,98.07
2017-01-04,97.17
2017-01-05,97.38
2017-01-06,96.44
2017-01-09,96.98
2017-01-10,97.21
2017-01-11,96.92
2017-01-12,97.56
2017-01-13,96.54
2017-01-16,96.56
2017-01-17,96.93
2017-01-18,96.12
2017-01-19,95.53
2017-01-20,95.78
2017-01-23,95.36
2017-01-24,94.75
2017-01-25,93.38
2017-01-26,93.06
2017-01-27,93.27
2017-01-30,92.91
2017-01-31,93.74
2017-02-01,92.49
2017-02-02,93.53
2017-02-03,92.83
2017-02-06,91.97
2017-02-07,92.19
2017-02-08,93.75
2017-02-09,94.43
2017-02-10,93.34
2017-02-13,93.36
2017-02-14,92.92
2017-02-16,93.88
2017-02-17,94.18
2017-02-20,94.02
2017-02-21,93.51
2017-02-22,94.37
2017-02-23,94.8
2017-02-24,96.73
2017-02-27,96.83
2017-02-28,96.91
2017-03-01,95.76
2017-03-02,95.12
2017-03-03,94.97
2017-03-06,94.85
2017-03-07,94.28
2017-03-08,93.21
2017-03-09,92.29
2017-03-10,91.52
2017-03-13,92.17
2017-03-14,92.61
2017-03-15,93.56
2017-03-16,92.62
2017-03-17,92.83
2017-03-20,92.64
2017-03-21,92.93
2017-03-22,94.09
2017-03-23,93.81
2017-03-24,94.5
2017-03-27,94.72
2017-03-28,94.95
2017-03-29,95.57
2017-03-30,95.4
2017-03-31,95.15
2017-04-03,95.39
2017-04-04,96.06
2017-04-05,96.04
2017-04-06,96.29
2017-04-07,96.72
2017-04-10,96.57
2017-04-11,96.43
2017-04-12,96.84
2017-04-13,96.84
2017-04-18,97.58
2017-04-19,97.55
2017-04-20,97.26
2017-04-21,97.1
2017-04-24,97.0
2017-04-25,95.74
2017-04-26,95.56
2017-04-27,96.38
2017-04-28,95.97
2017-05-02,95.87
2017-05-03,96.17
2017-05-04,95.56
2017-05-05,95.65
2017-05-08,95.35
2017-05-09,94.71
2017-05-10,95.07
2017-05-11,94.42
2017-05-12,95.09
2017-05-15,94.36
2017-05-16,94.51
2017-05-17,95.51
2017-05-18,95.88
2017-05-19,95.77
2017-05-22,95.18
2017-05-23,95.39
2017-05-24,95.5
2017-05-25,96.18
2017-05-26,96.92
2017-05-29,97.0
2017-05-30,96.89
2017-05-31,96.65
2017-06-01,96.35
2017-06-02,96.76
2017-06-05,96.23
2017-06-06,97.03
2017-06-07,96.76
2017-06-08,97.46
2017-06-09,97.5
2017-06-12,98.24
2017-06-13,98.64
2017-06-14,99.66
2017-06-15,98.91
2017-06-16,98.7
2017-06-19,99.04
2017-06-20,99.63
2017-06-21,100.0
2017-06-22,100.24
2017-06-23,99.97
2017-06-26,99.97
2017-06-27,98.1
2017-06-28,98.33
2017-06-29,96.21
2017-06-30,95.71
2017-07-03,95.45
2017-07-04,95.26
2017-07-05,95.45
2017-07-06,93.54
2017-07-07,93.35
2017-07-10,94.02
2017-07-11,93.77
2017-07-12,94.46
2017-07-13,94.0
2017-07-14,94.54
2017-07-17,95.05
2017-07-18,95.59
2017-07-19,96.06
2017-07-20,96.33
2017-07-21,96.72
2017-07-24,96.77
2017-07-25,95.62
2017-07-26,95.56
2017-07-27,95.82
2017-07-28,95.49
2017-07-31,96.03
2017-08-01,97.42
2017-08-02,97.47
2017-08-03,97.98
2017-08-04,97.45
2017-08-07,97.81
2017-08-08,97.47
2017-08-09,98.28
2017-08-10,98.32
2017-08-11,98.84
2017-08-14,98.37
2017-08-15,97.77
2017-08-16,97.57
2017-08-17,97.79
2017-08-18,98.13
2017-08-21,98.19
2017-08-22,97.75
2017-08-23,98.05
2017-08-24,97.85
2017-08-25,97.65
2017-08-28,97.83
2017-08-29,98.41
2017-08-30,98.08
2017-08-31,98.4
2017-09-01,97.52
2017-09-04,97.68
2017-09-05,98.48
2017-09-06,98.31
2017-09-07,99.11
2017-09-08,98.38
2017-09-11,98.08
2017-09-12,96.68
2017-09-13,96.78
2017-09-14,96.66
2017-09-15,96.51
2017-09-18,96.21
2017-09-19,96.53
2017-09-20,96.66
2017-09-21,96.36
2017-09-22,96.59
2017-09-25,97.05
2017-09-26,96.91
2017-09-27,95.86
2017-09-28,95.81
2017-09-29,96.44
2017-10-02,96.43
2017-10-03,96.03
2017-10-04,96.03
2017-10-05,96.41
2017-10-06,96.43
2017-10-09,96.81
2017-10-10,96.68
2017-10-11,96.51
2017-10-12,96.73
2017-10-13,97.59
2017-10-16,98.16
2017-10-17,98.55
2017-10-18,97.85
2017-10-19,97.74
2017-10-20,96.67
2017-10-23,97.22
2017-10-24,96.61
2017-10-25,96.62
2017-10-26,97.42
2017-10-27,97.74
2017-10-30,98.78
2017-10-31,99.47
2017-11-01,99.24
2017-11-02,99.15
2017-11-03,99.41
2017-11-06,99.7
2017-11-07,100.46
2017-11-08,100.18
2017-11-09,98.58
2017-11-10,97.92
2017-11-13,98.01
2017-11-14,98.51
2017-11-15,98.79
2017-11-16,98.72
2017-11-17,98.97
2017-11-20,99.46
2017-11-21,100.45
2017-11-22,100.85
2017-11-23,100.81
2017-11-24,100.22
2017-11-27,100.68
2017-11-28,100.68
2017-11-29,100.04
2017-11-30,100.76
2017-12-01,102.28
2017-12-04,101.44
2017-12-05,101.89
2017-12-06,102.3
2017-12-07,102.29
2017-12-08,102.3
2017-12-11,102.45
2017-12-12,101.71
2017-12-13,101.17
2017-12-14,101.41
2017-12-15,101.97
2017-12-18,101.89
2017-12-19,100.0
2017-12-20,99.64
2017-12-21,99.7
2017-12-22,99.68
2017-12-27,100.12
2017-12-28,98.93
2017-12-29,98.31
2018-01-02,97.2
2018-01-03,97.78
2018-01-04,98.3
2018-01-05,98.24
2018-01-08,98.79
2018-01-09,97.69
2018-01-10,97.65
2018-01-11,97.47
2018-01-12,98.42
2018-01-15,97.81
2018-01-16,98.58
2018-01-17,98.67
2018-01-18,98.62
2018-01-19,98.61
2018-01-22,99.07
2018-01-23,99.43
2018-01-24,98.96
2018-01-25,99.16
2018-01-26,99.45
2018-01-29,98.58
2018-01-30,98.57
2018-01-31,99.32
2018-02-01,99.29
2018-02-02,98.83
2018-02-05,98.72
2018-02-06,99.54
2018-02-07,99.61
2018-02-08,99.21
2018-02-09,99.37
2018-02-12,99.29
2018-02-13,98.31
2018-02-14,98.28
2018-02-15,98.23
2018-02-16,99.04
2018-02-19,98.15
2018-02-20,97.9
2018-02-21,98.03
2018-02-22,98.28
2018-02-23,99.08
2018-02-26,99.55
2018-02-27,99.23
2018-02-28,100.0
2018-03-01,100.26
2018-03-02,100.0
2018-03-05,100.04
2018-03-06,99.54
2018-03-07,100.23
2018-03-08,101.03
2018-03-09,100.23
2018-03-12,100.58
2018-03-13,100.83
2018-03-14,101.08
2018-03-15,101.55
2018-03-16,101.7
2018-03-19,102.03
2018-03-20,102.52
2018-03-21,102.09
2018-03-22,103.28
2018-03-23,103.44
2018-03-26,103.5
2018-03-27,104.01
2018-03-28,104.03
2018-03-29,104.18
2018-04-03,104.04
2018-04-04,104.29
2018-04-05,103.42
2018-04-06,103.61
2018-04-09,103.72
2018-04-10,103.57
2018-04-11,103.74
2018-04-12,103.25
2018-04-13,103.24
2018-04-16,103.13
2018-04-17,103.82
2018-04-18,103.63
2018-04-19,102.66
2018-04-20,102.55
2018-04-23,101.85
2018-04-24,101.93
2018-04-25,101.95
2018-04-26,102.91
2018-04-27,102.95
2018-04-30,102.8
2018-05-02,102.39
2018-05-03,103.2
2018-05-04,102.39
2018-05-07,102.74
2018-05-08,101.68
2018-05-09,101.87
2018-05-10,101.9
2018-05-11,102.06
2018-05-14,101.33
2018-05-15,100.8
2018-05-16,100.08
2018-05-17,99.73
2018-05-18,99.83
2018-05-21,99.37
2018-05-22,99.35
2018-05-23,99.32
2018-05-24,100.35
2018-05-25,100.67
2018-05-28,100.95
2018-05-29,99.84
2018-05-30,99.68
2018-05-31,102.16
2018-06-01,101.67
2018-06-04,101.54
2018-06-05,101.45
2018-06-06,99.86
2018-06-07,99.45
2018-06-08,99.6
2018-06-11,99.17
2018-06-12,99.03
2018-06-13,99.79
2018-06-14,100.19
2018-06-15,100.33
2018-06-18,100.29
2018-06-19,100.81
2018-06-20,100.55
2018-06-21,100.19
2018-06-22,100.15
2018-06-25,100.15
2018-06-26,99.56
2018-06-27,100.48
2018-06-28,101.11
2018-06-29,102.44
2018-07-02,103.05
2018-07-03,103.47
2018-07-04,103.54
2018-07-05,103.49
2018-07-06,103.19
2018-07-09,102.74
2018-07-10,102.84
2018-07-11,102.94
2018-07-12,103.09
2018-07-13,103.36
2018-07-16,102.94
2018-07-17,103.46
2018-07-18,103.32
2018-07-19,103.29
2018-07-20,102.53
2018-07-23,101.86
2018-07-24,102.27
2018-07-25,102.63
2018-07-26,102.32
2018-07-27,102.01
2018-07-30,101.21
2018-07-31,101.89
2018-08-01,100.91
2018-08-02,100.86
2018-08-03,101.56
2018-08-06,102.03
2018-08-07,101.6
2018-08-08,101.67
2018-08-09,101.91
2018-08-10,102.57
2018-08-13,101.93
2018-08-14,101.98
2018-08-15,101.93
2018-08-16,101.94
2018-08-17,102.03
2018-08-20,102.47
2018-08-21,102.38
2018-08-22,101.83
2018-08-23,101.93
2018-08-24,101.82
2018-08-27,101.07
2018-08-28,100.75
2018-08-29,100.57
2018-08-30,101.14
2018-08-31,101.22
2018-09-03,101.09
2018-09-04,101.39
2018-09-05,101.08
2018-09-06,101.49
2018-09-07,101.27
2018-09-10,101.39
2018-09-11,101.0
2018-09-12,101.14
2018-09-13,101.03
2018-09-14,100.55
2018-09-17,100.65
2018-09-18,100.73
2018-09-19,100.24
2018-09-20,100.5
2018-09-21,100.81
2018-09-24,100.25
2018-09-25,99.89
2018-09-26,100.44
2018-09-27,100.56
2018-09-28,100.52
2018-10-01,100.02
2018-10-02,100.34
2018-10-03,99.95
2018-10-04,99.4
2018-10-05,98.76
2018-10-08,98.41
2018-10-09,98.51
2018-10-10,98.29
2018-10-11,98.17
2018-10-12,98.48
2018-10-15,98.1
2018-10-16,98.9
2018-10-17,98.8
2018-10-18,98.55
2018-10-19,98.5
2018-10-22,98.78
2018-10-23,99.41
2018-10-24,99.25
2018-10-25,99.71
2018-10-26,100.38
2018-10-29,100.29
2018-10-30,100.2
2018-10-31,100.12
2018-11-01,100.27
2018-11-02,99.93
2018-11-05,99.69
2018-11-06,99.38
2018-11-07,99.3
2018-11-08,99.0
2018-11-09,99.69
2018-11-12,99.81
2018-11-13,99.31
2018-11-14,99.05
2018-11-15,99.28
2018-11-16,99.11
2018-11-19,98.36
2018-11-20,98.888
2018-11-21,98.83
2018-11-22,98.93
2018-11-23,99.4
2018-11-26,99.66
2018-11-27,99.63
2018-11-28,99.82
2018-11-29,100.27
2018-11-30,100.87
2018-12-03,100.94
2018-12-04,101.47
2018-12-05,101.99
2018-12-06,102.28
2018-12-07,102.07
2018-12-10,102.7
2018-12-11,102.6
2018-12-12,102.43
2018-12-13,102.24
2018-12-14,102.36
2018-12-17,102.0
2018-12-18,102.43
2018-12-19,102.6
2018-12-20,103.36
2018-12-21,102.76
2018-12-24,103.93
2018-12-27,103.07
2018-12-28,102.72
2018-12-31,102.93
2019-01-02,103.69
2019-01-03,103.26
2019-01-04,102.31
2019-01-07,101.89
2019-01-08,101.63
2019-01-09,102.08
2019-01-10,102.46
2019-01-11,102.56
2019-01-14,102.99
2019-01-15,103.2
2019-01-16,103.1
2019-01-17,103.1
2019-01-18,103.0
2019-01-21,102.59
2019-01-22,103.32
2019-01-23,103.69
2019-01-24,104.85
2019-01-25,105.13
2019-01-28,104.82
2019-01-29,104.79
2019-01-30,104.79
2019-01-31,105.62
2019-02-01,104.98
2019-02-04,104.92
2019-02-05,104.76
2019-02-06,104.27
2019-02-07,104.75
2019-02-08,104.86
2019-02-11,104.47
2019-02-12,104.18
2019-02-13,104.79
2019-02-14,105.15
2019-02-15,104.73
2019-02-18,104.76
2019-02-19,104.85
2019-02-20,105.17
2019-02-21,105.0
2019-02-22,105.36
2019-02-25,105.28
2019-02-26,105.25
2019-02-27,104.57
2019-02-28,103.85
2019-03-01,103.82
2019-03-04,104.27
2019-03-05,104.29
2019-03-06,105.01
2019-03-07,106.17
2019-03-08,106.69
2019-03-11,106.12
2019-03-12,106.3
2019-03-13,105.74
2019-03-14,106.19
2019-03-15,106.3
2019-03-18,106.61
2019-03-19,106.25
2019-03-20,106.63
2019-03-21,108.03
2019-03-22,109.48
2019-03-25,109.62
2019-03-26,109.69
2019-03-27,110.29
2019-03-28,110.12
2019-03-29,109.81
2019-04-01,108.61
2019-04-02,109.02
2019-04-03,107.69
2019-04-04,108.45
2019-04-05,108.98
2019-04-08,109.14
2019-04-09,109.26
2019-04-10,109.85
2019-04-11,109.72
2019-04-12,108.57
2019-04-15,107.94
2019-04-16,107.38
2019-04-17,107.18
2019-04-18,108.42
2019-04-23,107.77
2019-04-24,108.98
2019-04-25,108.14
2019-04-26,107.01
2019-04-29,108.85
2019-04-30,109.33
2019-05-02,109.09
2019-05-03,109.32
2019-05-06,109.4
2019-05-07,109.74
2019-05-08,109.99
2019-05-09,109.51
2019-05-10,109.46
2019-05-13,109.9
2019-05-14,109.95
2019-05-15,110.71
2019-05-16,111.0
2019-05-17,111.18
2019-05-20,110.66
2019-05-21,110.16
2019-05-22,110.49
2019-05-23,110.92
2019-05-24,111.29
2019-05-27,111.69
2019-05-28,111.79
2019-05-29,112.41
2019-05-30,112.6
2019-05-31,113.69
2019-06-03,114.33
2019-06-04,114.97
2019-06-05,115.49
2019-06-06,116.64
2019-06-07,118.36
2019-06-10,116.56
2019-06-11,117.25
2019-06-12,116.61
2019-06-13,117.38
2019-06-14,118.59
2019-06-17,118.16
2019-06-18,120.79
2019-06-19,120.34
2019-06-20,121.45
2019-06-21,120.47
2019-06-24,121.23
2019-06-25,121.93
2019-06-26,121.33
2019-06-27,121.84
2019-06-28,121.63
2019-07-01,122.6
2019-07-02,123.13
2019-07-03,125.99
2019-07-04,126.19
2019-07-05,124.55
2019-07-08,123.99
2019-07-09,123.64
2019-07-10,122.5
2019-07-11,121.07
2019-07-12,119.8
2019-07-15,121.62
2019-07-16,122.08
2019-07-17,123.05
2019-07-18,123.74
2019-07-19,123.61
2019-07-22,123.95
2019-07-23,123.86
2019-07-24,125.09
2019-07-25,124.5
2019-07-26,124.82
2019-07-29,125.63
2019-07-30,125.46
2019-07-31,127.51
2019-08-01,127.94
2019-08-02,130.07
2019-08-05,130.66
2019-08-06,131.67
2019-08-07,133.83
2019-08-08,131.85
2019-08-09,130.84
2019-08-12,131.59
2019-08-13,132.92
2019-08-14,135.25
2019-08-15,137.99
2019-08-16,137.26
2019-08-19,134.83
2019-08-20,135.67
2019-08-21,135.68
2019-08-22,134.58
2019-08-23,134.44
2019-08-26,135.11
2019-08-27,137.36
2019-08-28,139.88
2019-08-29,138.85
2019-08-30,138.22
2019-09-02,137.56
2019-09-03,139.24
2019-09-04,137.76
2019-09-05,133.37
2019-09-06,135.7
2019-09-09,132.56
2019-09-10,131.08
2019-09-11,132.27
2019-09-12,132.98
2019-09-13,130.49
2019-09-16,131.51
2019-09-17,130.95
2019-09-18,133.05
2019-09-19,133.34
2019-09-20,133.56
2019-09-23,136.24
2019-09-24,137.54
2019-09-25,136.86
2019-09-26,137.27
2019-09-27,136.82
2019-09-30,136.17
2019-10-01,135.63
2019-10-02,134.88
2019-10-03,136.28
2019-10-04,135.71
2019-10-07,135.61
2019-10-08,135.95
2019-10-09,134.49
2019-10-10,132.74
2019-10-11,131.56
2019-10-14,132.5
2019-10-15,131.6
2019-10-16,131.8
2019-10-17,131.61
2019-10-18,130.95
2019-10-21,129.45
2019-10-22,130.6
2019-10-23,131.43
2019-10-24,131.72
2019-10-25,130.53
2019-10-28,129.02
2019-10-29,129.78
2019-10-30,129.87
2019-10-31,131.44
2019-11-01,129.92
2019-11-04,129.04
2019-11-05,128.46
2019-11-06,128.91
2019-11-07,126.6
2019-11-08,127.24
2019-11-11,126.11
2019-11-12,126.18
2019-11-13,127.42
2019-11-14,128.17
2019-11-15,128.1
2019-11-18,128.58
2019-11-19,128.23
2019-11-20,128.69
2019-11-21,127.96
2019-11-22,129.03
2019-11-25,129.04
2019-11-26,129.54
2019-11-27,129.28
2019-11-28,129.1
2019-11-29,128.93
2019-12-02,126.74
2019-12-03,129.04
2019-12-04,127.63
2019-12-05,127.1
2019-12-06,126.78
2019-12-09,127.18
2019-12-10,127.11
2019-12-11,127.95
2019-12-12,126.41
2019-12-13,128.13
2019-12-16,127.19
2019-12-17,128.0
2019-12-18,126.57
2019-12-19,126.23
2019-12-20,126.19
2019-12-23,126.23
2019-12-24,126.09
2019-12-27,126.3
2019-12-30,124.66
2019-12-31,125.16
2020-01-02,125.46
2020-01-03,126.98
2020-01-06,126.61
2020-01-07,126.51
2020-01-08,126.0
2020-01-09,125.28
2020-01-10,126.07
2020-01-13,124.35
2020-01-14,124.93
2020-01-15,125.66
2020-01-16,125.48
2020-01-17,125.73
2020-01-20,125.88
2020-01-21,126.88
2020-01-22,127.21
2020-01-23,129.24
2020-01-24,129.42
2020-01-27,132.15
2020-01-28,131.62
2020-01-29,132.74
2020-01-30,133.53
2020-01-31,134.68
2020-02-03,133.95
2020-02-04,133.19
2020-02-05,132.07
2020-02-06,132.08
2020-02-07,132.63
2020-02-10,133.8
2020-02-11,132.96
2020-02-12,133.36
2020-02-13,133.59
2020-02-14,134.02
2020-02-17,134.12
2020-02-18,134.13
2020-02-19,134.73
2020-02-20,136.15
2020-02-21,136.8
2020-02-24,137.29
2020-02-25,137.89
2020-02-26,136.59
2020-02-27,136.92
2020-02-28,138.13
2020-03-02,138.74
