,MLACT FP Equity_PX_LAST
2021-01-27,1.31
2021-02-01,1.42
2021-02-03,1.29
2021-02-04,1.29
2021-02-05,1.29
2021-02-08,1.31
2021-02-09,1.42
2021-02-11,1.42
2021-02-17,1.32
2021-02-19,1.42
2021-02-22,1.4
2021-03-11,1.22
2021-03-15,1.4
2021-03-17,1.3
2021-03-18,1.4
2021-03-19,1.25
2021-03-22,1.37
2021-03-23,1.63
2021-03-24,1.5
2021-03-25,1.5
2021-03-26,1.41
2021-03-29,1.3
2021-04-07,1.49
2021-04-08,1.64
2021-04-09,1.48
2021-04-12,1.66
2021-04-14,1.46
2021-04-15,1.44
2021-04-16,1.68
2021-04-19,1.66
2021-04-22,1.7
2021-04-23,1.42
2021-04-26,1.44
2021-04-28,1.81
2021-04-29,1.8
2021-05-04,1.7
2021-05-05,1.5
2021-05-07,1.4
2021-05-12,1.39
2021-05-17,1.67
2021-05-21,1.39
2021-05-24,1.64
2021-05-25,1.59
2021-05-26,1.59
2021-05-27,1.4
2021-05-28,1.59
2021-06-01,1.63
2021-06-02,1.47
2021-06-03,1.47
2021-06-09,1.59
2021-06-14,1.4
2021-06-15,1.59
2021-06-17,1.59
2021-06-21,1.39
2021-06-23,1.59
2021-06-25,1.38
2021-06-29,1.53
2021-06-30,1.45
2021-07-01,1.54
2021-07-02,1.54
2021-07-07,1.38
2021-07-09,1.38
2021-07-12,1.5
2021-07-14,1.5
2021-07-21,1.38
2021-08-02,1.37
2021-08-03,1.31
2021-08-04,1.36
2021-08-05,1.35
2021-08-06,1.35
2021-08-09,1.35
2021-08-10,1.47
2021-08-11,1.47
2021-08-12,1.47
2021-08-23,1.47
2021-08-27,1.46
2021-09-01,1.4
2021-09-06,1.33
2021-09-07,1.4
2021-09-09,1.41
2021-09-13,1.5
2021-09-14,1.49
2021-09-15,1.3
2021-09-16,1.59
2021-09-17,1.57
2021-09-23,1.35
2021-09-24,1.35
2021-09-27,1.4
2021-09-30,1.4
2021-10-04,1.54
2021-10-05,1.35
2021-10-06,1.46
2021-10-07,1.46
2021-10-08,1.47
2021-10-13,1.47
2021-10-20,1.35
2021-10-21,1.25
2021-10-22,1.42
2021-10-27,1.4
2021-10-29,1.4
2021-11-09,1.4
2021-11-16,1.45
2021-11-17,1.42
2021-11-22,1.4
2021-11-24,1.21
2021-11-25,1.38
2021-11-26,1.38
2021-12-06,1.38
2021-12-13,1.36
2021-12-27,1.38
2021-12-28,1.25
2021-12-29,1.37
2022-01-03,1.16
2022-01-04,1.24
2022-01-05,1.37
2022-01-07,1.37
2022-01-10,1.38
2022-01-11,1.38
2022-01-12,1.48
2022-01-13,1.48
2022-01-14,1.23
2022-01-18,1.48
2022-01-19,1.48
2022-01-20,1.48
2022-01-24,1.47
2022-01-25,1.23
2022-01-26,1.22
2022-01-27,1.22
2022-01-28,1.22
2022-02-02,1.22
2022-02-04,1.22
2022-02-08,1.46
2022-02-09,1.45
2022-02-10,1.26
2022-02-15,1.38
2022-02-16,1.34
2022-02-17,1.34
2022-02-22,1.22
2022-02-23,1.22
2022-02-25,1.22
2022-03-07,1.16
2022-03-08,1.21
2022-03-14,1.2
2022-03-24,1.44
2022-03-25,1.43
2022-03-29,1.2
2022-03-30,1.2
2022-03-31,1.45
2022-04-01,1.24
2022-04-12,1.36
2022-04-14,1.36
2022-04-19,1.19
2022-04-20,1.18
2022-04-22,1.16
2022-04-27,1.28
2022-05-06,1.39
2022-05-09,1.37
2022-05-11,1.17
2022-05-20,1.16
2022-05-26,1.15
2022-06-01,1.15
2022-06-15,1.14
2022-06-21,1.13
2022-06-28,1.12
2022-07-22,1.11
2022-07-27,1.27
2022-07-28,1.26
2022-08-02,1.1
2022-08-03,1.28
2022-08-05,1.26
2022-08-08,1.28
2022-08-12,1.28
2022-08-18,1.09
2022-08-19,1.08
2022-08-23,1.07
2022-08-24,1.06
2022-08-25,1.05
2022-08-31,1.04
2022-09-05,1.16
2022-09-06,1.16
2022-09-09,1.05
2022-09-12,1.16
2022-09-15,1.16
2022-09-16,1.05
2022-09-19,1.19
2022-09-23,1.19
2022-09-26,1.19
2022-09-27,1.05
2022-09-28,1.05
2022-10-06,1.16
2022-10-07,1.21
2022-10-10,1.1
2022-10-11,1.21
2022-10-12,1.26
2022-10-13,1.3
2022-10-14,1.3
2022-10-25,1.4
2022-10-26,1.4
2022-10-27,1.4
2022-10-28,1.5
2022-11-02,1.5
2022-11-09,1.5
2022-11-10,1.5
2022-11-14,1.5
2022-11-16,1.13
2022-11-17,1.13
2022-11-24,1.1
2022-11-25,1.1
2022-11-28,1.1
2022-11-29,1.1
2022-11-30,1.1
2022-12-01,1.1
2022-12-02,1.1
2022-12-05,1.1
2022-12-06,1.1
2022-12-07,1.1
2022-12-08,1.47
2022-12-09,1.22
2022-12-12,1.21
2022-12-13,1.21
2022-12-14,1.21
2022-12-15,1.21
2022-12-16,1.21
2022-12-19,1.21
2022-12-20,1.21
2022-12-21,1.21
2022-12-22,1.21
2022-12-23,1.21
2022-12-27,1.21
2022-12-28,1.21
2022-12-29,1.21
2022-12-30,1.21
2023-01-02,1.21
2023-01-03,1.4
2023-01-04,1.4
2023-01-05,1.46
2023-01-06,1.46
2023-01-09,1.4
2023-01-10,1.4
2023-01-11,1.4
2023-01-12,1.4
2023-01-13,1.4
2023-01-16,1.4
2023-01-17,1.4
2023-01-18,1.4
2023-01-19,1.4
2023-01-20,1.4
2023-01-23,1.4
2023-01-24,1.4
2023-01-25,1.4
2023-01-26,1.4
2023-01-27,1.4
2023-01-30,1.4
2023-01-31,1.4
2023-02-01,1.4
2023-02-02,1.4
2023-02-03,1.4
2023-02-06,1.4
2023-02-07,1.4
2023-02-08,1.4
2023-02-09,1.4
2023-02-10,1.21
2023-02-13,1.21
2023-02-14,1.21
2023-02-15,1.21
2023-02-16,1.21
2023-02-17,1.58
2023-02-20,1.58
2023-02-21,1.57
2023-02-22,1.57
2023-02-23,1.57
2023-02-24,1.57
2023-02-27,1.2
2023-02-28,1.2
2023-03-01,1.57
2023-03-02,1.57
2023-03-03,1.3
2023-03-06,1.3
2023-03-07,1.57
2023-03-08,1.57
2023-03-09,1.44
2023-03-10,1.44
2023-03-13,1.44
2023-03-14,1.44
2023-03-15,1.57
2023-03-16,1.57
2023-03-17,1.57
2023-03-20,1.57
2023-03-21,1.57
2023-03-22,1.57
2023-03-23,1.57
2023-03-24,1.57
2023-03-27,1.57
2023-03-28,1.57
2023-03-29,1.3
2023-03-30,1.3
2023-03-31,1.3
2023-04-03,1.21
2023-04-04,1.21
2023-04-05,1.21
2023-04-06,1.21
2023-04-11,1.21
2023-04-12,1.21
2023-04-13,1.21
2023-04-14,1.21
2023-04-17,1.21
2023-04-18,1.21
2023-04-19,1.21
2023-04-20,1.21
2023-04-21,1.21
2023-04-24,1.21
2023-04-25,1.21
2023-04-26,1.21
2023-04-27,1.21
2023-04-28,1.2
2023-05-02,1.2
2023-05-03,1.2
2023-05-04,1.2
2023-05-05,1.2
2023-05-08,1.2
2023-05-09,1.06
2023-05-10,1.06
2023-05-11,1.06
2023-05-12,1.2
2023-05-15,1.2
2023-05-16,1.2
2023-05-17,1.2
2023-05-18,1.2
2023-05-19,1.28
2023-05-22,1.28
2023-05-23,1.54
2023-05-24,1.58
2023-05-25,1.39
2023-05-26,1.39
2023-05-29,1.39
2023-05-30,1.39
2023-05-31,1.39
2023-06-01,1.39
2023-06-02,1.39
2023-06-05,1.39
2023-06-06,1.51
2023-06-07,1.51
2023-06-08,1.51
2023-06-09,1.51
2023-06-12,1.59
2023-06-13,1.58
2023-06-14,1.59
2023-06-15,1.59
2023-06-16,1.69
2023-06-19,1.4
2023-06-20,1.4
2023-06-21,1.69
2023-06-22,1.69
2023-06-23,1.69
2023-06-26,1.5
2023-06-27,1.5
2023-06-28,1.5
2023-06-29,1.4
2023-06-30,1.4
2023-07-03,1.4
2023-07-04,1.5
2023-07-05,1.5
2023-07-06,1.5
2023-07-07,1.5
2023-07-10,1.5
2023-07-11,1.5
2023-07-12,1.5
2023-07-13,1.5
2023-07-14,1.5
2023-07-17,1.5
2023-07-18,1.5
2023-07-19,1.5
2023-07-20,1.5
2023-07-21,1.49
2023-07-24,1.49
2023-07-25,1.49
2023-07-26,1.49
2023-07-27,1.49
2023-07-28,1.49
2023-07-31,1.81
2023-08-01,1.81
2023-08-02,1.24
2023-08-03,1.62
2023-08-04,1.78
2023-08-07,1.7
2023-08-08,1.78
2023-08-09,1.78
2023-08-10,1.78
2023-08-11,1.78
2023-08-14,1.78
2023-08-15,1.77
2023-08-16,1.77
2023-08-17,1.77
2023-08-18,1.77
2023-08-21,1.78
2023-08-22,2.0
2023-08-23,2.0
2023-08-24,2.0
2023-08-25,1.31
2023-08-28,1.31
2023-08-29,1.32
2023-08-30,1.33
2023-08-31,1.33
2023-09-01,1.39
2023-09-04,1.73
2023-09-05,1.9
2023-09-06,1.56
2023-09-07,1.56
2023-09-08,1.5
2023-09-11,1.71
2023-09-12,1.7
2023-09-13,1.7
2023-09-14,1.47
2023-09-15,1.42
2023-09-18,1.42
2023-09-19,1.42
2023-09-20,1.64
2023-09-21,1.64
2023-09-22,1.64
2023-09-25,1.64
2023-09-26,1.64
2023-09-27,1.64
2023-09-28,1.42
2023-09-29,1.42
2023-10-02,1.42
2023-10-03,1.42
2023-10-04,1.42
2023-10-05,1.42
2023-10-06,1.42
2023-10-09,1.42
2023-10-10,1.42
2023-10-11,1.42
2023-10-12,1.42
2023-10-13,1.42
2023-10-16,1.5
2023-10-17,1.71
2023-10-18,1.71
2023-10-19,1.71
2023-10-20,1.71
2023-10-23,1.68
2023-10-24,1.68
2023-10-25,1.41
2023-10-26,1.41
2023-10-27,1.41
2023-10-30,1.41
2023-10-31,1.41
2023-11-01,1.41
2023-11-02,1.41
2023-11-03,1.41
2023-11-06,1.41
2023-11-07,1.41
2023-11-08,1.32
2023-11-09,1.32
2023-11-10,1.32
2023-11-13,1.32
2023-11-14,1.32
2023-11-15,1.32
2023-11-16,1.32
2023-11-17,1.32
2023-11-20,1.32
2023-11-21,1.32
2023-11-22,1.32
2023-11-23,1.32
2023-11-24,1.32
2023-11-27,1.32
2023-11-28,1.55
2023-11-29,1.55
2023-11-30,1.55
2023-12-01,1.55
2023-12-04,1.55
2023-12-05,1.55
2023-12-06,1.55
2023-12-07,1.55
2023-12-08,1.38
2023-12-11,1.41
2023-12-12,1.55
2023-12-13,1.55
2023-12-14,1.55
2023-12-15,1.55
2023-12-18,1.55
2023-12-19,1.55
2023-12-20,1.5
2023-12-21,1.5
2023-12-22,1.5
2023-12-27,1.5
2023-12-28,1.5
2023-12-29,1.55
2024-01-02,1.5
2024-01-03,1.27
2024-01-04,1.55
2024-01-05,1.55
2024-01-08,1.27
2024-01-09,1.27
2024-01-10,1.27
2024-01-11,1.27
2024-01-12,1.27
2024-01-15,1.27
2024-01-16,1.27
2024-01-17,1.27
2024-01-18,1.55
2024-01-19,1.55
2024-01-22,1.55
2024-01-23,1.27
2024-01-24,1.27
2024-01-25,1.27
2024-01-26,1.27
2024-01-29,1.27
2024-01-30,1.27
2024-01-31,1.45
2024-02-01,1.45
2024-02-02,1.45
2024-02-05,1.35
2024-02-06,1.27
2024-02-07,1.27
2024-02-08,1.54
2024-02-09,1.27
2024-02-12,1.27
2024-02-13,1.27
2024-02-14,1.27
2024-02-15,1.27
2024-02-16,1.27
2024-02-19,1.27
2024-02-20,1.27
2024-02-21,1.5
2024-02-22,1.49
2024-02-23,1.47
2024-02-26,1.5
2024-02-27,1.5
2024-02-28,1.5
2024-02-29,1.5
2024-03-01,1.5
2024-03-04,1.5
2024-03-05,1.5
2024-03-06,1.5
2024-03-07,1.5
2024-03-08,1.5
2024-03-11,1.5
2024-03-12,1.5
2024-03-13,1.5
2024-03-14,1.5
2024-03-15,1.5
2024-03-18,1.5
2024-03-19,1.51
2024-03-20,1.51
2024-03-21,1.51
2024-03-22,1.51
2024-03-25,1.51
2024-03-26,1.51
2024-03-27,1.51
2024-03-28,1.51
2024-04-02,1.51
2024-04-03,1.51
2024-04-04,1.51
2024-04-05,1.51
2024-04-08,1.51
2024-04-09,1.51
2024-04-10,2.0
2024-04-11,2.0
2024-04-12,1.5
2024-04-15,1.5
2024-04-16,1.5
2024-04-17,1.5
2024-04-18,1.5
2024-04-19,1.5
2024-04-22,1.5
2024-04-23,1.5
2024-04-24,1.5
2024-04-25,1.5
2024-04-26,1.5
2024-04-29,1.5
2024-04-30,1.49
2024-05-02,1.49
2024-05-03,1.49
2024-05-06,1.49
2024-05-07,1.49
2024-05-08,1.49
2024-05-09,1.49
2024-05-10,1.49
2024-05-13,1.49
2024-05-14,1.49
2024-05-15,1.49
2024-05-16,1.49
2024-05-17,1.49
2024-05-20,1.49
2024-05-21,1.49
2024-05-22,1.49
2024-05-23,1.49
2024-05-24,1.49
2024-05-27,1.49
2024-05-28,1.49
2024-05-29,1.49
2024-05-30,1.49
2024-05-31,1.49
2024-06-03,1.49
2024-06-04,1.49
2024-06-05,1.49
2024-06-06,1.49
2024-06-07,1.49
2024-06-10,1.35
2024-06-11,1.35
2024-06-12,1.35
2024-06-13,1.35
2024-06-14,1.35
2024-06-17,1.35
2024-06-18,1.37
2024-06-19,1.37
2024-06-20,1.37
2024-06-21,1.37
2024-06-24,1.37
2024-06-25,1.37
2024-06-26,1.37
2024-06-27,1.37
2024-06-28,1.37
2024-07-01,1.37
2024-07-02,1.37
2024-07-03,1.37
2024-07-04,1.37
2024-07-05,1.37
2024-07-08,1.37
2024-07-09,1.38
2024-07-10,1.38
2024-07-11,1.38
2024-07-12,1.38
2024-07-15,1.38
2024-07-16,1.3
2024-07-17,1.3
2024-07-18,1.3
2024-07-19,1.3
2024-07-22,1.3
2024-07-23,1.3
2024-07-24,1.3
2024-07-25,1.3
2024-07-26,1.3
2024-07-29,1.3
2024-07-30,1.3
2024-07-31,1.3
2024-08-01,1.3
2024-08-02,1.3
2024-08-05,1.3
2024-08-06,1.3
2024-08-07,1.3
2024-08-08,1.3
2024-08-09,1.3
2024-08-12,1.3
2024-08-13,1.62
2024-08-14,1.62
2024-08-15,1.62
2024-08-16,1.62
2024-08-19,1.62
2024-08-20,1.62
2024-08-21,1.62
2024-08-22,1.34
2024-08-23,1.34
2024-08-26,1.34
2024-08-27,1.34
2024-08-28,1.34
2024-08-29,1.34
2024-08-30,1.34
2024-09-02,1.34
2024-09-03,1.34
2024-09-04,1.34
2024-09-05,1.34
2024-09-06,1.34
2024-09-09,1.34
2024-09-10,1.34
2024-09-11,1.34
2024-09-12,1.34
2024-09-13,1.34
2024-09-16,1.35
2024-09-17,1.35
2024-09-18,1.35
2024-09-19,1.35
2024-09-20,1.35
2024-09-23,1.35
2024-09-24,1.35
2024-09-25,1.35
2024-09-26,1.35
2024-09-27,1.35
2024-09-30,1.35
2024-10-01,1.35
2024-10-02,1.35
2024-10-03,1.35
2024-10-04,1.35
2024-10-07,1.59
2024-10-08,1.58
2024-10-09,1.58
2024-10-10,1.58
2024-10-11,1.53
2024-10-14,1.6
2024-10-15,1.33
2024-10-16,1.33
2024-10-17,1.33
2024-10-18,1.33
2024-10-21,1.57
2024-10-22,1.57
2024-10-23,2.12
2024-10-24,2.12
2024-10-25,2.12
2024-10-28,2.12
2024-10-29,2.12
2024-10-30,2.12
2024-10-31,2.12
2024-11-01,1.6
2024-11-04,1.6
2024-11-05,1.6
2024-11-06,1.6
2024-11-07,1.6
2024-11-08,1.6
2024-11-11,2.06
2024-11-12,2.06
2024-11-13,2.06
2024-11-14,1.39
2024-11-15,1.4
2024-11-18,1.64
2024-11-19,1.67
2024-11-20,1.38
2024-11-21,1.38
2024-11-22,1.38
2024-11-25,1.52
2024-11-26,1.52
2024-11-27,1.52
2024-11-28,1.52
2024-11-29,1.38
2024-12-02,1.38
2024-12-03,1.38
2024-12-04,1.38
2024-12-05,1.38
2024-12-06,1.38
2024-12-09,1.38
2024-12-10,1.38
2024-12-11,1.38
2024-12-12,1.12
2024-12-13,1.12
2024-12-16,1.12
2024-12-17,1.12
2024-12-18,1.12
2024-12-19,1.12
2024-12-20,1.12
2024-12-23,1.49
2024-12-24,1.49
2024-12-27,1.48
2024-12-30,1.48
2024-12-31,1.48
2025-01-02,1.49
2025-01-03,1.23
2025-01-06,1.23
2025-01-07,1.23
2025-01-08,1.23
2025-01-09,1.23
2025-01-10,1.23
2025-01-13,1.23
2025-01-14,1.23
2025-01-15,1.13
2025-01-16,1.13
2025-01-17,1.12
2025-01-20,1.12
2025-01-21,1.12
2025-01-22,1.12
2025-01-23,1.12
2025-01-24,1.12
2025-01-27,1.12
2025-01-28,1.12
2025-01-29,1.12
2025-01-30,1.12
2025-01-31,1.12
2025-02-03,1.12
2025-02-04,1.12
2025-02-05,1.13
2025-02-06,1.12
2025-02-07,1.12
2025-02-10,1.12
2025-02-11,1.12
2025-02-12,1.34
2025-02-13,1.34
2025-02-14,1.48
2025-02-17,1.48
2025-02-18,1.47
2025-02-19,1.47
2025-02-20,1.13
2025-02-21,1.14
2025-02-24,1.14
2025-02-25,1.14
2025-02-26,1.33
2025-02-27,1.21
2025-02-28,1.46
2025-03-03,1.59
2025-03-04,1.21
2025-03-05,1.21
2025-03-06,1.46
2025-03-07,1.6
2025-03-10,1.6
2025-03-11,1.6
2025-03-12,1.6
2025-03-13,1.32
2025-03-14,1.32
2025-03-17,1.32
2025-03-18,1.31
2025-03-19,1.31
2025-03-20,1.57
2025-03-21,1.57
2025-03-24,1.57
2025-03-25,1.32
2025-03-26,1.32
2025-03-27,1.32
2025-03-28,1.32
2025-03-31,1.22
2025-04-01,1.22
2025-04-02,1.22
2025-04-03,1.22
2025-04-04,1.22
2025-04-07,1.22
2025-04-08,1.22
2025-04-09,1.22
2025-04-10,1.22
2025-04-11,1.22
2025-04-14,1.22
2025-04-15,1.22
2025-04-16,1.22
2025-04-17,1.22
2025-04-22,1.22
2025-04-23,1.22
2025-04-24,1.22
2025-04-25,1.22
2025-04-28,1.22
2025-04-29,1.21
2025-04-30,1.21
2025-05-02,1.21
2025-05-05,1.21
2025-05-06,1.44
2025-05-07,1.21
2025-05-08,1.21
2025-05-09,1.21
2025-05-12,1.22
2025-05-13,1.22
2025-05-14,1.44
2025-05-15,1.22
2025-05-16,1.22
2025-05-19,1.22
2025-05-20,1.22
2025-05-21,1.21
2025-05-22,1.21
2025-05-23,1.4
2025-05-26,1.21
2025-05-27,1.21
2025-05-28,1.4
2025-05-29,1.4
2025-05-30,1.4
2025-06-02,1.4
2025-06-03,1.4
2025-06-04,1.4
2025-06-05,1.4
2025-06-06,1.4
2025-06-09,1.4
2025-06-10,1.4
2025-06-11,1.4
2025-06-12,1.4
2025-06-13,1.4
2025-06-16,1.4
2025-06-17,1.4
2025-06-18,1.4
2025-06-19,1.4
2025-06-20,1.22
2025-06-23,1.22
2025-06-24,1.22
2025-06-25,1.22
2025-06-26,1.22
2025-06-27,1.22
2025-06-30,1.22
2025-07-01,1.22
2025-07-02,1.22
2025-07-03,1.22
2025-07-04,1.22
2025-07-07,1.22
2025-07-08,1.22
2025-07-09,1.38
2025-07-10,1.38
2025-07-11,1.36
2025-07-14,1.36
2025-07-15,1.36
2025-07-16,1.22
2025-07-17,1.22
2025-07-18,1.22
2025-07-21,1.22
2025-07-22,1.44
2025-07-23,1.22
2025-07-24,1.22
2025-07-25,1.22
2025-07-28,1.23
2025-07-29,1.3
2025-07-30,1.3
2025-07-31,1.3
2025-08-01,1.3
2025-08-04,1.43
2025-08-05,1.39
2025-08-06,1.39
2025-08-07,1.23
2025-08-08,1.23
2025-08-11,1.23
2025-08-12,1.3
2025-08-13,1.3
2025-08-14,1.43
2025-08-15,1.3
2025-08-18,1.3
2025-08-19,1.23
2025-08-20,1.23
2025-08-21,1.43
2025-08-22,1.43
2025-08-25,1.43
2025-08-26,1.23
2025-08-27,1.23
2025-08-28,1.23
2025-08-29,1.23
