,AM3A FP Equity_DX_SI_QTY,AM3A FP Equity_DX_SHORT_INTEREST_VALUE,AM3A FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AM3A FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AM3A FP Equity_DX_SI_MV,AM3A FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AM3A FP Equity_DX_SUPPLY_SI_QTY,AM3A FP Equity_DX_BROKER_SI_QTY,AM3A FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AM3A FP Equity_DX_BROKER_SI_MV_NEW_x,AM3A FP Equity_DX_SUPPLY_SI_QTY_INC_x,AM3A FP Equity_DX_BROKER_SI_MV_INC_x,AM3A FP Equity_DX_BROKER_SI_QTY_ADD,AM3A FP Equity_DX_BROKER_SI_QTY_NEW,AM3A FP Equity_DX_SUPPLY_SI_MV_DEC,AM3A FP Equity_DX_BROKER_SI_QTY_INC,AM3A FP Equity_DX_SUPPLY_SI_QTY_DEC,AM3A FP Equity_DX_BROKER_SI_MV_NEW_y,AM3A FP Equity_DX_BROKER_SI_MV_INC_y,AM3A FP Equity_DX_SUPPLY_SI_QTY_INC_y,AM3A FP Equity_DX_BROKER_SI_MV_ADD,AM3A FP Equity_DX_SUPPLY_SI_QTY_ADD,AM3A FP Equity_DX_BROKER_SI_QTY_DEC,AM3A FP Equity_DX_SUPPLY_SI_MV,AM3A FP Equity_DX_BROKER_SI_MV_DEC,AM3A FP Equity_DX_BROKER_SI_MV_RMV,AM3A FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AM3A FP Equity_DX_UTILIZATION_QUANTITY,AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AM3A FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AM3A FP Equity_DX_ACTIVE_UTILIZATION_MV,AM3A FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AM3A FP Equity_DX_BROKER_SI_CON_RATIO,AM3A FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AM3A FP Equity_DX_DEMAND_SUPPLY_RATIO,AM3A FP Equity_PX_LAST
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.73
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.81
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.67
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.37
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.63
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.73
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.26
2010-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.52
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.89
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.73
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.84
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.45
2010-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.49
2010-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.35
2010-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.05
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0
2010-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.56
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.49
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.45
2010-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.42
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.8
2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.17
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.22
2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.53
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.98
2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.2
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.88
2010-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.29
2010-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.4
2010-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.96
2010-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.35
2010-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.12
2010-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.94
2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.39
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.15
2010-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.76
2010-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.33
2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.09
2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.68
2011-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.14
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.19
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.52
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.49
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.88
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.58
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.62
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.65
2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.62
2011-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.6
2011-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0
2011-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.16
2011-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6
2011-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.55
2011-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.84
2011-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6
2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.17
2011-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.78
2011-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.13
2011-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.21
2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.65
2011-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.47
2011-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.93
2011-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.43
2011-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.53
2011-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.22
2011-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.87
2011-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.88
2011-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.13
2011-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.07
2011-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.1
2011-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.72
2011-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.31
2011-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.65
2011-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.27
2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.54
2011-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.68
2011-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.65
2011-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.6
2011-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.44
2011-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.34
2011-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.14
2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.8
2011-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.12
2011-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.15
2011-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.92
2011-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.09
2011-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.6
2011-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.22
2011-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.13
2011-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.1
2011-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.63
2011-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.55
2011-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.28
2011-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.79
2011-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.68
2011-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.75
2011-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.58
2011-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.36
2011-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.07
2011-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.79
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.89
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.68
2011-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.39
2011-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.57
2011-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.4
2011-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.09
2011-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.32
2011-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.42
2011-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.41
2011-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.92
2011-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.93
2011-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.05
2011-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.45
2011-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.58
2011-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.45
2011-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.14
2011-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.4
2011-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.59
2011-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.13
2011-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.83
2011-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.08
2011-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.97
2011-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.6
2011-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.2
2011-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.1
2011-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.49
2011-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.22
2011-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.06
2011-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.87
2011-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.23
2011-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.47
2011-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.02
2011-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.36
2011-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.15
2011-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.96
2011-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.6
2011-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.12
2011-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.66
2011-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.06
2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.6
2011-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.92
2011-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.91
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.5
2011-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.91
2011-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.96
2011-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.41
2011-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.57
2011-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.87
2011-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.2
2011-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.54
2011-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.21
2011-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.16
2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.66
2011-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.04
2011-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.28
2011-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.99
2011-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.79
2011-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.5
2011-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.85
2011-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.85
2011-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.97
2011-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.37
2011-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.92
2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.42
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.05
2011-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.03
2011-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.31
2011-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.48
2011-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.22
2011-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.01
2011-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.33
2011-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.54
2011-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.27
2011-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.76
2011-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.86
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.54
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.85
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.51
2011-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.81
2011-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.83
2011-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.41
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.8
2011-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2
2011-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.22
2011-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.16
2011-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.04
2011-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.7
2011-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.04
2011-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.97
2011-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.92
2011-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.85
2011-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.62
2011-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.47
2011-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.37
2011-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8
2011-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.78
2011-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.82
2011-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.68
2011-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.65
2011-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.29
2011-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.19
2011-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.04
2011-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.88
2011-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.09
2011-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.29
2011-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.71
2011-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.69
2011-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.58
2011-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.53
2011-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.03
2011-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.32
2011-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.37
2011-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.42
2011-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.43
2011-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.04
2011-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.12
2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.19
2011-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.73
2011-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.76
2011-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.97
2011-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.32
2011-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.57
2011-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.55
2011-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.75
2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.65
2011-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.54
