,AJASE FP Equity_PX_LAST
2025-06-12,10.0209
2025-06-13,9.9761
2025-06-16,10.0236
2025-06-17,9.9083
2025-06-18,10.0095
2025-06-19,9.9201
2025-06-20,9.8048
2025-06-23,9.7674
2025-06-24,9.8248
2025-06-25,9.8018
2025-06-26,9.9158
2025-06-27,10.1224
2025-06-30,10.0589
2025-07-01,9.9831
2025-07-02,9.9602
2025-07-03,10.0049
2025-07-04,9.9282
2025-07-07,9.861
2025-07-08,9.836
2025-07-09,9.8367
2025-07-10,9.838
2025-07-11,9.7493
2025-07-14,9.7758
2025-07-15,9.7511
2025-07-16,9.6832
2025-07-17,9.8589
2025-07-18,9.7591
2025-07-21,9.8367
2025-07-22,9.8177
2025-07-23,10.2632
2025-07-24,10.3114
2025-07-25,10.1736
2025-07-28,10.0947
2025-07-29,10.121
2025-07-30,10.2198
2025-07-31,10.1986
2025-08-01,10.1059
2025-08-04,10.2512
2025-08-05,10.219
2025-08-06,10.274
2025-08-07,10.3638
2025-08-08,10.5367
2025-08-11,10.5876
2025-08-12,10.6724
2025-08-13,10.6607
2025-08-14,10.6543
2025-08-15,10.8028
2025-08-18,10.8529
2025-08-19,10.8226
2025-08-20,10.7769
2025-08-21,10.7143
2025-08-22,10.7875
2025-08-25,10.7059
2025-08-26,10.6437
2025-08-27,10.6467
2025-08-28,10.7163
2025-08-29,10.442
