,MLCMG FP Equity_DX_SI_QTY,MLCMG FP Equity_DX_SHORT_INTEREST_VALUE,MLCMG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCMG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCMG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCMG FP Equity_DX_SI_MV,MLCMG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCMG FP Equity_DX_SUPPLY_SI_QTY,MLCMG FP Equity_DX_BROKER_SI_QTY,MLCMG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCMG FP Equity_DX_SUPPLY_SI_MV,MLCMG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCMG FP Equity_DX_UTILIZATION_QUANTITY,MLCMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCMG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCMG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCMG FP Equity_DX_BROKER_SI_CON_RATIO,MLCMG FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCMG FP Equity_PX_LAST
2019-12-05,,,,,,,,,,,,,,,,,,,,6.5
2019-12-16,,,,,,,,,,,,,,,,,,,,6.5
2020-01-02,,,,,,,,,,,,,,,,,,,,6.5
2020-01-03,,,,,,,,,,,,,,,,,,,,5.85
2020-01-16,,,,,,,,,,,,,,,,,,,,6.05
2020-01-21,,,,,,,,,,,,,,,,,,,,6.1
2020-01-27,,,,,,,,,,,,,,,,,,,,5.85
2020-04-03,,,,,,,,,,,,,,,,,,,,5.95
2020-06-02,,,,,,,,,,,,,,,,,,,,2.38
2020-06-09,,,,,,,,,,,,,,,,,,,,5.0
2020-06-10,,,,,,,,,,,,,,,,,,,,6.4
2020-06-12,,,,,,,,,,,,,,,,,,,,6.0
2020-07-08,,,,,,,,,,,,,,,,,,,,6.0
2020-07-22,,,,,,,,,,,,,,,,,,,,6.0
2021-04-12,,,,,,,,,,,,,,,,,,,,6.0
2021-04-16,,,,,,,,,,,,,,,,,,,,5.9
2021-04-22,,,,,,,,,,,,,,,,,,,,6.0
2021-05-12,,,,,,,,,,,,,,,,,,,,6.0
2021-08-09,,,,,,,,,,,,,,,,,,,,6.1
2021-08-10,,,,,,,,,,,,,,,,,,,,6.15
2021-08-11,,,,,,,,,,,,,,,,,,,,6.15
2021-08-12,,,,,,,,,,,,,,,,,,,,6.15
2021-08-13,,,,,,,,,,,,,,,,,,,,6.15
2021-08-16,,,,,,,,,,,,,,,,,,,,6.15
2021-08-17,,,,,,,,,,,,,,,,,,,,6.2
2021-08-18,,,,,,,,,,,,,,,,,,,,6.15
2021-08-19,,,,,,,,,,,,,,,,,,,,6.15
2021-08-20,,,,,,,,,,,,,,,,,,,,6.15
2021-08-24,,,,,,,,,,,,,,,,,,,,6.15
2021-08-26,,,,,,,,,,,,,,,,,,,,6.15
2021-09-10,,,,,,,,,,,,,,,,,,,,6.15
2021-09-13,,,,,,,,,,,,,,,,,,,,6.15
2021-09-14,,,,,,,,,,,,,,,,,,,,6.15
2021-09-15,,,,,,,,,,,,,,,,,,,,5.7
2021-10-14,,,,,,,,,,,,,,,,,,,,5.85
2021-10-27,,,,,,,,,,,,,,,,,,,,5.8
2021-10-28,,,,,,,,,,,,,,,,,,,,5.85
2021-10-29,,,,,,,,,,,,,,,,,,,,6.0
2021-11-02,,,,,,,,,,,,,,,,,,,,6.0
2021-11-05,,,,,,,,,,,,,,,,,,,,6.0
2021-11-09,,,,,,,,,,,,,,,,,,,,6.0
2021-11-10,,,,,,,,,,,,,,,,,,,,5.9
2021-11-11,,,,,,,,,,,,,,,,,,,,6.0
2021-11-12,,,,,,,,,,,,,,,,,,,,5.9
2021-11-15,,,,,,,,,,,,,,,,,,,,5.9
2021-11-16,,,,,,,,,,,,,,,,,,,,6.05
2021-11-17,,,,,,,,,,,,,,,,,,,,6.45
2021-11-18,,,,,,,,,,,,,,,,,,,,6.45
2021-11-19,,,,,,,,,,,,,,,,,,,,6.4
2021-11-22,,,,,,,,,,,,,,,,,,,,6.4
2021-11-23,,,,,,,,,,,,,,,,,,,,6.4
2021-11-24,,,,,,,,,,,,,,,,,,,,5.7
2021-11-25,,,,,,,,,,,,,,,,,,,,6.3
2021-11-26,,,,,,,,,,,,,,,,,,,,6.4
2021-11-29,,,,,,,,,,,,,,,,,,,,5.8
2021-12-01,,,,,,,,,,,,,,,,,,,,6.4
2021-12-02,,,,,,,,,,,,,,,,,,,,5.5
2021-12-07,,,,,,,,,,,,,,,,,,,,6.5
2021-12-09,,,,,,,,,,,,,,,,,,,,4.48
2021-12-13,,,,,,,,,,,,,,,,,,,,6.1
2021-12-14,,,,,,,,,,,,,,,,,,,,6.5
2021-12-15,,,,,,,,,,,,,,,,,,,,6.4
2021-12-16,,,,,,,,,,,,,,,,,,,,6.5
2021-12-17,,,,,,,,,,,,,,,,,,,,6.45
2021-12-21,,,,,,,,,,,,,,,,,,,,6.45
2021-12-22,,,,,,,,,,,,,,,,,,,,6.5
2021-12-23,,,,,,,,,,,,,,,,,,,,6.5
2021-12-27,,,,,,,,,,,,,,,,,,,,7.2
2021-12-28,,,,,,,,,,,,,,,,,,,,7.2
2022-01-06,,,,,,,,,,,,,,,,,,,,6.25
2022-01-07,,,,,,,,,,,,,,,,,,,,6.5
2022-01-13,,,,,,,,,,,,,,,,,,,,7.15
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,110110.0,0.09,0.0,0.0,0.0,
2022-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,110110.0,0.09,0.0,0.0,0.0,
2022-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.09,0.0,0.0,0.0,
2022-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.09,0.0,0.0,0.0,
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.09,0.0,0.0,0.0,
2022-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.09,0.0,0.0,0.0,
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,96250.0,0.1,0.0,0.0,0.0,6.25
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,96250.0,0.08,0.0,0.0,0.0,
2022-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,96250.0,0.08,0.0,0.0,0.0,
2022-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,96250.0,0.08,0.0,0.0,0.0,
2022-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,47740.0,0.05,0.0,0.0,0.0,3.1
2022-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,47740.0,0.08,0.0,0.0,0.0,
2022-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,47740.0,0.07,0.0,0.0,0.0,
2022-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,90860.0,0.09,0.0,0.0,0.0,5.9
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.11,0.0,0.0,0.0,6.9
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.07,0.0,0.0,0.0,
2022-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.11,0.0,0.0,0.0,6.9
2022-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.08,0.0,0.0,0.0,
2022-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.11,0.0,0.0,0.0,6.9
2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.08,0.0,0.0,0.0,
2022-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.08,0.0,0.0,0.0,
2022-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.08,0.0,0.0,0.0,
2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.08,0.0,0.0,0.0,
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.08,0.0,0.0,0.0,
2022-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.08,0.0,0.0,0.0,
2022-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,90090.0,0.09,0.0,0.0,0.0,5.85
2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,90090.0,0.08,0.0,0.0,0.0,
2022-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,90090.0,0.09,0.0,0.0,0.0,5.85
2022-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,90860.0,0.09,0.0,0.0,0.0,5.9
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,98560.0,0.1,0.0,0.0,0.0,6.4
2022-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.1,0.0,0.0,0.0,6.5
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,100100.0,0.08,0.0,0.0,0.0,
2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.08,0.0,0.0,0.0,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.1,0.0,0.0,0.0,
2022-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,106260.0,0.11,0.0,0.0,0.0,6.9
2022-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,
2022-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,118580.0,0.12,0.0,0.0,0.0,7.7
2022-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,118580.0,0.11,0.0,0.0,0.0,
2022-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,118580.0,0.11,0.0,0.0,0.0,
2022-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,118580.0,0.11,0.0,0.0,0.0,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
2022-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400.0,107800.0,0.11,0.0,0.0,0.0,7.0
