,STF FP Equity_DX_SI_QTY,STF FP Equity_DX_SHORT_INTEREST_VALUE,STF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,STF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STF FP Equity_DX_SI_MV,STF FP Equity_DX_DSS,STF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STF FP Equity_DX_SUPPLY_SI_QTY,STF FP Equity_DX_BROKER_SI_QTY,STF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STF FP Equity_DX_BROKER_SI_MV_NEW_x,STF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,STF FP Equity_DX_SUPPLY_SI_QTY_INC_x,STF FP Equity_DX_BROKER_SI_MV_INC_x,STF FP Equity_DX_SUPPLY_SI_MV_NEW,STF FP Equity_DX_BROKER_SI_QTY_ADD,STF FP Equity_DX_BROKER_SI_QTY_NEW,STF FP Equity_DX_SUPPLY_SI_MV_DEC,STF FP Equity_DX_BROKER_SI_QTY_INC,STF FP Equity_DX_SUPPLY_SI_QTY_DEC,STF FP Equity_DX_BROKER_SI_MV_NEW_y,STF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,STF FP Equity_DX_BROKER_SI_MV_INC_y,STF FP Equity_DX_SUPPLY_SI_QTY_INC_y,STF FP Equity_DX_BROKER_SI_MV_ADD,STF FP Equity_DX_SUPPLY_SI_QTY_ADD,STF FP Equity_DX_BROKER_SI_QTY_DEC,STF FP Equity_DX_SUPPLY_SI_MV,STF FP Equity_DX_BROKER_SI_MV_DEC,STF FP Equity_DX_SUPPLY_SI_MV_RMV,STF FP Equity_DX_BROKER_SI_MV_RMV,STF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STF FP Equity_DX_UTILIZATION_QUANTITY,STF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,STF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STF FP Equity_DX_ACTIVE_UTILIZATION_MV,STF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STF FP Equity_DX_BROKER_SI_CON_RATIO,STF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STF FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-17,1000.0,32321.69,0.01,0.14,0.01,0.04,0.0,32321.69,0.0,1000.0,0.0,,,,,,1000.0,,,,,,,,,0.04,,,0.0,,,,0.0,0.0,8141.0,263130.85,,0.33,0.0,,1.0,100.0,0.1228
2006-05-24,1000.0,32465.34,0.01,0.15,0.01,0.04,0.0,32465.34,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8106.0,263164.03,,0.33,0.0,,1.0,100.0,0.1234
2006-05-31,1000.0,33039.95,0.01,0.2,0.01,0.04,0.0,33039.95,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9802.0,323857.55,,0.34,0.0,,1.0,100.0,0.102
2006-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1000.0,0.0,0.04,,,0.0,0.0,19387.0,641631.13,,0.47,0.0,,0.0,,0.0
2006-06-14,1921.0,63128.3,0.02,0.3,0.01,0.09,0.0,63128.3,0.0,1921.0,0.0,,,,,,1921.0,,,,,,,,,0.09,,,0.0,,,,0.0,0.0,7773.0,255437.95,,0.0,0.0,,1.0,100.0,0.1497
2006-06-21,1921.0,60336.01,0.02,0.29,0.01,0.08,0.0,60336.01,0.0,1921.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7954.0,249824.37,,0.0,0.0,,1.0,100.0,0.1476
2006-06-28,1921.0,58722.37,0.02,0.4,0.01,0.08,0.0,58722.37,0.0,1921.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8072.0,246750.12,,0.0,0.0,,1.0,100.0,0.1463
2006-07-03,2955.0,92812.55,0.03,0.65,0.02,0.07,0.0,92812.55,0.0,2955.0,0.0,,,,,,2955.0,,,,,,,,,0.07,,1921.0,0.0,0.08,,,0.0,0.0,14882.0,467423.47,,0.0,0.0,,1.0,100.0,0.1482
2006-07-04,2931.0,93129.19,0.03,0.61,0.02,0.07,0.0,93129.19,0.0,2931.0,0.0,,,,,,,,,,,,,,,,,23.0,0.0,0.0,,,0.0,0.0,14525.0,461515.35,,0.0,0.0,,1.0,100.0,0.1496
2006-07-05,2938.0,93137.01,0.03,0.62,0.02,0.07,0.0,93137.01,0.0,2938.0,0.0,,,,0.0,,,,,7.0,,,,0.0,,,,,0.0,,,,0.0,0.0,14661.0,464765.71,,0.0,0.0,,1.0,100.0,0.149
2006-07-06,3020.0,94302.63,0.03,0.63,0.02,0.07,0.0,94302.63,0.0,3020.0,0.0,,,,0.0,,,,,82.0,,,,0.0,,,,,0.0,,,,0.0,0.0,14834.0,463207.04,,0.0,0.0,,1.0,100.0,0.1518
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3020.0,0.0,0.07,,,0.0,0.0,20637.0,644260.99,,0.46,0.0,,0.0,,0.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,20810.0,641605.66,,0.46,0.0,,0.0,,0.0
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,20376.0,647424.22,,0.46,0.0,,0.0,,0.0
2006-07-12,3529.0,112645.5,0.04,0.56,0.03,0.08,0.0,97994.24,459.0,3070.0,14651.26,,,,,,3070.0,,,,,,,,,0.07,459.0,,0.01,,,,2.94,2.18,15159.0,483874.51,,0.0,0.0,,1.0,100.0,0.1676
2006-07-13,3636.0,116034.38,0.04,0.58,0.03,0.08,0.0,101386.47,459.0,3177.0,14647.9,,,0.0,0.0,,,,,107.0,,,,0.0,0.0,,,,0.01,,,,2.93,2.17,15229.0,485997.67,,0.0,0.0,,1.0,100.0,0.1721
2006-07-14,3658.0,116095.19,0.04,0.6,0.03,0.08,0.0,101432.54,463.0,3196.0,14694.39,,,4.0,0.0,,,,,19.0,,,,0.0,4.0,,,,0.01,,,,2.93,2.18,15312.0,485962.16,,0.0,0.0,,1.0,100.0,0.1724
2006-07-17,3635.0,115471.44,0.04,0.6,0.03,0.08,0.0,100795.29,463.0,3173.0,14707.92,,,0.0,,,,,,,,,,,0.0,,,23.0,0.01,0.0,,,2.94,2.19,15259.0,484725.91,,0.0,0.0,,1.0,100.0,0.1718
2006-07-18,457.0,14587.42,0.01,0.11,0.0,0.01,0.0,0.0,457.0,0.0,14587.42,,,,,,,,0.0,,6.0,,,,,,,3173.0,0.01,0.07,,,2.16,2.16,20705.0,660902.55,,0.46,2.16,,0.0,,0.0216
2006-07-19,460.0,14380.78,0.01,0.11,0.0,0.01,0.0,0.0,460.0,0.0,14380.78,,,3.0,,,,,,,,,,,3.0,,,,0.01,,,,2.17,2.17,20759.0,648979.46,,0.45,2.17,,0.0,,0.0217
2006-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.01,,460.0,,,,,,,,0.0,,,,0.0,0.0,21471.0,661828.52,,0.46,0.0,,0.0,,0.0
2006-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,21491.0,659305.46,,0.45,0.0,,0.0,,0.0
2006-07-24,1000.0,30860.82,0.01,0.31,0.01,0.04,0.0,30860.82,0.0,1000.0,0.0,,,,,,1000.0,,,,,,,,,0.04,,,0.0,,,,0.0,0.0,13528.0,417485.18,,0.46,0.0,,1.0,100.0,0.0739
2006-07-25,2122.0,66649.15,0.02,0.62,0.02,0.09,0.0,62817.29,122.0,2000.0,3831.85,,,,0.04,,,,,1000.0,,,,0.04,,,122.0,,0.01,,,,0.9,0.9,13401.0,420907.26,,0.45,1.12,,1.0,100.0,0.1569
2006-07-26,2122.0,66649.15,0.02,0.62,0.02,0.09,0.0,62817.29,122.0,2000.0,3831.85,,,0.0,,,,,,,,,,,0.0,,,,0.01,,,,0.9,0.9,13422.0,421566.84,,0.45,1.12,,1.0,100.0,0.1567
2006-07-27,2634.0,82730.37,0.03,0.77,0.02,0.11,0.0,62817.29,634.0,2000.0,19913.08,,,512.0,,,,,,,,,,,512.0,,,,0.03,,,,4.68,4.68,12924.0,405925.34,,0.43,5.81,,1.0,100.0,0.1943
2006-07-28,3144.0,98496.17,0.04,0.96,0.02,0.13,0.0,78634.03,633.0,2510.0,19830.81,,,,,,510.0,,0.0,,1.0,,,,,0.02,,,0.03,,,,4.67,4.67,12915.0,404604.97,,0.43,5.81,20.33,0.6761,79.67,0.232
2006-07-31,2632.0,82283.06,0.03,0.8,0.02,0.11,0.0,62525.12,632.0,2000.0,19757.94,,,,,,,,0.0,,1.0,,,,,,,510.0,0.03,0.02,,,4.67,4.67,12917.0,403818.48,,0.43,5.8,,1.0,100.0,0.1943
2006-08-01,2630.0,82604.74,0.03,0.81,0.02,0.11,0.0,62817.29,630.0,2000.0,19787.45,,,,,,,,0.0,,2.0,,,,,,,,0.03,,,,4.65,4.65,12918.0,405736.89,,0.43,5.78,,1.0,100.0,0.1941
2006-08-02,2634.0,83499.96,0.03,0.81,0.02,0.11,0.0,63401.64,634.0,2000.0,20098.32,,,4.0,,,,,,,,,,,4.0,,,,0.03,,,,4.35,4.35,13956.0,442416.63,,0.48,5.28,,1.0,100.0,0.1805
2006-08-03,2640.0,83690.16,0.03,0.74,0.02,0.11,0.0,63401.64,640.0,2000.0,20288.52,,,5.0,,,,,,,,,,,5.0,,,,0.03,,,,4.7,4.7,12979.0,411444.93,,0.44,5.81,,1.0,100.0,0.1938
2006-08-04,2639.0,83658.46,0.03,0.74,0.02,0.11,0.0,63401.64,639.0,2000.0,20256.82,,,,,,,,0.0,,1.0,,,,,,,,0.03,,,,4.68,4.68,13006.0,412300.85,,0.44,5.79,,1.0,100.0,0.1934
2006-08-07,2640.0,83690.16,0.03,0.76,0.02,0.11,0.0,63401.64,640.0,2000.0,20288.52,,,1.0,,,,,,,,,,,1.0,,,,0.03,,,,4.55,4.55,13415.0,425266.49,,0.49,5.17,,1.0,100.0,0.1878
2006-08-08,2640.0,82918.82,0.03,0.75,0.02,0.11,0.0,62817.29,640.0,2000.0,20101.53,,,,,,,,0.0,,0.0,,,,,,,,0.03,,,,4.55,4.55,13412.0,421252.76,,0.49,5.19,,1.0,100.0,0.1879
2006-08-09,2634.0,82730.37,0.03,0.76,0.02,0.11,0.0,62817.29,634.0,2000.0,19913.08,,,,,,,,0.0,,6.0,,,,,,,,0.03,,,,5.49,5.49,10899.0,342322.83,,0.39,6.44,,1.0,100.0,0.2284
2006-08-10,2635.0,82184.37,0.03,0.78,0.02,0.11,0.0,62379.03,635.0,2000.0,19805.34,,,1.0,,,,,,,,,,,1.0,,,,0.03,,,,6.04,6.04,9876.0,308027.66,,0.34,7.23,,1.0,100.0,0.2507
2006-08-11,2507.0,78741.47,0.03,0.77,0.02,0.11,0.0,62817.29,507.0,2000.0,15924.18,,,,,,,,0.01,,128.0,,,,,,,,0.02,,,,4.83,4.83,9982.0,313521.1,,0.35,5.76,,1.0,100.0,0.239
2006-08-14,2510.0,78744.03,0.03,0.77,0.02,0.11,0.0,62744.25,510.0,2000.0,15999.78,,,4.0,,,,,,,,,,,4.0,,,,0.02,,,,4.86,4.86,9993.0,313501.64,,0.35,5.8,,1.0,100.0,0.239
2006-08-15,2602.0,80965.06,0.03,0.89,0.02,0.11,0.0,62232.94,602.0,2000.0,18732.12,,,92.0,,,,,,,,,,,92.0,,,,0.03,,,,5.74,5.74,9896.0,307928.61,,0.34,6.87,,1.0,100.0,0.2479
2006-08-16,2597.0,80809.48,0.03,0.89,0.02,0.11,0.0,62232.94,597.0,2000.0,18576.53,,,,,,,,0.0,,5.0,,,,,,,,0.03,,,,5.2,5.2,10895.0,339013.97,,0.39,6.11,,1.0,100.0,0.226
2006-08-17,2598.0,81979.19,0.03,0.91,0.02,0.11,0.0,63109.46,598.0,2000.0,18869.73,,,1.0,,,,,,,,,,,1.0,,,,0.03,,,,5.71,5.71,9873.0,311539.87,,0.35,6.8,,1.0,100.0,0.2481
2006-08-18,4760.0,150200.53,0.05,1.69,0.04,0.2,0.0,131078.36,606.0,4154.0,19122.17,,,8.0,,,2154.0,,,,,,,,8.0,0.09,,,0.03,,,,5.77,5.77,9893.0,312170.97,,0.35,6.87,48.15,0.5007,51.85,0.4534
2006-08-21,2606.0,81850.93,0.03,1.24,0.02,0.11,0.0,62817.29,606.0,2000.0,19033.64,,,,,,,,0.0,,1.0,,,,,,,2154.0,0.03,0.09,,,5.14,5.14,11187.0,351368.52,,0.4,5.98,,1.0,100.0,0.221
2006-08-22,2604.0,81788.11,0.03,2.48,0.02,0.11,0.0,62817.29,604.0,2000.0,18970.82,,,,,,,,0.0,,2.0,,,,,,,,0.03,,,,5.12,5.12,11184.0,351274.29,,0.4,5.97,,1.0,100.0,0.2209
2006-08-23,2603.0,81566.57,0.03,2.51,0.02,0.11,0.0,62671.2,603.0,2000.0,18895.37,,,,,,,,0.0,,1.0,,,,,,,,0.03,,,,4.73,4.73,12166.0,381228.94,,0.42,5.66,,1.0,100.0,0.2039
2006-08-24,2602.0,81440.21,0.03,2.51,0.02,0.11,0.0,62598.16,602.0,2000.0,18842.05,,,,,,,,0.0,,1.0,,,,,,,,0.03,,,,5.12,5.12,11147.0,348890.85,,0.38,6.27,,1.0,100.0,0.2215
2006-08-25,4737.0,148090.74,0.05,4.71,0.03,0.2,0.0,129301.94,601.0,4136.0,18788.8,,,,,,2136.0,,0.0,,1.0,,,,,0.09,,,0.03,,,,5.12,5.12,11145.0,348421.22,,0.38,6.27,48.35,0.5005,51.65,0.4033
2006-08-28,4734.0,147996.95,0.05,4.65,0.03,0.2,0.0,129239.42,600.0,4134.0,18757.54,,,,,,,,0.0,,1.0,,,,,,,2.0,0.03,0.0,,,5.11,5.11,11143.0,348358.7,,0.38,6.26,48.38,0.5005,51.62,0.4031
2006-08-29,4734.0,150417.47,0.05,4.75,0.03,0.2,0.0,131353.15,600.0,4134.0,19064.32,,,,,,,,0.0,,0.0,,,,,,,0.0,0.03,0.0,,,5.11,5.11,11143.0,354056.15,,0.38,6.21,48.38,0.5005,51.62,0.4031
2006-08-30,4779.0,150765.16,0.05,4.6,0.04,0.2,0.0,131521.23,610.0,4169.0,19243.93,,,10.0,0.0,,,,,35.0,,,,0.0,10.0,,,,0.03,,,,4.77,4.77,12185.0,384405.41,,0.45,5.44,47.98,0.5008,52.02,0.3735
2006-08-31,4759.0,150168.97,0.05,3.98,0.04,0.2,0.0,131046.8,606.0,4153.0,19122.17,,,,,,,,0.0,,4.0,,,,,,,15.0,0.03,0.0,,,5.15,5.15,11158.0,352087.71,,0.4,5.97,48.16,0.5007,51.84,0.4045
2006-09-01,2606.0,82383.91,0.03,2.03,0.02,0.11,0.0,63226.33,606.0,2000.0,19157.58,,,,,,,,0.0,,0.0,,,,,,,2153.0,0.03,0.09,,,4.36,4.36,13282.0,419886.09,,0.4,5.93,,1.0,100.0,0.1877
2006-09-04,2607.0,82834.46,0.03,1.6,0.02,0.11,0.0,63547.73,607.0,2000.0,19286.73,,,1.0,,,,,,,,,,,1.0,,,,0.03,,,,4.37,4.37,13285.0,422115.76,,0.41,5.93,,1.0,100.0,0.1877
2006-09-05,2611.0,82770.84,0.03,1.74,0.02,0.11,0.0,63401.64,611.0,2000.0,19369.2,,,4.0,,,,,,,,,,,4.0,,,,0.03,,,,4.39,4.39,13293.0,421398.99,,0.41,5.97,,1.0,100.0,0.1878
2006-09-06,2609.0,82135.73,0.03,1.21,0.02,0.11,0.0,62963.38,609.0,2000.0,19172.35,,,,,,,,0.0,,2.0,,,,,,,,0.03,,,,4.08,4.08,14304.0,450314.08,,0.45,5.41,,1.0,100.0,0.1749
2006-09-07,2605.0,82009.8,0.03,1.21,0.02,0.11,0.0,62963.38,605.0,2000.0,19046.42,,,,,,,,0.0,,4.0,,,,,,,,0.03,,,,4.36,4.36,13277.0,417982.39,,0.4,5.93,,1.0,100.0,0.1877
2006-09-08,4754.0,150497.35,0.05,2.24,0.04,0.2,0.0,131344.86,605.0,4149.0,19152.48,,,,,,2149.0,,0.0,,0.0,,,,,0.09,,,0.03,,,,4.36,4.36,13277.0,420309.9,,0.4,5.93,48.21,0.5006,51.79,0.3425
2006-09-11,4768.0,150452.96,0.05,2.15,0.04,0.2,0.0,131299.24,608.0,4161.0,19185.28,,,3.0,0.0,,,,,12.0,,,,0.0,3.0,,,,0.03,,,,4.37,4.37,13287.0,419267.73,,0.4,5.95,48.07,0.5007,51.93,0.3431
2006-09-12,4760.0,150200.53,0.05,2.15,0.04,0.2,0.0,131078.36,606.0,4154.0,19122.17,,,,,,,,0.0,,2.0,,,,,,,7.0,0.03,0.0,,,4.36,4.36,13281.0,419078.4,,0.41,5.93,48.15,0.5007,51.85,0.3428
2006-09-13,4786.0,152069.71,0.05,2.15,0.04,0.2,0.0,131988.63,633.0,4154.0,20112.86,,,27.0,,,,,,,,,,,27.0,,,,0.03,,,,4.56,4.56,13255.0,421162.55,,0.4,6.18,48.15,0.5007,51.85,0.3446
2006-09-14,4805.0,151585.39,0.05,2.49,0.04,0.2,0.0,131521.23,637.0,4169.0,20095.71,,,4.0,0.0,,,,,15.0,,,,0.0,4.0,,,,0.03,,,,4.58,4.58,13266.0,418508.18,,0.4,6.22,47.98,0.5008,52.02,0.3456
2006-09-15,4786.0,146756.01,0.05,2.48,0.04,0.2,0.0,127345.95,633.0,4153.0,19410.06,,,,,,,,0.0,,4.0,,,,,,,15.0,0.03,0.0,,,4.56,4.56,13254.0,406415.4,,0.4,6.28,48.16,0.5007,51.84,0.3446
2006-09-18,4707.0,144024.15,0.05,2.42,0.03,0.2,0.0,125237.06,614.0,4093.0,18787.09,,,,,,,,0.0,,19.0,,,,,,,60.0,0.03,0.0,,,4.52,4.52,12985.0,397313.27,,0.4,6.15,48.87,0.5003,51.13,0.3461
2006-09-19,4702.0,142531.7,0.05,2.22,0.03,0.2,0.0,123919.52,614.0,4088.0,18612.18,,,,,,,,0.0,,1.0,,,,,,,4.0,0.03,0.0,,,4.57,4.57,12828.0,388855.1,,0.39,6.17,48.92,0.5002,51.08,0.3498
2006-09-20,4677.0,139997.44,0.05,2.13,0.03,0.2,0.0,121798.07,608.0,4069.0,18199.37,,,,,,,,0.0,,6.0,,,,,,,19.0,0.03,0.0,,,4.98,4.98,11602.0,347284.64,,0.34,7.06,49.15,0.5001,50.85,0.383
2006-09-21,4642.0,138949.77,0.05,2.06,0.03,0.2,0.0,121019.81,599.0,4043.0,17929.97,,,,,,,,0.0,,8.0,,,,,,,26.0,0.03,0.0,,,4.92,4.92,11584.0,346745.84,,0.34,7.0,49.47,0.5001,50.53,0.381
2006-09-22,4643.0,136707.47,0.05,2.06,0.03,0.2,0.0,119041.2,600.0,4043.0,17666.27,,,1.0,0.0,,,,,0.0,,,,0.0,1.0,,,,0.03,,,,4.93,4.93,11583.0,341047.3,,0.33,7.06,49.47,0.5001,50.53,0.3811
2006-09-25,4600.0,136079.78,0.05,2.08,0.03,0.19,0.0,118626.07,591.0,4010.0,17483.29,,,,,,,,0.0,,9.0,,,,,,,33.0,0.02,0.0,,,4.86,4.86,11557.0,341885.67,,0.33,6.96,49.88,0.5,50.12,0.3787
2006-09-26,4613.0,136464.36,0.05,1.67,0.03,0.19,0.0,118892.32,594.0,4019.0,17572.04,,,3.0,0.0,,,,,9.0,,,,0.0,3.0,,,,0.03,,,,4.88,4.88,11564.0,342092.74,,0.33,6.99,49.76,0.5,50.24,0.3794
2006-09-27,4614.0,138179.05,0.05,1.66,0.03,0.19,0.0,120360.12,595.0,4019.0,17818.93,,,1.0,,,,,,,,,,,1.0,,,,0.03,,,,4.97,4.97,11381.0,340835.67,,0.33,7.11,49.76,0.5,50.24,0.3853
2006-09-28,4672.0,137902.6,0.05,1.5,0.03,0.2,0.0,119366.03,628.0,4044.0,18536.56,,,33.0,0.0,,,,,25.0,,,,0.0,33.0,,,,0.03,,,,5.23,5.23,11374.0,335724.34,,0.32,7.54,49.46,0.5001,50.54,0.3893
2006-09-29,4634.0,128725.06,0.05,1.44,0.03,0.2,0.0,111530.24,619.0,4015.0,17194.82,,,,,,,,0.0,,9.0,,,,,,,29.0,0.03,0.0,,,5.17,5.17,11352.0,315340.29,,0.31,7.72,49.82,0.5,50.18,0.3871
2006-10-02,4477.0,130806.05,0.05,1.35,0.03,0.19,0.0,113830.78,582.0,3896.0,17004.49,,,,,,,,0.0,,37.0,,,,,,,119.0,0.02,0.01,,,4.91,4.91,11264.0,329104.17,,0.32,7.16,48.66,0.5004,51.34,0.3779
