,GRE FP Equity_DX_SI_QTY,GRE FP Equity_DX_SHORT_INTEREST_VALUE,GRE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GRE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GRE FP Equity_DX_SI_MV,GRE FP Equity_DX_DSS,GRE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GRE FP Equity_DX_SUPPLY_SI_QTY,GRE FP Equity_DX_BROKER_SI_QTY,GRE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GRE FP Equity_DX_BROKER_SI_MV_NEW_x,GRE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GRE FP Equity_DX_SUPPLY_SI_QTY_INC_x,GRE FP Equity_DX_BROKER_SI_MV_INC_x,GRE FP Equity_DX_SUPPLY_SI_MV_NEW,GRE FP Equity_DX_BROKER_SI_QTY_ADD,GRE FP Equity_DX_BROKER_SI_QTY_NEW,GRE FP Equity_DX_SUPPLY_SI_MV_DEC,GRE FP Equity_DX_BROKER_SI_QTY_INC,GRE FP Equity_DX_SUPPLY_SI_QTY_DEC,GRE FP Equity_DX_BROKER_SI_MV_NEW_y,GRE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GRE FP Equity_DX_BROKER_SI_MV_INC_y,GRE FP Equity_DX_SUPPLY_SI_QTY_INC_y,GRE FP Equity_DX_BROKER_SI_MV_ADD,GRE FP Equity_DX_SUPPLY_SI_QTY_ADD,GRE FP Equity_DX_BROKER_SI_QTY_DEC,GRE FP Equity_DX_SUPPLY_SI_MV,GRE FP Equity_DX_BROKER_SI_MV_DEC,GRE FP Equity_DX_SUPPLY_SI_MV_RMV,GRE FP Equity_DX_BROKER_SI_MV_RMV,GRE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GRE FP Equity_DX_UTILIZATION_QUANTITY,GRE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GRE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GRE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GRE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GRE FP Equity_DX_ACTIVE_UTILIZATION_MV,GRE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GRE FP Equity_DX_BROKER_SI_CON_RATIO,GRE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GRE FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-12-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14050.35,,0.02,0.0,,0.0,,0.0
2007-12-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14050.35,,0.02,0.0,,0.0,,0.0
2007-12-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,13868.62,,0.02,0.0,,0.0,,0.0
2007-12-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,13648.63,,0.02,0.0,,0.0,,0.0
2007-12-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,13686.89,,0.02,0.0,,0.0,,0.0
2007-12-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,13696.46,,0.02,0.0,,0.0,,0.0
2007-12-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,13715.59,,0.02,0.0,,0.0,,0.0
2007-12-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14069.47,,0.02,0.0,,0.0,,0.0
2007-12-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14069.47,,0.02,0.0,,0.0,,0.0
2007-12-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14069.47,,0.02,0.0,,0.0,,0.0
2007-12-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14069.47,,0.02,0.0,,0.0,,0.0
2007-12-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14069.47,,0.02,0.0,,0.0,,0.0
2007-12-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14145.99,,0.02,0.0,,0.0,,0.0
2007-12-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14145.99,,0.02,0.0,,0.0,,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14145.99,,0.02,0.0,,0.0,,0.0
2008-01-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14260.77,,0.02,0.0,,0.0,,0.0
2008-01-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14260.77,,0.02,0.0,,0.0,,0.0
2008-01-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14270.33,,0.02,0.0,,0.0,,0.0
2008-01-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14021.65,,0.02,0.0,,0.0,,0.0
2008-01-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14174.68,,0.02,0.0,,0.0,,0.0
2008-01-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14174.68,,0.02,0.0,,0.0,,0.0
2008-01-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14174.68,,0.02,0.0,,0.0,,0.0
2008-01-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,14174.68,,0.02,0.0,,0.0,,0.0
2008-01-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,13505.16,,0.02,0.0,,0.0,,0.0
2008-01-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12787.82,,0.02,0.0,,0.0,,0.0
2008-01-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12653.92,,0.02,0.0,,0.0,,0.0
2008-01-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12395.68,,0.01,0.0,,0.0,,0.0
2008-01-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12701.74,,0.01,0.0,,0.0,,0.0
2008-01-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,11974.83,,0.01,0.0,,0.0,,0.0
2008-01-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,11993.96,,0.01,0.0,,0.0,,0.0
2008-01-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,11534.86,,0.01,0.0,,0.0,,0.0
2008-01-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12376.55,,0.01,0.0,,0.0,,0.0
2008-01-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12520.01,,0.01,0.0,,0.0,,0.0
2008-01-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12433.93,,0.01,0.0,,0.0,,0.0
2008-01-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12472.19,,0.01,0.0,,0.0,,0.0
2008-01-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12481.76,,0.01,0.0,,0.0,,0.0
2008-01-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12252.21,,0.01,0.0,,0.0,,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12252.21,,0.01,0.0,,0.0,,0.0
2008-02-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12366.98,,0.01,0.0,,0.0,,0.0
2008-02-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,12089.61,,0.01,0.0,,0.0,,0.0
2008-02-06,1000.0,10817.27,0.08,0.07,0.01,0.0,10817.27,0.0,1000.0,0.0,,,,,,1000.0,,,,,,,,,0.01,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.885
2008-02-07,1000.0,10766.48,0.08,0.07,0.01,0.0,10766.48,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.885
2008-02-08,5000.0,54044.02,0.39,0.33,0.06,0.0,54044.02,0.0,5000.0,0.0,,,,0.05,,,,,4000.0,,,,0.05,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-11,10000.0,104363.79,0.76,0.67,0.13,0.0,104363.79,0.0,10000.0,0.0,,,,0.06,,,,,5000.0,,,,0.06,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,8.8496
2008-02-12,9000.0,96365.1,0.68,0.6,0.11,0.0,96365.1,0.0,9000.0,0.0,,,,,,,,,,,,,,,,,1000.0,0.0,0.02,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,7.9646
2008-02-13,5000.0,53493.85,0.37,0.33,0.06,0.0,53493.85,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,4000.0,0.0,0.05,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-14,5000.0,53451.53,0.37,0.33,0.06,0.0,53451.53,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-15,5000.0,53451.53,0.37,0.33,0.06,0.0,53451.53,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-18,5000.0,52435.82,0.37,0.33,0.06,0.0,52435.82,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-19,5000.0,52266.54,0.36,0.33,0.06,0.0,52266.54,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-20,5000.0,51716.36,0.36,0.33,0.06,0.0,51716.36,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-21,5000.0,52435.82,0.36,0.33,0.06,0.0,52435.82,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-22,5000.0,52435.82,0.35,0.33,0.06,0.0,52435.82,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-25,5000.0,53324.56,0.35,0.33,0.06,0.0,53324.56,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-26,5000.0,53324.56,0.35,0.33,0.06,0.0,53324.56,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-27,5000.0,52224.21,0.36,0.33,0.06,0.0,52224.21,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-28,5000.0,51462.43,0.36,0.33,0.06,0.0,51462.43,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-02-29,5000.0,49473.34,0.37,0.33,0.06,0.0,49473.34,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-03-03,5000.0,48838.53,0.39,0.33,0.06,0.0,48838.53,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,4.4248
2008-03-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5000.0,0.0,0.06,,,0.0,0.0,1130.0,11047.07,,0.01,0.0,,0.0,,0.0
2008-03-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,11047.07,,0.01,0.0,,0.0,,0.0
2008-03-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10788.83,,0.01,0.0,,0.0,,0.0
2008-03-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10788.83,,0.01,0.0,,0.0,,0.0
2008-03-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10645.36,,0.01,0.0,,0.0,,0.0
2008-03-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10645.36,,0.01,0.0,,0.0,,0.0
2008-03-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10645.36,,0.01,0.0,,0.0,,0.0
2008-03-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10731.44,,0.01,0.0,,0.0,,0.0
2008-03-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10731.44,,0.01,0.0,,0.0,,0.0
2008-03-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10731.44,,0.01,0.0,,0.0,,0.0
2008-03-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1130.0,10434.94,,0.01,0.0,,0.0,,0.0
