,LPE FP Equity_DX_SI_QTY,LPE FP Equity_DX_SHORT_INTEREST_VALUE,LPE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LPE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LPE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LPE FP Equity_DX_SI_MV,LPE FP Equity_DX_DSS,LPE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LPE FP Equity_DX_SUPPLY_SI_QTY,LPE FP Equity_DX_BROKER_SI_QTY,LPE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LPE FP Equity_DX_BROKER_SI_MV_NEW_x,LPE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LPE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LPE FP Equity_DX_BROKER_SI_MV_INC_x,LPE FP Equity_DX_SUPPLY_SI_MV_NEW,LPE FP Equity_DX_BROKER_SI_QTY_ADD,LPE FP Equity_DX_BROKER_SI_QTY_NEW,LPE FP Equity_DX_SUPPLY_SI_MV_DEC,LPE FP Equity_DX_BROKER_SI_QTY_INC,LPE FP Equity_DX_SUPPLY_SI_QTY_DEC,LPE FP Equity_DX_BROKER_SI_MV_NEW_y,LPE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LPE FP Equity_DX_BROKER_SI_MV_INC_y,LPE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LPE FP Equity_DX_BROKER_SI_MV_ADD,LPE FP Equity_DX_SUPPLY_SI_QTY_ADD,LPE FP Equity_DX_BROKER_SI_QTY_DEC,LPE FP Equity_DX_SUPPLY_SI_MV,LPE FP Equity_DX_BROKER_SI_MV_DEC,LPE FP Equity_DX_SUPPLY_SI_MV_RMV,LPE FP Equity_DX_BROKER_SI_MV_RMV,LPE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LPE FP Equity_DX_UTILIZATION_QUANTITY,LPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LPE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LPE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LPE FP Equity_DX_ACTIVE_UTILIZATION_MV,LPE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LPE FP Equity_DX_BROKER_SI_CON_RATIO,LPE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LPE FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92385.0,4249950.92,,5.13,0.0,,0.0,,0.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,93967.0,4290854.41,,5.12,0.0,,0.0,,0.0
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,93672.0,4237667.97,,5.07,0.0,,0.0,,0.0
2006-04-12,9.0,409.44,0.0,0.0,0.0,0.0,0.0,409.44,9.0,9.0,409.44,0.0,,,,,,9.0,,,,0.0,,,,,9.0,,0.0,,,,0.01,0.01,152628.0,6943631.25,,8.23,0.01,,1.0,100.0,0.0001
2006-04-19,9.0,410.21,0.0,0.0,0.0,0.0,0.0,410.21,0.0,9.0,0.0,,,,,,,,0.0,,9.0,,,,,,,,0.0,,,,0.0,0.0,152764.0,6962772.4,,8.19,0.0,,1.0,100.0,0.0001
2006-04-26,834.0,40311.0,0.03,0.23,0.01,0.05,0.0,0.0,834.0,0.0,40311.0,,,,,,,,,,,,,,,,834.0,9.0,0.05,0.0,,,0.55,0.55,151948.0,7344336.26,,8.5,0.55,,0.0,,0.0055
2006-05-03,859.0,43158.29,0.03,0.19,0.01,0.05,0.0,0.0,859.0,0.0,43158.29,,,25.0,,,,,,,,,,,25.0,,,,0.05,,,,0.57,0.57,148969.0,7484571.93,,8.81,0.57,,0.0,,0.0057
2006-05-10,856.0,43189.03,0.03,0.21,0.01,0.05,0.0,0.0,856.0,0.0,43189.03,,,,,,,,0.0,,3.0,,,,,,,,0.05,,,,0.58,0.58,146437.0,7388401.67,,8.75,0.58,,0.0,,0.0058
2006-05-17,874.0,46691.16,0.04,0.21,0.01,0.06,0.0,0.0,874.0,0.0,46691.16,,,19.0,,,,,,,,,,,19.0,,,,0.06,,,,0.54,0.54,162097.0,8659608.06,,10.32,0.54,,0.0,,0.0054
2006-05-24,870.0,46477.47,0.04,0.2,0.01,0.05,0.0,0.0,870.0,0.0,46477.47,,,,,,,,0.0,,5.0,,,,,,,,0.05,,,,0.53,0.53,162666.0,8690005.39,,9.95,0.53,,0.0,,0.0053
2006-05-31,865.0,46210.36,0.03,0.2,0.01,0.05,0.0,0.0,865.0,0.0,46210.36,,,,,,,,0.0,,4.0,,,,,,,,0.05,,,,0.53,0.53,162164.0,8663187.36,,10.21,0.53,,0.0,,0.0053
2006-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.05,,865.0,,,,,,,,0.0,,,,0.0,0.0,158607.0,8110028.34,,9.85,0.0,,0.0,,0.0
2006-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,176876.0,8271744.93,,10.15,0.0,,0.0,,0.0
2006-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,178534.0,9083535.02,,10.71,0.0,,0.0,,0.0
2006-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,204609.0,10479592.14,,12.37,0.0,,0.0,,0.0
2006-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,203386.0,10347966.51,,12.2,0.0,,0.0,,0.0
2006-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,203702.0,10433137.73,,12.22,0.0,,0.0,,0.0
2006-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,202093.0,10025126.15,,12.19,0.0,,0.0,,0.0
2006-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,205220.0,10432576.55,,12.01,0.0,,0.0,,0.0
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,227089.0,11553938.66,,13.62,0.0,,0.0,,0.0
2006-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228446.0,11652038.18,,13.72,0.0,,0.0,,0.0
2006-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228238.0,11612398.01,,13.72,0.0,,0.0,,0.0
2006-07-12,27194.0,1372058.94,1.1,7.46,0.46,1.63,0.0,0.0,27194.0,0.0,1372058.94,,,,,,,,,,,,,,,,27194.0,,1.63,,,,36.09,11.94,48154.0,2429584.7,,0.0,0.0,,0.0,,0.1194
2006-07-13,27610.0,1374317.94,1.12,7.61,0.46,1.64,0.0,0.0,27610.0,0.0,1374317.94,,,416.0,,,,,,,,,,,416.0,,,,1.64,,,,36.51,12.1,48022.0,2390347.57,,0.0,0.0,,0.0,,0.1211
2006-07-14,28135.0,1388521.51,1.14,7.44,0.47,1.64,0.0,0.0,28135.0,0.0,1388521.51,,,526.0,,,,,,,,,,,526.0,,,,1.64,,,,36.69,12.28,48539.0,2395501.89,,0.0,0.0,,0.0,,0.1228
2006-07-17,28076.0,1416559.79,1.13,7.69,0.47,1.64,0.0,0.0,28076.0,0.0,1416559.79,,,,,,,,0.0,,60.0,,,,,,,,1.64,,,,36.24,12.21,49401.0,2492501.42,,0.0,0.0,,0.0,,0.1221
2006-07-18,27730.0,1387345.37,1.12,7.46,0.47,1.65,0.0,0.0,27730.0,0.0,1387345.37,,,,,,,,0.0,,345.0,,,,,,,,1.65,,,,36.51,12.14,48226.0,2412770.21,,0.0,0.0,,0.0,,0.1214
2006-07-19,26969.0,1360706.68,1.09,7.39,0.45,1.6,0.0,0.0,26969.0,0.0,1360706.68,,,,,,,,0.05,,761.0,,,,,,,,1.6,,,,35.75,11.83,48478.0,2445931.95,,0.0,0.0,,0.0,,0.1183
2006-07-20,26990.0,1373405.22,1.09,7.36,0.45,1.6,0.0,0.0,26990.0,0.0,1373405.22,,,21.0,,,,,,,,,,,21.0,,,,1.6,,,,35.92,11.86,48143.0,2449790.58,,0.0,0.0,,0.0,,0.1186
2006-07-21,27533.0,1383226.38,1.11,7.37,0.46,1.61,0.0,0.0,27533.0,0.0,1383226.38,,,491.0,,,,,,,,,,,491.0,,53.0,,1.61,,,,36.26,12.06,48395.0,2431309.36,,0.0,0.0,,1.0,100.0,0.1206
2006-07-24,27606.0,1399988.95,1.12,7.39,0.46,1.61,0.0,2637.09,27751.0,52.0,1407342.37,,,217.0,,,52.0,,,,,,,,217.0,0.0,,,1.62,,,,36.28,12.12,48732.0,2471356.29,,0.0,0.0,,1.0,100.0,0.1206
2006-07-25,27440.0,1396303.79,1.11,7.43,0.46,1.61,0.0,10024.48,27440.0,197.0,1396303.79,,,,0.01,,,,0.0,145.0,310.0,,,0.01,,,,,1.61,,,,36.17,12.02,48432.0,2464496.55,,0.0,0.0,,1.0,100.0,0.1202
2006-07-26,27367.0,1374886.73,1.11,7.43,0.46,1.61,0.0,9897.05,27367.0,197.0,1374886.73,,,,,,,,0.0,,73.0,,,,,,,,1.61,,,,36.44,12.03,47725.0,2397649.33,,0.0,0.0,,1.0,100.0,0.1203
2006-07-27,27794.0,1399934.44,1.12,7.63,0.47,1.62,0.0,9922.54,27794.0,197.0,1399934.44,,,427.0,,,,,,,,,,,427.0,,,,1.62,,,,36.46,12.15,48441.0,2439887.18,,0.0,0.0,,1.0,100.0,0.1215
2006-07-28,27684.0,1386037.13,1.12,7.52,0.47,1.62,0.0,9863.07,27684.0,197.0,1386037.13,,,0.0,,,,,0.0,,110.0,,,,0.0,,,,1.62,,,,36.55,12.13,48056.0,2405989.02,,0.0,0.0,,1.0,100.0,0.1213
2006-07-31,27896.0,1402666.06,1.13,7.61,0.47,1.62,0.0,9905.55,27896.0,197.0,1402666.06,,,212.0,,,,,0.0,,0.0,,,,212.0,,,,1.62,,,,36.5,12.19,48529.0,2440134.11,,0.0,0.0,,1.0,100.0,0.1219
2006-08-01,27777.0,1399078.18,1.12,7.96,0.47,1.62,0.0,9922.54,27777.0,197.0,1399078.18,,,0.0,,,,,0.0,,119.0,,,,0.0,,,,1.62,,,,36.46,12.15,48401.0,2437872.46,,0.0,0.0,,1.0,100.0,0.1215
2006-08-02,27824.0,1421843.24,1.12,8.18,0.47,1.62,0.0,10066.96,27824.0,197.0,1421843.24,,,47.0,,,,,0.0,,0.0,,,,47.0,,,,1.62,,,,36.24,12.14,48963.0,2502074.13,,0.0,0.0,,1.0,100.0,0.1214
2006-08-03,27549.0,1389970.25,1.11,8.17,0.46,1.63,0.0,9939.53,27549.0,197.0,1389970.25,,,0.0,,,,,0.0,,275.0,,,,0.0,,,,1.63,,,,36.59,12.1,47750.0,2409201.03,,0.0,0.0,,1.0,100.0,0.121
2006-08-04,28043.0,1426987.87,1.13,8.52,0.47,1.64,0.0,10024.48,28043.0,197.0,1426987.87,,,494.0,,,,,0.0,,0.0,,,,494.0,,,,1.64,,,,36.53,12.23,48731.0,2479711.37,,0.0,0.0,,1.0,100.0,0.1223
2006-08-07,27864.0,1417879.33,1.13,8.91,0.47,1.64,0.0,10024.48,27864.0,197.0,1417879.33,,,,,,,,0.0,,179.0,,,,,,,,1.64,,,,12.15,12.15,201501.0,10253520.79,,11.89,12.15,,1.0,100.0,0.1215
2006-08-08,27889.0,1413138.12,1.13,9.63,0.47,1.65,0.0,9982.01,27889.0,197.0,1413138.12,,,25.0,,,,,,,,,,,25.0,,,,1.65,,,,12.17,12.17,201358.0,10202827.84,,11.88,12.17,,1.0,100.0,0.1217
2006-08-09,27901.0,1417355.73,1.13,9.88,0.47,1.64,0.0,10007.49,27901.0,197.0,1417355.73,,,12.0,,,,,,,,,,,12.0,,,,1.64,,,,12.15,12.15,201658.0,10244117.45,,11.85,12.15,,1.0,100.0,0.1215
2006-08-10,197.0,9973.51,0.01,0.08,0.0,0.01,0.0,9973.51,197.0,197.0,9973.51,,,0.0,,,,,,,,,,,0.0,,,,0.01,,1.63,,0.1,0.1,197879.0,10018013.37,27704.0,11.65,0.1,,1.0,100.0,0.001
2006-08-11,197.0,10024.48,0.01,0.08,0.0,0.01,0.0,10024.48,197.0,197.0,10024.48,,,,,,,,0.0,,0.0,,,,,,,,0.01,,,,0.1,0.1,198028.0,10076794.73,,11.68,0.1,,1.0,100.0,0.001
2006-08-14,197.0,10024.48,0.01,0.08,0.0,0.01,0.0,10024.48,197.0,197.0,10024.48,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,198028.0,10076794.73,,11.69,0.1,,1.0,100.0,0.001
2006-08-15,197.0,10041.47,0.01,0.09,0.0,0.01,0.0,10041.47,197.0,197.0,10041.47,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,198236.0,10104476.21,,11.7,0.1,,1.0,100.0,0.001
2006-08-16,197.0,10024.48,0.01,0.09,0.0,0.01,0.0,10024.48,197.0,197.0,10024.48,,,,,,,,0.0,,0.0,,,,,,,,0.01,,,,0.1,0.1,198996.0,10126052.09,,11.75,0.1,,1.0,100.0,0.001
2006-08-17,197.0,10024.48,0.01,0.11,0.0,0.01,0.0,10024.48,197.0,197.0,10024.48,,,0.0,,,,,,,,,,,0.0,,,,0.01,,,,0.1,0.1,200421.0,10198564.22,,11.83,0.1,,1.0,100.0,0.001
2006-08-18,197.0,9973.51,0.01,0.1,0.0,0.01,0.0,9973.51,197.0,197.0,9973.51,,,0.0,,,,,,,,,,,0.0,,,,0.01,,,,0.1,0.1,200421.0,10146707.12,,11.77,0.1,,1.0,100.0,0.001
2006-08-21,197.0,9973.51,0.01,0.1,0.0,0.01,0.0,9973.51,197.0,197.0,9973.51,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,201133.0,10182753.52,,11.8,0.1,,1.0,100.0,0.001
2006-08-22,197.0,10024.48,0.01,0.11,0.0,0.01,0.0,10024.48,197.0,197.0,10024.48,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,205533.0,10458691.96,,12.09,0.1,,1.0,100.0,0.001
2006-08-23,27367.0,1364265.29,1.11,15.27,0.46,1.61,0.0,9820.6,27367.0,197.0,1364265.29,,27170.0,,,1.6,,,0.0,,0.0,,27170.0,,,,,,1.61,,,,11.56,11.56,209309.0,10434209.2,,12.27,11.63,,1.0,100.0,0.1156
2006-08-24,27883.0,1382773.8,1.13,15.6,0.47,1.61,0.0,9769.62,27883.0,197.0,1382773.8,,,516.0,,,,,,,,,,,516.0,,,,1.61,,,,11.75,11.75,209381.0,10383623.03,,12.08,11.77,,1.0,100.0,0.1175
2006-08-25,28057.0,1379303.65,1.13,17.71,0.47,1.61,0.0,9684.67,28057.0,197.0,1379303.65,,,174.0,,,,,,,,,,,174.0,,,,1.61,,,,83.8,11.82,5425.0,266697.16,,0.0,0.0,,1.0,100.0,0.1182
2006-08-28,28328.0,1397512.63,1.14,16.34,0.48,1.61,0.0,9718.65,28328.0,197.0,1397512.63,,,270.0,,,,,0.0,,0.0,,,,270.0,,,,1.61,,,,83.83,11.91,5462.0,269458.27,,0.0,0.0,,1.0,100.0,0.1191
2006-08-29,28211.0,1392957.19,1.14,17.91,0.47,1.61,0.0,9727.15,28211.0,197.0,1392957.19,,,,,,,,0.0,,117.0,,,,,,,,1.61,,,,83.82,11.87,5446.0,268903.79,,0.0,0.0,,1.0,100.0,0.1187
2006-08-30,27367.0,1348923.2,1.11,17.25,0.46,1.57,0.0,9710.16,27367.0,197.0,1348923.2,,,,,,,,0.05,,844.0,,,,,,,,1.57,,,,83.7,11.56,5329.0,262667.15,,0.0,0.0,,1.0,100.0,0.1156
2006-08-31,27460.0,1365348.9,1.11,16.42,0.46,1.57,0.0,9795.11,27460.0,197.0,1365348.9,,,93.0,,,,,0.0,,0.0,,,,93.0,,,,1.57,,,,83.71,11.6,5342.0,265611.57,,0.0,0.0,,1.0,100.0,0.116
2006-09-01,27186.0,1348208.17,1.1,12.89,0.46,1.57,0.0,9769.62,27186.0,197.0,1348208.17,,,,,,,,0.0,,274.0,,,,,,,,1.57,,,,83.68,11.5,5304.0,263035.98,,0.0,0.0,,1.0,100.0,0.115
2006-09-04,27131.0,1345480.61,1.1,12.86,0.46,1.56,0.0,9769.62,27131.0,197.0,1345480.61,,,,,,,,0.0,,55.0,,,,,,,,1.56,,,,11.48,11.48,209272.0,10378217.51,,12.03,11.5,,1.0,100.0,0.1148
2006-09-05,27143.0,1340223.22,1.1,11.76,0.46,1.56,0.0,9727.15,27143.0,197.0,1340223.22,,,12.0,,,,,,,,,,,12.0,,,,1.56,,,,11.48,11.48,209278.0,10333391.08,,12.02,11.49,,1.0,100.0,0.1148
2006-09-06,197.0,9982.01,0.01,0.07,0.0,0.01,0.0,9982.01,197.0,197.0,9982.01,,,0.0,,,,,1.55,,26946.0,,,,0.0,,,,0.01,,,,0.08,0.08,236479.0,11982412.05,,13.64,0.08,,1.0,100.0,0.0008
2006-09-07,197.0,10211.38,0.01,0.07,0.0,0.01,0.0,10211.38,0.0,197.0,0.0,,,,,,,,0.01,,197.0,,,,,,,,0.0,,,,0.0,0.0,235571.0,12210686.92,,13.89,0.0,,1.0,100.0,0.0008
2006-09-08,197.0,10279.34,0.01,0.06,0.0,0.01,0.0,10279.34,0.0,197.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,235534.0,12290025.42,,14.12,0.0,,1.0,100.0,0.0008
2006-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,197.0,0.0,0.01,,,0.0,0.0,233814.0,12200276.83,,14.14,0.0,,0.0,,0.0
2006-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,233984.0,12209147.33,,14.16,0.0,,0.0,,0.0
2006-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,235437.0,12386492.64,,14.28,0.0,,0.0,,0.0
2006-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,235546.0,12189075.94,,14.28,0.0,,0.0,,0.0
2006-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,235853.0,12235475.03,,14.19,0.0,,0.0,,0.0
2006-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,235413.0,12588266.54,,14.31,0.0,,0.0,,0.0
2006-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,234992.0,12464417.63,,14.53,0.0,,0.0,,0.0
2006-09-20,1318.0,69909.2,0.05,0.26,0.02,0.08,0.0,0.0,1318.0,0.0,69909.2,,,,,,,,,,,,,,,,1318.0,,0.08,,,,0.56,0.56,234208.0,12422832.8,,14.4,0.56,,1.0,100.0,0.0056
2006-09-21,1318.0,69966.04,0.05,0.26,0.02,0.08,0.0,0.0,1318.0,0.0,69966.04,,,,,,,,,,,,,,,,,,0.08,,,,0.56,0.56,234143.0,12429482.14,,14.4,0.56,,1.0,100.0,0.0056
2006-09-22,1318.0,70022.87,0.05,0.26,0.02,0.08,0.0,0.0,1318.0,0.0,70022.87,,,,,,,,,,,,,,,,,,0.08,,,,0.56,0.56,234109.0,12437772.84,,14.42,0.56,,1.0,100.0,0.0056
2006-09-25,1706.0,90930.86,0.07,0.33,0.03,0.11,0.0,0.0,1706.0,0.0,90930.86,,,388.0,,,,,,,,,,,388.0,,,,0.11,,,,0.72,0.72,233809.0,12462165.04,,14.42,0.72,,1.0,100.0,0.0072
2006-09-26,1706.0,92255.1,0.07,0.33,0.03,0.11,0.0,0.0,1706.0,0.0,92255.1,,,,,,,,,,,,,,,,,,0.11,,,,0.72,0.72,233752.0,12640570.5,,14.51,0.72,,1.0,100.0,0.0072
2006-09-27,1706.0,94830.0,0.07,0.32,0.03,0.11,0.0,0.0,1706.0,0.0,94830.0,,,,,,,,,,,,,,,,,,0.11,,,,0.72,0.72,233820.0,12997157.35,,14.78,0.72,,1.0,100.0,0.0072
2006-09-28,1706.0,100494.79,0.07,0.31,0.03,0.11,0.0,0.0,1706.0,0.0,100494.79,,,,,,,,,,,,,,,,,,0.11,,,,0.73,0.73,232781.0,13712354.49,,15.28,0.71,,1.0,100.0,0.0073
2006-09-29,1706.0,100347.65,0.07,0.3,0.03,0.12,0.0,0.0,1706.0,0.0,100347.65,,,,,,,,,,,,,,,,,,0.12,,,,0.73,0.73,231130.0,13595165.31,,15.77,0.73,,1.0,100.0,0.0073
2006-10-02,1706.0,99906.24,0.07,0.29,0.03,0.12,0.0,0.0,1706.0,0.0,99906.24,,,,,,,,,,,,,,,,,,0.12,,,,0.73,0.73,231209.0,13539988.9,,15.74,0.73,,1.0,100.0,0.0073
2006-10-03,2026.0,117422.82,0.08,0.35,0.03,0.14,0.0,18546.55,1706.0,320.0,98876.28,,,,,,320.0,,,,,,,,,0.02,,,0.12,,,,0.72,0.72,233701.0,13544832.62,,15.82,0.73,15.66,0.7358,84.34,0.0086
2006-10-04,2026.0,117422.82,0.08,0.34,0.03,0.14,0.0,18546.55,1706.0,320.0,98876.28,,,,,,,,,,,,,,,,,,0.11,,,,0.72,0.72,236466.0,13705086.37,,15.89,0.72,15.76,0.7345,84.24,0.0085
