,ALMGI FP Equity_DX_SI_QTY,ALMGI FP Equity_DX_SHORT_INTEREST_VALUE,ALMGI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMGI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMGI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMGI FP Equity_DX_SI_MV,ALMGI FP Equity_DX_DSS,ALMGI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMGI FP Equity_DX_SUPPLY_SI_QTY,ALMGI FP Equity_DX_BROKER_SI_QTY,ALMGI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMGI FP Equity_DX_BROKER_SI_MV_NEW_x,ALMGI FP Equity_DX_BROKER_SI_MV_INC_x,ALMGI FP Equity_DX_BROKER_SI_QTY_ADD,ALMGI FP Equity_DX_BROKER_SI_QTY_NEW,ALMGI FP Equity_DX_SUPPLY_SI_MV_DEC,ALMGI FP Equity_DX_BROKER_SI_QTY_INC,ALMGI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMGI FP Equity_DX_BROKER_SI_MV_NEW_y,ALMGI FP Equity_DX_BROKER_SI_MV_INC_y,ALMGI FP Equity_DX_BROKER_SI_MV_ADD,ALMGI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMGI FP Equity_DX_BROKER_SI_QTY_DEC,ALMGI FP Equity_DX_SUPPLY_SI_MV,ALMGI FP Equity_DX_BROKER_SI_MV_DEC,ALMGI FP Equity_DX_BROKER_SI_MV_RMV,ALMGI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMGI FP Equity_DX_UTILIZATION_QUANTITY,ALMGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMGI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMGI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMGI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMGI FP Equity_DX_BROKER_SI_CON_RATIO,ALMGI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMGI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-08-03,6000.0,340200.0,0.26,9.62,0.26,0.34,,340200.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.54,0.5542,66.46,0.0
2006-08-04,6000.0,336000.0,0.26,9.57,0.26,0.34,,336000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.62,0.5537,66.38,0.0
2006-08-07,6000.0,336000.0,0.26,9.57,0.26,0.34,,336000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.5555,66.66,0.0
2006-08-08,6000.0,331200.0,0.26,9.52,0.26,0.34,,331200.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.5555,66.66,0.0
2006-08-09,6000.0,330600.0,0.26,9.13,0.26,0.33,,330600.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.02,0.5576,66.98,0.0
2006-08-10,6000.0,288300.0,0.26,9.23,0.26,0.33,,288300.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.98,0.5579,67.02,0.0
2006-08-11,6000.0,288300.0,0.26,6.39,0.26,0.32,,288300.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.03,0.5798,69.97,0.0
2006-08-14,6000.0,288300.0,0.26,6.46,0.26,0.32,,288300.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.03,0.5798,69.97,0.0
2006-08-15,6000.0,288300.0,0.26,6.5,0.26,0.32,,288300.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.03,0.5798,69.97,0.0
2006-08-16,6000.0,288300.0,0.26,6.88,0.26,0.32,,288300.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.03,0.5798,69.97,0.0
2006-08-17,6000.0,298800.0,0.26,6.93,0.26,0.32,,298800.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.03,0.5798,69.97,0.0
2006-08-18,6000.0,289500.0,0.26,6.29,0.26,0.32,,289500.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.79,0.5738,69.21,0.0
2006-08-21,6000.0,279000.0,0.26,5.92,0.26,0.32,,279000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.12,0.5791,69.88,0.0
2006-08-22,6000.0,270000.0,0.26,7.32,0.26,0.32,,270000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.35,0.5853,70.65,0.0
2006-08-23,6000.0,266160.0,0.26,6.11,0.26,0.31,,266160.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,28.67,0.591,71.33,0.0
2006-08-24,6000.0,264000.0,0.26,6.02,0.26,0.31,,264000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,28.38,0.5935,71.62,0.0
2006-08-25,6000.0,276000.0,0.26,5.61,0.26,0.31,,276000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,28.21,0.5949,71.79,0.0
2006-08-28,6000.0,273420.0,0.26,4.82,0.26,0.32,,273420.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.12,0.5872,70.88,0.0
2006-08-29,6000.0,275940.0,0.26,4.74,0.26,0.32,,275940.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,28.93,0.5888,71.07,0.0
2006-08-30,6000.0,275700.0,0.26,4.67,0.26,0.32,,275700.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.12,0.5872,70.88,0.0
2006-08-31,6000.0,274800.0,0.26,4.68,0.26,0.32,,274800.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.1,0.5874,70.9,0.0
2006-09-01,6000.0,283200.0,0.26,4.66,0.26,0.32,,283200.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.03,0.5879,70.97,0.0
2006-09-04,6000.0,288000.0,0.26,4.54,0.26,0.32,,288000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.03,0.5879,70.97,0.0
2006-09-05,6000.0,288000.0,0.26,4.51,0.26,0.32,,288000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.01,0.5799,69.99,0.0
2006-09-06,6000.0,288000.0,0.26,4.47,0.26,0.32,,288000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.01,0.5799,69.99,0.0
2006-09-07,6000.0,285000.0,0.26,4.44,0.26,0.32,,285000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.01,0.5799,69.99,0.0
2006-09-08,6000.0,284940.0,0.26,4.5,0.26,0.32,,284940.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.79,0.5817,70.21,0.0
2006-09-11,6000.0,280560.0,0.26,4.23,0.26,0.32,,280560.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.79,0.5817,70.21,0.0
2006-09-12,6000.0,276900.0,0.26,4.23,0.26,0.32,,276900.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.46,0.5844,70.54,0.0
2006-09-13,6000.0,275880.0,0.26,4.19,0.26,0.32,,275880.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.19,0.5866,70.81,0.0
2006-09-14,6000.0,275280.0,0.26,4.18,0.26,0.32,,275280.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.11,0.5872,70.89,0.0
2006-09-15,6000.0,275100.0,0.26,4.16,0.26,0.32,,275100.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,29.11,0.5872,70.89,0.0
2006-09-18,5000.0,229200.0,0.22,3.48,0.22,0.26,,229200.0,0.0,5000.0,0.0,,,,,,,,,,,,1000.0,0.0,0.06,,0.0,0.0,0.0,0.0,0.0,0.0,35.4,0.5426,64.6,0.0
2007-01-29,4325.0,273340.0,0.18,1.11,0.18,0.27,,273340.0,0.0,4325.0,0.0,,,4325.0,,,,,,,0.27,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.6142,73.9,0.0
2007-01-30,4325.0,272475.0,0.18,1.11,0.18,0.27,,272475.0,0.0,4325.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.37,0.6117,73.63,0.0
2007-01-31,4325.0,274637.5,0.18,1.1,0.18,0.27,,274637.5,0.0,4325.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.6123,73.7,0.0
2007-02-01,3387.0,213381.0,0.14,0.86,0.14,0.21,,213381.0,0.0,3387.0,0.0,,,,,,,,,,,,938.0,0.0,0.06,,0.0,0.0,0.0,0.0,0.0,0.0,33.74,0.5529,66.26,0.0
2007-02-02,3387.0,213381.0,0.14,0.94,0.14,0.21,,213381.0,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.56,0.554,66.44,0.0
2007-02-05,3387.0,214905.15,0.14,0.93,0.14,0.21,,214905.15,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.56,0.554,66.44,0.0
2007-02-06,3387.0,215921.25,0.14,0.83,0.14,0.21,,215921.25,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.72,0.553,66.28,0.0
2007-02-07,3387.0,220155.0,0.14,0.98,0.14,0.21,,220155.0,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.83,0.5523,66.17,0.0
2007-02-08,3387.0,223542.0,0.14,0.94,0.14,0.21,,223542.0,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34.26,0.5495,65.74,0.0
2007-02-09,3387.0,226929.0,0.14,0.92,0.14,0.22,,226929.0,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34.95,0.5453,65.05,0.0
2007-02-12,3387.0,229638.6,0.14,1.01,0.14,0.22,,229638.6,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34.95,0.5453,65.05,0.0
2007-02-13,3387.0,229977.3,0.14,1.02,0.14,0.22,,229977.3,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.22,0.5437,64.78,0.0
2007-02-14,3387.0,227437.05,0.14,1.01,0.14,0.22,,227437.05,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.25,0.5435,64.75,0.0
2007-02-15,3387.0,228453.15,0.14,0.81,0.14,0.22,,228453.15,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34.75,0.5465,65.25,0.0
2007-02-16,3387.0,228453.15,0.14,0.81,0.14,0.22,,228453.15,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.5438,64.8,0.0
2007-02-19,3387.0,232720.77,0.14,0.72,0.14,0.22,,232720.77,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.5438,64.8,0.0
2007-02-20,3387.0,235735.2,0.14,0.72,0.14,0.22,,235735.2,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.53,0.5419,64.47,0.0
2007-02-21,3387.0,240477.0,0.14,0.72,0.14,0.22,,240477.0,0.0,3387.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.82,0.5402,64.18,0.0
2007-02-22,3675.0,261292.5,0.15,0.73,0.15,0.24,,261292.5,0.0,3675.0,0.0,,0.02,,,,288.0,,,0.02,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.03,0.539,63.97,0.0
2007-02-23,3675.0,265702.5,0.15,0.73,0.15,0.24,,265702.5,0.0,3675.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.06,0.5388,63.94,0.0
2007-02-26,3675.0,275441.25,0.15,0.75,0.15,0.24,,275441.25,0.0,3675.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.45,0.5367,63.55,0.0
2007-02-27,3675.0,264232.5,0.15,0.8,0.15,0.25,,264232.5,0.0,3675.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.29,0.5323,62.71,0.0
2007-02-28,3675.0,262395.0,0.15,0.81,0.15,0.24,,262395.0,0.0,3675.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.32,0.5374,63.68,0.0
2007-03-01,3675.0,260925.0,0.15,0.8,0.15,0.24,,260925.0,0.0,3675.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.33,0.5374,63.67,0.0
2007-03-02,3675.0,255302.25,0.15,0.84,0.15,0.24,,255302.25,0.0,3675.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.03,0.539,63.97,0.0
2007-03-05,3977.0,265743.14,0.16,0.89,0.16,0.26,,265743.14,0.0,3977.0,0.0,,0.02,,,,302.0,,,0.02,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.67,0.5601,67.33,0.0
2007-03-06,3977.0,277952.53,0.16,0.88,0.16,0.26,,277952.53,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.67,0.5601,67.33,0.0
2007-03-07,3977.0,277355.98,0.16,0.86,0.16,0.26,,277355.98,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,31.82,0.5661,68.18,0.0
2007-03-08,3977.0,278390.0,0.16,0.81,0.16,0.26,,278390.0,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.5592,67.2,0.0
2007-03-09,3977.0,276003.8,0.16,0.61,0.16,0.26,,276003.8,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.5595,67.25,0.0
2007-03-12,3977.0,276003.8,0.16,0.62,0.16,0.26,,276003.8,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.84,0.5589,67.16,0.0
2007-03-13,3977.0,276719.66,0.16,0.62,0.16,0.26,,276719.66,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.65,0.5602,67.35,0.0
2007-03-14,3977.0,273577.83,0.16,0.63,0.16,0.26,,273577.83,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.65,0.5602,67.35,0.0
2007-03-15,3977.0,276162.88,0.16,0.63,0.16,0.26,,276162.88,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.7,0.5598,67.3,0.0
2007-03-16,3977.0,275606.1,0.16,0.63,0.16,0.26,,275606.1,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.45,0.5616,67.55,0.0
2007-03-19,3977.0,273935.76,0.64,0.64,0.16,0.26,,273935.76,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.66,0.5601,67.34,0.0
2007-03-20,3977.0,274373.23,0.64,0.68,0.16,0.26,,274373.23,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.48,0.5614,67.52,0.0
2007-03-21,3977.0,276520.81,0.64,0.69,0.16,0.26,,276520.81,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.52,0.5611,67.48,0.0
2007-03-22,3977.0,282764.7,0.64,0.7,0.16,0.26,,282764.7,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.69,0.5599,67.31,0.0
2007-03-23,3977.0,285946.3,0.64,0.71,0.16,0.26,,285946.3,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.18,0.5566,66.82,0.0
2007-03-26,3977.0,280378.5,0.64,0.71,0.16,0.26,,280378.5,0.0,3977.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.43,0.5549,66.57,0.0
