,ALMER FP Equity_DX_SI_QTY,ALMER FP Equity_DX_SHORT_INTEREST_VALUE,ALMER FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMER FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMER FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMER FP Equity_DX_SI_MV,ALMER FP Equity_DX_DSS,ALMER FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMER FP Equity_DX_SUPPLY_SI_QTY,ALMER FP Equity_DX_BROKER_SI_QTY,ALMER FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMER FP Equity_DX_BROKER_SI_QTY_ADD,ALMER FP Equity_DX_BROKER_SI_MV_ADD,ALMER FP Equity_DX_SUPPLY_SI_MV,ALMER FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMER FP Equity_DX_UTILIZATION_QUANTITY,ALMER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMER FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMER FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMER FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMER FP Equity_DX_BROKER_SI_CON_RATIO,ALMER FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMER FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMER FP Equity_PX_LAST
2010-05-05,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2010-05-06,,,,,,,,,,,,,,,,,,,,,,,,,14.25
2010-05-11,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2010-05-14,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2010-05-17,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2010-05-18,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2010-05-25,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2010-06-02,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2010-06-07,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2010-06-08,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2010-06-09,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2010-06-14,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2010-06-17,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2010-06-22,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2010-06-23,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,14.84
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2010-07-02,,,,,,,,,,,,,,,,,,,,,,,,,15.14
2010-07-06,,,,,,,,,,,,,,,,,,,,,,,,,14.05
2010-07-09,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2010-07-13,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,14.17
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,15.44
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2010-08-17,,,,,,,,,,,,,,,,,,,,,,,,,14.01
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,15.43
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,14.41
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,15.43
2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,14.12
2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,15.44
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,14.11
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2010-09-06,,,,,,,,,,,,,,,,,,,,,,,,,14.66
2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2010-09-10,,,,,,,,,,,,,,,,,,,,,,,,,15.39
2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2010-09-15,,,,,,,,,,,,,,,,,,,,,,,,,14.51
2010-09-17,,,,,,,,,,,,,,,,,,,,,,,,,14.1
2010-09-24,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2010-09-27,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,14.41
2010-10-04,,,,,,,,,,,,,,,,,,,,,,,,,16.68
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,15.95
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,14.31
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,14.32
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,15.58
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,14.35
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,14.38
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,14.42
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,14.41
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,14.42
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,14.38
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,14.42
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,14.42
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,15.79
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,15.01
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,14.35
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2010-12-15,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2010-12-17,,,,,,,,,,,,,,,,,,,,,,,,,13.99
2010-12-20,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2010-12-21,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2010-12-27,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,13.61
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-01-17,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-01-20,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-01-25,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-01-27,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2011-02-04,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2011-02-07,,,,,,,,,,,,,,,,,,,,,,,,,14.01
2011-02-15,,,,,,,,,,,,,,,,,,,,,,,,,14.85
2011-02-16,,,,,,,,,,,,,,,,,,,,,,,,,14.07
2011-02-28,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2011-03-04,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2011-03-11,,,,,,,,,,,,,,,,,,,,,,,,,14.89
2011-03-14,,,,,,,,,,,,,,,,,,,,,,,,,15.79
2011-03-15,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2011-03-16,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-03-18,,,,,,,,,,,,,,,,,,,,,,,,,15.74
2011-04-04,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2011-04-05,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-04-11,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2011-04-13,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2011-05-17,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-05-27,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-05-30,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-06-01,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2011-06-03,,,,,,,,,,,,,,,,,,,,,,,,,13.11
2011-06-06,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2011-06-08,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2011-06-09,,,,,,,,,,,,,,,,,,,,,,,,,13.1
2011-06-10,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2011-06-13,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2011-06-17,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2011-06-20,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2011-06-22,,,,,,,,,,,,,,,,,,,,,,,,,14.83
2011-06-24,,,,,,,,,,,,,,,,,,,,,,,,,14.79
2011-06-28,,,,,,,,,,,,,,,,,,,,,,,,,12.71
2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,14.69
2011-07-06,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2011-07-11,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2011-07-13,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,,12.71
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,13.95
2011-07-26,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2011-07-27,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2011-08-05,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2011-08-08,,,,,,,,,,,,,,,,,,,,,,,,,14.58
2011-08-10,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-08-12,,,,,,,,,,,,,,,,,,,,,,,,,12.91
2011-08-17,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2011-08-18,,,,,,,,,,,,,,,,,,,,,,,,,12.81
2011-08-23,,,,,,,,,,,,,,,,,,,,,,,,,12.81
2011-08-25,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2011-08-29,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2011-08-30,,,,,,,,,,,,,,,,,,,,,,,,,12.81
2011-09-09,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2011-09-14,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2011-09-15,,,,,,,,,,,,,,,,,,,,,,,,,12.95
2011-09-21,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2011-09-26,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2011-09-29,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2011-10-03,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2011-10-04,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2011-10-05,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2011-10-07,,,,,,,,,,,,,,,,,,,,,,,,,14.19
2011-10-14,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2011-10-17,,,,,,,,,,,,,,,,,,,,,,,,,13.41
2011-10-18,,,,,,,,,,,,,,,,,,,,,,,,,14.33
2011-10-20,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2011-11-02,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2011-11-04,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2011-11-07,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2011-11-08,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2011-11-09,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2011-11-16,,,,,,,,,,,,,,,,,,,,,,,,,13.85
2011-11-17,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-11-18,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2011-11-21,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-11-22,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-11-29,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-12-19,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-12-21,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-12-22,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2011-12-27,,,,,,,,,,,,,,,,,,,,,,,,,13.28
2011-12-30,,,,,,,,,,,,,,,,,,,,,,,,,13.79
2012-01-05,,,,,,,,,,,,,,,,,,,,,,,,,13.79
2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2012-01-11,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2012-01-12,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,14.05
2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2012-01-24,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2012-01-26,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2012-01-27,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2012-02-02,,,,,,,,,,,,,,,,,,,,,,,,,16.01
2012-02-03,,,,,,,,,,,,,,,,,,,,,,,,,15.99
2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2012-02-08,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2012-02-10,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2012-02-14,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2012-02-15,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,15.98
2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,15.79
2012-02-21,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2012-02-22,,,,,,,,,,,,,,,,,,,,,,,,,15.02
2012-02-23,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,15.14
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,15.98
2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,18.01
2012-03-09,,,,,,,,,,,,,,,,,,,,,,,,,17.99
2012-03-12,,,,,,,,,,,,,,,,,,,,,,,,,18.01
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2012-03-15,,,,,,,,,,,,,,,,,,,,,,,,,17.8
2012-03-16,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,17.46
2012-03-20,,,,,,,,,,,,,,,,,,,,,,,,,17.45
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,17.45
2012-03-28,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2012-03-30,,,,,,,,,,,,,,,,,,,,,,,,,17.11
2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2012-04-03,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2012-04-04,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2012-04-11,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2012-04-12,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2012-04-17,,,,,,,,,,,,,,,,,,,,,,,,,17.15
2012-04-18,,,,,,,,,,,,,,,,,,,,,,,,,17.15
2012-04-19,,,,,,,,,,,,,,,,,,,,,,,,,17.15
2012-04-20,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2012-04-26,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2012-04-27,,,,,,,,,,,,,,,,,,,,,,,,,19.32
2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,18.92
2012-05-03,,,,,,,,,,,,,,,,,,,,,,,,,18.92
2012-05-04,,,,,,,,,,,,,,,,,,,,,,,,,18.92
2012-05-07,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2012-05-09,,,,,,,,,,,,,,,,,,,,,,,,,18.92
2012-05-11,,,,,,,,,,,,,,,,,,,,,,,,,18.88
2012-05-14,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2012-05-16,,,,,,,,,,,,,,,,,,,,,,,,,18.49
2012-05-21,,,,,,,,,,,,,,,,,,,,,,,,,17.01
2012-05-24,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2012-05-29,,,,,,,,,,,,,,,,,,,,,,,,,17.97
2012-05-30,,,,,,,,,,,,,,,,,,,,,,,,,18.9
2012-05-31,,,,,,,,,,,,,,,,,,,,,,,,,18.92
2012-06-01,,,,,,,,,,,,,,,,,,,,,,,,,18.9
2012-06-04,,,,,,,,,,,,,,,,,,,,,,,,,19.0
2012-06-05,,,,,,,,,,,,,,,,,,,,,,,,,18.8
2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,19.47
2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,19.5
2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,19.75
2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,19.12
2012-06-26,,,,,,,,,,,,,,,,,,,,,,,,,19.15
2012-06-29,,,,,,,,,,,,,,,,,,,,,,,,,19.85
2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,21.49
2012-07-04,,,,,,,,,,,,,,,,,,,,,,,,,21.5
2012-07-05,,,,,,,,,,,,,,,,,,,,,,,,,21.5
