,RBT FP Equity_DX_SI_QTY,RBT FP Equity_DX_SHORT_INTEREST_VALUE,RBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RBT FP Equity_DX_SI_MV,RBT FP Equity_DX_DSS,RBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RBT FP Equity_DX_SUPPLY_SI_QTY,RBT FP Equity_DX_BROKER_SI_QTY,RBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RBT FP Equity_DX_BROKER_SI_MV_NEW_x,RBT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,RBT FP Equity_DX_BROKER_SI_MV_INC_x,RBT FP Equity_DX_SUPPLY_SI_MV_NEW,RBT FP Equity_DX_BROKER_SI_QTY_ADD,RBT FP Equity_DX_BROKER_SI_QTY_NEW,RBT FP Equity_DX_SUPPLY_SI_MV_DEC,RBT FP Equity_DX_BROKER_SI_QTY_INC,RBT FP Equity_DX_SUPPLY_SI_QTY_DEC,RBT FP Equity_DX_BROKER_SI_MV_NEW_y,RBT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RBT FP Equity_DX_BROKER_SI_MV_INC_y,RBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,RBT FP Equity_DX_BROKER_SI_MV_ADD,RBT FP Equity_DX_SUPPLY_SI_QTY_ADD,RBT FP Equity_DX_BROKER_SI_QTY_DEC,RBT FP Equity_DX_SUPPLY_SI_MV,RBT FP Equity_DX_BROKER_SI_MV_DEC,RBT FP Equity_DX_SUPPLY_SI_MV_RMV,RBT FP Equity_DX_BROKER_SI_MV_RMV,RBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RBT FP Equity_DX_UTILIZATION_QUANTITY,RBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RBT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RBT FP Equity_DX_ACTIVE_UTILIZATION_MV,RBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RBT FP Equity_DX_BROKER_SI_CON_RATIO,RBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,22500.0,2108264.03,2.17,96.13,1.09,2.57,1.0,9370.06,22400.0,100.0,2098893.97,,,,,,,,,,,,,,,,,,2.55,,,,36.27,35.3,39361.0,3688150.24,,0.0,100.0,0.45,0.991,99.55,0.3546
2006-03-22,22500.0,2178780.58,2.17,63.36,1.09,2.64,1.0,9683.47,22400.0,100.0,2169097.11,,,,,,,,,,,,,,,,,,2.63,,,,36.25,35.28,39392.0,3814512.2,,0.0,100.0,0.46,0.9909,99.54,0.3544
2006-03-29,22500.0,2133577.66,2.17,52.73,1.09,2.75,1.0,9482.57,22400.0,100.0,2124095.1,,,,,,,,,,,,,,,,,,2.74,,,,37.16,36.14,37876.0,3591617.23,,0.0,100.0,0.43,0.9915,99.57,0.3631
2006-04-05,22500.0,2234832.2,2.17,42.1,1.09,2.73,1.0,9932.59,22400.0,100.0,2224899.61,,,,,,,,,,,,,,,,,,2.72,,,,36.0,35.04,39825.0,3955652.99,,0.0,100.0,0.45,0.991,99.55,0.352
2006-04-12,22500.0,2242064.66,2.17,42.3,1.09,2.8,1.0,9964.73,22400.0,100.0,2232099.93,,,,,,,,,,,,,,,,,,2.78,,,,43.34,30.66,29288.0,2918470.66,,0.0,100.0,0.44,0.9912,99.56,0.308
2006-04-19,22500.0,2196861.75,2.17,32.14,1.09,2.72,1.0,9763.83,22400.0,100.0,2187097.92,,,,,,,,,,,,,,,,,,2.7,,,,43.11,30.54,29562.0,2886383.42,,0.0,100.0,0.47,0.9907,99.53,0.3068
2006-04-26,22500.0,2149850.71,2.17,34.35,1.09,2.7,1.0,9554.89,22400.0,100.0,2140295.82,,,,,,,,,,,,,,,,,,2.69,,,,64.77,40.03,12182.0,1163976.95,,0.0,100.0,0.44,0.9913,99.56,0.4021
2006-05-03,22500.0,2223983.5,2.17,31.08,1.09,2.72,1.0,9884.37,22400.0,100.0,2214099.13,,,,,,,,,,,,,,,,,,2.71,,,,64.35,39.87,12409.0,1226551.61,,0.0,100.0,0.45,0.991,99.55,0.4005
2006-05-10,22500.0,2180588.7,2.17,42.03,1.09,2.75,1.0,9691.51,22400.0,100.0,2170897.19,,,,,,,,,,,,,,,,,,2.74,,,,64.84,40.06,12149.0,1177420.98,,0.0,100.0,0.44,0.9913,99.56,0.4023
2006-05-17,22500.0,2204094.21,2.17,45.59,1.09,2.68,1.0,9795.97,22400.0,100.0,2194298.24,,,,,,,,,,,,,,,,,,2.67,,,,64.28,34.35,12447.0,1219304.92,,0.0,100.0,0.46,0.9908,99.54,0.345
2006-05-24,22500.0,2260145.83,2.17,30.84,1.09,2.84,1.0,10045.09,22400.0,100.0,2250100.74,,,,,,,,,,,,,,,,,,2.83,,,,64.86,34.51,12136.0,1219072.44,,0.0,100.0,0.44,0.9912,99.56,0.3466
2006-05-31,24669.0,2418551.31,2.38,27.3,1.19,2.99,1.0,9804.01,24569.0,100.0,2408747.3,,,,,,,,,,,,,,,,2169.0,,2.98,,,,54.82,32.68,20245.0,1984821.9,,0.0,109.68,0.45,0.9911,99.55,0.3281
2006-06-07,24678.0,2423399.96,2.38,23.68,1.19,3.02,1.0,9820.08,24578.0,100.0,2413579.88,,,9.0,,,,,,,,,,,9.0,,,,3.01,,,,54.66,38.02,20385.0,2001823.82,,0.0,109.72,0.44,0.9912,99.56,0.3818
2006-06-14,24689.0,2380831.59,2.38,15.34,1.19,2.95,1.0,9643.29,24589.0,100.0,2371188.3,,,11.0,,,,,,,,,,,11.0,,,,2.93,,,,67.7,43.91,11729.0,1131061.35,,0.0,109.77,0.45,0.9911,99.55,0.4409
2006-06-21,24698.0,2383684.24,2.38,12.69,1.19,2.96,1.0,9651.32,24598.0,100.0,2374032.91,,,9.0,,,,,,,,,,,9.0,,,,2.94,,,,54.81,32.69,20282.0,1957481.73,,0.0,109.81,0.45,0.9911,99.55,0.3282
2006-06-28,24677.0,2340013.16,2.38,12.45,1.19,2.97,1.0,9482.57,24577.0,100.0,2330530.59,,,,,,,,0.0,,22.0,,,,,,,,2.96,,,,55.18,25.98,19962.0,1892910.1,,0.0,109.72,0.44,0.9913,99.56,0.2609
2006-07-03,24692.0,2363354.03,2.38,12.93,1.19,2.93,1.0,9571.33,24592.0,100.0,2353782.69,,,16.0,,,,,,,,,,,16.0,,,,2.92,,,,55.01,25.95,20109.0,1924699.75,,0.0,109.79,0.44,0.9913,99.56,0.2606
2006-07-04,24721.0,2368146.88,2.38,15.06,1.19,2.9,1.0,9579.49,24621.0,100.0,2358567.38,,,29.0,,,,,,,,,,,29.0,,,,2.89,,,,54.74,25.91,20358.0,1950193.52,,0.0,109.92,0.44,0.9912,99.56,0.2601
2006-07-05,24671.0,2335173.99,2.38,15.03,1.19,2.91,1.0,9465.26,24571.0,100.0,2325708.73,,,,,,,,0.0,,51.0,,,,,,,,2.9,,,,55.07,25.96,20044.0,1897216.47,,0.0,109.69,0.44,0.9913,99.56,0.2606
2006-07-06,24714.0,2359409.95,2.38,15.16,1.19,2.85,1.0,9546.86,24614.0,100.0,2349863.1,,,43.0,,,,,,,,,,,43.0,,,,2.84,,,,54.5,25.85,20545.0,1961401.53,,0.0,109.88,0.45,0.9911,99.55,0.2596
2006-07-07,24705.0,2358550.73,2.38,15.14,1.19,2.88,1.0,9546.86,24605.0,100.0,2349003.88,,,,,,,,0.0,,9.0,,,,,,,,2.87,,,,54.65,25.88,20419.0,1949372.49,,0.0,109.84,0.45,0.9911,99.55,0.2599
2006-07-10,24681.0,2336120.52,2.38,15.13,1.19,2.91,1.0,9465.26,24581.0,100.0,2326655.26,,,,,,,,0.0,,24.0,,,,,,,,2.9,,,,54.99,25.94,20117.0,1904126.11,,0.0,109.74,0.44,0.9913,99.56,0.2605
2006-07-11,24721.0,2466987.76,2.38,15.76,1.19,2.86,1.0,9979.32,24621.0,100.0,2457008.44,,,39.0,,,,,,,,,,,39.0,,,,2.85,,,,54.01,25.75,20962.0,2091865.11,,0.0,109.92,0.47,0.9907,99.53,0.2585
2006-07-12,24675.0,2492598.38,2.38,17.16,1.19,3.03,1.0,10101.72,24575.0,100.0,2482496.67,,,,,,,,0.0,,46.0,,,,,,,,3.02,,,,54.67,25.87,20378.0,2058527.65,,0.0,109.71,0.45,0.9911,99.55,0.2597
2006-07-13,24670.0,2415599.32,2.38,19.34,1.19,3.05,1.0,9791.65,24570.0,100.0,2405807.67,,,,,,,,0.0,,5.0,,,,,,,,3.04,,,,55.11,25.96,20013.0,1959602.32,,0.0,109.69,0.43,0.9914,99.57,0.2607
2006-07-14,24731.0,2455877.83,2.39,19.54,1.19,2.98,1.0,9930.36,24631.0,100.0,2445947.47,,,61.0,,,,,,,,,,,61.0,,,,2.97,,,,54.34,25.83,20696.0,2055187.72,,0.0,109.96,0.45,0.991,99.55,0.2593
2006-07-17,24686.0,2443351.95,2.38,19.48,1.19,3.03,1.0,9897.72,24586.0,100.0,2433454.22,,,,,,,,0.0,,45.0,,,,,,,,3.02,,,,54.83,25.91,20256.0,2004882.81,,0.0,109.76,0.44,0.9912,99.56,0.2602
2006-07-18,24723.0,2414736.92,2.38,19.65,1.19,3.0,1.0,9767.17,24623.0,100.0,2404969.75,,,37.0,,,,,,,,,,,37.0,,,,2.99,,,,54.65,25.89,20435.0,1995920.76,,0.0,109.92,0.44,0.9913,99.56,0.2599
2006-07-19,24700.0,2370166.08,2.38,20.32,1.19,2.93,1.0,9595.81,24600.0,100.0,2360570.26,,,,,,,,0.01,,23.0,,,,,,,,2.92,,,,53.87,25.69,21066.0,2021454.19,,0.0,109.82,0.44,0.9913,99.56,0.258
2006-07-20,24734.0,2405720.2,2.39,20.01,1.19,2.89,1.0,9726.37,24634.0,100.0,2395993.83,,,34.0,,,,,,,,,,,34.0,,,,2.88,,,,53.39,25.59,21508.0,2091947.52,,0.0,109.97,0.45,0.991,99.55,0.2569
2006-07-21,24701.0,2458945.31,2.38,20.1,1.19,2.93,1.0,9954.84,24601.0,100.0,2448990.47,,,,,,,,0.0,,33.0,,,,,,,,2.92,,,,53.48,25.59,21401.0,2130435.55,,0.0,109.83,0.46,0.9909,99.54,0.2569
2006-07-24,24636.0,2432372.41,2.38,25.62,1.19,3.02,1.0,9873.24,24536.0,100.0,2422499.17,,,,,,,,0.0,,65.0,,,,,,,,3.01,,,,54.25,25.69,20688.0,2042576.73,,0.0,109.53,0.44,0.9913,99.56,0.258
2006-07-25,24650.0,2411629.62,2.38,25.47,1.19,2.99,1.0,9783.49,24550.0,100.0,2401846.13,,,14.0,,,,,,,,,,,14.0,,,,2.98,,,,54.18,25.68,20762.0,2031247.63,,0.0,109.6,0.44,0.9912,99.56,0.2579
2006-07-26,22500.0,2193940.91,2.17,34.85,1.09,2.68,1.0,9750.85,22400.0,100.0,2184190.06,,,,,,,,0.26,,2150.0,,,,,,,,2.67,,,,23.11,23.11,74535.0,7267794.92,,8.91,23.03,0.44,0.9912,99.56,0.2321
2006-07-27,22500.0,2184761.24,2.17,34.85,1.09,2.67,1.0,9710.05,22400.0,100.0,2175051.19,,,,,,,,,,,,,,,,,,2.66,,,,23.08,23.08,74661.0,7249620.4,,8.9,23.01,0.45,0.9911,99.55,0.2318
2006-07-28,22500.0,2166401.9,2.17,33.6,1.09,2.67,1.0,9628.45,22400.0,100.0,2156773.45,,,,,,,,,,,,,,,,,,2.66,,,,23.07,23.07,74715.0,7193898.58,,8.84,23.14,0.44,0.9913,99.56,0.2317
2006-07-31,22500.0,2184761.24,2.17,62.48,1.09,2.65,1.0,9710.05,22400.0,100.0,2175051.19,,,,,,,,,,,,,,,,,,2.64,,,,23.0,23.0,74972.0,7279818.65,,8.86,22.99,0.45,0.9911,99.55,0.2311
2006-08-01,22500.0,2157222.23,2.17,61.59,1.09,2.66,1.0,9587.65,22400.0,100.0,2147634.58,,,,,,,,,,,,,,,,,,2.65,,,,22.97,22.97,75113.0,7201574.83,,8.91,22.94,0.44,0.9913,99.56,0.2307
2006-08-02,22500.0,2148042.56,2.17,64.26,1.09,2.63,1.0,9546.86,22400.0,100.0,2138495.71,,,,,,,,,,,,,,,,,,2.62,,,,22.93,22.93,75291.0,7187923.23,,8.83,22.9,0.44,0.9911,99.56,0.2303
2006-08-03,23000.0,2188269.91,2.22,62.15,1.11,2.69,1.0,57085.3,22400.0,600.0,2131184.61,,,,,,500.0,,,,,,,,,0.06,,,2.62,,,,48.7,22.87,23597.0,2245069.79,,0.0,100.0,2.17,0.9491,97.39,0.2348
2006-08-04,23000.0,2190146.65,2.22,65.06,1.11,2.67,1.0,57134.26,22400.0,600.0,2133012.39,,,,,,,,,,,,,,,,,,2.6,,,,48.36,22.78,23923.0,2278038.18,,0.0,100.0,2.19,0.9486,97.37,0.2339
2006-08-07,22500.0,2144370.7,2.17,63.79,1.09,2.64,1.0,9530.54,22400.0,100.0,2134840.16,,,,,,,,,,,,,,,,,500.0,2.63,0.06,,,22.75,22.75,76043.0,7247305.81,,8.89,22.8,0.44,0.9912,99.56,0.2286
2006-08-08,22500.0,2144370.7,2.17,62.99,1.09,2.63,1.0,9530.54,22400.0,100.0,2134840.16,,,,,,,,,,,,,,,,,,2.62,,,,22.74,22.74,76088.0,7251594.56,,8.89,22.77,0.44,0.9912,99.56,0.2285
2006-08-09,22500.0,2133355.09,2.17,60.91,1.09,2.62,1.0,9481.58,22400.0,100.0,2123873.51,,,,,,,,,,,,,,,,,,2.61,,,,22.81,22.81,75812.0,7188174.06,,8.84,22.8,0.44,0.9912,99.56,0.2291
2006-08-10,22500.0,2131519.16,2.17,61.08,1.09,2.63,1.0,9473.42,22400.0,100.0,2122045.74,,,,,,,,,,,,,,,,,,2.62,,,,23.97,23.97,71063.0,6732095.38,,8.28,24.06,0.44,0.9912,99.56,0.2407
2006-08-11,22500.0,2138862.89,2.17,60.19,1.09,2.62,1.0,9506.06,22400.0,100.0,2129356.84,,,,,,,,,,,,,,,,,,2.61,,,,23.93,23.93,71207.0,6768978.23,,8.3,23.94,0.45,0.9911,99.55,0.2404
2006-08-14,22500.0,2118667.62,2.17,60.17,1.09,2.63,1.0,9416.3,22400.0,100.0,2109251.32,,,,,,,,,,,,,,,,,,2.62,,,,23.94,23.94,71168.0,6701392.77,,8.28,24.04,0.44,0.9913,99.56,0.2405
2006-08-15,22500.0,2114995.75,2.17,60.02,1.09,2.59,1.0,9399.98,22400.0,100.0,2105595.77,,,,,,,,,,,,,,,,,,2.58,,,,23.9,23.9,71314.0,6703502.55,,8.22,23.86,0.44,0.9912,99.56,0.2401
2006-08-16,22500.0,2129683.23,2.17,60.07,1.09,2.58,1.0,9465.26,22400.0,100.0,2120217.97,,,,,,,,,,,,,,,,,,2.57,,,,23.93,23.93,71206.0,6739832.17,,8.21,23.84,0.45,0.9911,99.55,0.2404
2006-08-17,22500.0,2126011.36,2.17,58.36,1.09,2.62,1.0,9448.94,22400.0,100.0,2116562.42,,,,,,,,,,,,,,,,,,2.6,,,,23.97,23.97,71031.0,6711676.12,,8.24,24.01,0.44,0.9911,99.56,0.2408
2006-08-18,22500.0,2129683.23,2.17,57.88,1.09,2.61,1.0,9465.26,22400.0,100.0,2120217.97,,,,,,,,,,,,,,,,,,2.6,,,,23.98,23.98,71021.0,6722321.44,,8.24,23.99,0.44,0.9912,99.56,0.2408
2006-08-21,22500.0,2122339.49,2.17,56.77,1.09,2.6,1.0,9432.62,22400.0,100.0,2112906.87,,,,,,,,,,,,,,,,,,2.58,,,,23.96,23.96,71103.0,6706875.77,,8.23,23.89,0.45,0.9911,99.55,0.2406
2006-08-22,22500.0,2131519.16,2.17,56.73,1.09,2.62,1.0,9473.42,22400.0,100.0,2122045.74,,,,,,,,,,,,,,,,,,2.61,,,,23.98,23.98,71029.0,6728874.42,,8.23,24.09,0.44,0.9912,99.56,0.2408
2006-08-23,22500.0,2131519.16,2.17,62.56,1.09,2.62,1.0,9473.42,22400.0,100.0,2122045.74,,,,,,,,,,,,,,,,,,2.61,,,,22.8,22.8,75853.0,7185872.12,,8.44,23.59,0.44,0.9911,99.56,0.229
2006-08-24,22500.0,2120503.56,2.17,70.76,1.09,2.62,1.0,9424.46,22400.0,100.0,2111079.1,,,,,,,,,,,,,,,,,,2.61,,,,22.8,22.8,75837.0,7147227.92,,8.42,23.66,0.44,0.9912,99.56,0.229
2006-08-25,22500.0,2193940.91,2.17,75.35,1.09,2.61,1.0,9750.85,22400.0,100.0,2184190.06,,,,,,,,,,,,,,,,,,2.6,,,,22.79,22.79,75868.0,7397773.73,,8.63,23.12,0.46,0.9909,99.54,0.229
2006-08-28,22500.0,2153550.37,2.17,73.36,1.09,2.68,1.0,9571.33,22400.0,100.0,2143979.03,,,,,,,,,,,,,,,,,,2.67,,,,22.82,22.82,75741.0,7249424.81,,8.61,23.67,0.44,0.9913,99.56,0.2293
2006-08-29,22500.0,2221479.92,2.17,74.36,1.09,2.63,1.0,9873.24,22400.0,100.0,2211606.67,,,,,,,,,,,,,,,,,,2.62,,,,38.05,38.05,36472.0,3600969.58,,3.96,39.82,0.46,0.9909,99.54,0.3822
2006-08-30,22500.0,2236167.39,2.17,72.58,1.08,2.71,1.0,9938.52,22400.0,100.0,2226228.87,,,,,,,,,,,,,,,,,,2.69,,,,22.79,22.79,75892.0,7542542.9,,9.21,22.64,0.45,0.991,99.55,0.2289
2006-08-31,22500.0,2239839.25,2.17,77.59,1.08,2.71,1.0,9954.84,22400.0,100.0,2229884.41,,,,,,,,,,,,,,,,,,2.7,,,,22.79,22.79,75892.0,7554928.03,,9.29,22.51,0.45,0.991,99.55,0.2289
2006-09-01,22500.0,2236167.39,2.17,77.57,1.08,2.74,1.0,9938.52,22400.0,100.0,2226228.87,,,,,,,,,,,,,,,,,,2.73,,,,22.8,22.8,75839.0,7537275.49,,9.25,22.77,0.44,0.9912,99.56,0.229
2006-09-04,22500.0,2283901.67,2.17,87.42,1.08,2.73,1.0,10150.67,22400.0,100.0,2273750.99,,,,,,,,,,,,,,,,,,2.71,,,,22.8,22.8,75849.0,7699184.78,,9.26,22.66,0.46,0.9909,99.54,0.229
2006-09-05,22500.0,2294917.27,2.17,86.81,1.08,2.81,1.0,10199.63,22400.0,100.0,2284717.64,,,,,,,,,,,,,,,,,,2.8,,,,22.83,22.83,75699.0,7721019.66,,9.41,22.91,0.44,0.9911,99.56,0.2294
2006-09-06,22500.0,2293081.33,2.17,90.62,1.08,2.81,1.0,10191.47,22400.0,100.0,2282889.86,,,,,,,,,,,,,,,,,,2.8,,,,22.8,22.8,75863.0,7731556.86,,9.48,22.8,0.44,0.9912,99.56,0.229
2006-09-07,22500.0,2298589.14,2.17,90.41,1.08,2.82,1.0,10215.95,22400.0,100.0,2288373.18,,,,,,,,,,,,,,,,,,2.81,,,,22.8,22.8,75852.0,7749003.7,,9.49,22.85,0.44,0.9912,99.56,0.229
2006-09-08,22500.0,2293081.33,2.17,108.38,1.08,2.83,1.0,10191.47,22400.0,100.0,2282889.86,,,,,,,,,,,,,,,,,,2.82,,,,22.8,22.8,75835.0,7728703.25,,9.48,22.91,0.44,0.9912,99.56,0.229
2006-09-11,22500.0,2287573.53,2.17,110.02,1.08,2.8,1.0,10166.99,22400.0,100.0,2277406.54,,,,,,,,,,,,,,,,,,2.79,,,,22.79,22.79,75871.0,7713799.63,,9.47,22.76,0.44,0.9911,99.56,0.229
2006-09-12,22500.0,2241675.19,2.17,97.26,1.08,2.8,1.0,9963.0,22400.0,100.0,2231712.19,,,,,,,,,,,,,,,,,,2.79,,,,22.79,22.79,75896.0,7561519.11,,9.42,22.86,0.44,0.9913,99.56,0.2289
2006-09-13,22500.0,2258198.59,2.17,95.68,1.08,2.75,1.0,10036.44,22400.0,100.0,2248162.15,,,,,,,,,,,,,,,,,,2.73,,,,22.8,22.8,75863.0,7613943.1,,9.32,22.68,0.45,0.9911,99.55,0.229
2006-09-14,22500.0,2232495.52,2.17,104.2,1.08,2.76,1.0,9922.2,22400.0,100.0,2222573.32,,,,,,,,,,,,,,,,,,2.75,,,,22.8,22.8,75860.0,7526982.67,,9.34,22.71,0.44,0.9912,99.56,0.229
2006-09-15,22500.0,2225151.78,2.17,105.09,1.08,2.75,1.0,9889.56,22400.0,100.0,2215262.22,,,,,,,,,,,,,,,,,,2.74,,,,22.79,22.79,75874.0,7503607.4,,9.27,22.83,0.44,0.9912,99.56,0.229
2006-09-18,22500.0,2267378.26,2.17,112.9,1.08,2.72,1.0,10077.24,22400.0,100.0,2257301.02,,,,,,,,,,,,,,,,,,2.7,,,,22.78,22.78,75924.0,7651041.21,,9.29,22.53,0.45,0.991,99.55,0.2288
2006-09-19,22500.0,2278393.86,2.17,119.38,1.08,2.78,1.0,10126.19,22400.0,100.0,2268267.67,,,,,,,,,,,,,,,,,,2.77,,,,22.8,22.8,75827.0,7678389.85,,9.41,22.73,0.45,0.9911,99.55,0.2291
2006-09-20,22500.0,2269214.2,2.17,125.84,1.08,2.8,1.0,10085.4,22400.0,100.0,2259128.8,,,,,,,,,,,,,,,,,,2.78,,,,22.8,22.8,75856.0,7650378.31,,9.43,22.8,0.44,0.9912,99.56,0.229
2006-09-21,22500.0,2269214.2,2.17,130.38,1.08,2.76,1.0,10085.4,22400.0,100.0,2259128.8,,,,,,,,,,,,,,,,,,2.75,,,,22.79,22.79,75901.0,7654916.74,,9.4,22.65,0.45,0.9911,99.55,0.2289
2006-09-22,22500.0,2267378.26,2.17,131.32,1.08,2.77,1.0,10077.24,22400.0,100.0,2257301.02,,,,,,,,,,,,,,,,,,2.76,,,,22.79,22.79,75898.0,7648421.12,,9.39,22.68,0.45,0.9911,99.55,0.2289
2006-09-25,22500.0,2261870.46,2.17,128.5,1.08,2.79,1.0,10052.76,22400.0,100.0,2251817.7,,,,,,,,,,,,,,,,,,2.78,,,,22.79,22.79,75871.0,7627127.72,,9.4,22.82,0.44,0.9912,99.56,0.229
2006-09-26,22500.0,2245347.06,2.17,94.51,1.08,2.78,1.0,9979.32,22400.0,100.0,2235367.74,,,,,,,,,,,,,,,,,,2.77,,,,22.79,22.79,75892.0,7573505.72,,9.37,22.82,0.44,0.9912,99.56,0.2289
