,ALBIO FP Equity_DX_SI_QTY,ALBIO FP Equity_DX_SHORT_INTEREST_VALUE,ALBIO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBIO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBIO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBIO FP Equity_DX_SI_MV,ALBIO FP Equity_DX_DSS,ALBIO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBIO FP Equity_DX_SUPPLY_SI_QTY,ALBIO FP Equity_DX_BROKER_SI_QTY,ALBIO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBIO FP Equity_DX_BROKER_SI_MV_NEW_x,ALBIO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBIO FP Equity_DX_BROKER_SI_MV_INC_x,ALBIO FP Equity_DX_BROKER_SI_QTY_ADD,ALBIO FP Equity_DX_BROKER_SI_QTY_NEW,ALBIO FP Equity_DX_SUPPLY_SI_MV_DEC,ALBIO FP Equity_DX_BROKER_SI_QTY_INC,ALBIO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBIO FP Equity_DX_BROKER_SI_MV_NEW_y,ALBIO FP Equity_DX_BROKER_SI_MV_INC_y,ALBIO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBIO FP Equity_DX_BROKER_SI_MV_ADD,ALBIO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBIO FP Equity_DX_BROKER_SI_QTY_DEC,ALBIO FP Equity_DX_SUPPLY_SI_MV,ALBIO FP Equity_DX_BROKER_SI_MV_DEC,ALBIO FP Equity_DX_SUPPLY_SI_MV_RMV,ALBIO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBIO FP Equity_DX_UTILIZATION_QUANTITY,ALBIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBIO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBIO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALBIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBIO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBIO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBIO FP Equity_DX_BROKER_SI_CON_RATIO,ALBIO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBIO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBIO FP Equity_PX_LAST
2011-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02
2011-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2011-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36
2011-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27
2011-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27
2011-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2011-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.88
2011-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2011-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2011-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93
2011-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49
2011-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.35
2011-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37
2011-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.25
2011-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19
2011-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.82
2011-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.45
2011-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.45
2011-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98
2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17
2011-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.48
2011-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2011-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2011-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96
2011-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.93
2011-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2011-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.73
2011-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15
2011-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.57
2011-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.32
2011-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.28
2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56
2011-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6
2011-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4
2011-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
2011-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74
2011-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2011-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
2011-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85
2011-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.48
2011-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.21
2011-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06
2011-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6
2011-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.81
2011-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33
2011-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2011-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72
2011-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2011-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89
2011-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.59
2011-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
2011-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88
2011-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45
2011-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.58
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72
2011-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2011-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11
2011-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75
2011-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.87
2011-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14
2011-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2011-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2011-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26
2011-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99
2011-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05
2011-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15
2011-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2011-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2011-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69
2011-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08
2011-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88
2011-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79
2011-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2011-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33
2011-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2011-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35
2011-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
2011-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23
2011-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98
2011-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2011-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85
2011-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2011-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69
2011-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01
2011-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2011-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29
2011-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58
2011-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68
2011-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2011-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.34
2011-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22
2011-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2011-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13
2011-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68
2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32
2011-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2011-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2011-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2011-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89
2011-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62
2011-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01
2011-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59
2011-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56
2011-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68
2011-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2011-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46
2011-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41
2011-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69
2011-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76
2011-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75
2011-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46
2011-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29
2011-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2011-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05
2011-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2011-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88
2011-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81
2011-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73
2011-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38
2011-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42
2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84
2011-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2011-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23
2011-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2011-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95
2011-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
2011-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77
2011-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2011-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96
2011-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2011-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2011-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2011-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49
2011-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2011-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2011-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2011-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2011-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2011-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2011-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2011-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2011-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49
2011-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58
2011-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2011-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65
2011-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2011-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27
2011-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2011-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2011-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2011-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65
2011-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2011-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03
2011-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2011-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59
2011-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.27
2011-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22
2011-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
2011-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26
2011-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2011-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2011-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2012-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23
2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03
2012-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2012-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66
2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32
2012-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2012-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2012-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2012-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.13
2012-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44
2012-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39
2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.23
2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15
2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
2012-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.67
2012-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2012-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32
2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.31
2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2012-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37
2012-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.88
2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18
2012-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96
2012-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2012-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86
