,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_y,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity
2010-06-04,98427408.0,3690476537.73,9.18,18.56,7.51,5040.38,2.0,2786531263.9,46847444.0,74318600.0,1756516771.57,,5849.0,449215.0,16.2,0.29,,,486.2,280000.0,9962740.0,,5849.0,16.2,449215.0,,1564491.0,9588953.0,2367.28,464.9,,,44.08,17.58,59426260.0,2228151921.41,,2983.38,44.24,15.48,0.1074,20.53,0.3694
2010-06-07,89731296.0,3299132511.96,8.37,16.66,6.85,4512.19,2.0,2458836736.19,43400776.0,66876552.0,1595707601.79,,,3178.0,69.23,,,,182.03,1494696.0,3532539.0,,,69.23,3178.0,,82693.0,8936739.0,2127.77,476.07,,,43.17,16.33,57122360.0,2100206320.83,,2792.49,43.25,16.93,0.1032,17.36,0.3377
2010-06-08,87757968.0,3220194284.71,8.18,15.97,6.7,4326.92,2.0,2385659264.59,42192996.0,65014900.0,1548231433.23,,,767266.0,84.78,,350000.0,,100.64,1913449.0,1975047.0,,,84.78,767266.0,16.8,,4125104.0,2019.9,217.71,,,46.42,16.09,48704604.0,1787168629.97,,2333.87,46.39,15.7,0.1055,17.25,0.3347
2010-06-09,86030024.0,3196323029.73,8.02,15.75,6.56,4213.27,2.0,2329263191.78,42058148.0,62692840.0,1562610595.58,,,1850000.0,1.32,,,,96.11,49501.0,2007056.0,,,1.32,1850000.0,,22207.0,2371562.0,2016.68,140.5,,,48.19,16.14,45223820.0,1680226630.63,,2173.29,48.13,15.99,0.1081,17.47,0.3301
2010-06-10,82485464.0,3108220852.8,7.69,15.32,6.29,4059.7,2.0,2339281070.61,39042788.0,62079464.0,1471212040.62,,,18822.0,27.07,,,,170.91,619144.0,3588902.0,,,27.07,18822.0,,554721.0,1232518.0,1892.67,60.51,,,46.22,15.05,45437692.0,1712185092.12,,2211.6,46.11,15.28,0.1072,18.03,0.3179
2010-06-11,78443448.0,2985949159.53,7.31,14.82,5.98,3911.95,2.0,2208843532.66,38812600.0,58028216.0,1477401278.3,,,788862.0,,,,,61.12,,1358318.0,,,,788862.0,,339266.0,4051248.0,1909.56,170.88,,,48.13,15.07,41824392.0,1592045114.34,,2064.29,48.05,14.73,0.1062,19.11,0.3045
2010-06-14,79236480.0,3069540334.28,7.39,15.01,6.05,3976.13,2.0,2258823378.37,39512236.0,58308800.0,1530663680.41,,,8175.0,96.04,,300000.0,,94.33,1955364.0,1916902.0,,,96.04,8175.0,14.91,2608364.0,1974780.0,1957.54,86.46,,,15.29,15.29,218980320.0,8483074016.58,,10917.6,15.2,14.43,0.1031,18.3,0.3065
2010-06-15,76769832.0,2994564085.15,7.16,14.46,5.86,3903.55,2.0,2137415848.02,40437892.0,54795640.0,1577362564.27,,,1430247.0,4.69,,,,23.91,80000.0,546152.0,,,4.69,1430247.0,,41563.0,3593163.0,2034.96,164.99,,,15.57,15.57,219213792.0,8550881660.02,,11070.93,15.53,14.54,0.1014,19.28,0.2957
2010-06-16,81423344.0,3202275758.78,7.59,15.55,6.21,4168.79,2.0,2364958222.03,40331456.0,60133112.0,1586184471.44,,,377165.0,283.68,,,,55.48,5389565.0,1118209.0,,,283.68,377165.0,,634605.0,52090.0,2043.05,2.64,,,16.01,16.01,211582576.0,8321271527.56,,10751.62,15.97,13.69,0.101,17.88,0.3232
2010-06-17,76625024.0,2999479166.16,7.14,14.92,5.85,3945.95,2.0,2270969965.53,35898632.0,58014448.0,1405248483.54,,,208304.0,24.35,,,,244.63,334074.0,4824890.0,,,24.35,208304.0,,183762.0,2452738.0,1831.2,124.41,,,13.93,13.93,221828992.0,8683474473.74,,11342.49,13.9,14.44,0.1041,19.01,0.2973
2010-06-18,68030656.0,2582812757.62,6.34,13.64,5.19,3486.06,2.0,1931608833.74,31463490.0,50878104.0,1194524765.0,,,70003.0,,,,,237.01,,4697096.0,,,,70003.0,,191953.0,7136344.0,1598.97,376.79,,,12.24,12.24,225559280.0,8563453893.26,,11420.43,12.28,16.44,0.1076,21.56,0.2647
2010-06-21,62120264.0,2378880587.38,5.79,12.16,4.74,3138.24,1.0,1766634077.83,29918412.0,46132528.0,1145718400.56,,,922010.0,0.0,,4000.0,,187.05,366900.0,3615388.0,,,0.0,922010.0,0.21,1156072.0,5116478.0,1489.69,263.83,0.4,,11.72,11.72,225315248.0,8628393297.06,7771.0,11230.07,11.71,16.75,0.1144,23.72,0.2434
2010-06-22,63045672.0,2441359235.73,5.88,12.86,4.81,3205.71,1.0,1812897605.32,27476788.0,46816276.0,1064001826.36,,,367746.0,167.8,,,,205.84,3278229.0,4171004.0,,,167.8,367746.0,,1361634.0,2594481.0,1381.88,126.33,,,10.77,10.77,227537888.0,8811100060.07,,11446.49,10.77,16.56,0.1006,20.18,0.2472
2010-06-23,55895592.0,2152923216.39,5.21,11.51,4.26,2841.98,1.0,1515757442.35,23081060.0,39353080.0,889010173.34,,,142000.0,7.38,,164270.0,,234.61,129254.0,4665494.0,,,7.38,142000.0,8.69,127765.0,5230859.0,1164.96,271.9,,127.7,9.08,9.08,231034992.0,8898744610.76,,11642.4,9.1,14.51,0.0975,20.16,0.22
2010-06-24,52823392.0,1999596227.7,4.92,10.96,4.03,2670.35,1.0,1449450794.15,20826146.0,38290184.0,788360637.26,128.03,,68061.0,11.9,,,2525862.0,124.94,268400.0,2452975.0,128.03,,11.9,68061.0,,130000.0,3857157.0,1041.16,199.48,,,8.24,8.24,232056144.0,8784339145.75,,11576.32,8.25,11.82,0.0943,21.4,0.2089
2010-06-25,45850112.0,1721404972.06,4.27,9.45,3.5,2299.58,1.0,1172591320.92,19606920.0,31232304.0,736125782.52,,,25179.0,10.35,,,,62.55,238699.0,1244404.0,,,10.35,25179.0,,,7296578.0,972.19,376.79,,,7.75,7.75,233254688.0,8757356572.65,,11527.29,7.78,14.14,0.0846,15.17,0.1813
2010-06-28,46198208.0,1765610979.1,4.31,9.71,3.52,2313.76,1.0,1221592752.92,19768842.0,31963664.0,755528969.42,,,184435.0,1.28,,1542756.0,,20.55,29000.0,417669.0,,,1.28,184435.0,76.5,395155.0,840395.0,982.15,44.64,,,7.85,7.85,232211776.0,8874709191.78,,11491.62,7.87,13.5,0.0823,14.83,0.1833
2010-06-29,45646424.0,1702045946.38,4.26,9.63,3.48,2295.7,1.0,1173018318.8,19300256.0,31458664.0,719660372.28,,,26133.0,29.2,,,,23.74,503451.0,494734.0,,,29.2,26133.0,,16.0,1008452.0,968.51,51.19,,,7.7,7.7,231412864.0,8628832066.04,,11541.88,7.74,12.55,0.082,15.37,0.1821
2010-06-30,42870728.0,1626292022.61,4.0,8.96,3.27,2124.01,1.0,1091780147.45,19456196.0,28780446.0,738066690.75,,,3635.0,1.98,,475000.0,,21.25,79058.0,400783.0,,,1.98,3635.0,23.13,553088.0,3232276.0,956.95,175.77,,,7.76,7.76,231338944.0,8775794037.06,,11342.98,7.78,11.48,0.0803,15.8,0.1709
2010-07-01,38898268.0,1436719035.01,3.63,8.25,2.97,1932.42,1.0,929576001.09,19078418.0,25167688.0,704667012.39,,227.0,41214.0,0.22,0.01,,,20.56,4541.0,419220.0,,227.0,0.22,41214.0,,,3617300.0,935.76,176.43,,,7.43,7.43,237529520.0,8773223084.42,,11611.65,7.46,12.09,0.0835,17.68,0.1516
2010-07-02,38766196.0,1397251084.22,3.61,8.4,2.96,1898.23,1.0,902345565.6,19005330.0,25035232.0,685009639.54,,,51812.0,0.0,,,,6.45,28443.0,127982.0,,,0.0,51812.0,,3082.0,160897.0,918.77,8.84,,,7.45,7.45,236088000.0,8509326372.14,,11356.57,7.48,12.23,0.0838,17.54,0.152
2010-07-05,39921228.0,1421453913.09,3.72,8.83,3.05,1928.13,1.0,928348203.39,19181320.0,26072460.0,682979049.95,,51999.0,326232.0,53.41,2.45,,,40.05,1091515.0,799424.0,,51999.0,53.41,326232.0,,597183.0,54287.0,906.52,2.73,,,7.51,7.51,236162400.0,8408908854.32,,11141.72,7.52,13.14,0.0859,16.85,0.1563
2010-07-06,39453720.0,1421276095.57,3.68,8.8,3.01,1890.44,1.0,925588724.35,19130224.0,25693754.0,689144903.8,,,167638.0,,,,,10.6,,224740.0,,,,167638.0,,6006.0,378707.0,897.6,18.3,,,7.48,7.48,236565296.0,8521999959.6,,11075.37,7.5,13.42,0.0873,16.99,0.1543
2010-07-07,40044764.0,1432753364.46,3.73,9.0,3.05,1923.8,1.0,925553823.84,19490920.0,25868782.0,697361612.78,,,533547.0,12.02,,29081.0,,12.5,254200.0,255031.0,,,12.02,533547.0,1.44,82179.0,108253.0,917.11,4.88,,,7.57,7.57,237928864.0,8512807826.69,,11209.54,7.56,13.34,0.0888,17.09,0.1556
2010-07-08,38867444.0,1402091104.25,3.62,8.77,2.97,1853.84,1.0,915939469.2,18968766.0,25390808.0,684272885.74,,,117191.0,24.51,,,,55.26,522294.0,1166369.0,,,24.51,117191.0,,527025.0,1000269.0,886.71,55.66,,,7.41,7.41,236909552.0,8546195509.31,,11114.14,7.39,13.87,0.0911,17.27,0.1519
2010-07-09,38669904.0,1407996633.94,3.6,8.66,2.95,1856.34,1.0,903628340.18,17649412.0,24817688.0,642626697.16,,,532676.0,25.75,,,,85.38,530000.0,1852030.0,,,25.75,532676.0,,,1103119.0,833.68,49.0,,,6.91,6.91,237610144.0,8651541595.32,,11239.32,6.91,13.34,0.0907,16.91,0.1515
2010-07-12,38283156.0,1410334580.68,3.57,8.62,2.92,1854.71,1.0,917995684.88,17201902.0,24918748.0,633710482.07,,,1025595.0,4.35,,100000.0,,79.24,1059.0,1686306.0,,,4.35,1025595.0,4.75,213201.0,,820.96,,,,6.69,6.69,239844240.0,8835756008.44,,11454.58,6.69,13.36,0.0922,17.11,0.1489
2010-07-13,36649764.0,1368827608.86,3.42,8.24,2.8,1788.99,1.0,878726353.29,16959744.0,23527516.0,633427430.16,,125178.0,79623.0,,6.02,,,15.87,,332401.0,,125178.0,,79623.0,,10620.0,1391232.0,815.36,64.19,5.95,,6.59,6.59,240519376.0,8983129122.85,125178.0,11568.73,6.58,13.89,0.0932,17.96,0.1423
2010-07-14,34262420.0,1288453862.82,3.19,7.79,2.61,1687.57,1.0,792422730.58,16357898.0,21072016.0,615146182.49,,,496089.0,0.3,,,,52.18,5000.0,1107756.0,,,0.3,496089.0,,9821.0,2460500.0,798.46,124.47,,,6.35,6.35,241268624.0,9073016166.69,,11766.72,6.35,12.04,0.0968,19.69,0.133
2010-07-15,34371296.0,1282281518.16,3.2,7.84,2.62,1695.83,1.0,783118031.91,16547468.0,20991320.0,617332334.19,,,208150.0,1.89,,,,11.38,12173.0,231950.0,,,1.89,208150.0,,213370.0,92868.0,807.32,4.42,,,6.39,6.39,242461904.0,9045466844.08,,11812.21,6.4,12.1,0.0967,19.72,0.1327
2010-07-16,34591612.0,1262947501.77,3.22,7.92,2.64,1693.5,1.0,761653364.14,16897734.0,20861372.0,616940053.01,,,540.0,,,52.0,,0.27,,5540.0,,,,540.0,0.0,355266.0,130000.0,816.79,6.7,,,6.51,6.51,242651568.0,8859263095.51,,11720.43,6.51,12.08,0.0959,19.7,0.1333
2010-07-19,33852220.0,1243082128.72,3.16,7.77,2.58,1635.39,1.0,752378096.62,16260585.0,20489128.0,597102423.89,,,40000.0,0.0,,,,41.28,57809.0,845618.0,,,0.0,40000.0,,168469.0,430052.0,776.11,22.95,,,6.27,6.27,242904768.0,8919668372.79,,11605.94,6.27,12.2,0.0975,20.06,0.1306
2010-07-20,33728584.0,1217746899.16,3.14,7.98,2.57,1633.36,1.0,731926722.72,16333191.0,20272564.0,589698420.0,,,295669.0,9.87,,103416.0,,10.07,169400.0,223164.0,,,9.87,295669.0,5.24,101.0,489382.0,782.11,22.6,,,6.32,6.32,242250640.0,8746289665.74,,11582.61,6.33,12.41,0.0985,20.63,0.1304
2010-07-21,33530404.0,1203786343.62,3.13,7.97,2.56,1604.64,1.0,722177084.08,16291969.0,20115604.0,584903474.26,,,5245.0,3.8,,,,4.17,75901.0,86857.0,,,3.8,5245.0,,40390.0,232859.0,770.21,14.38,,,6.31,6.31,242082688.0,8691092234.99,,11432.78,6.31,12.42,0.0992,20.67,0.1298
2010-07-22,33852604.0,1232336297.62,3.16,8.1,2.58,1611.96,1.0,731711193.71,16529475.0,20100300.0,601722456.07,,,244677.0,9.24,,24000.0,,32.27,249111.0,681171.0,,,9.24,244677.0,1.18,674000.0,288416.0,777.45,14.28,,,6.38,6.38,242721840.0,8835802813.21,,11405.29,6.38,12.25,0.1001,21.14,0.1306
2010-07-23,34051164.0,1186883638.75,3.17,8.15,2.6,1623.89,1.0,699045337.78,16548079.0,20055300.0,576798027.16,,,226939.0,5.79,,,,9.95,30000.0,209007.0,,,5.79,226939.0,,672.0,75000.0,776.31,3.52,,,6.48,6.48,238905088.0,8327249551.93,,11191.83,6.49,12.13,0.0998,21.32,0.1333
2010-07-26,34607856.0,1208275583.36,3.23,7.96,2.64,1602.28,1.0,697825694.45,17099256.0,19987370.0,596992010.09,,,429032.0,0.12,,131.0,,29.43,5382.0,554582.0,,,0.12,429032.0,0.01,676728.0,73443.0,778.22,6.05,,,6.71,6.71,237606112.0,8295621190.37,,10787.81,6.73,11.9,0.0989,20.62,0.1359
2010-07-27,33879120.0,1171675403.34,3.16,7.7,2.58,1571.11,1.0,694254383.93,16355754.0,20074440.0,565647356.39,,,16803.0,4.67,,,,38.93,87201.0,849047.0,,,4.67,16803.0,,88741.0,131.0,744.63,0.01,,,6.34,6.34,241816528.0,8362982213.79,,10984.3,6.35,11.99,0.1004,20.78,0.1312
2010-07-28,34068256.0,1185391978.54,3.18,7.64,2.6,1571.82,1.0,708066594.29,16344562.0,20349888.0,568702803.21,,,228499.0,18.6,,90000.0,,67.48,400000.0,1481041.0,,,18.6,228499.0,4.16,1241350.0,214551.0,740.68,12.12,,,6.36,6.36,240579216.0,8370862096.67,,10892.78,6.37,11.77,0.0989,20.48,0.1326
2010-07-29,32588296.0,1118672210.8,3.04,7.36,2.49,1501.98,1.0,666442744.58,15733618.0,19414296.0,540094555.17,,,,2.1,,,,27.49,43800.0,610294.0,,,2.1,,,,979392.0,712.89,49.46,0.03,,6.15,6.15,240012144.0,8238998312.37,650.0,10850.32,6.17,12.24,0.1037,21.28,0.1274
2010-07-30,33440220.0,1141513640.07,3.12,7.49,2.55,1526.33,1.0,686802046.48,15580227.0,20119612.0,531845832.23,,,164510.0,44.7,,,,14.58,1050714.0,318861.0,,,44.7,164510.0,,960.0,345400.0,700.45,21.18,,,6.12,6.12,238954768.0,8156947742.31,,10744.58,6.12,15.48,0.1071,20.59,0.1314
2010-08-02,33277988.0,1157385155.76,3.1,8.08,2.54,1511.59,1.0,702646632.07,15244595.0,20203012.0,530196355.58,,,14500.0,6.82,,90000.0,,15.65,180200.0,350132.0,,,6.82,14500.0,4.01,,186800.0,683.79,10.2,,,6.0,6.0,238756544.0,8303785669.55,,10686.84,6.01,16.1,0.1091,20.65,0.131
2010-08-03,32494152.0,1136594537.59,3.03,7.91,2.48,1496.38,1.0,701020696.41,14686430.0,20041512.0,513708316.33,,,213233.0,3.35,,,,35.54,64500.0,788118.0,,,3.35,213233.0,,16720.0,226000.0,668.56,6.21,,,5.78,5.78,239375472.0,8372979048.89,,10871.05,5.79,16.05,0.1093,21.23,0.1279
2010-08-04,32505528.0,1150934115.77,3.03,8.0,2.48,1507.33,1.0,709645561.16,14696987.0,20042332.0,520381140.63,,,,1.35,,,,,820.0,,,,1.35,,,10557.0,,674.63,,,,5.78,5.78,239476080.0,8479209763.45,,10969.27,5.79,16.03,0.1093,21.25,0.1279
2010-08-05,32072964.0,1131196562.14,2.99,7.94,2.45,1497.83,1.0,700392072.88,14324053.0,19858308.0,505201811.39,,,221133.0,,,,,44.86,,983787.0,,,,221133.0,,389720.0,184024.0,661.27,8.63,,,5.65,5.65,239372480.0,8442541401.72,,11028.15,5.66,16.34,0.1152,21.65,0.1264
2010-08-06,31777420.0,1101789105.6,2.96,7.92,2.42,1475.57,1.0,682129814.82,14047063.0,19673752.0,487040828.96,,,5905.0,,,,,13.37,,282939.0,,,,5905.0,,44.0,184554.0,643.07,10.0,,,5.56,5.56,238761120.0,8278343580.37,,10916.98,5.56,16.51,0.1171,21.88,0.1257
2010-08-09,28927262.0,1019363097.96,2.7,7.17,2.21,1326.98,1.0,604403792.06,13150107.0,17151638.0,463394489.6,,,177711.0,,,,,53.41,,1156207.0,,,,177711.0,,81540.0,2522115.0,599.89,130.15,,,5.21,5.21,239493360.0,8439467703.16,,10927.3,5.2,18.05,0.1102,18.81,0.1145
2010-08-10,27714780.0,981306496.95,2.58,6.87,2.11,1287.35,1.0,563259104.52,13181286.0,15907978.0,466714207.72,,,34932.0,,,62010.0,,5.47,,123753.0,,,,34932.0,3.01,120000.0,1305670.0,608.35,56.57,,,5.2,5.2,240129744.0,8502354263.6,,11080.79,5.2,14.46,0.1056,19.77,0.1094
2010-08-11,27577960.0,959987040.28,2.57,6.96,2.1,1288.62,1.0,549428274.18,13168781.0,15783662.0,458404432.24,,,19241.0,0.72,,,,1.57,15100.0,34320.0,,,0.72,19241.0,,7574.0,139416.0,611.06,5.36,0.23,,5.2,5.2,240190416.0,8361013162.62,5000.0,11134.48,5.2,14.51,0.1065,19.88,0.1088
2010-08-12,27847530.0,966598077.27,2.6,7.1,2.12,1278.64,1.0,550534448.96,13229207.0,15860806.0,459190673.28,,,206824.0,17.31,,,,6.84,446514.0,146398.0,,,17.31,206824.0,,,369370.0,604.7,20.72,,,5.26,5.26,238110448.0,8264901814.07,,10854.27,5.28,16.05,0.1086,19.66,0.1108
2010-08-13,27706888.0,949832820.83,2.58,7.16,2.11,1266.21,1.0,538910279.86,13149207.0,15720163.0,450774131.56,,3663.0,32518.0,,0.16,,,5.46,,116181.0,,3663.0,,32518.0,,,140643.0,597.69,7.02,,,5.4,5.4,230147808.0,7889804935.14,,10446.53,5.41,15.94,0.1088,19.79,0.1139
2010-08-16,27625720.0,946203926.31,2.58,7.26,2.11,1248.51,1.0,534278643.52,13335207.0,15598997.0,456741949.95,,,198794.0,,,,,0.57,,12794.0,,,,198794.0,,,121166.0,598.6,7.68,,,5.33,5.33,236785712.0,8110107913.48,,10621.59,5.34,15.89,0.109,19.81,0.1104
2010-08-17,27880264.0,964744816.09,2.6,7.34,2.13,1259.21,1.0,536768102.05,12850591.0,15512119.0,444670862.91,,,26148.0,13.31,,,,22.75,296359.0,511264.0,,,13.31,26148.0,,500.0,383237.0,577.36,18.12,,,5.2,5.2,234505648.0,8114632926.46,,10539.27,5.19,15.44,0.1072,19.61,0.1127
2010-08-18,27071296.0,945874840.38,2.52,7.25,2.07,1235.51,1.0,538502765.39,12141591.0,15412153.0,424228875.08,,,997.0,,,,,31.25,,709997.0,,,,997.0,,,99966.0,551.81,2.41,,,4.94,4.94,233592112.0,8161740821.42,,10600.9,4.95,15.65,0.1108,19.99,0.1102
2010-08-19,25995640.0,896843057.34,2.42,7.06,1.98,1191.56,1.0,520946107.7,11378091.0,15099997.0,392541284.58,,,384500.0,,,,,52.54,,1148000.0,,,,384500.0,,,312156.0,518.56,13.14,,,4.64,4.64,233849504.0,8067749211.96,,10653.91,4.64,15.51,0.1126,20.08,0.106
2010-08-20,25758356.0,887078562.79,2.4,7.1,1.97,1170.58,1.0,501210334.59,11333014.0,14553789.0,390291747.31,,,145865.0,0.0,,140356.0,,29.63,608.0,649420.0,,,0.0,145865.0,6.64,458478.0,687172.0,513.3,35.18,,,4.59,4.59,235370384.0,8105797666.64,,10649.44,4.6,15.82,0.1163,20.6,0.1044
2010-08-23,24280772.0,852185832.39,2.26,6.64,1.85,1102.92,1.0,475685746.94,12355816.0,13553402.0,433653894.64,,,299753.0,,,,,33.12,,736156.0,,,,299753.0,,1459205.0,1000387.0,559.21,46.02,,,5.02,5.02,233900928.0,8209255332.72,,10608.66,5.01,16.64,0.1124,18.17,0.0986
2010-08-24,25496184.0,873753729.21,2.38,6.94,1.95,1169.54,1.0,490668876.62,13120013.0,14317746.0,449622590.03,,,38535.0,44.86,,394084.0,,1.96,900000.0,48560.0,,,44.86,38535.0,17.78,774222.0,529740.0,598.29,20.82,,,5.34,5.34,232694240.0,7974427073.69,,10596.42,5.34,15.33,0.1171,21.0,0.1037
2010-08-25,26246668.0,896557982.72,2.45,7.1,2.0,1183.39,1.0,513304878.82,13161279.0,15026962.0,449575151.8,,,18479.0,36.82,,,,0.92,803782.0,18479.0,,,36.82,18479.0,,41266.0,94566.0,590.12,8.62,,,5.3,5.3,235366528.0,8039867747.93,,10540.71,5.3,14.78,0.1125,20.24,0.1056
2010-08-26,26680168.0,912591929.77,2.49,7.19,2.04,1197.6,1.0,515542270.76,13549556.0,15072185.0,463460929.39,,,464042.0,20.76,,,,18.66,470000.0,416723.0,,,20.76,464042.0,,340958.0,424777.0,605.1,21.02,,,5.43,5.43,236207792.0,8079459047.2,,10533.47,5.43,14.85,0.121,21.89,0.1068
2010-08-27,28095960.0,973930060.91,2.62,7.58,2.14,1262.94,1.0,559103899.82,13923491.0,16129044.0,482649691.9,,,,53.77,,113732.0,,0.24,1213127.0,5600.0,,,53.77,,5.33,379535.0,270000.0,624.57,12.31,,,5.57,5.57,236241456.0,8189172237.96,,10589.32,5.57,17.86,0.1187,19.9,0.1123
2010-08-30,28139536.0,981906178.15,2.62,7.78,2.15,1281.09,1.0,563476674.89,13944966.0,16148154.0,486598224.99,,,25281.0,,,24710.0,,1.24,,33966.0,,,,25281.0,1.12,30160.0,5600.0,633.7,0.2,,,5.61,5.61,234844320.0,8194701174.59,,10664.28,5.61,17.95,0.1189,19.9,0.1131
2010-08-31,27421660.0,950765866.0,2.56,7.57,2.09,1251.09,1.0,534375666.52,13975128.0,15412278.0,484546693.21,,,82025.0,5.72,,175000.0,,9.15,120535.0,202513.0,,,5.72,82025.0,7.97,150650.0,1031411.0,635.96,46.56,,,5.62,5.62,234753760.0,8139400091.88,,10673.9,5.62,14.63,0.1131,20.54,0.1102
2010-09-01,26826864.0,957880918.62,2.5,7.29,2.05,1226.25,1.0,538363155.24,13723957.0,15077652.0,490028075.52,,,186922.0,17.42,,189602.0,,20.26,380258.0,441759.0,,,17.42,186922.0,8.58,3666.0,904486.0,626.67,42.66,,,5.48,5.48,236584368.0,8447489492.26,,10789.54,5.49,15.68,0.1086,18.38,0.1072
2010-09-02,26299276.0,934107933.7,2.45,7.09,2.01,1225.57,1.0,518977057.61,13599496.0,14611503.0,483032198.6,,2500.0,114178.0,0.94,0.12,,,11.56,19945.0,255000.0,,2500.0,0.94,114178.0,,13861.0,486094.0,632.82,23.22,,,5.45,5.45,235986432.0,8381858054.86,,10978.98,5.45,16.16,0.1135,18.96,0.1054
2010-09-03,26464166.0,948578791.46,2.47,7.27,2.02,1230.2,1.0,523072471.06,13738694.0,14593070.0,492448307.3,,,107652.0,0.08,,,,12.23,2200.0,259702.0,,,0.08,107652.0,,291248.0,20633.0,638.09,0.95,,,5.46,5.46,237954832.0,8529228049.74,,11051.97,5.46,16.22,0.1148,19.03,0.1051
2010-09-06,33059644.0,1183973604.48,3.08,9.68,2.52,1543.34,1.0,551087343.8,20045090.0,15387802.0,717880006.8,,,1552000.0,42.03,,71900.0,,3.72,897832.0,80751.0,,,42.03,1552000.0,3.36,4835147.0,175000.0,938.02,8.07,,,7.95,7.95,232057376.0,8310730990.02,,10852.92,7.96,15.47,0.1195,21.0,0.1311
2010-09-07,31058152.0,1113958762.67,2.9,9.42,2.37,1459.31,1.0,505016676.64,19251090.0,14080310.0,690476381.09,,,21400.0,,,,,43.45,,933822.0,,,,21400.0,,118422.0,1307492.0,904.01,59.78,,,7.6,7.6,234026400.0,8393794935.87,,11003.77,7.59,16.35,0.1268,21.94,0.1226
2010-09-08,30940364.0,1132483268.64,2.88,9.69,2.36,1461.18,1.0,511057991.69,19212044.0,13962520.0,703201758.92,,,149742.0,12.36,,,,8.93,263902.0,189593.0,,,12.36,149742.0,,804.0,381692.0,908.18,17.98,,,7.57,7.57,234691760.0,8590218637.61,,11061.62,7.59,16.38,0.1264,22.26,0.1219
2010-09-09,31688620.0,1176374743.1,2.95,9.82,2.42,1519.62,1.0,525977862.17,19681348.0,14168540.0,730629503.51,,,52635.0,22.52,,619973.0,,6.7,469000.0,158937.0,,,22.52,52635.0,29.85,575608.0,882953.0,945.6,42.35,,,7.76,7.76,233803168.0,8679461008.17,,11230.16,7.77,16.01,0.1201,21.67,0.125
2010-09-10,30871372.0,1147809412.19,2.88,9.69,2.36,1494.76,1.0,506569435.05,19311176.0,13624643.0,717996905.78,,,,,,,,36.26,,761327.0,,,,,,391154.0,543897.0,936.36,23.24,,,7.62,7.62,234080800.0,8703213626.29,,11362.41,7.61,16.32,0.1232,21.93,0.1218
2010-09-13,30443504.0,1144142296.45,2.84,9.73,2.32,1478.89,1.0,489341780.62,19487476.0,13020477.0,732387623.4,,,65973.0,,,,,6.02,,124184.0,,,,65973.0,,234510.0,604166.0,948.37,28.14,,,7.63,7.63,235787440.0,8861476099.32,,11437.52,7.66,16.53,0.1283,22.89,0.1193
2010-09-14,30554236.0,1151580067.28,2.85,9.82,2.33,1495.92,1.0,494859877.54,19488840.0,13129843.0,734528583.15,,,113893.0,11.31,,,,8.28,174391.0,170543.0,,,11.31,113893.0,,58016.0,65025.0,955.52,1.17,,,7.65,7.65,235232992.0,8865861504.55,,11514.74,7.66,17.0,0.1286,22.72,0.12
2010-09-15,30612958.0,1159185935.01,2.85,9.76,2.34,1505.76,1.0,495039338.59,19603904.0,13073501.0,742318654.34,,,33770.0,,,,,1.56,,31665.0,,,,33770.0,,112958.0,56342.0,966.22,1.8,,,7.72,7.72,234352544.0,8873960263.43,,11538.93,7.73,16.94,0.1276,22.59,0.1205
2010-09-16,32557888.0,1243180790.07,3.03,10.35,2.48,1604.74,1.0,551219735.95,20451656.0,14435994.0,780919999.0,,,170950.0,70.3,,,,0.29,1362493.0,5918.0,,,70.3,170950.0,,682719.0,,1008.46,,,,8.04,8.04,233784992.0,8926777162.62,,11565.86,8.02,17.11,0.1243,21.52,0.1281
2010-09-17,32789104.0,1258915553.34,3.06,10.33,2.5,1635.96,1.0,564846614.39,20408856.0,14711721.0,783584273.73,,,262014.0,8.54,,124527.0,,20.75,171200.0,476922.0,,,8.54,262014.0,6.47,172108.0,20000.0,1021.02,0.6,,,7.97,7.97,235811328.0,9053817038.51,,11784.94,7.97,16.94,0.1228,21.61,0.128
2010-09-20,32711376.0,1270211726.02,3.05,9.28,2.5,1641.22,1.0,564034351.72,20517444.0,14525405.0,796710537.54,,,111114.0,7.49,,,,0.27,116500.0,5528.0,,,7.49,111114.0,,3003.0,302816.0,1032.54,15.18,,,7.98,7.98,236544528.0,9185233699.45,,11882.88,7.99,17.31,0.1248,21.72,0.1273
