,EEE FP Equity_DX_SI_QTY,EEE FP Equity_DX_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEE FP Equity_DX_SI_MV,EEE FP Equity_DX_DSS,EEE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY,EEE FP Equity_DX_BROKER_SI_QTY,EEE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEE FP Equity_DX_BROKER_SI_MV_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_x,EEE FP Equity_DX_BROKER_SI_MV_INC_x,EEE FP Equity_DX_SUPPLY_SI_MV_NEW,EEE FP Equity_DX_BROKER_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_NEW,EEE FP Equity_DX_SUPPLY_SI_MV_DEC,EEE FP Equity_DX_BROKER_SI_QTY_INC,EEE FP Equity_DX_SUPPLY_SI_QTY_DEC,EEE FP Equity_DX_BROKER_SI_MV_NEW_y,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EEE FP Equity_DX_BROKER_SI_MV_INC_y,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_y,EEE FP Equity_DX_BROKER_SI_MV_ADD,EEE FP Equity_DX_SUPPLY_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_DEC,EEE FP Equity_DX_SUPPLY_SI_MV,EEE FP Equity_DX_BROKER_SI_MV_DEC,EEE FP Equity_DX_SUPPLY_SI_MV_RMV,EEE FP Equity_DX_BROKER_SI_MV_RMV,EEE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEE FP Equity_DX_UTILIZATION_QUANTITY,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEE FP Equity_DX_ACTIVE_UTILIZATION_MV,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEE FP Equity_DX_BROKER_SI_CON_RATIO,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEE FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-11-06,6800.0,40392.0,0.21,0.03,0.04,,20196.0,3400.0,3400.0,20196.0,,,,,,3400.0,,,,,,,,,0.02,3400.0,,0.02,,,,100.0,0.07,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0014
2023-11-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.02,,3400.0,,,,,,,3400.0,0.0,0.02,,,0.0,0.0,4864337.0,28923347.8,,29.06,0.0,,0.0,,0.0
2023-11-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4863647.0,28710108.24,,28.92,0.0,,0.0,,0.0
2023-11-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4854154.0,29163757.23,,28.64,0.0,,0.0,,0.0
2023-11-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4839950.0,28667023.85,,28.64,0.0,,0.0,,0.0
2023-11-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4833574.0,28440749.42,,28.58,0.0,,0.0,,0.0
2023-11-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4833734.0,30201170.03,,28.47,0.0,,0.0,,0.0
2023-11-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4832734.0,29701983.16,,30.17,0.0,,0.0,,0.0
2023-11-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3136970.0,19094736.39,,19.26,0.0,,0.0,,0.0
2023-11-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3615860.0,22429179.58,,22.5,0.0,,0.0,,0.0
2023-11-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3611531.0,22463722.82,,22.41,0.0,,0.0,,0.0
2023-11-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3782764.0,22995422.36,,23.43,0.0,,0.0,,0.0
2023-11-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4038686.0,24926769.99,,24.62,0.0,,0.0,,0.0
2023-11-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4021812.0,24846754.54,,24.78,0.0,,0.0,,0.0
2023-11-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3582235.0,22195528.06,,22.19,0.0,,0.0,,0.0
2023-11-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3589621.0,22395645.42,,22.28,0.0,,0.0,,0.0
2023-11-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,243060.0,1512805.44,,1.52,0.0,,0.0,,0.0
2023-11-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,241260.0,1503532.73,,1.5,0.0,,0.0,,0.0
2023-11-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3093547.0,19241862.34,,19.59,0.0,,0.0,,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4773390.0,30311026.5,,30.32,0.0,,0.0,,0.0
2023-12-04,1445400.0,9236106.0,67.07,6.59,9.21,,6157404.0,481800.0,963600.0,3078702.0,,,,,,963600.0,,,,,,,,,6.15,481800.0,,3.06,,,,10.16,9.52,4259456.0,27217923.84,,27.08,10.16,49.84,0.5,50.16,0.2856
2023-12-05,1445400.0,9383536.8,71.76,6.59,9.3,,6255691.2,481800.0,963600.0,3127845.6,,,,,,,,,,,,,,,,,,3.08,,,,10.23,9.59,4225839.0,27434146.79,,27.05,10.23,49.6,0.5,50.4,0.2876
2023-12-06,1445400.0,9454361.4,67.46,6.59,9.39,,6302907.6,481800.0,963600.0,3151453.8,,,,,,,,,,,,,,,,,,3.12,,,,10.23,9.59,4225891.0,27641553.03,,27.39,10.23,49.81,0.5,50.19,0.2876
2023-12-07,1445400.0,9374864.4,64.77,6.59,9.41,,6249909.6,481800.0,963600.0,3124954.8,,,,,,,,,,,,,,,,,,3.15,,,,10.25,9.61,4216733.0,27349730.24,,27.53,10.25,49.79,0.5,50.21,0.2882
2023-12-08,662600.0,4265156.2,29.29,3.02,4.29,,3101346.6,180800.0,481800.0,1163809.6,,,,,,,,1.99,,301000.0,,,,,,,481800.0,1.16,3.14,,,3.85,3.6,4517417.0,29078613.23,,29.05,3.85,,1.0,100.0,0.1321
2023-12-11,542400.0,3502819.2,24.5,2.47,3.5,,2335212.8,180800.0,361600.0,1167606.4,,,,,,180800.0,,,,,,,,,1.17,,301000.0,1.16,1.97,,,3.85,3.6,4517417.0,29173478.99,,29.05,3.85,49.92,0.5,50.08,0.1081
2023-12-12,547200.0,3496060.8,24.8,2.49,3.52,,2325596.0,183200.0,364000.0,1170464.8,,,,0.02,,,,,2400.0,,,,0.02,,,2400.0,,1.18,,,,3.9,3.65,4516454.0,28855624.61,,29.11,3.9,49.08,0.5002,50.92,0.1091
2023-12-13,346400.0,2224580.8,15.49,1.61,2.23,,1176510.4,163200.0,183200.0,1048070.4,,,,,,,,0.13,,20000.0,,,,,,,180800.0,1.05,1.16,,,3.47,3.26,4533711.0,29115492.04,,29.18,3.47,,1.0,100.0,0.0691
2023-12-14,482400.0,3253788.0,21.49,2.24,3.15,,2169192.0,160800.0,321600.0,1084596.0,,,,,,160800.0,,0.02,,2400.0,,,,,1.08,,22400.0,1.03,0.12,,,3.43,3.21,4528335.0,30543619.58,,29.09,3.43,48.77,0.5003,51.23,0.0963
2023-12-15,197200.0,1318676.4,8.58,0.93,1.33,,1080619.2,35600.0,161600.0,238057.2,,,,0.05,,,,0.81,800.0,126000.0,,,0.05,,,800.0,160800.0,0.24,1.09,,,0.9,0.71,3925019.0,26246602.05,,26.21,0.9,,1.0,100.0,0.0394
2023-12-18,106000.0,707656.0,3.97,0.5,0.71,,469990.4,35600.0,70400.0,237665.6,,,,,,34800.0,,,,,,,,,0.23,,126000.0,0.24,0.85,,,0.91,0.72,3874854.0,25868525.3,,25.9,0.91,48.84,0.5003,51.16,0.0214
2023-12-19,36400.0,245518.0,1.38,0.17,0.24,,240122.0,800.0,35600.0,5396.0,,,,,,,,0.23,,34800.0,,,,,,,34800.0,0.01,0.23,,,100.0,0.02,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0078
2023-12-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.01,,800.0,,,,,,,35600.0,0.0,0.24,,,0.0,0.0,4626097.0,31499094.47,,31.16,0.0,,0.0,,0.0
