,RNO FP Equity_DX_SI_QTY,RNO FP Equity_DX_SHORT_INTEREST_VALUE,RNO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RNO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RNO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RNO FP Equity_DX_SI_MV,RNO FP Equity_DX_DSS,RNO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RNO FP Equity_DX_SUPPLY_SI_QTY,RNO FP Equity_DX_BROKER_SI_QTY,RNO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RNO FP Equity_DX_BROKER_SI_MV_NEW_x,RNO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RNO FP Equity_DX_SUPPLY_SI_QTY_INC_x,RNO FP Equity_DX_BROKER_SI_MV_INC_x,RNO FP Equity_DX_SUPPLY_SI_MV_NEW,RNO FP Equity_DX_BROKER_SI_QTY_ADD,RNO FP Equity_DX_BROKER_SI_QTY_NEW,RNO FP Equity_DX_SUPPLY_SI_MV_DEC,RNO FP Equity_DX_BROKER_SI_QTY_INC,RNO FP Equity_DX_SUPPLY_SI_QTY_DEC,RNO FP Equity_DX_BROKER_SI_MV_NEW_y,RNO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RNO FP Equity_DX_BROKER_SI_MV_INC_y,RNO FP Equity_DX_SUPPLY_SI_QTY_INC_y,RNO FP Equity_DX_BROKER_SI_MV_ADD,RNO FP Equity_DX_SUPPLY_SI_QTY_ADD,RNO FP Equity_DX_BROKER_SI_QTY_DEC,RNO FP Equity_DX_SUPPLY_SI_MV,RNO FP Equity_DX_BROKER_SI_MV_DEC,RNO FP Equity_DX_SUPPLY_SI_MV_RMV,RNO FP Equity_DX_BROKER_SI_MV_RMV,RNO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RNO FP Equity_DX_UTILIZATION_QUANTITY,RNO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RNO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RNO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RNO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RNO FP Equity_DX_ACTIVE_UTILIZATION_MV,RNO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RNO FP Equity_DX_BROKER_SI_CON_RATIO,RNO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RNO FP Equity_DX_DEMAND_SUPPLY_RATIO,RNO FP Equity_PX_LAST
1995-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3918
1995-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6205
1995-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4376
1995-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4376
1995-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4071
1995-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9102
1995-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3918
1995-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2851
1995-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9193
1995-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4681
1995-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2546
1995-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3309
1995-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1084
1995-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6053
1995-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5595
1995-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1418
1995-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4009
1995-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.41
1995-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5167
1995-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8216
1995-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7697
1995-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9984
1995-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9588
1995-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8674
1995-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.288
1995-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2971
1995-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8093
1995-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5501
1995-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6416
1995-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9831
1995-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0441
1995-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.724
1995-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.724
