,BSRIC FP Equity_PX_LAST
2025-03-27,10.414
2025-03-28,10.45
2025-03-31,10.432
2025-04-01,10.484
2025-04-02,10.458
2025-04-03,10.496
2025-04-04,10.502
2025-04-07,10.484
2025-04-08,10.474
2025-04-09,10.482
2025-04-10,10.512
2025-04-11,10.524
2025-04-14,10.556
2025-04-15,10.544
2025-04-16,10.566
2025-04-17,10.598
2025-04-22,10.61
2025-04-23,10.594
2025-04-24,10.634
2025-04-25,10.614
2025-04-28,10.598
2025-04-29,10.59
2025-04-30,10.642
2025-05-02,10.586
2025-05-05,10.588
2025-05-06,10.568
2025-05-07,10.618
2025-05-08,10.602
2025-05-09,10.58
2025-05-12,10.536
2025-05-13,10.524
2025-05-14,10.524
2025-05-15,10.54
2025-05-16,10.584
2025-05-19,10.588
2025-05-20,10.574
2025-05-21,10.566
2025-05-22,10.55
2025-05-23,10.586
2025-05-26,10.596
2025-05-27,10.618
2025-05-28,10.598
2025-05-29,10.636
2025-05-30,10.64
2025-06-02,10.65
2025-06-03,10.644
2025-06-04,10.636
2025-06-05,10.6
2025-06-06,10.616
2025-06-09,10.616
2025-06-10,10.642
2025-06-11,10.636
2025-06-12,10.666
2025-06-13,10.628
2025-06-16,10.612
2025-06-17,10.63
2025-06-18,10.65
2025-06-19,10.634
2025-06-20,10.636
2025-06-23,10.644
2025-06-24,10.644
2025-06-25,10.646
2025-06-26,10.634
2025-06-27,10.62
2025-06-30,10.636
2025-07-01,10.644
2025-07-02,10.618
2025-07-03,10.644
2025-07-04,10.642
2025-07-07,10.626
2025-07-08,10.62
2025-07-09,10.61
2025-07-10,10.594
2025-07-11,10.58
2025-07-14,10.576
2025-07-15,10.59
2025-07-16,10.61
2025-07-17,10.612
2025-07-18,10.6
2025-07-21,10.652
2025-07-22,10.668
2025-07-23,10.666
2025-07-24,10.606
2025-07-25,10.598
2025-07-28,10.622
2025-07-29,10.624
2025-07-30,10.624
2025-07-31,10.638
2025-08-01,10.628
2025-08-04,10.69
2025-08-05,10.696
2025-08-06,10.666
2025-08-07,10.66
2025-08-08,10.632
2025-08-11,10.628
2025-08-12,10.63
2025-08-13,10.646
2025-08-14,10.644
2025-08-15,10.588
2025-08-18,10.588
2025-08-19,10.602
2025-08-20,10.616
2025-08-21,10.588
2025-08-22,10.614
2025-08-25,10.582
2025-08-26,10.614
2025-08-27,10.606
2025-08-28,10.626
2025-08-29,10.598
