,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_y,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity
2006-05-03,34240648.0,2218551842.16,14.45,26.27,6.99,2898.98,2.0,1403599740.52,19045042.0,21662854.0,1233984035.96,,117154.0,1075316.0,318.13,9.8,,,57.9,3827686.0,667487.0,,117154.0,318.13,1075316.0,,951521.0,30000.0,1606.44,2.64,0.41,,53.21,53.2,16748866.0,1085208069.61,4881.0,1415.11,53.17,15.19,0.1002,18.46,0.9565
2006-05-10,37741020.0,2449741410.87,15.92,29.3,7.7,3247.34,2.0,1580641046.62,19926984.0,24351552.0,1293445643.46,,,1181166.0,368.37,,,,119.16,3899408.0,1543186.0,,,368.37,1181166.0,,1243963.0,1210711.0,1697.71,100.65,,,72.74,57.78,7467788.0,484728539.7,,0.0,197.43,17.6,0.1038,19.04,1.0944
2006-05-17,50033808.0,2935307757.33,21.11,32.46,10.21,4028.57,3.0,1723561671.88,26181808.0,29378982.0,1535994704.29,,2667093.0,1761644.0,495.12,205.41,148430.0,,144.07,7370870.0,1452246.0,,2667093.0,495.12,1761644.0,11.89,3282324.0,2491871.0,2076.23,222.15,0.34,,83.59,68.76,5139224.0,301500219.09,3990.0,0.0,206.63,15.78,0.1043,19.61,1.314
2006-05-24,58138612.0,3403943768.74,24.53,32.66,11.87,4559.06,3.0,2408823947.49,24766174.0,41142184.0,1450028832.18,,21802.0,474012.0,1084.1,1.64,43476.0,,188.04,14086373.0,2281611.0,,21802.0,1084.1,474012.0,3.93,370162.0,2366644.0,1918.78,231.6,,,83.04,67.72,5057704.0,296122308.78,,0.0,185.73,15.17,0.1331,28.0,1.5898
2006-05-31,40395164.0,2431664363.04,17.04,21.66,8.24,3203.66,2.0,1471753959.43,23178478.0,24448992.0,1395272932.72,,115966.0,15272.0,29.28,9.18,,,233.39,429673.0,3203111.0,,115966.0,29.28,15272.0,,1484178.0,17122868.0,1815.39,1319.8,,,68.24,55.32,10786358.0,649305504.88,,0.0,191.3,15.65,0.1022,19.41,0.9641
2006-06-07,35093316.0,2043653214.9,14.81,20.12,7.16,2698.33,2.0,1275456170.71,19747558.0,21901948.0,1149995640.0,,21280.0,188373.0,34.55,1.58,,,316.98,487208.0,3665354.0,,21280.0,34.55,188373.0,,116061.0,3034252.0,1501.59,291.15,7.0,,47.16,47.15,22130226.0,1288749900.73,91280.0,1658.76,47.51,13.55,0.1055,21.18,0.8379
2006-06-14,32944432.0,1822846218.64,13.9,17.63,6.72,2445.4,2.0,1142875950.72,16490893.0,20655280.0,912456525.19,,69586.0,203771.0,28.86,5.15,,,357.59,647085.0,4245047.0,,69586.0,28.86,203771.0,,852652.0,1893751.0,1201.93,175.16,10.56,,39.93,39.92,24809880.0,1372753852.4,137627.0,1790.11,40.17,15.98,0.1244,25.2,0.7976
2006-06-21,28804764.0,1680831524.11,12.15,14.27,5.88,2177.52,2.0,1004417946.96,15428427.0,17212922.0,900288107.52,,,593307.0,62.55,,,,129.81,806360.0,1867185.0,,,62.55,593307.0,,211412.0,4248719.0,1157.61,308.97,,,36.28,36.28,27093468.0,1580973033.21,,2031.61,36.3,17.14,0.1363,28.02,0.6774
2006-06-28,26630810.0,1547705512.49,11.24,14.94,5.44,2005.33,2.0,934468900.0,14721872.0,16079069.0,855592542.94,,,482281.0,17.78,,,,89.74,266818.0,1192284.0,,,17.78,482281.0,,3448.0,1400672.0,1102.87,110.4,,,34.11,34.11,28433468.0,1652470772.11,,2127.9,34.14,18.63,0.15,29.72,0.6171
2006-07-03,27404858.0,1674422547.35,11.56,16.88,5.59,2139.46,2.0,1029128342.25,14607457.0,16843488.0,892508013.0,,,91691.0,105.66,,,,9.52,1069579.0,204448.0,,,105.66,91691.0,,2200.0,305160.0,1134.49,16.94,0.28,,33.53,33.53,28954036.0,1769076516.11,3858.0,2242.44,33.6,18.25,0.1632,32.62,0.6291
2006-07-04,27384166.0,1666710653.51,11.55,17.57,5.59,2138.85,2.0,1016450148.43,14699569.0,16700343.0,894674983.14,,,139147.0,4.95,,,,3.55,58902.0,46534.0,,,4.95,139147.0,,,202047.0,1142.73,15.82,0.04,,33.67,33.67,28962476.0,1762772957.96,500.0,2248.0,33.7,17.87,0.163,32.76,0.6272
2006-07-05,27141692.0,1621065134.29,11.45,18.04,5.54,2119.98,2.0,991219593.34,14240291.0,16596111.0,850515850.01,,4358.0,75397.0,0.24,0.33,,,39.96,2770.0,539034.0,,4358.0,0.24,75397.0,,,107002.0,1109.3,9.51,,,32.63,32.63,29395024.0,1755647677.67,,2282.89,32.7,17.77,0.1648,33.06,0.622
2006-07-06,27141744.0,1635979511.63,11.45,18.83,5.54,2093.86,2.0,1005705498.36,14005894.0,16685173.0,844210881.44,,,8717.0,0.0,,,,35.83,111362.0,328497.0,,,0.0,8717.0,,89241.0,22300.0,1075.67,3.22,0.29,,31.88,31.88,29920446.0,1803466889.78,3858.0,2301.91,31.85,17.82,0.1662,33.34,0.6179
2006-07-07,21793612.0,1305066503.98,9.19,15.37,4.45,1688.03,1.0,667574420.21,14080283.0,11147982.0,843169352.09,,,139018.0,,,,,9.16,,120530.0,,,,139018.0,,55901.0,5537191.0,1086.23,424.88,,,32.09,32.09,29796916.0,1784328223.95,,2298.88,32.09,18.05,0.1148,21.4,0.4967
2006-07-10,20035026.0,1217053757.49,8.45,14.37,4.09,1558.87,1.0,675874664.59,14063517.0,11126186.0,854306663.16,,,2071.0,5.86,,,,0.0,33204.0,18837.0,,,5.86,2071.0,,,55000.0,1089.23,4.41,,,31.97,31.97,29927588.0,1817990324.95,,2318.54,31.96,14.92,0.1036,19.81,0.4554
2006-07-11,21684808.0,1291743389.07,9.15,15.2,4.43,1683.88,1.0,663976634.72,13976011.0,11146336.0,832537683.28,,,62961.0,8.28,,,,11.62,96501.0,154303.0,,,8.28,62961.0,,3837.0,76351.0,1082.13,5.73,,,31.84,31.84,29914652.0,1781987369.09,,2312.81,31.87,18.16,0.1136,21.03,0.4941
2006-07-12,28319732.0,1694758721.92,11.95,20.29,5.78,2184.87,2.0,1068609225.89,13886172.0,17856658.0,831000487.97,,2311.0,112022.0,522.06,0.18,,,22.11,6792455.0,224470.0,,2311.0,522.06,112022.0,,20298.0,82134.0,1066.47,7.64,,,31.79,31.79,29798284.0,1783240805.64,,2290.47,31.77,15.93,0.1938,38.46,0.6483
2006-07-13,27252102.0,1598785103.93,11.5,19.8,5.56,2095.54,2.0,982511369.02,13937982.0,16747404.0,817692448.1,,,85398.0,,,,,2.25,,31277.0,,,,85398.0,,,1109254.0,1067.01,88.12,0.18,,31.91,31.91,29738990.0,1744682087.93,2311.0,2274.69,31.93,12.93,0.1961,39.64,0.6239
2006-07-14,24630532.0,1393759843.25,10.39,17.84,5.03,1853.51,2.0,801979536.44,13914722.0,14172587.0,787387814.18,,,75943.0,8.68,,,,9.22,140034.0,115264.0,,,8.68,75943.0,,16062.0,2714850.0,1040.87,220.88,,,31.8,31.8,29841190.0,1688613640.05,,2232.25,31.8,14.33,0.1547,32.58,0.5629
2006-07-17,24183708.0,1354240377.32,10.2,17.34,4.94,1783.68,1.0,779791036.86,13482154.0,13925326.0,754974271.11,,,194159.0,0.05,,,,58.35,10732.0,626727.0,,,0.05,194159.0,,,257994.0,987.74,34.47,,,30.88,30.88,30174114.0,1689691404.17,,2214.79,30.84,14.57,0.1567,32.7,0.554
2006-07-18,18435136.0,1035948721.15,7.78,13.02,3.76,1350.89,1.0,550934088.96,13295308.0,9804100.0,747119919.26,,,25664.0,,,,,21.93,,239909.0,,,,25664.0,,27398.0,4121225.0,966.45,306.12,,,30.41,30.41,30419092.0,1709378192.6,,2222.77,30.3,12.41,0.1029,20.91,0.4217
2006-07-19,18363448.0,1067230388.33,7.75,13.03,3.75,1348.46,1.0,576924465.71,13165164.0,9926931.0,765121184.66,,2311.0,136922.0,16.06,0.17,,,18.37,210331.0,269376.0,,2311.0,16.06,136922.0,,,87500.0,959.79,6.83,,,30.03,30.03,30676740.0,1782843240.71,,2243.04,29.97,12.4,0.1038,21.37,0.4189
2006-07-20,18240026.0,1061489002.14,7.7,12.92,3.72,1367.18,1.0,560071119.12,13009050.0,9623945.0,757069288.35,,,116038.0,13.05,,,,37.42,97013.0,570241.0,,,13.05,116038.0,,300400.0,400000.0,970.4,28.39,0.17,,30.11,30.11,30190654.0,1756962801.93,2311.0,2254.64,30.09,13.59,0.1069,21.8,0.4222
2006-07-21,18166968.0,1047256686.24,7.66,13.7,3.71,1358.9,1.0,545964862.44,12957051.0,9470960.0,746924764.43,,,131113.0,1.44,,,,14.87,27219.0,195811.0,,,1.44,131113.0,,12700.0,180204.0,964.31,13.14,,,30.08,30.08,30122532.0,1736449529.91,,2242.79,30.07,13.67,0.107,21.98,0.4217
2006-07-24,17914200.0,1059399017.03,7.56,13.82,3.66,1347.94,1.0,546478914.77,12909709.0,9240836.0,763446485.18,,,11715.0,4.16,,,,0.8,20547.0,59058.0,,,4.16,11715.0,,,250670.0,964.95,15.62,,,29.89,29.89,30282824.0,1790847147.99,,2270.48,29.82,13.74,0.107,22.03,0.4148
2006-07-25,16671179.0,1003553590.33,7.03,12.86,3.4,1279.5,1.0,488799513.55,11741809.0,8120009.0,706820710.1,,,91955.0,15.39,,,,93.36,98480.0,1259856.0,,,15.39,91955.0,,,1219307.0,896.12,90.39,,,27.27,27.27,31311956.0,1884883238.56,,2392.83,27.25,14.86,0.1183,23.82,0.3872
2006-07-26,16708781.0,1016963719.1,7.05,13.17,3.41,1296.16,1.0,499479308.97,11751467.0,8206478.0,715241619.67,,28388.0,117491.0,21.74,2.2,,,3.5,224997.0,119027.0,,28388.0,21.74,117491.0,,9084.0,138528.0,907.37,10.36,2.02,,26.97,26.97,31819776.0,1936679745.93,26277.0,2468.42,26.88,14.77,0.1174,23.91,0.3835
2006-07-27,17056294.0,1054178431.49,7.2,13.82,3.48,1338.83,1.0,515924610.36,12063108.0,8347507.0,745570419.36,,,257564.0,9.42,,131000.0,,2.99,78431.0,47395.0,,,9.42,257564.0,10.32,103783.0,68403.0,942.91,4.4,0.18,,27.39,27.39,31976312.0,1976322548.68,2311.0,2509.14,27.31,14.73,0.1164,23.88,0.3873
2006-07-28,17150966.0,1062721852.12,7.24,14.39,3.5,1361.51,1.0,520930480.32,12090573.0,8407149.0,749165739.8,,,106424.0,8.99,,,,0.31,59642.0,78958.0,,,8.99,106424.0,,,,956.61,,,,27.55,27.55,31798268.0,1970309676.04,,2518.08,27.53,14.58,0.1162,23.87,0.3908
2006-07-31,17456730.0,1077557644.47,7.36,15.49,3.56,1388.47,1.0,530996238.22,12240830.0,8602285.0,755593970.99,,,160020.0,19.57,,,,1.08,245958.0,14454.0,,,19.57,160020.0,,4691.0,50822.0,970.21,3.44,,,27.81,27.81,31770002.0,1961077963.62,,2510.42,27.87,14.35,0.1132,23.14,0.3966
2006-08-01,17464114.0,1062936328.17,7.37,15.82,3.56,1381.26,1.0,522658765.5,12196297.0,8587318.0,742315765.37,,,46830.0,0.0,,,,10.06,7019.0,91364.0,,,0.0,46830.0,,,21985.0,960.34,2.66,,,27.76,27.76,31743012.0,1932007579.67,,2492.08,27.82,14.47,0.1135,23.17,0.3975
2006-08-02,17075124.0,1056682352.42,7.2,15.37,3.49,1343.88,1.0,526276096.62,11961780.0,8504192.0,740246561.58,,7923.0,82533.0,6.25,0.63,,,34.4,76081.0,398211.0,,7923.0,6.25,82533.0,,73239.0,159208.0,937.11,14.71,,,27.22,27.22,31988128.0,1979563389.68,,2509.15,27.19,14.77,0.1112,22.47,0.3885
2006-08-03,17139452.0,1052592251.74,7.23,15.59,3.5,1362.37,1.0,525478897.58,12059661.0,8556419.0,740624946.89,,,93226.0,7.96,,,,7.81,52227.0,107200.0,,,7.96,93226.0,,119778.0,,954.04,,0.63,,27.61,27.61,31619912.0,1941886728.46,7923.0,2497.09,27.64,15.18,0.1125,22.57,0.3924
2006-08-04,17245398.0,1069926603.96,7.28,15.79,3.52,1365.44,1.0,539354397.81,11978598.0,8693476.0,743167578.87,,,70090.0,9.7,,,,17.09,137057.0,187953.0,,,9.7,70090.0,,36800.0,,944.58,,,,27.16,27.16,32119438.0,1992731117.04,,2535.84,27.14,15.0,0.1142,23.14,0.3911
2006-08-07,17424000.0,1052289839.53,7.35,15.99,3.56,1388.19,1.0,549432509.42,11634489.0,9097600.0,702643168.21,,,314950.0,40.71,,,,51.9,487702.0,664279.0,,,40.71,314950.0,,5220.0,83578.0,921.95,5.99,,,27.02,27.02,31430332.0,1898176022.54,,2480.01,27.1,14.53,0.124,25.88,0.4046
2006-08-08,16833120.0,1017265310.72,7.1,15.32,3.44,1319.28,1.0,520753212.92,11517000.0,8617124.0,695999587.93,,,71307.0,2.79,,,,23.08,32297.0,193976.0,,,2.79,71307.0,,5180.0,512773.0,896.87,46.84,,,26.71,26.71,31602756.0,1909829395.98,,2462.18,26.7,14.89,0.1162,23.63,0.3904
2006-08-09,17001714.0,1027453845.46,7.17,15.62,3.47,1327.0,1.0,526827572.43,11588198.0,8717639.0,700302251.7,,7923.0,447277.0,8.81,0.61,,,30.82,128386.0,389666.0,,7923.0,8.81,447277.0,,5665.0,27871.0,898.71,2.98,,,27.03,27.03,31284618.0,1890603563.13,,2421.85,27.07,14.79,0.1155,23.5,0.3966
2006-08-10,17360466.0,1024608866.29,7.32,15.73,3.54,1355.63,1.0,530754747.3,11678567.0,8992846.0,689265097.71,,,106887.0,22.25,,,,0.65,281691.0,8595.0,,,22.25,106887.0,,,6484.0,905.71,0.23,0.61,,27.88,27.88,30205488.0,1782717745.91,7923.0,2327.7,28.01,14.93,0.1165,22.98,0.4145
2006-08-11,17377052.0,1019450605.6,7.33,15.33,3.55,1331.05,1.0,526809218.65,11671910.0,8979730.0,684749963.23,,,59925.0,,,,,6.87,,68496.0,,,,59925.0,,1913.0,13116.0,884.62,6.45,,,27.55,27.55,30697414.0,1800909457.64,,2322.71,27.58,14.94,0.1162,22.88,0.4101
2006-08-14,17343100.0,1017458761.01,7.32,15.66,3.54,1318.14,1.0,525876714.83,11558566.0,8963835.0,678100468.86,,,1521.0,,,,,13.14,,158294.0,,,,1521.0,,43430.0,15895.0,867.12,3.48,,,27.43,27.43,30577118.0,1793852113.84,,2306.06,27.33,14.8,0.1159,22.82,0.4116
2006-08-15,17230004.0,1026374951.56,7.27,15.23,3.52,1304.73,1.0,530407934.72,11495645.0,8904086.0,684784639.63,,,67658.0,0.0,,,,10.36,12690.0,136560.0,,,0.0,67658.0,,5981.0,72439.0,859.69,6.71,,,27.4,27.4,30457400.0,1814318351.27,,2311.7,27.11,14.91,0.1171,23.07,0.4107
2006-08-16,17119314.0,1029186350.73,7.22,14.92,3.49,1311.24,1.0,532374945.69,11437431.0,8855436.0,687600441.97,,7923.0,14909.0,4.09,0.61,,,4.31,11412.0,81046.0,,7923.0,4.09,14909.0,,,60062.0,867.83,4.66,,,27.52,27.52,30122648.0,1810926429.03,,2305.45,27.35,14.72,0.1177,23.31,0.4119
2006-08-17,16901300.0,1031997387.94,7.13,14.61,3.45,1308.73,1.0,539811881.2,11334687.0,8840645.0,692098677.45,,,6696.0,,,,,6.16,,101517.0,,,,6696.0,,,14792.0,871.21,0.0,0.61,,27.25,27.25,30263316.0,1847885255.12,7923.0,2342.96,27.11,14.83,0.1162,22.89,0.4063
2006-08-18,19165806.0,1177789668.39,8.09,16.3,3.91,1502.0,1.0,683059659.6,11356346.0,11115218.0,697877615.45,,,27683.0,184.77,,,,0.0,2316084.0,6024.0,,,184.77,27683.0,,,41511.0,885.3,2.45,,,27.38,27.38,30123942.0,1851196222.0,,2350.51,27.36,12.95,0.1564,32.85,0.462
2006-08-21,16914838.0,1029505178.17,7.14,14.2,3.45,1327.2,1.0,535882997.24,11416468.0,8804593.0,694852231.07,,,61565.0,,,,,0.02,,1444.0,,,,61565.0,,,2310625.0,890.2,180.67,,,27.25,27.25,30485684.0,1855481532.73,,2367.03,27.33,14.79,0.1162,22.9,0.4037
2006-08-22,16995478.0,1043750316.95,7.17,14.71,3.47,1334.71,1.0,539905768.18,11432710.0,8791333.0,702121745.92,,,515275.0,,,,,61.49,,797658.0,,,,515275.0,,298625.0,13260.0,892.93,0.71,,,27.31,27.31,30434586.0,1869091812.76,,2374.17,27.33,14.74,0.1179,23.41,0.4059
2006-08-23,17011594.0,1034059007.03,7.18,14.9,3.47,1341.21,1.0,534367546.78,11446952.0,8791030.0,695809212.16,,7923.0,6020.0,2.49,0.61,,,0.48,19344.0,16101.0,,7923.0,2.49,6020.0,,16400.0,19647.0,896.21,1.59,,,27.23,27.23,30588864.0,1859360759.14,,2329.28,27.79,14.69,0.118,23.5,0.4047
2006-08-24,16901242.0,1026024730.37,7.13,14.89,3.45,1325.12,1.0,527242221.71,11438151.0,8685023.0,694376531.36,,,16803.0,1.47,,,,1.94,19000.0,17681.0,,,1.47,16803.0,,,125007.0,890.41,11.53,0.61,,27.26,27.26,30515968.0,1852534733.19,7923.0,2316.05,27.77,14.78,0.1188,23.56,0.4029
2006-08-25,19221608.0,1175938816.29,8.11,17.11,3.92,1503.95,1.0,673166022.46,11309798.0,11003407.0,691910399.62,,,19412.0,183.14,,,,12.21,2353849.0,152526.0,,,183.14,19412.0,,4761.0,35465.0,878.2,2.63,,,26.99,26.99,30588854.0,1871363767.5,,2334.56,27.33,12.89,0.1586,33.22,0.4588
2006-08-28,19285246.0,1185886361.25,8.14,17.96,3.94,1514.28,1.0,677227172.28,11308352.0,11013275.0,695372016.78,,,1428.0,3.46,,,,0.0,23846.0,2874.0,,,3.46,1428.0,,,13978.0,881.8,0.8,,,26.94,26.94,30674692.0,1886245001.93,,2349.44,27.29,12.83,0.1603,33.54,0.4594
2006-08-29,19146436.0,1190123460.69,8.08,18.5,3.91,1509.01,1.0,679640621.75,11255795.0,10933904.0,699649046.86,,,7013.0,0.47,,,,4.18,4761.0,59570.0,,,0.47,7013.0,,,84132.0,881.21,4.61,,,26.83,26.83,30692948.0,1907843187.77,,2367.76,27.12,12.93,0.1587,33.22,0.4564
