,EVAE FP Equity_DX_SI_QTY,EVAE FP Equity_DX_SHORT_INTEREST_VALUE,EVAE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EVAE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EVAE FP Equity_DX_SI_MV,EVAE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EVAE FP Equity_DX_SUPPLY_SI_QTY,EVAE FP Equity_DX_BROKER_SI_QTY,EVAE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EVAE FP Equity_DX_BROKER_SI_MV_NEW_x,EVAE FP Equity_DX_SUPPLY_SI_QTY_INC_x,EVAE FP Equity_DX_BROKER_SI_MV_INC_x,EVAE FP Equity_DX_BROKER_SI_QTY_ADD,EVAE FP Equity_DX_BROKER_SI_QTY_NEW,EVAE FP Equity_DX_SUPPLY_SI_MV_DEC,EVAE FP Equity_DX_BROKER_SI_QTY_INC,EVAE FP Equity_DX_SUPPLY_SI_QTY_DEC,EVAE FP Equity_DX_BROKER_SI_MV_NEW_y,EVAE FP Equity_DX_BROKER_SI_MV_INC_y,EVAE FP Equity_DX_SUPPLY_SI_QTY_INC_y,EVAE FP Equity_DX_BROKER_SI_MV_ADD,EVAE FP Equity_DX_SUPPLY_SI_QTY_ADD,EVAE FP Equity_DX_BROKER_SI_QTY_DEC,EVAE FP Equity_DX_SUPPLY_SI_MV,EVAE FP Equity_DX_BROKER_SI_MV_DEC,EVAE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EVAE FP Equity_DX_UTILIZATION_QUANTITY,EVAE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EVAE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EVAE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EVAE FP Equity_DX_ACTIVE_UTILIZATION_MV,EVAE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EVAE FP Equity_DX_BROKER_SI_CON_RATIO,EVAE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EVAE FP Equity_DX_DEMAND_SUPPLY_RATIO,EVAE FP Equity_PX_LAST
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.421
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.93
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.468
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.511
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.982
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.984
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.932
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.981
2016-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.118
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.245
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.802
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.831
2016-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.701
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.131
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.321
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.359
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.285
2016-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.873
2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.528
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.082
2016-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.443
2016-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.303
2016-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.32
2016-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.101
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.482
2016-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.329
2016-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.023
2016-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.651
2016-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.563
2016-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.418
2016-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.571
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.936
2016-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.168
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.077
2016-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.286
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.761
2016-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.46
2016-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.836
2016-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.977
2016-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.119
2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.178
2016-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.136
2016-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.153
2016-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.206
2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.607
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.239
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.478
2016-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.317
2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.875
2016-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.585
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.917
2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.059
2016-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.479
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.063
2016-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.819
2016-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.016
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.693
2016-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.495
2016-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.283
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.024
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.029
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.723
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.639
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.746
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.351
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.082
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.393
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.866
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.652
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.321
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.675
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.999
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.133
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.945
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.864
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.814
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.377
2016-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.312
2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.888
2016-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.853
2016-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.565
2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.437
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.996
2016-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.594
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.822
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.751
2016-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.587
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.688
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.735
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.773
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.702
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.131
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.696
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.015
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.221
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.874
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.055
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.213
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.037
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.392
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.619
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.426
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.677
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.08
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.46
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.697
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.921
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.828
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.407
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.636
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.525
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.633
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.869
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.809
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.088
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.623
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.604
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.754
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.834
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.153
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.375
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.858
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.418
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.592
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.534
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.957
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.91
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.156
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.358
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.893
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.552
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.608
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.818
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.322
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.295
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.189
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.454
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.41
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.17
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.496
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.954
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.956
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.653
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.543
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.967
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.713
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.841
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.706
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.976
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.493
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.72
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.62
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.253
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.34
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.716
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.672
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.159
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.261
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.561
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.393
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.449
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.222
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.875
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.705
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.736
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.387
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.564
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.052
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.597
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.511
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.005
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.125
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.628
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.214
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.522
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.495
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.391
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.946
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.432
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.593
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.885
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.132
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.502
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.893
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.001
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.171
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.297
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.568
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.994
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.721
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.909
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.899
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.748
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.311
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.089
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.631
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.16
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.585
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.889
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.823
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.813
