,SRIC5 FP Equity_DX_SI_QTY,SRIC5 FP Equity_DX_SHORT_INTEREST_VALUE,SRIC5 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIC5 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIC5 FP Equity_DX_SI_MV,SRIC5 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIC5 FP Equity_DX_SUPPLY_SI_QTY,SRIC5 FP Equity_DX_BROKER_SI_QTY,SRIC5 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIC5 FP Equity_DX_BROKER_SI_MV_INC_x,SRIC5 FP Equity_DX_BROKER_SI_QTY_ADD,SRIC5 FP Equity_DX_SUPPLY_SI_MV_DEC,SRIC5 FP Equity_DX_BROKER_SI_QTY_INC,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIC5 FP Equity_DX_BROKER_SI_MV_INC_y,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIC5 FP Equity_DX_BROKER_SI_MV_ADD,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIC5 FP Equity_DX_BROKER_SI_QTY_DEC,SRIC5 FP Equity_DX_SUPPLY_SI_MV,SRIC5 FP Equity_DX_BROKER_SI_MV_DEC,SRIC5 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIC5 FP Equity_DX_UTILIZATION_QUANTITY,SRIC5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIC5 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIC5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIC5 FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIC5 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIC5 FP Equity_DX_BROKER_SI_CON_RATIO,SRIC5 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIC5 FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIC5 FP Equity_PX_LAST
2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0037
2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0025
2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0054
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0068
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0015
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0042
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9893
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9953
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9979
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0074
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9951
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9985
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9919
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9816
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9834
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9745
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9761
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9868
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9929
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9955
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9983
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0053
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0057
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0049
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0148
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0201
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0161
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0265
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0279
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0435
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.039
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0374
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0371
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0373
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0351
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0453
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0433
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0441
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0467
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0519
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0471
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.048
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0526
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0584
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0491
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0363
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0307
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0292
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9946
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9716
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9762
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.003
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0084
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9976
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9498
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8328
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8489
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8537
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6937
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7192
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.46
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3064
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.077
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2016
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3092
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2609
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3692
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3259
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4432
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4365
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4412
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4524
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4145
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4276
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4177
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4705
2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5313
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5612
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7294
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8177
2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6957
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6885
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6851
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6629
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6253
2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6605
2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6847
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7031
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7148
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7073
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.723
2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7357
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7176
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7228
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6903
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6932
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7037
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6937
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6889
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6647
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6418
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6351
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6516
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6571
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6848
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7075
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7011
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.718
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7204
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.747
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7663
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7736
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7836
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7881
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8501
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8943
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9701
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9152
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8837
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8556
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8288
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8636
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8538
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8825
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8682
2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8501
2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8612
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8561
2020-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8625
2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8524
2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8421
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8404
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8567
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8854
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8727
2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.911
2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8965
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9046
2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8942
2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9031
2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8916
2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8916
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9049
2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8989
2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9265
2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9341
2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9295
2020-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9545
2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.972
2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9767
2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9789
2020-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9571
2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9706
2020-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9793
2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9661
2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9455
2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9689
2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9618
2020-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9818
2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9836
2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9988
2020-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0016
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.014
2020-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.016
2020-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0126
2020-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0031
2020-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9887
2020-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9798
2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0038
2020-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0009
2020-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0026
2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0125
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0162
2020-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9879
2020-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9863
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99
2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9905
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9814
2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9895
2020-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0196
2020-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0166
2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0085
2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0141
2020-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0087
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0026
2020-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9918
2020-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0093
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0024
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0171
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0117
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0177
2020-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0198
2020-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0047
2020-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9999
2020-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0078
2020-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9831
2020-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.982
2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9928
2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9976
2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0136
2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.025
2020-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0235
2020-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0365
2020-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0451
2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0395
2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0521
2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.054
2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0681
2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0674
2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0637
2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0539
2020-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0739
2020-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0773
2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0679
2020-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.071
2020-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0691
2020-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0718
2020-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0606
2020-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0677
2020-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0425
2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0514
2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0511
2020-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0503
2020-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0588
2020-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0718
2020-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.086
2020-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0977
2020-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1075
2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.096
2020-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1043
2020-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.111
2020-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.107
2020-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1117
2020-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.118
2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1231
2020-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1226
2020-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1249
2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1306
2020-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1338
2020-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1361
2020-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1357
2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1346
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1273
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1251
2020-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1267
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1339
