,MTA FP Equity_DX_SI_QTY,MTA FP Equity_DX_SHORT_INTEREST_VALUE,MTA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MTA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MTA FP Equity_DX_SI_MV,MTA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MTA FP Equity_DX_SUPPLY_SI_QTY,MTA FP Equity_DX_BROKER_SI_QTY,MTA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MTA FP Equity_DX_BROKER_SI_MV_NEW_x,MTA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MTA FP Equity_DX_SUPPLY_SI_QTY_INC_x,MTA FP Equity_DX_BROKER_SI_MV_INC_x,MTA FP Equity_DX_SUPPLY_SI_MV_NEW,MTA FP Equity_DX_BROKER_SI_QTY_ADD,MTA FP Equity_DX_BROKER_SI_QTY_NEW,MTA FP Equity_DX_SUPPLY_SI_MV_DEC,MTA FP Equity_DX_BROKER_SI_QTY_INC,MTA FP Equity_DX_SUPPLY_SI_QTY_DEC,MTA FP Equity_DX_BROKER_SI_MV_NEW_y,MTA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MTA FP Equity_DX_BROKER_SI_MV_INC_y,MTA FP Equity_DX_SUPPLY_SI_QTY_INC_y,MTA FP Equity_DX_BROKER_SI_MV_ADD,MTA FP Equity_DX_SUPPLY_SI_QTY_ADD,MTA FP Equity_DX_BROKER_SI_QTY_DEC,MTA FP Equity_DX_SUPPLY_SI_MV,MTA FP Equity_DX_BROKER_SI_MV_DEC,MTA FP Equity_DX_SUPPLY_SI_MV_RMV,MTA FP Equity_DX_BROKER_SI_MV_RMV,MTA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MTA FP Equity_DX_UTILIZATION_QUANTITY,MTA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MTA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MTA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MTA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MTA FP Equity_DX_ACTIVE_UTILIZATION_MV,MTA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MTA FP Equity_DX_BROKER_SI_CON_RATIO,MTA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MTA FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-07-15,28500.0,3605819.9,3.02,0.66,3.6,2403879.94,9500.0,19000.0,1201939.97,,,,,,,,,,,,,,,,,3500.0,1.2,0.45,,,31.73,23.55,20440.0,2586068.73,,2.58,31.73,49.98,0.5,50.02,0.7065
2016-07-18,28500.0,3607957.53,3.0,0.66,3.61,2405305.02,9500.0,19000.0,1202652.51,,,,,,,,,,,,,,,,,,1.2,,,,31.73,23.55,20440.0,2587601.82,,2.59,31.73,49.99,0.5,50.01,0.7065
2016-07-19,28500.0,3605392.42,2.99,0.66,3.61,2403594.95,9500.0,19000.0,1201797.47,,,,,,,,,,,,,,,,,,1.2,,,,31.78,23.58,20390.0,2579436.89,,2.58,31.78,49.98,0.5,50.02,0.7074
2016-07-20,65645.0,8305733.73,6.47,1.51,8.31,4807950.06,27645.0,38000.0,3497783.67,,,18145.0,,,19000.0,,,,,,,,18145.0,2.41,,,3.5,,,,100.0,68.65,0.0,0.0,,0.0,100.0,25.0,0.375,50.0,1.6302
2016-07-21,51054.0,6461138.99,4.93,1.18,6.47,4700885.49,13909.0,37145.0,1760253.5,,,,,,,,1.74,,13736.0,,,,,,,855.0,1.76,0.11,,,46.57,34.54,15959.0,2019691.25,,2.02,46.57,25.58,0.3694,48.84,1.2679
2016-07-22,37318.0,4722219.75,3.6,0.86,4.73,2962174.88,13909.0,23409.0,1760044.87,,,,,,,,,,,,,,,,,13736.0,1.76,1.75,,,46.57,34.54,15959.0,2019451.87,,2.02,46.57,40.58,0.3649,40.58,0.9267
2016-07-25,32909.0,4162824.05,3.61,0.76,4.17,2961121.52,9500.0,23409.0,1201702.53,,,,,,,,0.56,,4409.0,,,,,,,,1.2,,,,31.81,23.59,20368.0,2576450.22,,2.58,31.81,40.57,0.3648,40.59,0.8172
2016-07-26,28500.0,3606532.45,3.13,0.66,3.6,2404354.97,9500.0,19000.0,1202177.48,,,,,,,,,,,,,,,,,4409.0,1.2,0.56,,,31.81,23.59,20368.0,2577468.52,,2.58,31.81,49.99,0.5,50.01,0.7078
2016-07-27,28500.0,3604822.52,3.26,0.66,3.63,2403215.01,9500.0,19000.0,1201607.51,,,,,,,,,,,,,,,,,,1.21,,,,31.81,23.59,20368.0,2576246.49,,2.59,31.81,49.99,0.5,50.01,0.7078
2016-07-28,28500.0,3604252.4,3.27,0.66,3.61,2402834.93,9500.0,19000.0,1201417.47,,,,,,,,,,,,,,,,,,1.2,,,,31.81,23.59,20368.0,2575839.05,,2.58,31.81,50.0,0.5,50.0,0.7078
2016-07-29,28500.0,3605107.58,3.23,0.66,3.61,2403405.05,9500.0,19000.0,1201702.53,,,,,,,,,,,,,,,,,,1.2,,,,31.81,23.59,20368.0,2576450.22,,2.58,31.81,49.99,0.5,50.01,0.7078
2016-08-01,28500.0,3606390.03,2.31,0.65,3.6,2404260.02,9500.0,19000.0,1202130.01,,,,,,,,,,,,,,,,,,1.2,,,,31.81,23.59,20368.0,2577366.74,,2.57,31.81,49.99,0.5,50.01,0.7078
2016-08-02,28500.0,3606247.6,2.32,0.65,3.61,2404165.07,9500.0,19000.0,1202082.53,,,,,,,,,,,,,,,,,,1.2,,,,31.81,23.59,20368.0,2577264.95,,2.58,31.81,50.0,0.5,50.0,0.7078
2016-08-03,28500.0,3604964.94,2.32,0.65,3.6,2403309.96,9500.0,19000.0,1201654.98,,,,,,,,,,,,,,,,,,1.2,,,,31.81,23.59,20368.0,2576348.28,,2.57,31.81,49.99,0.5,50.01,0.7078
2016-08-04,30100.0,3810358.89,2.26,0.67,3.8,2607753.92,9500.0,20600.0,1202604.97,,,,0.2,,,,,1600.0,,,,0.2,,,,,1.2,,,,31.81,23.59,20368.0,2578385.05,,2.57,31.81,46.1,0.503,53.9,0.7475
2016-08-05,30100.0,3809907.41,2.25,0.67,3.81,2607444.94,9500.0,20600.0,1202462.47,,,,,,,,,,,,,,,,,,1.2,,,,100.0,23.59,0.0,0.0,,0.0,100.0,46.12,0.503,53.88,0.7475
2016-08-08,30100.0,3809756.99,2.56,0.67,3.81,2607341.99,9500.0,20600.0,1202415.0,,,,,,,,,,,,,,,,,,1.2,,,,100.0,23.5,0.0,0.0,,0.0,100.0,46.12,0.503,53.88,0.7447
2016-08-09,30100.0,3811262.08,3.0,0.67,3.82,2608372.06,9500.0,20600.0,1202890.03,,,,,,,,,,,,,,,,,,1.2,,,,100.0,23.5,0.0,0.0,,0.0,100.0,46.11,0.503,53.89,0.7447
2016-08-10,50200.0,6356825.86,5.07,1.12,6.36,4305419.91,16200.0,34000.0,2051405.96,,,6700.0,1.71,,,,,13400.0,,,,1.71,6700.0,,,,2.05,,,,54.32,40.13,13622.0,1724953.82,,1.73,54.32,47.65,0.5011,52.35,1.2434
2016-08-11,53200.0,6738312.19,5.33,1.19,6.72,4559760.13,17200.0,36000.0,2178552.06,,,1000.0,0.24,,,,,2000.0,,,,0.24,1000.0,,,,2.17,,,,58.4,43.0,12250.0,1551585.04,,1.55,58.4,47.77,0.501,52.23,1.33
2016-08-15,56200.0,7110985.93,5.75,1.26,7.12,4808139.95,18200.0,38000.0,2302845.98,,,1000.0,0.26,,,,,2000.0,,,,0.26,1000.0,,,,2.31,,,,62.14,45.69,11088.0,1402964.63,,1.4,62.14,47.91,0.5009,52.09,1.4107
2016-08-16,56200.0,7109300.0,6.28,1.26,7.12,4807000.0,18200.0,38000.0,2302300.0,,,,,,,,,,,,,,,,,,2.3,,,,62.14,45.69,11088.0,1402632.0,,1.4,62.14,47.9,0.5009,52.1,1.4107
2016-08-17,56200.0,7110142.97,6.32,1.26,7.12,4807569.98,18200.0,38000.0,2302572.99,,,,,,,,,,,,,,,,,,2.3,,,,62.14,45.69,11088.0,1402798.31,,1.4,62.14,47.89,0.5009,52.11,1.4107
2016-08-18,56200.0,7109580.85,6.28,1.26,7.13,4807189.9,18200.0,38000.0,2302390.95,,,,,,,,,,,,,,,,,,2.31,,,,62.14,45.69,11088.0,1402687.41,,1.41,62.14,47.9,0.5009,52.1,1.4107
2016-08-19,56200.0,7109580.85,6.35,1.26,7.11,4807189.9,18200.0,38000.0,2302390.95,,,,,,,,,,,,,,,,,,2.3,,,,62.14,45.69,11088.0,1402687.41,,1.4,62.14,47.89,0.5009,52.11,1.4107
2016-08-22,54200.0,6858738.9,6.68,1.21,6.86,4808709.93,16200.0,38000.0,2050028.97,,,,,,,,0.25,,2000.0,,,,,,,,2.05,,,,55.31,40.66,13088.0,1656220.94,,1.66,55.31,47.89,0.5009,52.11,1.3605
2016-08-23,52200.0,6606693.13,6.41,1.17,6.6,4556340.09,16200.0,36000.0,2050353.04,,,,,,,,,,,,,,,,,2000.0,2.05,0.26,,,55.31,40.66,13088.0,1656482.75,,1.65,55.31,49.45,0.5001,50.55,1.3103
2016-08-24,50200.0,6353563.12,6.21,1.12,6.35,4303210.08,16200.0,34000.0,2050353.04,,,,,,,,,,,,,,,,,2000.0,2.05,0.26,,,55.31,40.66,13088.0,1656482.75,,1.66,55.31,47.65,0.5011,52.35,1.2601
2016-08-25,40800.0,5163240.12,5.24,0.91,5.17,3707915.09,11500.0,29300.0,1455325.04,,,,,,,,0.59,,4700.0,,,,,,,4700.0,1.46,0.59,,,39.27,28.87,17788.0,2251071.45,,2.25,39.27,44.71,0.5056,55.29,1.0241
2016-08-26,36100.0,4568274.43,4.78,0.81,4.55,3113006.95,11500.0,24600.0,1455267.48,,,,,,,,,,,,,,,,,4700.0,1.45,0.61,,,39.27,28.87,17788.0,2250982.43,,2.24,39.27,46.75,0.5021,53.25,0.9062
2016-08-29,36100.0,4567371.88,2.14,0.75,4.57,3112391.92,11500.0,24600.0,1454979.96,,,,,,,,,,,,,,,,,,1.46,,,,39.27,28.87,17788.0,2250537.7,,2.25,39.27,46.75,0.5021,53.25,0.9062
2016-08-30,26600.0,3365964.02,1.58,0.55,3.36,3112884.02,2000.0,24600.0,253080.0,,,,,,,,1.21,,9500.0,,,,,,,,0.25,,,,6.83,5.02,27288.0,3453023.54,,3.45,6.83,46.74,0.5021,53.26,0.6677
2016-08-31,7600.0,961551.97,0.45,0.16,0.96,708511.98,2000.0,5600.0,253039.99,,,,,,,,,,,,,,,,,19000.0,0.25,2.4,,,6.83,5.02,27288.0,3452477.67,,3.45,6.83,35.72,0.5408,64.28,0.1908
2016-09-01,7600.0,961437.98,0.45,0.16,0.96,708427.98,2000.0,5600.0,253009.99,,,,,,,,,,,,,,,,,,0.25,,,,6.83,5.02,27288.0,3452068.37,,3.45,6.83,35.72,0.5408,64.28,0.1908
2016-09-02,12100.0,1530347.48,0.68,0.25,1.53,1087684.99,3500.0,8600.0,442662.49,,,1500.0,0.19,,1500.0,,,1500.0,,,,0.19,1500.0,0.19,,,0.44,,,,11.95,8.79,25788.0,3261537.26,,3.26,11.95,40.7,0.3713,41.86,0.3037
2016-09-05,12100.0,1530528.97,0.67,0.25,1.53,1087813.98,3500.0,8600.0,442714.99,,,,,,,,,,,,,,,,,,0.44,,,,11.95,8.79,25788.0,3261924.06,,3.26,11.95,40.69,0.3713,41.87,0.3037
2016-09-06,12100.0,1531981.01,0.67,0.25,1.53,1088846.01,3500.0,8600.0,443135.0,,,,,,,,,,,,,,,,,,0.44,,,,11.95,8.79,25788.0,3265018.7,,3.27,11.95,40.68,0.3713,41.88,0.3037
2016-09-07,25400.0,3215767.09,1.4,0.52,3.22,2380174.06,6600.0,18800.0,835593.02,,,3100.0,1.29,,,,,10200.0,,,,1.29,3100.0,,,,0.84,,,,22.53,16.57,22688.0,2872414.32,,2.87,22.53,35.11,0.3692,45.75,0.6376
2016-09-08,25400.0,3213100.0,1.4,0.52,3.22,2378200.0,6600.0,18800.0,834900.0,,,,,,,,,,,,,,,,,,0.84,,,,21.82,16.18,23653.0,2992104.5,,3.0,21.82,35.11,0.3692,45.75,0.6225
2016-09-09,27400.0,3465278.03,1.52,0.56,3.47,2377636.02,8600.0,18800.0,1087642.01,,,2000.0,,,,,,,,,,,2000.0,,,,1.09,,,,28.52,21.13,21551.0,2725555.0,,2.73,28.52,35.11,0.3692,45.75,0.6732
2016-09-12,25400.0,3210560.04,1.76,0.52,3.21,2123520.03,8600.0,16800.0,1087040.01,,,,,,,,,,,,,,,,,2000.0,1.09,0.25,,,28.52,21.13,21551.0,2724046.43,,2.73,28.52,39.29,0.4255,51.19,0.6241
2016-09-13,27400.0,3462538.08,1.88,0.56,3.46,2375756.05,8600.0,18800.0,1086782.02,,,,0.25,,,,,2000.0,,,,0.25,,,,,1.09,,,,28.52,21.13,21551.0,2723399.93,,2.72,28.52,45.74,0.4257,45.74,0.6732
2016-09-14,50800.0,6421373.94,3.31,1.04,6.42,4348331.96,16400.0,34400.0,2073041.98,,,7800.0,1.98,,,,,15600.0,,,,1.98,7800.0,,,,2.07,,,,54.39,40.44,13751.0,1738195.14,,1.74,54.39,47.67,0.4567,47.68,1.2527
2016-09-15,85000.0,10748675.16,6.19,1.73,10.75,7233226.1,27800.0,57200.0,3515449.05,,,11400.0,2.88,,,,,22800.0,,,,2.88,11400.0,,,,3.51,,,,100.0,68.56,0.0,0.0,,0.0,100.0,48.6,0.4732,48.6,2.0961
2016-09-16,85000.0,10749524.69,6.16,1.73,10.74,7233797.79,27800.0,57200.0,3515726.9,,,,,,,,,,,,,,,,,,3.51,,,,100.0,68.59,0.0,0.0,,0.0,100.0,48.6,0.4732,48.6,2.0973
2016-09-19,89000.0,11253604.97,5.63,1.79,11.25,7485543.98,29800.0,59200.0,3768060.99,,,2000.0,0.26,,,,,2000.0,,,,0.26,2000.0,,,,3.77,,,,100.0,73.53,0.0,0.0,,0.0,100.0,46.96,0.4746,50.34,2.196
2016-09-20,97900.0,12385818.44,6.15,1.97,12.37,8615671.46,38700.0,68100.0,4896130.48,,,,,,8900.0,,,,,,,,,1.12,8900.0,,4.89,,,,100.0,94.44,0.0,0.0,,0.0,100.0,40.82,0.3758,43.76,2.389
2016-09-21,76400.0,9663454.05,4.71,1.53,9.69,8613628.54,17200.0,68100.0,2175542.01,,,,,,,,2.71,,21500.0,,,,,,,,2.18,,,,43.57,41.97,22279.0,2817959.33,,2.83,43.57,40.82,0.3758,43.76,1.8644
2016-09-22,34900.0,4416246.03,2.12,0.7,4.41,3365964.02,17200.0,26600.0,2176488.02,,,,,,,,,,,,,,,,,41500.0,2.17,5.23,,,43.57,15.73,22279.0,2819184.68,,2.81,43.57,31.2,0.2989,33.46,0.3191
2016-09-23,58942.0,7456457.55,3.59,1.18,7.46,5343824.09,23942.0,42242.0,3028782.64,,,8400.0,2.19,,,,0.21,17300.0,1658.0,,,2.19,8400.0,,,1658.0,3.03,0.21,,,63.3,21.89,13879.0,1755762.86,,1.76,63.3,39.53,0.3434,39.53,0.5389
2016-09-26,58942.0,7459699.38,3.44,1.18,7.46,5346147.42,33442.0,42242.0,4232419.44,,,,,,,,,,,,,,,,9500.0,,4.23,,,,31.48,30.57,72779.0,9210910.06,,9.21,31.48,39.53,0.3434,39.53,0.5389
2016-09-27,58942.0,7456457.55,3.41,1.18,7.46,5343824.09,33442.0,42242.0,4230580.12,,,,,,,,,,,,,,,,,,4.23,,,,31.51,30.6,72687.0,9195268.74,,9.19,31.51,39.53,0.3434,39.54,0.5393
2016-09-28,51142.0,6471253.16,2.13,1.04,6.48,5345091.62,25642.0,42242.0,3244610.56,,,,,,,,0.99,,7800.0,,,,,,,,3.25,,,,24.16,23.46,80487.0,10184422.84,,10.2,24.16,39.53,0.3434,39.54,0.468
2016-09-29,26642.0,3371278.7,1.11,0.54,3.37,3371278.7,16742.0,26642.0,2118532.7,,,,,,,,1.13,,8900.0,,,,,,,15600.0,2.12,1.97,,,22.13,15.32,58900.0,7453206.05,,7.45,22.13,33.41,0.3007,33.41,0.2438
2016-09-30,18342.0,2321271.82,0.76,0.37,2.32,1118999.31,16742.0,8842.0,2118783.82,,,,,,,,,,,,,,,,,17800.0,2.12,2.25,,,22.13,15.32,58900.0,7454089.52,,7.46,22.13,8.72,0.8407,91.28,0.1678
2016-10-03,18342.0,2321822.05,0.76,0.37,2.32,1119264.56,16742.0,8842.0,2119286.05,,,,,,,,,,,,,,,,,,2.12,,,,22.13,15.32,58900.0,7455856.45,,7.45,22.13,8.72,0.8408,91.28,0.1678
2016-10-04,50842.0,6432529.67,2.05,1.03,6.43,5939101.68,16742.0,46942.0,2118197.78,,,,,,38100.0,,,,,,,,,4.81,,,2.12,,,,22.13,15.32,58900.0,7452027.8,,7.46,22.14,25.03,0.3604,49.85,0.4652
2016-10-05,81342.0,10286102.76,3.27,1.65,10.28,8768642.74,37542.0,69342.0,4747373.68,,,12700.0,1.52,,12000.0,,0.49,12000.0,3900.0,,,1.52,12700.0,1.52,12000.0,1600.0,4.75,0.2,,,36.72,34.35,64687.0,8179994.7,,8.18,36.72,35.68,0.3017,36.53,0.7443
2016-10-06,81342.0,10284882.68,3.23,1.65,10.27,8767602.65,37542.0,69342.0,4746810.57,,,,,,,,,,,,,,,,,,4.74,,,,36.72,34.35,64687.0,8179024.44,,8.17,36.72,35.67,0.3017,36.54,0.7443
2016-10-07,77442.0,9794864.42,3.07,1.57,9.81,8277104.38,37542.0,65442.0,4748312.29,,,,,,,,,,,,,,,,,3900.0,4.76,0.49,,,36.74,34.36,64654.0,8177438.14,,8.2,36.74,37.8,0.3292,38.73,0.7088
2016-10-10,82552.0,10435811.16,4.5,1.67,10.42,7850371.56,33152.0,62100.0,4190910.11,,,,,,,,0.58,,4390.0,,,,,,,3342.0,4.19,0.42,,,33.54,30.34,65702.0,8305718.39,,8.3,33.54,35.06,0.2953,35.91,0.7556
2016-10-11,73552.0,9303592.32,4.02,1.46,9.28,7855028.87,24152.0,62100.0,3054986.43,,,,,,,,1.15,,9000.0,,,,,,,,3.05,,,,24.45,22.12,74626.0,9439442.58,,9.42,24.45,35.05,0.2953,35.92,0.6737
2016-10-12,55552.0,7023439.38,3.14,1.11,7.0,5575563.01,24152.0,44100.0,3053537.37,,,,,,,,,,,,,,,,,18000.0,3.05,2.29,,,24.45,22.12,74626.0,9434965.2,,9.42,24.45,29.93,0.3515,48.24,0.5088
2016-10-13,55552.0,7023995.02,3.16,1.11,7.02,5576004.11,24152.0,44100.0,3053778.94,,,,,,,,,,,,,,,,,,3.06,,,,24.45,22.12,74626.0,9435711.62,,9.45,24.45,29.93,0.3515,48.24,0.5088
2016-10-14,55552.0,7023439.38,3.01,1.11,7.0,5575563.01,24152.0,44100.0,3053537.37,,,,,,,,,,,,,,,,,,3.05,,,,24.45,22.12,74626.0,9434965.2,,9.42,24.44,29.93,0.3515,48.24,0.5088
2016-10-17,55552.0,7021217.25,3.0,1.09,7.01,5573798.97,24152.0,44100.0,3052571.27,,,,,,,,,,,,,,,,,,3.05,,,,24.45,22.12,74626.0,9431980.09,,9.43,24.45,29.93,0.3515,48.24,0.5088
2016-10-18,55552.0,7025383.48,2.96,1.09,7.01,5577106.34,24152.0,44100.0,3054382.59,,,,,,,,,,,,,,,,,,3.05,,,,24.45,22.12,74626.0,9437576.82,,9.43,24.45,29.92,0.3515,48.25,0.5088
2016-10-19,58852.0,7441835.22,3.1,1.16,7.43,5576444.87,27452.0,44100.0,3471305.32,,,3300.0,,,,,,,,,,,3300.0,,,,3.47,,,,27.79,25.14,71326.0,9019172.48,,9.02,27.79,28.16,0.3146,45.39,0.539
2016-10-20,55552.0,7024550.23,2.9,1.09,7.0,5576444.87,24152.0,44100.0,3054020.33,,,,,,,,0.42,,3300.0,,,,,,,,3.05,,,,26.89,24.1,65665.0,8303339.05,,8.29,26.89,29.93,0.3515,48.24,0.5543
2016-10-21,76476.0,9669242.87,3.98,1.5,9.67,7345873.36,31076.0,58100.0,3929093.98,,,7000.0,1.77,,,,0.02,14000.0,76.0,,,1.77,7000.0,,,,3.93,,,,34.6,31.01,58741.0,7426918.19,,7.44,34.6,34.19,0.3009,38.12,0.7631
2016-10-24,69890.0,8837241.03,3.61,1.37,8.83,7346454.48,24490.0,58100.0,3096638.04,,,,,,,,0.84,,6586.0,,,,,,,,3.1,,,,27.27,24.44,65327.0,8260272.5,,8.26,27.27,37.96,0.3521,42.32,0.6974
2016-10-25,57190.0,7228816.09,2.94,1.12,7.23,4133280.05,24490.0,32700.0,3095536.04,,,,,,,,,,,,,,,,,25400.0,3.1,3.2,,,27.27,24.44,65327.0,8257332.9,,8.26,27.27,26.91,0.3502,48.1,0.5707
2016-10-26,41100.0,5193807.11,2.18,0.81,5.19,3930107.09,13700.0,31100.0,1731269.04,,,,,,7400.0,,1.36,,10790.0,,,,,0.93,,9000.0,1.73,1.13,,,15.29,13.7,75878.0,9588703.07,,9.59,15.3,32.18,0.3543,44.09,0.4111
2016-10-27,41100.0,5190313.65,2.18,0.8,5.19,3927463.61,13700.0,31100.0,1730104.55,,,,,,,,,,,,,,,,,,1.73,,,,15.29,13.7,75878.0,9582253.51,,9.59,15.3,32.18,0.3543,44.09,0.4111
2016-10-28,31100.0,3926219.59,1.59,0.61,3.94,3926219.59,3700.0,31100.0,467106.51,,,,,,,,1.26,,10000.0,,,,,,,,0.47,,,,5.41,3.7,64700.0,8168051.68,,8.2,5.41,32.18,0.3542,44.08,0.3111
2016-10-31,11100.0,1400653.47,0.63,0.22,1.4,1400653.47,3700.0,11100.0,466884.49,,,,,,,,,,,,,,,,,20000.0,0.47,2.53,,,5.41,3.7,64700.0,8164169.34,,8.18,5.41,33.39,0.5551,66.61,0.111
2016-11-01,11100.0,1400819.97,0.62,0.22,1.4,1400819.97,3700.0,11100.0,466939.99,,,,,,,,,,,,,,,,,,0.47,,,,5.41,3.7,64700.0,8165139.8,,8.17,5.41,33.39,0.5551,66.61,0.111
2016-11-02,11100.0,1401874.48,0.63,0.22,1.4,1401874.48,3700.0,11100.0,467291.49,,,,,,,,,,,,,,,,,,0.47,,,,100.0,3.7,0.0,0.0,,0.0,100.0,33.38,0.5552,66.62,0.111
2016-11-03,11100.0,1401541.49,0.63,0.22,1.4,1401541.49,3700.0,11100.0,467180.5,,,,,,,,,,,,,,,,,,0.47,,,,100.0,3.7,0.0,0.0,,0.0,100.0,33.4,0.5551,66.6,0.111
