,STU FP Equity_DX_SI_QTY,STU FP Equity_DX_SHORT_INTEREST_VALUE,STU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STU FP Equity_DX_SI_MV,STU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STU FP Equity_DX_SUPPLY_SI_QTY,STU FP Equity_DX_BROKER_SI_QTY,STU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STU FP Equity_DX_BROKER_SI_MV_NEW_x,STU FP Equity_DX_SUPPLY_SI_QTY_INC_x,STU FP Equity_DX_BROKER_SI_MV_INC_x,STU FP Equity_DX_BROKER_SI_QTY_ADD,STU FP Equity_DX_BROKER_SI_QTY_NEW,STU FP Equity_DX_SUPPLY_SI_MV_DEC,STU FP Equity_DX_BROKER_SI_QTY_INC,STU FP Equity_DX_SUPPLY_SI_QTY_DEC,STU FP Equity_DX_BROKER_SI_MV_NEW_y,STU FP Equity_DX_BROKER_SI_MV_INC_y,STU FP Equity_DX_SUPPLY_SI_QTY_INC_y,STU FP Equity_DX_BROKER_SI_MV_ADD,STU FP Equity_DX_SUPPLY_SI_QTY_ADD,STU FP Equity_DX_BROKER_SI_QTY_DEC,STU FP Equity_DX_SUPPLY_SI_MV,STU FP Equity_DX_BROKER_SI_MV_DEC,STU FP Equity_DX_BROKER_SI_MV_RMV,STU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STU FP Equity_DX_UTILIZATION_QUANTITY,STU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STU FP Equity_DX_ACTIVE_UTILIZATION_MV,STU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STU FP Equity_DX_BROKER_SI_CON_RATIO,STU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STU FP Equity_DX_DEMAND_SUPPLY_RATIO,STU FP Equity_PX_LAST
2002-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.58
2002-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.52
2002-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44
2002-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.22
2002-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.98
2002-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.74
2002-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44
2002-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5
2002-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1
2002-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.34
2002-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.14
2002-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.52
2002-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22
2002-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.81
2002-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.82
2002-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2
2002-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8
2002-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3
2002-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9
2002-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.56
2002-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6
2002-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9
2002-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22
2002-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.55
2002-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.79
2002-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2
2002-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25
2002-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1
2002-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7
2002-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7
2002-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5
2002-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.05
2002-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8
2002-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1
2002-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.55
2002-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.27
2002-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.03
2002-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.61
2002-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.28
2002-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.42
2002-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08
2002-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.25
2002-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.16
2002-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35
2002-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3
2002-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86
2002-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.35
2002-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.64
2002-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53
2002-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.22
2002-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.98
2002-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.05
2002-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.27
2002-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.93
2002-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.62
2002-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.72
2002-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.56
2002-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65
2002-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.82
2002-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.84
2002-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6
2002-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57
2002-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.86
2002-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.65
2002-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.32
2002-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91
2002-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69
2002-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.32
2002-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.44
2002-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.98
2002-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55
2002-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67
2002-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88
2002-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.48
2002-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.34
2002-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66
2002-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71
2002-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2
2002-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.43
2002-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.36
2002-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66
2002-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69
2002-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.92
2002-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.38
2002-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83
2002-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18
2002-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.89
2002-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54
2002-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.26
2002-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
2002-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78
2002-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9
2002-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.72
2002-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72
2002-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.15
2002-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.39
2002-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9
2002-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4
2002-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55
2002-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.48
2002-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6
2002-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5
2002-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.46
2003-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.16
2003-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54
2003-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.44
2003-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1
2003-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4
2003-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44
2003-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5
2003-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16
2003-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36
2003-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.16
2003-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.32
2003-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65
2003-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.98
2003-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4
2003-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.41
2003-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
2003-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72
2003-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.28
2003-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.13
2003-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.82
2003-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56
2003-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4
2003-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.71
2003-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.52
2003-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.27
2003-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1
2003-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.19
2003-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.81
2003-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.53
2003-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.72
2003-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2003-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
2003-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36
2003-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.24
2003-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86
2003-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9
2003-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.67
2003-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75
2003-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.25
2003-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.26
2003-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6
2003-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72
2003-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.92
2003-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6
2003-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99
2003-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1
2003-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.82
2003-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.75
2003-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64
2003-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.19
2003-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.53
2003-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.31
2003-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.85
2003-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67
2003-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09
2003-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58
2003-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.17
2003-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.03
2003-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.56
2003-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72
2003-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18
2003-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.12
2003-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.62
2003-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.79
2003-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99
2003-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05
2003-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.82
2003-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.36
2003-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.79
2003-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.73
2003-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.21
2003-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93
2003-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.01
2003-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78
2003-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.25
2003-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54
2003-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73
2003-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.74
2003-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73
2003-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.79
2003-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71
2003-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.76
2003-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3
2003-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2
2003-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.22
2003-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.21
2003-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66
2003-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.44
2003-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.57
2003-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.73
2003-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.21
2003-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.17
2003-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.44
2003-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.12
2003-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.15
2003-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6
2003-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6
2003-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2004-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.98
2004-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.75
2004-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81
2004-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3
2004-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.17
2004-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.23
2004-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3
2004-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.49
2004-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56
2004-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3
2004-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.03
2004-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39
2004-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.87
2004-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.84
2004-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.38
2004-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9
2004-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.51
2004-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.85
2004-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.32
2004-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.54
2004-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.22
2004-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.41
2004-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3
2004-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.48
2004-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.92
2004-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.46
2004-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.45
2004-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1
2004-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.58
2004-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
