,CSH2 FP Equity_DX_DSS,CSH2 FP Equity_PX_LAST
2015-09-07,,1000.37
2015-09-08,,1000.37
2015-09-09,,1000.37
2015-09-10,,1000.38
2015-09-11,,1000.38
2015-09-14,,1000.39
2015-09-15,,1000.39
2015-09-16,,1000.39
2015-09-17,,1000.39
2015-09-18,,1000.4
2015-09-21,,1000.4
2015-09-22,,1000.4
2015-09-23,,1000.4
2015-09-24,,1000.4
2015-09-25,,1000.4
2015-09-28,,1000.41
2015-09-29,,1000.41
2015-09-30,,1000.42
2015-10-01,,1000.42
2015-10-02,,1000.42
2015-10-05,,1000.42
2015-10-06,,1000.43
2015-10-07,,1000.43
2015-10-08,,1000.43
2015-10-09,,1000.43
2015-10-12,,1000.43
2015-10-13,,1000.43
2015-10-14,,1000.44
2015-10-15,,1000.44
2015-10-16,,1000.44
2015-10-19,,1000.44
2015-10-20,,1000.44
2015-10-21,,1000.44
2015-10-22,,1000.44
2015-10-23,,1000.45
2015-10-26,,1000.45
2015-10-27,,1000.45
2015-10-28,,1000.45
2015-10-29,,1000.45
2015-10-30,,1000.46
2015-11-02,,1000.46
2015-11-03,,1000.46
2015-11-04,,1000.46
2015-11-05,,1000.46
2015-11-06,,1000.46
2015-11-09,,1000.47
2015-11-10,,1000.47
2015-11-11,,1000.47
2015-11-12,,1000.47
2015-11-13,,1000.47
2015-11-16,,1000.48
2015-11-17,,1000.48
2015-11-18,,1000.48
2015-11-19,,1000.48
2015-11-20,,1000.49
2015-11-23,,1000.49
2015-11-24,,1000.49
2015-11-25,,1000.49
2015-11-26,,1000.49
2015-11-27,,1000.5
2015-11-30,,1000.5
2015-12-01,,1000.5
2015-12-02,,1000.5
2015-12-03,,1000.51
2015-12-04,,1000.52
2015-12-07,,1000.52
2015-12-08,,1000.52
2015-12-09,,1000.52
2015-12-10,,1000.52
2015-12-11,,1000.52
2015-12-14,,1000.52
2015-12-15,,1000.52
2015-12-16,,1000.52
2015-12-17,,1000.53
2015-12-18,,1000.53
2015-12-21,,1000.53
2015-12-22,,1000.53
2015-12-23,,1000.53
2015-12-28,,1000.53
2015-12-29,,1000.53
2015-12-30,,1000.53
2016-01-04,,1000.56
2016-01-05,,1000.55
2016-01-06,,1000.55
2016-01-07,,1000.55
2016-01-08,,1000.55
2016-01-11,,1000.55
2016-01-12,,1000.55
2016-01-13,,1000.55
2016-01-14,,1000.55
2016-01-15,,1000.55
2016-01-18,,1000.56
2016-01-19,,1000.56
2016-01-20,,1000.56
2016-01-21,,1000.56
2016-01-22,,1000.56
2016-01-25,,1000.56
2016-01-26,,1000.56
2016-01-27,,1000.56
2016-01-28,,1000.56
2016-01-29,,1000.56
2016-02-01,,1000.56
2016-02-02,,1000.55
2016-02-03,,1000.56
2016-02-04,,1000.56
2016-02-05,,1000.57
2016-02-08,,1000.57
2016-02-09,,1000.57
2016-02-10,,1000.56
2016-02-11,,999.49
2016-02-12,,1000.56
2016-02-15,,1000.56
2016-02-16,,1000.56
2016-02-17,,1000.55
2016-02-18,,1000.55
2016-02-19,,1000.55
2016-02-22,,1000.55
2016-02-23,,1000.54
2016-02-24,,1000.54
2016-02-25,,1000.54
2016-02-26,,1000.54
2016-02-29,,1000.54
2016-03-01,,1000.53
2016-03-02,,1000.53
2016-03-03,,1000.53
2016-03-04,,1000.53
2016-03-07,,1000.53
2016-03-08,,1000.52
2016-03-09,,1000.52
2016-03-10,,1000.52
2016-03-11,,1000.52
2016-03-14,,1000.52
2016-03-15,,1000.51
2016-03-16,,1000.51
2016-03-17,,1000.5
2016-03-18,,1000.49
2016-03-21,,1000.48
2016-03-22,,1000.48
2016-03-23,,1000.47
2016-03-24,,1000.47
2016-03-29,,1000.44
2016-03-30,,1000.43
2016-03-31,,1000.42
2016-04-01,,1000.41
2016-04-04,,1000.4
2016-04-05,,1000.4
2016-04-06,,1000.39
2016-04-07,,1000.39
2016-04-08,,1000.37
2016-04-11,,1000.36
2016-04-12,,1000.36
2016-04-13,,1000.36
2016-04-14,,1000.36
2016-04-15,,1000.33
2016-04-18,,1000.33
2016-04-19,,1000.32
2016-04-20,,1000.32
2016-04-21,,1000.31
2016-04-22,,1000.29
2016-04-25,,1000.29
2016-04-26,,1000.28
2016-04-27,,1000.28
2016-04-28,,1000.27
2016-04-29,,1000.26
2016-05-02,,1000.25
2016-05-03,,1000.25
2016-05-04,,1000.23
2016-05-05,,1000.23
2016-05-06,,1000.22
2016-05-09,,1000.21
2016-05-10,,1000.21
2016-05-11,,1000.2
2016-05-12,,1000.2
2016-05-13,,1000.17
2016-05-16,,1000.17
2016-05-17,,1000.17
2016-05-18,,1000.16
2016-05-19,,1000.16
2016-05-20,,1000.14
2016-05-23,,1000.14
2016-05-24,,1000.13
2016-05-25,,1000.12
2016-05-26,,1000.12
2016-05-27,,1000.1
2016-05-30,,1000.1
2016-05-31,,1000.09
2016-06-01,,1000.08
2016-06-02,,1000.08
2016-06-03,,1000.06
2016-06-06,,1000.06
2016-06-07,,1000.05
2016-06-08,,1000.05
2016-06-09,,1000.04
2016-06-10,,1000.03
2016-06-13,,1000.02
2016-06-14,,1000.02
2016-06-15,,1000.01
2016-06-16,,1000.0
2016-06-17,,999.98
2016-06-20,,999.97
2016-06-21,,999.97
2016-06-22,,999.96
2016-06-23,,999.96
2016-06-24,,999.93
2016-06-27,,999.93
2016-06-28,,999.92
2016-06-29,,999.92
2016-06-30,,999.91
2016-07-01,,999.89
2016-07-04,,999.89
2016-07-05,,999.89
2016-07-06,,999.87
2016-07-07,,999.87
2016-07-08,,999.85
2016-07-11,,999.84
2016-07-12,,999.84
2016-07-13,,999.84
2016-07-14,,999.82
2016-07-15,,999.8
2016-07-18,,999.8
2016-07-19,,999.79
2016-07-20,,999.79
2016-07-21,,999.78
2016-07-22,,999.75
2016-07-25,,999.75
2016-07-26,,999.75
2016-07-27,,999.74
2016-07-28,,999.73
2016-07-29,,999.71
2016-08-01,,999.71
2016-08-02,,999.7
2016-08-03,,999.69
2016-08-04,,999.69
2016-08-05,,999.67
2016-08-08,,999.66
2016-08-09,,999.66
2016-08-10,,999.65
2016-08-11,,999.64
2016-08-12,,999.61
2016-08-15,,999.61
2016-08-16,,999.61
2016-08-17,,999.6
2016-08-18,,999.59
2016-08-19,,999.58
2016-08-22,,999.57
2016-08-23,,999.57
2016-08-24,,999.56
2016-08-25,,999.55
2016-08-26,,999.53
2016-08-29,,999.52
2016-08-30,,999.51
2016-08-31,,999.51
2016-09-01,,999.5
2016-09-02,,999.48
2016-09-05,,999.48
2016-09-06,,999.48
2016-09-07,,999.46
2016-09-08,,999.45
2016-09-09,,999.44
2016-09-12,,999.42
2016-09-13,0.0,999.42
2016-09-14,0.0,999.41
2016-09-15,0.0,999.41
2016-09-16,,999.39
2016-09-19,,999.38
2016-09-20,,999.37
2016-09-21,,999.37
2016-09-22,,999.36
2016-09-23,,999.34
2016-09-26,,999.34
2016-09-27,,999.33
2016-09-28,,999.32
2016-09-29,,999.31
2016-09-30,,999.29
2016-10-03,,999.29
2016-10-04,,999.28
2016-10-05,,999.27
2016-10-06,,999.27
2016-10-07,,999.25
2016-10-10,,999.24
2016-10-11,,999.23
2016-10-12,,999.23
2016-10-13,,999.22
2016-10-14,,999.2
2016-10-17,,999.19
2016-10-18,,999.18
2016-10-19,,999.18
2016-10-20,,999.17
2016-10-21,,999.15
2016-10-24,,999.14
2016-10-25,,999.14
2016-10-26,,999.13
2016-10-27,,999.12
2016-10-28,,999.1
2016-10-31,,999.09
2016-11-01,,999.09
2016-11-02,,999.08
2016-11-03,,999.07
2016-11-04,,998.53
2016-11-07,,999.05
2016-11-08,,999.04
2016-11-09,,999.03
2016-11-10,,999.03
2016-11-11,,999.0
2016-11-14,,999.0
2016-11-15,,998.99
2016-11-16,,998.98
2016-11-17,,998.98
2016-11-18,,998.96
2016-11-21,,998.95
2016-11-22,,998.94
2016-11-23,,998.94
2016-11-24,,998.93
2016-11-25,,998.91
2016-11-28,,998.9
2016-11-29,,998.89
2016-11-30,,998.89
2016-12-01,,998.88
2016-12-02,,998.86
2016-12-05,,998.85
2016-12-06,,998.85
2016-12-07,,998.84
2016-12-08,,998.83
2016-12-09,,998.81
2016-12-12,,998.8
2016-12-13,,998.8
2016-12-14,,998.79
2016-12-15,,998.78
2016-12-16,,998.76
2016-12-19,,998.76
2016-12-20,,998.75
2016-12-21,,998.74
2016-12-22,1.0,998.73
2016-12-23,1.0,998.71
2016-12-26,1.0,
2016-12-27,1.0,998.7
2016-12-28,1.0,998.69
2016-12-29,0.0,998.68
2016-12-30,,998.66
2017-01-02,,998.66
2017-01-03,,998.66
2017-01-04,,998.64
2017-01-05,,999.16
2017-01-06,,998.64
2017-01-09,,998.61
2017-01-10,,998.6
2017-01-11,,998.59
2017-01-12,,998.59
2017-01-13,,998.57
2017-01-16,,998.56
2017-01-17,,998.55
2017-01-18,,998.55
2017-01-19,,998.54
2017-01-20,,998.52
2017-01-23,,998.51
2017-01-24,,998.5
2017-01-25,,998.5
2017-01-26,,998.49
2017-01-27,,998.47
2017-01-30,,998.46
2017-01-31,,998.46
2017-02-01,,998.45
2017-02-02,,998.44
2017-02-03,,998.42
2017-02-06,,998.41
2017-02-07,,998.41
2017-02-08,,998.4
2017-02-09,,998.39
2017-02-10,,998.37
2017-02-13,,998.36
2017-02-14,,998.36
2017-02-15,,998.35
2017-02-16,,998.34
2017-02-17,,998.32
2017-02-20,,998.31
2017-02-21,,998.31
2017-02-22,,998.3
2017-02-23,,998.29
2017-02-24,,998.27
2017-02-27,,998.26
2017-02-28,,998.26
2017-03-01,,998.25
2017-03-02,,998.24
2017-03-03,,998.22
2017-03-06,,998.22
2017-03-07,,998.21
2017-03-08,,998.19
2017-03-09,,998.2
2017-03-10,,998.17
2017-03-13,,998.17
2017-03-14,,998.16
2017-03-15,,998.15
2017-03-16,,998.15
2017-03-17,,998.13
2017-03-20,,998.12
2017-03-21,,998.11
2017-03-22,,998.1
2017-03-23,,998.1
2017-03-24,,998.08
2017-03-27,,998.07
2017-03-28,,998.06
2017-03-29,,998.05
2017-03-30,,998.05
2017-03-31,,998.03
2017-04-03,,998.02
2017-04-04,,998.01
2017-04-05,,998.0
2017-04-06,,998.0
2017-04-07,,997.98
2017-04-10,,997.97
2017-04-11,,997.96
2017-04-12,,997.96
2017-04-13,0.0,997.95
2017-04-14,0.0,
2017-04-17,0.0,
2017-04-18,0.0,997.92
2017-04-19,0.0,997.91
2017-04-20,0.0,997.9
2017-04-21,0.0,997.87
2017-04-24,0.0,997.87
2017-04-25,0.0,997.86
2017-04-26,0.0,997.85
2017-04-27,,997.85
2017-04-28,,997.81
2017-05-02,,997.81
2017-05-03,,997.8
2017-05-04,,997.79
2017-05-05,,997.78
2017-05-08,,997.75
2017-05-09,,997.74
2017-05-10,,997.73
2017-05-11,,997.72
2017-05-12,,997.7
2017-05-15,,997.7
2017-05-16,,997.69
2017-05-17,,997.67
2017-05-18,,997.67
2017-05-19,,997.66
2017-05-22,,997.63
2017-05-23,,997.62
2017-05-24,,997.6
2017-05-25,,997.6
2017-05-26,,997.58
2017-05-29,,997.57
2017-05-30,,997.56
2017-05-31,,997.55
2017-06-01,,997.55
2017-06-02,,997.51
2017-06-05,,997.51
2017-06-06,,996.86
2017-06-07,,997.5
2017-06-08,,997.48
2017-06-09,,997.46
2017-06-12,,997.46
2017-06-13,,997.45
2017-06-14,,997.44
2017-06-15,,997.43
2017-06-16,,997.42
2017-06-19,,997.39
2017-06-20,,997.38
2017-06-21,,997.37
2017-06-22,,997.34
2017-06-23,,997.34
2017-06-26,,997.33
2017-06-27,,997.31
2017-06-28,,997.31
2017-06-29,,997.3
2017-06-30,,997.28
2017-07-03,,997.27
2017-07-04,,997.26
2017-07-05,,997.25
2017-07-06,,997.24
2017-07-07,,997.22
2017-07-10,,997.21
2017-07-11,,997.2
2017-07-12,,997.19
2017-07-13,,997.18
2017-07-14,,997.16
2017-07-17,,997.15
2017-07-18,,997.14
2017-07-19,,997.13
2017-07-20,,997.12
2017-07-21,,997.09
2017-07-24,,997.09
2017-07-25,,997.08
2017-07-26,,997.06
2017-07-27,,997.06
2017-07-28,,997.04
2017-07-31,,997.03
2017-08-01,,997.02
2017-08-02,,997.01
2017-08-03,,997.0
2017-08-04,,996.97
2017-08-07,,996.97
2017-08-08,,996.97
2017-08-09,,996.95
2017-08-10,,996.94
2017-08-11,,996.92
2017-08-14,,996.9
2017-08-15,,996.9
2017-08-16,,996.89
2017-08-17,,996.87
2017-08-18,,996.88
2017-08-21,,996.85
2017-08-22,,996.84
2017-08-23,,996.83
2017-08-24,,996.82
2017-08-25,,996.79
2017-08-28,,996.79
2017-08-29,,996.78
2017-08-30,,996.77
2017-08-31,,996.75
2017-09-01,,996.74
2017-09-04,,996.73
2017-09-05,,996.72
2017-09-06,,996.71
2017-09-07,,996.71
2017-09-08,,996.68
2017-09-11,,996.67
2017-09-12,,996.66
2017-09-13,,996.66
2017-09-14,,996.6
2017-09-15,,996.62
2017-09-18,,996.61
2017-09-19,,996.6
2017-09-20,,996.6
2017-09-21,,996.59
2017-09-22,,996.56
2017-09-25,,996.55
2017-09-26,,996.54
2017-09-27,,996.52
2017-09-28,,996.53
2017-09-29,,996.5
2017-10-02,,996.49
2017-10-03,,996.48
2017-10-04,,996.48
2017-10-05,,996.47
2017-10-06,,996.43
2017-10-09,,996.43
2017-10-10,,996.42
2017-10-11,,996.41
2017-10-12,,996.41
2017-10-13,,996.38
2017-10-16,,996.37
2017-10-17,,996.36
2017-10-18,,996.35
2017-10-19,,996.35
2017-10-20,,996.32
2017-10-23,,996.31
2017-10-24,,996.3
2017-10-25,,996.3
2017-10-26,,996.29
2017-10-27,,996.25
2017-10-30,,996.25
2017-10-31,,996.24
2017-11-01,,996.24
2017-11-02,,996.22
2017-11-03,,996.2
2017-11-06,,996.19
2017-11-07,,996.19
2017-11-08,,996.18
2017-11-09,,996.17
2017-11-10,,996.14
2017-11-13,,996.13
2017-11-14,,996.13
2017-11-15,,996.12
2017-11-16,,996.11
2017-11-17,,996.08
2017-11-20,,996.07
2017-11-21,,996.07
2017-11-22,,996.06
2017-11-23,,996.05
2017-11-24,,996.02
2017-11-27,,996.01
2017-11-28,,996.01
2017-11-29,,996.0
2017-11-30,,996.0
2017-12-01,,995.97
2017-12-04,,995.97
2017-12-05,,995.96
2017-12-06,,995.95
2017-12-07,,995.95
2017-12-08,,995.92
2017-12-11,,995.91
2017-12-12,,995.91
2017-12-13,,995.9
2017-12-14,,995.89
2017-12-15,,995.86
2017-12-18,,995.86
2017-12-19,,995.85
2017-12-20,,995.83
2017-12-21,,995.83
2017-12-22,,995.79
2017-12-27,,995.78
2017-12-28,,995.77
2017-12-29,,995.75
2018-01-02,,995.73
2018-01-03,,995.72
2018-01-04,,995.71
2018-01-05,,995.68
2018-01-08,,995.68
2018-01-09,,995.67
2018-01-10,,995.66
2018-01-11,,995.65
2018-01-12,,995.62
2018-01-15,,995.62
2018-01-16,,995.61
2018-01-17,,995.6
2018-01-18,,995.59
2018-01-19,,995.57
2018-01-22,,995.56
2018-01-23,,995.55
2018-01-24,,995.54
2018-01-25,,995.53
2018-01-26,,995.6
2018-01-29,,995.5
2018-01-30,,995.6
2018-01-31,,995.5
2018-02-01,,995.6
2018-02-02,,995.5
2018-02-05,,995.4
2018-02-06,,995.5
2018-02-07,,995.7
2018-02-08,,995.5
2018-02-09,,995.5
2018-02-12,,995.4
2018-02-13,,995.4
2018-02-14,,995.4
2018-02-15,,995.4
2018-02-16,,995.4
2018-02-19,,995.4
2018-02-20,,995.4
2018-02-21,,995.2
2018-02-22,,995.3
2018-02-23,,995.3
2018-02-26,,995.3
2018-02-27,,995.3
2018-02-28,,995.2
2018-03-01,,995.3
2018-03-02,,995.2
2018-03-05,,981.1
2018-03-06,,995.2
2018-03-07,,995.1
2018-03-08,,995.2
2018-03-09,,995.2
2018-03-12,,995.2
2018-03-13,,995.2
2018-03-14,,995.1
2018-03-15,,995.2
2018-03-16,,995.1
2018-03-19,,995.1
2018-03-20,,995.1
2018-03-21,,995.1
2018-03-22,,995.0
2018-03-23,,995.1
2018-03-26,,995.1
2018-03-27,,995.0
2018-03-28,,994.9
2018-03-29,,995.0
2018-04-03,,994.9
2018-04-04,,994.9
2018-04-05,,994.8
2018-04-06,,994.9
2018-04-09,,994.9
2018-04-10,,994.9
2018-04-11,,994.8
2018-04-12,,994.9
2018-04-13,,994.9
2018-04-16,,994.9
2018-04-17,,994.9
2018-04-18,,994.8
2018-04-19,,994.8
2018-04-20,,994.7
2018-04-23,,994.8
2018-04-24,,994.8
2018-04-25,,994.8
2018-04-26,,994.8
2018-04-27,,994.8
2018-04-30,,994.6
2018-05-02,,994.6
2018-05-03,,994.7
2018-05-04,,994.7
2018-05-07,,994.7
2018-05-08,,994.7
2018-05-09,,994.7
2018-05-10,,994.7
2018-05-11,,994.6
2018-05-14,,994.6
2018-05-15,,994.6
2018-05-16,,994.6
2018-05-17,,994.6
2018-05-18,,994.6
2018-05-21,,994.6
2018-05-22,,994.6
2018-05-23,,994.6
2018-05-24,,994.5
2018-05-25,,994.5
2018-05-28,,994.5
2018-05-29,,994.5
2018-05-30,,994.5
2018-05-31,,994.5
2018-06-01,,994.5
2018-06-04,,994.4
2018-06-05,,994.4
2018-06-06,,994.4
2018-06-07,,994.3
2018-06-08,,994.4
2018-06-11,,994.4
2018-06-12,,994.4
2018-06-13,,994.4
2018-06-14,,994.4
2018-06-15,,994.3
2018-06-18,,994.3
2018-06-19,,994.3
2018-06-20,,994.2
2018-06-21,,994.3
2018-06-22,,994.3
2018-06-25,,994.2
2018-06-26,,994.1
2018-06-27,,994.1
2018-06-28,,994.1
2018-06-29,,994.2
2018-07-02,,994.1
2018-07-03,,994.1
2018-07-04,,994.1
2018-07-05,,994.1
2018-07-06,,994.1
2018-07-09,,994.1
2018-07-10,,994.0
2018-07-11,,994.1
2018-07-12,,995.2
2018-07-13,,994.1
2018-07-16,,993.9
2018-07-17,,993.9
2018-07-18,,993.9
2018-07-19,,993.9
2018-07-20,,993.9
2018-07-23,,993.9
2018-07-24,,993.9
2018-07-25,,993.9
2018-07-26,,993.8
2018-07-27,,993.8
2018-07-30,,993.8
2018-07-31,,993.8
2018-08-01,,993.8
2018-08-02,,993.8
2018-08-03,,993.7
2018-08-06,,993.7
2018-08-07,,993.7
2018-08-08,,993.7
2018-08-09,,993.7
2018-08-10,,993.7
2018-08-13,,993.7
2018-08-14,,993.6
2018-08-15,,992.6
2018-08-16,,993.6
2018-08-17,,993.6
2018-08-20,,993.6
2018-08-21,,992.5
2018-08-22,,993.6
2018-08-23,,993.6
2018-08-24,,993.5
2018-08-27,,993.5
2018-08-28,,993.5
2018-08-29,,993.6
2018-08-30,,993.5
2018-08-31,,993.5
2018-09-03,,993.5
2018-09-04,,993.4
2018-09-05,,993.4
2018-09-06,,993.4
2018-09-07,,993.4
2018-09-10,,993.4
2018-09-11,,993.4
2018-09-12,,993.4
2018-09-13,,993.4
2018-09-14,,993.3
2018-09-17,,993.3
2018-09-18,,993.3
2018-09-19,,993.4
2018-09-20,,993.3
2018-09-21,,993.3
2018-09-24,,993.2
2018-09-25,,993.2
2018-09-26,,993.2
2018-09-27,,993.2
2018-09-28,,993.2
2018-10-01,,993.2
2018-10-02,,993.2
2018-10-03,,993.2
2018-10-04,,993.1
2018-10-05,,993.1
2018-10-08,,993.1
2018-10-09,,993.1
2018-10-10,,993.1
2018-10-11,,993.1
2018-10-12,,993.0
2018-10-15,,993.0
2018-10-16,,993.0
2018-10-17,,993.0
2018-10-18,,993.0
2018-10-19,,993.0
2018-10-22,,993.0
2018-10-23,,992.9
2018-10-24,,992.9
2018-10-25,,992.9
2018-10-26,,992.9
2018-10-29,,992.9
2018-10-30,,992.9
2018-10-31,,993.0
2018-11-01,,992.9
2018-11-02,,992.8
2018-11-05,,992.8
2018-11-06,,992.8
2018-11-07,,992.9
2018-11-08,,992.8
2018-11-09,,992.8
2018-11-12,,992.8
2018-11-13,,992.8
2018-11-14,,992.7
2018-11-15,,992.7
2018-11-16,,992.7
2018-11-19,,992.7
2018-11-20,,992.7
2018-11-21,,992.8
2018-11-22,,992.6
2018-11-23,,992.6
2018-11-26,,992.4
2018-11-27,,992.6
2018-11-28,,992.6
2018-11-29,,992.6
2018-11-30,,992.6
2018-12-03,,992.5
2018-12-04,,992.5
2018-12-05,,992.5
2018-12-06,,992.5
2018-12-07,,992.6
2018-12-10,,992.5
2018-12-11,,992.5
2018-12-12,,992.4
2018-12-13,,992.4
2018-12-14,,992.4
2018-12-17,,992.4
2018-12-18,,992.4
2018-12-19,,992.4
2018-12-20,,992.4
2018-12-21,,992.3
2018-12-24,,992.3
2018-12-27,,992.3
2018-12-28,,992.3
2018-12-31,,992.2
2019-01-02,,992.2
2019-01-03,,992.2
2019-01-04,,992.3
2019-01-07,,992.2
2019-01-08,,992.2
2019-01-09,,992.1
2019-01-10,,992.1
2019-01-11,,992.1
2019-01-14,,992.1
2019-01-15,,992.1
2019-01-16,,992.1
2019-01-17,,992.1
2019-01-18,,992.0
2019-01-21,,992.0
2019-01-22,,992.0
2019-01-23,,992.0
2019-01-24,,992.0
2019-01-25,,992.0
2019-01-28,,991.9
2019-01-29,,991.9
2019-01-30,,991.9
2019-01-31,,991.9
2019-02-01,,991.9
2019-02-04,,991.9
2019-02-05,,991.8
2019-02-06,,991.8
2019-02-07,,991.8
2019-02-08,,991.8
2019-02-11,,991.8
2019-02-12,,991.8
2019-02-13,,991.8
2019-02-14,,991.7
2019-02-15,,991.7
2019-02-18,,991.7
2019-02-19,,991.7
2019-02-20,,991.7
2019-02-21,,991.7
2019-02-22,,991.6
2019-02-25,,991.6
2019-02-26,,991.6
2019-02-27,,991.6
2019-02-28,,991.6
2019-03-01,,991.5
2019-03-04,,991.5
2019-03-05,,991.5
2019-03-06,,991.5
2019-03-07,,991.5
2019-03-08,,991.5
2019-03-11,,991.5
2019-03-12,,991.4
2019-03-13,,991.4
2019-03-14,,991.4
2019-03-15,,991.4
2019-03-18,,991.4
2019-03-19,,991.4
2019-03-20,,991.4
2019-03-21,,991.3
2019-03-22,,991.3
2019-03-25,,991.3
2019-03-26,,991.3
2019-03-27,,991.3
2019-03-28,,991.3
2019-03-29,,991.2
2019-04-01,,991.2
2019-04-02,,991.2
2019-04-03,,991.2
2019-04-04,,991.2
2019-04-05,,991.1
2019-04-08,,991.1
2019-04-09,,991.1
2019-04-10,,991.1
2019-04-11,,991.1
2019-04-12,,991.1
2019-04-15,,991.1
2019-04-16,,991.1
2019-04-17,,991.1
2019-04-18,,991.0
2019-04-23,,991.0
2019-04-24,,991.0
2019-04-25,,990.9
2019-04-26,,990.9
2019-04-29,,990.9
2019-04-30,,990.9
2019-05-02,,990.9
2019-05-03,,990.8
2019-05-06,,990.9
2019-05-07,,990.8
2019-05-08,,990.8
2019-05-09,,990.8
2019-05-10,,990.7
2019-05-13,,990.7
2019-05-14,,990.7
2019-05-15,,990.7
2019-05-16,,990.7
2019-05-17,,990.7
2019-05-20,,990.7
2019-05-21,,990.6
2019-05-22,,990.6
2019-05-23,,990.6
2019-05-24,,990.6
2019-05-27,,990.6
2019-05-28,,990.6
2019-05-29,,990.5
2019-05-30,,990.5
2019-05-31,,990.5
2019-06-03,,990.5
2019-06-04,,990.5
2019-06-05,,990.5
2019-06-06,,990.5
2019-06-07,,990.4
2019-06-10,,990.4
2019-06-11,,990.4
2019-06-12,,990.4
2019-06-13,,990.4
2019-06-14,,990.3
2019-06-17,,990.3
2019-06-18,,990.3
2019-06-19,,990.3
2019-06-20,,990.3
2019-06-21,,990.3
2019-06-24,,990.2
2019-06-25,,990.2
2019-06-26,,990.2
2019-06-27,,990.2
2019-06-28,,990.2
2019-07-01,,990.2
2019-07-02,,990.2
2019-07-03,,990.1
2019-07-04,,990.1
2019-07-05,,990.1
2019-07-08,,990.1
2019-07-09,,990.1
2019-07-10,,990.1
2019-07-11,,990.1
2019-07-12,,990.0
2019-07-15,,990.0
2019-07-16,,990.0
2019-07-17,,990.0
2019-07-18,,990.0
2019-07-19,,989.9
2019-07-22,,989.9
2019-07-23,,989.9
2019-07-24,,989.9
2019-07-25,,989.9
2019-07-26,,989.9
2019-07-29,,989.8
2019-07-30,,989.8
2019-07-31,,989.8
2019-08-01,,989.8
2019-08-02,,989.8
2019-08-05,,989.8
2019-08-06,,989.8
2019-08-07,,989.7
2019-08-08,,989.7
2019-08-09,,989.7
