,ALCAB FP Equity_DX_SI_QTY,ALCAB FP Equity_DX_SHORT_INTEREST_VALUE,ALCAB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCAB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCAB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCAB FP Equity_DX_SI_MV,ALCAB FP Equity_DX_DSS,ALCAB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCAB FP Equity_DX_SUPPLY_SI_QTY,ALCAB FP Equity_DX_BROKER_SI_QTY,ALCAB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCAB FP Equity_DX_BROKER_SI_QTY_ADD,ALCAB FP Equity_DX_BROKER_SI_MV_ADD,ALCAB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCAB FP Equity_DX_BROKER_SI_QTY_DEC,ALCAB FP Equity_DX_SUPPLY_SI_MV,ALCAB FP Equity_DX_BROKER_SI_MV_DEC,ALCAB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCAB FP Equity_DX_UTILIZATION_QUANTITY,ALCAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCAB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCAB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCAB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCAB FP Equity_DX_BROKER_SI_CON_RATIO,ALCAB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCAB FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCAB FP Equity_PX_LAST
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.001
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.801
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61
2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71
2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71
2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.048
2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02
2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86
2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.87
2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81
2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.521
2023-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.519
2023-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51
2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2023-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2023-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88
2023-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2023-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2023-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.74
2023-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2023-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.398
2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2023-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2023-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.849
2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68
2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41
2023-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
2023-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2023-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.349
2023-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.331
2023-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2023-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.657
2023-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2023-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.561
2023-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.561
2023-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.543
2023-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.564
2023-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2023-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2023-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2023-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2023-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2023-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2023-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68
2023-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2023-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2023-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2023-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58
2023-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2023-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2023-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2023-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2023-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2023-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2023-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2023-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2023-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2023-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2023-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2023-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2023-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2023-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2023-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2023-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2023-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2023-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2023-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2023-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2023-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2023-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2023-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2023-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2023-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2023-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2023-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2023-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2023-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2023-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2023-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2023-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2023-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2023-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2023-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2023-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2023-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2023-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06
2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2023-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2023-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34
2023-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2023-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04
2023-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74
2023-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2023-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2023-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61
2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2023-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2023-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2023-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22
2023-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2023-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
2023-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2023-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2023-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2023-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02
2023-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2023-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2023-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2023-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
2023-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2023-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2023-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2023-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2023-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2023-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2023-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2023-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2023-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2023-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
2023-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2023-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2023-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2023-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2023-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2023-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16
2023-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06
2023-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06
2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06
2023-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2023-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1040.06,0.0,0.0,,0.0,,0.0,2.38
2024-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1070.65,0.0,0.0,,0.0,,0.0,2.45
2024-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1070.65,0.0,0.0,,0.0,,0.0,2.45
2024-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1070.65,0.0,0.0,,0.0,,0.0,2.45
2024-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1066.28,0.0,0.0,,0.0,,0.0,2.44
2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1061.91,0.0,0.0,,0.0,,0.0,2.43
2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1031.32,0.0,0.0,,0.0,,0.0,2.36
2024-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1022.58,0.0,0.0,,0.0,,0.0,2.34
2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1000.73,0.0,0.0,,0.0,,0.0,2.29
2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1000.73,0.0,0.0,,0.0,,0.0,2.29
2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,996.36,0.0,0.0,,0.0,,0.0,2.28
2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,952.66,0.0,0.0,,0.0,,0.0,2.18
2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,943.92,0.0,0.0,,0.0,,0.0,2.16
