,GEMU FP Equity_DX_SI_QTY,GEMU FP Equity_DX_SHORT_INTEREST_VALUE,GEMU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GEMU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GEMU FP Equity_DX_SI_MV,GEMU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GEMU FP Equity_DX_SUPPLY_SI_QTY,GEMU FP Equity_DX_BROKER_SI_QTY,GEMU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GEMU FP Equity_DX_BROKER_SI_MV_INC_x,GEMU FP Equity_DX_BROKER_SI_QTY_ADD,GEMU FP Equity_DX_BROKER_SI_QTY_INC,GEMU FP Equity_DX_BROKER_SI_MV_INC_y,GEMU FP Equity_DX_BROKER_SI_MV_ADD,GEMU FP Equity_DX_SUPPLY_SI_QTY_ADD,GEMU FP Equity_DX_BROKER_SI_QTY_DEC,GEMU FP Equity_DX_SUPPLY_SI_MV,GEMU FP Equity_DX_BROKER_SI_MV_DEC,GEMU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GEMU FP Equity_DX_UTILIZATION_QUANTITY,GEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GEMU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GEMU FP Equity_DX_ACTIVE_UTILIZATION_MV,GEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GEMU FP Equity_DX_BROKER_SI_CON_RATIO,GEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GEMU FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-06-01,20800.0,195486.72,0.76,0.04,0.2,195486.72,0.0,20800.0,0.0,,20800.0,,,0.2,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-02,20800.0,194380.16,0.76,0.04,0.2,194380.16,0.0,20800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-03,20800.0,194588.16,0.76,0.04,0.19,194588.16,0.0,20800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-06,20800.0,193972.48,0.75,0.04,0.19,193972.48,0.0,20800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-07,20800.0,194586.08,0.75,0.04,0.19,194586.08,0.0,20800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-06-08,20800.0,193858.08,0.74,0.04,0.19,193858.08,0.0,20800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-05,23800.0,224103.18,2.71,0.04,0.22,224103.18,0.0,23800.0,0.0,,23800.0,,,0.22,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-06,23800.0,224864.78,2.72,0.04,0.22,224864.78,0.0,23800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-07,23800.0,223462.96,2.73,0.04,0.23,223462.96,0.0,23800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-08,23800.0,223577.2,2.7,0.04,0.22,223577.2,0.0,23800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-11,23800.0,223872.32,2.69,0.04,0.22,223872.32,0.0,23800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-12,23800.0,225369.34,3.06,0.04,0.22,225369.34,0.0,23800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-13,23800.0,224560.14,4.34,0.04,0.22,224560.14,0.0,23800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-14,23800.0,223834.24,4.17,0.04,0.23,223834.24,0.0,23800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-22,26700.0,252173.49,5.03,0.04,0.25,252173.49,0.0,26700.0,0.0,,26700.0,,,0.25,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-25,26700.0,251695.56,5.01,0.03,0.25,251695.56,0.0,26700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-26,26700.0,252931.77,4.46,0.03,0.25,252931.77,0.0,26700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-27,26700.0,252560.64,4.94,0.03,0.26,252560.64,0.0,26700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-07-28,26700.0,254378.91,5.08,0.03,0.25,254378.91,0.0,26700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-05,46200.0,426518.4,5.96,0.06,0.43,426518.4,0.0,46200.0,0.0,,46200.0,,,0.43,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-06,46200.0,426961.92,6.31,0.05,0.43,426961.92,0.0,46200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-07,46200.0,426920.34,5.99,0.05,0.43,426920.34,0.0,46200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-08,46200.0,424970.7,5.59,0.05,0.43,424970.7,0.0,46200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-09,46200.0,424869.06,5.59,0.05,0.42,424869.06,0.0,46200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-12,46200.0,424809.0,6.02,0.05,0.42,424809.0,0.0,46200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-15,51800.0,473270.7,7.22,0.06,0.47,473270.7,0.0,51800.0,0.0,,51800.0,,,0.47,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-16,51800.0,473597.04,6.85,0.06,0.47,473597.04,0.0,51800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-19,51800.0,472193.26,7.15,0.05,0.47,472193.26,0.0,51800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-20,51800.0,470742.86,7.0,0.05,0.47,470742.86,0.0,51800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-21,51800.0,470753.22,7.0,0.05,0.47,470753.22,0.0,51800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-22,51800.0,469012.74,7.22,0.05,0.47,469012.74,0.0,51800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-23,51800.0,466614.4,7.24,0.05,0.47,466614.4,0.0,51800.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-26,103300.0,927778.62,13.74,0.1,0.93,927778.62,0.0,103300.0,0.0,0.46,,51500.0,0.46,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-27,103300.0,925227.11,13.28,0.1,0.93,925227.11,0.0,103300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-28,103300.0,930640.03,13.61,0.1,0.93,930640.03,0.0,103300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-29,103300.0,929142.18,13.02,0.1,0.93,929142.18,0.0,103300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-09-30,51500.0,465858.7,6.45,0.05,0.46,465858.7,0.0,51500.0,0.0,,,,,,,51800.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-03,51500.0,469128.95,6.3,0.05,0.47,469128.95,0.0,51500.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-04,11500.0,104858.15,1.57,0.01,0.1,104858.15,0.0,11500.0,0.0,,,,,,,40000.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-07,59000.0,531654.9,7.16,0.06,0.53,531654.9,0.0,59000.0,0.0,,59000.0,,,0.53,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-10,59000.0,531649.0,7.1,0.06,0.53,531649.0,0.0,59000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-11,59000.0,531011.8,7.31,0.06,0.53,531011.8,0.0,59000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-12,59000.0,531165.2,7.32,0.06,0.53,531165.2,0.0,59000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-13,59000.0,530533.9,7.72,0.06,0.53,530533.9,0.0,59000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-10-14,59000.0,529589.9,8.04,0.05,0.53,529589.9,0.0,59000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-11-30,54300.0,493896.51,9.04,0.05,0.52,493896.51,0.0,54300.0,0.0,,54300.0,,,0.52,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-01,54300.0,496953.6,8.88,0.05,0.52,496953.6,0.0,54300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-02,54300.0,496388.88,8.99,0.05,0.5,496388.88,0.0,54300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-05,54300.0,495818.73,9.28,0.05,0.5,495818.73,0.0,54300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-06,54300.0,497284.83,9.19,0.05,0.5,497284.83,0.0,54300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-07,54300.0,497371.71,8.92,0.05,0.5,497371.71,0.0,54300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-13,50000.0,455535.0,11.16,0.04,0.46,455535.0,0.0,50000.0,0.0,,50000.0,,,0.46,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-14,50000.0,456155.0,10.91,0.04,0.46,456155.0,0.0,50000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-15,50000.0,451155.0,9.99,0.04,0.46,451155.0,0.0,50000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-16,50000.0,450585.0,9.89,0.04,0.45,450585.0,0.0,50000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-19,50000.0,450210.0,9.08,0.04,0.45,450210.0,0.0,50000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-20,50000.0,448710.0,9.24,0.04,0.45,448710.0,0.0,50000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-21,50000.0,448880.0,9.48,0.04,0.45,448880.0,0.0,50000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-12-22,50000.0,448285.0,9.59,0.04,0.45,448285.0,0.0,50000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-04,53300.0,479763.96,10.16,0.05,0.96,479763.96,0.0,53300.0,0.0,,53300.0,,,0.96,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-05,53300.0,478857.86,10.19,0.05,0.96,478857.86,0.0,53300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-06,53300.0,480350.26,9.93,0.05,0.96,480350.26,0.0,53300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-09,53300.0,479556.09,10.06,0.05,0.96,479556.09,0.0,53300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-10,53300.0,479310.91,9.84,0.05,0.96,479310.91,0.0,53300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-11,53300.0,480989.86,10.02,0.05,0.96,480989.86,0.0,53300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-12,36300.0,327687.36,6.21,0.03,0.65,327687.36,0.0,36300.0,0.0,,,,,,,17000.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-13,36300.0,328152.0,6.31,0.03,0.65,328152.0,0.0,36300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-16,36300.0,327698.25,5.26,0.03,0.33,327698.25,0.0,36300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-17,36300.0,329807.28,5.23,0.03,0.33,329807.28,0.0,36300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-18,36300.0,330511.5,5.19,0.03,0.33,330511.5,0.0,36300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-19,36300.0,330126.72,5.33,0.03,0.33,330126.72,0.0,36300.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-26,50400.0,455777.28,6.14,0.04,0.46,455777.28,0.0,50400.0,0.0,,50400.0,,,0.46,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-27,50400.0,455278.32,6.48,0.04,0.46,455278.32,0.0,50400.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-30,50400.0,453413.52,6.56,0.04,0.46,453413.52,0.0,50400.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-01-31,50400.0,454164.48,6.88,0.04,0.45,454164.48,0.0,50400.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-01,50400.0,453957.84,6.99,0.04,0.46,453957.84,0.0,50400.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-03,33700.0,305591.6,4.48,0.03,0.31,305591.6,0.0,33700.0,0.0,,33700.0,,,0.31,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-06,33700.0,304637.89,4.38,0.03,0.31,304637.89,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-07,33700.0,304182.94,4.29,0.03,0.3,304182.94,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-08,33700.0,303505.57,4.31,0.03,0.3,303505.57,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-09,33700.0,304014.44,4.14,0.03,0.3,304014.44,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-10,33700.0,302663.07,4.26,0.03,0.3,302663.07,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-13,33700.0,302656.33,4.16,0.03,0.3,302656.33,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-14,33700.0,302171.05,4.13,0.03,0.3,302171.05,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-15,33700.0,301719.47,4.06,0.03,0.3,301719.47,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-02-16,33700.0,301170.16,4.04,0.03,0.3,301170.16,0.0,33700.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-03,41900.0,369977.0,6.53,0.04,0.37,369977.0,0.0,41900.0,0.0,,41900.0,,,0.37,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-06,41900.0,369348.5,5.97,0.04,0.37,369348.5,0.0,41900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-07,41900.0,370592.93,3.87,0.04,0.37,370592.93,0.0,41900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-08,41900.0,370995.17,3.21,0.04,0.37,370995.17,0.0,41900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-09,41900.0,371824.79,3.22,0.04,0.37,371824.79,0.0,41900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-17,44200.0,400783.5,3.4,0.04,0.4,400783.5,0.0,44200.0,0.0,,44200.0,,,0.4,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-20,44200.0,401976.9,3.44,0.04,0.4,401976.9,0.0,44200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-21,44200.0,399775.74,3.42,0.04,0.4,399775.74,0.0,44200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-22,44200.0,397662.98,3.45,0.04,0.4,397662.98,0.0,44200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-23,44200.0,400421.06,3.58,0.04,0.4,400421.06,0.0,44200.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-29,44900.0,406232.75,3.75,0.04,0.41,406232.75,0.0,44900.0,0.0,,44900.0,,,0.41,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-30,44900.0,404176.33,3.76,0.04,0.41,404176.33,0.0,44900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-03-31,44900.0,405429.04,3.77,0.04,0.4,405429.04,0.0,44900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-03,44900.0,405976.82,3.81,0.04,0.41,405976.82,0.0,44900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-04,44900.0,406843.39,3.82,0.04,0.41,406843.39,0.0,44900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-06,29900.0,271859.77,2.55,0.03,0.27,271859.77,0.0,29900.0,0.0,,29900.0,,,0.27,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-07,29900.0,271859.77,2.57,0.03,0.27,271859.77,0.0,29900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-10,29900.0,271859.77,2.57,0.03,0.27,271859.77,0.0,29900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-11,29900.0,270077.73,2.57,0.03,0.27,270077.73,0.0,29900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-12,29900.0,269706.97,2.55,0.03,0.27,269706.97,0.0,29900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-13,29900.0,269345.18,2.56,0.03,0.27,269345.18,0.0,29900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-14,29900.0,269031.23,2.58,0.03,0.27,269031.23,0.0,29900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-17,29900.0,268421.27,2.57,0.03,0.27,268421.27,0.0,29900.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2024-07-09,200.0,1856.94,0.06,0.0,0.0,928.47,100.0,100.0,928.47,,100.0,,,0.0,100.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-07-10,200.0,1859.72,0.05,0.0,0.0,929.86,100.0,100.0,929.86,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-07-11,200.0,1867.48,0.05,0.0,0.0,933.74,100.0,100.0,933.74,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
