,FGBL FP Equity_PX_LAST
2018-08-21,44.565
2018-08-22,44.405
2018-08-23,44.16
2018-08-24,44.14
2018-08-27,44.34
2018-08-28,44.225
2018-08-29,44.35
2018-08-30,44.035
2018-08-31,43.975
2018-09-03,43.87
2018-09-04,43.675
2018-09-05,43.245
2018-09-06,43.18
2018-09-07,43.33
2018-09-10,43.32
2018-09-11,43.275
2018-09-12,43.66
2018-09-13,43.66
2018-09-14,43.93
2018-09-17,43.88
2018-09-18,44.09
2018-09-19,44.41
2018-09-20,44.325
2018-09-21,44.64
2018-09-24,44.285
2018-09-25,44.33
2018-09-26,44.27
2018-09-27,44.53
2018-10-01,44.715
2018-10-02,44.4
2018-10-03,44.6
2018-10-04,44.1
2018-10-05,43.92
2018-10-08,43.895
2018-10-09,44.01
2018-10-10,43.515
2018-10-11,42.395
2018-10-12,42.305
2018-10-15,42.375
2018-10-16,42.575
2018-10-17,42.725
2018-10-18,42.625
2018-10-19,42.655
2018-10-22,42.61
2018-10-23,42.05
2018-10-24,42.045
2018-10-25,42.27
2018-10-26,41.745
2018-10-29,42.24
2018-10-30,42.225
2018-10-31,42.75
2018-11-01,42.81
2018-11-02,42.97
2018-11-05,43.085
2018-11-06,43.165
2018-11-07,43.35
2018-11-08,43.55
2018-11-09,43.315
2018-11-12,43.13
2018-11-13,43.255
2018-11-14,42.815
2018-11-15,42.77
2018-11-16,42.675
2018-11-19,42.51
2018-11-20,42.14
2018-11-21,42.54
2018-11-22,42.16
2018-11-23,42.345
2018-11-26,42.765
2018-11-27,42.86
2018-11-28,43.01
2018-11-29,43.1
2018-11-30,43.135
2018-12-03,43.705
2018-12-04,43.375
2018-12-05,42.915
2018-12-06,42.415
2018-12-07,41.955
2018-12-10,40.945
2018-12-11,41.66
2018-12-12,42.045
2018-12-13,42.08
2018-12-14,41.96
2018-12-17,41.68
2018-12-18,41.84
2018-12-19,41.165
2018-12-20,40.48
2018-12-21,40.35
2018-12-27,39.735
2018-12-28,40.31
2019-01-03,40.915
2019-01-04,40.745
2019-01-07,41.315
2019-01-08,41.625
2019-01-09,41.915
2019-01-10,41.885
2019-01-11,42.03
2019-01-14,41.88
2019-01-15,42.22
2019-01-16,42.52
2019-01-17,42.415
2019-01-18,43.155
2019-01-21,43.035
2019-01-22,42.79
2019-01-23,42.625
2019-01-24,43.225
2019-01-25,43.32
2019-01-28,43.08
2019-01-29,43.21
2019-01-30,43.435
2019-01-31,43.61
2019-02-01,43.56
2019-02-04,43.56
2019-02-05,44.035
2019-02-06,44.04
2019-02-07,43.425
2019-02-08,43.215
2019-02-11,43.53
2019-02-12,43.745
2019-02-13,43.97
2019-02-14,43.79
2019-02-15,43.635
2019-02-18,44.245
2019-02-19,44.28
2019-02-20,44.65
2019-02-21,44.58
2019-02-22,44.6
2019-02-25,44.655
2019-02-26,44.56
2019-02-27,44.275
2019-02-28,44.12
2019-03-04,44.31
2019-03-05,44.455
2019-03-06,44.465
2019-03-07,44.34
2019-03-08,43.945
2019-03-11,44.39
2019-03-12,44.585
2019-03-13,44.585
2019-03-14,44.575
2019-03-15,44.745
2019-03-18,44.97
2019-03-19,45.26
2019-03-20,44.68
2019-03-21,44.795
2019-03-22,44.485
2019-03-25,44.275
2019-03-26,44.575
2019-03-27,44.675
2019-03-28,44.65
2019-03-29,44.925
2019-04-01,45.675
2019-04-02,45.81
2019-04-03,46.045
2019-04-04,45.835
2019-04-05,46.205
2019-04-08,46.05
2019-04-09,45.89
2019-04-10,45.99
2019-04-11,45.955
2019-04-12,46.07
2019-04-15,46.085
2019-04-16,46.215
2019-04-17,46.185
2019-04-18,46.315
2019-04-23,46.335
2019-04-24,45.955
2019-04-25,45.905
2019-04-26,46.0
2019-04-29,46.02
2019-04-30,45.81
2019-05-02,45.735
2019-05-03,45.745
2019-05-06,45.165
2019-05-07,44.75
2019-05-08,44.64
2019-05-09,43.71
2019-05-10,43.81
2019-05-13,43.885
2019-05-14,43.94
2019-05-15,44.06
2019-05-16,44.555
2019-05-17,44.35
2019-05-20,44.15
2019-05-21,44.33
2019-05-22,44.325
2019-05-23,43.575
2019-05-24,43.565
2019-05-27,43.825
2019-05-28,43.705
2019-05-29,43.265
2019-05-30,43.325
2019-05-31,42.86
2019-06-03,42.515
2019-06-04,43.295
2019-06-05,43.255
2019-06-06,43.155
2019-06-07,43.455
2019-06-10,43.775
2019-06-11,43.935
2019-06-12,43.805
2019-06-13,43.945
2019-06-14,43.965
2019-06-17,43.875
2019-06-18,44.53
2019-06-19,44.675
2019-06-20,44.73
2019-06-21,44.59
2019-06-24,44.41
2019-06-25,44.24
2019-06-26,44.315
2019-06-27,44.455
2019-06-28,44.58
2019-07-01,45.17
2019-07-02,45.27
2019-07-03,45.29
2019-07-04,45.515
2019-07-05,45.38
2019-07-08,45.295
2019-07-09,44.98
2019-07-10,44.965
2019-07-11,44.985
2019-07-12,45.085
2019-07-15,45.205
2019-07-16,45.3
2019-07-17,45.205
2019-07-19,45.05
2019-07-22,45.005
2019-07-23,45.38
2019-07-24,45.355
2019-07-25,45.095
2019-07-26,45.125
2019-07-29,44.96
2019-07-30,44.485
2019-07-31,44.55
2019-08-01,44.58
2019-08-02,43.235
2019-08-05,42.08
2019-08-06,41.83
2019-08-07,41.685
2019-08-08,42.245
2019-08-09,41.895
2019-08-12,41.52
2019-08-13,41.835
2019-08-14,41.285
2019-08-15,41.285
2019-08-16,41.76
2019-08-19,42.2
2019-08-20,41.995
2019-08-21,42.245
2019-08-22,42.135
2019-08-23,41.535
2019-08-26,41.695
2019-08-27,41.795
2019-08-28,41.95
2019-08-29,42.35
2019-08-30,42.785
2019-09-02,42.84
2019-09-03,42.735
2019-09-04,43.215
2019-09-05,43.775
2019-09-06,43.955
2019-09-09,44.24
2019-09-10,44.705
2019-09-11,45.37
2019-09-12,45.33
2019-09-13,45.655
2019-09-16,45.79
2019-09-17,45.47
2019-09-18,45.31
2019-09-19,45.455
2019-09-20,45.58
2019-09-23,45.35
2019-09-24,45.155
2019-09-25,45.15
2019-09-26,45.14
2019-09-27,45.175
2019-09-30,45.4
2019-10-01,44.955
2019-10-02,44.04
2019-10-03,43.935
2019-10-04,44.225
2019-10-07,44.43
2019-10-08,43.88
2019-10-09,43.995
2019-10-10,44.41
2019-10-11,45.35
2019-10-14,45.085
2019-10-15,45.31
2019-10-16,45.225
2019-10-17,44.935
2019-10-18,44.78
2019-10-21,45.15
2019-10-22,45.34
2019-10-23,45.38
2019-10-24,45.635
2019-10-25,45.775
2019-10-28,45.915
2019-10-29,45.925
2019-10-30,45.63
2019-10-31,45.255
2019-11-01,45.86
2019-11-04,46.54
2019-11-05,47.04
2019-11-06,47.105
2019-11-07,47.46
2019-11-08,47.28
2019-11-11,46.995
2019-11-12,47.17
2019-11-13,46.63
2019-11-14,46.405
2019-11-15,46.685
2019-11-18,46.505
2019-11-19,46.5
2019-11-20,46.355
2019-11-21,46.14
2019-11-22,46.5
2019-11-25,46.97
2019-11-26,46.725
2019-11-27,46.915
2019-11-28,46.805
2019-11-29,46.385
2019-12-02,45.91
2019-12-03,45.435
2019-12-04,46.035
2019-12-05,45.855
2019-12-06,46.56
2019-12-09,46.475
2019-12-10,46.31
2019-12-11,46.47
2019-12-12,46.84
2019-12-13,47.06
2019-12-16,47.61
2019-12-17,47.56
2019-12-18,47.59
2019-12-19,47.565
2019-12-20,48.015
2019-12-23,47.89
2019-12-24,47.91
2019-12-27,47.85
2019-12-30,47.55
2019-12-31,47.375
2020-01-02,48.035
2020-01-03,47.82
2020-01-06,47.64
2020-01-07,47.765
2020-01-08,47.87
2020-01-09,47.995
2020-01-10,48.0
2020-01-13,47.985
2020-01-14,48.085
2020-01-15,47.84
2020-01-16,48.125
2020-01-17,48.45
2020-01-20,48.395
2020-01-21,47.905
2020-01-22,47.915
2020-01-23,47.395
2020-01-24,47.55
2020-01-27,46.13
2020-01-28,46.575
2020-01-29,46.615
2020-01-30,45.83
2020-01-31,45.17
2020-02-03,45.28
2020-02-04,46.21
2020-02-05,46.74
2020-02-06,46.965
2020-02-07,46.635
2020-02-10,46.685
2020-02-11,47.18
2020-02-12,47.595
2020-02-13,47.59
2020-02-14,47.565
2020-02-17,47.73
2020-02-18,47.275
2020-02-19,47.615
2020-02-20,47.18
2020-02-21,46.965
2020-02-24,45.35
2020-02-25,44.79
2020-02-26,44.935
2020-02-27,43.295
2020-02-28,41.83
2020-03-02,41.875
2020-03-03,42.185
2020-03-04,42.625
2020-03-05,42.0
2020-03-06,40.37
2020-03-09,37.185
2020-03-10,37.205
2020-03-11,37.05
2020-03-13,34.315
2020-03-16,32.7
2020-03-17,33.355
2020-03-18,31.725
2020-03-19,32.015
2020-03-20,32.89
2020-03-23,31.125
2020-03-24,33.685
2020-03-25,34.67
2020-03-26,35.365
2020-03-27,34.08
2020-03-30,34.48
2020-03-31,35.28
2020-04-01,34.07
2020-04-02,34.685
2020-04-03,34.475
2020-04-06,35.785
2020-04-07,36.715
2020-04-08,36.49
2020-04-09,37.185
2020-04-14,36.945
2020-04-15,36.73
2020-04-16,35.665
2020-04-17,36.345
2020-04-20,36.425
2020-04-21,35.05
2020-04-22,35.745
2020-04-23,36.395
2020-04-24,35.995
2020-04-27,36.82
2020-04-28,37.64
2020-04-29,38.57
2020-04-30,37.775
2020-05-04,36.045
2020-05-05,37.07
2020-05-06,36.57
2020-05-07,36.91
2020-05-08,37.42
2020-05-11,37.38
2020-05-12,37.09
2020-05-13,36.21
2020-05-14,35.775
2020-05-15,35.875
2020-05-18,37.505
2020-05-19,37.295
2020-05-20,37.415
2020-05-21,36.84
2020-05-22,36.48
2020-05-25,36.99
2020-05-26,37.68
2020-05-27,38.06
2020-05-28,38.08
2020-05-29,37.17
2020-06-01,38.025
2020-06-02,38.735
2020-06-03,39.775
2020-06-04,39.205
2020-06-05,41.04
2020-06-08,41.225
2020-06-09,40.595
2020-06-10,40.14
2020-06-11,38.065
2020-06-12,38.405
2020-06-15,38.025
2020-06-16,39.14
2020-06-17,39.09
2020-06-18,38.94
2020-06-19,39.095
2020-06-22,38.485
2020-06-23,38.755
2020-06-24,37.61
2020-06-25,37.76
2020-06-26,37.51
2020-06-29,37.63
2020-06-30,37.76
2020-07-01,37.71
2020-07-02,38.46
2020-07-03,38.21
2020-07-06,39.14
2020-07-07,38.66
2020-07-08,38.19
2020-07-09,37.785
2020-07-10,38.065
2020-07-13,38.5
2020-07-14,38.28
2020-07-15,38.665
2020-07-16,38.625
2020-07-17,38.385
2020-07-20,38.37
2020-07-21,38.6
2020-07-22,38.105
2020-07-23,38.015
2020-07-24,37.635
2020-07-27,37.385
2020-07-28,37.45
2020-07-29,37.35
2020-07-30,36.655
2020-07-31,36.265
2020-08-03,36.87
2020-08-04,37.095
2020-08-05,37.2
2020-08-06,37.125
2020-08-07,37.14
2020-08-10,37.77
2020-08-11,38.51
2020-08-12,38.65
2020-08-13,38.205
2020-08-14,38.22
2020-08-17,38.15
2020-08-18,37.785
2020-08-19,37.95
2020-08-20,37.505
2020-08-21,37.655
2020-08-24,38.23
2020-08-25,38.165
2020-08-26,38.195
2020-08-27,38.065
2020-08-28,38.05
2020-08-31,37.455
2020-09-01,37.47
2020-09-02,37.89
2020-09-03,37.68
2020-09-04,37.575
2020-09-07,37.93
2020-09-08,37.555
2020-09-09,37.76
2020-09-10,37.485
2020-09-11,37.495
2020-09-14,37.72
2020-09-15,37.895
2020-09-16,37.98
2020-09-17,37.755
2020-09-18,37.53
2020-09-21,36.535
2020-09-22,36.495
2020-09-23,36.525
2020-09-24,36.1
2020-09-25,36.075
2020-09-28,36.91
2020-09-29,36.46
2020-09-30,36.55
2020-10-01,36.61
2020-10-02,36.78
2020-10-05,37.025
2020-10-06,37.36
2020-10-07,37.36
2020-10-08,37.56
2020-10-09,37.59
2020-10-12,37.81
2020-10-13,37.535
2020-10-14,37.515
2020-10-15,37.21
2020-10-16,37.55
2020-10-19,37.81
2020-10-20,37.17
2020-10-21,37.06
2020-10-22,37.325
2020-10-23,37.675
2020-10-26,37.165
2020-10-27,36.73
2020-10-28,35.94
2020-10-29,36.11
2020-10-30,36.17
2020-11-02,36.935
2020-11-03,37.59
2020-11-04,37.89
2020-11-05,38.075
2020-11-06,37.89
2020-11-09,39.76
2020-11-10,40.445
2020-11-11,40.96
2020-11-12,40.255
2020-11-13,40.165
2020-11-16,40.835
2020-11-17,40.95
2020-11-18,41.29
2020-11-19,40.79
2020-11-20,40.77
2020-11-23,41.075
2020-11-24,41.685
2020-11-25,41.69
2020-11-26,41.64
2020-11-27,41.72
2020-11-30,40.925
2020-12-01,41.21
2020-12-02,41.21
2020-12-03,41.19
