,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_y,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity
2006-03-08,9152263.0,426582180.7,4.76,7.55,4.63,717.72,1.0,249690970.21,6458173.0,5357086.0,301012058.08,,,276033.0,6.12,,70105.0,,19.02,164414.0,124580.0,,,6.12,276033.0,5.13,104907.0,13655.0,506.99,1.7,,,26.28,26.28,18114932.0,844327484.45,,1365.74,27.07,20.75,0.1593,28.88,0.3724
2006-03-15,9163271.0,453879691.15,4.76,7.52,4.62,744.79,1.0,275875550.05,6768340.0,5569587.0,335252779.15,,,579633.0,25.23,,47009.0,,30.04,223492.0,419120.0,,,25.23,579633.0,3.65,149655.0,58000.0,553.22,0.0,,,27.71,27.71,17657104.0,874600446.74,,1394.16,28.41,19.61,0.1535,28.43,0.3751
2006-03-22,10975698.0,572946165.02,5.7,7.85,5.54,931.22,2.0,365961736.42,7329150.0,7010581.0,382591465.74,,75352.0,420981.0,139.76,6.38,,,11.28,1538982.0,149251.0,,75352.0,139.76,420981.0,,213728.0,97987.0,626.83,0.0,,,28.82,28.82,18097622.0,944720155.47,,1502.07,29.44,17.75,0.134,22.87,0.4317
2006-03-29,17511870.0,903015383.83,9.08,12.08,8.83,1475.17,2.0,657992932.81,9353898.0,12760233.0,482342193.77,,32220.0,482955.0,368.24,2.71,1364965.0,,24.72,4407486.0,280948.0,,32220.0,368.24,482955.0,114.71,1865873.0,22799.0,790.59,1.97,6.38,,37.37,37.36,15677922.0,808446199.77,75352.0,1301.3,37.79,19.81,0.1305,21.04,0.6994
2006-04-05,19856438.0,988585975.74,8.68,11.19,8.47,1621.41,3.0,694594927.82,11193133.0,13951423.0,557268846.93,,,874441.0,113.92,,229000.0,,90.28,1623616.0,952388.0,,,113.92,874441.0,16.17,1917183.0,601425.0,912.37,59.68,,4.83,44.95,44.94,13710533.0,682601816.29,,1098.01,45.38,16.08,0.1108,19.25,0.7973
2006-04-12,20585820.0,1015088698.56,9.0,10.25,8.78,1668.89,3.0,739391481.41,11416666.0,14994729.0,562956862.14,58.42,,534678.0,175.36,,,736150.0,47.04,2200200.0,546557.0,58.42,,175.36,534678.0,,835493.0,1843044.0,920.32,152.6,48.84,3.94,48.04,48.04,12349590.0,608959431.34,600082.0,975.55,48.54,16.61,0.1062,21.02,0.8662
2006-04-19,21521768.0,1066026903.82,9.41,10.52,9.18,1747.28,3.0,765770616.8,11701222.0,15459964.0,579590740.85,,78832.0,479272.0,56.92,6.38,,,29.01,724933.0,379306.0,,78832.0,56.92,479272.0,,105759.0,259699.0,945.7,20.78,,,48.92,48.92,12217358.0,605156245.6,,966.83,49.45,16.07,0.1029,20.35,0.8998
2006-04-26,22091596.0,1131452260.87,9.65,10.86,9.42,1817.89,3.0,844195749.48,12441745.0,16482915.0,637221525.75,,,763669.0,59.31,,799391.0,,10.42,570850.0,137692.0,,,59.31,763669.0,70.54,193378.0,347290.0,1029.74,24.38,6.38,,51.4,51.4,11765741.0,602599027.04,78832.0,959.32,51.77,15.69,0.1012,20.59,0.9126
2006-05-03,25966006.0,1321635725.01,11.34,13.1,11.07,2141.84,3.0,1008922818.13,13453206.0,19822176.0,684750579.87,,136867.0,912510.0,281.87,11.05,,,25.56,3341452.0,317077.0,,136867.0,281.87,912510.0,,279682.0,2191.0,1112.1,0.11,0.04,,53.0,53.0,11930468.0,607245208.4,521.0,970.42,53.4,14.43,0.1038,22.53,1.0229
2006-05-10,26212250.0,1380806848.11,11.45,14.31,11.17,2195.26,3.0,1035346829.89,13535324.0,19654284.0,713012735.29,,,527252.0,170.03,,,,76.13,1865555.0,1027367.0,,,170.03,527252.0,,582232.0,2033446.0,1135.77,163.28,,,71.25,55.63,5462926.0,287775587.05,,0.0,171.45,12.64,0.105,23.4,1.0773
2006-05-17,26681658.0,1302111377.04,11.66,14.39,11.38,2196.46,3.0,855384334.51,15964635.0,17527742.0,779101990.73,,1151553.0,1023078.0,94.61,91.5,15400.0,,111.95,1273071.0,1316632.0,,1151553.0,94.61,1023078.0,1.18,1838986.0,3415014.0,1309.08,292.49,22.49,,84.31,62.03,2969903.0,144936438.55,267674.0,0.0,223.25,10.2,0.0921,20.71,1.0368
2006-05-24,24211486.0,1148698043.69,10.58,13.5,10.32,1879.73,3.0,794414292.58,14997160.0,16744131.0,711530401.43,,81920.0,565178.0,64.41,6.38,,,186.32,1264422.0,1771459.0,,81920.0,64.41,565178.0,,156886.0,2048033.0,1160.02,207.04,,,78.73,55.56,4051628.0,192226828.1,,0.0,212.69,13.68,0.0867,16.48,0.8969
2006-05-31,22638722.0,1049202793.39,9.89,13.98,9.65,1720.68,2.0,700596145.73,14040432.0,15116812.0,650710781.06,,3527.0,364909.0,55.44,0.27,,,213.15,908448.0,2584423.0,,3527.0,55.44,364909.0,,1341179.0,2535767.0,1065.17,206.63,6.38,,64.51,48.62,7723616.0,357954812.21,81920.0,0.0,189.4,11.2,0.0951,20.45,0.784
2006-06-07,19655116.0,909655625.56,8.59,11.25,8.38,1463.0,2.0,596545630.27,11958719.0,12889684.0,553459771.63,,18213.0,118250.0,20.74,1.31,,,179.26,312501.0,2313629.0,,18213.0,20.74,118250.0,,123134.0,2539629.0,898.61,217.69,2.02,,40.92,40.89,17266760.0,799120461.52,27681.0,1261.79,41.59,13.14,0.1002,20.27,0.6721
2006-06-14,25010594.0,1305433981.06,10.97,12.79,10.66,1921.01,3.0,939468197.18,11470115.0,17999116.0,598685416.58,,,481016.0,490.72,,,,95.53,6538743.0,1459683.0,,,490.72,481016.0,,557676.0,1429312.0,897.46,72.72,5.07,,37.88,37.86,18806944.0,981632974.31,67613.0,1460.54,38.06,14.43,0.1349,26.69,0.8255
2006-06-21,23626628.0,1193490872.09,10.36,9.54,10.07,1845.57,2.0,887034445.98,10707194.0,17559944.0,540870170.08,,89472.0,578256.0,113.42,7.04,,,103.87,1277828.0,1443842.0,,89472.0,113.42,578256.0,,13193.0,1716998.0,857.19,130.99,,,34.96,34.94,19919610.0,1006232150.88,,1566.16,35.37,15.9,0.1539,29.42,0.7709
2006-06-28,22168432.0,1141324479.46,9.72,9.49,9.45,1758.54,2.0,819928301.54,10338507.0,15925817.0,532269991.86,,14851.0,48753.0,20.56,1.19,,,66.26,197356.0,926201.0,,14851.0,20.56,48753.0,,690878.0,1831484.0,837.6,126.91,15.5,,34.47,34.45,19652996.0,1011819213.44,196967.0,1565.73,34.85,16.88,0.1381,25.59,0.7386
2006-07-03,21796190.0,1126386480.53,9.56,9.87,9.29,1740.36,2.0,768043409.32,10096261.0,14862057.0,521755953.42,,78298.0,51312.0,20.39,6.3,,,27.41,228646.0,373227.0,,78298.0,20.39,51312.0,,19000.0,1292407.0,824.37,101.29,1.4,,33.84,33.81,19743220.0,1020292816.78,17630.0,1581.87,34.26,14.32,0.1394,26.24,0.7299
2006-07-04,20900582.0,1076050208.31,9.17,9.76,8.91,1662.6,2.0,768559815.84,10071272.0,14928065.0,518511605.73,,,29898.0,18.65,,,,5.61,234251.0,55514.0,,,18.65,29898.0,,4628.0,168243.0,819.04,14.38,0.32,,33.7,33.68,19814448.0,1020131444.09,4000.0,1582.31,34.11,14.92,0.1516,28.72,0.6989
2006-07-05,19901702.0,1009829961.09,8.73,9.47,8.48,1576.26,2.0,745698337.94,9338546.0,14696203.0,473846083.3,,16227.0,108464.0,0.0,1.27,,,69.59,11690.0,868335.0,,16227.0,0.0,108464.0,,10918.0,243551.0,757.06,22.47,,,31.36,31.36,20439184.0,1037102273.13,,1625.38,31.78,15.31,0.1546,29.06,0.6683
2006-07-06,19539638.0,1000299544.84,8.57,9.31,8.33,1537.09,2.0,743457025.62,9044247.0,14522531.0,463005310.41,,,26694.0,0.0,,,,21.76,8045.0,229749.0,,,0.0,26694.0,,,181717.0,728.53,17.3,7.27,,30.32,30.32,20781752.0,1063887522.71,91244.0,1642.48,30.73,15.66,0.1586,29.68,0.6551
2006-07-07,19569220.0,1001813946.55,8.58,9.32,8.34,1545.27,2.0,744748070.74,9111834.0,14547750.0,466465315.42,,,70619.0,11.99,,,,0.5,148513.0,6400.0,,,11.99,70619.0,,3367.0,123294.0,737.51,8.07,,,30.52,30.52,20746366.0,1062075994.8,,1646.25,30.94,15.35,0.1608,30.39,0.6554
2006-07-10,19550862.0,1004665328.93,8.58,9.33,8.34,1547.41,2.0,744371770.52,8980124.0,14485530.0,461464012.8,,,60007.0,2.39,,,,15.01,22422.0,191716.0,,,2.39,60007.0,,,84642.0,728.89,6.2,,,29.96,29.96,20989916.0,1078614378.35,,1670.38,30.38,15.26,0.1592,30.1,0.6523
2006-07-11,17337386.0,889239868.14,7.51,8.33,7.3,1378.28,2.0,631251875.59,8847685.0,12307430.0,453800488.88,,,119.0,,,,,8.67,,132558.0,,,,119.0,,,2178100.0,720.22,167.07,,,29.86,29.86,20787392.0,1066191738.54,,1657.24,30.29,17.21,0.148,26.92,0.585
2006-07-12,16834522.0,863447818.69,7.29,8.56,7.09,1339.44,2.0,608068707.66,8772481.0,11855431.0,449943252.56,,12227.0,20228.0,1.55,0.97,,,7.75,15305.0,107659.0,,12227.0,1.55,20228.0,,,467304.0,715.87,37.27,,,29.61,29.58,20854456.0,1069631471.76,,1665.72,30.06,17.8,0.1454,25.5,0.5676
2006-07-13,16818278.0,851743648.73,7.28,8.77,7.08,1334.36,2.0,600025908.43,8729851.0,11847934.0,442113939.59,,,6712.0,0.03,,,,3.85,8999.0,37115.0,,,0.03,6712.0,,,16496.0,710.37,1.31,0.97,,29.38,29.35,20984304.0,1062727566.71,12227.0,1668.53,29.86,17.84,0.1458,25.58,0.5654
2006-07-14,16756923.0,834014066.04,7.26,8.7,7.06,1320.63,2.0,586484253.0,8758267.0,11783580.0,435910451.59,,,10933.0,,,,,3.08,,10918.0,,,,10933.0,,28400.0,64354.0,705.86,6.8,,,29.39,29.36,21040756.0,1047226060.78,,1656.26,29.88,17.82,0.1465,25.74,0.5617
2006-07-17,16367209.0,805624957.7,7.09,8.95,6.89,1283.59,2.0,561248956.0,8657998.0,11402426.0,426163023.43,,,4922.0,,,250000.0,,9.94,,105190.0,,,,4922.0,21.17,,631154.0,692.47,51.56,,,28.9,28.87,21299132.0,1048383528.1,,1662.93,29.4,18.04,0.1452,24.3,0.5458
2006-07-18,14975260.0,733238709.84,6.49,8.18,6.31,1171.15,2.0,493019043.11,8173738.0,10069147.0,400213492.5,,,6526.0,,,,,39.43,,490786.0,,,,6526.0,,,1333279.0,650.88,102.35,,,27.49,27.46,21564956.0,1055892219.24,,1676.22,27.97,19.63,0.1452,22.51,0.503
2006-07-19,13161952.0,652109966.7,5.7,7.33,5.54,1026.53,2.0,409663841.99,8192731.0,8268507.0,405909514.0,,12227.0,235896.0,,0.94,,,18.59,,229130.0,,12227.0,,235896.0,,,1800640.0,650.41,140.61,,,27.87,27.84,21208024.0,1050753248.79,,1641.75,28.38,21.53,0.1554,22.61,0.4472
2006-07-20,13155633.0,664127034.75,5.7,7.42,5.54,1035.01,2.0,414385132.13,8255009.0,8208518.0,416732106.24,,,26988.0,2.58,,,,0.28,7557.0,15127.0,,,2.58,26988.0,,62643.0,67547.0,662.55,5.22,0.94,,28.24,28.21,20971532.0,1058691844.12,12227.0,1642.77,28.74,21.51,0.1557,22.68,0.4496
2006-07-21,13212136.0,654596337.0,5.72,7.61,5.56,1045.81,2.0,408642618.8,8287973.0,8247895.0,410628286.52,,,43154.0,4.31,,,,0.32,39378.0,10189.0,,,4.31,43154.0,,,,668.48,,,,28.45,28.42,20846996.0,1032866087.59,,1636.51,29.0,21.39,0.1559,22.85,0.453
2006-07-24,13200212.0,662964541.76,5.72,7.72,5.56,1038.52,2.0,413906123.19,8276169.0,8241238.0,415660490.04,,,7297.0,2.27,,,,2.89,34441.0,19101.0,,,2.27,7297.0,,,41098.0,664.23,3.88,,,28.3,28.27,20965760.0,1052979715.1,,1641.29,28.81,21.48,0.1552,22.6,0.4509
2006-07-25,13348158.0,669963549.52,5.78,7.88,5.62,1056.74,2.0,425920520.59,8418797.0,8485916.0,422551719.93,,,276055.0,24.64,,,,12.85,297093.0,173070.0,,,24.64,276055.0,,39643.0,52416.0,680.09,3.9,,,28.86,28.83,20750344.0,1041490078.25,,1632.98,29.4,21.2,0.1526,22.48,0.4571
2006-07-26,13283827.0,668022644.04,5.75,8.4,5.59,1048.39,2.0,427083944.17,8311486.0,8492690.0,417971481.69,,,35304.0,0.0,,,,12.08,6774.0,142615.0,,,0.0,35304.0,,,,670.19,,,,28.25,28.21,21114298.0,1061804642.37,,1660.9,28.75,21.28,0.1541,22.68,0.4509
2006-07-27,14198203.0,732360055.09,6.15,10.87,5.98,1127.28,2.0,439098096.98,9719754.0,8512758.0,501356374.1,,,367443.0,2.98,,,,8.6,21059.0,116227.0,,,2.98,367443.0,,1157053.0,991.0,788.11,0.0,,,31.81,31.77,20840502.0,1074977670.96,,1653.27,32.28,20.13,0.1441,21.4,0.4641
2006-07-28,14759108.0,761292196.48,6.39,12.43,6.22,1187.28,2.0,472554372.03,9651093.0,9161372.0,497814758.75,,,37323.0,69.62,,,,5.87,823363.0,105984.0,,,69.62,37323.0,,,174748.0,791.97,13.33,,,31.68,31.64,20817940.0,1073813896.39,,1671.64,32.15,19.08,0.1557,26.51,0.4839
2006-07-31,13861381.0,712746446.84,6.0,12.7,5.84,1115.17,2.0,426508944.88,9624850.0,8294679.0,494905784.56,,,24765.0,0.53,,,,4.0,6393.0,51009.0,,,0.53,24765.0,,,873086.0,790.06,70.58,,,32.04,32.0,20418450.0,1049908208.1,,1639.73,32.52,20.43,0.1445,22.05,0.4609
2006-08-01,13561826.0,692522096.94,5.87,13.29,5.71,1087.23,2.0,408280665.16,9502048.0,7995458.0,485213289.58,,,4642.0,0.0,,,,11.52,1209.0,130164.0,,,0.0,4642.0,,2720.0,300430.0,776.51,24.47,,,31.62,31.58,20551256.0,1049430873.08,,1643.19,32.09,20.96,0.1498,22.59,0.4508
2006-08-02,13441890.0,703340403.51,5.82,13.8,5.66,1080.58,2.0,416439582.03,8900355.0,7958785.0,465706777.62,,,32663.0,,,,,49.82,,634357.0,,,,32663.0,,,36673.0,733.11,2.42,,,29.56,29.52,21211400.0,1109876262.57,,1710.0,30.01,21.04,0.1502,22.58,0.4458
2006-08-03,13400827.0,692096664.22,5.8,13.77,5.64,1075.03,2.0,400250075.19,9004813.0,7749903.0,465060927.9,,,153724.0,5.6,,,,0.38,109404.0,3706.0,,,5.6,153724.0,,92938.0,318287.0,721.84,26.32,26.07,,30.14,30.14,20876028.0,1078159530.08,138498.0,1674.81,30.12,21.46,0.1557,23.27,0.4485
2006-08-04,12897295.0,663590373.75,5.59,13.37,5.43,1038.06,2.0,384358528.35,8877170.0,7470249.0,456747291.44,,138498.0,,2.0,26.32,,,16.84,25182.0,290623.0,,138498.0,2.0,,,24482.0,304836.0,731.24,22.87,,,29.29,29.26,21427160.0,1102468161.96,,1726.83,29.75,21.01,0.1563,23.39,0.4251
2006-08-07,12937241.0,654774573.83,5.6,13.22,5.45,1037.59,2.0,379105340.88,8870849.0,7490482.0,448967934.78,,,31527.0,0.71,,,,3.24,20234.0,37848.0,,,0.71,31527.0,,,,727.01,,,,29.33,29.3,21372188.0,1081680807.33,,1714.75,29.77,21.02,0.1559,23.32,0.4272
2006-08-08,12902132.0,660920355.45,5.59,13.26,5.43,1029.29,2.0,382323504.81,8842036.0,7463514.0,452939217.8,,,20784.0,0.0,,,,5.35,5372.0,49598.0,,,0.0,20784.0,,,32340.0,722.08,3.66,,,28.98,28.94,21669276.0,1110023180.37,,1730.55,29.44,21.04,0.1556,23.16,0.4223
2006-08-09,12908546.0,670427135.3,5.59,13.41,5.44,1037.4,2.0,388354148.8,8717803.0,7477453.0,452773820.65,,,26061.0,2.67,,,,11.34,13939.0,150294.0,,,2.67,26061.0,,,,717.31,,,,28.79,28.75,21562776.0,1119899184.83,,1731.83,29.29,20.98,0.1555,23.24,0.4258
2006-08-10,13131358.0,677755324.64,5.69,13.84,5.53,1062.7,2.0,396762149.12,8733703.0,7687178.0,450776965.5,,,40568.0,20.13,,,,4.38,209724.0,63566.0,,,20.13,40568.0,,38899.0,,723.69,,,,29.2,29.16,21178580.0,1093100604.17,,1713.68,29.69,21.85,0.1571,22.96,0.4384
2006-08-11,13161481.0,691645702.51,5.7,14.02,5.54,1062.05,2.0,403833335.56,8788984.0,7684635.0,461867704.18,,,55509.0,0.0,,,,0.04,5000.0,228.0,,,0.0,55509.0,,,7543.0,725.0,1.41,,,29.18,29.15,21326886.0,1120743862.33,,1731.69,29.51,21.86,0.1568,22.83,0.4365
2006-08-14,13247661.0,708590923.02,5.74,14.29,5.58,1080.84,2.0,416325150.19,8774912.0,7783524.0,469352513.89,,,1694.0,10.49,,,,0.09,98889.0,15766.0,,,10.49,1694.0,,,,733.29,,,,29.04,29.0,21445642.0,1147084550.21,,1765.19,29.35,21.65,0.1572,22.81,0.4378
2006-08-15,13243207.0,713916787.11,5.74,14.29,5.58,1091.02,2.0,419396402.97,8772823.0,7779833.0,472926656.67,,9835.0,12136.0,5.26,0.82,,,0.13,36309.0,14225.0,,9835.0,5.26,12136.0,,,40000.0,740.88,3.19,0.82,,29.07,29.03,21405264.0,1153918178.75,9835.0,1777.93,29.41,21.6,0.1568,23.1,0.4383
2006-08-16,13394110.0,720320149.83,5.8,14.31,5.64,1108.83,2.0,424198828.34,8844485.0,7887834.0,475646441.63,,,52874.0,10.19,,,,0.03,108001.0,3221.0,,,10.19,52874.0,,22009.0,,750.91,,,,29.05,29.02,21599040.0,1161572043.9,,1801.1,29.42,21.39,0.1575,22.95,0.4394
2006-08-17,13404651.0,721753483.69,5.81,14.48,5.64,1110.85,2.0,425526619.49,8839065.0,7903025.0,475926300.23,,,2500.0,1.97,,,,0.52,25000.0,7920.0,,,1.97,2500.0,,,9809.0,751.57,0.57,,,28.95,28.91,21697356.0,1168261842.84,,1809.24,29.35,21.35,0.1569,22.85,0.4384
2006-08-18,14105677.0,762234476.55,6.11,15.15,5.94,1171.29,2.0,465608563.41,8825596.0,8616409.0,476912490.43,,,2962.0,68.59,,,,1.19,813384.0,16432.0,,,68.59,2962.0,,,100000.0,751.4,7.94,,,28.96,28.93,21647278.0,1169763182.23,,1809.85,29.34,20.17,0.1684,27.87,0.4623
2006-08-21,13315642.0,711796742.21,5.77,14.23,5.61,1103.51,2.0,418068506.85,8831654.0,7820843.0,472102099.59,,,34711.0,,,,,2.39,,28653.0,,,,34711.0,,,795566.0,749.64,67.18,,,25.02,24.99,26466626.0,1414791578.52,,2198.6,25.43,21.52,0.1566,23.16,0.3768
2006-08-22,13295727.0,719326273.51,5.76,14.31,5.6,1101.86,2.0,421295044.91,8845691.0,7787042.0,478570140.89,,,18161.0,,,,,1.43,,24124.0,,,,18161.0,,20000.0,33801.0,752.42,2.69,,,25.13,25.1,26359532.0,1426105088.13,,2203.09,25.46,21.51,0.156,22.94,0.3773
2006-08-23,13317794.0,718368052.53,5.77,14.29,5.61,1108.43,2.0,421230938.49,8920113.0,7809182.0,481155077.5,,,47169.0,2.83,,,,2.59,22140.0,33309.0,,,2.83,47169.0,,60561.0,,761.55,,,,25.36,25.33,26258040.0,1416370988.93,,2142.69,26.22,21.45,0.1556,23.03,0.3782
2006-08-24,13413054.0,723072924.64,5.81,13.97,5.65,1114.96,2.0,426105919.12,8775126.0,7904295.0,473050807.14,,,31733.0,8.21,,,,14.9,100000.0,176720.0,,,8.21,31733.0,,,4886.0,748.56,0.71,,,24.94,24.91,26415794.0,1424026580.69,,2152.35,25.8,21.28,0.1538,22.81,0.3807
2006-08-25,14243387.0,761389985.15,6.17,15.12,6.0,1182.74,2.0,469275202.68,8731604.0,8778771.0,466753858.47,,,5435.0,73.28,,,,4.31,874476.0,50281.0,,,73.28,5435.0,,1324.0,,742.59,,,,24.81,24.78,26468548.0,1414894320.34,,2146.75,25.7,19.96,0.1668,27.6,0.4042
2006-08-28,14088617.0,756759293.05,6.1,14.97,5.93,1165.29,2.0,462451153.83,8733955.0,8609471.0,469137716.74,,,6767.0,,,,,0.45,,4416.0,,,,6767.0,,,169300.0,738.79,15.72,,,24.76,24.73,26544248.0,1425803991.34,,2156.14,25.52,19.46,0.1663,27.89,0.3989
2006-08-29,14045064.0,753965954.04,6.08,15.1,5.91,1163.73,2.0,460727088.98,8716891.0,8582538.0,467939415.52,,,499.0,0.64,,,,1.24,8254.0,17564.0,,,0.64,499.0,,,35187.0,738.76,2.09,,,24.68,24.65,26606444.0,1428284907.35,,2161.79,25.47,19.53,0.166,27.88,0.3972
2006-08-30,13946303.0,750467198.47,6.04,15.04,5.87,1156.28,2.0,455084270.27,8718482.0,8457056.0,469151915.13,,,27971.0,2.63,,,,2.33,32000.0,29677.0,,,2.63,27971.0,,3298.0,157482.0,740.17,12.87,,,24.86,24.83,26356722.0,1418286647.03,,2195.43,25.21,19.65,0.163,27.06,0.3972
