,MEMS FP Equity_DX_SI_QTY,MEMS FP Equity_DX_SHORT_INTEREST_VALUE,MEMS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MEMS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MEMS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MEMS FP Equity_DX_SI_MV,MEMS FP Equity_DX_DSS,MEMS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MEMS FP Equity_DX_SUPPLY_SI_QTY,MEMS FP Equity_DX_BROKER_SI_QTY,MEMS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MEMS FP Equity_DX_BROKER_SI_MV_NEW_x,MEMS FP Equity_DX_SUPPLY_SI_QTY_INC_x,MEMS FP Equity_DX_BROKER_SI_MV_INC_x,MEMS FP Equity_DX_BROKER_SI_QTY_ADD,MEMS FP Equity_DX_BROKER_SI_QTY_NEW,MEMS FP Equity_DX_SUPPLY_SI_MV_DEC,MEMS FP Equity_DX_BROKER_SI_QTY_INC,MEMS FP Equity_DX_SUPPLY_SI_QTY_DEC,MEMS FP Equity_DX_BROKER_SI_MV_NEW_y,MEMS FP Equity_DX_BROKER_SI_MV_INC_y,MEMS FP Equity_DX_SUPPLY_SI_QTY_INC_y,MEMS FP Equity_DX_BROKER_SI_MV_ADD,MEMS FP Equity_DX_SUPPLY_SI_QTY_ADD,MEMS FP Equity_DX_BROKER_SI_QTY_DEC,MEMS FP Equity_DX_SUPPLY_SI_MV,MEMS FP Equity_DX_BROKER_SI_MV_DEC,MEMS FP Equity_DX_BROKER_SI_MV_RMV,MEMS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MEMS FP Equity_DX_UTILIZATION_QUANTITY,MEMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MEMS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MEMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MEMS FP Equity_DX_ACTIVE_UTILIZATION_MV,MEMS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MEMS FP Equity_DX_BROKER_SI_CON_RATIO,MEMS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MEMS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-10-18,7500.0,138600.0,0.21,0.86,0.16,0.13,0.0,110880.0,1500.0,6000.0,27720.0,,,,,,,,,,,,,,,0.03,,,100.0,16.48,0.0,0.0,0.0,100.0,41.59,0.5141,58.41,0.8242
2006-10-19,7500.0,137625.0,0.21,0.95,0.16,0.13,0.0,110100.0,1500.0,6000.0,27525.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,139460.0,0.14,16.48,41.42,0.5147,58.58,0.8242
2006-10-20,6000.0,110160.0,0.17,0.75,0.13,0.11,0.0,110160.0,0.0,6000.0,0.0,,,,,,0.03,,1500.0,,,,,,,0.0,,,0.0,0.0,9100.0,167076.0,0.17,0.0,26.13,0.6139,73.87,0.6593
2006-10-23,4500.0,82800.0,0.12,0.55,0.1,0.08,0.0,82800.0,0.0,4500.0,0.0,,,,,,,,,,,,,,1500.0,0.0,0.03,,0.0,0.0,9100.0,167440.0,0.17,0.0,,1.0,100.0,0.4945
2006-10-24,4500.0,81855.0,0.12,0.51,0.1,0.08,0.0,81855.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9100.0,165529.0,0.17,0.0,,1.0,100.0,0.4945
2006-10-25,4500.0,79650.0,0.12,0.48,0.1,0.08,0.0,79650.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9100.0,161070.0,0.16,0.0,,1.0,100.0,0.4945
2006-10-26,4500.0,78300.0,0.12,0.45,0.1,0.08,0.0,78300.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9100.0,158340.0,0.16,0.0,,1.0,100.0,0.4945
2006-10-27,4500.0,76500.0,0.12,0.45,0.1,0.08,0.0,76500.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9100.0,154700.0,0.15,0.0,,1.0,100.0,0.4945
2006-10-30,4500.0,78750.0,0.12,0.42,0.1,0.08,0.0,78750.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9100.0,159250.0,0.16,0.0,,1.0,100.0,0.4945
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,4500.0,0.0,0.08,,0.0,0.0,9100.0,161070.0,0.16,0.0,,0.0,,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9100.0,161070.0,0.16,0.0,,0.0,,0.0
2006-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,167271.02,0.17,0.0,,0.0,,0.0
2006-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,170153.4,0.17,0.0,,0.0,,0.0
2006-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,170153.4,0.17,0.0,,0.0,,0.0
2006-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,167364.0,0.17,0.0,,0.0,,0.0
2006-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,175546.24,0.18,0.0,,0.0,,0.0
2006-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,175267.3,0.18,0.0,,0.0,,0.0
2006-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,179451.4,0.18,0.0,,0.0,,0.0
2006-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,183170.6,0.18,0.0,,0.0,,0.0
2006-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,183635.5,0.18,0.0,,0.0,,0.0
2006-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,184007.42,0.18,0.0,,0.0,,0.0
2006-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,184565.3,0.18,0.0,,0.0,,0.0
2006-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,185402.12,0.19,0.0,,0.0,,0.0
2006-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,184100.4,0.18,0.0,,0.0,,0.0
2006-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,192561.58,0.19,0.0,,0.0,,0.0
2006-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,196652.7,0.2,0.0,,0.0,,0.0
2006-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,200836.8,0.2,0.0,,0.0,,0.0
2006-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,202696.4,0.2,0.0,,0.0,,0.0
2006-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,202696.4,0.2,0.0,,0.0,,0.0
2006-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,203161.3,0.2,0.0,,0.0,,0.0
2006-11-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9298.0,204556.0,0.2,0.0,,0.0,,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,209726.0,0.21,0.0,,0.0,,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,204482.85,0.2,0.0,,0.0,,0.0
2006-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,193043.25,0.19,0.0,,0.0,,0.0
2006-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,195426.5,0.2,0.0,,0.0,,0.0
2006-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,198858.38,0.2,0.0,,0.0,,0.0
2006-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,203529.55,0.2,0.0,,0.0,,0.0
2006-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,204959.5,0.21,0.0,,0.0,,0.0
2006-12-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,200193.0,0.2,0.0,,0.0,,0.0
2006-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,195426.5,0.2,0.0,,0.0,,0.0
2006-12-13,2000.0,42340.0,0.06,0.1,0.04,0.04,0.0,42340.0,0.0,2000.0,0.0,,,,2000.0,,,,,,,,0.04,,,0.0,,,0.0,0.0,9533.0,201813.61,0.2,0.0,49.2,0.5001,50.8,0.2098
2006-12-14,2000.0,42400.0,0.06,0.09,0.04,0.04,0.0,42400.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,202099.6,0.2,0.0,49.16,0.5001,50.84,0.2098
2006-12-15,2000.0,43900.0,0.06,0.09,0.04,0.04,0.0,43900.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,209249.35,0.21,0.0,48.29,0.5006,51.71,0.2098
2006-12-18,2000.0,41940.0,0.06,0.09,0.04,0.04,0.0,41940.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,199907.01,0.2,0.0,49.43,0.5001,50.57,0.2098
2006-12-19,2000.0,41200.0,0.06,0.09,0.04,0.04,0.0,41200.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,196379.8,0.2,0.0,49.88,0.5,50.12,0.2098
2006-12-20,2000.0,40780.0,0.06,0.09,0.04,0.04,0.0,40780.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,194377.87,0.19,0.0,49.87,0.5,50.13,0.2098
2006-12-21,2000.0,40780.0,0.06,0.09,0.04,0.04,0.0,40780.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,194377.87,0.19,0.0,49.87,0.5,50.13,0.2098
2006-12-22,2000.0,40700.0,0.06,0.09,0.04,0.04,0.0,40700.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,193996.55,0.19,0.0,49.82,0.5,50.18,0.2098
2006-12-25,2000.0,40700.0,0.06,0.09,0.04,0.04,,40700.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.71,0.5,50.29,0.0
2006-12-26,2000.0,40700.0,0.06,0.09,0.04,0.04,0.0,40700.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,193996.55,0.19,0.0,49.82,0.5,50.18,0.2098
2006-12-27,2000.0,41000.0,0.06,0.09,0.04,0.04,0.0,41000.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,195426.5,0.2,0.0,50.0,0.5,50.0,0.2098
2006-12-28,2000.0,42300.0,0.06,0.1,0.04,0.04,0.0,42300.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,201622.95,0.2,0.0,49.22,0.5001,50.78,0.2098
2006-12-29,2000.0,43600.0,0.06,0.1,0.04,0.04,0.0,43600.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,207819.4,0.2,0.0,48.46,0.5005,51.54,0.2098
2007-01-01,2000.0,43600.0,0.06,0.1,0.04,0.04,,43600.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,48.46,0.5005,51.54,0.0
2007-01-02,2000.0,43720.0,0.06,0.1,0.04,0.04,0.0,43720.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,208391.38,0.21,0.0,48.39,0.5005,51.61,0.2098
2007-01-03,2300.0,51175.0,0.06,0.11,0.05,0.05,0.0,51175.0,0.0,2300.0,0.0,,,0.01,,,,300.0,,,0.01,,,,,0.0,,,0.0,0.0,9533.0,212109.25,0.21,0.0,45.12,0.5048,54.88,0.2413
2007-01-04,2300.0,52463.0,0.06,0.12,0.05,0.05,0.0,52463.0,0.0,2300.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,217447.73,0.22,0.0,45.74,0.5036,54.26,0.2413
2007-01-05,2300.0,54947.0,0.06,0.12,0.05,0.05,0.0,54947.0,0.0,2300.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,227743.37,0.23,0.0,46.89,0.5019,53.11,0.2413
2007-01-08,2300.0,53337.0,0.06,0.11,0.05,0.05,0.0,53337.0,0.0,2300.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,221070.27,0.22,0.0,46.15,0.503,53.85,0.2413
2007-01-09,2300.0,53015.0,0.06,0.12,0.05,0.05,0.0,53015.0,0.0,2300.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,219735.65,0.22,0.0,46.0,0.5032,54.0,0.2413
2007-01-10,2300.0,52440.0,0.06,0.12,0.05,0.05,0.0,52440.0,0.0,2300.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,217352.4,0.22,0.0,45.73,0.5036,54.27,0.2413
2007-01-11,1300.0,29913.0,0.04,0.07,0.03,0.03,0.0,29913.0,0.0,1300.0,0.0,,,,,,,,,,,,,,1000.0,0.0,0.02,,0.0,0.0,9533.0,219354.33,0.22,0.0,,1.0,100.0,0.1364
2007-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1300.0,0.0,0.03,,0.0,0.0,9533.0,225932.1,0.23,0.0,,0.0,,0.0
2007-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9533.0,228792.0,0.23,0.0,,0.0,,0.0
2007-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,11033.0,257620.55,0.26,0.0,,0.0,,0.0
2007-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,11033.0,259275.5,0.26,0.0,,0.0,,0.0
2007-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9633.0,221559.0,0.22,0.0,,0.0,,0.0
2007-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9633.0,227338.8,0.23,0.0,,0.0,,0.0
2007-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9633.0,221559.0,0.22,0.0,,0.0,,0.0
2007-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9633.0,219536.07,0.22,0.0,,0.0,,0.0
2007-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9633.0,219536.07,0.22,0.0,,0.0,,0.0
2007-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9633.0,215586.54,0.22,0.0,,0.0,,0.0
2007-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,238179.2,0.24,0.0,,0.0,,0.0
2007-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,244877.99,0.24,0.0,,0.0,,0.0
2007-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,244346.34,0.24,0.0,,0.0,,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,245515.97,0.25,0.0,,0.0,,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,245622.3,0.25,0.0,,0.0,,0.0
2007-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,244559.0,0.24,0.0,,0.0,,0.0
2007-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,243921.02,0.24,0.0,,0.0,,0.0
2007-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,242964.05,0.24,0.0,,0.0,,0.0
2007-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,242964.05,0.24,0.0,,0.0,,0.0
2007-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,243495.7,0.24,0.0,,0.0,,0.0
2007-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,242857.72,0.24,0.0,,0.0,,0.0
2007-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,241369.1,0.24,0.0,,0.0,,0.0
2007-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,240305.8,0.24,0.0,,0.0,,0.0
2007-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,237541.22,0.24,0.0,,0.0,,0.0
2007-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,237115.9,0.24,0.0,,0.0,,0.0
2007-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,231586.74,0.23,0.0,,0.0,,0.0
2007-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,241900.75,0.24,0.0,,0.0,,0.0
2007-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,241369.1,0.24,0.0,,0.0,,0.0
2007-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,240837.45,0.24,0.0,,0.0,,0.0
2007-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,241369.1,0.24,0.0,,0.0,,0.0
2007-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,239880.48,0.24,0.0,,0.0,,0.0
2007-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,10633.0,240837.45,0.24,0.0,,0.0,,0.0
2007-02-27,670.0,15041.5,0.02,0.04,0.01,0.02,0.0,15041.5,0.0,670.0,0.0,,,,670.0,,,,,,,,0.02,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.063
2007-02-28,670.0,15075.0,0.02,0.04,0.01,0.02,0.0,15075.0,0.0,670.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.063
