,EGOV FP Equity_DX_SI_QTY,EGOV FP Equity_DX_SHORT_INTEREST_VALUE,EGOV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EGOV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EGOV FP Equity_DX_SI_MV,EGOV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EGOV FP Equity_DX_SUPPLY_SI_QTY,EGOV FP Equity_DX_BROKER_SI_QTY,EGOV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EGOV FP Equity_DX_BROKER_SI_MV_NEW_x,EGOV FP Equity_DX_SUPPLY_SI_QTY_INC_x,EGOV FP Equity_DX_BROKER_SI_MV_INC_x,EGOV FP Equity_DX_BROKER_SI_QTY_ADD,EGOV FP Equity_DX_BROKER_SI_QTY_NEW,EGOV FP Equity_DX_SUPPLY_SI_MV_DEC,EGOV FP Equity_DX_BROKER_SI_QTY_INC,EGOV FP Equity_DX_SUPPLY_SI_QTY_DEC,EGOV FP Equity_DX_BROKER_SI_MV_NEW_y,EGOV FP Equity_DX_BROKER_SI_MV_INC_y,EGOV FP Equity_DX_SUPPLY_SI_QTY_INC_y,EGOV FP Equity_DX_BROKER_SI_MV_ADD,EGOV FP Equity_DX_SUPPLY_SI_QTY_ADD,EGOV FP Equity_DX_BROKER_SI_QTY_DEC,EGOV FP Equity_DX_SUPPLY_SI_MV,EGOV FP Equity_DX_BROKER_SI_MV_DEC,EGOV FP Equity_DX_BROKER_SI_MV_RMV,EGOV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EGOV FP Equity_DX_UTILIZATION_QUANTITY,EGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EGOV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EGOV FP Equity_DX_ACTIVE_UTILIZATION_MV,EGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EGOV FP Equity_DX_BROKER_SI_CON_RATIO,EGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EGOV FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-01-30,18356.0,1022631.12,19.08,0.15,1.02,1022631.12,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61313521.0,61.31,0.0,,1.0,100.0,0.0167
2020-01-31,18356.0,1025256.02,20.51,0.15,1.03,1025256.02,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61470901.66,61.5,0.0,,1.0,100.0,0.0167
2020-02-03,18356.0,1023603.98,5.3,0.15,1.02,1023603.98,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61371850.9,60.67,0.0,,1.0,100.0,0.0167
2020-02-04,18356.0,1022007.01,5.22,0.15,1.02,1022007.01,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61276101.83,61.3,0.0,,1.0,100.0,0.0167
2020-02-05,18356.0,1019125.12,5.22,0.15,1.02,1019125.12,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61103313.28,61.13,0.0,,1.0,100.0,0.0167
2020-02-06,18356.0,1019308.68,5.22,0.15,1.02,1019308.68,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61114318.92,61.14,0.0,,1.0,100.0,0.0167
2020-02-07,18356.0,1020960.72,5.22,0.15,1.02,1020960.72,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61213369.68,61.26,0.0,,1.0,100.0,0.0167
2020-02-10,18356.0,1023090.02,5.21,0.14,1.02,1023090.02,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61341035.1,61.35,0.0,,1.0,100.0,0.0167
2020-02-11,18356.0,1021254.42,5.11,0.14,1.02,1021254.42,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61230978.7,61.2,0.0,,1.0,100.0,0.0167
2020-02-12,18356.0,1022245.64,5.2,0.14,1.02,1022245.64,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61290409.16,61.26,0.0,,1.0,100.0,0.0167
2020-02-13,18356.0,1023383.71,5.19,0.14,1.02,1023383.71,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092234.0,60894229.97,60.89,0.0,,1.0,100.0,0.0168
2020-02-14,18356.0,1023530.56,5.18,0.14,1.02,1023530.56,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092234.0,60902967.84,60.85,0.0,,1.0,100.0,0.0168
2020-02-17,18356.0,1023916.04,5.38,0.14,1.02,1023916.04,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092234.0,60925904.75,60.95,0.0,,1.0,100.0,0.0168
2020-02-18,18356.0,1023585.63,5.46,0.14,1.02,1023585.63,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092234.0,60906244.54,60.86,0.0,,1.0,100.0,0.0168
2020-02-19,18356.0,1024705.34,5.24,0.14,1.03,1024705.34,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092234.0,60972870.82,61.04,0.0,,1.0,100.0,0.0168
2020-02-20,18356.0,1027991.07,5.24,0.14,1.03,1027991.07,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092234.0,61168380.7,61.12,0.0,,1.0,100.0,0.0168
2020-02-21,18356.0,1027991.07,5.04,0.14,1.03,1027991.07,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092234.0,61168380.7,61.13,0.0,,1.0,100.0,0.0168
2020-02-24,18356.0,1028963.94,4.95,0.14,1.03,1028963.94,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1092238.0,61226493.33,61.15,0.0,,1.0,100.0,0.0168
2020-02-25,18356.0,1030193.79,4.95,0.14,1.03,1030193.79,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1080910.0,60663911.93,60.65,0.0,,1.0,100.0,0.017
2020-02-26,18356.0,1027789.15,4.85,0.14,1.03,1027789.15,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60121689.96,60.15,0.0,,1.0,100.0,0.0171
2020-02-27,18356.0,1027954.36,4.71,0.13,1.03,1027954.36,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60131353.76,60.23,0.0,,1.0,100.0,0.0171
2020-02-28,18356.0,1030120.36,4.37,0.13,1.03,1030120.36,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60258056.85,60.4,0.0,,1.0,100.0,0.0171
2020-03-02,18356.0,1030340.64,4.31,0.13,1.03,1030340.64,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60270941.91,59.99,0.0,,1.0,100.0,0.0171
2020-03-03,18356.0,1035884.15,4.3,0.13,1.04,1035884.15,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60595215.92,60.66,0.0,,1.0,100.0,0.0171
2020-03-04,18356.0,1034856.21,4.3,0.13,1.04,1034856.21,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60535085.64,60.61,0.0,,1.0,100.0,0.0171
2020-03-05,18356.0,1035003.06,4.25,0.13,1.04,1035003.06,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60543675.68,60.68,0.0,,1.0,100.0,0.0171
2020-03-06,18356.0,1037719.75,4.27,0.13,1.04,1037719.75,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60702591.42,60.58,0.0,,1.0,100.0,0.0171
2020-03-09,18356.0,1035755.66,4.46,0.13,1.04,1035755.66,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60587699.63,60.53,0.0,,1.0,100.0,0.0171
2020-03-10,18356.0,1032837.05,4.42,0.13,1.03,1032837.05,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60416972.59,60.19,0.0,,1.0,100.0,0.0171
2020-03-11,18356.0,1037297.56,4.42,0.13,1.04,1037297.56,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,60677895.05,60.57,0.0,,1.0,100.0,0.0171
2020-03-12,18356.0,1019253.61,4.8,0.13,1.02,1019253.61,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,59622393.89,59.74,0.0,,1.0,100.0,0.0171
2020-03-13,18356.0,1007138.65,4.78,0.13,1.01,1007138.65,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,58913715.59,59.12,0.0,,1.0,100.0,0.0171
2020-03-16,18356.0,993151.38,14.09,0.13,1.0,993151.38,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1073755.0,58095514.28,57.95,0.0,,1.0,100.0,0.0171
2020-03-17,18356.0,985790.62,14.16,0.13,0.99,985790.62,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28576703.96,28.38,0.0,,1.0,100.0,0.0345
2020-03-18,18356.0,976410.71,10.32,0.13,0.98,976410.71,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28304793.2,28.5,0.0,,1.0,100.0,0.0345
2020-03-19,18356.0,988837.72,6.52,0.13,0.99,988837.72,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28665035.05,28.82,0.0,,1.0,100.0,0.0345
2020-03-20,18356.0,1004678.95,6.52,0.13,1.01,1004678.95,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29124250.3,29.26,0.0,,1.0,100.0,0.0345
2020-03-23,18356.0,1007487.42,6.51,0.15,1.01,1007487.42,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29205663.89,29.03,0.0,,1.0,100.0,0.0345
2020-03-24,18356.0,999355.71,6.61,0.15,1.0,999355.71,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28969936.95,28.91,0.0,,1.0,100.0,0.0345
2020-03-25,18356.0,991921.53,5.7,0.15,0.99,991921.53,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28754430.37,28.84,0.0,,1.0,100.0,0.0345
2020-03-26,18356.0,1005633.46,5.7,0.15,1.01,1005633.46,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29151920.28,29.17,0.0,,1.0,100.0,0.0345
2020-03-27,18356.0,1011232.04,5.71,0.15,1.02,1011232.04,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29314215.35,29.34,0.0,,1.0,100.0,0.0345
2020-03-30,18356.0,1008441.93,5.71,0.15,1.02,1008441.93,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29233333.87,29.45,0.0,,1.0,100.0,0.0345
2020-03-31,18356.0,1003045.26,5.75,0.15,1.01,1003045.26,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29076892.06,29.21,0.0,,1.0,100.0,0.0345
2020-04-01,18356.0,1002494.58,6.01,0.15,1.01,1002494.58,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29060928.61,29.21,0.0,,1.0,100.0,0.0345
2020-04-02,18356.0,1003265.54,6.02,0.14,1.0,1003265.54,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29083277.44,29.12,0.0,,1.0,100.0,0.0345
2020-04-03,18356.0,1001007.75,6.02,0.14,1.0,1001007.75,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29017827.3,29.03,0.0,,1.0,100.0,0.0345
2020-04-06,18356.0,1001797.06,6.14,0.14,1.0,1001797.06,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,29040708.24,29.0,0.0,,1.0,100.0,0.0345
2020-04-07,18356.0,998621.47,6.14,0.14,1.0,998621.47,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28948652.35,28.82,0.0,,1.0,100.0,0.0345
2020-04-08,18356.0,995372.46,6.3,0.14,0.99,995372.46,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28854467.99,28.76,0.0,,1.0,100.0,0.0345
2020-04-09,18356.0,996822.58,6.62,0.14,1.0,996822.58,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28896505.08,28.85,0.0,,1.0,100.0,0.0345
2020-04-10,18356.0,996822.58,7.14,0.14,1.0,996822.58,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28896505.08,28.84,0.0,,1.0,100.0,0.0345
2020-04-13,18356.0,996822.58,7.14,0.14,1.0,996822.58,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28896505.08,28.87,0.0,,1.0,100.0,0.0345
2020-04-14,18356.0,993316.58,7.14,0.14,1.0,993316.58,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28794871.11,28.88,0.0,,1.0,100.0,0.0345
2020-04-15,18356.0,995262.32,7.31,0.14,0.99,995262.32,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28851275.3,28.83,0.0,,1.0,100.0,0.0345
2020-04-16,18356.0,997593.53,7.35,0.14,1.0,997593.53,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28918853.91,28.93,0.0,,1.0,100.0,0.0345
2020-04-17,18356.0,998621.47,7.35,0.14,1.0,998621.47,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28948652.35,28.98,0.0,,1.0,100.0,0.0345
2020-04-20,18356.0,992141.8,7.01,0.14,0.99,992141.8,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28760815.75,28.77,0.0,,1.0,100.0,0.0345
2020-04-21,18356.0,988856.08,6.08,0.14,0.99,988856.08,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28665567.17,28.72,0.0,,1.0,100.0,0.0345
2020-04-22,18356.0,987791.43,6.11,0.14,0.99,987791.43,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28634704.5,28.61,0.0,,1.0,100.0,0.0345
2020-04-23,18356.0,991205.64,6.19,0.14,0.99,991205.64,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28733677.89,28.63,0.0,,1.0,100.0,0.0345
2020-04-24,18356.0,996620.66,6.17,0.14,1.0,996620.66,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532115.0,28890651.81,29.05,0.0,,1.0,100.0,0.0345
2020-04-27,18356.0,996620.66,6.21,0.14,1.0,996620.66,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,28890923.28,29.0,0.0,,1.0,100.0,0.0345
2020-04-28,18356.0,1000622.27,6.2,0.14,1.0,1000622.27,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,29006925.44,28.98,0.0,,1.0,100.0,0.0345
2020-04-29,18356.0,1002476.23,6.27,0.14,1.0,1002476.23,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,29060669.56,29.13,0.0,,1.0,100.0,0.0345
2020-04-30,18356.0,1008240.01,6.37,0.14,1.01,1008240.01,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,29227755.24,29.28,0.0,,1.0,100.0,0.0345
2020-05-01,18356.0,1008240.01,7.65,0.14,1.01,1008240.01,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,29227755.24,29.22,0.0,,1.0,100.0,0.0345
2020-05-04,18356.0,1004752.37,7.65,0.14,1.01,1004752.37,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,29126652.44,29.23,0.0,,1.0,100.0,0.0345
2020-05-05,18356.0,1003210.47,12.81,0.14,1.0,1003210.47,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,29081954.36,29.08,0.0,,1.0,100.0,0.0345
2020-05-06,18356.0,996620.66,12.82,0.14,1.0,996620.66,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,532120.0,28890923.28,28.85,0.0,,1.0,100.0,0.0345
2020-05-07,18356.0,999612.69,12.88,0.14,1.0,999612.69,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376014.0,20476594.4,20.52,0.0,,1.0,100.0,0.0488
2020-05-08,18356.0,1001191.31,11.82,0.14,1.0,1001191.31,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20508440.72,20.51,0.0,,1.0,100.0,0.0488
2020-05-11,18356.0,998694.89,16.59,0.14,1.0,998694.89,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20457304.04,20.47,0.0,,1.0,100.0,0.0488
2020-05-12,18356.0,999814.61,16.64,0.14,1.0,999814.61,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20480240.34,20.48,0.0,,1.0,100.0,0.0488
2020-05-13,18356.0,1002935.13,16.61,0.14,1.0,1002935.13,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20544161.19,20.55,0.0,,1.0,100.0,0.0488
2020-05-14,18356.0,1002421.16,16.6,0.14,1.0,1002421.16,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20533633.05,20.58,0.0,,1.0,100.0,0.0488
2020-05-15,18356.0,1000971.04,16.64,0.14,1.0,1000971.04,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20503928.66,20.53,0.0,,1.0,100.0,0.0488
2020-05-18,18356.0,1001705.28,4.14,0.14,1.0,1001705.28,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20518968.86,20.52,0.0,,1.0,100.0,0.0488
2020-05-19,18356.0,1003412.38,4.14,0.14,1.0,1003412.38,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20553937.32,20.56,0.0,,1.0,100.0,0.0488
2020-05-20,18356.0,1004935.93,4.24,0.14,1.01,1004935.93,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20585145.74,20.6,0.0,,1.0,100.0,0.0488
2020-05-21,18356.0,1006220.85,4.25,0.14,1.01,1006220.85,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20611466.09,20.6,0.0,,1.0,100.0,0.0488
2020-05-22,18356.0,1005780.31,4.25,0.14,1.01,1005780.31,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20602441.97,20.63,0.0,,1.0,100.0,0.0488
2020-05-25,18356.0,1006184.14,4.25,0.14,1.01,1006184.14,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20610714.08,20.62,0.0,,1.0,100.0,0.0488
2020-05-26,18356.0,1003871.28,4.25,0.14,1.0,1003871.28,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20563337.45,20.58,0.0,,1.0,100.0,0.0488
2020-05-27,18356.0,1007157.01,4.35,0.14,1.01,1007157.01,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20630642.34,20.67,0.0,,1.0,100.0,0.0488
2020-05-28,18356.0,1009745.2,3.17,0.14,1.01,1009745.2,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20683659.05,20.67,0.0,,1.0,100.0,0.0488
2020-05-29,18356.0,1010222.46,2.52,0.14,1.01,1010222.46,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,376005.0,20693435.18,20.71,0.0,,1.0,100.0,0.0488
2020-06-01,18356.0,1007303.86,2.46,0.15,1.01,1007303.86,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42.0,2304.79,0.0,0.0,,1.0,100.0,437.0476
2020-06-02,18356.0,1010149.04,2.48,0.15,1.01,1010149.04,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,33.0,1816.02,0.0,0.0,,1.0,100.0,556.2424
2020-06-03,18356.0,1004128.27,2.33,0.15,1.0,1004128.27,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,33.0,1805.2,0.0,0.0,,1.0,100.0,556.2424
2020-06-04,18356.0,1006386.06,2.31,0.15,1.01,1006386.06,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,29.0,1589.95,0.0,0.0,,1.0,100.0,632.9655
2020-06-05,18356.0,1003981.42,2.29,0.15,1.0,1003981.42,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,29.0,1586.16,0.0,0.0,,1.0,100.0,632.9655
2020-06-08,18356.0,1007010.16,2.29,0.15,1.01,1007010.16,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,29.0,1590.94,0.0,0.0,,1.0,100.0,632.9655
2020-06-09,18356.0,1004752.37,2.29,0.14,1.0,1004752.37,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,29.0,1587.37,0.0,0.0,,1.0,100.0,632.9655
2020-06-10,18356.0,1003816.22,2.29,0.14,1.01,1003816.22,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,29.0,1585.89,0.0,0.0,,1.0,100.0,632.9655
2020-06-11,18356.0,1009139.46,2.29,0.15,1.0,1009139.46,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,29.0,1594.3,0.0,0.0,,1.0,100.0,632.9655
2020-06-12,18356.0,1011525.74,2.28,0.14,1.01,1011525.74,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,29.0,1598.07,0.0,0.0,,1.0,100.0,632.9655
