,ECN FP Equity_DX_SI_QTY,ECN FP Equity_DX_SHORT_INTEREST_VALUE,ECN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ECN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ECN FP Equity_DX_SI_MV,ECN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ECN FP Equity_DX_SUPPLY_SI_QTY,ECN FP Equity_DX_BROKER_SI_QTY,ECN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ECN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ECN FP Equity_DX_BROKER_SI_MV_INC_x,ECN FP Equity_DX_BROKER_SI_QTY_ADD,ECN FP Equity_DX_SUPPLY_SI_MV_DEC,ECN FP Equity_DX_BROKER_SI_QTY_INC,ECN FP Equity_DX_SUPPLY_SI_QTY_DEC,ECN FP Equity_DX_BROKER_SI_MV_INC_y,ECN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ECN FP Equity_DX_BROKER_SI_MV_ADD,ECN FP Equity_DX_SUPPLY_SI_QTY_ADD,ECN FP Equity_DX_BROKER_SI_QTY_DEC,ECN FP Equity_DX_SUPPLY_SI_MV,ECN FP Equity_DX_BROKER_SI_MV_DEC,ECN FP Equity_DX_BROKER_SI_MV_RMV,ECN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ECN FP Equity_DX_UTILIZATION_QUANTITY,ECN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ECN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ECN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ECN FP Equity_DX_ACTIVE_UTILIZATION_MV,ECN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ECN FP Equity_DX_BROKER_SI_CON_RATIO,ECN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ECN FP Equity_DX_DEMAND_SUPPLY_RATIO,ECN FP Equity_PX_LAST
2009-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4
2009-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.79
2009-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.29
2009-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.04
2009-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7
2009-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.61
2009-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.56
2009-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.65
2009-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.65
2009-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.72
2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.92
2009-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.31
2009-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9
2009-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.61
2009-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.52
2009-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.61
2009-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.75
2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.93
2009-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.52
2009-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.04
2009-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5
2009-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.5
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63
2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.12
2009-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.13
2009-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.29
2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.37
2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.59
2009-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.35
2009-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04
2009-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.03
2009-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.98
2009-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.71
2009-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.87
2009-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19
2009-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.84
2009-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.79
2009-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.53
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18
2009-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.23
2009-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.91
2009-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.24
2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.64
2009-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.66
2009-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.27
2009-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.92
2009-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.46
2009-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2
2009-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.42
2009-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.03
2009-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.63
2009-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.59
2009-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45
2009-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.91
2009-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.47
2009-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.86
2009-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.87
2009-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.74
2009-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.71
2009-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.17
2009-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.64
2009-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.36
2009-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.23
2009-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.34
2009-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.38
2009-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.12
2009-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.89
2009-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.03
2009-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.15
2009-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.39
2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.84
2009-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.05
2009-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.75
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.65
2009-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.31
2009-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5
2009-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.42
2009-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.91
2009-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89
2009-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.36
2009-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.02
2009-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.91
2009-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.82
2009-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.27
2009-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.85
2009-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.85
2009-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.98
2009-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.61
2009-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.33
2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.62
2009-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.47
2009-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.76
2009-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.31
2009-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.58
2009-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.25
2009-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.88
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.58
2009-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4
2009-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.41
2009-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.85
2009-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.13
2009-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.31
2009-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.86
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.96
2009-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.87
2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.22
2009-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.48
2009-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.14
2009-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.87
2009-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.65
2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.64
2009-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.29
2009-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.77
2009-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.13
2009-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.66
2009-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.12
2009-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.36
2009-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.12
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.12
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.06
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.85
2009-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.86
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.66
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.83
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.16
2009-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05
2009-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.07
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.89
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.28
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.77
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73
2009-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.29
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.34
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.23
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.63
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.65
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.36
2009-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.91
2009-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2
2009-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.11
2009-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.74
2009-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.38
2009-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02
2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.48
2009-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9
2009-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.97
2009-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.46
2009-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.52
2009-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3
2009-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.59
2009-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.98
2009-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4
2009-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.76
2009-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22
2009-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85
2009-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.89
2009-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07
2009-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.41
2009-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.94
2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01
2009-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.63
2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.57
2009-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.95
2009-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.88
2009-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.93
2009-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.21
2009-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.68
2009-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.65
2009-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.48
2009-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.25
2009-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.02
2009-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67
2009-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.99
2009-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.69
2009-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.01
2009-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.69
2009-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.54
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.45
2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.09
2009-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.47
2009-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.19
2009-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.17
2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8
2009-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.78
2009-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.07
2009-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.52
2009-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1
2009-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.38
2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39
2009-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.23
2009-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.75
2009-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.35
2009-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.62
2009-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.19
2009-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.22
2009-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.45
2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.85
2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.37
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.79
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.96
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.85
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.88
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.05
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.21
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.71
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.82
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.42
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.87
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.54
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.19
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.03
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.45
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.56
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.94
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.42
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.61
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.14
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.67
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.12
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.78
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.83
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.31
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.8
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.48
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.65
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.58
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.13
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.06
2010-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.12
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.07
2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.44
2010-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.14
2010-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.92
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.84
2010-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.28
2010-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.21
2010-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.39
2010-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.18
