,ALENT FP Equity_DX_SI_QTY,ALENT FP Equity_DX_SHORT_INTEREST_VALUE,ALENT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALENT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALENT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALENT FP Equity_DX_SI_MV,ALENT FP Equity_DX_DSS,ALENT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALENT FP Equity_DX_SUPPLY_SI_QTY,ALENT FP Equity_DX_BROKER_SI_QTY,ALENT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALENT FP Equity_DX_BROKER_SI_MV_NEW_x,ALENT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALENT FP Equity_DX_BROKER_SI_MV_INC_x,ALENT FP Equity_DX_BROKER_SI_QTY_ADD,ALENT FP Equity_DX_BROKER_SI_QTY_NEW,ALENT FP Equity_DX_SUPPLY_SI_MV_DEC,ALENT FP Equity_DX_BROKER_SI_QTY_INC,ALENT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALENT FP Equity_DX_BROKER_SI_MV_NEW_y,ALENT FP Equity_DX_BROKER_SI_MV_INC_y,ALENT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALENT FP Equity_DX_BROKER_SI_MV_ADD,ALENT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALENT FP Equity_DX_BROKER_SI_QTY_DEC,ALENT FP Equity_DX_SUPPLY_SI_MV,ALENT FP Equity_DX_BROKER_SI_MV_DEC,ALENT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALENT FP Equity_DX_UTILIZATION_QUANTITY,ALENT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALENT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALENT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALENT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALENT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALENT FP Equity_DX_BROKER_SI_CON_RATIO,ALENT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALENT FP Equity_DX_DEMAND_SUPPLY_RATIO,ALENT FP Equity_PX_LAST
2007-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2007-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2007-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
2007-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2007-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
2007-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12
2007-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2007-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.79
2007-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01
2007-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11
2007-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85
2007-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01
2007-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01
2007-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02
2007-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05
2007-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01
2007-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2007-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81
2007-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2007-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75
2007-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2007-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2007-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.46
2007-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.38
2007-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12
2007-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2007-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2007-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
2007-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
2007-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2007-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2007-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.11
2007-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2007-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12
2007-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12
2007-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2
2007-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45
2007-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2007-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3
2007-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05
2007-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.19
2007-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
2007-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7
2007-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65
2007-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66
2007-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2007-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.55
2007-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2007-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77
2007-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.55
2007-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
2007-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22
2007-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22
2007-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.46
2007-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8
2007-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6
2007-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2007-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2007-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3
2007-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35
2007-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4
2007-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15
2007-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
2007-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2007-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
2007-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.03
2007-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1
2007-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2007-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.39
2007-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21
2007-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.03
2007-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2007-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2007-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.15
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.98
2007-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3
2007-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55
2007-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03
2007-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5
2007-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.82
2007-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,23499.55,0.04,0.0,,0.0,,0.0,20.5
2007-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,23155.65,0.04,0.0,,0.0,,0.0,20.2
2007-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,23155.65,0.04,0.0,,0.0,,0.0,20.2
2007-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,22926.39,0.04,0.0,,0.0,,0.0,20.0
2007-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21780.07,0.04,0.0,,0.0,,0.0,19.0
2007-07-26,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21780.07,0.04,0.0,,0.0,,0.0,19.0
2007-07-27,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21550.8,0.04,0.0,,0.0,,0.0,18.8
2007-07-30,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21264.22,0.04,0.0,,0.0,,0.0,18.55
2007-07-31,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21264.22,0.04,0.0,,0.0,,0.0,18.55
2007-08-01,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21264.22,0.04,0.0,,0.0,,0.0,18.55
2007-08-02,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21092.28,0.04,0.0,,0.0,,0.0,18.4
2007-08-03,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-08-06,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21436.17,0.04,0.0,,0.0,,0.0,18.7
2007-08-07,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-08-08,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-08-09,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21321.54,0.04,0.0,,0.0,,0.0,18.6
2007-08-10,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-08-13,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21321.54,0.04,0.0,,0.0,,0.0,18.6
2007-08-14,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-08-15,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21034.96,0.04,0.0,,0.0,,0.0,18.35
2007-08-16,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20668.14,0.04,0.0,,0.0,,0.0,18.03
2007-08-17,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20633.75,0.04,0.0,,0.0,,0.0,18.0
2007-08-20,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20748.38,0.04,0.0,,0.0,,0.0,18.1
2007-08-21,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20633.75,0.04,0.0,,0.0,,0.0,18.0
2007-08-22,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20748.38,0.04,0.0,,0.0,,0.0,18.1
2007-08-23,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20473.26,0.04,0.0,,0.0,,0.0,17.86
2007-08-24,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20289.85,0.04,0.0,,0.0,,0.0,17.7
2007-08-27,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20289.85,0.04,0.0,,0.0,,0.0,17.7
2007-08-28,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20496.19,0.04,0.0,,0.0,,0.0,17.88
2007-08-29,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20347.17,0.04,0.0,,0.0,,0.0,17.75
2007-08-30,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20897.4,0.04,0.0,,0.0,,0.0,18.23
2007-08-31,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20771.31,0.04,0.0,,0.0,,0.0,18.12
2007-09-03,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20977.64,0.04,0.0,,0.0,,0.0,18.3
2007-09-04,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21092.28,0.04,0.0,,0.0,,0.0,18.4
2007-09-05,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21149.59,0.04,0.0,,0.0,,0.0,18.45
2007-09-06,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21665.43,0.04,0.0,,0.0,,0.0,18.9
2007-09-07,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21321.54,0.04,0.0,,0.0,,0.0,18.6
2007-09-10,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21952.01,0.04,0.0,,0.0,,0.0,19.15
2007-09-11,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,22582.49,0.04,0.0,,0.0,,0.0,19.7
2007-09-12,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,23499.55,0.04,0.0,,0.0,,0.0,20.5
2007-09-13,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,22903.46,0.04,0.0,,0.0,,0.0,19.98
2007-09-14,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,23121.26,0.04,0.0,,0.0,,0.0,20.17
2007-09-17,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,22146.89,0.04,0.0,,0.0,,0.0,19.32
2007-09-18,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21894.7,0.04,0.0,,0.0,,0.0,19.1
2007-09-19,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21493.49,0.04,0.0,,0.0,,0.0,18.75
2007-09-20,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21493.49,0.04,0.0,,0.0,,0.0,18.75
2007-09-21,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20977.64,0.04,0.0,,0.0,,0.0,18.3
2007-09-24,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20840.08,0.04,0.0,,0.0,,0.0,18.18
2007-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20691.06,0.04,0.0,,0.0,,0.0,18.05
2007-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,20748.38,0.04,0.0,,0.0,,0.0,18.1
2007-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21092.28,0.04,0.0,,0.0,,0.0,18.4
2007-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21206.91,0.04,0.0,,0.0,,0.0,18.5
2007-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21149.59,0.04,0.0,,0.0,,0.0,18.45
2007-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21264.22,0.04,0.0,,0.0,,0.0,18.55
2007-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21092.28,0.04,0.0,,0.0,,0.0,18.4
2007-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,2000.0,21092.28,0.04,0.0,,0.0,,0.0,18.4
